7-2全国按户口登记地、年龄、性别分的户口登记地在外乡镇街道的人口-年龄,单位：人-户口登记地-合计-合计,户口登记地-男,户口登记地-女,户口登记地-省内-省内-小计,户口登记地-省内-男,户口登记地-省内-女,户口登记地-省内-其中市辖区内人户分离-小计,户口登记地-省内-男.1,户口登记地-省内-女.1,户口登记地-省外-小计,户口登记地-男.1,户口登记地-女.1
22,7789899,3878722,3911177,4594831,2164890,2429941,650933,319670,331263,3195068,1713832,1481236
23,7855889,3911486,3944403,4429939,2052415,2377524,624355,296911,327444,3425950,1859071,1566879
24,6905221,3419703,3485518,3873816,1772542,2101274,582334,266496,315838,3031405,1647161,1384244
25-29岁,30947536,15593740,15353796,18031965,8447122,9584843,3579082,1565314,2013768,12915571,7146618,5768953
25,6117869,3048403,3069466,3452996,1588365,1864631,557551,248933,308618,2664873,1460038,1204835
26,6085156,3042532,3042624,3484119,1614395,1869724,628186,274463,353723,2601037,1428137,1172900
27,6030875,3032301,2998574,3529986,1651131,1878855,735662,318825,416837,2500889,1381170,1119719
28,6835196,3457619,3377577,4071857,1920221,2151636,902719,391124,511595,2763339,1537398,1225941
29,5878440,3012885,2865555,3493007,1673010,1819997,754964,331969,422995,2385433,1339875,1045558
30-34岁,27191229,14302560,12888669,16401447,8136316,8265131,3548961,1603994,1944967,10789782,6166244,4623538
30,5586641,2891869,2694772,3339411,1621789,1717622,713631,318204,395427,2247230,1270080,977150
31,5713143,2991219,2721924,3445430,1696259,1749171,747121,335163,411958,2267713,1294960,972753
32,5446836,2858894,2587942,3304736,1637446,1667290,731578,330251,401327,2142100,1221448,920652
33,4929564,2610520,2319044,2985199,1493953,1491246,660689,300489,360200,1944365,1116567,827798
34,5515045,2950058,2564987,3326671,1686869,1639802,695942,319887,376055,2188374,1263189,925185
35-39岁,28262140,15357453,12904687,17256875,8962594,8294281,3717191,1765617,1951574,11005265,6394859,4610406
35,5485754,2945582,2540172,3302602,1686038,1616564,688891,319047,369844,2183152,1259544,923608
36,5720888,3092309,2628579,3440297,1772259,1668038,705073,331320,373753,2280591,1320050,960541
37,5767509,3141194,2626315,3522940,1831962,1690978,766380,364212,402168,2244569,1309232,935337
38,5719077,3124192,2594885,3515875,1842011,1673864,772037,371853,400184,2203202,1282181,921021
39,5568912,3054176,2514736,3475161,1830324,1644837,784810,379185,405625,2093751,1223852,869899
40-44岁,24537973,13495542,11042431,15340177,8149220,7190957,3516775,1731004,1785771,9197796,5346322,3851474
40,5869875,3211864,2658011,3674126,1939512,1734614,831533,405103,426430,2195749,1272352,923397
41,5093583,2793119,2300464,3190477,1687900,1502577,750683,365408,385275,1903106,1105219,797887
42,5370599,2952267,2418332,3352073,1782333,1569740,781078,384385,396693,2018526,1169934,848592
43,3952414,2181060,1771354,2451960,1310499,1141461,538277,267753,270524,1500454,870561,629893
44,4251502,2357232,1894270,2671541,1428976,1242565,615204,308355,306849,1579961,928256,651705
45-49岁,17152818,9582287,7570531,11741007,6322273,5418734,3449556,1740084,1709472,5411811,3260014,2151797
45,4142448,2310274,1832174,2705036,1458199,1246837,677904,342576,335328,1437412,852075,585337
46,3914124,2176810,1737314,2635049,1415180,1219869,748963,377984,370979,1279075,761630,517445
47,4345390,2433287,1912103,3013560,1622340,1391220,948265,477567,470698,1331830,810947,520883
48,3076419,1733175,1343244,2153086,1166523,986563,649334,329642,319692,923333,566652,356681
49,1674437,928741,745696,1234276,660031,574245,425090,212315,212775,440161,268710,171451
50-54岁,10243894,5670580,4573314,7917722,4209993,3707729,2887160,1432813,1454347,2326172,1460587,865585
50,2038550,1138730,899820,1562173,841444,720729,564254,282065,282189,476377,297286,179091
51,1728823,969737,759086,1336547,718992,617555,490198,244046,246152,392276,250745,141531
52,2176954,1217689,959265,1675670,897616,778054,609603,303343,306260,501284,320073,181211
53,2262809,1245380,1017429,1752006,924709,827297,642950,317392,325558,510803,320671,190132
54,2036758,1099044,937714,1591326,827232,764094,580155,285967,294188,445432,271812,173620
55-59岁,9061622,4787795,4273827,7230945,3708389,3522556,2592420,1274442,1317978,1830677,1079406,751271
55,2057571,1102880,954691,1622081,840317,781764,589862,290766,299096,435490,262563,172927
56,2039527,1081143,958384,1618241,830514,787727,593121,291515,301606,421286,250629,170657
57,1776811,931995,844816,1415195,720235,694960,501316,244759,256557,361616,211760,149856
58,1738792,914641,824151,1395841,714315,681526,484426,238005,246421,342951,200326,142625
59,1448921,757136,691785,1179587,603008,576579,423695,209397,214298,269334,154128,115206
60-64岁,5968114,3163021,2805093,5010832,2622403,2388429,1742845,884959,857886,957282,540618,416664
60,1477839,784105,693734,1220792,637394,583398,425028,215175,209853,257047,146711,110336
61,1344793,714463,630330,1121102,586464,534638,387170,196493,190677,223691,127999,95692
62,1120934,590932,530002,943985,491524,452461,327151,164958,162193,176949,99408,77541
63,1061531,563260,498271,902258,474578,427680,316182,161479,154703,159273,88682,70591
64,963017,510261,452756,822695,432443,390252,287314,146854,140460,140322,77818,62504
65-69岁,3736441,1956540,1779901,3235862,1688058,1547804,1147258,575897,571361,500579,268482,232097
65,860442,453432,407010,738679,386921,351758,252637,127915,124722,121763,66511,55252
66,787601,414482,373119,678702,355230,323472,236557,119726,116831,108899,59252,49647
67,717032,374542,342490,621674,323920,297754,219549,110238,109311,95358,50622,44736
68,701212,365175,336037,611201,317591,293610,222348,110539,111809,90011,47584,42427
69,670154,348909,321245,585606,304396,281210,216167,107479,108688,84548,44513,40035
70-74岁,2788317,1444770,1343547,2463948,1272050,1191898,972958,476244,496714,324369,172720,151649
70,672517,352215,320302,588518,307982,280536,216185,106820,109365,83999,44233,39766
71,535259,275258,260001,472109,242109,230000,187586,90858,96728,63150,33149,30001
72,579653,301238,278415,512669,265529,247140,202265,98878,103387,66984,35709,31275
73,518626,269597,249029,460446,237811,222635,186695,92155,94540,58180,31786,26394
74,482262,246462,235800,430206,218619,211587,180227,87533,92694,52056,27843,24213
75-79岁,1799325,904844,894481,1626512,813730,812782,714487,347090,367397,172813,91114,81699
75,440728,221351,219377,395213,197387,197826,170217,81687,88530,45515,23964,21551
76,392024,195673,196351,352943,175023,177920,155975,74975,81000,39081,20650,18431
77,382093,193865,188228,345798,174382,171416,152221,74315,77906,36295,19483,16812
78,314523,156644,157879,286274,142058,144216,126908,61616,65292,28249,14586,13663
79,269957,137311,132646,246284,124880,121404,109166,54497,54669,23673,12431,11242
80-84岁,955678,459313,496365,875914,419588,456326,398631,187782,210849,79764,39725,40039
80,277689,138131,139558,253317,125640,127677,111238,54343,56895,24372,12491,11881
81,196548,95473,101075,180282,87311,92971,84684,40458,44226,16266,8162,8104
82,192344,91960,100384,176760,84238,92522,80938,37830,43108,15584,7722,7862
83,159837,74852,84985,146759,68562,78197,66749,30501,36248,13078,6290,6788
84,129260,58897,70363,118796,53837,64959,55022,24650,30372,10464,5060,5404
85-89岁,402264,170317,231947,369326,155461,213865,172636,71862,100774,32938,14856,18082
85,115220,51125,64095,105799,46795,59004,49425,21753,27672,9421,4330,5091
86,94093,40175,53918,86764,36890,49874,40498,17001,23497,7329,3285,4044
87,75112,31096,44016,68936,28366,40570,32188,13059,19129,6176,2730,3446
88,64261,26379,37882,58633,23814,34819,27461,10962,16499,5628,2565,3063
89,53578,21542,32036,49194,19596,29598,23064,9087,13977,4384,1946,2438
90-94岁,125719,47746,77973,111448,41065,70383,50535,18515,32020,14271,6681,7590
90,42711,16128,26583,38804,14521,24283,17258,6481,10777,3907,1607,2300
91,28627,11160,17467,25410,9615,15795,11923,4486,7437,3217,1545,1672
92,23548,8845,14703,20517,7359,13158,9344,3283,6061,3031,1486,1545
93,16965,6282,10683,15037,5377,9660,6949,2515,4434,1928,905,1023
94,13868,5331,8537,11680,4193,7487,5061,1750,3311,2188,1138,1050
95-99岁,41734,16897,24837,33512,12380,21132,12154,3880,8274,8222,4517,3705
95,11474,4347,7127,9539,3343,6196,3901,1257,2644,1935,1004,931
96,9462,3655,5807,7805,2820,4985,3109,1025,2084,1657,835,822
97,8056,3371,4685,6331,2388,3943,2191,681,1510,1725,983,742
98,7667,3347,4320,5879,2301,3578,1756,543,1213,1788,1046,742
99,5075,2177,2898,3958,1528,2430,1197,374,823,1117,649,468
100岁及以上,3318,946,2372,2862,781,2081,1145,301,844,456,165,291
