8-3各地区按家庭户类别和住房间数分的家庭户户数-地区-地区,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-家庭户-户数,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-一代户-一间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-一代户-二间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-一代户-三间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-一代户-四间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-一代户-五间及以上,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-二代户-一间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-二代户-二间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-二代户-三间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-二代户-四间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-二代户-五间及以上,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-三代户-一间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-三代户-二间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-三代户-三间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-三代户-四间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-三代户-五间及以上,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-四代户-一间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-四代户-二间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-四代户-三间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-四代户-四间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-四代户-五间及以上,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-五代及以上户-一间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-五代及以上户-二间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-五代及以上户-三间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-五代及以上户-四间,8-3各地区按家庭户类别和住房间数分的家庭户户数-单位：户-五代及以上户-五间及以上
四    川,29098226.0,1887204.0,4168236.0,5123600.0,1755929.0,1478442.0,275319.0,2108552.0,4350989.0,1680898.0,1568644.0,30115.0,522136.0,1865445.0,931651.0,1114454.0,521.0,11028.0,70971.0,58904.0,94932.0,2.0,11.0,46.0,50.0,147.0
贵    州,12004270.0,565219.0,1181590.0,1500125.0,748756.0,1056897.0,122883.0,779261.0,1728730.0,925072.0,1476001.0,8606.0,123285.0,511611.0,368452.0,827884.0,112.0,1805.0,12709.0,13829.0,51338.0,0.0,0.0,10.0,10.0,85.0
云    南,14304259.0,1308511.0,1361663.0,1502257.0,692954.0,684078.0,257911.0,1054513.0,1953387.0,1149817.0,1303834.0,25979.0,227047.0,759924.0,710669.0,1136588.0,701.0,4951.0,26853.0,41435.0,100862.0,0.0,3.0,22.0,74.0,226.0
西    藏,793704.0,94879.0,77613.0,54629.0,29621.0,52989.0,23407.0,63235.0,60541.0,49566.0,106394.0,3049.0,16808.0,26256.0,29645.0,95627.0,80.0,466.0,1014.0,1392.0,6448.0,0.0,2.0,4.0,3.0,36.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
陕    西,13350429.0,1134755.0,2146283.0,1957396.0,580451.0,517746.0,315423.0,1553897.0,2014272.0,645121.0,609737.0,17163.0,287696.0,689156.0,361062.0,453091.0,177.0,3809.0,19131.0,17162.0,26860.0,0.0,1.0,13.0,12.0,15.0
甘    肃,7936539.0,470840.0,1149128.0,836675.0,274418.0,680940.0,175369.0,952227.0,875123.0,299224.0,829721.0,11880.0,199164.0,314964.0,166076.0,628534.0,192.0,3235.0,10882.0,9449.0,48382.0,0.0,5.0,8.0,8.0,95.0
青    海,1791200.0,138267.0,279255.0,198609.0,51466.0,63838.0,49364.0,247775.0,254660.0,84599.0,115519.0,5695.0,53936.0,100977.0,49618.0,87389.0,121.0,1042.0,2934.0,2180.0,3933.0,1.0,4.0,11.0,3.0,4.0
宁    夏,2361757.0,154953.0,454693.0,344233.0,62436.0,48961.0,67228.0,420921.0,457827.0,82316.0,57170.0,4088.0,53525.0,91155.0,30105.0,27683.0,32.0,564.0,1637.0,1030.0,1199.0,0.0,0.0,0.0,0.0,1.0
新    疆,7878844.0,396835.0,1256559.0,1151745.0,208652.0,183260.0,159834.0,1251580.0,1587757.0,434169.0,451921.0,12576.0,175259.0,321170.0,115289.0,163676.0,66.0,1439.0,3545.0,1435.0,2068.0,0.0,1.0,3.0,3.0,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
注：本表数据为居住在普通住宅的家庭户。,,,,,,,,,,,,,,,,,,,,,,,,,,
