1-8HouseholdSizebyRegion-Region-Region,"1-8HouseholdSizebyRegion-Unit:household,%-Householdfamilies-NumberofHouseholds","1-8HouseholdSizebyRegion-Unit:household,%-One-personhousehold-Numberofhouseholds","1-8HouseholdSizebyRegion-Unit:household,%-One-personhousehold-proportion","1-8HouseholdSizebyRegion-Unit:household,%-Two-personhousehold-Numberofhouseholds","1-8HouseholdSizebyRegion-Unit:household,%-Two-personhousehold-proportion","1-8HouseholdSizebyRegion-Unit:household,%-Three-personhouseholds-Numberofhouseholds","1-8HouseholdSizebyRegion-Unit:household,%-Three-personhouseholds-proportion","1-8HouseholdSizebyRegion-Unit:household,%-Four-personhouseholds-Numberofhouseholds","1-8HouseholdSizebyRegion-Unit:household,%-Four-personhouseholds-proportion","1-8HouseholdSizebyRegion-Unit:household,%-Five-personhouseholds-Numberofhouseholds","1-8HouseholdSizebyRegion-Unit:household,%-Five-personhouseholds-proportion","1-8HouseholdSizebyRegion-Unit:household,%-Six-personhouseholds-Numberofhouseholds","1-8HouseholdSizebyRegion-Unit:household,%-Six-personhouseholds-proportion","1-8HouseholdSizebyRegion-Unit:household,%-Seven-personhouseholds-Numberofhouseholds","1-8HouseholdSizebyRegion-Unit:household,%-Seven-personhouseholds-proportion","1-8HouseholdSizebyRegion-Unit:household,%-Eight-personhouseholds-Numberofhouseholds","1-8HouseholdSizebyRegion-Unit:household,%-Eight-personhouseholds-proportion","1-8HouseholdSizebyRegion-Unit:household,%-Nine-personhouseholds-Numberofhouseholds","1-8HouseholdSizebyRegion-Unit:household,%-Nine-personhouseholds-proportion","1-8HouseholdSizebyRegion-Unit:household,%-Householdswith10ormorepeople-Numberofhouseholds","1-8HouseholdSizebyRegion-Unit:household,%-Householdswith10ormorepeople-proportion"
Jilin,9426822.0,2313775.0,24.54,3496744.0,37.09,2292234.0,24.32,866072.0,9.19,329271.0,3.49,103878.0,1.1,18584.0,0.2,4171.0,0.04,1137.0,0.01,956.0,0.01
Heilongjiang,13024687.0,3806499.0,29.23,4721066.0,36.25,2969241.0,22.8,1054009.0,8.09,349169.0,2.68,92959.0,0.71,19285.0,0.15,6154.0,0.05,2084.0,0.02,4221.0,0.03
,,,,,,,,,,,,,,,,,,,,,
Shanghai,9644628.0,2736214.0,28.37,3332304.0,34.55,2159011.0,22.39,815316.0,8.45,449473.0,4.66,121950.0,1.26,21041.0,0.22,5870.0,0.06,1858.0,0.02,1591.0,0.02
Jiangsu,29910849.0,6975663.0,23.32,9635959.0,32.22,6499826.0,21.73,3718062.0,12.43,1957228.0,6.54,837511.0,2.8,191310.0,0.64,54635.0,0.18,19086.0,0.06,21569.0,0.07
Zhejiang,25008606.0,7713848.0,30.84,8098038.0,32.38,4783169.0,19.13,2484481.0,9.93,1203164.0,4.81,563053.0,2.25,110538.0,0.44,30637.0,0.12,11563.0,0.05,10115.0,0.04
Anhui,21910377.0,5183087.0,23.66,6790657.0,30.99,4768002.0,21.76,2972819.0,13.57,1290366.0,5.89,643354.0,2.94,172899.0,0.79,52268.0,0.24,20103.0,0.09,16822.0,0.08
Fujian,14371078.0,3925247.0,27.31,3776762.0,26.28,2794833.0,19.45,2047208.0,14.25,997876.0,6.94,568885.0,3.96,162312.0,1.13,52431.0,0.36,24113.0,0.17,21411.0,0.15
Jiangxi,14072847.0,3071115.0,21.82,3564176.0,25.33,2841228.0,20.19,2277494.0,16.18,1199459.0,8.52,692355.0,4.92,259897.0,1.85,87974.0,0.63,37171.0,0.26,41978.0,0.3
Shandong,35184241.0,7056119.0,20.05,11230306.0,31.92,7673801.0,21.81,5790216.0,16.46,2035963.0,5.79,1057955.0,3.01,229065.0,0.65,61259.0,0.17,22119.0,0.06,27438.0,0.08
,,,,,,,,,,,,,,,,,,,,,
Henan,31782693.0,6985186.0,21.98,8496727.0,26.73,6502612.0,20.46,5109476.0,16.08,2550635.0,8.03,1424419.0,4.48,476958.0,1.5,134122.0,0.42,48036.0,0.15,54522.0,0.17
Hubei,19931045.0,4706405.0,23.61,5840677.0,29.3,4589950.0,23.03,2625213.0,13.17,1323054.0,6.64,602406.0,3.02,154397.0,0.77,50151.0,0.25,20675.0,0.1,18117.0,0.09
Hunan,22878336.0,5796689.0,25.34,6332392.0,27.68,4767652.0,20.84,3308914.0,14.46,1570332.0,6.86,744743.0,3.26,224425.0,0.98,72339.0,0.32,28622.0,0.13,32228.0,0.14
Guangdong,42469178.0,14109849.0,33.22,10298011.0,24.25,6999483.0,16.48,5189548.0,12.22,2872342.0,6.76,1632082.0,3.84,699877.0,1.65,313946.0,0.74,158737.0,0.37,195303.0,0.46
Guangxi,16215014.0,4075139.0,25.13,3845306.0,23.71,3263580.0,20.13,2462519.0,15.19,1341827.0,8.28,702577.0,4.33,289204.0,1.78,117128.0,0.72,54923.0,0.34,62811.0,0.39
Hainan,2961646.0,663799.0,22.41,648854.0,21.91,589414.0,19.9,521817.0,17.62,260663.0,8.8,144126.0,4.87,67554.0,2.28,30363.0,1.03,15807.0,0.53,19249.0,0.65
,,,,,,,,,,,,,,,,,,,,,
Chongqing,12040234.0,3526142.0,29.29,3644792.0,30.27,2437753.0,20.25,1370388.0,11.38,670554.0,5.57,293837.0,2.44,64913.0,0.54,18295.0,0.15,6151.0,0.05,7409.0,0.06
Sichuan,30756120.0,8836045.0,28.73,9159406.0,29.78,6087228.0,19.79,3570933.0,11.61,1877152.0,6.1,859836.0,2.8,233376.0,0.76,74507.0,0.24,27556.0,0.09,30081.0,0.1
Guizhou,12696585.0,3032510.0,23.88,3313502.0,26.1,2580003.0,20.32,1942394.0,15.3,998508.0,7.86,507951.0,4.0,192247.0,1.51,71429.0,0.56,29649.0,0.23,28392.0,0.22
Yunnan,15146831.0,3456738.0,22.82,3743328.0,24.71,3161675.0,20.87,2366552.0,15.62,1310492.0,8.65,740959.0,4.89,237507.0,1.57,78082.0,0.52,28876.0,0.19,22622.0,0.15
Tibet,1014090.0,336840.0,33.22,180079.0,17.76,139821.0,13.79,120796.0,11.91,77418.0,7.63,53322.0,5.26,36433.0,3.59,24565.0,2.42,16241.0,1.6,28575.0,2.82
,,,,,,,,,,,,,,,,,,,,,
Shaanxi,14211344.0,3863271.0,27.18,4126025.0,29.03,3047409.0,21.44,1892842.0,13.32,799508.0,5.63,359857.0,2.53,77879.0,0.55,21851.0,0.15,8248.0,0.06,14454.0,0.1
Gansu,8422836.0,1909342.0,22.67,2390297.0,28.38,1808686.0,21.47,1194718.0,14.18,593173.0,7.04,342791.0,4.07,115902.0,1.38,38647.0,0.46,14782.0,0.18,14498.0,0.17
Qinghai,1965893.0,498970.0,25.38,492672.0,25.06,410938.0,20.9,275803.0,14.03,149242.0,7.59,84795.0,4.31,31175.0,1.59,11818.0,0.6,5205.0,0.26,5275.0,0.27
Ningxia,2535074.0,537492.0,21.2,791806.0,31.23,593704.0,23.42,384377.0,15.16,139732.0,5.51,59356.0,2.34,19521.0,0.77,6011.0,0.24,1818.0,0.07,1257.0,0.05
Xinjiang,8351642.0,1745613.0,20.9,2251984.0,26.96,1891307.0,22.65,1392479.0,16.67,667943.0,8.0,261709.0,3.13,87211.0,1.04,29741.0,0.36,11609.0,0.14,12046.0,0.14
