3-1UrbanUnitEmploymentandTotalWagesbyIndustry(2016)-URBANUNITSEMPLOYMENTANDTOTALWAGESBYSECTOR(2016)-Item-Item-Item-Item-Item-Item,3-1UrbanUnitEmploymentandTotalWagesbyIndustry(2016)-URBANUNITSEMPLOYMENTANDTOTALWAGESBYSECTOR(2016)-Item-Item-Item-Item-Item-Item.1,3-1UrbanUnitEmploymentandTotalWagesbyIndustry(2016)-URBANUNITSEMPLOYMENTANDTOTALWAGESBYSECTOR(2016)-Year-endnumberofpeople-(thousandpeople)-Year-end-Figures-(1000-persons),3-1UrbanUnitEmploymentandTotalWagesbyIndustry(2016)-URBANUNITSEMPLOYMENTANDTOTALWAGESBYSECTOR(2016)-FEMALE-Female,3-1UrbanUnitEmploymentandTotalWagesbyIndustry(2016)-URBANUNITSEMPLOYMENTANDTOTALWAGESBYSECTOR(2016)-Totalwages-(billionyuan)-Total-Wages-(100million-yuan),3-1UrbanUnitEmploymentandTotalWagesbyIndustry(2016)-URBANUNITSEMPLOYMENTANDTOTALWAGESBYSECTOR(2016)-AVERAGEWAGE-(Yuan)-Average-Wage-(yuan)
WATER PRODUCTION AND SUPPLY INDUSTRY,Production and Supply of Water,581.0,213.0,344.0,59595.0
CONSTRUCTION INDUSTRY,Construction,27247.0,2980.0,13969.2,52082.0
HOUSE CONSTRUCTION INDUSTRY,Construction of Buildings,18987.0,1898.0,9433.5,50419.0
Civil Engineering Construction Industry,Civil Engineering,5255.0,700.0,2952.0,56884.0
CONSTRUCTION AND INSTALLATION INDUSTRY,Building Installation,1467.0,200.0,829.8,58113.0
BUILDING DECORATION AND OTHER CONSTRUCTION INDUSTRIES,Building Decoration and Other Constructions,1538.0,182.0,754.0,50464.0
Wholesale and Retail Trade,Wholesale and Retail Trades,8750.0,4414.0,5681.2,65061.0
Wholesale Industry,Wholesale Trade,3846.0,1617.0,3357.7,86884.0
Retail Industry,Retail Trade,4904.0,2797.0,2323.5,47735.0
"TRANSPORTATION, WAREHOUSING AND POSTAL SERVICES","Transport, Storage and Post",8495.0,2218.0,6238.7,73650.0
RAILWAY TRANSPORTATION INDUSTRY,Railway Transport,1874.0,305.0,1677.7,89532.0
ROAD TRANSPORTATION INDUSTRY,Road Transport,3856.0,986.0,2125.8,55298.0
Water Transport Industry,Water Transport,460.0,81.0,426.0,90229.0
AIR TRANSPORTATION INDUSTRY,Air Transport,595.0,226.0,789.3,137108.0
PIPELINE TRANSPORTATION INDUSTRY,Transport Via Pipelines,36.0,9.0,37.5,100996.0
"LOADING, UNLOADING, TRANSPORTATION HANDLING AND TRANSPORTATION AGENCY INDUSTRY","Loading, Unloading and Forwarding Agency",432.0,141.0,328.4,76327.0
Warehousing Industry,Storage,310.0,87.0,188.7,60364.0
POSTAL SERVICES,Post,931.0,383.0,665.3,71943.0
ACCOMMODATION AND CATERING INDUSTRY,Hotels and Catering Services,2697.0,1483.0,1167.9,43382.0
Accommodation Industry,Hotels,1402.0,764.0,647.6,46002.0
Catering Industry,Catering Services,1295.0,719.0,520.3,40509.0
"INFORMATION TRANSMISSION, SOFTWARE, AND INFORMATION TECHNOLOGY","Information Transmission, Software and",3641.0,1422.0,4431.8,122478.0
SERVICES,Information Technology,,,,
"Telecommunications, Radio, Television, and Satellite Transmission Services","Telecommunication, Radio and Television and",1718.0,721.0,1581.3,91724.0
,Satellite Transmission Service,,,,
INTERNET AND RELATED SERVICES,Internet and Related Service,304.0,119.0,486.9,157982.0
SOFTWARE AND INFORMATION TECHNOLOGY SERVICES INDUSTRY,Software and Information Technology,1619.0,582.0,2363.6,149001.0
FINANCIAL INDUSTRY,Financial Intermediation,6652.0,3474.0,7557.3,117418.0
MONETARY AND FINANCIAL SERVICES,Monetary and Financial Service,3605.0,1791.0,5050.9,140901.0
Capital Market Services,Capital Market Service,244.0,104.0,637.2,264524.0
INSURANCE INDUSTRY,Insurance,2672.0,1525.0,1645.1,65957.0
OTHER FINANCIAL INDUSTRY,Other Financial Activities,130.0,54.0,224.1,192432.0
Real Estate Industry,Real Estate,4317.0,1611.0,2802.1,65497.0
REAL ESTATE DEVELOPMENT AND OPERATION,Development and Management of Real Estate,1815.0,642.0,1513.2,83755.0
PROPERTY MANAGEMENT,Property Management,2048.0,793.0,925.1,45829.0
REAL ESTATE INTERMEDIARY SERVICES,Agency Services of Real Estate,246.0,97.0,208.5,85552.0
LEASING AND BUSINESS SERVICES,Leasing and Business Services,4884.0,1599.0,3704.3,76782.0
Leasing Industry,Leasing,122.0,28.0,94.8,78755.0
Business and Service Industry,Business Services,4762.0,1571.0,3609.5,76732.0
SCIENCE AND TECHNOLOGY RESEARCH AND TECHNICAL SERVICE INDUSTRY,Scientific Research and Technical Services,4196.0,1320.0,4037.3,96638.0
RESEARCH AND EXPERIMENTAL DEVELOPMENT,Research and Experimental Development,837.0,298.0,942.5,112602.0
PROFESSIONAL AND TECHNICAL SERVICES,Professional Technical Services,2677.0,775.0,2527.7,94702.0
TECHNOLOGY PROMOTION AND APPLICATION SERVICES,Science and Technology Popularization and,682.0,247.0,567.1,84436.0
,Application Services,,,,
"WATER CONSERVANCY, ENVIRONMENTAL PROTECTION, AND PUBLIC UTILITIES MANAGEMENT","Management of Water Conservancy,",2696.0,1103.0,1278.2,47750.0
,Environment and Public Facilities,,,,
Water Conservancy Management Industry,Management of Water Conservancy,467.0,132.0,283.3,60880.0
ECOLOGICAL PROTECTION AND ENVIRONMENTAL GOVERNANCE INDUSTRY,Ecological Protection and Environmental Treatment,133.0,42.0,84.8,64299.0
PUBLIC UTILITIES MANAGEMENT,Management of Public Facilities,2097.0,928.0,910.1,43763.0
"Residential Services, Repair, and Other Service Industries","Service to Households, Repair and Other Services",754.0,329.0,357.8,47577.0
Resident Services Industry,Service to Households,309.0,147.0,153.8,49888.0
"Motor Vehicles, Electronic Products, and Daily Necessities","Repair of Motor Vehicle, Electronics and Household",122.0,32.0,68.4,56052.0
REPAIR INDUSTRY,Products,,,,
OTHER SERVICES SECTOR,Other Services,323.0,150.0,135.6,42145.0
Education,Education,17292.0,9520.0,12787.1,74498.0
# Primary Education,Primary Education,5927.0,3535.0,4062.2,69031.0
Secondary Education,Secondary Education,7446.0,3815.0,5456.5,73763.0
HIGHER EDUCATION,Senior Education,2220.0,1045.0,2185.6,98950.0
HEALTH AND SOCIAL WORK,Health and Social Service,8670.0,5569.0,6825.6,80026.0
HEALTH CARE,Health,8468.0,5454.0,6710.0,80569.0
SOCIAL WORK,Social Service,202.0,116.0,115.6,57524.0
"CULTURE, SPORTS AND ENTERTAINMENT","Culture, Sports and Entertainment",1508.0,681.0,1204.4,79875.0
NEWS AND PUBLISHING INDUSTRY,Journalism and Publishing Activities,325.0,148.0,318.1,96996.0
"BROADCASTING, TELEVISION, FILM, AND VIDEO RECORDING","Radio, Television, Motion Picture and Videotape Programme",466.0,194.0,392.8,84605.0
MANUFACTURING,Production Services,,,,
Cultural and Artistic Industry,Cultural and Art Activities,468.0,228.0,310.9,66761.0
Sports,Sports Activities,131.0,56.0,116.9,87461.0
Entertainment Industry,Entertainment,117.0,54.0,65.9,56543.0
"PUBLIC ADMINISTRATION, SOCIAL SECURITY, AND SOCIAL ORGANIZATIONS","Public Management, Social Security and Social Organization",16726.0,5277.0,11787.2,70959.0
COMMUNIST PARTY OF CHINA ORGANS,Organs of Communist Party of China,593.0,165.0,458.4,77711.0
NATIONAL ORGANIZATION,Government Agencies,15383.0,4800.0,10828.2,70879.0
"PEOPLE'S POLITICAL COUNCIL, DEMOCRATIC PARTIES",People's Political Consultative Conference and Democratic Parties,106.0,29.0,89.3,84736.0
SOCIAL SECURITY,Social Security,185.0,88.0,113.7,61614.0
"PEASANT MUNICIPALITIES, SOCIAL ORGANIZATIONS AND OTHERS","Non-Governmental Organizations, Social Organizations and",394.0,167.0,273.2,69856.0
MEMBER ORGANIZATION,Membership Organizations,,,,
