Student,Partial multiple-choice score situation,Partial multiple-choice score situation.1,Partial multiple-choice score situation.2,Partial multiple-choice score situation.3,Partial multiple-choice score situation.4,Partial multiple-choice score situation.5,Partial multiple-choice score situation.6,Partial multiple-choice score situation.7,Partial multiple-choice score situation.8,Partial multiple-choice score situation.9,Partial multiple-choice score situation.10,Partial multiple-choice score situation.11,Total Score
26,0.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
27,0.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
28,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
29,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
30,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,
31,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
32,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,
33,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
34,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
35,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
36,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,
37,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,
38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,
39,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,
40,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
41,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,
42,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,
43,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,
44,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,
45,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,
46,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
47,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,
48,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,
49,5.0,5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,
50,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
51,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,
52,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,
53,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,
54,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,
55,0.0,5.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,
56,0.0,5.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,
57,5.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,
58,5.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,
59,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,
60,5.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
61,0.0,5.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,
62,0.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,
63,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,
64,0.0,5.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,
65,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,
66,0.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,
67,0.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,
68,0.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,
69,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,
70,5.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,
71,5.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,
72,5.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,
73,0.0,5.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,
74,5.0,5.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,
75,5.0,5.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,
76,5.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,
77,0.0,5.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,5.0,
78,5.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,
79,0.0,5.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,
80,5.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,
81,5.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,
82,5.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,
83,5.0,5.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,
84,0.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,
85,5.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,
86,5.0,5.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,
87,5.0,5.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,
88,5.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,
89,5.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,
90,5.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,
91,0.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,
92,5.0,5.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,
93,5.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,
94,0.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,
95,5.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,
96,5.0,5.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,
97,5.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,
98,5.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,
99,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,
100,5.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,
Average Score,,,,,,,,,,,,,
Difficulty,,,,,,,,,,,,,
