Liaoning Province,653,633,643,685,654,670,633,632,633,639,634,636,645,641,643,628,626,627,633,627,630,622,622,622,,,,,,,634,623,627,622,622,622,,,,,,,,,,,,,,,,,,,,,,,,,622,621,622,,,,612,612,612,Liaoning Province
Inner Mongolia,663,663,663,641,637,639,654,654,654,627,625,626,621,621,621,622,622,622,,,,,,,,,,614,614,614,,,,,,,,,,,,,,,,634,634,634,,,,,,,,,,,,,,,,,,,,,,Inner Mongolia
Ningxia Autonomous Region,,,,646,626,636,642,642,642,630,627,629,658,658,658,627,627,627,630,630,630,,,,,,,,,,630,630,630,,,,625,625,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ningxia Autonomous Region
Qinghai Province,,,,,,,606,606,606,,,,617,616,617,,,,,,,,,,,,,599,599,599,614,590,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qinghai Province
Shandong Province,675,655,665,662,662,662,662,646,654,656,634,649,658,641,653,654,654,654,654,654,654,658,654,656,654,654,654,660,653,657,661,653,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,649,648,649,,,,,,,Shandong Province
Shanxi Province,618,617,618,618,614,616,633,620,627,,,,616,606,610,621,607,614,,,,,,,,,,,,,608,606,607,,,,,,,,,,,,,,,,,,,,,,611,606,608,,,,,,,,,,,,,Shanxi Province
Shaanxi Province,680,679,680,693,679,686,,,,,,,672,666,669,682,660,671,673,666,670,666,655,660,,,,,,,676,655,667,663,663,663,,,,,,,658,655,657,,,,,,,,,,,,,,,,,,,,,,,,,Shaanxi Province
Shanghai Municipality,552,548,550,535,532,534,545,544,545,,,,565,546,556,521,513,517,,,,545,521,533,,,,,,,552,530,541,,,,,,,,,,527,520,525,,,,,,,,,,531,520,524,,,,,,,,,,,,,Shanghai Municipality
Sichuan Province,672,672,672,,,,681,681,681,670,666,668,673,671,672,,,,668,668,668,,,,,,,,,,668,656,661,652,649,651,667,664,666,669,663,666,,,,,,,,,,659,650,656,667,667,667,,,,,,,,,,,,,Sichuan Province
Tianjin Municipality,662,657,660,656,643,650,669,635,652,652,636,642,647,644,646,636,628,633,,,,663,642,653,,,,638,635,637,666,630,642,,,,,,,,,,,,,,,,632,632,632,,,,636,629,633,,,,,,,,,,,,,Tianjin Municipality
Tibet Autonomous Region,,,,,,,,,,,,,655,655,655,,,,562,562,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tibet Autonomous Region
Yunnan Province,,,,657,657,657,,,,639,639,639,652,649,651,638,634,636,,,,,,,,,,,,,655,639,647,662,648,655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yunnan Province
Zhejiang Province,645,645,645,645,632,638,654,648,650,642,633,638,641,636,638,,,,635,630,632,635,635,635,,,,640,640,640,629,615,622,,,,629,616,623,622,622,622,635,632,634,,,,629,629,629,,,,629,629,629,,,,,,,,,,,,,Zhejiang Province
Chongqing City,659,655,658,655,655,655,666,661,664,650,649,650,664,656,659,651,650,651,648,647,648,,,,,,,,,,645,645,645,644,644,644,646,646,646,,,,,,,,,,,,,,,,645,645,645,,,,,,,,,,,,,Chongqing City
Xinjiang Autonomous Region,,,,654,648,651,,,,,,,647,629,637,,,,640,631,636,685,635,660,,,,,,,,,,,,,,,,,,,,,,628,628,628,,,,,,,,,,,,,,,,,,,,,,
,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,Highest Score,Minimum Score,Average Score,
Province,Yuanpei Program,Yuanpei Program,Yuanpei Program,Economics and Business Administration,Economics and Business Administration,Economics and Business Administration,Business Administration and Management,Business Administration and Management,Business Administration and Management,International Politics,International Politics,International Politics,Law,Law,Law,Sociology,Sociology,Sociology,News and Communication Major,News and Communication Major,News and Communication Major,English,English,English,Information Management and Information System,Information Management and Information System,Information Management and Information System,Public Administration,Public Administration,Public Administration,Chinese Language and Literature,Chinese Language and Literature,Chinese Language and Literature,Archaeology,Archaeology,Archaeology,Philosophy and Related Disciplines,Philosophy and Related Disciplines,Philosophy and Related Disciplines,German,German,German,French,French,French,Russian,Russian,Russian,Japanese,Japanese,Japanese,Broadcast and Television Director (Film and Television Director),Broadcast and Television Director (Film and Television Director),Broadcast and Television Director (Film and Television Director),History and Science Class,History and Science Class,History and Science Class,Korean,Korean,Korean,Spanish,Spanish,Spanish,Arabic,Arabic,Arabic,Urdu,Urdu,Urdu,Province
