School,College,MajorName,06AdmissionRatio,09AdmissionRatio-Numberofapplicants,AdmittedNumber,AdmissionRatio,RecommendedAdmissionNumber
Peking University,Law School,Law (Commercial Law),17.36%,0,3,0.00%,2
Peking University,Law School,Law (International Economic Law),12.03%,0,7,0.00%,5
Peking University,Law School,Juris Master's,11.26%,1486,142,9.56%,57
Peking University,Information Management Department,Library Science,19.23%,22,4,18.18%,6
Peking University,Information Management Department,Information Science,17.81%,75,9,12.00%,16
Peking University,Information Management Department,"Library, Information and Archival Management",20.00%,6,1,16.67%,4
Peking University,Department of Sociology,Sociology,22.63%,159,53,33.33%,15
Peking University,Department of Sociology,Demography,0.00%,0,0,0.00%,0
Peking University,Department of Sociology,Anthropology,12.20%,34,5,14.71%,3
Peking University,Department of Sociology,Social Security,14.81%,26,5,19.23%,4
Peking University,School of Government Management,Regional Economics,5.62%,48,4,8.33%,7
Peking University,School of Government Management,Political Theory,10.59%,89,9,10.11%,2
Peking University,School of Government Management,Comparative Political Systems,11.63%,35,4,11.43%,3
Peking University,School of Government Management,History of the Communist Party of China,18.18%,27,6,22.22%,1
Peking University,School of Government Management,Administrative Management,9.93%,312,39,12.50%,14
Peking University,School of Government Management,Public Administration (Public Policy),30.43%,34,3,8.82%,2
Peking University,School of Government Management,Public Administration (Development Management),6.41%,65,4,6.15%,4
Peking University,School of Foreign Languages,Comparative Literature and World Literature,11.43%,36,7,19.44%,2
Peking University,School of Foreign Languages,English Language and Literature,6.79%,184,16,8.70%,8
Peking University,School of Foreign Languages,Russian Language and Literature,15.38%,32,7,21.88%,6
Peking University,School of Foreign Languages,French Language and Literature,10.53%,23,2,8.70%,3
Peking University,School of Foreign Languages,German Language and Literature,15.00%,26,4,15.38%,2
Peking University,School of Foreign Languages,Japanese Language and Literature,8.33%,32,5,15.63%,5
Peking University,School of Foreign Languages,Indian Languages and Literature,83.33%,20,4,20.00%,1
Peking University,School of Foreign Languages,Spanish Language and Literature,28.57%,6,0,0.00%,0
Peking University,School of Foreign Languages,Arabic Language and Literature,37.50%,9,0,0.00%,2
Peking University,School of Foreign Languages,Asian and African Languages and Literatures,18.75%,39,6,15.38%,5
Peking University,School of Marxism,Marxist Philosophy,30.00%,0,0,0.00%,0
Peking University,School of Marxism,Political Economy,17.86%,21,4,19.05%,0
Peking University,School of Marxism,Science Socialism and International Communist Movement,17.24%,37,5,13.51%,3
Peking University,School of Marxism,History of the Communist Party of China,6.90%,0,0,0.00%,0
Peking University,School of Marxism,Marxist Theory and Ideological and Political Education,12.50%,0,0,0.00%,0
Peking University,Center for Science and Society Research,Philosophy of Science and Technology,0.00%,0,0,0.00%,0
Peking University,Center for Science and Society Research,History of Science and Technology,0.00%,0,0,0.00%,0
Peking University,Department of Fine Arts,Fine Arts,3.33%,42,2,4.76%,2
Peking University,Department of Fine Arts,Fine Arts,9.33%,70,7,10.00%,0
Peking University,Department of Fine Arts,Film Studies,4.92%,55,3,5.45%,6
Peking University,School of Chinese Language and Culture Education,Chinese Language and Literature,15.08%,223,36,16.14%,4
Peking University,Shenzhen Graduate School,Western Economics,578.57%,41,66,160.98%,16
Peking University,School of Information Science and Technology,Acoustics,0.00%,0,0,0.00%,1
Peking University,School of Information Science and Technology,Radio Physics,25.00%,20,4,20.00%,9
Peking University,School of Information Science and Technology,Physics Electronics,20.69%,20,5,25.00%,2
Peking University,School of Information Science and Technology,Circuits and Systems,12.50%,13,3,23.08%,3
Peking University,School of Information Science and Technology,Microelectronics and Solid State Electronics,23.73%,137,56,40.88%,49
Peking University,School of Information Science and Technology,Electromagnetic Field and Microwave Technology,33.33%,5,3,60.00%,4
Peking University,School of Information Science and Technology,Electronics and Communication Engineering,0.00%,0,0,0.00%,0
Peking University,School of Information Science and Technology,Communication and Information Systems,10.94%,85,11,12.94%,21
Peking University,School of Information Science and Technology,Signal and Information Processing,16.95%,32,7,21.88%,23
Peking University,School of Information Science and Technology,Computer Science and Technology,0.00%,0,0,0.00%,0
Peking University,School of Information Science and Technology,Computer System Architecture,16.05%,70,12,17.14%,27
Peking University,School of Information Science and Technology,Computer Software and Theory,6.48%,331,22,6.65%,45
Peking University,School of Information Science and Technology,Computer Application Technology,9.59%,178,19,10.67%,35
Peking University,"Center for Economic Research, China",Political Economy,0.00%,3,0,0.00%,0
Peking University,"Center for Economic Research, China",Economic History,0.00%,10,1,10.00%,0
Peking University,"Center for Economic Research, China",Western Economics,4.76%,204,12,5.88%,10
Peking University,"Center for Economic Research, China",World Economy,0.00%,22,0,0.00%,0
Peking University,"Center for Economic Research, China",Theoretical Economics (Development Economics),0.00%,69,3,4.35%,4
Peking University,"Center for Economic Research, China",National Economics,0.00%,0,0,0.00%,0
Peking University,"Center for Economic Research, China",Finance,19.47%,149,36,24.16%,5
Peking University,"Center for Economic Research, China",Enterprise Management,0.00%,14,0,0.00%,1
Peking University,School of Education,Higher Education Studies,7.41%,62,4,6.45%,8
Peking University,School of Education,Educational Technology,7.14%,0,0,0.00%,8
Peking University,School of Education,Education Economics and Management,15.38%,16,4,25.00%,12
Peking University,Institute of Population Research,Political Economy,16.67%,3,1,33.33%,1
Peking University,Institute of Population Research,"Demography, Resources, and Environmental Economics",33.33%,7,2,28.57%,2
Peking University,Institute of Population Research,Demography,26.67%,14,2,14.29%,1
Peking University,Institute of Population Research,Sociology (Gerontology),100.00%,14,6,42.86%,2
Peking University,Institute of Molecular Medicine,Physiology,0.00%,4,1,25.00%,2
Peking University,Institute of Molecular Medicine,Cell Biology,0.00%,4,0,0.00%,2
Peking University,Institute of Molecular Medicine,Biochemistry and Molecular Biology,0.00%,4,1,25.00%,5
Peking University,Institute of Molecular Medicine,Biophysics,0.00%,2,1,50.00%,2
Peking University,Institute of Molecular Medicine,Biology (Biotechnology),0.00%,0,0,0.00%,2
Peking University,School of Basic Medical Sciences,Physiology,18.42%,4,5,125.00%,0
Peking University,School of Basic Medical Sciences,Neurobiology,28.57%,19,11,57.89%,0
Peking University,School of Basic Medical Sciences,Genetics,25.00%,4,2,50.00%,0
Peking University,School of Basic Medical Sciences,Cell Biology,16.67%,13,7,53.85%,0
Peking University,School of Basic Medical Sciences,Biochemistry and Molecular Biology,17.86%,44,9,20.45%,0
Peking University,School of Basic Medical Sciences,Biophysics,133.33%,2,3,150.00%,0
Peking University,School of Basic Medical Sciences,Human Anatomy and Histology Embryology,33.33%,25,5,20.00%,0
Peking University,School of Basic Medical Sciences,Immunology,14.63%,111,11,9.91%,3
Peking University,School of Basic Medical Sciences,Pathogenic Biology,66.67%,31,9,29.03%,1
Peking University,School of Basic Medical Sciences,Pathology and Pathophysiology,0.00%,0,0,0.00%,0
Peking University,School of Basic Medical Sciences,Radiation Medicine,100.00%,1,1,100.00%,1
Peking University,School of Basic Medical Sciences,Pathology,14.29%,67,4,5.97%,1
Peking University,School of Basic Medical Sciences,Pathophysiology,50.00%,45,3,6.67%,0
Peking University,School of Basic Medical Sciences,Integrated Traditional Chinese and Western Medicine (Basic),0.00%,3,1,33.33%,0
Peking University,School of Basic Medical Sciences,Pharmacology,14.29%,11,7,63.64%,1
Peking University,School of Pharmaceutical Sciences,Inorganic Chemistry,0.00%,0,0,0.00%,0
Peking University,School of Pharmaceutical Sciences,Pathogenic Biology,0.00%,0,0,0.00%,0
Peking University,School of Pharmaceutical Sciences,Pathology and Pathophysiology,0.00%,0,0,0.00%,0
Peking University,School of Pharmaceutical Sciences,Medicinal Chemistry,10.00%,12,1,8.33%,0
Peking University,School of Pharmaceutical Sciences,Pharmaceutics,6.90%,29,3,10.34%,0
Peking University,School of Pharmaceutical Sciences,Pharmacognosy,33.33%,45,6,13.33%,0
Peking University,School of Pharmaceutical Sciences,Drug Analysis,20.00%,6,2,33.33%,0
Peking University,School of Pharmaceutical Sciences,Microbiology and Biochemical Pharmacy,0.00%,0,0,0.00%,0
Peking University,School of Pharmaceutical Sciences,Pharmacology,33.33%,5,2,40.00%,0
Peking University,School of Pharmaceutical Sciences,Chemical Biology,44.44%,9,4,44.44%,0
Peking University,School of Pharmaceutical Sciences,Clinical Pharmacy,0.00%,0,0,0.00%,0
Peking University,School of Public Health,Epidemiology and Health Statistics,24.39%,47,8,17.02%,1
Peking University,School of Public Health,Occupational and Environmental Hygiene,33.33%,26,8,30.77%,0
Peking University,School of Public Health,Nutrition and Food Hygiene,14.29%,44,5,11.36%,1
Peking University,School of Public Health,Child and Adolescent Health and Maternal and Child Health Care,27.78%,21,7,33.33%,0
Peking University,School of Public Health,Hygienic Toxicology,0.00%,0,0,0.00%,1
Peking University,School of Public Health,Social Medicine and Health Service Management,30.43%,33,6,18.18%,0
Peking University,School of Nursing,Nursing Science,5.04%,78,4,5.13%,2
Peking University,Public Teaching Department,Marxist Theory and Ideological and Political Education,33.33%,0,0,0.00%,0
Peking University,Public Teaching Department,Applied Psychology,0.00%,8,3,37.50%,3
Peking University,Public Teaching Department,History of Science and Technology,25.00%,8,1,12.50%,3
Peking University,First Clinical Medicine College,Pathology and Pathophysiology,0.00%,0,0,0.00%,0
Peking University,First Clinical Medicine College,Pathology,0.00%,0,0,0.00%,0
Peking University,First Clinical Medicine College,Internal Medicine,9.64%,146,13,8.90%,6
Peking University,First Clinical Medicine College,Pediatrics,53.85%,27,10,37.04%,1
Peking University,First Clinical Medicine College,Neurology,9.09%,36,3,8.33%,0
Peking University,First Clinical Medicine College,Dermatology and Venereology,14.29%,29,3,10.34%,0
Peking University,First Clinical Medicine College,Medical Imaging and Nuclear Medicine,13.64%,40,4,10.00%,0
Peking University,First Clinical Medicine College,Clinical Laboratory Diagnosis,11.11%,12,2,16.67%,0
Peking University,First Clinical Medicine College,Surgery,8.45%,101,8,7.92%,2
Peking University,First Clinical Medicine College,Obstetrics and Gynecology,25.00%,25,3,12.00%,1
Peking University,First Clinical Medicine College,Ophthalmology,18.18%,2,1,50.00%,0
Peking University,First Clinical Medicine College,Otolaryngology,18.75%,3,3,100.00%,0
Peking University,First Clinical Medicine College,Oncology,0.00%,8,1,12.50%,0
Peking University,First Clinical Medicine College,Rehabilitation Medicine and Physiotherapy,18.18%,0,0,0.00%,0
Peking University,First Clinical Medicine College,Anesthesiology,7.69%,21,1,4.76%,0
Peking University,First Clinical Medicine College,Epidemiology and Health Statistics,66.67%,0,0,0.00%,0
Peking University,First Clinical Medicine College,Integrated Traditional Chinese and Western Medicine (Basic),0.00%,0,0,0.00%,0
Peking University,First Clinical Medicine College,Integrated Traditional Chinese and Western Medicine Clinical Practice,0.00%,0,0,0.00%,0
Peking University,First Clinical Medicine College,Pharmacology,0.00%,0,0,0.00%,0
Peking University,First Clinical Medicine College,Clinical Pharmacy,0.00%,0,0,0.00%,0
Peking University,Second Clinical Medicine College,Biochemistry and Molecular Biology,0.00%,0,0,0.00%,0
Peking University,Second Clinical Medicine College,Pathology and Pathophysiology,0.00%,0,0,0.00%,0
Peking University,Second Clinical Medicine College,Pathology,0.00%,0,0,0.00%,0
Peking University,Second Clinical Medicine College,Internal Medicine,13.45%,121,15,12.40%,1
Peking University,Second Clinical Medicine College,Pediatrics,66.67%,7,2,28.57%,0
Peking University,Second Clinical Medicine College,Neurology,5.26%,6,2,33.33%,0
Peking University,Second Clinical Medicine College,Dermatology and Venereology,0.00%,5,1,20.00%,0
Peking University,Second Clinical Medicine College,Medical Imaging and Nuclear Medicine,66.67%,2,1,50.00%,1
Peking University,Second Clinical Medicine College,Clinical Laboratory Diagnosis,0.00%,5,1,20.00%,0
Peking University,Second Clinical Medicine College,Surgery,16.22%,117,9,7.69%,3
Peking University,Second Clinical Medicine College,Obstetrics and Gynecology,9.09%,34,3,8.82%,1
Peking University,Second Clinical Medicine College,Ophthalmology,13.33%,15,1,6.67%,0
Peking University,Second Clinical Medicine College,Otolaryngology,0.00%,2,1,50.00%,0
Peking University,Second Clinical Medicine College,Anesthesiology,0.00%,0,0,0.00%,1
Peking University,Second Clinical Medicine College,Emergency Medicine,0.00%,6,1,16.67%,0
Peking University,Third Clinical Medicine College,Biochemistry and Molecular Biology,0.00%,0,0,0.00%,0
Peking University,Third Clinical Medicine College,Pathology and Pathophysiology,0.00%,0,0,0.00%,0
Peking University,Third Clinical Medicine College,Internal Medicine,12.04%,109,8,7.34%,2
Peking University,Third Clinical Medicine College,Pediatrics,300.00%,5,2,40.00%,0
Peking University,Third Clinical Medicine College,Neurology,9.09%,9,1,11.11%,0
Peking University,Third Clinical Medicine College,Dermatology and Venereology,0.00%,0,0,0.00%,0
Peking University,Third Clinical Medicine College,Medical Imaging and Nuclear Medicine,10.00%,38,4,10.53%,0
Peking University,Third Clinical Medicine College,Clinical Laboratory Diagnosis,0.00%,6,1,16.67%,0
Peking University,Third Clinical Medicine College,Surgery,9.32%,103,11,10.68%,2
Peking University,Third Clinical Medicine College,Obstetrics and Gynecology,19.23%,43,3,6.98%,0
Peking University,Third Clinical Medicine College,Ophthalmology,8.70%,22,3,13.64%,1
Peking University,Third Clinical Medicine College,Otolaryngology,50.00%,7,2,28.57%,0
Peking University,Third Clinical Medicine College,Oncology,10.00%,0,0,0.00%,0
Peking University,Third Clinical Medicine College,Rehabilitation Medicine and Physiotherapy,10.00%,5,1,20.00%,0
Peking University,Third Clinical Medicine College,Sports Medicine,0.00%,25,3,12.00%,0
Peking University,Third Clinical Medicine College,Anesthesiology,16.67%,30,2,6.67%,0
Peking University,Third Clinical Medicine College,Occupational and Environmental Hygiene,0.00%,0,0,0.00%,0
Peking University,Third Clinical Medicine College,Pharmaceutics,0.00%,0,0,0.00%,0
Peking University,Fourth Clinical Medical College,Internal Medicine,11.76%,5,0,2.00%,0
Peking University,Fourth Clinical Medical College,Medical Imaging and Nuclear Medicine,25.00%,4,0,0.00%,0
Peking University,Fourth Clinical Medical College,Surgery,14.71%,45,0,4.00%,0
Peking University,Fourth Clinical Medical College,Obstetrics and Gynecology,0.00%,0,0,0.00%,0
Peking University,Fourth Clinical Medical College,Oncology,0.00%,3,0,0.00%,0
Peking University,School of Stomatology,Basic Stomatology,0.00%,0,0,0.00%,0
Peking University,School of Stomatology,Stomatology Clinical Medicine,0.00%,0,0,0.00%,0
Peking University,School of Stomatology,Endodontics,0.00%,7,1,14.29%,0
Peking University,School of Stomatology,Periodontology,0.00%,12,1,8.33%,0
Peking University,School of Stomatology,Pediatric Dental Medicine,20.00%,8,2,25.00%,0
Peking University,School of Stomatology,Oral Mucosal Diseases,25.00%,1,0,0.00%,0
Peking University,School of Stomatology,Oral Preventive Medicine,10.00%,4,1,25.00%,0
Peking University,School of Stomatology,Oral and Maxillofacial Surgery,42.86%,33,8,24.24%,0
Peking University,School of Stomatology,Oral and Maxillofacial Medical Imaging,0.00%,0,1,0.00%,0
Peking University,School of Stomatology,Prosthetic Dentistry,6.67%,27,4,14.81%,0
Peking University,School of Stomatology,Dental Materials Science,0.00%,0,1,0.00%,0
Peking University,School of Stomatology,Orthodontics,7.69%,55,3,5.45%,0
Peking University,School of Stomatology,Oral Histopathology,33.33%,9,3,33.33%,0
Peking University,Institute of Mental Health,Applied Psychology,0.00%,0,0,0.00%,0
Peking University,Institute of Mental Health,Psychiatry and Mental Health Science,15.79%,110,16,14.55%,0
Peking University,School of Clinical Oncology,Cell Biology,150.00%,1,1,100.00%,0
Peking University,School of Clinical Oncology,Biochemistry and Molecular Biology,27.27%,6,2,33.33%,1
Peking University,School of Clinical Oncology,Medical Imaging and Nuclear Medicine,5.56%,5,1,20.00%,1
Peking University,School of Clinical Oncology,Oncology,12.16%,1,0,0.00%,0
Peking University,School of Clinical Oncology,Epidemiology and Health Statistics,0.00%,136,19,13.97%,3
Peking University,School of Clinical Oncology,Clinical Pharmacy,0.00%,0,0,0.00%,0
Peking University,Peking University Hospital,Biochemistry and Molecular Biology,0.00%,0,0,0.00%,0
Peking University,Peking University Hospital,Internal Medicine,50.00%,18,3,16.67%,1
Peking University,Peking University Hospital,Neurology,14.29%,15,2,13.33%,0
Peking University,Peking University Hospital,Medical Imaging and Nuclear Medicine,20.00%,12,3,25.00%,0
Peking University,Peking University Hospital,Clinical Laboratory Diagnosis,0.00%,0,0,0.00%,0
Peking University,Peking University Hospital,Surgery,30.00%,15,2,13.33%,2
Peking University,Peking University Hospital,Ophthalmology,0.00%,4,1,25.00%,0
Peking University,Peking University Hospital,Otolaryngology,100.00%,0,0,0.00%,0
Peking University,Peking University Hospital,Oncology,0.00%,0,0,0.00%,0
Peking University,China-Japan Friendship Hospital,Internal Medicine,6.82%,26,3,11.54%,0
Peking University,China-Japan Friendship Hospital,Dermatology and Venereology,0.00%,6,1,16.67%,0
Peking University,China-Japan Friendship Hospital,Surgery,7.46%,67,5,7.46%,0
Peking University,China-Japan Friendship Hospital,Anesthesiology,0.00%,0,0,0.00%,0
Peking University,Beijing Railway General Hospital,Pathology,0.00%,7,2,28.57%,0
Peking University,Beijing Railway General Hospital,Internal Medicine,200.00%,9,6,66.67%,0
Peking University,Beijing Railway General Hospital,Neurology,0.00%,5,2,40.00%,0
Peking University,Beijing Railway General Hospital,Clinical Laboratory Diagnosis,0.00%,1,1,100.00%,0
Peking University,Beijing Railway General Hospital,Surgery,43.75%,12,6,50.00%,0
Peking University,Beijing Railway General Hospital,Obstetrics and Gynecology,28.57%,5,2,40.00%,0
Peking University,Beijing Railway General Hospital,Ophthalmology,0.00%,3,0,0.00%,0
Peking University,Beijing Railway General Hospital,Otolaryngology,200.00%,0,0,0.00%,0
