4-1各地区分性别、年龄的就业人口-地区-性别,4-1各地区分性别、年龄的就业人口-单位：人-合计-合计,4-1各地区分性别、年龄的就业人口-单位：人-16-19岁-16-19岁,4-1各地区分性别、年龄的就业人口-单位：人-20-24岁-20-24岁,4-1各地区分性别、年龄的就业人口-单位：人-25-29岁-25-29岁,4-1各地区分性别、年龄的就业人口-单位：人-30-34岁-30-34岁,4-1各地区分性别、年龄的就业人口-单位：人-35-39岁-35-39岁,4-1各地区分性别、年龄的就业人口-单位：人-40-44岁-40-44岁,4-1各地区分性别、年龄的就业人口-单位：人-45-49岁-45-49岁,4-1各地区分性别、年龄的就业人口-单位：人-50-54岁-50-54岁,4-1各地区分性别、年龄的就业人口-单位：人-55-59岁-55-59岁,4-1各地区分性别、年龄的就业人口-单位：人-60-64岁-60-64岁,4-1各地区分性别、年龄的就业人口-单位：人-65-69岁-65-69岁,4-1各地区分性别、年龄的就业人口-单位：人-70-74岁-70-74岁,4-1各地区分性别、年龄的就业人口-单位：人-75岁及-以上
广    东,6203762.0,120222.0,605115.0,932469.0,1071787.0,901773.0,726886.0,752761.0,568928.0,328709.0,108626.0,57301.0,19121.0,10064.0
广    西,2013956.0,24481.0,100935.0,172907.0,272386.0,274221.0,260181.0,274218.0,254306.0,187980.0,88172.0,63182.0,26488.0,14499.0
海    南,422630.0,5761.0,27152.0,53132.0,63528.0,61509.0,51215.0,51966.0,47177.0,35486.0,13292.0,7975.0,2911.0,1526.0
,,,,,,,,,,,,,,
重    庆,1526217.0,13532.0,97165.0,172664.0,208521.0,154536.0,134780.0,254401.0,208076.0,129800.0,49008.0,57452.0,28805.0,17477.0
四    川,4552395.0,53851.0,293304.0,477536.0,592708.0,420956.0,437453.0,714233.0,621972.0,395858.0,179494.0,206261.0,98156.0,60613.0
贵    州,1480345.0,23559.0,102459.0,156041.0,193834.0,167694.0,183393.0,219519.0,189058.0,122214.0,52112.0,44218.0,17834.0,8410.0
云    南,2519755.0,54535.0,194652.0,270776.0,337406.0,294364.0,319316.0,350704.0,301479.0,210470.0,89108.0,61922.0,23007.0,12016.0
西    藏,117903.0,3064.0,11219.0,19558.0,21313.0,16926.0,13572.0,12995.0,9563.0,5779.0,2046.0,1065.0,459.0,344.0
,,,,,,,,,,,,,,
陕    西,1606941.0,10053.0,74232.0,182597.0,257557.0,201790.0,175003.0,217815.0,195105.0,139254.0,77625.0,49287.0,17848.0,8775.0
甘    肃,959370.0,8911.0,46865.0,103386.0,134226.0,108237.0,101658.0,149015.0,146299.0,90297.0,32219.0,24382.0,9533.0,4342.0
青    海,226183.0,3652.0,16303.0,30453.0,35127.0,28543.0,31425.0,34337.0,26786.0,13093.0,3412.0,2014.0,638.0,400.0
宁    夏,314750.0,3970.0,21826.0,39706.0,48892.0,42146.0,42754.0,45063.0,35890.0,21276.0,7076.0,4395.0,1278.0,478.0
新    疆,1113838.0,12537.0,78421.0,143853.0,183720.0,146360.0,136663.0,164559.0,133442.0,68607.0,22923.0,12847.0,6265.0,3641.0
,,,,,,,,,,,,,,
男,38880798.0,482044.0,2220127.0,4037493.0,5787715.0,4650831.0,4294238.0,5114136.0,5042613.0,3645765.0,1566873.0,1231032.0,537995.0,269936.0
,,,,,,,,,,,,,,
北    京,587409.0,4495.0,32722.0,74897.0,110313.0,97260.0,72445.0,69124.0,63479.0,49049.0,8883.0,3614.0,850.0,278.0
天    津,308218.0,2758.0,15772.0,33183.0,54681.0,48467.0,37418.0,36989.0,35383.0,29047.0,7865.0,4682.0,1465.0,508.0
河    北,1991602.0,22181.0,81204.0,183702.0,320117.0,267075.0,212986.0,222601.0,251495.0,192803.0,109415.0,81507.0,34001.0,12515.0
山    西,941097.0,5261.0,43172.0,102257.0,134274.0,116509.0,102897.0,131211.0,121912.0,90552.0,45621.0,30132.0,12411.0,4888.0
内 蒙 古,646349.0,2869.0,24001.0,59112.0,93001.0,87261.0,77315.0,95589.0,87921.0,65041.0,29744.0,17203.0,5482.0,1810.0
,,,,,,,,,,,,,,
辽    宁,1075189.0,7111.0,39596.0,85288.0,146419.0,129002.0,134052.0,146443.0,150013.0,125207.0,52551.0,37542.0,15442.0,6523.0
吉    林,593245.0,3871.0,18852.0,45933.0,80768.0,67316.0,72966.0,83992.0,88407.0,67261.0,30476.0,21745.0,8582.0,3076.0
黑 龙 江,767860.0,4449.0,24586.0,55909.0,99209.0,94013.0,99656.0,125512.0,115105.0,84217.0,33558.0,20957.0,7650.0,3039.0
,,,,,,,,,,,,,,
上    海,743847.0,8619.0,53284.0,103226.0,134395.0,112222.0,90104.0,84348.0,80456.0,62345.0,9682.0,4095.0,853.0,218.0
江    苏,2401192.0,19049.0,115644.0,256648.0,377751.0,272445.0,255318.0,289369.0,334107.0,240779.0,101031.0,83030.0,35701.0,20320.0
浙    江,2188814.0,31324.0,148060.0,247095.0,324437.0,263672.0,245419.0,279511.0,274285.0,202083.0,83711.0,54990.0,23699.0,10528.0
安    徽,1682501.0,17388.0,85051.0,182433.0,222720.0,165842.0,177190.0,223436.0,242444.0,174188.0,58912.0,72860.0,38399.0,21638.0
福    建,1211954.0,15884.0,66626.0,128169.0,182176.0,154912.0,141521.0,164439.0,146954.0,104850.0,50991.0,34288.0,14030.0,7114.0
江    西,1332119.0,22182.0,86706.0,127643.0,174356.0,141911.0,167467.0,187537.0,169075.0,122469.0,63014.0,42692.0,18355.0,8712.0
山    东,2810385.0,26729.0,127330.0,199097.0,436333.0,332117.0,298014.0,352882.0,388193.0,285231.0,149309.0,127990.0,58819.0,28341.0
,,,,,,,,,,,,,,
河    南,2409067.0,38816.0,133670.0,226379.0,373490.0,251766.0,243888.0,298245.0,310490.0,224473.0,116684.0,112802.0,51743.0,26621.0
湖    北,1807305.0,11430.0,72836.0,190459.0,266883.0,200679.0,188024.0,227199.0,252310.0,201022.0,86519.0,64505.0,30093.0,15346.0
湖    南,1831395.0,26988.0,94606.0,147504.0,265953.0,215347.0,191228.0,250055.0,262068.0,192517.0,80134.0,63102.0,28232.0,13661.0
广    东,3779739.0,75893.0,355969.0,556789.0,645283.0,538358.0,427046.0,439970.0,367421.0,236270.0,76566.0,39911.0,13452.0,6811.0
广    西,1154817.0,15110.0,57928.0,98863.0,154529.0,154888.0,144526.0,152834.0,149072.0,114971.0,51572.0,36681.0,15552.0,8291.0
海    南,249450.0,3612.0,16024.0,31024.0,37176.0,35625.0,29335.0,29591.0,28735.0,22856.0,8020.0,4808.0,1752.0,892.0
,,,,,,,,,,,,,,
重    庆,891118.0,8575.0,53919.0,97368.0,118828.0,86920.0,74485.0,143800.0,129114.0,86317.0,30802.0,33493.0,17114.0,10383.0
四    川,2578043.0,31508.0,158096.0,263203.0,331062.0,232500.0,237743.0,395055.0,368090.0,245463.0,106630.0,116677.0,56895.0,35121.0
贵    州,872038.0,15016.0,60454.0,90955.0,114049.0,99454.0,106707.0,127403.0,111662.0,75128.0,30469.0,25560.0,10418.0,4763.0
云    南,1430686.0,34238.0,112467.0,153859.0,191983.0,167059.0,178190.0,195151.0,170890.0,122201.0,49832.0,34887.0,13212.0,6717.0
西    藏,70367.0,1783.0,6148.0,11146.0,12629.0,10094.0,8197.0,8141.0,6144.0,3727.0,1293.0,641.0,247.0,177.0
,,,,,,,,,,,,,,
陕    西,980785.0,6100.0,42330.0,107393.0,155362.0,121880.0,103585.0,128963.0,123827.0,92790.0,49734.0,31498.0,11641.0,5682.0
甘    肃,573950.0,5627.0,26533.0,59207.0,78595.0,63302.0,58955.0,86149.0,89784.0,59837.0,20961.0,15786.0,6331.0,2883.0
青    海,135636.0,2268.0,9269.0,17084.0,20178.0,16348.0,18317.0,20464.0,17927.0,9216.0,2479.0,1427.0,413.0,246.0
宁    夏,193621.0,2696.0,12747.0,23514.0,29494.0,25484.0,24709.0,26498.0,23598.0,15434.0,4934.0,3206.0,951.0,356.0
新    疆,641000.0,8214.0,44525.0,78154.0,101271.0,81103.0,74535.0,91635.0,82252.0,48421.0,15481.0,8721.0,4210.0,2478.0
,,,,,,,,,,,,,,
女,26750988.0,288914.0,1640946.0,2943601.0,4221569.0,3446741.0,3270849.0,3826781.0,3090139.0,1849421.0,916576.0,764138.0,323241.0,168072.0
,,,,,,,,,,,,,,
北    京,427598.0,2265.0,27795.0,65812.0,91635.0,80187.0,57187.0,53340.0,32269.0,12074.0,3285.0,1351.0,294.0,104.0
天    津,196447.0,918.0,9763.0,24134.0,40668.0,36991.0,27799.0,26256.0,16610.0,7914.0,2898.0,1728.0,595.0,173.0
河    北,1341028.0,12412.0,54731.0,123293.0,226237.0,197850.0,161412.0,166238.0,155175.0,106071.0,63196.0,48112.0,19306.0,6995.0
山    西,510966.0,3011.0,29849.0,60796.0,74950.0,67309.0,61285.0,76795.0,57102.0,36888.0,21942.0,13993.0,5166.0,1880.0
内 蒙 古,403201.0,1402.0,17475.0,40866.0,60798.0,56825.0,52431.0,66313.0,49145.0,30371.0,16360.0,8338.0,2117.0,760.0
,,,,,,,,,,,,,,
辽    宁,724225.0,4104.0,29577.0,61614.0,106402.0,97620.0,102704.0,112659.0,85248.0,56343.0,33811.0,23098.0,8194.0,2851.0
吉    林,415641.0,2228.0,15028.0,34929.0,58732.0,50162.0,56772.0,65666.0,55757.0,36586.0,20475.0,13329.0,4447.0,1530.0
黑 龙 江,515541.0,2925.0,19555.0,42359.0,72774.0,70441.0,75590.0,92660.0,63483.0,37155.0,20361.0,12524.0,3990.0,1724.0
,,,,,,,,,,,,,,
上    海,521075.0,3842.0,39637.0,84578.0,106889.0,91801.0,72135.0,65013.0,38751.0,13566.0,3051.0,1431.0,289.0,92.0
江    苏,1661557.0,10491.0,83239.0,190276.0,289817.0,215023.0,206300.0,226342.0,190534.0,104357.0,56382.0,51099.0,23844.0,13853.0
浙    江,1453422.0,17248.0,103826.0,178134.0,239063.0,197535.0,189959.0,212448.0,154460.0,80444.0,37028.0,26929.0,11450.0,4898.0
安    徽,1084198.0,10740.0,61705.0,122860.0,155447.0,115274.0,125348.0,157590.0,145474.0,85342.0,30551.0,41373.0,20907.0,11587.0
福    建,840932.0,9523.0,48309.0,91488.0,136900.0,118427.0,109338.0,124044.0,91179.0,52165.0,28768.0,20034.0,6850.0,3907.0
江    西,928852.0,14886.0,65430.0,94468.0,135210.0,112771.0,131327.0,138227.0,101486.0,60967.0,35117.0,23917.0,9969.0,5077.0
山    东,1954487.0,16466.0,91809.0,139785.0,307623.0,242896.0,230259.0,272249.0,250169.0,166837.0,95494.0,84747.0,37971.0,18182.0
,,,,,,,,,,,,,,
河    南,1815975.0,24208.0,98158.0,175915.0,298777.0,206697.0,201288.0,232667.0,221772.0,148760.0,77632.0,76882.0,34131.0,19088.0
湖    北,1239363.0,7260.0,55830.0,135172.0,192559.0,145874.0,141846.0,171190.0,157840.0,105474.0,54222.0,42692.0,19226.0,10178.0
湖    南,1209685.0,17497.0,75991.0,110603.0,196522.0,157018.0,139900.0,171152.0,154120.0,91915.0,39663.0,33556.0,14340.0,7408.0
广    东,2424023.0,44329.0,249146.0,375680.0,426504.0,363415.0,299840.0,312791.0,201507.0,92439.0,32060.0,17390.0,5669.0,3253.0
广    西,859139.0,9371.0,43007.0,74044.0,117857.0,119333.0,115655.0,121384.0,105234.0,73009.0,36600.0,26501.0,10936.0,6208.0
海    南,173180.0,2149.0,11128.0,22108.0,26352.0,25884.0,21880.0,22375.0,18442.0,12630.0,5272.0,3167.0,1159.0,634.0
,,,,,,,,,,,,,,
重    庆,635099.0,4957.0,43246.0,75296.0,89693.0,67616.0,60295.0,110601.0,78962.0,43483.0,18206.0,23959.0,11691.0,7094.0
四    川,1974352.0,22343.0,135208.0,214333.0,261646.0,188456.0,199710.0,319178.0,253882.0,150395.0,72864.0,89584.0,41261.0,25492.0
贵    州,608307.0,8543.0,42005.0,65086.0,79785.0,68240.0,76686.0,92116.0,77396.0,47086.0,21643.0,18658.0,7416.0,3647.0
云    南,1089069.0,20297.0,82185.0,116917.0,145423.0,127305.0,141126.0,155553.0,130589.0,88269.0,39276.0,27035.0,9795.0,5299.0
西    藏,47536.0,1281.0,5071.0,8412.0,8684.0,6832.0,5375.0,4854.0,3419.0,2052.0,753.0,424.0,212.0,167.0
,,,,,,,,,,,,,,
陕    西,626156.0,3953.0,31902.0,75204.0,102195.0,79910.0,71418.0,88852.0,71278.0,46464.0,27891.0,17789.0,6207.0,3093.0
甘    肃,385420.0,3284.0,20332.0,44179.0,55631.0,44935.0,42703.0,62866.0,56515.0,30460.0,11258.0,8596.0,3202.0,1459.0
青    海,90547.0,1384.0,7034.0,13369.0,14949.0,12195.0,13108.0,13873.0,8859.0,3877.0,933.0,587.0,225.0,154.0
宁    夏,121129.0,1274.0,9079.0,16192.0,19398.0,16662.0,18045.0,18565.0,12292.0,5842.0,2142.0,1189.0,327.0,122.0
新    疆,472838.0,4323.0,33896.0,65699.0,82449.0,65257.0,62128.0,72924.0,51190.0,20186.0,7442.0,4126.0,2055.0,1163.0
