6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-地区-地区,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-15岁及以上死亡人口-合计,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-15岁及以上死亡人口-男,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-15岁及以上死亡人口-女,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-未婚-小计,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-未婚-男,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-未婚-女,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-有配偶-小计,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-有配偶-男,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-有配偶-女,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-离婚-小计,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-离婚-男,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-离婚-女,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-丧偶-小计,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-丧偶-男,6-3各地区分性别、婚姻状况的15岁及以上死亡人口(2019.11.1-2020.10.31)-单位：人-丧偶-女
江    苏,511520.0,283487.0,228033.0,17084.0,15129.0,1955.0,274710.0,183887.0,90823.0,6150.0,4799.0,1351.0,213576.0,79672.0,133904.0
浙    江,305261.0,175956.0,129305.0,11718.0,10374.0,1344.0,165030.0,118362.0,46668.0,5346.0,4416.0,930.0,123167.0,42804.0,80363.0
安    徽,358995.0,206038.0,152957.0,19699.0,18288.0,1411.0,193306.0,129816.0,63490.0,5407.0,4459.0,948.0,140583.0,53475.0,87108.0
福    建,210498.0,123258.0,87240.0,8345.0,7330.0,1015.0,117699.0,85600.0,32099.0,3642.0,3003.0,639.0,80812.0,27325.0,53487.0
江    西,229922.0,133431.0,96491.0,8665.0,7603.0,1062.0,127175.0,89992.0,37183.0,3401.0,2815.0,586.0,90681.0,33021.0,57660.0
山    东,630030.0,358168.0,271862.0,25522.0,23434.0,2088.0,343709.0,228719.0,114990.0,7706.0,6412.0,1294.0,253093.0,99603.0,153490.0
,,,,,,,,,,,,,,,
河    南,526033.0,301529.0,224504.0,26757.0,24327.0,2430.0,290405.0,190043.0,100362.0,7300.0,5974.0,1326.0,201571.0,81185.0,120386.0
湖    北,380091.0,217822.0,162269.0,14521.0,12810.0,1711.0,210253.0,140942.0,69311.0,6446.0,5037.0,1409.0,148871.0,59033.0,89838.0
湖    南,489346.0,283948.0,205398.0,19355.0,16745.0,2610.0,247571.0,169878.0,77693.0,8741.0,6831.0,1910.0,213679.0,90494.0,123185.0
广    东,453293.0,262086.0,191207.0,25090.0,21076.0,4014.0,253054.0,178468.0,74586.0,7238.0,5490.0,1748.0,167911.0,57052.0,110859.0
广    西,289800.0,173711.0,116089.0,19810.0,18120.0,1690.0,158466.0,111578.0,46888.0,5509.0,4621.0,888.0,106015.0,39392.0,66623.0
海    南,34183.0,20361.0,13822.0,2400.0,2186.0,214.0,19215.0,13794.0,5421.0,424.0,362.0,62.0,12144.0,4019.0,8125.0
,,,,,,,,,,,,,,,
重    庆,224708.0,133965.0,90743.0,12253.0,11233.0,1020.0,120928.0,83136.0,37792.0,6144.0,4874.0,1270.0,85383.0,34722.0,50661.0
四    川,520719.0,308840.0,211879.0,27820.0,25187.0,2633.0,281579.0,192783.0,88796.0,12090.0,9835.0,2255.0,199230.0,81035.0,118195.0
贵    州,224313.0,133146.0,91167.0,11988.0,10746.0,1242.0,122381.0,83684.0,38697.0,5936.0,4878.0,1058.0,84008.0,33838.0,50170.0
云    南,283870.0,167929.0,115941.0,15759.0,13756.0,2003.0,157603.0,108532.0,49071.0,6715.0,5554.0,1161.0,103793.0,40087.0,63706.0
西    藏,11967.0,6349.0,5618.0,1788.0,1019.0,769.0,5873.0,3727.0,2146.0,231.0,93.0,138.0,4075.0,1510.0,2565.0
,,,,,,,,,,,,,,,
陕    西,183248.0,105004.0,78244.0,7935.0,7190.0,745.0,102404.0,68277.0,34127.0,2681.0,2242.0,439.0,70228.0,27295.0,42933.0
甘    肃,152585.0,86792.0,65793.0,6265.0,5485.0,780.0,83696.0,56162.0,27534.0,1905.0,1545.0,360.0,60719.0,23600.0,37119.0
青    海,27144.0,15680.0,11464.0,1642.0,1177.0,465.0,14091.0,9728.0,4363.0,829.0,607.0,222.0,10582.0,4168.0,6414.0
宁    夏,35610.0,20532.0,15078.0,1104.0,880.0,224.0,20593.0,14149.0,6444.0,776.0,577.0,199.0,13137.0,4926.0,8211.0
新    疆,108521.0,64604.0,43917.0,4821.0,3623.0,1198.0,62480.0,44355.0,18125.0,4815.0,3288.0,1527.0,36405.0,13338.0,23067.0
