Order Number,Product,Shop,Date,Unit Price,Quantity,Total Price,Secondary Category
dp663099170907190732213,Sizhou Su Yishao Barbecue Flavor,Tianhe District Convenience Store,9/7/2017,9.0,2,18.0,Puffed Food
dp663099170907190914283,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/7/2017,1.5,2,3.0,Meat Dried Products/Bean Products/Eggs
dp663099170907191039659,Lay's Potato Chips (Green Lime),Tianhe District Convenience Store,9/7/2017,8.0,1,8.0,Puffed Food
dp663099170907191140614,Japanese-style fish cake,Tianhe District Convenience Store,9/7/2017,4.0,1,4.0,Puffed Food
dp663099170907191826535,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/7/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp663099170907201750855,Mimi Shrimp Strips Malaysian Flavor,Tianhe District Convenience Store,9/7/2017,0.8,2,1.6,Puffed Food
dp663099170907201750855,Jinzai Small Fish,Tianhe District Convenience Store,9/7/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp663099170907201750855,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/7/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp663099170907201750855,Wuqiong Honey Roasted Chicken Legs,Tianhe District Convenience Store,9/7/2017,3.0,1,3.0,Meat Dried Products/Bean Products/Eggs
dp663099170908093802275,Vitasoy Black Soybean Drink,Tianhe District Convenience Store,9/8/2017,3.5,1,3.5,Plant-based protein
dp663099170908094607928,New Wheat Trend Natural Yeast Bread,Tianhe District Convenience Store,9/8/2017,4.0,1,4.0,Biscuits and Pastries
dp663099170908094607928,Yantang Red Date Milk,Tianhe District Convenience Store,9/8/2017,4.5,1,4.5,Dairy Products
dp663099170908123620647,Vitasoy Lemon Tea,Tianhe District Convenience Store,9/8/2017,3.5,1,3.5,Tea Beverage
dp663099170908123834187,Mimi Shrimp Strips Malaysian Flavor,Tianhe District Convenience Store,9/8/2017,0.8,1,0.8,Puffed Food
dp663099170908164816224,Jinzai Small Fish,Tianhe District Convenience Store,9/8/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp663099170908171724755,Shuanghui Corn Hot Dog Sausage,Tianhe District Convenience Store,9/8/2017,2.0,1,2.0,Meat Dried Products/Bean Products/Eggs
dp663099170908171724755,Wuqiong Honey Roasted Chicken Legs,Tianhe District Convenience Store,9/8/2017,3.0,1,3.0,Meat Dried Products/Bean Products/Eggs
dp663099170908173331414,Jinzai Small Fish,Tianhe District Convenience Store,9/8/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp663099170908173331414,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/8/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp663099170908173331414,Wuqiong Honey Roasted Chicken Legs,Tianhe District Convenience Store,9/8/2017,3.0,1,3.0,Meat Dried Products/Bean Products/Eggs
dp663099170908183856395,Lizhi Cheese Nabati Cheese Wafer Crackers,Tianhe District Convenience Store,9/8/2017,3.5,1,3.5,Biscuits and Pastries
dp663099170908200955711,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/8/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp663099170909182625703,Calcium Cheese Flavor High Calcium Wafer Crackers,Tianhe District Convenience Store,9/9/2017,1.5,1,1.5,Biscuits and Pastries
dp663099170909182625703,Chocolate Cream Flavor Cake,Tianhe District Convenience Store,9/9/2017,3.0,1,3.0,Biscuits and Pastries
dp663099170909195139769,New Wheat Trend Natural Yeast Bread,Tianhe District Convenience Store,9/9/2017,4.0,1,4.0,Biscuits and Pastries
dp663099170909195139769,Tayi Baobao Porridge,Tianhe District Convenience Store,9/9/2017,7.0,1,7.0,Convenient Instant Food
dp663099170909195139769,Shuanghui Corn Hot Dog Sausage,Tianhe District Convenience Store,9/9/2017,2.0,1,2.0,Meat Dried Products/Bean Products/Eggs
dp663099170909195139769,Wuqiong Farm Salt-Baked Egg,Tianhe District Convenience Store,9/9/2017,2.5,1,2.5,Meat Dried Products/Bean Products/Eggs
dp663099170909203913333,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/9/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp663099170911094745729,Yantang Red Date Milk,Tianhe District Convenience Store,9/11/2017,4.5,1,4.5,Dairy Products
dp663099170911100921867,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/11/2017,1.5,2,3.0,Meat Dried Products/Bean Products/Eggs
dp663099170911101543228,Wangzai Milk,Tianhe District Convenience Store,9/11/2017,2.8,1,2.8,Dairy Products
dp663099170911120810571,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/11/2017,1.5,2,3.0,Meat Dried Products/Bean Products/Eggs
dp663099170911121340171,Yih tea,Tianhe District Convenience Store,9/11/2017,5.5,1,5.5,Tea Beverage
dp663099170911162317188,Nestlé Coffee,Tianhe District Convenience Store,9/11/2017,7.5,1,7.5,Coffee
dp663099170911184025789,Youyi C Probiotic Lactic Acid Bacteria Beverage,Tianhe District Convenience Store,9/11/2017,7.0,1,7.0,Dairy Products
dp663099170911184042293,Powerade (Green Lime),Tianhe District Convenience Store,9/11/2017,5.0,1,5.0,Energy Drink
dp663099170911184146767,Korean HaePyo Seaweed,Tianhe District Convenience Store,9/11/2017,1.6,2,3.2,Seafood Snacks
dp663099170911184918334,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/11/2017,1.5,2,3.0,Meat Dried Products/Bean Products/Eggs
dp663099170911193817734,Mimi Shrimp Strips Malaysian Flavor,Tianhe District Convenience Store,9/11/2017,0.8,1,0.8,Puffed Food
dp663099170911195017816,New Wheat Trend Natural Yeast Bread,Tianhe District Convenience Store,9/11/2017,4.0,1,4.0,Biscuits and Pastries
dp663099170911201514405,Mimi Shrimp Strips Malaysian Flavor,Tianhe District Convenience Store,9/11/2017,0.8,1,0.8,Puffed Food
dp663099170911201514405,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/11/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp663099170911203040314,New Wheat Trend Natural Yeast Bread,Tianhe District Convenience Store,9/11/2017,4.0,1,4.0,Biscuits and Pastries
dp663099170912072520680,Vitasoy Black Soybean Drink,Tianhe District Convenience Store,9/12/2017,3.5,1,3.5,Plant-based protein
dp663099170912084745863,New Wheat Trend Natural Yeast Bread,Tianhe District Convenience Store,9/12/2017,4.0,1,4.0,Biscuits and Pastries
dp663099170912091111988,Vitasoy Black Soybean Drink,Tianhe District Convenience Store,9/12/2017,3.5,1,3.5,Plant-based protein
dp663099170912110256122,Yantang Red Date Milk,Tianhe District Convenience Store,9/12/2017,4.5,1,4.5,Dairy Products
dp663099170912144159838,Tayi Baobao Porridge,Tianhe District Convenience Store,9/12/2017,7.0,1,7.0,Convenient Instant Food
dp663099170912144159838,Red Bull,Tianhe District Convenience Store,9/12/2017,7.5,1,7.5,Energy Drink
dp663099170912155801835,Wangzai Milk,Tianhe District Convenience Store,9/12/2017,2.8,1,2.8,Dairy Products
dp663099170912171503535,Minute Maid Orange Juice with Pulpy Bits,Tianhe District Convenience Store,9/12/2017,4.0,1,4.0,Fruit and Vegetable Drink
dp663099170913090901742,Vitasoy Black Soybean Drink,Tianhe District Convenience Store,9/13/2017,3.5,1,3.5,Plant-based protein
dp663099170913091902141,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/13/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp663099170913091902141,Wuqiong Farm Salt-Baked Egg,Tianhe District Convenience Store,9/13/2017,2.5,1,2.5,Meat Dried Products/Bean Products/Eggs
dp663099170913093353532,Douflie Vanilla Cream Flavor Cake,Tianhe District Convenience Store,9/13/2017,6.0,1,6.0,Biscuits and Pastries
dp663099170913093353532,Wangzai Milk,Tianhe District Convenience Store,9/13/2017,2.8,1,2.8,Dairy Products
dp663099170913100959718,Mimi Shrimp Strips Malaysian Flavor,Tianhe District Convenience Store,9/13/2017,0.8,2,1.6,Puffed Food
dp663099170913101022806,Korean HaePyo Seaweed,Tianhe District Convenience Store,9/13/2017,1.6,1,1.6,Seafood Snacks
dp663099170913101022806,Jinzai Small Fish,Tianhe District Convenience Store,9/13/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp663099170913155022954,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/13/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp343235170913163427536,Sunbao Nine-Prepared Plum,Yuexiu District Convenience Store,9/13/2017,5.0,1,5.0,Dried Fruits/Candied Fruits
dp343235170913163705405,Douflie Vanilla Cream Flavor Cake,Yuexiu District Convenience Store,9/13/2017,6.0,1,6.0,Biscuits and Pastries
dp343235170913172353290,Tayi Baobao Porridge,Yuexiu District Convenience Store,9/13/2017,7.0,2,14.0,Convenient Instant Food
dp343235170913173156108,Vitasoy Lemon Tea,Yuexiu District Convenience Store,9/13/2017,3.5,1,3.5,Tea Beverage
dp343235170913173156108,Nestlé Coffee,Yuexiu District Convenience Store,9/13/2017,7.5,1,7.5,Coffee
dp663099170913174130268,Shuanghui Corn Hot Dog Sausage,Tianhe District Convenience Store,9/13/2017,2.0,1,2.0,Meat Dried Products/Bean Products/Eggs
dp343235170913180609338,Vitasoy Original Flavor Soy Milk,Yuexiu District Convenience Store,9/13/2017,3.5,1,3.5,Plant-based protein
dp663099170913181436452,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/13/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp663099170913194908261,Douflie Vanilla Cream Flavor Cake,Tianhe District Convenience Store,9/13/2017,6.0,1,6.0,Biscuits and Pastries
dp663099170913194908261,P盼P Hand-Torn Bread,Tianhe District Convenience Store,9/13/2017,4.0,1,4.0,Biscuits and Pastries
dp663099170913194908261,Shuanghui Corn Hot Dog Sausage,Tianhe District Convenience Store,9/13/2017,2.0,1,2.0,Meat Dried Products/Bean Products/Eggs
dp663099170913194908261,Wuqiong Farm Salt-Baked Egg,Tianhe District Convenience Store,9/13/2017,2.5,1,2.5,Meat Dried Products/Bean Products/Eggs
dp663099170913221728684,Youyi C Probiotic Lactic Acid Bacteria Beverage,Tianhe District Convenience Store,9/13/2017,7.0,1,7.0,Dairy Products
dp663099170914084357149,Yih tea,Tianhe District Convenience Store,9/14/2017,5.5,1,5.5,Tea Beverage
dp663099170914090010390,Vitasoy Black Soybean Drink,Tianhe District Convenience Store,9/14/2017,3.5,1,3.5,Plant-based protein
dp663099170914094134527,Yantang Red Date Milk,Tianhe District Convenience Store,9/14/2017,4.5,1,4.5,Dairy Products
dp524775170914122645804,Lay's Potato Chips (Green Lime),Baiyun District Convenience Store,9/14/2017,8.0,1,8.0,Puffed Food
dp524775170914122645804,Youyi C Probiotic Lactic Acid Bacteria Beverage,Baiyun District Convenience Store,9/14/2017,7.0,1,7.0,Dairy Products
dp524775170914124159757,Yih tea,Baiyun District Convenience Store,9/14/2017,5.5,1,5.5,Tea Beverage
dp663099170914135338320,Mimi Shrimp Strips Malaysian Flavor,Tianhe District Convenience Store,9/14/2017,0.8,1,0.8,Puffed Food
dp524775170914141949169,Youyi C Probiotic Lactic Acid Bacteria Beverage,Baiyun District Convenience Store,9/14/2017,7.0,1,7.0,Dairy Products
dp343235170914144922360,Nestlé Coffee,Yuexiu District Convenience Store,9/14/2017,7.5,1,7.5,Coffee
dp343235170914152904278,Sprite,Yuexiu District Convenience Store,9/14/2017,3.5,2,7.0,Carbonated beverage
dp343235170914155527997,Mimi Shrimp Strips Malaysian Flavor,Yuexiu District Convenience Store,9/14/2017,0.8,1,0.8,Puffed Food
dp343235170914161019306,Mimi Shrimp Strips Malaysian Flavor,Yuexiu District Convenience Store,9/14/2017,0.8,2,1.6,Puffed Food
dp343235170914161019306,Sizhou Su Yishao Barbecue Flavor,Yuexiu District Convenience Store,9/14/2017,9.0,1,9.0,Puffed Food
dp663099170914161030831,Vitasoy Lemon Tea,Tianhe District Convenience Store,9/14/2017,3.5,1,3.5,Tea Beverage
dp663099170914164352149,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/14/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp663099170914173017460,Vitasoy Lemon Tea,Tianhe District Convenience Store,9/14/2017,3.5,1,3.5,Tea Beverage
dp663099170914173921499,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/14/2017,1.5,2,3.0,Meat Dried Products/Bean Products/Eggs
dp663099170914175324183,Douflie Vanilla Cream Flavor Cake,Tianhe District Convenience Store,9/14/2017,6.0,1,6.0,Biscuits and Pastries
dp663099170914175324183,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/14/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp524775170914185125129,Shuanghui Corn Hot Dog Sausage,Baiyun District Convenience Store,9/14/2017,2.0,2,4.0,Meat Dried Products/Bean Products/Eggs
dp524775170914185125129,Willy's Kissing Burned Braised Beef Flavor,Baiyun District Convenience Store,9/14/2017,1.5,4,6.0,Meat Dried Products/Bean Products/Eggs
dp524775170914185125129,Wuqiong Honey Roasted Chicken Legs,Baiyun District Convenience Store,9/14/2017,3.0,2,6.0,Meat Dried Products/Bean Products/Eggs
dp663099170914194022232,Tayi Baobao Porridge,Tianhe District Convenience Store,9/14/2017,7.0,1,7.0,Convenient Instant Food
dp663099170914194022232,Shuanghui Corn Hot Dog Sausage,Tianhe District Convenience Store,9/14/2017,2.0,2,4.0,Meat Dried Products/Bean Products/Eggs
dp663099170914194022232,Wuqiong Honey Roasted Chicken Legs,Tianhe District Convenience Store,9/14/2017,3.0,1,3.0,Meat Dried Products/Bean Products/Eggs
dp663099170914194022232,Wuqiong Farm Salt-Baked Egg,Tianhe District Convenience Store,9/14/2017,2.5,1,2.5,Meat Dried Products/Bean Products/Eggs
dp663099170915072417484,Youyi C Probiotic Lactic Acid Bacteria Beverage,Tianhe District Convenience Store,9/15/2017,7.0,1,7.0,Dairy Products
dp663099170915083803660,P盼P Hand-Torn Bread,Tianhe District Convenience Store,9/15/2017,4.0,1,4.0,Biscuits and Pastries
dp343235170915094555929,Vitasoy Lemon Tea,Yuexiu District Convenience Store,9/15/2017,3.5,1,3.5,Tea Beverage
dp343235170915094555929,Powerade (Green Lime),Yuexiu District Convenience Store,9/15/2017,5.0,1,5.0,Energy Drink
dp663099170915103906660,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/15/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp524775170915122733663,Uni-President Spicy Old Fermentation Pickled Cabbage Beef Noodles,Baiyun District Convenience Store,9/15/2017,5.5,1,5.5,Convenient Instant Food
dp524775170915122733663,Shuanghui Corn Hot Dog Sausage,Baiyun District Convenience Store,9/15/2017,2.0,2,4.0,Meat Dried Products/Bean Products/Eggs
dp343235170915151833752,Sizhou Su Yishao Barbecue Flavor,Yuexiu District Convenience Store,9/15/2017,9.0,1,9.0,Puffed Food
dp343235170915152012390,Irregular Shape Crackers with Taste (Tomato Flavor),Yuexiu District Convenience Store,9/15/2017,10.0,1,10.0,Biscuits and Pastries
dp343235170915165146829,Red Bull,Yuexiu District Convenience Store,9/15/2017,7.5,1,7.5,Energy Drink
dp343235170915165146829,Lay's Country Potato Chips,Yuexiu District Convenience Store,9/15/2017,4.0,1,4.0,Puffed Food
dp343235170915170401837,Shuanghui Corn Hot Dog Sausage,Yuexiu District Convenience Store,9/15/2017,2.0,1,2.0,Meat Dried Products/Bean Products/Eggs
dp663099170915173024871,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/15/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp663099170915180248712,Chocolate Cream Flavor Cake,Tianhe District Convenience Store,9/15/2017,3.0,1,3.0,Biscuits and Pastries
dp663099170915180432730,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/15/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp663099170915183429758,Mimi Shrimp Strips Malaysian Flavor,Tianhe District Convenience Store,9/15/2017,0.8,1,0.8,Puffed Food
dp663099170916185019989,Minute Maid Orange Juice with Pulpy Bits,Tianhe District Convenience Store,9/16/2017,4.0,1,4.0,Fruit and Vegetable Drink
dp663099170916192158680,Powerade (Green Lime),Tianhe District Convenience Store,9/16/2017,5.0,1,5.0,Energy Drink
dp663099170917093334905,Powerade (Green Lime),Tianhe District Convenience Store,9/17/2017,5.0,1,5.0,Energy Drink
dp343235170917105726824,Powerade (Green Lime),Yuexiu District Convenience Store,9/17/2017,5.0,1,5.0,Energy Drink
dp524775170917121952219,Jiabobao,Baiyun District Convenience Store,9/17/2017,4.5,1,4.5,Tea Beverage
dp663099170917123233684,Vitasoy Lemon Tea,Tianhe District Convenience Store,9/17/2017,3.5,1,3.5,Tea Beverage
dp663099170917130604566,Powerade (Green Lime),Tianhe District Convenience Store,9/17/2017,5.0,1,5.0,Energy Drink
dp343235170917171301521,Yih tea,Yuexiu District Convenience Store,9/17/2017,5.5,1,5.5,Tea Beverage
dp343235170917171301521,Japanese-style fish cake,Yuexiu District Convenience Store,9/17/2017,4.0,1,4.0,Puffed Food
dp663099170917175833837,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/17/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp663099170918073612947,Youyi C Probiotic Lactic Acid Bacteria Beverage,Tianhe District Convenience Store,9/18/2017,7.0,1,7.0,Dairy Products
dp663099170918083547492,Youyi C Probiotic Lactic Acid Bacteria Beverage,Tianhe District Convenience Store,9/18/2017,7.0,1,7.0,Dairy Products
dp663099170918085508762,Cup Noodles (Rich Pork Bone Flavor),Tianhe District Convenience Store,9/18/2017,7.0,1,7.0,Convenient Instant Food
dp663099170918090937227,Youyi C Probiotic Lactic Acid Bacteria Beverage,Tianhe District Convenience Store,9/18/2017,7.0,1,7.0,Dairy Products
dp524775170918091721291,Vitasoy Original Flavor Soy Milk,Baiyun District Convenience Store,9/18/2017,3.5,1,3.5,Plant-based protein
dp663099170918092054251,Wangzai Milk,Tianhe District Convenience Store,9/18/2017,2.8,1,2.8,Dairy Products
dp663099170918092952255,Vietnam LIPO Milk Flavor Crackers 100g,Tianhe District Convenience Store,9/18/2017,8.0,1,8.0,Biscuits and Pastries
dp663099170918092952255,Youyi C Probiotic Lactic Acid Bacteria Beverage,Tianhe District Convenience Store,9/18/2017,7.0,1,7.0,Dairy Products
dp343235170918093738746,Nongfu Orchard,Yuexiu District Convenience Store,9/18/2017,5.5,1,5.5,Fruit and Vegetable Drink
dp663099170918094501915,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/18/2017,1.5,2,3.0,Meat Dried Products/Bean Products/Eggs
dp524775170918095145982,Uni-President Spicy Old Fermentation Pickled Cabbage Beef Noodles,Baiyun District Convenience Store,9/18/2017,5.5,1,5.5,Convenient Instant Food
dp663099170918095255538,Youyi C Probiotic Lactic Acid Bacteria Beverage,Tianhe District Convenience Store,9/18/2017,7.0,1,7.0,Dairy Products
dp343235170918101240155,Vitasoy Lemon Tea,Yuexiu District Convenience Store,9/18/2017,3.5,1,3.5,Tea Beverage
dp524775170918101548824,Wangzai Milk,Baiyun District Convenience Store,9/18/2017,2.8,1,2.8,Dairy Products
dp663099170918120825831,Uni-President Spicy Old Fermentation Pickled Cabbage Beef Noodles,Tianhe District Convenience Store,9/18/2017,5.5,1,5.5,Convenient Instant Food
dp663099170918121739977,Youyi C Probiotic Lactic Acid Bacteria Beverage,Tianhe District Convenience Store,9/18/2017,7.0,1,7.0,Dairy Products
dp663099170918121923900,Youyi C Probiotic Lactic Acid Bacteria Beverage,Tianhe District Convenience Store,9/18/2017,7.0,1,7.0,Dairy Products
dp663099170918122030462,Youyi C Probiotic Lactic Acid Bacteria Beverage,Tianhe District Convenience Store,9/18/2017,7.0,3,21.0,Dairy Products
dp663099170918122049333,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/18/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp663099170918122533696,Uni-President Spicy Old Fermentation Pickled Cabbage Beef Noodles,Tianhe District Convenience Store,9/18/2017,5.5,1,5.5,Convenient Instant Food
dp524775170918123527447,Cola Cola,Baiyun District Convenience Store,9/18/2017,3.5,1,3.5,Carbonated beverage
dp663099170918130013552,Youyi C Probiotic Lactic Acid Bacteria Beverage,Tianhe District Convenience Store,9/18/2017,7.0,1,7.0,Dairy Products
dp524775170918135437225,Uni-President Spicy Old Fermentation Pickled Cabbage Beef Noodles,Baiyun District Convenience Store,9/18/2017,5.5,1,5.5,Convenient Instant Food
dp524775170918135437225,Cola Cola,Baiyun District Convenience Store,9/18/2017,3.5,1,3.5,Carbonated beverage
dp343235170918143846610,Vitasoy Lemon Tea,Yuexiu District Convenience Store,9/18/2017,3.5,1,3.5,Tea Beverage
dp524775170918150352147,Sprite,Baiyun District Convenience Store,9/18/2017,3.5,1,3.5,Carbonated beverage
dp343235170918154819717,Jiabobao,Yuexiu District Convenience Store,9/18/2017,4.5,1,4.5,Tea Beverage
dp663099170918155504336,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/18/2017,1.5,2,3.0,Meat Dried Products/Bean Products/Eggs
dp663099170918180452238,Sizhou Su Yishao Barbecue Flavor,Tianhe District Convenience Store,9/18/2017,9.0,1,9.0,Puffed Food
dp663099170918180518740,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/18/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp663099170918185805941,Sizhou Su Yishao Barbecue Flavor,Tianhe District Convenience Store,9/18/2017,9.0,1,9.0,Puffed Food
dp663099170918185805941,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/18/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp663099170918185805941,Wuqiong Farm Salt-Baked Egg,Tianhe District Convenience Store,9/18/2017,2.5,1,2.5,Meat Dried Products/Bean Products/Eggs
dp524775170919081516854,Nestlé Coffee,Baiyun District Convenience Store,9/19/2017,7.5,1,7.5,Coffee
dp524775170919081618891,Vitasoy Original Flavor Soy Milk,Baiyun District Convenience Store,9/19/2017,3.5,1,3.5,Plant-based protein
dp663099170919084801730,P盼P Hand-Torn Bread,Tianhe District Convenience Store,9/19/2017,4.0,1,4.0,Biscuits and Pastries
dp663099170919085424522,Youyi C Probiotic Lactic Acid Bacteria Beverage,Tianhe District Convenience Store,9/19/2017,7.0,1,7.0,Dairy Products
dp663099170919085820414,Willy's Kissing Burned Braised Beef Flavor,Tianhe District Convenience Store,9/19/2017,1.5,1,1.5,Meat Dried Products/Bean Products/Eggs
dp663099170919090036906,Youyi C Probiotic Lactic Acid Bacteria Beverage,Tianhe District Convenience Store,9/19/2017,7.0,1,7.0,Dairy Products
dp524775170919090126321,Wangzai Milk,Baiyun District Convenience Store,9/19/2017,2.8,1,2.8,Dairy Products
