博物馆,层次,年参观人次 （万 ）,珍贵文物（套/件 ）,藏品      （套/件 ）,省份,类型
北京中梦足球博物馆,非国有博物馆,0,0,320,北京市,行业类
北京九鼎灶文化博物馆,非国有博物馆,0,0,300,北京市,文化类
北京御仙都皇家菜博物馆,非国有博物馆,0,0,469,北京市,文化类
北京文景珍本期刊博物馆,非国有博物馆,0,0,314,北京市,文化类
中国共产党早期北京革命活动纪念馆,文物系统国有博物馆,20,0,1357,北京市,历史类
中国蜜蜂博物馆,其他行业国有博物馆,50,0,1209,北京市,文化类
中国地质博物馆,其他行业国有博物馆,15,0,119131,北京市,科技类
中国华侨历史博物馆,其他行业国有博物馆,2,242,37885,北京市,文化类
西藏文化博物馆,其他行业国有博物馆,1,1214,31214,北京市,文化类
北京考古遗址博物馆（琉璃河遗址）,文物系统国有博物馆,0,49,254,北京市,历史类
北京皇城御窑金砖博物馆,非国有博物馆,0,0,315,北京市,历史类
北京宣南文化博物馆管理处,文物系统国有博物馆,0,0,未知,北京市,文化类
中央民族大学民族博物馆,其他行业国有博物馆,1,0,42831,北京市,文化类
北京空竹博物馆,其他行业国有博物馆,0,0,475,北京市,文化类
中国邮政邮票博物馆,其他行业国有博物馆,7,0,100000,北京市,行业类
北京中医药大学中医药博物馆,其他行业国有博物馆,0,0,6777,北京市,行业类
北京西瓜博物馆,非国有博物馆,0,0,1301,北京市,文化类
中国人民大学家书博物馆,其他行业国有博物馆,0,0,49999,北京市,文化类
北京励志堂科举匾额博物馆,非国有博物馆,1,2000,2000,北京市,文化类
北京考古遗址博物馆（金中都水关遗址）,文物系统国有博物馆,1,57,220,北京市,历史类
梅兰芳纪念馆,文物系统国有博物馆,3,892,37269,北京市,艺术类
中国消防博物馆,其他行业国有博物馆,1,0,3024,北京市,行业类
雍和宫藏传佛教艺术博物馆,其他行业国有博物馆,138,3915,16562,北京市,历史类
北京市钟鼓楼文物保管所,文物系统国有博物馆,12,6,26,北京市,历史类
中国铁道博物馆,其他行业国有博物馆,29,119,14591,北京市,行业类
北京市天佑兰亭书法文化博物馆,非国有博物馆,0,0,50,北京市,文化类
北京考古遗址博物馆（大葆台西汉墓遗址）,文物系统国有博物馆,0,34,1396,北京市,历史类
北京航空航天模型博物馆,非国有博物馆,0,0,40,北京市,科技类
徐悲鸿纪念馆,文物系统国有博物馆,2,1889,1889,北京市,艺术类
北京金漆镶嵌艺术博物馆,非国有博物馆,0,0,380,北京市,艺术类
国家典籍博物馆,文物系统国有博物馆,33,0,6811730,北京市,文化类
北京中国紫檀博物馆,非国有博物馆,2,0,926,北京市,文化类
北京莱恩堡葡萄酒文化博物馆,非国有博物馆,1,0,486,北京市,文化类
中国人民革命军事博物馆,其他行业国有博物馆,61,1793,214750,北京市,行业类
北京通信电信博物馆,其他行业国有博物馆,0,0,4033,北京市,行业类
北京房山云居寺石经博物馆,文物系统国有博物馆,11,59,32502,北京市,文化类
上宅文化陈列馆,文物系统国有博物馆,0,97,238,北京市,文化类
北京荣唐连环画博物馆,非国有博物馆,0,0,1823,北京市,艺术类
中国人民抗日战争纪念馆,其他行业国有博物馆,49,183,30412,北京市,历史类
北京骐骥马文化博物馆,非国有博物馆,0,0,未知,北京市,文化类
延庆区地质博物馆,其他行业国有博物馆,2,0,300,北京市,科技类
北京市房山世界地质公园博物馆,文物系统国有博物馆,1,0,3000,北京市,科技类
北京御生堂中医药博物馆,非国有博物馆,0,0,9900,北京市,行业类
北京龙顺成京作非遗博物馆,其他行业国有博物馆,2,0,310,北京市,文化类
中国古动物馆,其他行业国有博物馆,14,1000,1000,北京市,科技类
北京英杰硬石艺术博物馆,非国有博物馆,2,0,156,北京市,艺术类
中国共产党历史展览馆,其他行业国有博物馆,100,8,1650,北京市,历史类
“半条被子的温暖”专题陈列馆,文物系统国有博物馆,43,0,112,湖南省,历史类
平北抗日战争纪念馆,其他行业国有博物馆,10,0,674,北京市,历史类
北京红楼文化艺术博物馆,文物系统国有博物馆,49,0,3232,北京市,文化类
北京鲁迅博物馆（北京新文化运动纪念馆）,文物系统国有博物馆,23,759,101074,北京市,文化类
永定河文化博物馆,文物系统国有博物馆,1,0,3686,北京市,文化类
爱辉区新生乡岭上人展览馆,文物系统国有博物馆,0,0,184,黑龙江省,文化类
中国科学院动物研究所标本展示馆,其他行业国有博物馆,22,0,6891,北京市,科技类
中国法院博物馆,其他行业国有博物馆,1,86,6565,北京市,行业类
中国农业博物馆,其他行业国有博物馆,16,1642,98979,北京市,行业类
中国电信博物馆,其他行业国有博物馆,1,0,6428,北京市,行业类
明十三陵博物馆,文物系统国有博物馆,29,1057,2594,北京市,历史类
中国工艺美术馆（中国非物质文化遗产馆）,文物系统国有博物馆,30,0,2372,北京市,文化类
北京人民艺术剧院戏剧博物馆,其他行业国有博物馆,0,0,76000,北京市,艺术类
中国化工博物馆,其他行业国有博物馆,0,0,6587,北京市,行业类
北京服装学院民族服饰博物馆,文物系统国有博物馆,0,0,5101,北京市,文化类
北京怀柔喇叭沟门满族民俗博物馆,文物系统国有博物馆,3,0,1300,北京市,文化类
北京古代建筑博物馆,文物系统国有博物馆,11,48,833,北京市,行业类
北京京华茶叶博物馆,其他行业国有博物馆,0,0,300,北京市,文化类
北京二锅头酒博物馆,其他行业国有博物馆,4,0,1165,北京市,行业类
北京工艺美术博物馆,文物系统国有博物馆,0,702,702,北京市,艺术类
古陶文明博物馆,非国有博物馆,0,0,425,北京市,文化类
安达市孙秀英剪纸博物馆,非国有博物馆,2,0,2216,黑龙江省,艺术类
北京汽车博物馆（北京市丰台区规划展览馆）,文物系统国有博物馆,28,34,10479,北京市,行业类
北京东璧堂中医药博物馆,非国有博物馆,2,1070,66070,北京市,行业类
安徽徽园玉石博物馆,非国有博物馆,0,0,568,安徽省,文化类
北京戏曲博物馆,其他行业国有博物馆,0,0,未知,北京市,艺术类
中国园林博物馆北京筹备办公室,其他行业国有博物馆,26,536,53790,北京市,行业类
北京市古代钱币展览馆,文物系统国有博物馆,0,0,46,北京市,行业类
中国钱币博物馆,其他行业国有博物馆,4,0,219411,北京市,文化类
中国体育博物馆,其他行业国有博物馆,4,0,10740,北京市,行业类
安徽金丝楠宫博物馆,非国有博物馆,5,0,476,安徽省,历史类
中国妇女儿童博物馆,其他行业国有博物馆,5,408,19140,北京市,文化类
中国医史博物馆,其他行业国有博物馆,0,0,650,北京市,行业类
安徽祁红博物馆,非国有博物馆,1,15,368,安徽省,文化类
北京警察博物馆,其他行业国有博物馆,0,49,12406,北京市,行业类
周口店北京人遗址博物馆,文物系统国有博物馆,13,182,7449,北京市,历史类
天津义和团纪念馆,文物系统国有博物馆,0,66,455,天津市,历史类
中国银行（天津）博物馆,其他行业国有博物馆,1,0,327,天津市,行业类
天津觉悟社纪念馆,文物系统国有博物馆,1,0,425,天津市,历史类
天津杨柳青木版年画博物馆,其他行业国有博物馆,0,34,30081,天津市,艺术类
天津市滨海新区塘沽大沽口炮台遗址博物馆,文物系统国有博物馆,2,19,562,天津市,历史类
李叔同（故居）纪念馆,文物系统国有博物馆,0,0,215,天津市,历史类
天津泉香阁钱币博物馆,非国有博物馆,0,0,578,天津市,行业类
天津自然博物馆（北疆博物院）,文物系统国有博物馆,132,1314,370974,天津市,科技类
天津纺织博物馆,其他行业国有博物馆,0,0,2201,天津市,行业类
天津梁启超纪念馆,文物系统国有博物馆,0,6,1064,天津市,历史类
安徽图书博物馆,非国有博物馆,0,0,1745,安徽省,文化类
天津金融博物馆,非国有博物馆,0,0,127,天津市,行业类
天津义聚永酒文化博物馆,其他行业国有博物馆,0,0,27,天津市,文化类
天津电力科技博物馆,其他行业国有博物馆,0,0,80,天津市,行业类
安吉春山收藏馆,非国有博物馆,2,0,1800,浙江省,文化类
安吉和也健康博物馆,非国有博物馆,12,0,114,浙江省,行业类
天津名车苑汽车文化博物馆,非国有博物馆,1,0,1607,天津市,文化类
安康博物馆,文物系统国有博物馆,11,945,3952,陕西省,文化类
天津市静海区萨马兰奇纪念馆,非国有博物馆,1,0,15112,天津市,历史类
中国共产党天津历史纪念馆,文物系统国有博物馆,1,1,255,天津市,历史类
天津市蓟州中上元古界地质陈列馆,其他行业国有博物馆,0,0,460,天津市,科技类
安康市藏一角博物馆,文物系统国有博物馆,3,0,2632,陕西省,文化类
周恩来邓颖超纪念馆,文物系统国有博物馆,9,583,15759,天津市,历史类
天津华夏石雕艺术博物馆,非国有博物馆,0,0,303,天津市,艺术类
于方舟烈士纪念馆,其他行业国有博物馆,0,0,125,天津市,历史类
天津市蓟州区地质博物馆,其他行业国有博物馆,4,0,1318,天津市,科技类
天津市瓷房子博物馆,非国有博物馆,5,0,1110,天津市,文化类
天津市体育博物馆,其他行业国有博物馆,3,0,5219,天津市,行业类
安龙博物馆,文物系统国有博物馆,2,85,85,贵州省,文化类
安丘世德古籍博物馆,非国有博物馆,1,0,422,山东省,文化类
天津市滨海新区汉沽国际版画藏书票收藏馆,非国有博物馆,0,0,7976,天津市,文化类
天津拜石文化博物馆,非国有博物馆,1,0,253,天津市,文化类
天津西洋美术馆,非国有博物馆,0,0,280,天津市,艺术类
天津杨柳青博物馆（杨柳青年画馆）,文物系统国有博物馆,0,0,986,天津市,艺术类
天津国家海洋博物馆,其他行业国有博物馆,51,0,38922,天津市,科技类
天津市在日殉难烈士·劳工纪念馆,其他行业国有博物馆,0,51,213,天津市,历史类
天津华夏鞋文化博物馆,非国有博物馆,0,0,953,天津市,文化类
天津邮政博物馆,其他行业国有博物馆,1,0,560,天津市,行业类
天津沉香艺术博物馆,非国有博物馆,1,0,345,天津市,艺术类
安丘市承宇印章博物馆,非国有博物馆,0,0,310,山东省,文化类
天津市联升斋刺绣艺术博物馆,非国有博物馆,0,0,300,天津市,艺术类
天津华夏草堂艺术品博物馆,非国有博物馆,0,0,312,天津市,艺术类
安阳市保泰盈殷商博物馆,非国有博物馆,0,0,300,河南省,历史类
天津市三条石历史博物馆,文物系统国有博物馆,0,25,5900,天津市,历史类
安阳市殷墟博物馆,文物系统国有博物馆,31,0,1100,河南省,历史类
平津战役纪念馆,文物系统国有博物馆,27,16,11037,天津市,历史类
霍元甲纪念馆,其他行业国有博物馆,0,0,30,天津市,历史类
天津格格府典藏博物馆,非国有博物馆,0,0,336,天津市,历史类
曹禺故居纪念馆,其他行业国有博物馆,9,0,987,天津市,历史类
天津市天津建筑工法展览馆,非国有博物馆,0,0,296,天津市,行业类
鞍山青籽世家玉石博物馆,非国有博物馆,0,0,1000,辽宁省,文化类
天津戏剧博物馆,文物系统国有博物馆,0,707,3658,天津市,艺术类
天津一二•九抗日救亡运动纪念馆,其他行业国有博物馆,0,0,未知,天津市,历史类
八路军一二九师纪念馆,其他行业国有博物馆,72,25,2595,河北省,历史类
冀东烈士纪念馆,其他行业国有博物馆,3,389,1030,河北省,历史类
鞍山市岫岩满族博物馆,文物系统国有博物馆,1,7,1837,辽宁省,文化类
奥帆博物馆,文物系统国有博物馆,3,0,4254,山东省,文化类
石家庄市火车头步行街铁路文化博物馆,非国有博物馆,36,0,未知,河北省,文化类
滦南县成兆才纪念馆,文物系统国有博物馆,0,0,570,河北省,历史类
清河县甘陵博物馆,非国有博物馆,1,0,未知,河北省,历史类
巴里坤印象馆,文物系统国有博物馆,5,0,5,新疆维吾尔自治区,文化类
晋冀鲁豫革命纪念馆,其他行业国有博物馆,1,73,21616,河北省,历史类
秦皇岛市山海关区兴儒博物馆,非国有博物馆,0,0,601,河北省,文化类
保定市清苑区冉庄地道战纪念馆,文物系统国有博物馆,14,98,379,河北省,历史类
柯棣华纪念馆,其他行业国有博物馆,0,9,945,河北省,历史类
石家庄太艺崖柏艺术博物馆,非国有博物馆,0,0,300,河北省,艺术类
中国人民抗日军政大学陈列馆,文物系统国有博物馆,48,19,6448,河北省,历史类
承德避暑山庄酒文化博物馆,非国有博物馆,1,0,325,河北省,文化类
安国市关汉卿纪念馆,文物系统国有博物馆,0,0,18,河北省,历史类
留法勤工俭学运动纪念馆,文物系统国有博物馆,0,87,129,河北省,历史类
磁县北朝考古博物馆,文物系统国有博物馆,2,1595,1974,河北省,历史类
滦南县潘家戴庄惨案纪念馆,文物系统国有博物馆,1,8,94,河北省,历史类
河北省藏医药文化博物馆,非国有博物馆,0,0,304,河北省,文化类
顺平县鞋文化博物馆,非国有博物馆,2,0,333,河北省,文化类
中共第一个农村党支部纪念馆,其他行业国有博物馆,6,6,83,河北省,历史类
邺城考古博物馆,文物系统国有博物馆,0,7,324,河北省,历史类
华北军区烈士陵园,其他行业国有博物馆,83,28,7905,河北省,历史类
河北省吉古堂家具艺术博物馆,非国有博物馆,0,0,300,河北省,艺术类
衡水内画艺术博物馆,非国有博物馆,3,0,549,河北省,艺术类
白求恩纪念馆,其他行业国有博物馆,0,22,1216,河北省,历史类
巴林古韵博物馆,非国有博物馆,2,0,2052,内蒙古自治区,文化类
安国市中药文化博物馆,文物系统国有博物馆,0,0,145,河北省,文化类
马本斋纪念馆,其他行业国有博物馆,0,0,133,河北省,历史类
巴林左旗辽上京博物馆,文物系统国有博物馆,12,520,113885,内蒙古自治区,历史类
巴林左旗契丹博物馆,非国有博物馆,1,0,2378,内蒙古自治区,文化类
中国人民银行成立旧址纪念馆暨河北钱币博物馆,其他行业国有博物馆,2,0,1902,河北省,行业类
河北习三内画博物馆,非国有博物馆,1,0,436,河北省,艺术类
保定市莲池区戏曲博物馆,非国有博物馆,0,0,300,河北省,艺术类
邢窑遗址博物馆,文物系统国有博物馆,2,0,189,河北省,行业类
保定水利博物馆,其他行业国有博物馆,5,0,302,河北省,行业类
晋察冀边区银行筹备处旧址博物馆,文物系统国有博物馆,0,0,430,河北省,行业类
石家庄市藁城区梅花惨案纪念馆,其他行业国有博物馆,0,0,30,河北省,历史类
保定市璞源玉文化博物馆,非国有博物馆,0,0,301,河北省,文化类
保定市满城汉墓博物馆,文物系统国有博物馆,5,0,20,河北省,历史类
巴中市巴州区晏阳初博物馆,文物系统国有博物馆,15,0,2461,四川省,文化类
石家庄高远清代民俗建筑博物馆,非国有博物馆,0,0,600,河北省,行业类
井陉矿区万人坑纪念馆,其他行业国有博物馆,1,0,623,河北省,历史类
唐县白求恩柯棣华纪念馆,其他行业国有博物馆,6,3,337,河北省,历史类
保定市中国共产党员日记博物馆,非国有博物馆,1,0,2899,河北省,文化类
秦皇岛港口博物馆,其他行业国有博物馆,2,0,6000,河北省,行业类
辛集名花皮毛文化博物馆,非国有博物馆,0,0,315,河北省,文化类
涿州市悦宁赏石文化博物馆,非国有博物馆,0,0,333,河北省,文化类
唐山抗震纪念馆,其他行业国有博物馆,2,0,286,河北省,历史类
唐山启新水泥工业博物馆,其他行业国有博物馆,0,0,1064,河北省,行业类
迁安市贯头山酒文化博物馆,非国有博物馆,0,0,916,河北省,文化类
河北省英烈纪念园,其他行业国有博物馆,0,2,20,河北省,历史类
石家庄精彩无限恒宝斋文化艺术博物馆,非国有博物馆,0,0,328,河北省,艺术类
隆化县董存瑞烈士陵园管理处,其他行业国有博物馆,12,0,42,河北省,历史类
张家口张库大道历史博物馆,非国有博物馆,1,0,317,河北省,历史类
峰峰磁州窑历史博物馆,文物系统国有博物馆,8,106,5306,河北省,历史类
峰峰磁州窑富田窑址博物馆,文物系统国有博物馆,0,0,未知,河北省,行业类
霸州中国自行车博物馆,文物系统国有博物馆,1,0,538,河北省,行业类
井陉窑文化博物馆,非国有博物馆,1,0,380,河北省,文化类
白山市江源长白山松花石博物馆（白山市江源区博物馆）,文物系统国有博物馆,2,0,546,吉林省,文化类
磁州窑博物馆,文物系统国有博物馆,6,452,13008,河北省,行业类
迁西县喜峰口长城抗战博物馆,非国有博物馆,12,0,497,河北省,历史类
白水仓颉庙博物馆,文物系统国有博物馆,10,17,17,陕西省,历史类
热河革命烈士纪念馆,其他行业国有博物馆,18,0,175,河北省,历史类
河北省科学技术馆,其他行业国有博物馆,17,0,323,河北省,科技类
河间市白求恩手术室旧址纪念馆,文物系统国有博物馆,11,0,33,河北省,历史类
邢台酒文化博物馆,非国有博物馆,8,0,779,河北省,文化类
乐亭县李大钊纪念馆,文物系统国有博物馆,274,169,35379,河北省,历史类
白银会州博物馆,非国有博物馆,2,0,600,甘肃省,文化类
涿州市德荣斋蛋雕艺术博物馆,非国有博物馆,0,0,353,河北省,艺术类
武强年画博物馆,文物系统国有博物馆,21,910,11388,河北省,艺术类
威县义和团纪念馆,文物系统国有博物馆,26,0,260,河北省,历史类
白银尚文坊博物馆,非国有博物馆,1,0,1206,甘肃省,文化类
望都县尧母文化博物馆,文物系统国有博物馆,1,7,304,河北省,文化类
白银市白银区十方博物馆,非国有博物馆,1,0,5000,甘肃省,文化类
白银市西翼博物馆,非国有博物馆,1,0,350,甘肃省,文化类
山海关中国长城博物馆,文物系统国有博物馆,14,101,5392,河北省,文化类
峰峰磁州窑盐店窑址博物馆,文物系统国有博物馆,1,0,未知,河北省,行业类
宝丰方志博物馆,非国有博物馆,0,0,800,河南省,文化类
丰宁古生物化石博物馆,非国有博物馆,2,0,1061,河北省,科技类
宝鸡北首岭博物馆,文物系统国有博物馆,0,127,324,陕西省,文化类
灵寿县王三妮当代青铜艺术博物馆,非国有博物馆,1,0,603,河北省,艺术类
张家口地质博物馆,其他行业国有博物馆,7,0,1300,河北省,科技类
宝鸡聚旺博物馆,非国有博物馆,0,0,456,陕西省,文化类
河北省金文渊青铜艺术博物馆,非国有博物馆,1,0,301,河北省,艺术类
宝鸡青铜器博物院,文物系统国有博物馆,39,3305,486726,陕西省,历史类
宝鸡周原博物院,文物系统国有博物馆,1,1086,4097,陕西省,历史类
秦皇岛市山海关古城历史博物馆,非国有博物馆,0,0,700,河北省,历史类
宝镜村村史馆,文物系统国有博物馆,1,0,194,四川省,历史类
宝清县石器博物馆,非国有博物馆,1,0,5000,黑龙江省,文化类
保定市南北非物质文化遗产博物馆,非国有博物馆,0,0,248,河北省,文化类
北戴河秦行宫遗址博物馆,文物系统国有博物馆,3,0,300,河北省,历史类
博野县毛主席像章文化博物馆,非国有博物馆,0,0,369,河北省,文化类
宝应县周恩来少年读书处,文物系统国有博物馆,7,0,未知,江苏省,历史类
河北地质大学地球科学博物馆,其他行业国有博物馆,0,0,20732,河北省,科技类
唐山市冀东民俗艺术博物馆,非国有博物馆,0,0,6904,河北省,艺术类
保定市荣毅博物馆,非国有博物馆,0,0,561,河北省,历史类
灵寿县慈河谷三线文化博物馆,非国有博物馆,0,0,316,河北省,文化类
保定市太行博物馆,非国有博物馆,5,0,1700,河北省,文化类
唐山市丰润区潘家峪惨案纪念馆,文物系统国有博物馆,23,6,60,河北省,历史类
石家庄甲马年画博物馆,非国有博物馆,0,0,305,河北省,艺术类
邢台市郭守敬纪念馆,文物系统国有博物馆,8,0,360,河北省,历史类
保定军校纪念馆,文物系统国有博物馆,4,0,221,河北省,历史类
石家庄海龙铁板浮雕博物馆,非国有博物馆,0,0,300,河北省,艺术类
晋察冀军区机关、晋察冀野战军司令部旧址博物馆,文物系统国有博物馆,0,0,422,河北省,历史类
保定古城香文化博物馆,非国有博物馆,0,0,260,河北省,文化类
保定直隶总督署博物馆,文物系统国有博物馆,22,57,590,河北省,历史类
燕山大学东北亚古丝路文明博物馆,其他行业国有博物馆,1,0,1100,河北省,文化类
保山历史名人博物馆,文物系统国有博物馆,10,0,180,云南省,历史类
保定市传媒博物馆,非国有博物馆,0,0,361,河北省,行业类
临城县邢窑博物馆,文物系统国有博物馆,11,322,927,河北省,行业类
保定秋闲阁艺术馆,非国有博物馆,1,0,314,河北省,艺术类
保山市南红博物馆,非国有博物馆,0,0,300,云南省,文化类
北朝博物馆（大同市博物馆分馆）,文物系统国有博物馆,2,202,1195,山西省,历史类
磁县八路军129师兵工厂博物馆,其他行业国有博物馆,13,0,313,河北省,历史类
石家庄莫心高茶博物馆,非国有博物馆,1,0,306,河北省,文化类
北海贝雕博物馆,非国有博物馆,1,0,55,广西壮族自治区,艺术类
北海近代外国领事机构历史陈列馆,文物系统国有博物馆,1,0,71,广西壮族自治区,历史类
唐山地震博物馆,其他行业国有博物馆,26,0,1364,河北省,历史类
晋察冀边区革命纪念馆,其他行业国有博物馆,20,0,1281,河北省,历史类
武安市磁山文化博物馆,文物系统国有博物馆,2,0,975,河北省,文化类
北海近代洋行历史陈列馆,文物系统国有博物馆,0,0,82,广西壮族自治区,历史类
保定市竞秀区小磨香油博物馆,非国有博物馆,0,0,198,河北省,行业类
石家庄市毗卢寺博物院,文物系统国有博物馆,1,60,67,河北省,历史类
宣化上谷民俗博物馆,非国有博物馆,1,0,306,河北省,文化类
河北省佛像艺术博物馆,非国有博物馆,0,0,310,河北省,艺术类
石家庄志发陶瓷博物馆,非国有博物馆,1,0,300,河北省,行业类
北海南珠博物馆,非国有博物馆,0,0,318,广西壮族自治区,文化类
易县狼牙山文化博物馆,非国有博物馆,9,0,5000,河北省,文化类
霸州李少春纪念馆,文物系统国有博物馆,1,0,2260,河北省,艺术类
北海市汉晟古兵器博物馆,非国有博物馆,2,0,608,广西壮族自治区,文化类
大同市葡萄酒博物馆,非国有博物馆,0,0,308,山西省,行业类
临汾市陶唐民俗博物馆,非国有博物馆,1,0,322,山西省,文化类
大同市北朝艺术博物馆,非国有博物馆,3,0,300,山西省,艺术类
长治市上党区八义窑红绿彩博物馆,非国有博物馆,2,0,490,山西省,文化类
北京百工博物馆,非国有博物馆,0,0,30,北京市,文化类
山西晋韵砖雕艺术博物馆,非国有博物馆,5,0,2000,山西省,艺术类
山西考古博物馆,文物系统国有博物馆,2,1266,58986,山西省,历史类
沁水县沁河民俗文化博物馆,非国有博物馆,1,0,1055,山西省,文化类
阳泉市革命烈士纪念馆,其他行业国有博物馆,2,0,4,山西省,历史类
永济市蒲津渡遗址博物馆,文物系统国有博物馆,4,0,未知,山西省,历史类
忻州九源古陶瓷博物馆,非国有博物馆,4,0,325,山西省,行业类
古代铜造艺术博物馆（大同市博物馆分馆）,文物系统国有博物馆,1,37,247,山西省,艺术类
晋城市玉皇庙彩塑壁画博物馆,文物系统国有博物馆,1,0,30,山西省,艺术类
北京百年世界老电话博物馆,非国有博物馆,2,0,3110,北京市,行业类
北京老爷车博物馆,非国有博物馆,5,320,320,北京市,文化类
大同煤矿“万人坑”遗址纪念馆,其他行业国有博物馆,1,0,454,山西省,历史类
临汾奇石文化博物馆,非国有博物馆,0,0,316,山西省,文化类
北京市姜杰钢琴手风琴博物馆,非国有博物馆,0,0,307,北京市,行业类
北京云汇网球木拍博物馆,非国有博物馆,0,0,666,北京市,行业类
魁星文化博物馆（大同市博物馆分馆）,文物系统国有博物馆,0,0,38,山西省,文化类
北票毓水博物馆,非国有博物馆,1,0,493,辽宁省,文化类
中阳县闹泥民俗博物馆,非国有博物馆,1,0,320,山西省,文化类
兴县四·八烈士纪念馆,文物系统国有博物馆,5,0,60,山西省,历史类
北镇市大朝阳博物馆,非国有博物馆,0,346,346,辽宁省,文化类
本溪满族自治县洞穴博物馆,文物系统国有博物馆,0,0,183,辽宁省,文化类
大同市大同服饰文化历史博物馆,非国有博物馆,0,0,5116,山西省,文化类
太原市观古艺术博物馆,非国有博物馆,2,0,803,山西省,艺术类
武乡县进宝民俗文化博物馆,非国有博物馆,0,0,690,山西省,文化类
晋城市青莲寺古建艺术博物馆,文物系统国有博物馆,2,0,未知,山西省,艺术类
山西慧光古灯博物馆,非国有博物馆,2,0,500,山西省,艺术类
赵树理故居陈列馆,其他行业国有博物馆,0,0,186,山西省,历史类
八路军总部北村旧址纪念馆,文物系统国有博物馆,3,0,2000,山西省,历史类
百团大战纪念馆,其他行业国有博物馆,28,92,2261,山西省,历史类
毕节市沈涛文玩陈列馆,非国有博物馆,0,0,未知,贵州省,历史类
平遥县双林寺彩塑艺术馆,文物系统国有博物馆,2,0,2056,山西省,艺术类
运城市国泰艺术博物馆,非国有博物馆,0,0,330,山西省,艺术类
毕占云生平事迹陈列馆,文物系统国有博物馆,0,0,73,四川省,历史类
山西税收博物馆,其他行业国有博物馆,2,0,40000,山西省,行业类
牺盟会新军纪念馆,文物系统国有博物馆,1,33,182,山西省,历史类
临汾北方紫砂陶博物馆,非国有博物馆,0,0,306,山西省,行业类
明堂遗址博物馆（大同市博物馆分馆）,文物系统国有博物馆,2,0,45,山西省,历史类
太原北齐壁画博物馆,文物系统国有博物馆,0,0,12,山西省,艺术类
山西五方佛教文化艺术博物馆,非国有博物馆,0,0,1700,山西省,文化类
兵团十师屯垦戍边史馆,文物系统国有博物馆,1,0,69,新疆生产建设兵团,历史类
山西中医药博物馆,非国有博物馆,1,0,1309,山西省,行业类
博罗县葛洪博物馆,文物系统国有博物馆,33,0,603,广东省,文化类
临汾市丁村民俗博物馆,文物系统国有博物馆,2,265,7423,山西省,文化类
孙中山纪念馆,其他行业国有博物馆,1,0,未知,山西省,历史类
临汾市平阳木版年画博物馆,非国有博物馆,1,0,310,山西省,艺术类
河边民俗博物馆,文物系统国有博物馆,4,135,4884,山西省,文化类
山西烽火抗战博物馆,非国有博物馆,35,0,476,山西省,历史类
垣曲县中条山抗战纪念馆,非国有博物馆,10,0,640,山西省,历史类
五台县纪念白求恩展览馆,文物系统国有博物馆,15,2,75,山西省,历史类
山西厚土瓷壶博物馆,非国有博物馆,1,0,302,山西省,行业类
