MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-Category-I.Population,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-Category-Population,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2000,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2010,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2012,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2013,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2014,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2015,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2016,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2017,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2018,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2019,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2020,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2021,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2022,MainIndicatorsonNationalEconomicandSocialDevelopmentofShandongProvince-MainIndicatorsonNationalEconomicandSocialDevelopment-2023
Regional Gross Product         (100 million yuan),Gross Domestic Product                                       (100 million yuan),8278.06,33922.49,42957.31,47344.33,50774.84,55288.79,58762.46,63012.1,66648.87,70540.48,72798.17,82875.17,87576.93,92068.7
Primary Industry                (100 million yuan),Primary Industry                                               (100 million yuan),1252.08,3411.34,4047.06,4454.11,4662.81,4902.82,4830.25,4832.71,4950.52,5116.99,5364.35,6029.03,6296.5,6506.19
Second Industry                (100 million yuan),Secondary Industry                                           (100 million yuan),4120.19,17733.08,21275.89,22615.89,23588.02,24814.88,25565.04,26925.59,27523.67,28171.78,28456.66,32834.49,34562.34,35987.92
Tertiary Industry                (100 million yuan),Tertiary Industry                                               (100 million yuan),2905.79,12778.07,17634.36,20274.33,22524.01,25571.09,28367.17,31253.8,34174.68,37251.71,38977.16,44011.65,46718.09,49574.59
Per Capita Gross Regional Product (Yuan),Per Capita GDP                                                                       (yuan),9260,35599,44348,48673,51933,56205,59239,62993,66284,69901,71825,81510,86143,90771
Four. Fixed Asset Investment,Investment in Fixed Assets,,,,,,,,,,,,,,
Total Fixed Asset Investment in Society (100 million yuan),Total Investment in Fixed Assets                         (100 million yuan),2542.65,23276.69,31255.96,36789.07,42495.55,48312.46,53322.49,55202.73,,,,,,
State-owned Economy (in 100 million yuan),State-Owned Units                                           (100 million yuan),1153.65,3648.45,3949.65,4757.31,5455.94,6304.58,7497.32,9568.25,,,,,,
Collective Economy (100 million yuan),Collective-Owned Units                                   (100 million yuan),679.48,2627.32,3129.27,3113.17,3380.39,3125.74,1545.38,1496.62,,,,,,
Individual Economy (in 100 million yuan),Individuals Economy                                        (100 million yuan),353.93,6505.0,9879.75,12827.66,16215.47,20268.78,22191.42,22328.55,,,,,,
Other Economy                (100 million yuan),Others                                                               (100 million yuan),355.59,10495.92,14297.3,16090.93,17443.75,18613.36,22088.37,21809.31,,,,,,
Real Estate Development Investment (in 100 million yuan),Investment in Real Development                      (100 million yuan),223.29,3249.37,4708.31,5444.53,5817.95,5892.16,6323.38,6637.25,7552.97,8614.89,9450.49,9819.75,9225.91,8541.23
Five. Energy,Energy,,,,,,,,,,,,,,
Total Primary Energy Production (Ten Thousand Ton Standard Coal),Total Primary Energy Output                           (10 000 tons of SCE),9648.75,16055.71,16973.8,15165.08,15220.4,14693.06,13616.76,13710.27,13102.01,12539.1,12205.72,11543.68,11804.52,12935.27
Raw Coal,Crude Coal,5741.96,11913.14,12528.16,10722.56,10699.8,10277.4,9404.96,9623.27,8827.54,7820.68,7422.75,6322.85,6026.26,6191.24
Crude Oil,Crude Oil,3822.49,3980.08,3963.94,3894.94,3876.09,3751.91,3301.96,3192.79,3203.2,3177.7,3170.31,3158.22,3143.33,3163.01
Natural gas,Natural Gas,83.54,129.01,75.71,65.11,62.89,57.7,56.23,49.72,52.8,56.1,63.43,68.42,87.69,96.89
Primary Electricity,Primary Electricity,0.76,33.48,79.19,116.19,133.13,161.9,229.07,305.89,484.11,742.71,817.13,1142.09,1366.66,1700.97
Six. Finance,Government Finance,,,,,,,,,,,,,,
General Public Budget Revenue (in 100 million yuan),General Public Budget Revenue                           (100 million yuan),463.68,2749.38,4059.43,4559.95,5026.83,5529.33,5860.18,6098.63,6485.4,6526.71,6559.93,7284.46,7104.1,7464.78
Tax Revenue,Tax Revenue,392.9,2149.9,3050.2,3533.49,3965.76,4203.12,4212.59,4419.4,4897.92,4849.29,4757.62,5475.99,4795.52,5229.66
Value-Added Tax,Value Added Tax,89.69,378.23,438.12,489.56,596.96,594.98,1129.75,1705.96,1902.12,1958.67,1814.47,2030.31,1436.36,2027.15
Business Tax,Business Tax,87.66,631.51,896.64,1068.33,1135.92,1252.4,650.45,,,,,,,
Corporate Income Tax,Company Income Tax,81.87,293.31,441.64,445.95,483.01,498.72,503.24,620.3,677.38,696.2,686.55,867.43,839.56,724.94
Personal Income Tax,Personal Income Tax,24.75,81.01,95.11,104.59,115.18,143.12,143.15,186.73,215.3,147.47,182.06,243.4,265.47,260.17
Resource Tax,Resource Tax,6.22,33.29,91.11,92.62,119.57,103.81,95.18,99.56,119.75,119.98,108.27,126.15,158.04,160.6
Urban Maintenance and Construction Tax,Urban Maintenance and Development Tax,27.62,130.74,198.88,217.84,231.33,243.71,250.83,261.82,306.46,290.13,283.97,324.72,311.01,319.84
Property Tax,Tax on Real Estates,15.56,64.65,100.83,111.75,122.49,133.86,143.36,157.81,168.25,166.73,165.57,188.96,213.81,229.61
Urban Land Use Tax,Urban Land Using Tax,8.82,137.69,211.69,229.16,264.69,358.75,393.74,398.18,396.84,337.27,299.89,302.53,315.51,315.09
Land Value-added Tax,Land Value-added Tax,0.74,66.19,145.21,205.91,257.74,259.51,293.15,367.18,390.79,404.28,433.38,487.11,494.59,431.42
Vehicle and Vessel Tax,Tax on Vehicle and License,3.19,23.27,35.86,40.26,46.65,53.31,61.0,69.37,75.85,78.1,82.3,94.43,99.09,101.57
Administrative and Public Service Charge Revenue,Income from Administrative Work Fees,30.57,203.02,305.29,284.12,302.2,296.74,328.25,320.28,303.52,307.22,308.32,336.99,337.75,295.72
General Public Budget Expenditure (in 100 million yuan),Expenditure for General Public Budget                     (100 million yuan),613.08,4145.03,5904.52,6688.8,7177.31,8250.01,8755.21,9258.4,10100.96,10739.76,11233.52,11713.16,12128.63,12581.74
General Public Service Expenditure,Expenditure for General Public Service Expenditure,0.0,544.31,705.51,749.96,725.33,738.11,783.56,857.51,943.35,1061.95,1118.07,1136.11,1209.32,1193.5
Education Expenditure,Expenditure for Education,0.0,770.45,1311.8,1399.67,1461.05,1690.62,1825.99,1890.0,2006.5,2156.14,2283.84,2411.09,2626.48,2713.74
Social Security and Employment Expenditure,Expenditure for Social Security  and Employment,0.0,416.77,596.48,681.98,763.53,904.64,992.66,1131.96,1253.99,1444.63,1657.53,1863.39,1964.44,2181.75
Health and Wellness Expenditure,Expenditure for Health,0.0,250.77,422.91,485.86,605.67,701.43,790.19,829.27,885.15,912.07,1045.5,1092.72,1234.1,1253.98
"Agriculture, Forestry, and Water Expenditure",Expenditure for Farming、Forestry and Irrigation Affairs,0.0,465.98,673.82,748.14,772.84,964.42,943.44,953.59,998.5,1075.98,1065.29,1026.95,1118.86,1051.73
Seven. Finance,Financial Intermediation,,,,,,,,,,,,,,
Balance of RMB Deposits in Financial Institutions (in 100 million yuan),RMB Deposits                                                               (100 million yuan),7471.2,41104.96,54301.53,62077.88,67498.29,74524.16,83414.88,88531.71,94298.18,102676.38,116155.37,127871.85,143590.55,157789.8
Household Deposits,Household Deposits,4466.72,19648.21,26343.31,29796.08,33178.56,37320.02,41350.93,44035.84,48434.98,55232.15,64258.4,72255.34,84665.25,96869.11
Year-end Balance of RMB Loans from Financial Institutions (in 100 million yuan),RMB Loans                                                                   (100 million yuan),6209.05,30722.64,40021.49,44761.26,50058.64,55437.0,61726.88,67575.96,74879.4,83702.97,95411.56,108436.77,121533.28,136576.86
Eight. Price Index,Price Indices,,,,,,,,,,,,,,
Consumer Price Index (Previous Year = 100),Consumer Price Index                                              (preceding year=100),100.2,102.9,102.1,102.2,101.9,101.2,102.1,101.5,102.5,103.2,102.8,101.2,101.7,100.1
Commodity Retail Price Index (Previous Year = 100),Retail Price Index                                                      (preceding year=100),98.6,102.7,101.6,101.4,101.0,100.2,101.3,100.8,102.2,102.2,102.0,101.4,102.3,
Producer Price Index of Industrial Production (Previous Year = 100),Producer Price Indices for Industrial Products   (preceding year=100),105.9,107.2,98.4,98.4,98.4,95.2,98.5,105.5,103.7,99.7,98.1,110.3,105.1,96.5
Producer Price Index for Purchased Industrial Goods (Previous Year = 100),Industrial Producer Purchasing Price Indices     (preceding year=100),104.7,109.3,99.2,98.4,98.2,95.0,98.0,107.3,103.6,99.2,97.5,109.5,105.8,97.0
Nine. Residents' Living Standards,People's Livelihood,,,,,,,,,,,,,,
Household Life of All Residents,All Households Livelihood,,,,,,,,,,,,,,
Per Capita Floor Area of Housing at Year-End (Square Meters),Per Capita Space of Living House at Year-end                           (sq.m),,,,37.9,38.7,38.5,39.6,39.9,39.6,39.9,40.0,41.3,41.7,43.7
Per Capita Disposable Income (Yuan),Annual Per Capita Disposable Income of All Households      (yuan),4095,12922,17127,19008,20864,22703,24685,26930,29205,31597,32886,35705,37560,39890
Per Capita Consumption Expenditure (Yuan),Annual Per Capita Consumption Expenditure                           (yuan),2982,8560,10902,11897,13329,14578,15926,17281,18780,20427,20940,22821,22640,24293
,of All Households,,,,,,,,,,,,,,
Rural Residents' Living Standards,Rural's Livelihood,,,,,,,,,,,,,,
Per Capita Floor Area of Housing at Year-End (Square Meters),Per Capita Space of Living House at Year-end                          (sq.m),23.6,34.7,38.4,39.6,40.3,40.9,42.1,42.5,43.2,43.5,43.4,44.0,44.6,48.7
Per Capita Disposable Income (Yuan),Annual Per Capita Disposable Income of Rural Households  (yuan),2663,7034,9506,10687,11882,12930,13954,15118,16297,17775,18753,20794,22110,23776
Per Capita Consumption Expenditure (Yuan),Annual Per Capita Consumption Expenditure                           (yuan),1743,4472,6304,6877,7962,8748,9519,10342,11270,12309,12660,14299,14687,16075
,of Rural Households,,,,,,,,,,,,,,
Urban Residents' Lives,Urban's Livelihood,,,,,,,,,,,,,,
Per Capita Floor Area of Housing at Year-End (Square Meters),Per Capita Space of Living House at Year-end                          (sq.m),13.8,32.1,33.4,36.4,37.3,36.4,37.5,37.6,36.8,37.1,37.3,39.3,39.5,40.1
Per Capita Disposable Income (Yuan),Annual Per Capita Disposable Income of Urban Households (yuan),6417,18971,24496,26882,29222,31545,34012,36789,39549,42329,43726,47066,49050,51571
Per Capita Consumption Expenditure (Yuan),Annual Per Capita Consumption Expenditure                            (yuan),4991,12761,15349,16646,18323,19854,21495,23072,24798,26731,27291,29314,28555,30251
,of Urban Households,,,,,,,,,,,,,,
"Ten. Agriculture, Forestry, Animal Husbandry, and Fishery","Farming,Forestry,Animal Husbandry and Fishery",,,,,,,,,,,,,,
"Total Output Value of Agriculture, Forestry, Animal Husbandry and Fishery        (100 million yuan)","Gross Output Value of Farming Forestry,  Animal Husbandry and",2294.35,6573.77,7817.84,8577.06,8988.18,9283.92,9075.6,9140.36,9397.39,9671.67,10190.58,11468.01,12130.71,12531.9
,Fishery                                                                        (100 million yuan),,,,,,,,,,,,,,
Agriculture,Farming,1300.44,3588.42,3829.19,4335.77,4556.1,4662.61,4387.51,4403.23,4678.26,4914.43,5168.36,5814.56,6206.54,6462.43
Forestry,Forestry,47.62,86.53,107.01,120.3,131.53,139.92,147.48,165.09,181.63,197.7,214.2,219.94,227.29,244.47
Livestock Industry,Animal Husbandry,599.17,1796.52,2328.69,2410.56,2478.81,2602.08,2620.29,2501.37,2432.67,2412.06,2571.87,2904.24,3003.54,2973.68
Fishing Industry,Fishery,347.12,829.77,1227.81,1347.03,1420.85,1447.28,1409.65,1475.96,1425.91,1397.42,1432.08,1652.6,1729.65,1807.64
"Agriculture, Forestry, Animal Husbandry, Fishery and Related Support Activities","Output Value of Farming,Forestry,Animal Husbandry and Fishery",,272.52,325.14,363.4,400.9,432.03,510.66,594.7,678.92,750.06,804.06,876.68,963.69,1043.69
,professions and auxiliary activities,,,,,,,,,,,,,,
Agricultural Production Situation,Farming,,,,,,,,,,,,,,
Total Grain Output (Ten Thousand Tonnes),Total Output of Grain                                                      (10 000 tons),3837.7,4502.8,4815.8,4883.4,5038.3,5147.4,5332.3,5374.3,5319.5,5357.0,5446.8,5500.7,5543.8,5655.3
Grain Yield per Hectare (kg/hectare),Grain                                                                          (kilogram/hectare),4938,6043,6214,6099,6087,6123,6261,6356,6329,6444,6577,6584,6622,6742
"Total Cotton Output (10,000 tons)",Total Output of Cotton                                                    (10 000 tons),59.0,59.0,51.4,43.4,44.2,33.9,32.9,20.7,21.7,19.6,18.3,14.0,14.5,12.6
Cotton Yield per Hectare (kg/hectare),Cotton                                                                       (kilogram/hectare),1085,945,1012,923,1122,1042,1179,1185,1184,1158,1281,1273,1278,1304
Total Oil Output (Ten Thousand Tons),Total Output of Oil-bearing Crops                                (10 000 tons),356.9,347.7,341.8,341.6,329.6,318.7,317.1,318.3,310.9,289.0,290.9,285.9,274.0,280.7
Oilseed Yield per Hectare (kg/hectare),Oil-bearing Crops                                                    (kilogram/hectare),3730,4317,4404,4386,4355,4302,4310,4389,4370,4236,4366,4420,4390,4472
"Total Meat Production (10,000 tons)",Total Output of Grain                                                     (10 000 tons),500.0,754.0,822.6,838.2,836.8,845.5,837.1,866.0,854.7,704.0,728.0,819.3,844.5,910.1
Pig Inventory (Ten Thousand Heads),Number of Pigs                                                              (10 000 heads),2401.8,2871.6,3101.2,3167.0,3179.5,3147.3,3086.8,3040.3,2985.6,2176.5,2933.9,3151.0,3005.4,2801.2
"Cattle in inventory (10,000 heads)",Number of Cattles                                                         (10 000 heads),779.9,440.3,433.7,424.3,410.5,407.6,391.9,401.5,380.6,364.2,278.7,279.8,283.3,269.0
Sheep and Goat Inventory (Ten Thousand Heads),Number of Sheep and Goats                                        (10 000 heads),2260.1,1926.9,1850.3,1797.9,1765.0,1767.9,1693.1,1754.0,1801.4,1837.4,1501.7,1466.4,1459.1,1353.2
Poultry Inventory (Ten Thousand Birds),Number of Poultry                                                         (10 000 heads),47789.9,58214.0,70959.8,70261.3,69911.9,71816.0,78056.1,76604.5,75614.9,78864.3,83642.4,84578.1,81838.0,90517.0
Pig Slaughtered (Ten Thousand Heads),Slaughtered Pigs                                                           (10 000 heads),3213.2,4425.5,4800.8,5043.0,5245.7,5156.4,5093.2,5180.7,5082.3,3176.4,3344.8,4401.7,4528.4,4659.7
Cattle Slaughtered (Ten Thousand Heads),Slaughtered Cattle                                                         (10 000 heads),322.2,413.0,385.3,382.6,372.4,370.2,360.8,361.6,363.4,345.9,275.7,280.0,275.6,268.5
Lamb Slaughtered (Ten Thousand Heads),Slaughtered Sheep                                                        (10 000 heads),2375.7,2707.4,2493.4,2472.1,2530.6,2527.1,2540.8,2629.8,2682.4,2701.1,2491.6,2373.4,2376.8,2297.4
Poultry Slaughtered (Ten Thousand Birds),Slaughtered Poultry                                                      (10 000 heads),91195.0,169549.8,199140.7,195931.9,182274.9,192052.0,214261.0,220423.3,217200.2,231299.1,252670.8,263535.7,271178.2,310282.1
Poultry Egg Production (Ten Thousand Tons),Poultry Eggs                                                                    (10 000 tons),301.0,384.8,402.4,396.6,388.4,424.3,441.1,445.1,447.4,450.6,482.2,456.6,439.3,463.5
Milk Production (Ten Thousand Tons),Milk                                                                                    (10 000 tons),62.7,231.0,248.6,237.7,244.7,240.7,233.8,231.3,232.5,234.5,241.6,288.4,304.5,318.3
Total Aquatic Product Output (tons),Total Aquatic Products                                                             (tons),6306551,7838259,7885248,8084522,8464587,8722448,8899622,8680030,8614032,8232724,8286092,8544248,8812740,9139462
Sea Water Products (tons),Seawater Aquatic Products                                                   (tons),5375169,6463345,6524046,6654179,7085761,7352063,7541952,7371727,7360685,7062086,7180937,7403008,7622454,7905131
Marine Fishing (tons),Catching in Ocean                                                               (tons),2780483,2350888,2161603,2087829,2286654,2356409,2414112,2180891,2149830,2091101,2039543,2029166,2061660,2095102
Marine Aquaculture (tons),Seawater Aquiculture                                                         (tons),2594685,3962643,4362443,4566350,4799107,4995654,5127840,5190836,5210855,4970985,5141394,5373842,5560794,5810029
Freshwater Product Output (Ton),Freshwater Aquatic Products                                               (tons),931382,1374914,1361202,1430344,1378826,1370385,1357670,1308303,1253347,1170638,1105155,1141240,1190286,1234331
Fishing Output (Ton),Catching                                                                                (tons),81214,130896,112783,115167,90661,83086,93900,83730,82821,89290,95634,95733,99912,104956
Culture Volume (Ton),Freshwater Aquiculture                                                      (tons),850168,1244018,1248419,1315177,1288165,1287299,1263770,1224573,1170526,1081348,1009521,1045507,1090374,1129375
Aquaculture Area of Aquatic Products (Ten Thousand Mu),Aquiculture Area                                                                (10 000 mu),788.4,1136.5,1205.2,1240.4,1252.7,1269.2,1259.3,1250.4,1173.4,1138.3,1116.9,1147.8,1158.5,1205.7
"Sea Water (10,000 mu)",Seawater Aquiculture Area                                          (10 000 mu),420.7,751.4,785.6,820.2,822.7,844.8,907.2,915.6,856.3,842.3,870.5,912.6,926.2,969.0
"Freshwater (10,000 mu)",Freshwater Aquiculture Area                                       (10 000 mu),367.6,385.1,419.6,420.1,429.9,424.4,352.1,334.8,317.1,296.1,246.4,235.3,232.3,236.6
Eleven. Industry,Industry,,,,,,,,,,,,,,
Total Industrial Added Value (100 million yuan),Value Added of Industry Enterprises                        (100 million yuan),3620.06,15449.95,18421.9,19475.3,20178.23,21156.5,21695.98,22515.81,22613.01,22755.13,22986.45,26894.08,28296.99,29191.15
Twelve. Construction Industry,Construction,,,,,,,,,,,,,,
Value added by construction industry (100 million yuan),Value Added of Construction Enterprises                 (100 million yuan),500.13,2283.13,2853.99,3188.6,3476.06,3731.63,3909.44,4441.01,5024.9,5532.77,5574.19,6068.1,6391.34,6961.09
"Thirteen. Transportation, Posts and Telecommunications","Transport,Post and Telecommunication Services",,,,,,,,,,,,,,
Railway Operating Mileage (kilometers),Length of Railways                                                                            (km),2672,3833,4306,4397,4546,4863,4882,5115,5676,5972,6881,7198,7327,7694
Highway Operating Mileage (kilometers),Length of Highways                                                                          (km),70686,229858,244586,252785,259514,263447,265720,270590,275642,280325,286814,288143,291759,293411
# Sunny and Rainy Road Connectivity (Kilometers),Length of Highways Operating under All Weathers               (km),70038,228906,243779,252066,259031,262986,265265,270150,275344,280186,286741,283469,288228,291708
Inland Navigable Waterway Mileage (kilometers),Length of Navigable Inland Waterways                                        (km),1476,1150,1150,1150,1150,1150,1150,1150,1150,1150,1117,1117,1117,1117
"Passenger Volume (10,000 people)",Passenger Traffic                                                       (10 000 persons),66128,248720,264935,269391,73582,59625,62727,64536,66613,67317,30096,28350,16386,33259
Railway,Railways,3840,6041,7650,8484,9508,10666,11904,13388,14525,15722,9797,12164,7321,18265
Highway,Highways,61466,240044,254711,258327,62052,46960,48823,49111,50044,49581,19475,15139,8247,12442
Water Transport,Waterways,822,2635,2574,2580,2022,1999,2000,2037,2044,2014,824,1047,818,2552
Passenger-kilometers (million passenger-kilometers),Passenger Turnover                                         (million passenger-km),54873,164471,183196,189285,114056,112745,116882,122676,126935,127981,59517,70560,41481,97968
Railway,Railways,22180,42135,50951,54995,61734,64444,68442,73365,76302,77287,43191,52392,31333,80918
Highway,Highways,32358,121151,130995,133137,51141,47137,47240,48104,49357,49256,15931,17783,9829,16213
Water Transport,Waterways,335,1185,1250,1153,1181,1164,1200,1207,1276,1439,395,385,319,837
"Freight Volume (10,000 tons)",Freight Traffic                                                                  (10 000 tons),92483,298055,330270,344401,260983,258444,281557,322564,349481,304732,308627,333420,322708,336140
Railway,Railways,11253,18056,19814,19043,16792,15786,16745,17853,18710,20850,23189,22895,24717,25349
Highway,Highways,76778,264366,296752,311812,230018,227934,249752,288052,312807,266124,267230,291196,276906,285567
Water Transport,Waterways,4452,15633,13704,13546,14172,14724,15060,16659,17964,17758,18208,19329,21085,25224
Freight Turnover (Hundred Thousand Ton-Kilometers),Freight Turnover                                                         (million ton-km),403315,1174705,1099119,1026088,817690,833415,879552,962225,995988,1007631,1034063,1200214,1420835,1497081
Railway,Railways,79964,144775,149384,138910,123808,107728,113668,121363,126468,143456,156609,168212,183155,179641
Highway,Highways,40575,621680,705922,749888,571138,587699,607143,665022,685968,674620,678440,751761,791263,799935
Water Transport,Waterways,282776,408250,243813,137290,122744,137988,158741,175840,183552,189555,199014,280241,446417,517505
"Coastal Major Port Freight Throughput (10,000 tons)",Volume of Freight Handled in Major Coastal Ports        (10 000 tons),16025,86421,106655,118137,128593,134218,142856,151571,161512,161064,168881,178158,189036,197399
Post Office Total (Units),Number of Post & Telecommunications Offices                         (unit),3011,2840,2856,2861,2870,2870,2878,2880,2873,2889,3005,2979,2903,2908
Correspondence (Ten Thousand Pieces),Number of Letters                                                                  (10 000 pcs),32878,53963,45663,42389,29233,18787,10328,6978,6369,6263,4341,3796,3212,3839
Total Telecommunications Business Volume (in 100 million yuan),Business Volume of Telecommunication Services  (100 million yuan),186.5,1920.9,797.6,863.7,1067.8,1253.1,863.4,1494.8,3651.9,5786.6,7200.1,1002.0,1104.4,1127.7
"Broadband Internet Access Users (10,000 households)",Number of Internet Broad Band Subscribers       (10 000 subscribers),,,1364.1,1465.1,1523.9,1625.7,2366.5,2588.7,2884.8,3186.1,3445.6,3863.7,4264.7,4581.9
