3-3人均国民总收入-GNIperCapita,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
老    挝,Laos,200.0,280.0,460.0,900.0,1010.0,1130.0
拉脱维亚,Latvia,2790.0,3210.0,6810.0,12390.0,11850.0,12350.0
黎 巴 嫩,Lebanon,1240.0,4730.0,5710.0,7870.0,8750.0,9110.0
莱 索 托,Lesotho,540.0,530.0,840.0,1080.0,1100.0,1220.0
利比里亚,Liberia,,190.0,120.0,210.0,210.0,240.0
利 比 亚,Libya,,,6460.0,12320.0,,
列支敦士登,Liechtenstein,45170.0,79660.0,92780.0,137070.0,,
立 陶 宛,Lithuania,,3200.0,7380.0,11700.0,11620.0,12280.0
卢 森 堡,Luxemburg,29530.0,43660.0,69300.0,71920.0,76820.0,78130.0
前南马其顿,"Macedonia, FYR",,1830.0,2900.0,4540.0,4600.0,4730.0
马达加斯加,Madagascar,250.0,250.0,300.0,420.0,430.0,430.0
马 拉 维,Malawi,180.0,160.0,220.0,310.0,330.0,340.0
马来西亚,Malaysia,2370.0,3420.0,5110.0,7230.0,7760.0,8420.0
马尔代夫,Maldives,,2140.0,3370.0,5660.0,6150.0,6530.0
马    里,Mali,260.0,230.0,390.0,560.0,600.0,610.0
马 耳 他,Malta,7470.0,10510.0,14380.0,18220.0,18620.0,
马绍尔群岛,Marshall Islands,,2850.0,3560.0,3640.0,3640.0,3910.0
毛里塔尼亚,Mauritania,550.0,530.0,720.0,1030.0,1000.0,1000.0
毛里求斯,Mauritius,2440.0,3870.0,5360.0,7260.0,7780.0,8240.0
墨 西 哥,Mexico,2790.0,5010.0,7820.0,8670.0,8930.0,9240.0
密克罗尼西亚,"Micronesia, Fed.",,2220.0,2510.0,2640.0,2730.0,2900.0
摩尔多瓦,Moldova,,370.0,890.0,1570.0,1820.0,1980.0
摩 纳 哥,Monaco,75810.0,82960.0,123100.0,183150.0,,
蒙    古,Mongolia,1430.0,460.0,890.0,1760.0,1870.0,2320.0
黑    山,Montenegro,,,3580.0,6580.0,6740.0,7060.0
摩 洛 哥,Morocco,990.0,1310.0,1960.0,2770.0,2850.0,2970.0
莫桑比克,Mozambique,170.0,230.0,300.0,430.0,440.0,470.0
纳米比亚,Namibia,1720.0,1950.0,3300.0,4060.0,4250.0,4700.0
尼 泊 尔,Nepal,210.0,220.0,290.0,440.0,490.0,540.0
荷    兰,Netherlands,18810.0,26580.0,39880.0,48530.0,48920.0,49730.0
新 西 兰,New Zealand,12970.0,13760.0,24990.0,28740.0,29350.0,
尼加拉瓜,Nicaragua,310.0,730.0,890.0,1050.0,1100.0,1170.0
尼 日 尔,Niger,300.0,180.0,260.0,340.0,360.0,360.0
尼日利亚,Nigeria,260.0,270.0,630.0,1160.0,1170.0,1200.0
挪    威,Norway,26010.0,35860.0,62490.0,85760.0,86390.0,88890.0
阿    曼,Oman,5540.0,7130.0,11190.0,18170.0,19260.0,
巴基斯坦,Pakistan,410.0,470.0,710.0,990.0,1050.0,1120.0
帕    劳,Palau,,6250.0,7770.0,6230.0,6560.0,7250.0
巴 拿 马,Panama,2210.0,3730.0,4640.0,6540.0,7010.0,7910.0
巴布亚新几内亚,Papua New Guinea,820.0,620.0,680.0,1190.0,1300.0,1480.0
巴 拉 圭,Paraguay,1190.0,1350.0,1220.0,2240.0,2730.0,2970.0
秘    鲁,Peru,780.0,2060.0,2710.0,4280.0,4900.0,5500.0
菲 律 宾,Philippines,730.0,1050.0,1210.0,1870.0,2060.0,2210.0
波    兰,Poland,,4600.0,7270.0,12190.0,12450.0,12480.0
葡 萄 牙,Portugal,7050.0,12100.0,18060.0,21750.0,21830.0,21250.0
波多黎各,Puerto Rico,6220.0,10550.0,14530.0,16300.0,16560.0,
卡 塔 尔,Qatar,,,,69750.0,73060.0,80440.0
罗马尼亚,Romania,1710.0,1690.0,3920.0,8320.0,7850.0,7910.0
俄罗斯联邦,Russian Fed.,,1710.0,4460.0,9290.0,9880.0,10400.0
卢 旺 达,Rwanda,360.0,250.0,270.0,480.0,520.0,570.0
圣基茨和尼维斯,Saint Kitts and Nevis,3610.0,6880.0,10130.0,12990.0,12360.0,12480.0
圣卢西亚,Saint Lucia,2810.0,4170.0,5130.0,5630.0,6200.0,6680.0
圣文森特和格林纳丁斯,Saint Vincent and the Grenadines,1740.0,3130.0,4980.0,6220.0,6030.0,6100.0
萨 摩 亚,Samoa,1070.0,1420.0,2090.0,2870.0,3030.0,3190.0
圣多美和普林西比,Sao Tome and Principe,,,740.0,1170.0,1250.0,1360.0
沙特阿拉伯,Saudi Arabia,7330.0,8390.0,12230.0,16250.0,16610.0,17820.0
塞内加尔,Senegal,740.0,530.0,800.0,1070.0,1080.0,1070.0
塞尔维亚,Serbia,,1400.0,3430.0,5740.0,5630.0,5680.0
塞 舌 尔,Seychelles,5020.0,7420.0,9820.0,10390.0,10460.0,11130.0
塞拉利昂,Sierra Leone,200.0,150.0,230.0,340.0,340.0,340.0
新 加 坡,Singapore,11450.0,24500.0,27240.0,36030.0,39410.0,42930.0
斯洛伐克,Slovakia,2060.0,5440.0,11040.0,15820.0,16030.0,16070.0
斯洛文尼亚,Slovenia,,11150.0,18070.0,23750.0,23910.0,23610.0
所罗门群岛,Solomon Islands,710.0,1020.0,890.0,960.0,1030.0,1110.0
南    非,South Africa,3390.0,3050.0,4850.0,5730.0,6090.0,6960.0
西 班 牙,Spain,11890.0,15420.0,25450.0,32020.0,31460.0,30990.0
斯里兰卡,Sri Lanka,460.0,860.0,1210.0,1970.0,2260.0,2580.0
苏    丹,Sudan,510.0,320.0,610.0,1230.0,1300.0,
苏 里 南,Suriname,1480.0,1930.0,3320.0,7020.0,7640.0,
斯威士兰,Swaziland,1150.0,1600.0,2600.0,2880.0,2930.0,3300.0
瑞    典,Sweden,26360.0,29490.0,42920.0,48820.0,50580.0,53230.0
瑞    士,Switzerland,34240.0,40270.0,56870.0,65040.0,71590.0,76380.0
叙 利 亚,Syrian Arab Republic,920.0,990.0,1500.0,2570.0,2750.0,
塔吉克斯坦,Tajikistan,,170.0,340.0,750.0,810.0,870.0
坦桑尼亚,Tanzania,200.0,310.0,380.0,500.0,530.0,540.0
泰    国,Thailand,1480.0,1930.0,2560.0,3720.0,4150.0,4420.0
东 帝 汶,Timor-Leste,,,740.0,2250.0,2730.0,
多    哥,Togo,410.0,300.0,370.0,520.0,550.0,560.0
汤    加,Tonga,1220.0,2030.0,2470.0,3300.0,3340.0,3580.0
特立尼达和多巴哥,Trinidad And Tobago,3720.0,5200.0,11160.0,16370.0,15840.0,15040.0
突 尼 斯,Tunisia,1430.0,2300.0,3200.0,4100.0,4140.0,4070.0
土 耳 其,Turkey,2300.0,4170.0,6480.0,9060.0,9890.0,10410.0
土库曼斯坦,Turkmenistan,830.0,650.0,1650.0,3460.0,3790.0,4110.0
图 瓦 卢,Tuvalu,,,3780.0,5260.0,4600.0,5010.0
乌 干 达,Uganda,320.0,260.0,300.0,470.0,500.0,510.0
乌 克 兰,Ukraine,1610.0,700.0,1540.0,2840.0,2990.0,3120.0
阿 联 酋,United Arab Emirates,20720.0,20630.0,42280.0,41940.0,39640.0,40760.0
英    国,United Kingdom,16600.0,26010.0,38850.0,40970.0,38140.0,37780.0
美    国,United States,23260.0,34890.0,44670.0,46080.0,47350.0,48450.0
乌 拉 圭,Uruguay,2840.0,7100.0,4740.0,8640.0,10290.0,11860.0
乌兹别克斯坦,Uzbekistan,,630.0,530.0,1130.0,1300.0,1510.0
瓦努阿图,Vanuatu,1200.0,1430.0,1760.0,2520.0,2630.0,2870.0
委内瑞拉,Venezuela,2570.0,4100.0,4950.0,10230.0,11660.0,11920.0
越    南,Viet Nam,130.0,390.0,630.0,1030.0,1160.0,1260.0
也    门,Yemen,,420.0,690.0,1070.0,1160.0,1070.0
赞 比 亚,Zambia,440.0,310.0,500.0,990.0,1070.0,1160.0
津巴布韦,Zimbabwe,860.0,490.0,440.0,400.0,480.0,640.0
