7-21979-2023年能源生产、能源消费弹性系数-ElasticityRatioofEnergyProductionandEnergyConsumptionfrom1979to2023,7-21979-2023年能源生产、能源消费弹性系数-ElasticityRatioofEnergyProductionandEnergyConsumptionfrom1979to2023.1,7-21979-2023年能源生产、能源消费弹性系数-ElasticityRatioofEnergyProductionandEnergyConsumptionfrom1979to2023.2,7-21979-2023年能源生产、能源消费弹性系数-ElasticityRatioofEnergyProductionandEnergyConsumptionfrom1979to2023.3,7-21979-2023年能源生产、能源消费弹性系数-ElasticityRatioofEnergyProductionandEnergyConsumptionfrom1979to2023.4,7-21979-2023年能源生产、能源消费弹性系数-ElasticityRatioofEnergyProductionandEnergyConsumptionfrom1979to2023.5,7-21979-2023年能源生产、能源消费弹性系数-ElasticityRatioofEnergyProductionandEnergyConsumptionfrom1979to2023.6,7-21979-2023年能源生产、能源消费弹性系数-ElasticityRatioofEnergyProductionandEnergyConsumptionfrom1979to2023.7,7-21979-2023年能源生产、能源消费弹性系数-ElasticityRatioofEnergyProductionandEnergyConsumptionfrom1979to2023.8
"年 份


Year","能源生产
比上年增长
(%)

Growth Rate
of Energy
Production over
Preceding Year
(%)","电力生产
比上年增长
(%)
Growth Rate
of Electricity
Production
over Preceding
Year
(%)","能源生产
弹性系数

Elasticity
Ratio of
Energy
Production","电力生产
弹性系数

Elasticity
Ratio of
 Electricity
Production","能源消费
比上年增长
(%)
Growth Rate
of Energy
Consumption
over Preceding
Year 
(%)","电力消费
比上年增长
(%)
Growth Rate
of Electricity
Consumption
over Preceding
Year
(%)","能源消费
弹性系数

Elasticity
Ratio of
Energy
Consumption","电力消费
弹性系数

Elasticity
Ratio of
 Electricity
Consumption"
"年 份


Year","能源生产
比上年增长
(%)

Growth Rate
of Energy
Production over
Preceding Year
(%)","电力生产
比上年增长
(%)
Growth Rate
of Electricity
Production
over Preceding
Year
(%)","能源生产
弹性系数

Elasticity
Ratio of
Energy
Production","电力生产
弹性系数

Elasticity
Ratio of
 Electricity
Production","能源消费
比上年增长
(%)
Growth Rate
of Energy
Consumption
over Preceding
Year 
(%)","电力消费
比上年增长
(%)
Growth Rate
of Electricity
Consumption
over Preceding
Year
(%)","能源消费
弹性系数

Elasticity
Ratio of
Energy
Consumption","电力消费
弹性系数

Elasticity
Ratio of
 Electricity
Consumption"
,,,,,,,,
1979,2,10,0,1,,11,,1
1980,(3),9,,1,1,6,0,0
1981,(8),5,,0,(12),6,,0
1982,2,5,0,0,22,6,2,0
1983,7,7,0,0,(14),7,,0
1984,14,8,1,0,7,12,0,0
1985,12,11,1,1,(13),9,,1
1986,7,14,1,2,7,11,1,1
1987,6,11,0,1,14,10,1,0
1988,5,14,0,1,6,8,0,0
1989,1,11,0,1,5,7,0,0
1990,2,6,0,0,3,10,0,1
1991,1,11,0,1,3,10,0,0
1992,2,14,0,1,2,14,0,1
1993,(0),8,,0,(1),8,,0
1994,8,11,0,0,13,11,0,0
1995,6,9,0,0,11,9,0,0
1996,(3),7,,0,3,8,0,0
1997,2,8,0,1,(0),7,,1
1998,(2),(7),,,13,(1),1,
1999,(1),15,,1,0,15,1,1
2000,(7),10,,1,(9),10,,1
2001,2,10,0,1,10,11,1,1
2002,5,13,0,1,18,12,2,1
2003,8,12,1,1,19,13,1,1
2004,0,18,0,1,21,18,1,1
2005,(3),17,,1,20,17,1,1
2006,1,15,0,1,11,15,1,1
2007,4,14,0,1,9,14,1,1
2008,(0),4,,0,4,5,0,0
2009,(0),4,,0,6,8,0,1
2010,10,6,1,1,8,12,1,1
2011,(0),3,(0),0,7,10,1,1
2012,6,4,1,0,5,4,0,0
2013,(11),9,(1),1,5,8,0,1
2014,0,4,0,0,3,3,0,0
2015,(4),5,(0),1,4,5,0,1
2016,(7),10,(1),1,2,9,0,1
2017,1,6,0,1,(0),6,(0),1
2018,(4),3,(1),0,1,5,0,1
2019,(4),0,(1),0,2,4,0,1
2020,(3),(2),(1),(0),2,2,0,1
2021,(5),7,(1),1,5,6,1,1
2022,2,(0),1,(0),5,2,1,0
2023,10,5,2,1,9,6,2,1
,,,,,,,,
,,,,,,,,
注:本表2005年以来数据均依据能源平衡表，能源生产、消费增速分别采用当量值和等价值，电力生产量包括一次电力和火电，电力消费,,,,,,,,
量指全省电力消费量。,,,,,,,,
a) The data of the table prior to 2005 are calculated according to Overall Energy Balance Sheet.Growth rate of energy production adopt heat equivalent,,,,,,,,
"value, and that of energy consumption adopt heat value equivalent.The production of electricity include primary electricity and thermal power.The",,,,,,,,
consumption of electricity refers to the whole provincial consumption.,,,,,,,,
