表6-1湖南省分年龄、性别、婚姻状况的人口-年龄别-年龄别,表6-1湖南省分年龄、性别、婚姻状况的人口-15岁及以上人口-小计,表6-1湖南省分年龄、性别、婚姻状况的人口-15岁及以上人口-男,表6-1湖南省分年龄、性别、婚姻状况的人口-15岁及以上人口-女,表6-1湖南省分年龄、性别、婚姻状况的人口-未婚-小计,表6-1湖南省分年龄、性别、婚姻状况的人口-未婚-男,表6-1湖南省分年龄、性别、婚姻状况的人口-未婚-女,表6-1湖南省分年龄、性别、婚姻状况的人口-初婚有配偶-小计,表6-1湖南省分年龄、性别、婚姻状况的人口-初婚有配偶-男,表6-1湖南省分年龄、性别、婚姻状况的人口-初婚有配偶-女,表6-1湖南省分年龄、性别、婚姻状况的人口-再婚有配偶-小计,表6-1湖南省分年龄、性别、婚姻状况的人口-再婚有配偶-男,表6-1湖南省分年龄、性别、婚姻状况的人口-再婚有配偶-女,表6-1湖南省分年龄、性别、婚姻状况的人口-离婚-小计,表6-1湖南省分年龄、性别、婚姻状况的人口-离婚-男,表6-1湖南省分年龄、性别、婚姻状况的人口-离婚-女,表6-1湖南省分年龄、性别、婚姻状况的人口-丧偶-小计,表6-1湖南省分年龄、性别、婚姻状况的人口-单位：人-丧偶-男,表6-1湖南省分年龄、性别、婚姻状况的人口-单位：人-丧偶-女
40,13368,6631,6737,319,288,31,12271,5986,6285,370.0,134.0,236.0,243.0,149.0,94.0,165.0,74.0,91.0
41,12667,6213,6454,247,234,13,11700,5669,6031,352.0,137.0,215.0,201.0,115.0,86.0,167.0,58.0,109.0
42,15507,7869,7638,285,271,14,14253,7144,7109,456.0,202.0,254.0,280.0,173.0,107.0,233.0,79.0,154.0
43,11082,5597,5485,185,175,10,10165,5068,5097,374.0,171.0,203.0,181.0,114.0,67.0,177.0,69.0,108.0
44,4029,2017,2012,71,68,3,3676,1806,1870,134.0,60.0,74.0,84.0,52.0,32.0,64.0,31.0,33.0
45-49,41056,20728,20328,913,876,37,36976,18443,18533,1402.0,590.0,812.0,643.0,418.0,225.0,1122.0,401.0,721.0
45,6624,3317,3307,135,128,7,5993,2974,3019,269.0,112.0,157.0,112.0,64.0,48.0,115.0,39.0,76.0
46,5870,2932,2938,128,122,6,5295,2619,2676,204.0,79.0,125.0,106.0,66.0,40.0,137.0,46.0,91.0
47,8597,4329,4268,240,230,10,7694,3781,3913,269.0,128.0,141.0,144.0,101.0,43.0,250.0,89.0,161.0
48,10515,5385,5130,226,218,8,9475,4808,4667,358.0,151.0,207.0,151.0,94.0,57.0,305.0,114.0,191.0
49,9450,4765,4685,184,178,6,8519,4261,4258,302.0,120.0,182.0,130.0,93.0,37.0,315.0,113.0,202.0
50-54,47584,24428,23156,950,921,29,42318,21636,20682,1688.0,745.0,943.0,563.0,382.0,181.0,2065.0,744.0,1321.0
50,9793,5007,4786,206,202,4,8765,4448,4317,349.0,143.0,206.0,133.0,89.0,44.0,340.0,125.0,215.0
51,10043,5160,4883,209,204,5,9015,4594,4421,328.0,151.0,177.0,123.0,75.0,48.0,368.0,136.0,232.0
52,9662,4885,4777,187,184,3,8566,4306,4260,340.0,156.0,184.0,129.0,94.0,35.0,440.0,145.0,295.0
53,10022,5141,4881,195,184,11,8866,4546,4320,359.0,156.0,203.0,101.0,68.0,33.0,501.0,187.0,314.0
54,8064,4235,3829,153,147,6,7106,3742,3364,312.0,139.0,173.0,77.0,56.0,21.0,416.0,151.0,265.0
55-59,36482,19045,17437,689,663,26,31302,16552,14750,1328.0,607.0,721.0,333.0,253.0,80.0,2830.0,970.0,1860.0
55,8168,4240,3928,176,166,10,7099,3719,3380,298.0,130.0,168.0,91.0,62.0,29.0,504.0,163.0,341.0
56,8420,4503,3917,168,162,6,7273,3899,3374,318.0,143.0,175.0,73.0,61.0,12.0,588.0,238.0,350.0
57,7124,3733,3391,118,115,3,6099,3239,2860,261.0,123.0,138.0,70.0,53.0,17.0,576.0,203.0,373.0
58,6906,3554,3352,128,122,6,5852,3085,2767,244.0,121.0,123.0,56.0,45.0,11.0,626.0,181.0,445.0
59,5864,3015,2849,99,98,1,4979,2610,2369,207.0,90.0,117.0,43.0,32.0,11.0,536.0,185.0,351.0
60-64,25435,13463,11972,477,461,16,20571,11257,9314,963.0,498.0,465.0,190.0,142.0,48.0,3234.0,1105.0,2129.0
60,5264,2729,2535,112,110,2,4339,2305,2034,180.0,85.0,95.0,35.0,26.0,9.0,598.0,203.0,395.0
61,5399,2871,2528,118,115,3,4424,2401,2023,222.0,114.0,108.0,38.0,28.0,10.0,597.0,213.0,384.0
62,5010,2624,2386,94,90,4,4053,2217,1836,176.0,89.0,87.0,44.0,32.0,12.0,643.0,196.0,447.0
63,4743,2518,2225,88,82,6,3795,2090,1705,187.0,102.0,85.0,36.0,29.0,7.0,637.0,215.0,422.0
64,5019,2721,2298,65,64,1,3960,2244,1716,198.0,108.0,90.0,37.0,27.0,10.0,759.0,278.0,481.0
65岁及以上,63702,31249,32453,781,739,42,37971,22072,15899,2477.0,1415.0,1062.0,351.0,255.0,96.0,22122.0,6768.0,15354.0
