日期,监测点位,二氧化硫,二氧化氮,可吸入颗粒物,一氧化碳,臭氧,细颗粒物,空气质量指数,首要污染物,AQI指数级别,AQI指数类别
2024-04-17,汉口江滩,6,25,38,13,65,26,65,O3_8h,二级,良
2024-04-17,汉口江滩,6,25,38,13,65,26,65,O3_8h,二级,良
2024-04-16,汉口江滩,6,35,35,16,44,29,44,--,一级,优
2024-04-16,汉口江滩,6,35,35,16,44,29,44,--,一级,优
2024-04-15,汉口江滩,7,57,55,27,97,42,97,O3_8h,二级,良
2024-04-15,汉口江滩,7,57,55,27,97,42,97,O3_8h,二级,良
2024-04-14,汉口江滩,6,45,42,22,56,35,56,O3_8h,二级,良
2024-04-14,汉口江滩,6,45,42,22,56,35,56,O3_8h,二级,良
2024-04-13,汉口江滩,8,48,48,27,38,38,48,--,一级,优
2024-04-13,汉口江滩,8,48,48,27,38,38,48,--,一级,优
2024-04-12,汉口江滩,6,59,44,18,82,32,82,O3_8h,二级,良
2024-04-12,汉口江滩,6,59,44,18,82,32,82,O3_8h,二级,良
2024-04-11,汉口江滩,7,75,60,28,29,52,75,NO2,二级,良
2024-04-11,汉口江滩,7,75,60,28,29,52,75,NO2,二级,良
2024-04-10,汉口江滩,8,73,45,17,42,40,73,NO2,二级,良
2024-04-10,汉口江滩,8,73,45,17,42,40,73,NO2,二级,良
2024-04-09,汉口江滩,7,32,27,14,75,32,75,O3_8h,二级,良
2024-04-09,汉口江滩,7,33,27,14,75,32,75,O3_8h,二级,良
2024-04-08,汉口江滩,0,35,39,17,46,40,46,--,一级,优
2024-04-08,汉口江滩,0,35,39,17,46,43,46,--,一级,优
2024-04-07,汉口江滩,7,43,52,20,39,57,57,PM2.5,二级,良
2024-04-07,汉口江滩,7,43,52,20,39,57,57,PM2.5,二级,良
2024-04-06,汉口江滩,8,29,34,21,49,40,49,--,一级,优
2024-04-06,汉口江滩,8,29,34,21,49,39,49,--,一级,优
2024-04-05,汉口江滩,9,27,48,24,53,33,53,O3_8h,二级,良
2024-04-05,汉口江滩,9,27,48,24,53,38,53,O3_8h,二级,良
2024-04-04,汉口江滩,6,19,58,20,30,50,58,PM10,二级,良
2024-04-04,汉口江滩,6,19,58,20,30,50,58,PM10,二级,良
2024-04-03,汉口江滩,7,19,56,22,75,45,75,O3_8h,二级,良
2024-04-03,汉口江滩,7,19,56,22,75,45,75,O3_8h,二级,良
2024-04-02,汉口江滩,6,35,17,24,24,18,35,--,一级,优
2024-04-02,汉口江滩,6,35,17,24,24,18,35,--,一级,优
2024-04-01,汉口江滩,8,33,33,22,61,32,61,O3_8h,二级,良
2024-04-01,汉口江滩,8,30,33,22,61,30,61,O3_8h,二级,良
2024-03-31,汉口江滩,6,49,46,20,77,57,77,O3_8h,二级,良
2024-03-31,汉口江滩,6,49,46,20,77,57,77,O3_8h,二级,良
2024-03-31,汉口江滩,6,49,46,20,77,57,77,O3_8h,二级,良
2024-03-30,汉口江滩,10,63,52,22,66,49,66,O3_8h,二级,良
2024-03-30,汉口江滩,10,63,52,22,66,45,66,O3_8h,二级,良
2024-03-30,汉口江滩,10,63,52,22,66,49,66,O3_8h,二级,良
2024-03-29,汉口江滩,8,58,44,18,66,23,66,O3_8h,二级,良
2024-03-29,汉口江滩,8,58,44,18,66,23,66,O3_8h,二级,良
2024-03-29,汉口江滩,8,58,44,18,66,23,66,O3_8h,二级,良
2024-03-28,汉口江滩,7,49,52,22,49,53,53,PM2.5,二级,良
2024-03-28,汉口江滩,7,49,52,22,49,53,53,PM2.5,二级,良
2024-03-28,汉口江滩,7,49,52,22,49,53,53,PM2.5,二级,良
2024-03-27,汉口江滩,8,49,47,26,38,50,50,--,一级,优
2024-03-27,汉口江滩,8,49,40,26,38,50,50,--,一级,优
2024-03-27,汉口江滩,8,49,40,26,38,50,50,--,一级,优
2024-03-26,汉口江滩,9,35,35,23,73,33,73,O3_8h,二级,良
2024-03-26,汉口江滩,9,35,35,23,73,33,73,O3_8h,二级,良
2024-03-26,汉口江滩,9,35,35,23,73,33,73,O3_8h,二级,良
2024-03-25,汉口江滩,6,19,18,17,41,9,41,--,一级,优
2024-03-25,汉口江滩,6,19,18,17,41,9,41,--,一级,优
2024-03-25,汉口江滩,6,19,18,17,41,9,41,--,一级,优
2024-03-24,汉口江滩,6,23,27,21,29,26,29,--,一级,优
2024-03-24,汉口江滩,6,23,27,21,29,26,29,--,一级,优
2024-03-24,汉口江滩,6,23,27,21,29,26,29,--,一级,优
2024-03-23,汉口江滩,9,38,52,24,43,48,52,PM10,二级,良
2024-03-23,汉口江滩,9,38,52,24,43,48,52,PM10,二级,良
2024-03-23,汉口江滩,9,38,52,24,43,48,52,PM10,二级,良
2024-03-22,汉口江滩,10,63,60,22,54,57,63,NO2,二级,良
2024-03-22,汉口江滩,10,63,60,22,54,57,63,NO2,二级,良
2024-03-22,汉口江滩,10,63,60,22,54,57,63,NO2,二级,良
2024-03-21,汉口江滩,10,65,64,19,61,39,65,NO2,二级,良
2024-03-21,汉口江滩,10,65,64,19,61,39,65,NO2,二级,良
2024-03-21,汉口江滩,10,65,64,19,61,39,65,NO2,二级,良
2024-03-20,汉口江滩,9,74,75,18,73,50,75,PM10,二级,良
2024-03-20,汉口江滩,9,74,75,18,73,50,75,PM10,二级,良
2024-03-20,汉口江滩,9,74,75,18,73,50,75,PM10,二级,良
2024-03-19,汉口江滩,8,47,62,14,46,42,62,PM10,二级,良
2024-03-19,汉口江滩,8,47,62,14,46,42,62,PM10,二级,良
2024-03-19,汉口江滩,8,47,62,14,46,42,62,PM10,二级,良
2024-03-18,汉口江滩,6,32,60,14,38,20,60,PM10,二级,良
2024-03-18,汉口江滩,6,32,60,14,38,20,60,PM10,二级,良
2024-03-18,汉口江滩,6,32,60,14,38,20,60,PM10,二级,良
2024-03-17,汉口江滩,6,25,61,20,48,53,61,PM10,二级,良
2024-03-17,汉口江滩,6,25,61,20,48,53,61,PM10,二级,良
2024-03-17,汉口江滩,6,25,61,20,48,53,61,PM10,二级,良
2024-03-16,汉口江滩,9,109,85,27,28,88,109,NO2,三级,轻度污染
2024-03-16,汉口江滩,9,109,85,27,28,88,109,NO2,三级,轻度污染
2024-03-16,汉口江滩,9,109,85,27,28,88,109,NO2,三级,轻度污染
2024-03-15,汉口江滩,8,35,58,20,76,62,76,O3_8h,二级,良
2024-03-15,汉口江滩,8,35,58,20,76,62,76,O3_8h,二级,良
2024-03-15,汉口江滩,8,35,58,20,76,62,76,O3_8h,二级,良
2024-03-14,汉口江滩,7,64,47,16,72,49,72,O3_8h,二级,良
2024-03-14,汉口江滩,7,64,47,16,72,49,72,O3_8h,二级,良
2024-03-14,汉口江滩,7,64,47,16,72,49,72,O3_8h,二级,良
2024-03-13,汉口江滩,9,50,56,17,51,57,57,PM2.5,二级,良
2024-03-13,汉口江滩,9,50,56,17,51,57,57,PM2.5,二级,良
2024-03-13,汉口江滩,9,50,56,17,51,57,57,PM2.5,二级,良
2024-03-12,汉口江滩,10,74,69,17,80,73,80,O3_8h,二级,良
2024-03-12,汉口江滩,10,74,69,17,80,73,80,O3_8h,二级,良
2024-03-12,汉口江滩,10,74,69,17,80,73,80,O3_8h,二级,良
2024-03-11,汉口江滩,11,60,71,15,72,87,87,PM2.5,二级,良
2024-03-11,汉口江滩,11,60,71,15,72,87,87,PM2.5,二级,良
2024-03-11,汉口江滩,11,60,71,15,72,87,87,PM2.5,二级,良
2024-03-10,汉口江滩,10,70,72,19,81,89,89,PM2.5,二级,良
2024-03-10,汉口江滩,10,70,72,19,81,89,89,PM2.5,二级,良
2024-03-10,汉口江滩,10,70,72,19,81,89,89,PM2.5,二级,良
2024-03-09,汉口江滩,8,60,63,14,48,63,63,PM2.5:PM10,二级,良
2024-03-09,汉口江滩,8,60,63,14,48,63,63,PM2.5:PM10,二级,良
2024-03-09,汉口江滩,8,60,63,14,48,63,63,PM2.5:PM10,二级,良
2024-03-08,汉口江滩,7,63,63,15,57,58,63,NO2:PM10,二级,良
2024-03-08,汉口江滩,7,63,63,15,57,58,63,NO2:PM10,二级,良
2024-03-08,汉口江滩,7,63,63,15,57,58,63,NO2:PM10,二级,良
2024-03-07,汉口江滩,7,40,56,18,51,83,83,PM2.5,二级,良
2024-03-07,汉口江滩,7,40,56,18,51,83,83,PM2.5,二级,良
2024-03-07,汉口江滩,7,40,56,18,51,83,83,PM2.5,二级,良
2024-03-06,汉口江滩,6,27,55,17,29,84,84,PM2.5,二级,良
2024-03-06,汉口江滩,6,27,55,17,29,84,84,PM2.5,二级,良
2024-03-06,汉口江滩,6,27,55,17,29,84,84,PM2.5,二级,良
2024-03-05,汉口江滩,6,28,72,18,35,112,112,PM2.5,三级,轻度污染
2024-03-05,汉口江滩,6,28,72,18,35,112,112,PM2.5,三级,轻度污染
2024-03-05,汉口江滩,6,28,72,18,35,112,112,PM2.5,三级,轻度污染
2024-03-04,汉口江滩,8,37,30,19,25,43,43,--,一级,优
2024-03-04,汉口江滩,8,37,30,19,25,43,43,--,一级,优
2024-03-04,汉口江滩,8,37,30,19,25,43,43,--,一级,优
2024-03-03,汉口江滩,9,47,48,17,46,60,60,PM2.5,二级,良
2024-03-03,汉口江滩,9,47,48,17,46,60,60,PM2.5,二级,良
2024-03-03,汉口江滩,9,47,48,17,46,60,60,PM2.5,二级,良
2024-03-02,汉口江滩,7,49,43,15,48,64,64,PM2.5,二级,良
2024-03-02,汉口江滩,7,49,43,15,48,64,64,PM2.5,二级,良
2024-03-02,汉口江滩,7,49,43,15,48,64,64,PM2.5,二级,良
2024-03-01,汉口江滩,6,23,38,13,39,62,62,PM2.5,二级,良
2024-03-01,汉口江滩,6,23,38,13,39,62,62,PM2.5,二级,良
2024-03-01,汉口江滩,6,23,38,13,39,62,62,PM2.5,二级,良
2024-02-29,汉口江滩,6,0,63,16,36,102,102,PM2.5,三级,轻度污染
2024-02-29,汉口江滩,6,0,63,16,36,102,102,PM2.5,三级,轻度污染
2024-02-29,汉口江滩,6,0,63,16,36,102,102,PM2.5,三级,轻度污染
2024-02-29,汉口江滩,6,0,63,16,36,102,102,PM2.5,三级,轻度污染
2024-02-28,汉口江滩,9,67,78,23,21,133,133,PM2.5,三级,轻度污染
2024-02-28,汉口江滩,9,67,78,23,21,133,133,PM2.5,三级,轻度污染
2024-02-28,汉口江滩,9,67,78,23,21,133,133,PM2.5,三级,轻度污染
2024-02-28,汉口江滩,9,67,78,23,21,133,133,PM2.5,三级,轻度污染
2024-02-27,汉口江滩,9,40,62,20,65,104,104,PM2.5,三级,轻度污染
2024-02-27,汉口江滩,9,40,62,20,65,104,104,PM2.5,三级,轻度污染
2024-02-27,汉口江滩,9,40,62,20,65,104,104,PM2.5,三级,轻度污染
2024-02-27,汉口江滩,9,40,62,20,65,104,104,PM2.5,三级,轻度污染
2024-02-26,汉口江滩,8,58,64,21,37,118,118,PM2.5,三级,轻度污染
2024-02-26,汉口江滩,8,58,64,21,37,118,118,PM2.5,三级,轻度污染
2024-02-26,汉口江滩,8,58,64,21,37,118,118,PM2.5,三级,轻度污染
2024-02-26,汉口江滩,8,58,64,21,37,118,118,PM2.5,三级,轻度污染
2024-02-25,汉口江滩,8,33,52,18,45,92,92,PM2.5,二级,良
2024-02-25,汉口江滩,8,33,52,18,45,92,92,PM2.5,二级,良
2024-02-25,汉口江滩,8,33,52,18,45,92,92,PM2.5,二级,良
2024-02-25,汉口江滩,8,33,52,18,45,92,92,PM2.5,二级,良
2024-02-24,汉口江滩,7,20,42,11,42,67,67,PM2.5,二级,良
2024-02-24,汉口江滩,7,20,42,11,42,67,67,PM2.5,二级,良
2024-02-24,汉口江滩,7,20,42,11,42,67,67,PM2.5,二级,良
2024-02-24,汉口江滩,7,20,42,11,42,67,67,PM2.5,二级,良
2024-02-23,汉口江滩,6,17,35,10,41,60,60,PM2.5,二级,良
2024-02-23,汉口江滩,6,17,35,10,41,60,60,PM2.5,二级,良
2024-02-23,汉口江滩,6,17,35,10,41,60,60,PM2.5,二级,良
2024-02-23,汉口江滩,6,17,35,10,41,60,60,PM2.5,二级,良
2024-02-22,汉口江滩,6,14,30,16,35,49,49,--,一级,优
2024-02-22,汉口江滩,6,14,31,16,35,49,49,--,一级,优
2024-02-22,汉口江滩,6,14,30,16,35,49,49,--,一级,优
2024-02-22,汉口江滩,6,14,30,16,35,49,49,--,一级,优
2024-02-21,汉口江滩,6,13,21,16,30,26,30,--,一级,优
2024-02-21,汉口江滩,6,13,21,16,30,26,30,--,一级,优
2024-02-21,汉口江滩,6,13,21,16,30,26,30,--,一级,优
2024-02-21,汉口江滩,6,13,21,16,30,26,30,--,一级,优
2024-02-20,汉口江滩,6,13,4,14,28,6,28,--,一级,优
2024-02-20,汉口江滩,6,13,4,14,28,6,28,--,一级,优
2024-02-20,汉口江滩,6,13,4,14,28,6,28,--,一级,优
2024-02-20,汉口江滩,6,13,4,14,28,6,28,--,一级,优
2024-02-19,汉口江滩,6,14,60,22,29,57,60,PM10,二级,良
2024-02-19,汉口江滩,6,14,60,22,29,57,60,PM10,二级,良
2024-02-19,汉口江滩,6,14,60,22,29,57,60,PM10,二级,良
2024-02-19,汉口江滩,6,14,60,22,29,57,60,PM10,二级,良
2024-02-18,汉口江滩,8,44,54,27,22,50,54,PM10,二级,良
2024-02-18,汉口江滩,8,44,54,27,22,50,54,PM10,二级,良
2024-02-18,汉口江滩,8,44,54,27,22,50,54,PM10,二级,良
2024-02-18,汉口江滩,8,44,54,27,22,50,54,PM10,二级,良
2024-02-17,汉口江滩,9,24,31,26,29,45,45,--,一级,优
2024-02-17,汉口江滩,9,24,31,26,29,45,45,--,一级,优
2024-02-17,汉口江滩,9,24,31,26,29,45,45,--,一级,优
2024-02-17,汉口江滩,9,24,31,26,29,45,45,--,一级,优
2024-02-16,汉口江滩,6,23,22,15,46,29,46,--,一级,优
2024-02-16,汉口江滩,6,23,22,15,46,29,46,--,一级,优
2024-02-16,汉口江滩,6,23,22,15,46,29,46,--,一级,优
2024-02-16,汉口江滩,6,23,22,15,46,29,46,--,一级,优
2024-02-15,汉口江滩,7,10,51,16,44,65,65,PM2.5,二级,良
2024-02-15,汉口江滩,7,10,51,16,44,65,65,PM2.5,二级,良
2024-02-15,汉口江滩,7,10,51,16,44,65,65,PM2.5,二级,良
2024-02-15,汉口江滩,7,10,51,16,44,65,65,PM2.5,二级,良
2024-02-14,汉口江滩,12,47,65,25,34,70,70,PM2.5,二级,良
2024-02-14,汉口江滩,12,47,65,25,34,70,70,PM2.5,二级,良
2024-02-14,汉口江滩,12,47,65,25,34,70,70,PM2.5,二级,良
2024-02-14,汉口江滩,12,47,65,25,34,70,70,PM2.5,二级,良
2024-02-13,汉口江滩,11,54,50,24,39,57,57,PM2.5,二级,良
2024-02-13,汉口江滩,11,54,50,24,39,57,57,PM2.5,二级,良
2024-02-13,汉口江滩,11,54,50,24,39,57,57,PM2.5,二级,良
2024-02-13,汉口江滩,11,54,50,24,39,57,57,PM2.5,二级,良
2024-02-12,汉口江滩,12,32,59,24,55,72,72,PM2.5,二级,良
2024-02-12,汉口江滩,12,32,59,24,55,72,72,PM2.5,二级,良
2024-02-12,汉口江滩,12,32,59,24,55,72,72,PM2.5,二级,良
2024-02-12,汉口江滩,12,32,59,24,55,72,72,PM2.5,二级,良
2024-02-11,汉口江滩,9,65,83,24,41,119,119,PM2.5,三级,轻度污染
2024-02-11,汉口江滩,9,65,83,24,41,119,119,PM2.5,三级,轻度污染
2024-02-11,汉口江滩,9,65,83,24,41,119,119,PM2.5,三级,轻度污染
2024-02-11,汉口江滩,9,65,83,24,41,119,119,PM2.5,三级,轻度污染
2024-02-10,汉口江滩,11,43,83,25,43,139,139,PM2.5,三级,轻度污染
2024-02-10,汉口江滩,11,43,83,25,43,139,139,PM2.5,三级,轻度污染
2024-02-10,汉口江滩,11,43,83,25,43,139,139,PM2.5,三级,轻度污染
2024-02-10,汉口江滩,11,43,83,25,43,139,139,PM2.5,三级,轻度污染
2024-02-09,汉口江滩,8,34,65,24,61,117,117,PM2.5,三级,轻度污染
2024-02-09,汉口江滩,8,34,65,24,61,117,117,PM2.5,三级,轻度污染
2024-02-09,汉口江滩,8,34,65,24,61,117,117,PM2.5,三级,轻度污染
2024-02-09,汉口江滩,8,34,65,24,61,117,117,PM2.5,三级,轻度污染
2024-02-08,汉口江滩,10,37,66,32,65,125,125,PM2.5,三级,轻度污染
2024-02-08,汉口江滩,10,37,66,32,65,125,125,PM2.5,三级,轻度污染
2024-02-08,汉口江滩,10,37,66,32,65,125,125,PM2.5,三级,轻度污染
2024-02-08,汉口江滩,10,37,66,32,65,125,125,PM2.5,三级,轻度污染
2024-02-07,汉口江滩,8,23,61,21,63,115,115,PM2.5,三级,轻度污染
2024-02-07,汉口江滩,8,23,61,21,63,115,115,PM2.5,三级,轻度污染
2024-02-07,汉口江滩,8,23,61,21,63,115,115,PM2.5,三级,轻度污染
2024-02-07,汉口江滩,8,23,61,21,63,115,115,PM2.5,三级,轻度污染
2024-02-06,汉口江滩,7,20,55,20,42,99,99,PM2.5,二级,良
2024-02-06,汉口江滩,7,20,55,20,42,99,99,PM2.5,二级,良
2024-02-06,汉口江滩,7,20,55,20,42,99,99,PM2.5,二级,良
2024-02-06,汉口江滩,7,20,55,20,42,99,99,PM2.5,二级,良
2024-02-05,汉口江滩,6,14,48,17,40,84,84,PM2.5,二级,良
2024-02-05,汉口江滩,6,14,48,17,40,84,84,PM2.5,二级,良
2024-02-05,汉口江滩,6,14,48,17,40,84,84,PM2.5,二级,良
2024-02-05,汉口江滩,6,14,48,17,40,84,84,PM2.5,二级,良
2024-02-04,汉口江滩,6,25,58,25,30,110,110,PM2.5,三级,轻度污染
2024-02-04,汉口江滩,6,25,58,25,30,110,110,PM2.5,三级,轻度污染
2024-02-04,汉口江滩,6,25,58,25,30,110,110,PM2.5,三级,轻度污染
