SalaryCategory-SalaryCategory,LevelDesign-LevelDesign,GradeDesign-GradeDesign,RelatedPosition-RelatedPosition,Definition-Definition,Position-basedsalary-Position-basedsalary,EligibilityCriteria-Educationlevel,EligibilityCriteria-WorkExperience,EligibilityCriteria-Procurementexperience,EligibilityCriteria-PerformanceEvaluation,AssessmentElements-ProfessionalSkills,AssessmentElements-BehaviorStandards,AssessmentElements-Weight,AssessmentElements-Performance
Financial Management Category,2,High-level,,Specialist Category,4000.0,Bachelor's degree,2.0,2.0,,"1. Data collection, verification, and analysis  
2. Communication with departments and branches  
3. System operation  
4. Document management","1. Data collection, verification, and analysis",,Local operation and analysis
Financial Management Category,2,,,Specialist Category,,,,,,"1. Data collection, verification, and analysis  
2. Communication with departments and branches  
3. System operation  
4. Document management",Simple analysis of the collected data,15%,Local operation and analysis
Financial Management Category,2,,,Specialist Category,,,,,,"1. Data collection, verification, and analysis  
2. Communication with departments and branches  
3. System operation  
4. Document management",Check the implementation of the budget,15%,Local operation and analysis
Financial Management Category,2,,,Specialist Category,,,,,,"1. Data collection, verification, and analysis  
2. Communication with departments and branches  
3. System operation  
4. Document management",Combined with budget approval expenses,15%,Local operation and analysis
Financial Management Category,2,Medium,,Specialist Category,3500.0,Bachelor's degree,2.0,2.0,,"1. Data collection, verification, and analysis  
2. Communication with departments and branches  
3. System operation  
4. Document management",2. Communicate with departments of each branch company,,Local operation and analysis
Financial Management Category,2,,,Specialist Category,,,,,,"1. Data collection, verification, and analysis  
2. Communication with departments and branches  
3. System operation  
4. Document management",Communicate with branch companies on the rationality of data,20%,Local operation and analysis
Financial Management Category,2,,,Specialist Category,,,,,,"1. Data collection, verification, and analysis  
2. Communication with departments and branches  
3. System operation  
4. Document management","Regularly communicate with branch companies, resolve budget variances, and analyze the reasons.",20%,Local operation and analysis
Financial Management Category,2,,,Specialist Category,,,,,,"1. Data collection, verification, and analysis  
2. Communication with departments and branches  
3. System operation  
4. Document management",3. System Operation,,Local operation and analysis
Financial Management Category,2,,,Specialist Category,,,,,,"1. Data collection, verification, and analysis  
2. Communication with departments and branches  
3. System operation  
4. Document management","Proficient in using office software, Excel, Word, MSN, etc.",5%,Local operation and analysis
Financial Management Category,2,,,Specialist Category,,,,,,"1. Data collection, verification, and analysis  
2. Communication with departments and branches  
3. System operation  
4. Document management",4. Document Management,,Local operation and analysis
Financial Management Category,2,,,Specialist Category,,,,,,"1. Data collection, verification, and analysis  
2. Communication with departments and branches  
3. System operation  
4. Document management",Organize and archive submitted and reviewed budget reports,5%,Local operation and analysis
Financial Management Category,2,Elementary,,Specialist Category,3000.0,Bachelor's degree,2.0,2.0,,"1. Data collection, verification, and analysis  
2. Communication with departments and branches  
3. System operation  
4. Document management",Regularly submit budget revision recommendation reports,5%,Local operation and analysis
Financial Management Category,1,High-level,,Assistant Category,3000.0,Bachelor's degree,1.0,1.0,,"1. Data collection, verification, and analysis  
2. Communication with various departments of each branch company  
3. System operation  
4. Document management","1. Data collection, verification, and analysis",,Assisting operation and analysis
Financial Management Category,1,,,Assistant Category,,,,,,"1. Data collection, verification, and analysis  
2. Communication with various departments of each branch company  
3. System operation  
4. Document management",Collect and verify historical financial and budget data,20%,Assisting operation and analysis
Financial Management Category,1,,,Assistant Category,,,,,,"1. Data collection, verification, and analysis  
2. Communication with various departments of each branch company  
3. System operation  
4. Document management",Analyze the abnormal data simply for submission to the superior for review.,10%,Assisting operation and analysis
Financial Management Category,1,,,Assistant Category,,,,,,"1. Data collection, verification, and analysis  
2. Communication with various departments of each branch company  
3. System operation  
4. Document management",Conduct a simple analysis of abnormal expense expenditures for submission to superiors for review.,10%,Assisting operation and analysis
Financial Management Category,1,Medium,,Assistant Category,2500.0,Bachelor's degree,1.0,1.0,,"1. Data collection, verification, and analysis  
2. Communication with various departments of each branch company  
3. System operation  
4. Document management",2. Communicate with departments of each branch company,,Assisting operation and analysis
Financial Management Category,1,,,Assistant Category,,,,,,"1. Data collection, verification, and analysis  
2. Communication with various departments of each branch company  
3. System operation  
4. Document management",Urging the branch company to submit the budget report,20%,Assisting operation and analysis
Financial Management Category,1,,,Assistant Category,,,,,,"1. Data collection, verification, and analysis  
2. Communication with various departments of each branch company  
3. System operation  
4. Document management",Communicate with branch companies about data abnormalities and missing data,20%,Assisting operation and analysis
Financial Management Category,1,,,Assistant Category,,,,,,"1. Data collection, verification, and analysis  
2. Communication with various departments of each branch company  
3. System operation  
4. Document management",3. System Operation,,Assisting operation and analysis
Financial Management Category,1,,,Assistant Category,,,,,,"1. Data collection, verification, and analysis  
2. Communication with various departments of each branch company  
3. System operation  
4. Document management","Proficient in using office software, Excel, Word, MSN, etc.",10%,Assisting operation and analysis
Financial Management Category,1,,,Assistant Category,,,,,,"1. Data collection, verification, and analysis  
2. Communication with various departments of each branch company  
3. System operation  
4. Document management",4. Document Management,,Assisting operation and analysis
Financial Management Category,1,Elementary,,Assistant Category,2000.0,Bachelor's degree,1.0,1.0,,"1. Data collection, verification, and analysis  
2. Communication with various departments of each branch company  
3. System operation  
4. Document management",Organize and archive submitted and reviewed budget reports,10%,Assisting operation and analysis
