"Eleven,UndergroundConstructionMachinery-Number-Number-Number-Number-Number","Eleven,UndergroundConstructionMachinery-MachineName-MachineName-MachineName-MachineName-MachineName","Eleven,UndergroundConstructionMachinery-MachineName-MachineName-MachineName-MachineName-MachineName.1","Eleven,UndergroundConstructionMachinery-MachineType-MachineType-MachineType-MachineType-MachineType","Eleven,UndergroundConstructionMachinery-SpecificationModel-SpecificationModel-SpecificationModel-SpecificationModel-SpecificationModel","Eleven,UndergroundConstructionMachinery-SpecificationModel-SpecificationModel-SpecificationModel-SpecificationModel-SpecificationModel.1","Eleven,UndergroundConstructionMachinery-ServiceLifeforDepreciation-ServiceLifeforDepreciation-ServiceLifeforDepreciation-ServiceLifeforDepreciation-Quota","Eleven,UndergroundConstructionMachinery-ShiftBasePrice(IncludingOn-MachineLabor)-ShiftBasePrice(IncludingOn-MachineLabor)-ShiftBasePrice(IncludingOn-MachineLabor)-ShiftBasePrice(IncludingOn-MachineLabor)-Yuan","Eleven,UndergroundConstructionMachinery-CostComposition-DepreciationCost-DepreciationCost-Quota-Yuan","Eleven,UndergroundConstructionMachinery-CostComposition-Majorrepaircost-Majorrepaircost-Majorrepaircost-Yuan","Eleven,UndergroundConstructionMachinery-CostComposition-FrequentRepairCost-FrequentRepairCost-FrequentRepairCost-Yuan","Eleven,UndergroundConstructionMachinery-CostComposition-AssemblyandDisassemblyFeeandFieldTransportationFee-AssemblyandDisassemblyFeeandFieldTransportationFee-AssemblyandDisassemblyFeeandFieldTransportationFee-Yuan","Eleven,UndergroundConstructionMachinery-CostComposition-FuelandPowerCost-FuelandPowerCost-FuelandPowerCost-Yuan","Eleven,UndergroundConstructionMachinery-CostComposition-Wherein-gasoline-5.65-kg","Eleven,UndergroundConstructionMachinery-CostComposition-Wherein-Diesel-6.85-kg","Eleven,UndergroundConstructionMachinery-CostComposition-Wherein-Coal-t","Eleven,UndergroundConstructionMachinery-CostComposition-Wherein-Electricity-0.9-kw·h","Eleven,UndergroundConstructionMachinery-CostComposition-Wherein-Water-1.0-m3","Eleven,UndergroundConstructionMachinery-CostComposition-Wherein-firewood-kg","Eleven,UndergroundConstructionMachinery-CostComposition-LaborCost-LaborCost-LaborCost-Yuan","Eleven,UndergroundConstructionMachinery-CostComposition-Wherein-人工=Labor-man-day","Eleven,UndergroundConstructionMachinery-CostComposition-RoadMaintenanceFeeandVehicleandVesselUsageTax-RoadMaintenanceFeeandVehicleandVesselUsageTax-RoadMaintenanceFeeandVehicleandVesselUsageTax-Yuan"
11-50,Jacking Equipment by Extrusion Method,Jacking Equipment by Extrusion Method,Mid,Pipe Diameter (mm),φ1200,10,,33.45,4.79,18.2,1.33,,,,,149.86,,,,,
11-51,Jacking Equipment by Extrusion Method,Jacking Equipment by Extrusion Method,Mid,Pipe Diameter (mm),φ1400,10,,36.14,5.18,19.67,1.33,,,,,200.26,,,,,
11-52,Jacking Equipment by Extrusion Method,Jacking Equipment by Extrusion Method,Mid,Pipe Diameter (mm),φ1500,10,,45.49,6.51,17.85,1.33,,,,,200.26,,,,,
11-53,Jacking Equipment by Extrusion Method,Jacking Equipment by Extrusion Method,Mid,Pipe Diameter (mm),φ1650,10,,56.14,8.04,22.03,1.33,,,,,200.26,,,,,
11-54,Jacking Equipment by Extrusion Method,Jacking Equipment by Extrusion Method,Mid,Pipe Diameter (mm),φ1800,10,,68.46,9.8,24.61,1.33,,,,,250.66,,,,,
11-55,Jacking Equipment by Extrusion Method,Jacking Equipment by Extrusion Method,Mid,Pipe Diameter (mm),φ2000,10,,86.46,12.38,31.08,1.33,,,,,250.66,,,,,
11-56,Jacking Equipment by Extrusion Method,Jacking Equipment by Extrusion Method,Mid,Pipe Diameter (mm),φ2200,10,,115.7,16.57,33.64,1.33,,,,,250.66,,,,,
11-57,Jacking Equipment by Extrusion Method,Jacking Equipment by Extrusion Method,Mid,Pipe Diameter (mm),φ2400,10,,151.53,21.7,44.05,1.33,,,,,250.66,,,,,
11-58,Hydraulic Cabinet (Power System),Hydraulic Cabinet (Power System),Mid,,,10,,10.03,1.44,7.75,,,,,,250.66,,,,,
11-59,Remote-controlled Pipe Jacking Machine,Remote-controlled Pipe Jacking Machine,Special,Pipe Diameter (mm),φ800,10,,1469.85,256.48,471.93,16.33,,,,,261.07,,,,,
11-60,Remote-controlled Pipe Jacking Machine,Remote-controlled Pipe Jacking Machine,Special,Pipe Diameter (mm),φ1200,10,,1520.03,269.08,495.11,16.33,,,,,261.07,,,,,
11-61,Remote-controlled Pipe Jacking Machine,Remote-controlled Pipe Jacking Machine,Special,Pipe Diameter (mm),φ1350,10,,1591.1,281.68,518.29,16.33,,,,,288.12,,,,,
11-62,Remote-controlled Pipe Jacking Machine,Remote-controlled Pipe Jacking Machine,Special,Pipe Diameter (mm),φ1650,10,,1704.37,301.76,555.23,16.33,,,,,315.17,,,,,
11-63,Remote-controlled Pipe Jacking Machine,Remote-controlled Pipe Jacking Machine,Special,Pipe Diameter (mm),φ1800,10,,1907.68,337.8,621.54,16.33,,,,,315.17,,,,,
11-64,Three-Arm Rock Drilling Jumbos,Three-Arm Rock Drilling Jumbos,Large,H178,H178,12,,3640.48,953.49,2583.95,,,,,,,,,,,
11-65,Three-way Dump Tyre-type Loader,Three-way Dump Tyre-type Loader,Large,966D,966D,12,,1078.67,189.11,512.48,,,,,,,,,,,
11-66,Loading and Blasting Vehicle,Loading and Blasting Vehicle,Large,DT-100,DT-100,12,,1146.07,181.5,491.88,,,,,,,,,,,
