1-8c各地区分性别、受教育程度的6岁及以上人口(乡村)-地区,单位：人-6岁及以上人口-合计,男,女,未上过学-小计,男.1,女.1,小学-小计,男.2,女.2,初中-小计,男.3,女.3,高中-小计,男.4,女.4,大学专科-小计,男.5,女.5,大学本科-小计,男.6,女.6,研究生-小计,男.7,女.7
福    建,14616969,7476416,7140553,701865,161848,540017,6099939,2645312,3454627,6122360,3587009,2535351,1284426,840431,443995,267780,158516,109264,136419,80820,55599,4180,2480,1700
江    西,22409231,11445440,10963791,1196080,300023,896057,9092090,4036292,5055798,9973006,5651457,4321549,1665126,1145447,519679,370962,238114,132848,108162,71765,36397,3805,2342,1463
山    东,44639307,22308317,22330990,3676834,963814,2713020,15041231,6687715,8353516,21472686,11837560,9635126,3662693,2356078,1306615,603050,355547,247503,173698,102675,71023,9115,4928,4187
河    南,51915505,25813036,26102469,3516432,1030872,2485560,16395156,7643675,8751481,26700825,14008677,12692148,4373066,2617704,1755362,731910,404377,327533,184765,100855,83910,13351,6876,6475
湖    北,26734699,13677321,13057378,2126028,575067,1550961,8621975,3985885,4636090,12689777,7063237,5626540,2529312,1609428,919884,529551,310061,219490,231566,129833,101733,6490,3810,2680
湖    南,34067748,17514720,16553028,1524966,429781,1095185,12124177,5824576,6299601,16034321,8612155,7422166,3631040,2221550,1409490,595261,333972,261289,152433,89456,62977,5550,3230,2320
广    东,32276810,16377121,15899689,1465140,342904,1122236,11438862,5233786,6205076,15744383,8502104,7242279,3038990,1955296,1083694,440695,260285,180410,142575,79400,63175,6165,3346,2819
广    西,24790268,12893564,11896704,1222675,317414,905261,10641000,5095164,5545836,11096978,6312743,4784235,1465786,957098,508688,264349,154258,110091,95708,55148,40560,3772,1739,2033
海    南,3949076,2091079,1857997,268847,64355,204492,1224372,578931,645441,2024022,1147716,876306,349531,249048,100483,66087,41809,24278,15673,8913,6760,544,307,237
重    庆,12471632,6339767,6131865,947639,280248,667391,6126264,3056125,3070139,4473853,2472603,2001250,754785,432398,322387,125982,73636,52346,42204,24249,17955,905,508,397
四    川,44533729,22642944,21890785,4006421,1252321,2754100,20368887,10109636,10259251,16946055,9398385,7547670,2569618,1514415,1055203,480514,274318,206196,156482,90745,65737,5752,3124,2628
贵    州,20913860,10737366,10176494,2771502,769085,2002417,10488785,5282314,5206471,6584467,3983705,2600762,777015,505585,271430,230541,154731,75810,60606,41375,19231,944,571,373
云    南,27544959,14385505,13159454,2693730,874818,1818912,15430944,7825342,7605602,7664553,4632940,3031613,1246725,754919,491806,375856,219840,156016,131457,76601,54856,1694,1045,649
西    藏,2064821,1055724,1009097,817320,344396,472924,913991,515563,398428,239406,142545,96861,47960,26588,21372,28152,16157,11995,17368,10086,7282,624,389,235
陕    西,19005704,9806665,9199039,1256354,396417,859937,6097790,2839147,3258643,9257241,5140822,4116419,1889394,1145862,743532,394792,222807,171985,107378,60027,47351,2755,1583,1172
甘    肃,15196092,7677026,7519066,2094515,683295,1411220,6568534,3133794,3434740,5164564,2967589,2196975,1119030,730939,388091,192526,125284,67242,55531,35325,20206,1392,800,592
青    海,2818280,1453909,1364371,533199,191723,341476,1394925,708530,686395,715823,445597,270226,128669,80080,48589,34168,20904,13264,11132,6869,4263,364,206,158
宁    夏,2973616,1517673,1455943,318160,98546,219614,1268248,606708,661540,1095114,639024,456090,218145,130402,87743,55798,32033,23765,17768,10750,7018,383,210,173
新    疆,11193584,5824066,5369518,423021,181697,241324,4647907,2329705,2318202,5068163,2737242,2330921,708958,392954,316004,284565,151245,133320,59769,30546,29223,1201,677,524
