学生,部分选择题得分情况,部分选择题得分情况.1,部分选择题得分情况.2,部分选择题得分情况.3,部分选择题得分情况.4,部分选择题得分情况.5,部分选择题得分情况.6,部分选择题得分情况.7,部分选择题得分情况.8,部分选择题得分情况.9,部分选择题得分情况.10,部分选择题得分情况.11,总分
57,5,0,5,5,0,5,0,5,5,5,5,0,40.0
58,5,5,5,5,0,0,5,5,5,5,5,0,45.0
59,0,5,5,5,0,5,0,0,5,0,5,5,35.0
60,5,0,5,0,0,5,5,5,5,5,5,5,45.0
61,0,5,5,0,0,5,0,5,5,5,5,0,35.0
62,0,5,5,5,0,5,0,5,5,5,5,5,45.0
63,5,5,5,5,5,5,0,5,5,5,5,0,50.0
64,0,5,5,0,0,5,0,5,5,5,5,5,40.0
65,0,0,5,0,0,0,5,5,5,5,5,0,30.0
66,0,0,5,0,0,5,0,5,5,5,5,0,30.0
67,0,5,5,5,0,5,0,5,5,5,5,0,40.0
68,0,5,5,5,0,5,5,0,5,5,5,5,45.0
69,0,0,5,0,0,0,0,5,5,5,5,0,25.0
70,5,5,5,0,0,0,5,5,5,5,5,0,40.0
71,5,5,5,5,0,5,0,0,5,5,5,5,45.0
72,5,0,5,0,0,5,5,5,5,5,5,0,40.0
73,0,5,0,0,5,5,5,0,5,5,5,0,35.0
74,5,5,5,0,0,5,0,5,5,5,5,0,40.0
75,5,5,5,0,0,5,0,5,5,5,0,5,40.0
76,5,0,5,5,0,5,0,0,5,5,5,5,40.0
77,0,5,5,0,0,5,0,5,0,5,5,5,35.0
78,5,0,5,5,0,5,5,0,5,5,5,0,40.0
79,0,5,5,5,0,0,0,5,5,5,5,0,35.0
80,5,0,5,5,0,0,5,5,5,5,5,0,40.0
81,5,0,0,5,5,5,0,5,5,5,5,0,40.0
82,5,0,5,5,0,0,0,5,5,5,5,0,35.0
83,5,5,5,0,0,5,0,5,5,5,5,0,40.0
84,0,0,5,0,0,5,0,5,5,5,5,5,35.0
85,5,0,0,5,0,5,0,5,5,5,5,5,40.0
86,5,5,5,5,0,0,0,5,5,5,5,0,40.0
87,5,5,0,0,0,5,0,5,5,5,5,0,35.0
88,5,0,5,0,0,5,5,5,5,5,5,0,40.0
89,5,0,5,5,0,5,0,0,0,5,5,5,35.0
90,5,0,0,5,0,5,5,5,5,5,5,0,40.0
91,0,5,5,5,0,5,0,5,5,5,5,0,40.0
92,5,5,5,0,0,5,0,5,5,5,5,5,45.0
93,5,5,5,5,0,5,0,5,5,5,5,0,45.0
94,0,5,5,0,0,5,5,5,5,5,5,0,40.0
95,5,5,5,5,0,0,5,5,5,5,5,5,50.0
96,5,5,5,0,0,5,0,5,5,5,0,0,35.0
97,5,5,5,0,0,5,5,5,5,5,0,5,45.0
98,5,0,5,5,0,5,5,5,5,5,5,0,45.0
99,0,0,0,5,0,5,0,5,5,5,5,0,30.0
100,5,0,5,5,0,5,0,0,5,0,5,0,30.0
平均得分,4,4,5,4,2,5,3,5,5,5,5,3,
难度,1,1,1,1,0,1,1,1,1,1,1,1,
