表9-4湖南省分年龄、性别、主要生活来源的老年人口-年龄别-年龄别,表9-4湖南省分年龄、性别、主要生活来源的老年人口-60岁及以上人口-小计,表9-4湖南省分年龄、性别、主要生活来源的老年人口-60岁及以上人口-男,表9-4湖南省分年龄、性别、主要生活来源的老年人口-60岁及以上人口-女,表9-4湖南省分年龄、性别、主要生活来源的老年人口-劳动收入-小计,表9-4湖南省分年龄、性别、主要生活来源的老年人口-劳动收入-男,表9-4湖南省分年龄、性别、主要生活来源的老年人口-劳动收入-女,表9-4湖南省分年龄、性别、主要生活来源的老年人口-离退休金、养老金-小计,表9-4湖南省分年龄、性别、主要生活来源的老年人口-离退休金、养老金-男,表9-4湖南省分年龄、性别、主要生活来源的老年人口-离退休金、养老金-女,表9-4湖南省分年龄、性别、主要生活来源的老年人口-失业保险金-小计,表9-4湖南省分年龄、性别、主要生活来源的老年人口-失业保险金-男,表9-4湖南省分年龄、性别、主要生活来源的老年人口-失业保险金-女,表9-4湖南省分年龄、性别、主要生活来源的老年人口-最低生活保障金-小计,表9-4湖南省分年龄、性别、主要生活来源的老年人口-最低生活保障金-男,表9-4湖南省分年龄、性别、主要生活来源的老年人口-最低生活保障金-女,表9-4湖南省分年龄、性别、主要生活来源的老年人口-下岗生活费-小计,表9-4湖南省分年龄、性别、主要生活来源的老年人口-下岗生活费-男,表9-4湖南省分年龄、性别、主要生活来源的老年人口-下岗生活费-女,表9-4湖南省分年龄、性别、主要生活来源的老年人口-内退生活费-小计,表9-4湖南省分年龄、性别、主要生活来源的老年人口-内退生活费-男,表9-4湖南省分年龄、性别、主要生活来源的老年人口-内退生活费-女,表9-4湖南省分年龄、性别、主要生活来源的老年人口-财产性收入-小计,表9-4湖南省分年龄、性别、主要生活来源的老年人口-财产性收入-男,表9-4湖南省分年龄、性别、主要生活来源的老年人口-财产性收入-女,表9-4湖南省分年龄、性别、主要生活来源的老年人口-家庭其他成员供养-小计,表9-4湖南省分年龄、性别、主要生活来源的老年人口-家庭其他成员供养-男,表9-4湖南省分年龄、性别、主要生活来源的老年人口-家庭其他成员供养-女,表9-4湖南省分年龄、性别、主要生活来源的老年人口-单位：人-其它-小计,表9-4湖南省分年龄、性别、主要生活来源的老年人口-单位：人-其它-男,表9-4湖南省分年龄、性别、主要生活来源的老年人口-单位：人-其它-女
68,4849,2496,2353,1443.0,1056.0,387.0,701,490,211,4.0,1.0,3.0,85,56,29,2.0,2.0,0.0,2.0,2.0,0.0,9.0,6.0,3.0,2508,826,1682,95,57,38
69,4344,2302,2042,1143.0,817.0,326.0,696,489,207,1.0,1.0,0.0,83,48,35,2.0,0.0,2.0,1.0,1.0,0.0,11.0,6.0,5.0,2340,898,1442,67,42,25
70-74,18639,9435,9204,2923.0,2146.0,777.0,2838,2033,805,11.0,8.0,3.0,392,203,189,13.0,6.0,7.0,3.0,1.0,2.0,45.0,19.0,26.0,12003,4790,7213,411,229,182
70,4322,2233,2089,833.0,612.0,221.0,706,500,206,3.0,2.0,1.0,78,40,38,2.0,1.0,1.0,,,,14.0,6.0,8.0,2577,1007,1570,109,65,44
71,3757,1901,1856,649.0,474.0,175.0,560,392,168,3.0,2.0,1.0,83,41,42,2.0,2.0,0.0,1.0,0.0,1.0,10.0,6.0,4.0,2369,935,1434,80,49,31
72,4099,2089,2010,652.0,473.0,179.0,625,452,173,4.0,4.0,0.0,92,53,39,5.0,3.0,2.0,,,,10.0,4.0,6.0,2629,1057,1572,82,43,39
73,3350,1667,1683,443.0,331.0,112.0,506,359,147,,,,69,31,38,2.0,0.0,2.0,2.0,1.0,1.0,8.0,2.0,6.0,2247,911,1336,73,32,41
74,3111,1545,1566,346.0,256.0,90.0,441,330,111,1.0,0.0,1.0,70,38,32,2.0,0.0,2.0,,,,3.0,1.0,2.0,2181,880,1301,67,40,27
75-79,12050,5651,6399,850.0,620.0,230.0,1535,1136,399,4.0,1.0,3.0,291,137,154,3.0,2.0,1.0,7.0,4.0,3.0,32.0,11.0,21.0,9100,3621,5479,228,119,109
75,3155,1515,1640,282.0,196.0,86.0,443,346,97,,,,63,32,31,3.0,2.0,1.0,1.0,1.0,0.0,13.0,5.0,8.0,2287,896,1391,63,37,26
76,2446,1154,1292,198.0,142.0,56.0,322,229,93,1.0,0.0,1.0,61,27,34,,,,1.0,0.0,1.0,10.0,1.0,9.0,1806,730,1076,47,25,22
77,2468,1131,1337,151.0,117.0,34.0,304,215,89,1.0,0.0,1.0,65,34,31,,,,1.0,0.0,1.0,4.0,2.0,2.0,1892,740,1152,50,23,27
78,2283,1061,1222,142.0,104.0,38.0,272,194,78,1.0,0.0,1.0,61,25,36,,,,2.0,1.0,1.0,3.0,2.0,1.0,1766,717,1049,36,18,18
79,1698,790,908,77.0,61.0,16.0,194,152,42,1.0,1.0,0.0,41,19,22,,,,2.0,2.0,0.0,2.0,1.0,1.0,1349,538,811,32,16,16
80-84,6222,2700,3522,193.0,130.0,63.0,615,441,174,3.0,1.0,2.0,185,68,117,8.0,2.0,6.0,5.0,5.0,0.0,10.0,5.0,5.0,5083,1991,3092,120,57,63
80,1694,762,932,68.0,50.0,18.0,184,130,54,1.0,0.0,1.0,46,16,30,2.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,1.0,1356,543,813,33,20,13
81,1406,654,752,47.0,32.0,15.0,119,84,35,1.0,1.0,0.0,47,17,30,1.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,1159,506,653,28,11,17
82,1196,520,676,36.0,22.0,14.0,131,92,39,,,,33,15,18,,,,3.0,3.0,0.0,,,,971,375,596,22,13,9
83,1032,418,614,29.0,18.0,11.0,97,69,28,1.0,0.0,1.0,31,11,20,4.0,1.0,3.0,,,,2.0,1.0,1.0,854,314,540,14,4,10
84,894,346,548,13.0,8.0,5.0,84,66,18,,,,28,9,19,1.0,1.0,0.0,,,,2.0,0.0,2.0,743,253,490,23,9,14
85-89,2114,795,1319,19.0,16.0,3.0,159,104,55,1.0,1.0,0.0,73,24,49,1.0,0.0,1.0,,,,2.0,0.0,2.0,1812,630,1182,47,20,27
85,662,265,397,13.0,10.0,3.0,58,38,20,1.0,1.0,0.0,24,8,16,,,,,,,1.0,0.0,1.0,554,203,351,11,5,6
86,477,176,301,2.0,2.0,0.0,35,22,13,,,,18,4,14,,,,,,,,,,411,144,267,11,4,7
87,397,151,246,3.0,3.0,0.0,32,20,12,,,,12,4,8,1.0,0.0,1.0,,,,1.0,0.0,1.0,338,118,220,10,6,4
88,339,118,221,1.0,1.0,0.0,18,14,4,,,,12,5,7,,,,,,,,,,298,94,204,10,4,6
89,239,85,154,,,,16,10,6,,,,7,3,4,,,,,,,,,,211,71,140,5,1,4
90-94,640,214,426,1.0,0.0,1.0,40,27,13,1.0,0.0,1.0,17,7,10,2.0,2.0,0.0,,,,1.0,0.0,1.0,565,176,389,13,2,11
90,216,61,155,,,,16,11,5,1.0,0.0,1.0,7,3,4,1.0,1.0,0.0,,,,,,,185,45,140,6,1,5
91,174,64,110,,,,11,8,3,,,,2,0,2,1.0,1.0,0.0,,,,,,,158,54,104,2,1,1
92,102,31,71,1.0,0.0,1.0,7,4,3,,,,4,1,3,,,,,,,1.0,0.0,1.0,86,26,60,3,0,3
93,84,34,50,,,,4,2,2,,,,3,2,1,,,,,,,,,,76,30,46,1,0,1
94,64,24,40,,,,2,2,0,,,,1,1,0,,,,,,,,,,60,21,39,1,0,1
95岁及以上,96,21,75,1.0,1.0,0.0,2,1,1,1.0,0.0,1.0,3,2,1,,,,,,,,,,86,17,69,3,0,3
