销售员,区域,订单日期,回签日期,客户订单号,客户名称,产品规格,单价,数量,合计,发货日期,发货数量,批号,厂商,账期,开票日期,发票号,开票金额,理论收款日,收款年份,实际到款日,实际到款金额,"2023年其中
逾期应收账款",客户承诺付款日,信用额度,备注
金颖,上海市,45033,不需要,,上海欣富生物科技有限公司,A200,35.0,10,350,45034,10,617110581,非明台,款到发货,45041,14665369,350,#VALUE!,2023,45034,350.0,#VALUE!,,,
金颖,江苏省,45033,45051,DY-FL-2023-03-12,江苏德源药业股份有限公司,M105,73.0,100,7300,45054,50,C2304506  50KG(特规),明台,30,45063,18728837,3650,45093,2023,45102,3650.0,0,45107,4500,
金颖,上海市,45035,45043,5651010437,百岳特生物技术（上海）有限公司,M102,49.0,25,1225,45052,25,C2304102,明台,30,45056,17268375,1225,45086,2023,45098,1225.0,0,,,
金颖,上海市,45035,45043,5651010468,百岳特生物技术（上海）有限公司,M102,49.0,75,3675,45052,75,C2304102,明台,30,45056,17267200,3675,45086,2023,45076,3675.0,0,,,
金颖,苏南,45052,45052,,南京正科医药股份有限公司,M101,48.0,1800,86400,45069,1800,C2303122,明台,30,45071,21008529,86400,45101,2023,45102,86400.0,0,,,
金颖,上海市,45054,45057,,安时国际贸易（上海）有限公司,244FP（美）,180.0,204,36720,45057,204,5210237438,Grace,款到发货,45063,18747596,36720,#VALUE!,2023,45055,36720.0,#VALUE!,,,
金颖,上海市,45055,45055,9845090496,帝斯曼维生素（上海）有限公司,M102,46.0,900,41400,45085,900,C2305128,明台,30,45090,26643825,41402,45120,2023,45142,41402.0,0,45142,,
金颖,上海市,45057,45064,4500283639,扬子江药业集团上海海尼药业有限公司,M102,45.0,7500,337500,45064,10000,C2305113,明台,30,45071,20923967,450000,45101,2023,45117,450000.0,0,45107,,
金颖,上海市,45057,45064,4500283639,扬子江药业集团上海海尼药业有限公司,M102,45.0,6500,292500,45085,4000,C2305128,明台,30,45090,26636189,180000,45120,2023,45121,180000.0,0,45137,,
金颖,江苏省,45061,45064,,药源生物科技（启东）有限公司,硬脂酸镁,350.0,25,8750,45064,25,MGST9L2119,NITIKA,款到发货,45071,21003375,8750,#VALUE!,2023,45063,8750.0,#VALUE!,,,
金颖,江苏省,45061,45064,,药源生物科技（启东）有限公司,M112,69.0,25,1725,45064,25,C2211114,明台,款到发货,45071,21003375,1725,#VALUE!,2023,45063,1725.0,#VALUE!,,,
金颖,上海市,45061,45062,SH20230515,上海旭东海普嘉定药厂,M102,47.0,1000,47000,45063,500,C2305113  500KG,明台,30,45071,20928302,23500,45101,2023,45133,23500.0,0,,14000,采购人员变更
金颖,上海市,45061,45062,,上海旭东海普嘉定药厂,M102,,,,45075,500,C2305115  500KG,明台,30,45085,24983362,23500,45115,2023,09/19承兑,23500.0,0,45169,,采购人员变更，工作交接中
金颖,上海市,45061,45069,5651010752,百岳特生物技术（上海）有限公司,M102,49.0,75,3675,45075,75,C2305113,明台,30,45085,24981266,3675,45115,2023,45098,3675.0,0,45122,,
金颖,苏南,45061,45063,NJ20230515,南京爱德程医药科技有限公司,M101,50.0,25,1250,45064,25,C2303122,明台,款到发货,45071,21001579,1250,#VALUE!,2023,45063,1250.0,#VALUE!,,,
金颖,上海市,45063,45084,,扬子江药业集团上海海尼药业有限公司,M102,45.0,(3300),(148500),,,,明台,30,,,,,,,,0,,,
金颖,上海市,45063,45084,4500284438,扬子江药业集团上海海尼药业有限公司,M102,45.0,30000,1350000,45085,800,C2305128,明台,30,45090,26636189,36000,45120,2023,45121,36000.0,0,45137,,
金颖,上海市,45063,45064,SH220230517,上海同舟共济生物科技有限公司,244FP（美）,214.0,14,2910,45064,14,5210237438,Grace,款到发货,45071,21004381,2910,#VALUE!,2023,45064,2910.0,#VALUE!,,,
金颖,上海市,45063,45064,ABC20230517,上海安必生制药技术有限公司,M101,47.0,100,4700,45068,100,C2303122,明台,30,45085,24976447,4700,45115,2023,45121,4700.0,0,45122,,
金颖,苏南,45063,45069,XH20230517,燃点（南京）生物医药科技有限公司,244FP,210.0,110,23100,45071,110,1000393760,Grace,款到发货,45085,24979471,23100,#VALUE!,2023,45070,23100.0,#VALUE!,,,
金颖,上海市,45063,45084,4500284438,扬子江药业集团上海海尼药业有限公司,M102,,,,45120,17800,C2306129,明台,30,45126,41882514,801000,45156,2023,45210,801000.0,0,,,
金颖,上海市,45063,45084,4500284438,扬子江药业集团上海海尼药业有限公司,M102,45.0,,,45170,8100,C2307104,明台,30,45175,72002813,364500,45205,2023,45209,364500.0,0,,,
金颖,苏南,45063,45065,HZMY-2023-2305051602,杭州沐源生物医药科技有限公司,M102,55.0,50,2750,45075,50,C2305113,明台,款到发货,45085,24982917,2750,#VALUE!,2023,45070,2750.0,#VALUE!,,,
金颖,江苏省,45065,45069,YY20230519,扬州一洋制药有限公司,C91,143.0,4975,711425,45175,5000,N2305001,明台,款到发货,45182,77339643,715000,#VALUE!,2023,45174,715000.0,#VALUE!,,,
金颖,苏南,45065,45070,4500284697,扬子江江苏海岸药业有限公司,M101,45.0,2000,90000,45075,2000,C2303122,明台,30,45085,5616108,90000,45115,2023,45124,90000.0,0,,,
金颖,苏北,45070,45070,CP20230524,江苏晨牌药业集团股份有限公司,M101,47.0,2700,126900,45071,2700,C2303138,明台,30,45085,24981405,126900,45115,2023,45118,126900.0,0,45122,,
金颖,苏南,45070,45076,4500285100,扬子江药业集团江苏紫龙药业有限公司,M101,45.0,25,1125,45076,25,C2303138,明台,30,45085,5616109,1125,45115,2023,45132,1125.0,0,,,
金颖,江苏省,45071,45071,RMNWP23075,诺化仕（无锡）制药有限公司,244FP,220.0,300,66000,45104,300,1000393760,Grace,45,45113,36100742,66000,45158,2023,45162,66000.0,0,,16500,
金颖,江苏省,45075,45075,4500285626,扬子江药业集团南京海陵药业有限公司,M101,45.0,100,4500,45122,50,C2304121,明台,30,45126,41883281,2250,45156,2023,45217,2250.0,0,,3900,
金颖,江苏省,45075,45075,,扬子江药业集团南京海陵药业有限公司,M101,45.0,(50),(2250),,,,,30,,,,,,,,0,,,
金颖,上海市,45077,45079,SH20230531,上海世康特制药有限公司,K30,145.0,25,3625,45082,25,PK30-221113F13,南杭,30,45090,26625416,3625,45120,2023,"21年开红字
 21年开票",7050.0,0,,0,
金颖,苏南,45078,45079,4500286105,扬子江药业集团南京海陵药业有限公司,M101,45.0,50,2250,45083,50,C2303138,明台,30,45090,26629929,2250,45120,2023,45147,2250.0,0,,,
金颖,苏北,45083,45084,SH20230606,药源生物科技（启东）有限公司,M102,52.0,50,2600,45084,50,C2305113,明台,款到发货,45090,26631313,2600,#VALUE!,2023,45084,2600.0,#VALUE!,,,
金颖,苏北,45083,45089,755055,美乐家（南通）健康科技有限公司,244FP（美）,208.0,68,14144,45103,68,5210237438,Grace,30,45113,36087032,14144,45143,2023,45162,14144.0,0,,,
金颖,苏北,45083,45089,755055,美乐家（南通）健康科技有限公司,244FP（美）,208.0,41,8486,45138,41,5210237438,Grace,30,45142,51031728,8486,45172,2023,45194,8486.0,0,,,
金颖,上海市,45084,不需要,23001145,上海合全医药有限公司,244FP（美）,234.0,14,3182,45089,14,5210227384,Grace,30,45089,29344167,3182,45119,2023,45240,3182.0,0,45230,2550,
金颖,江苏省,45084,45103,4500286863,扬子江药业集团江苏紫龙药业有限公司,M102,45.0,525,23625,45104,525,C2306104,明台,30,45113,36102032,23625,45143,2023,45152,23625.0,0,,15000,
金颖,上海市,45085,45085,CW20230608,上海潮旺科技有限公司,M102,47.0,5,235,45085,5,C2301114,明台,款到发货,45090,26644472,235,#VALUE!,2023,45140,235.0,#VALUE!,,,特批先发货，样品库出库
金颖,上海市,45086,45086,9845090225,帝斯曼维生素（上海）有限公司,M102,46.0,900,41400,45089,900,C2305128,明台,30,45097,29345849,41402,45127,2023,45142,41402.0,0,45142,,
金颖,苏北,45086,45089,SH20230609,药源生物科技（启东）有限公司,CCS,202.0,25,5050,45092,25,D2212001,明台,款到发货,45097,29349245,5050,#VALUE!,2023,45089,5050.0,#VALUE!,,,
金颖,苏北,45086,45089,,药源生物科技（启东）有限公司,硬脂富马酸钠,2500.0,5,12500,45092,5,SSFM4L192,NITIKA,款到发货,45097,29349245,12500,#VALUE!,2023,45089,12500.0,#VALUE!,,,
金颖,江苏省,45089,45091,,南京正科医药股份有限公司,M102,48.0,75,3600,45103,75,C2306104,明台,30,45113,36089587,3600,45143,2023,45117,3600.0,0,,63000,
金颖,江苏省,45090,45093,PY20230613,江苏鹏鹞药业有限公司,M101,54.0,125,6750,45096,125,C2304120,明台,款到发货,45104,31930215,6750,#VALUE!,2023,45093,6750.0,#VALUE!,,,
金颖,江苏省,45091,45106,XH20230614,燃点（南京）生物医药科技有限公司,AN50,300.0,25,7500,45127,25,AFN50-360083,Grace,款到发货,45134,46636040,7500,#VALUE!,2023,45113,7500.0,#VALUE!,,,
金颖,上海市,45102,45103,,上海现代制药股份有限公司,山嵛酸甘油酯,370.0,50,18500,45106,50,191597,嘉法狮,60,45113,36108307,18500,45173,2023,45166,18500.0,0,,,
金颖,江苏省,45104,45111,SH20230627,常州百瑞吉生物医药股份有限公司,971P,430.0,20,8600,45112,20,44222004,Corel,款到发货,45120,39288564,8600,#VALUE!,2023,45111,8600.0,#VALUE!,,,
金颖,上海市,45105,45106,,均瑶润盈生物科技（上海）有限公司,M102,47.0,200,9400,45118,200,C2306129,明台,款到发货,45126,41891699,9400,#VALUE!,2023,45111,9400.0,#VALUE!,,,
金颖,上海市,45106,45119,,上海现代制药股份有限公司,M101,48.0,1000,48000,45121,1000,C2212107,明台,60,45126,41896429,48000,45186,2023,45183,48000.0,0,,,
金颖,上海市,45106,45119,,上海现代制药股份有限公司,244FP,210.0,10,2100,45121,10,1000393760,Grace,60,45126,41896429,2100,45186,2023,45183,2100.0,0,,,
金颖,江苏省,45107,不需要,23001318,无锡合全药业有限公司,244FP,234.0,14,3182,45050,14,5210237438,Grace,30,45063,5616107,3182,45093,2023,45140,3182.0,0,,3350,
金颖,上海市,45107,45107,SH20230630,上海新亚药业闵行有限公司,M102,47.0,50,2350,45107,50,C2306104,明台,30,45113,36105640,2350,45143,2023,45195,2350.0,0,,600,
金颖,江苏省,45107,不需要,23004527,无锡合全药业有限公司,244FP,234.0,10,2340,45111,10,1000393760,Grace,30,45126,5616111,2340,45156,2023,45175,2340.0,0,,,
金颖,江苏省,45110,45119,,江苏豪森药业集团有限公司,M112,67.0,25,1675,45119,25,C2211114,明台,45,45126,41893153,1675,45171,2023,45195,1675.0,0,,0,
金颖,江苏省,45113,45114,HS-PUR-2023070002,南京恒生制药有限公司,M102SD,56.0,300,16800,45118,300,C2305050,明台,款到发货,45126,41890364,16800,#VALUE!,2023,45118,16800.0,#VALUE!,45120,,
金颖,江苏省,45114,不需要,L2307011,南通综合保税区进口商品直营中心有限公司,M102,45.0,300,13500,45124,300,C2306104,明台,30,45154,57718181,13500,45184,2023,45154,13500.0,0,,8000,
金颖,江苏省,45119,45120,JD23-原料086,江苏迪赛诺制药有限公司,M302,70.0,125,8750,45135,125,C2305040,明台,款到发货,45142,51030118,8750,#VALUE!,2023,45124,8750.0,#VALUE!,,,
金颖,上海市,45119,45128,5651011366,百岳特生物技术（上海）有限公司,M102,49.0,75,3675,45145,75,C2307104,明台,30,45154,57737857,3675,45184,2023,45173,3675.0,0,,,
金颖,上海市,45125,45125,SH20230718,上海炫翔商贸有限公司,244FP,165.0,1224,201960,45127,612,5210237448,Grace,款到发货,45134,46625229,100980,#VALUE!,2023,45126,100980.0,#VALUE!,,,
金颖,上海市,45125,45125,SH20230718,上海炫翔商贸有限公司,244FP,165.0,,,45166,612,5210237448,Grace,款到发货,45175,72028664,100980,#VALUE!,2023,45163,100980.0,#VALUE!,,,
金颖,江苏省,45126,45127,SH20230719,药源生物科技（启东）有限公司,XL-10,150.0,25,3750,45131,25,PP230521XL-10,建华南杭,款到发货,45133,46627215,3750,#VALUE!,2023,45127,3750.0,#VALUE!,,,
金颖,江苏省,45127,45142,BJ20230720,江苏贝佳制药有限公司,M102CG,49.0,150,7350,45149,150,C2306027,明台,款到发货,45154,57747728,7350,#VALUE!,2023,45148,7350.0,#VALUE!,,,
金颖,江苏省,45128,45131,HS20230721,南京恒生制药有限公司,CN10T PLUS,280.0,20,5600,45132,20,CFN10T-320041,乐天,款到发货,45142,51028954,5600,#VALUE!,2023,45133,5600.0,#VALUE!,,,石总特批先发货
金颖,江苏省,45131,45131,,南京易亨制药有限公司,M102,45.0,25,1125,45132,25,C2306104,明台,60,45142,51029622,1125,45202,2023,45274,1125.0,0,45260,800,
金颖,上海市,45131,不需要,23001464,上海合全医药有限公司,244FP,234.0,10,2340,45132,10,1000393760,Grace,30,45134,5616121,2340,45164,2023,45233,2340.0,0,45230,,
金颖,江苏省,45134,,4500292214,江苏海岸药业有限公司,M101,45.0,1800,81000,45225,1800,C2307130,明台,30,45231,117372549,81000,45261,2023,45289,81000.0,0,,26000,
金颖,上海市,45138,45138,DY20230731,上海鼎雅药物化学科技有限公司,M101,49.0,25,1225,45139,25,C2205116,明台,款到发货,45142,51032162,1225,#VALUE!,2023,45138,1225.0,#VALUE!,,,
金颖,江苏省,45139,45142,HH20230801,江苏华瀚医药科技有限公司,M102,52.0,1150,59800,45145,1150,C2307104,明台,款到发货,45154,577379635,59800,#VALUE!,2023,45141,59800.0,#VALUE!,,,
金颖,江苏省,45140,45142,ZJ2023080102,常州制药厂有限公司,M101,46.0,200,9200,45145,200,C2304129,明台,60,45154,57734192,9200,45214,2023,45217,9200.0,0,,,
金颖,江苏省,45141,45141,,南京正科医药股份有限公司,M101,48.0,1800,86400,45174,1475,C2306125,明台,30,45182,77331749,70800,45212,2023,45191,70800.0,0,,,
金颖,江苏省,45145,45156,4500293213,扬子江药业集团江苏制药股份有限公司,M102,45.0,1000,45000,45159,1000,C2307104,明台,30,45166,65275865,45000,45196,2023,45191,45000.0,0,,,
金颖,江苏省,45145,45149,JSSS20230807,江苏盛世药业有限公司,244FP,234.0,10,2340,45149,10,1000393760,Grace,款到发货,45154,57746302,2340,#VALUE!,2023,45148,2340.0,#VALUE!,,0,
金颖,江苏省,45145,45149,,江苏盛世药业有限公司,CCS,185.0,25,4625,45149,25,D2212001,明台,款到发货,45154,57746302,4625,#VALUE!,2023,45148,4625.0,#VALUE!,,,
金颖,上海市,45146,45155,,上海现代制药股份有限公司,山嵛酸甘油酯,370.0,75,27750,45161,75,192222,嘉法狮,60,45166,65296606,27750,45226,2023,45217,27750.0,0,,,
金颖,江苏省,45153,45160,HH20230815,江苏华瀚医药科技有限公司,M102,52.0,100,5200,45161,100,C2307104,明台,款到发货,45166,65285235,5200,#VALUE!,2023,45160,5200.0,#VALUE!,,,
金颖,江苏省,45155,45155,NJLT20230817,南京力天生物科技有限公司,M105,75.0,50,3750,45166,50,C2304511,明台,款到发货,45175,72026616,3750,#VALUE!,2023,45155,3750.0,#VALUE!,,,
金颖,江苏省,45155,45156,SH20230817,药源生物科技（启东）有限公司,M112,69.0,25,1725,45159,25,C2301108,明台,款到发货,45166,65277841,1725,#VALUE!,2023,45156,1725.0,#VALUE!,,,
金颖,江苏省,45159,45159,20230804001,昆山龙灯瑞迪制药有限公司,M102,48.0,25,1200,45160,25,C2306104,明台,30,45166,65274008,1200,45196,2023,45194,1200.0,0,,2200,
金颖,江苏省,45159,不需要,23005640,无锡合全药业有限公司,244FP（美）,234.0,14,3182,45160,14,5210237448,Grace,30,45166,65271451,3182,45196,2023,45245,3182.0,0,45245,,
金颖,上海市,45159,45161,5651011637,百岳特生物技术（上海）有限公司,M102,49.0,100,4900,45167,100,C2307104,明台,15,45175,72035309,4900,45190,2023,45196,4900.0,0,,,
金颖,上海市,45161,45162,DX20230823,上海德祥医药技术有限公司,L100,670.0,1,335,45162,1,10021008,Corel,款到发货,45166,65304367,335,#VALUE!,2023,45161,335.0,#VALUE!,,,样品出库
金颖,江苏省,45161,45162,CP20230823,江苏晨牌药业集团股份有限公司,M101,47.0,2700,126900,45166,2700,C2306110,明台,30,45175,72024656,126900,45205,2023,45209,126900.0,0,,,
金颖,上海市,45173,45174,TL20230904,上海天龙药业有限公司,M101,50.0,600,30000,45180,500,C2307116,明台,款到发货,45182,77345419,30000,#VALUE!,2023,45174,30000.0,#VALUE!,,,
金颖,江苏省,45173,45173,JQ20230904,锦乔生物科技有限公司,M102,47.0,200,9400,45175,200,C2307104,明台,款到发货,45182,77334990,9400,#VALUE!,2023,45174,9400.0,#VALUE!,,,
金颖,江苏省,45174,45175,,南京正科医药股份有限公司,CCS,180.0,25,4500,45176,25,D2302016,明台,30,45182,77342190,4500,45212,2023,45209,4500.0,0,,,
金颖,上海市,45176,45176,SH20230907,上海桓华制药有限公司,M101,48.0,200,9600,45180,200,C2306110,明台,款到发货,45182,77348696,9600,#VALUE!,2023,45176,9600.0,#VALUE!,,,
金颖,江苏省,45176,45176,20230904001,昆山龙灯瑞迪制药有限公司,AN6,300.0,25,7500,45182,25,AFN006-340090,乐天,30,45189,82824545,7500,45219,2023,45224,7500.0,0,45230,,
金颖,江苏省,45176,45180,SL20230907,江苏神龙药业有限公司,硬脂酸钙,550.0,20,11000,45180,20,CAST9L2002,NITIKA,款到发货,45182,77350737,11000,#VALUE!,2023,45180,11000.0,#VALUE!,,,
金颖,江苏省,45176,45180,SH20230907,江苏宣泰药业有限公司,M302,67.0,1250,83750,45181,1250,C2305040,明台,30,45189,82793603,83750,45219,2023,45196,83750.0,0,,,
金颖,江苏省,45177,45190,10242300478,安若维他药业泰州有限公司,AN5,300.0,50,15000,45222,50,AFN005-340048,乐天,款到发货,45225,111002901,15000,#VALUE!,2023,45218,15000.0,#VALUE!,,,
金颖,江苏省,45177,45547,WBYYCON10230907015,江苏万邦生化医药集团有限责任公司,CN10T PLUS,280.0,260,72800,45210,260,CFN10T-320178,乐天,30,45217,103763800,72800,45247,2024,45321,72800.0,0,45260,18200,
金颖,江苏省,45177,,JS20230908,江苏正大清江制药有限公司,M102,60.0,500,30000,45254,500,C2307104,明台,款到发货,45258,144921970,30000,#VALUE!,2023,45253,30000.0,#VALUE!,,,202401申请返利，1/30付款 姚海燕
金颖,江苏省,45177,45177,HYG2309085,技源健康科技（江苏）有限公司,M102,47.0,150,7050,45181,150,C2307104,明台,30,45189,82820687,7050,45219,2023,45222,7050.0,0,,14325,
金颖,上海市,45180,45190,,上海现代制药股份有限公司,244FP,210.0,10,2100,45190,10,1000393760,Grace,60,45194,86904146,2100,45254,2023,45250,2100.0,0,45260,,
金颖,上海市,45180,45194,ACP23-物料-381,上海创诺制药有限公司,244FP,245.0,10,2450,45181,10,1000393760,Grace,30,45189,82784843,2450,45219,2023,45224,2450.0,0,45230,,
金颖,上海市,45184,45189,5651011867,百岳特生物技术（上海）有限公司,M102,49.0,50,2450,45189,50,C2307104,明台,30,45194,86890421,2450,45224,2023,45226,2450.0,0,45230,,
金颖,上海市,45187,45188,AS20230829,安时国际贸易（上海）有限公司,244FP（美）,180.0,136,24480,45188,136,5210237448,Grace,款到发货,45194,86886448,24480,#VALUE!,2023,45188,24480.0,#VALUE!,,,
金颖,江苏省,45187,45187,NJYXH20230515,南京一心和医药科技有限公司,M102,48.0,25,1200,45189,25,C2307104,明台,款到发货,45194,876893779,1200,#VALUE!,2023,45188,1200.0,#VALUE!,,,发货江苏宣泰药业有限公司
金颖,江苏省,45189,45206,762123,美乐家（南通）健康科技有限公司,244FP（美）,208.0,27,5658,45250,27,5210237457,Grace,30,45258,144898978,5658,45288,2023,45282,5658.0,0,,,
金颖,江苏省,45191,45195,HS-RUR-2023090003,南京恒生制药有限公司,M102SD,56.0,300,16800,45211,300,C2305050,明台,款到发货,45217,103772392,16800,#VALUE!,2023,45194,16800.0,#VALUE!,,,
金颖,上海市,45194,45211,CG230925-87,均瑶润盈生物科技（上海）有限公司,M102,47.0,100,4700,45215,100,C2307104,明台,款到发货,45224,110306969,4700,#VALUE!,2023,45212,4700.0,#VALUE!,,,
金颖,江苏省,45195,45215,762725,美乐家（南通）健康科技有限公司,244FP（美）,208.0,14,2829,45250,14,5210237457,Grace,30,45258,144898978,2829,45288,2023,45282,2829.0,0,,,
金颖,江苏省,45195,45195,SH20230926,药源生物科技（启东）有限公司,硬脂酸镁,328.0,25,8200,45206,25,MGST9L2119,NITIKA,款到发货,45210,97765506,8200,#VALUE!,2023,45195,8200.0,#VALUE!,,,
金颖,上海市,45195,45210,,上海现代制药股份有限公司,M101,48.0,500,24000,45215,500,C2304120,明台,60,45224,110301968,24000,45284,2023,45285,24000.0,0,,,
金颖,江苏省,45196,45196,CK23-物料 211,江苏诚康药业有限公司,M101,50.0,75,3750,45216,75,C2307116,明台,30,45224,110281828,3750,45254,2024,45394,3750.0,0,45381,950,发货上海创诺制药有限公司，2/22 已经申请付款了，领导在上海开会，要等其回公司批准支付
金颖,上海市,45196,不需要,,上海合全医药有限公司,244FP,234.0,10,2340,45208,10,1000393760,Grace,30,45217,103768086,2340,45247,2024,45302,2340.0,0,45260,,邮件特批先发货
金颖,江苏省,45207,45230,YY20231008,扬州一洋制药有限公司,C91,143.0,5000,715000,45266,5000,N231002,明台,款到发货,45273,160774969,715000,#VALUE!,2023,45264,715000.0,#VALUE!,,,
金颖,江苏省,45207,45209,JQ20231008,锦乔生物科技有限公司,M102,47.0,25,1175,45210,25,C2307104,明台,款到发货,45217,103770482,1175,#VALUE!,2023,45209,1175.0,#VALUE!,,,
金颖,上海市,45209,45211,CG231009-15,均瑶润盈生物科技（上海）有限公司,M102,47.0,100,4700,45215,100,C2307104,明台,款到发货,45224,110306969,4700,#VALUE!,2023,45212,4700.0,#VALUE!,,,
金颖,上海市,45211,45211,(辅料)202309-047,上海汇伦江苏药业有限公司,M101,50.0,500,25000,45212,500,C2307116,明台,30,45271,158217746,25000,45301,2023,45282,25000.0,0,,,原10月25日开票，后因客户问题重新开票，客户承诺2023/12付款
金颖,江苏省,45211,45219,762962,美乐家（南通）健康科技有限公司,244FP（美）,208.0,27,5658,45250,27,5210237457,Grace,30,45258,144898978,5658,45288,2023,45282,5658.0,0,,,
金颖,上海市,45211,45222,,上海现代制药股份有限公司,山嵛酸甘油酯,370.0,50,18500,45224,50,192939,嘉法狮,60,45225,11014243,18500,45285,2023,45285,18500.0,0,,,
金颖,江苏省,45211,45211,,南京正科医药股份有限公司,M101,48.0,1800,86400,45237,1800,C2307130,明台,30,45245,130965219,86400,45275,2023,45252,86400.0,0,,,
金颖,江苏省,45211,45211,YH20231012,南京易亨制药有限公司,244FP,210.0,10,2100,45215,10,1000393760,Grace,60,45224,110298465,2100,45284,2023,45274,2100.0,0,,,
金颖,江苏省,45212,45216,SH20231013,江苏宣泰药业有限公司,M105,73.0,225,16425,45216,100,C2304506,明台,30,45224,110276947,7300,45254,2023,45232,7300.0,0,,,
金颖,江苏省,45212,45216,SH20231013,江苏宣泰药业有限公司,244FP,220.0,20,4400,45216,20,1000393760,Grace,30,45224,110276947,4400,45254,2023,45232,4400.0,0,,,
金颖,江苏省,45212,45216,SH20231013,江苏宣泰药业有限公司,M105,,,,45252,125,C2311502,明台,30,45258,144866837,9125,45288,2024,45343,9125.0,0,,,
金颖,江苏省,45216,45216,KS20231017,昆山乐爱克机电设备有限公司,974P,495.0,5,2475,45217,5,22321001,Corel,款到发货,45224,110332276,2475,#VALUE!,2023,45216,2475.0,#VALUE!,,,长春金赛用
金颖,江苏省,45216,45219,,美乐家（南通）健康科技有限公司,244FP（美）,208.0,14,2829,45265,14,5210237457,Grace,30,45273,160751324,2829,45303,2024,45310,2829.0,0,,,
金颖,江苏省,45218,45239,DY-FL-2023-07-01,江苏德源药业股份有限公司,CN40H,330.0,20,6600,45240,20,CFN40H-320173,乐天,30,45245,130976921,6600,45275,2023,45281,6600.0,0,,,
金颖,江苏省,45218,45239,DY-FL-2023-07-01,江苏德源药业股份有限公司,CN10M,330.0,20,6600,45240,20,CQP10M-310021,乐天,30,45245,130976921,6600,45275,2023,45281,6600.0,0,,,
金颖,上海市,45219,45219,SH20231020,上海炫翔商贸有限公司,244FP（美）,180.0,612,110160,45223,612,5210237457,Grace,款到发货,45225,110993728,110160,#VALUE!,2023,45219,110160.0,#VALUE!,,,
金颖,江苏省,45222,45229,FH20231023,江苏正大丰海制药有限公司,K30,160.0,25,4000,45229,25,PK30-221113F13,建华南杭,款到发货,45238,123912422,4000,#VALUE!,2023,45226,4000.0,#VALUE!,,,
金颖,江苏省,45222,45224,JQ20231023,锦乔生物科技有限公司,M102,47.0,160,7520,45225,150,C2307104,明台,款到发货,45231,117377116,7050,#VALUE!,2023,45223,7050.0,#VALUE!,,,
金颖,江苏省,45222,45222,,技源健康科技（江苏）有限公司,M302,67.0,200,13400,45223,200,C2305040,明台,30,45225,11001219,13400,45255,2023,45261,13400.0,0,,,
金颖,江苏省,45224,不需要,L23010019,南通综合保税区进口商品直营中心有限公司,M102,45.0,400,18000,45265,400,C2307104,明台,30,45273,160735471,18000,45303,2023,45280,18000.0,0,,,发南通联亚
金颖,江苏省,45224,45226,(辅料)202310-054,上海汇伦江苏药业有限公司,M101,50.0,500,25000,45236,500,C2307130,明台,30,45238,123920352,25000,45268,2023,45267,25000.0,0,,,由于客户入错发票，把11月份的发票入到10月份付款，这笔货款只能用10月份的发票，财务不能付款，申请重新开发票，入账才能申请付款
