姓名-姓名,总量-总量,工装穿着-合格率,工牌佩戴-合格率,网络测速-合格率,测速结果-合格率,服务邀约-合格率,综合得分（100分）-综合得分（100分）
58,12,1,0,1,1,1,78
59,3,1,1,1,1,1,78
60,27,1,1,1,1,1,78
61,31,1,1,1,1,1,78
62,34,1,1,1,1,1,78
63,8,1,0,1,1,1,78
64,18,1,1,1,0,1,77
65,7,0,0,1,1,1,77
66,48,1,1,0,1,1,77
67,9,1,0,0,1,1,77
68,19,1,0,1,1,1,77
69,22,0,1,1,1,1,76
70,18,1,1,0,1,1,76
71,21,0,1,0,1,1,75
72,22,1,1,0,0,1,75
73,5,1,1,1,1,1,74
74,33,1,1,0,0,1,73
75,25,0,1,0,1,1,73
76,19,1,1,1,1,1,73
77,14,1,1,1,1,1,73
78,30,1,1,1,1,1,72
79,5,1,0,1,0,1,72
80,10,1,1,1,1,1,71
81,33,1,1,1,1,0,70
82,13,1,1,1,0,1,70
83,21,0,0,1,1,1,69
84,10,1,1,1,1,1,69
85,4,1,1,0,1,1,69
86,28,1,1,1,1,1,68
87,4,1,0,1,1,1,68
88,8,1,1,1,1,1,68
89,16,1,1,1,0,1,67
90,22,1,1,1,1,1,67
91,4,1,1,1,0,1,66
92,28,0,1,1,1,0,66
93,4,1,1,1,0,1,65
94,11,1,0,1,1,1,65
95,11,1,1,0,1,1,64
96,14,1,1,1,1,0,64
97,39,0,1,1,1,1,63
98,17,1,1,1,0,1,62
99,15,1,1,1,0,1,61
100,8,1,1,1,0,1,60
101,1,0,1,0,0,1,60
102,8,1,1,0,0,1,59
103,18,1,0,1,1,1,58
104,38,1,1,1,1,1,56
105,9,1,1,0,0,0,56
106,7,1,0,1,1,0,55
107,15,1,1,1,1,0,54
108,3,1,0,0,0,1,53
109,23,1,1,0,0,0,53
110,19,1,1,1,1,0,53
111,33,1,1,1,0,0,53
112,12,1,1,0,0,1,53
113,19,1,1,1,1,0,52
114,16,1,1,1,1,0,51
115,27,1,1,1,0,0,50
116,14,1,1,1,0,0,50
117,9,1,1,1,1,0,48
118,3,1,1,0,1,0,48
119,11,1,1,1,1,0,48
120,10,1,1,1,0,0,48
121,2,0,0,1,1,1,48
122,21,1,1,1,1,0,45
123,11,1,0,0,0,1,45
124,4,1,1,1,1,0,45
125,29,0,1,1,0,0,45
126,9,1,1,0,1,0,44
127,6,1,1,1,0,0,44
128,7,1,1,0,0,0,44
129,50,1,1,0,0,0,43
130,12,1,1,0,0,0,42
131,11,1,0,1,0,0,42
132,27,1,1,0,1,0,42
133,43,1,1,1,0,0,41
134,25,1,0,0,0,1,41
135,2,1,1,0,0,1,40
136,28,1,0,0,0,0,39
137,4,1,1,1,0,0,39
138,11,0,1,0,0,0,39
139,6,1,1,1,0,0,38
140,11,1,1,1,1,0,38
141,8,1,1,0,0,0,38
142,8,1,1,0,0,0,38
143,7,1,1,0,0,0,38
144,56,1,1,0,0,0,37
145,7,1,1,0,0,0,37
146,18,1,1,1,0,0,37
147,52,1,1,1,0,0,36
148,7,1,1,1,0,0,36
149,26,1,1,0,0,0,36
150,1,1,1,1,0,0,35
151,12,1,1,0,0,0,35
152,11,1,0,1,0,0,34
153,4,1,1,0,1,0,34
154,10,0,0,0,0,0,32
155,9,1,1,0,0,0,30
156,6,1,1,0,0,0,29
157,12,1,1,0,0,0,28
158,5,0,1,0,0,0,28
159,6,1,1,1,0,0,28
160,19,1,1,0,0,0,27
161,4,0,1,1,1,0,26
162,17,0,1,0,0,0,26
163,7,1,1,0,0,0,25
164,1,0,1,0,1,0,25
165,14,1,1,0,0,0,23
166,16,1,1,0,0,0,23
167,1,1,1,0,0,0,20
168,10,1,0,1,0,0,18
169,4,0,1,0,0,0,18
170,33,0,0,0,0,0,16
171,1,0,0,0,1,0,15
172,2,1,1,0,0,0,15
173,7,0,0,1,0,0,12
174,3,0,1,0,0,0,10
175,1,1,0,0,0,0,10
176,4,1,0,0,0,0,10
177,2,0,0,0,0,0,0
总计,2774,1,1,1,1,1,67
