Serial Number,Unit,Business Scope,Certificate Number,Category
19.0,Hebei Hechen Engineering Design and Consulting Firm,Municipal Engineering (Landscape),030008-SⅡ,Class II
20.0,"Handan Guoyun Engineering Design and Consulting Co., Ltd.",Construction Engineering,030020-SⅡ,Class II
21.0,"Hebei Yumin Engineering Design and Consulting Firm Co., Ltd.",Ultra-high-rise building engineering; Building engineering,030102-SⅠ,Class I
22.0,"Hebei Yumin Engineering Design and Consulting Firm Co., Ltd.","Municipal Engineering (Heat Supply, Water Supply, Drainage)",030102-SⅡ,Class II
23.0,Shijiazhuang Shangde Architectural Engineering Design and Consulting Firm,Construction Engineering,030104-SⅠ,Class I
24.0,Shijiazhuang Shangde Architectural Engineering Design and Consulting Firm,"Municipal Engineering (Heat Supply, Water Supply, Drainage)",030104-SⅡ,Class II
25.0,"Zhangjiakou Weijia Engineering Design and Consulting Co., Ltd.",Construction Engineering,030105-SⅠ,Class I
26.0,"Zhangjiakou Weijia Engineering Design and Consulting Co., Ltd.","Municipal Engineering (Water Supply, Drainage)",030105-SⅡ,Class II
27.0,Tangshan Qingsen Engineering Design and Consulting Firm,Construction Engineering,030106-SⅠ,Class I
28.0,Tangshan Qingsen Engineering Design and Consulting Firm,"Municipal Engineering (Gas, Heating)",030106-SⅡ,Class II
29.0,"Handan Guo'an Engineering Design and Consulting Firm Co., Ltd.",Construction Engineering,030107-SⅡ,Class II
30.0,Baoding Quanxiang Engineering Design and Consulting Firm,Construction Engineering,030108-SⅠ,Class I
31.0,Baoding Quanxiang Engineering Design and Consulting Firm,"Municipal Engineering (Heat Supply, Gardening, Water Supply, Drainage, Roads, Bridges and Tunnels)",030108-SⅡ,Class II
32.0,"Qinhuangdao Yongxiang Engineering Design and Consulting Firm Co., Ltd.",Construction Engineering,030109-SⅠ,Class I
33.0,Xingtai Zhanzeng Engineering Design and Consulting Firm,Construction Engineering,030117-SⅠ,Class I
34.0,"Baoding Wenquan Engineering Design and Consulting Co., Ltd.",Construction Engineering,031106-SⅠ,Class I
35.0,"Hebiu Xiangyang Engineering Survey, Design, and Consulting Service Co., Ltd.",Construction Engineering,031108-SⅡ,Class II
36.0,"Chengde Xiufeng Engineering Design and Consulting Co., Ltd.",Construction Engineering,031113-SⅡ,Class II
37.0,"Langfang Wang Rongxiao Engineering Design and Consulting Firm Co., Ltd.",Construction Engineering,030015-SⅡ,Class II
38.0,"Hebei Bosheng Engineering Design and Consulting Co., Ltd.",Civil Engineering (Limited to Civil Air Defense Engineering),031138-SⅡ,Class II
39.0,"Hebei Zhangjiakou Weihong Engineering Design and Consulting Co., Ltd.",Construction Engineering,031165-SⅡ,Class II
40.0,Tangshan Youpo Engineering Design and Consulting Firm,Construction Engineering,031170-SⅠ,Class I
41.0,"Qinhuangdao Yongsheng Construction Engineering Consulting Co., Ltd.",Construction Engineering,032377-SⅠ,Class I
42.0,"Heze Guozhen Engineering Design and Consulting Co., Ltd.",Construction Engineering,033053-SⅡ,Class II
43.0,"Cangzhou Wenyong Engineering Design and Consulting Co., Ltd.","Architectural Engineering, Municipal Engineering (Roads, Bridges and Tunnels)",033203-SⅡ,Class II
44.0,"Cangzhou Fangyuan Engineering Design and Consulting Co., Ltd.","Architectural Engineering, Municipal Engineering (Roads, Bridges and Tunnels)",033213-SⅡ,Class II
,"ARCHITECTURAL ENGINEERING CONSTRUCTION DRAWING REVIEW SPECIAL SEAL (Valid until: April 30, 2006)",,,
,Unit:,,,
,Review Scope:,,,
,Category:        Certificate Number:,,,
,Hebei Provincial Department of Construction Supervision,,,
