新港街怡乐路垃圾投放站点改造制作与安装-地址：广州市海珠区新港街道怡乐路-序号,新港街怡乐路垃圾投放站点改造制作与安装-地址：广州市海珠区新港街道怡乐路-类别,新港街怡乐路垃圾投放站点改造制作与安装-地址：广州市海珠区新港街道怡乐路-规格,新港街怡乐路垃圾投放站点改造制作与安装-地址：广州市海珠区新港街道怡乐路,新港街怡乐路垃圾投放站点改造制作与安装-地址：广州市海珠区新港街道怡乐路-单位,新港街怡乐路垃圾投放站点改造制作与安装-地址：广州市海珠区新港街道怡乐路-数量,新港街怡乐路垃圾投放站点改造制作与安装-地址：广州市海珠区新港街道怡乐路-单价,新港街怡乐路垃圾投放站点改造制作与安装-地址：广州市海珠区新港街道怡乐路-合计
11.0,中转站-304不锈钢水景水箱,"长/宽/高
160cm*130cm*180cm",材料：pvc管道，304不锈钢。,项,1,8225,8225
12.0,中转站-屋面绿植,"长/宽/高
2240cm*50cm",材料：蔓藤植物,项,1,7500,7500
13.0,投放点-书柜式成品投放箱房（不含门）,"长/宽/高
620cm*130cm*220cm","材料：镀锌钢材、香槟金金属漆、面丝印文字。
工艺：镀锌钢材结构立骨，封包0.7厚镀锌铁皮，面喷汽车漆。
安装方法：成品预留立脚，现场吊装，水泥浇灌固定预埋脚。",组,3,86850,260550
14.0,投放点-定做轨道推拉门样式,"长/高
104cm*220cm","材料：镀锌钢材、金属漆、机括脚踩投放口、滑轨。
工艺：镀锌钢材结构立骨，封包0.7厚镀锌铁皮，面喷汽车漆。
安装方法：现场安装轨道，调试推拉滑轨滑动规制。",扇,15,4185,62775
15.0,投放点-洗手盆,"直径
60cm",材料：箭牌洗手盆（待定),项,3,1885,5655
16.0,投放点-给排水,多种,接驳洗手盆给排水，pvc管,项,3,1500,4500
17.0,桥底站点-钢结构框架,"长/宽
3600cm*850cm","材料：镀锌钢材、金属漆,
主框架梁100*100*2.0mm
屋顶框架40*40*1.5mm
镀锌方钢柱100*100*2.0mm
工艺：镀锌钢材结构立骨，面喷汽车漆。
安装方法：现场化学螺丝安装，安装高度离地5米",㎡,306,80,24480
18.0,桥底站点-铁丝网,"长/高
25cm*30cm","材料：铁丝网、面覆盖绝缘塑料。
工艺：点焊平铺
安装方法：现场化学螺丝安装，安装高度离地5米",㎡,287,55,15785
19.0,桥底站点-不锈钢花池,"长/高
25cm*30cm",材料：304不锈钢,m,108,110,11880
20.0,安装台班,中小型吊车,,项,4,3800,15200
21.0,运输,,,项,2,5500,11000
22.0,现场安装,,,工,55,380,20900
23.0,A,小计,,,,,691893
24.0,B,税9%,,,,,62270
,总计:A+B,总计:A+B,总计:A+B,总计:A+B,总计:A+B,总计:A+B,754163
,注明：此报价已含安装、调试、税、运输等费用。,注明：此报价已含安装、调试、税、运输等费用。,注明：此报价已含安装、调试、税、运输等费用。,注明：此报价已含安装、调试、税、运输等费用。,注明：此报价已含安装、调试、税、运输等费用。,注明：此报价已含安装、调试、税、运输等费用。,注明：此报价已含安装、调试、税、运输等费用。
