日期,新增用户,活跃用户,启动次数,新用户占比,次日留存率
45389,1377,12761,135835,0,0
45388,1227,12299,124410,0,0
45387,1165,12050,127795,0,0
45386,1207,12374,134098,0,0
45385,1198,12460,134860,0,0
45384,1153,12689,138455,0,0
45383,1164,12455,135018,0,0
45382,1123,12570,132406,0,0
45381,1159,12330,131439,0,0
45380,1172,12745,132607,0,0
45379,1122,12460,141157,0,0
45378,1098,12353,136620,0,0
45377,1165,12914,136245,0,0
45376,1089,12429,134920,0,0
45375,1111,13354,137178,0,0
45374,1087,12291,128474,0,0
45373,1094,12257,130290,0,0
45372,1064,12809,133462,0,0
45371,1111,12542,136629,0,0
45370,1072,12930,136684,0,0
45369,1062,12414,137127,0,0
45368,1118,12993,135036,0,0
45367,1181,12698,127481,0,0
45366,1132,12670,132819,0,0
45365,1091,13258,132429,0,0
45364,1019,12335,122308,0,0
45363,979,13042,123094,0,0
45362,1110,13216,136844,0,0
45361,976,12466,141736,0,0
45360,1058,12318,139315,0,0
45359,1029,12380,139803,0,0
45358,1051,12909,147960,0,0
45357,887,12149,140560,0,0
45356,913,12703,144791,0,0
45355,968,12372,146269,0,0
45354,982,13041,145680,0,0
45353,918,11789,133073,0,0
45352,984,12124,140062,0,0
45351,1065,12865,154012,0,0
45350,1018,12294,151043,0,0
45349,954,12419,149996,0,0
45348,916,12059,133032,0,0
45347,942,12484,140461,0,0
45346,804,11723,126908,0,0
45345,802,11311,122231,0,0
45344,806,11958,130546,0,0
45343,818,11754,131263,0,0
45342,783,12187,133750,0,0
45341,745,11712,129854,0,0
45340,800,11479,129401,0,0
45339,892,11815,132019,0,0
45338,785,11872,132553,0,0
45337,748,11803,135969,0,0
45336,747,12229,138338,0,0
45335,807,11859,141469,0,0
45334,732,11645,137270,0,0
45333,759,12116,139538,0,0
45332,855,12001,137931,0,0
45331,730,11798,132364,0,0
45330,828,12425,137783,0,0
45329,839,12288,139631,0,0
45328,771,13062,148556,0,0
45327,832,12181,145091,0,0
45326,850,12371,138025,0,0
45325,922,11907,139845,0,0
45324,876,11979,138275,0,0
45323,741,12331,145519,0,0
45322,713,11749,141527,0,0
45321,692,12146,139932,0,0
45320,760,11928,148969,0,0
45319,862,12654,156219,0,0
45318,873,12333,141053,0,0
45317,773,12622,143099,0,0
45316,833,12519,151378,0,0
45315,882,13187,151633,0,0
45314,827,12690,151806,0,0
45313,785,12490,144605,0,0
45312,921,12820,143509,0,0
45311,974,12417,138846,0,0
45310,909,12351,145098,0,0
45309,959,12933,150628,0,0
45308,896,12303,150551,0,0
45307,906,12821,145746,0,0
45306,971,12478,148407,0,0
45305,1116,12806,149668,0,0
45304,1100,12256,148254,0,0
45303,1006,12101,143679,0,0
45302,899,12331,144524,0,0
45301,929,12060,146418,0,0
45300,896,12394,144946,0,0
45299,887,12021,146291,0,0
45298,897,12318,144632,0,0
45297,749,11587,135264,0,0
45296,757,11563,143109,0,0
45295,792,12304,154234,0,0
45294,734,11783,149641,0,0
45293,751,11712,152019,0,0
45292,759,11644,143355,0,0
45291,755,12462,141540,0,0
45290,721,11292,135761,0,0
45289,733,11416,143837,0,0
45288,727,11944,157975,0,0
45287,691,11427,152285,0,0
45286,697,12070,142272,0,0
45285,822,12235,147821,0,0
45284,890,11853,141498,0,0
45283,946,11493,136357,0,0
45282,816,11868,129322,0,0
45281,807,11905,130749,0,0
45280,786,11902,134145,0,0
45279,801,11661,132856,0,0
45278,734,11394,132024,0,0
45277,757,11622,130386,0,0
45276,622,10721,125330,0,0
45275,655,10885,130043,0,0
45274,631,11497,138246,0,0
45273,640,11270,144291,0,0
45272,752,11617,170715,0,0
45271,662,11198,139039,0,0
45270,725,11441,138998,0,0
45269,739,10942,123073,0,0
45268,662,11005,125456,0,0
45267,685,11555,135429,0,0
45266,653,11055,127468,0,0
45265,685,11465,128713,0,0
45264,690,10965,125712,0,0
45263,810,11433,132397,0,0
45262,729,10648,121411,0,0
45261,693,11998,135122,0,0
45260,725,11432,136840,0,0
45259,700,11149,138155,0,0
45258,719,11699,140416,0,0
45257,806,11686,144455,0,0
45256,867,11937,135034,0,0
45255,860,11657,126317,0,0
45254,825,11564,128800,0,0
45253,816,12096,131109,0,0
45252,796,11444,128276,0,0
45251,856,11848,127932,0,0
45250,782,11184,126549,0,0
45249,775,11613,131850,0,0
45248,763,11085,125914,0,0
45247,696,11076,122034,0,0
45246,703,11834,136330,0,0
45245,671,11345,136120,0,0
45244,705,11804,135829,0,0
45243,725,11366,131264,0,0
45242,810,11808,139161,0,0
45241,729,11299,131343,0,0
45240,715,11266,129198,0,0
45239,727,11858,142323,0,0
45238,737,11139,133619,0,0
45237,684,11777,133794,0,0
45236,716,11104,133141,0,0
45235,699,11311,133303,0,0
45234,708,10844,127770,0,0
45233,737,11196,128104,0,0
45232,676,11490,142402,0,0
45231,580,11050,140838,0,0
45230,594,11175,134603,0,0
45229,595,10821,133517,0,0
45228,683,10762,134166,0,0
45227,666,10487,131331,0,0
45226,654,11499,145319,0,0
45225,678,11557,149833,0,0
45224,636,11389,146372,0,0
45223,715,11852,145987,0,0
45222,725,11563,141020,0,0
45221,791,12032,139286,0,0
45220,848,11876,141530,0,0
45219,836,12342,138042,0,0
45218,645,11822,144189,0,0
45217,616,11864,142602,0,0
45216,605,11505,141691,0,0
45215,652,11480,141608,0,0
45214,687,11477,140134,0,0
45213,730,12154,140447,0,0
45212,658,11599,138505,0,0
45211,683,12300,144842,0,0
45210,710,11641,144693,0,0
45209,780,12010,150117,0,0
45208,807,11651,138650,0,0
45207,810,11547,137602,0,0
45206,837,11513,140000,0,0
45205,788,11890,141878,0,0
45204,711,11511,138064,0,0
45203,596,11787,141940,0,0
45202,630,11819,141058,0,0
45201,698,11615,148440,0,0
45200,755,12185,148500,0,0
45199,798,11707,148028,0,0
45198,852,12127,145680,0,0
45197,786,12067,157054,0,0
45196,671,12198,158797,0,0
45195,734,11880,148213,0,0
45194,741,12853,151338,0,0
45193,684,11035,126031,0,0
45192,754,11464,142102,0,0
45191,716,12379,138845,0,0
45190,847,13069,149066,0,0
45189,836,12305,144592,0,0
45188,789,12008,140068,0,0
45187,844,12340,151403,0,0
45186,956,12925,151990,0,0
45185,1009,12467,153070,0,0
45184,967,13133,156586,0,0
45183,836,12412,155221,0,0
45182,767,12646,157235,0,0
45181,773,12298,158396,0,0
45180,835,12969,165100,0,0
45179,872,12442,160778,0,0
45178,937,12789,149831,0,0
45177,831,13171,154018,0,0
45176,854,12632,156514,0,0
45175,871,13665,160794,0,0
45174,916,12383,151636,0,0
45173,901,12391,151184,0,0
45172,972,12833,150634,0,0
45171,1030,12179,151239,0,0
45170,1050,13215,155555,0,0
45169,721,12147,151175,0,0
45168,808,12699,153570,0,0
45167,709,12087,149102,0,0
45166,727,12104,154976,0,0
45165,793,12903,158462,0,0
45164,867,12659,157291,0,0
45163,856,12824,159055,0,0
45162,897,13446,175723,0,0
45161,962,13343,162312,0,0
45160,945,12871,160996,0,0
45159,982,13085,169835,0,0
45158,974,13323,166425,0,0
45157,956,13024,168880,0,0
45156,971,14134,173587,0,0
45155,948,13215,179464,0,0
45154,881,13915,185838,0,0
45153,907,13382,179994,0,0
45152,951,13385,180964,0,0
45151,858,13503,171285,0,0
45150,937,13296,179702,0,0
45149,1064,14400,190964,0,0
45148,1026,13650,193520,0,0
45147,1183,13960,199019,0,0
45146,1267,14103,206064,0,0
45145,1113,13006,180987,0,0
45144,1037,12653,175204,0,0
45143,1095,13667,183207,0,0
45142,1043,12823,176795,0,0
45141,950,13562,186661,0,0
45140,904,12697,190736,0,0
45139,885,13387,191291,0,0
45138,920,12736,194075,0,0
45137,890,13350,185022,0,0
45136,884,12963,172572,0,0
45135,953,13363,184098,0,0
45134,887,12896,189156,0,0
45133,942,13731,182245,0,0
45132,964,13764,189054,0,0
45131,1058,13755,190633,0,0
45130,1082,14028,193465,0,0
45129,1072,14641,192044,0,0
45128,1151,14148,193033,0,0
45127,1117,14670,193327,0,0
45126,1137,14099,195831,0,0
45125,1150,15351,197819,0,0
45124,1224,14222,187805,0,0
45123,1322,14134,184068,0,0
45122,1223,14398,186774,0,0
45121,1244,13994,183609,0,0
45120,1232,14661,188335,0,0
45119,1038,13810,187375,0,0
45118,1067,14453,195079,0,0
45117,1067,13928,197316,0,0
45116,1111,14484,193578,0,0
45115,1101,13890,188601,0,0
45114,1159,14803,192620,0,0
45113,1217,14058,192344,0,0
45112,1277,14662,195280,0,0
45111,1392,13990,186894,0,0
45110,1477,13938,192108,0,0
45109,1512,14193,193525,0,0
45108,1392,13297,179565,0,0
45107,1338,13396,177191,0,0
45106,1005,13380,169969,0,0
45105,817,12267,164585,0,0
45104,971,13486,179129,0,0
45103,1028,12650,184479,0,0
45102,1047,12781,188535,0,0
45101,963,13355,170463,0,0
45100,926,12638,169982,0,0
45099,963,12706,178888,0,0
45098,1062,13397,174647,0,0
45097,1013,13644,177837,0,0
45096,1047,12946,173833,0,0
45095,1011,14168,179807,0,0
45094,1026,12866,170524,0,0
45093,1018,13142,174021,0,0
45092,997,13375,177257,0,0
45091,959,12899,175425,0,0
45090,920,13250,178183,0,0
45089,818,12855,181024,0,0
45088,826,12911,173824,0,0
45087,923,13276,173173,0,0
45086,864,12914,177840,0,0
45085,929,13372,184664,0,0
45084,948,13152,174313,0,0
45083,1045,12758,172668,0,0
45082,1046,12872,167761,0,0
45081,1129,13520,176421,0,0
45080,1009,12579,168840,0,0
45079,938,13196,171602,0,0
45078,873,12373,172700,0,0
45077,818,12368,167512,0,0
45076,933,13056,169449,0,0
45075,831,12405,170852,0,0
45074,845,12475,171981,0,0
45073,960,13608,168126,0,0
45072,946,13807,167012,0,0
45071,861,13333,179126,0,0
45070,941,13927,172726,0,0
45069,981,13436,178090,0,0
45068,928,13193,161617,0,0
45067,1097,13567,161006,0,0
45066,1098,14245,157165,0,0
45065,1251,14538,160165,0,0
45064,1043,13631,159890,0,0
45063,979,14328,161863,0,0
45062,1087,13713,163964,0,0
45061,1023,13915,162447,0,0
45060,1178,14500,162482,0,0
45059,1172,13760,155406,0,0
45058,1507,15278,172657,0,0
45057,1199,14924,185321,0,0
45056,972,14034,165151,0,0
45055,913,14577,165187,0,0
45054,943,14221,169234,0,0
45053,1056,14212,162308,0,0
45052,1183,15389,172472,0,0
45051,1359,15282,176059,0,0
45050,1400,14966,175788,0,0
45049,1175,16290,182021,0,0
45048,1422,15192,181829,0,0
45047,1391,15988,186978,0,0
45046,1564,15187,178126,0,0
45045,1529,15709,187559,0,0
45044,1422,16337,189606,0,0
45043,1520,16768,207126,0,0
45042,1655,16154,197994,0,0
45041,1720,16930,197220,0,0
45040,1586,16141,186168,0,0
45039,1616,15914,183408,0,0
45038,1153,15792,177763,0,0
45037,968,14666,167099,0,0
45036,1233,16151,192189,0,0
45035,1272,16435,191036,0,0
45034,1325,16442,193974,0,0
45033,1376,16419,197697,0,0
45032,1281,16770,194887,0,0
45031,1529,16803,193592,0,0
45030,1582,16585,199456,0,0
45029,1488,17599,208039,0,0
45028,1529,17069,207128,0,0
45027,1469,17311,209706,0,0
45026,1650,16944,204979,0,0
45025,1589,17499,205678,0,0
45024,1602,16751,202903,0,0
45023,1707,17103,200993,0,0
45022,1565,17781,214340,0,0
45021,1398,17048,208384,0,0
45020,1406,17525,213188,0,0
45019,1479,16931,212671,0,0
45018,1445,17478,213762,0,0
45017,1484,16918,205916,0,0
45016,1391,16711,201293,0,0
45015,1294,17735,210092,0,0
45014,1243,16724,206440,0,0
45013,1309,17836,210839,0,0
45012,1368,17253,208767,0,0
45011,1401,18360,210581,0,0
45010,1487,18079,198488,0,0
45009,1470,17855,187856,0,0
45008,1649,19095,203842,0,0
45007,1186,17166,196513,0,0
45006,1239,16682,199360,0,0
45005,1294,16732,199723,0,0
45004,1372,17441,204683,0,0
45003,1443,17184,202591,0,0
45002,1407,17332,212832,0,0
45001,1439,17946,212959,0,0
45000,1361,17582,215365,0,0
44999,1328,16981,200731,0,0
44998,1364,16729,213308,0,0
44997,1459,17550,209294,0,0
44996,1430,16702,203583,0,0
44995,1374,16565,199948,0,0
44994,1405,18079,219765,0,0
44993,1454,16973,218122,0,0
44992,1279,17260,219933,0,0
44991,1227,16545,211342,0,0
44990,1149,17707,207367,0,0
44989,1119,16247,196022,0,0
44988,1068,16962,198295,0,0
44987,1100,16666,205403,0,0
44986,1104,16609,214611,0,0
44985,1083,17183,218852,0,0
44984,1068,16397,211195,0,0
44983,1196,17398,213026,0,0
44982,1206,16764,206936,0,0
44981,1160,16659,201986,0,0
44980,1112,15918,200148,0,0
44979,1180,16969,213569,0,0
44978,1190,17800,215472,0,0
44977,1246,17158,217978,0,0
44976,1231,17078,213161,0,0
44975,1220,17495,205555,0,0
44974,1250,16823,205262,0,0
44973,1199,17480,219169,0,0
44972,1116,16712,208742,0,0
44971,1111,17173,204915,0,0
44970,1055,16486,204351,0,0
44969,1093,16762,202453,0,0
44968,1256,16249,199153,0,0
44967,1159,16251,193552,0,0
44966,1070,17292,213750,0,0
44965,1007,16247,200350,0,0
44964,1078,17232,210859,0,0
44963,1147,16771,220033,0,0
44962,1208,17047,214690,0,0
44961,1252,16820,209316,0,0
44960,1216,16659,205844,0,0
44959,1194,17985,223019,0,0
44958,1097,16891,215917,0,0
44957,1134,18344,222968,0,0
44956,1030,16750,207919,0,0
44955,1170,16839,212736,0,0
44954,1328,16743,204937,0,0
44953,1148,16760,200100,0,0
44952,1183,18195,226353,0,0
44951,1480,19025,233405,0,0
44950,1683,18901,236052,0,0
44949,1684,19542,241884,0,0
44948,1617,18497,235336,0,0
44947,1825,19141,237332,0,0
44946,1842,17936,215604,0,0
44945,1582,18861,236285,0,0
44944,1369,18041,231859,0,0
44943,1484,18600,239203,0,0
44942,1464,18372,242790,0,0
44941,1435,17845,226322,0,0
44940,1447,18027,222851,0,0
44939,1387,17370,214783,0,0
44938,1350,17952,226096,0,0
44937,1481,17534,225766,0,0
44936,1443,17188,224587,0,0
44935,1370,16965,222506,0,0
44934,1415,16557,214668,0,0
44933,1393,16300,207123,0,0
44932,1443,16275,197407,0,0
44931,1370,17246,208718,0,0
44930,1162,16381,217116,0,0
44929,1086,16292,207692,0,0
44928,1064,16053,213464,0,0
44927,1078,16104,209263,0,0
44926,1092,15950,191631,0,0
44925,1027,16294,194496,0,0
44924,1055,16527,213340,0,0
44923,1000,16562,219227,0,0
44922,1080,17161,218684,0,0
44921,1131,17050,219976,0,0
44920,1180,17310,211870,0,0
44919,1311,17448,215844,0,0
44918,1200,17250,205828,0,0
44917,1290,18371,213141,0,0
44916,1161,17480,210483,0,0
44915,1254,17544,211124,0,0
44914,1142,16622,198554,0,0
44913,1277,17506,213430,0,0
44912,1360,17522,209573,0,0
44911,1241,18487,214822,0,0
44910,1108,17480,213827,0,0
44909,1144,17388,212726,0,0
44908,1154,17463,215435,0,0
44907,1147,17417,220707,0,0
44906,1157,17009,213413,0,0
44905,1308,17116,210103,0,0
44904,1333,18567,220361,0,0
44903,1410,18360,225230,0,0
44902,1256,17681,223245,0,0
44901,1433,18176,223506,0,0
44900,1527,18516,232880,0,0
44899,1549,18230,239670,0,0
44898,1432,18410,217516,0,0
44897,1311,17407,208460,0,0
44896,1201,17310,208858,0,0
44895,1276,17731,219613,0,0
44894,1268,17678,220789,0,0
44893,1285,17799,225286,0,0
44892,1293,18314,225576,0,0
44891,1230,17119,200748,0,0
44890,1244,17456,209223,0,0
44889,1265,18384,213403,0,0
44888,1270,16923,200920,0,0
44887,1269,17157,201561,0,0
44886,1444,18248,214363,0,0
44885,1549,18254,216645,0,0
44884,1655,19636,227427,0,0
44883,1697,18931,224803,0,0
44882,1676,19364,227429,0,0
44881,1337,18963,230290,0,0
44880,1397,18633,226724,0,0
44879,1231,18287,224001,0,0
44878,1250,18309,228603,0,0
44877,1343,18495,214303,0,0
44876,1241,19353,228459,0,0
44875,1185,18862,230599,0,0
44874,1248,19010,233382,0,0
44873,1159,18771,230561,0,0
44872,1180,18606,232024,0,0
44871,1228,18995,235465,0,0
44870,1412,20382,224849,0,0
44869,1364,19782,235286,0,0
44868,1300,19787,237849,0,0
44867,1254,19497,247193,0,0
44866,1259,19493,236877,0,0
44865,1218,19392,237091,0,0
44864,1269,19167,235874,0,0
44863,1479,19575,247387,0,0
44862,1446,20075,252546,0,0
44861,1235,20862,249162,0,0
44860,1376,20478,262201,0,0
44859,1395,20736,260956,0,0
44858,1443,20547,252485,0,0
44857,1475,20843,263642,0,0
44856,1670,21785,260485,0,0
44855,1673,21392,253043,0,0
44854,1342,20764,266139,0,0
44853,1378,20827,257048,0,0
44852,1373,20639,256744,0,0
44851,1535,21002,255225,0,0
44850,1547,20798,252931,0,0
44849,1543,22142,254039,0,0
44848,1479,21513,258162,0,0
44847,1408,21592,260110,0,0
44846,1305,20996,256414,0,0
44845,1327,20960,260004,0,0
44844,1354,21102,271808,0,0
44843,1524,21224,261064,0,0
44842,1628,21603,261480,0,0
44841,1517,21935,255700,0,0
44840,1340,21455,269928,0,0
44839,1332,22251,271226,0,0
44838,1381,21418,269484,0,0
44837,1463,21394,263758,0,0
44836,1587,21664,271403,0,0
44835,1708,22361,280507,0,0
44834,1657,23504,273214,0,0
44833,1360,21909,269311,0,0
44832,1351,21728,272632,0,0
44831,1470,22035,291005,0,0
44830,1532,22255,285900,0,0
44829,2331,22862,276181,0,0
44828,2060,21515,250945,0,0
44827,2192,23614,277454,0,0
44826,1954,24209,282184,0,0
44825,2138,25008,289948,0,0
44824,2138,23981,277201,0,0
44823,2351,24031,273568,0,0
44822,1840,23665,272613,0,0
44821,2071,25294,276456,0,0
44820,2118,24832,269252,0,0
44819,1790,24240,280094,0,0
44818,1734,24150,276905,0,0
44817,1896,24484,282744,0,0
44816,1973,24508,283265,0,0
44815,1938,24838,291559,0,0
44814,2307,27001,294117,0,0
44813,2226,25942,291838,0,0
44812,2138,25820,290010,0,0
44811,1921,25069,286020,0,0
44810,1851,24951,281707,0,0
44809,1859,25018,287777,0,0
44808,2017,24991,287041,0,0
44807,2227,26234,300075,0,0
44806,1956,27448,311494,0,0
44805,1743,25873,310383,0,0
44804,1989,26285,309436,0,0
44803,2141,26449,310512,0,0
44802,2117,26728,313086,0,0
44801,2193,26593,307429,0,0
44800,2361,27266,310288,0,0
44799,2284,29060,321963,0,0
44798,2368,28838,330195,0,0
44797,2383,28814,337919,0,0
44796,2347,28855,329325,0,0
44795,2560,29544,338237,0,0
44794,2588,29893,349238,0,0
44793,2500,30119,345666,0,0
44792,2435,31367,342343,0,0
44791,2646,30776,344388,0,0
44790,2610,30214,342280,0,0
44789,2566,30210,342959,0,0
44788,2637,30397,347228,0,0
44787,2564,30202,349652,0,0
44786,2549,30169,337560,0,0
44785,2613,30489,345091,0,0
44784,2652,32001,363646,0,0
44783,2736,30933,366073,0,0
44782,2693,31643,370195,0,0
44781,2871,31510,373714,0,0
44780,3193,31639,374298,0,0
44779,3154,31304,358047,0,0
44778,2965,31122,357396,0,0
44777,2768,31709,359177,0,0
44776,2893,33032,379938,0,0
44775,2765,31406,374505,0,0
44774,3038,31572,361965,0,0
44773,2848,31905,361260,0,0
44772,3175,31828,355416,0,0
44771,3292,32284,365003,0,0
44770,3209,33616,383234,0,0
44769,3441,33277,396818,0,0
44768,3538,34084,375958,0,0
44767,3577,33840,377552,0,0
