分类,同学,成功愿望,权力动机,竞争性,说服的,决断的,活力,创新的,求知欲,洞察的,批判的,前瞻性,理性的,乐观的,自我肯定的,寻求变化的,情绪稳定性,抗压性,适应性,乐群性,同理心,支持性,信任的,开放性,谦虚的,责任感,审慎的,条理性,规范的,独立性,意志力
营销,38号,4,7,8,10,4,6,4,5,8,4,7,6,4,8,7,6,7,5,6,6,5,8,6,7,2,4,2,3,4,8
营销,39号,7,4,6,4,2,9,2,2,4,3,8,8,7,6,3,5,6,6,5,4,6,7,8,8,7,9,9,6,2,7
营销,40号,5,2,2,3,4,4,5,6,6,4,9,5,10,3,6,7,4,5,4,8,8,10,10,7,8,8,6,5,4,3
营销,41号,5,6,5,5,7,5,5,3,5,3,8,5,7,6,5,8,10,7,4,3,6,6,5,6,6,4,4,4,6,9
营销,42号,9,7,10,10,5,2,7,6,6,8,5,8,6,8,8,5,5,5,6,4,2,2,6,2,2,6,2,4,9,5
营销,43号,7,8,6,6,7,4,9,6,10,5,7,9,6,8,5,4,4,7,3,2,3,3,2,4,5,5,5,4,7,8
营销,44号,9,10,10,10,8,4,8,8,6,4,6,5,3,3,8,6,10,3,4,2,2,3,4,4,2,4,3,3,7,9
营销,45号,5,3,4,4,3,6,6,6,9,7,6,5,2,2,5,6,10,6,6,5,7,5,6,3,8,6,7,2,10,10
营销,46号,7,8,7,5,9,6,9,9,9,10,9,7,2,5,4,4,2,2,2,3,3,2,2,7,3,5,6,4,8,9
营销,47号,2,2,3,7,6,4,5,3,6,4,4,6,2,2,5,9,2,8,9,9,9,6,8,9,8,6,9,7,7,2
营销,48号,5,2,5,4,2,5,3,2,2,2,6,2,7,5,3,4,6,7,8,8,9,10,9,6,9,8,7,9,7,5
