1989,616511,327015,266337,6274,49047,5357,289496,,,
1990,428522,341719,274898,8660,53152,5009,86803,,,
1991,483200,375230,293951,13681,63430,4168,107970,,,
1992,778140,433752,330729,18598,79452,4973,344388,,,
1993,728586,420360,292058,23834,96748,7720,308226,,,
1994,962927,587011,371013,40640,168470,6888,375916,,,
1995,1395007,816101,460278,77503,270177,8143,578906,,,
1996,1616394,918298,449683,130565,331035,6339,698096,,,
1997,1753631,1085888,483895,185156,410664,6173,667743,,,
1998,1661740,1034705,458607,172262,396013,7823,627035,,,
1999,1827094,1157909,541405,218625,394880,2999,669185,,,
2000,2498998,1552905,746563,293008,507050,6284,946093,,,
2001,2896313,1812899,913253,310013,579125,10508,1083414,,,
2002,3394175,2111511,1089063,341530,669958,10960,1282664,,,
2003,4465752,2657285,1400709,392861,845249,18466,1808467,,,
2004,6078136,3587286,1799792,483369,1252126,51999,2490850,,,
2005,7688876,4625113,2310122,594991,1668351,51649,3063763,,,
2006,9528817,5864717,3013461,655916,2083042,112298,3664100,,,
2007,12261798,7524374,3800924,679014,2863332,181104,4737424,,,
2008,15814480,9317486,4739880,722044,3573434,282128,6496994,,,
2009,13860378,7956530,3637582,697915,3296132,324901,5903848,,,
2010,18895085,10424695,4973019,750340,4230872,470464,8470390,,,
2011,23599191,12578809,6466907,842878,4737751,531273,11020382,,,
2012,24554487,12873171,6875045,867657,4566215,564254,11681316,,,
2013,26715854,13450998,7603966,866031,4392892,588109,13264856,,,
2014,27711549,14474545,8373918,802064,4734553,564010,13237004,170087932,88887448,81200484
2015,24174867,14406069,9042024,739933,4183875,440237,9768798,149479758,89447127,60032631
2016,23420733,13715826,8653875,716557,3904404,440990,9704906,154765718,90479435,64286283
2017,26305670,14710207,9428956,651868,4151643,477739,11595464,179218608,99595830,79622779
2018,29239097,16013984,11047764,601424,3918203,446592,13225113,193029198,105679507,87349691
2019,29628464,16143995,11256710,605165,3496008,786112,13484469,204710221,111303704,93406517
2020,31844703,18903512,13853845,497612,3466764,1085291,12941191,221303206,130470685,90832521
2021,45386886,27184375,19567326,553192,4257732,2806124,18202512,282959900,166171752,116788148
2022,48124178,28807650,20730233,671168,4915525,1422821,19316527,320887772,192193461,128694311
2023,46438326,27616130,20002902,667976,4651984,1169356,18822195,326659036,194285981,132373055
