附件2-平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-序号-序号-序号-序号,附件2-平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-项目名称-项目名称-项目名称-项目名称,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-建设性质（新建或续建）-建设性质（新建或续建）-建设性质（新建或续建）-建设性质（新建或续建）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-建设起止年限-建设起止年限-建设起止年限-建设起止年限,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-建设地点（以乡镇为单位细化到村）-建设地点（以乡镇为单位细化到村）-建设地点（以乡镇为单位细化到村）-建设地点（以乡镇为单位细化到村）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-建设内容与规模-建设内容与规模-建设内容与规模-建设内容与规模,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-投资估算（万元）-投资估算（万元）-投资估算（万元）-投资估算（万元）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-筹资方式（资金来源）-筹资方式（资金来源）-筹资方式（资金来源）-筹资方式（资金来源）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-项目效益情况-项目效益情况-项目效益情况,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-利益联结机制（联农带农机制）-利益联结机制（联农带农机制）-利益联结机制（联农带农机制）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益村数（个）-受益村数（个）-脱贫村,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益村数（个）-受益村数（个）-其他村,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益户数（万户）-受益户数（万户）-小计,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益户数（万户）-受益户数（万户）-脱贫户（含监测对象）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益户数（万户）-受益户数（万户）-其他农户,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益人数（万人）-受益人数（万人）-小计,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益人数（万人）-受益人数（万人）-脱贫人口数（含监测对象）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益人数（万人）-受益人数（万人）-其他人口数,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-项目主管单位-项目主管单位-项目主管单位-项目主管单位,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-项目实施单位-项目实施单位-项目实施单位-项目实施单位,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-入库时间-入库时间-入库时间-入库时间,备注-备注-备注-备注
6,共和镇老庄村反季节蔬菜种植项目,新建,2025.3-2025.10,老庄村,维修庙河塑料大棚32座，种植蔬菜。,80,"衔接
资金",大棚由老庄村股份经济合作社经营，计划种植辣椒、西红柿等蔬菜发展村集体经济，改善村级条件，助力乡村振兴。,,,1,0,0,0,0,0,0,发改局,共和镇,2024,提升一批
7,养殖补助项目,新建,2025.3-2025.10,"7个乡镇61
个村","1.脱贫户（监测户）养殖补贴标准。对全区脱贫户（监测户）饲养的6月龄以上母牛（包括牦牛）、母驴给予一次性补贴，每头补贴500元；对全区脱贫户（监测户）饲养的6月龄以上母羊给予一次性补贴，每只补助100元。脱贫户（监测户）从取得省级或市级种畜禽生产经营许可证的种牛场或种驴场引进10月龄以上的母牛（包括牦牛）或母驴，每头肉牛或黑毛驴补贴3000元，每户最多补贴10头，每头牦牛补贴1000元，每户最多补贴30头；从取得省级或市级种畜禽生产经营许可证的种羊场引进6月龄以上的母羊或奶山羊进行补贴，每只补贴500元，每户最多补贴60只。
2.一般农户养殖补贴标准。一般农户从取得省级或市级种畜禽生产经营许可证的种牛场或种驴场引进10月龄以上的母牛（包括牦牛）或母驴，每头肉牛或黑毛驴补贴3000元，每户最多补贴10头，每头牦牛补贴1000元，每户最多补贴30头；从取得省级或市级种畜禽生产经营许可证的种羊场引进6月龄以上的母羊或奶山羊进行补贴，每只补贴500元，每户最多补贴60只。
3.奶牛养殖补贴标准。对全区奶牛存栏100头以下的养殖户饲养的泌乳奶牛给予一次性补贴，每头补贴1000元。
脱贫户（监测户）饲养母畜及农户奶牛养殖补贴每户当年累计补贴资金不超过1万元。以上3项补贴政策每户当年累计补贴资金不超过3万元。本年度实施庭院经济补贴项目的农户不得重复实施养殖补贴项目。。",650,"衔接
资金",牛羊产业规模不畜牧产业规模不断扩大，发展活力持续增强，农户特别是脱贫人口和监测对象参与牛羊黑毛驴等畜牧生产经营，内生动力进一步激发，自我发展能力不断增强，农户通过养殖业获得的收入持续增加。,,15,46,0,0,0,1,1,0,"农业
农村局","畜牧
中心",2024,
8,农业经营主体联农带农奖补,新建,2025.1-2025.12,"7个
乡镇",通过订单生产、托养托管、技术服务等方式带动50户以上农户深度参与生产经营，且吸纳本地农村劳动力务工就业10名以上的（其中脱贫户和监测对象要占务工总人数的40%）予以奖补：每吸纳1名农村劳动力务工就业累计达到3个月以上，且按时足额支付劳动报酬的，给予农业经营主体不高于3000元的一次性奖补，累计最高奖补额度不得超过50万元，奖补资金要继续用于农业生产发展。,75,"衔接
资金",持续扩大农业生产发展，持续增加农户收入。,,2,6,0,0,0,0,0,0,"农业
农村局",产业股,2024,
9,农产品品牌培育项目,,2024.1-2025.12,"7个
乡镇",对年度内新认证的绿色食品“甘味”品牌目录的企业每个补助2万元。对申报并成功入选其他官方平台农产品品牌的企业或个体每个补贴2万元。,20,"衔接
资金",提高企业认证三品一标产品的积极性，提高品牌知名度，提升产品价值。,,15,46,1,0,1,4,0,4,"农业
农村局",质监站,2024,
10,农产品品牌宣传推广项目,,2024.1-2025.12,"7个
乡镇",1.组织全区农业生产企业或个体参积极加全国绿色食品博览会、农产品交易展销会、兰洽会、甘味品牌产品发布会等展会，对参会企业给与食宿和交通费用补贴，并设置积极参与奖、最受欢迎农产品奖和最畅销产品奖，对获奖企业或个人分别奖励1万元。2.举办全区农民丰收节、全区特色农产品专场宣传推广等大型展会，开展农产品进商超、住宅小区、车站等宣传推广活动，并通过国家主流媒体或印发宣传册推广宣传“平川味道”和“富硒产品”等农产品商标品牌。3.支持和鼓励农业企业主体、合作社、乡村能人参加产品研发、包装设计等各类技能比赛，并对获奖单位或个人进行奖励，单个奖项资金不超过2万元。,30,"衔接
资金",提高“平川味道”“富硒产品”商标品牌知名度和美誉度，促进产品销售，解决产品卖难问题。,,15,46,1,0,1,4,0,4,"农业
农村局",质监站,2024,
11,农产品产（电商）销对接项目,,2024.1-2025.12,区内、区外,1.整合全区优质农产品，打造“平川味道”“甘味”农产品网络销售平台（小程序或APP开发），形成从农资配套到生产收购到销售配送的闭合链条，实现线上和线下同步销售，在实体展厅搭建、运营团队建设、设备配套等方面给予补贴。2.对区内具有带货能力的电商企业给予物流快递费用补助。3.对直播带货达人（带货交易额达到100万元以上）给予与奖励。4.对选用当地黑驴肉、山羊肉或特色原材料作为食材新开设平川黑驴肉、平川山羊肉等特色餐饮的门店，每个给予2万元补助。,50,"衔接
资金",促进全区农产品销售，解决销售难或滞销问题。,,15,46,1,0,1,4,0,4,"农业
农村局",质监站,2024,
12,平川区粮油单产提升丰产方创建项目,新建,2025.2-2025.12,"7个
乡镇",1.创建粮油单产提升丰产方实施面积2万亩，每亩补贴100元.2.选择优良品种（小麦、玉米、大豆、马铃薯、小杂粮为重点）在全区每个行政村至少建立百亩以上集成“五良”（良种、良田、良法、良机、良制）配套的粮油丰产方1处，形成村有示范方，乡镇有示范片，由点到面，串点成片，整区域推动，力争丰产方粮油作物单产增幅。3.加强规模化种植经营主体培育，突出区域优势，优化作物布局，科学搭配品种，集成技术应用，落实绿色防控，明确重点作物的技术路径，努力提升主要粮油作物单产水平。,200,"衔接
资金",扶持15个脱贫村126户498人，其他村46个531户2194人开展标准化示范种植，带动40个村集体经济和合作社，带动连篇农户13000余户。,,15,46,2,0,1,5,2,3,"农业
农村局","农技
中心",2024,
⑵,庭院经济,,,,,50,,,,,,,,,,,,,,,
1,庭院经济补贴,新建,2025.3-2025.10,"7个
乡镇",根据省乡村振兴局、省农业农村厅《关于鼓励引导脱贫地区高质量发展庭院经济的实施意见》要求，扶持以脱贫户、监测户为重点，发展庭院特色种植、特色养殖、特色手工、特色休闲旅游和生产生活服务，对食用菌、苹果、葡萄、大枣、桃、文冠果、林木花卉、园艺盆栽等特色作物；养殖鸡、鸭、鸽、兔、蜜蜂、黑毛驴、育肥猪、肉羊、肉牛等家禽（畜）；农产品（面粉、食用油等）、食品（馒头、面条、糕点、凉粉、面皮、豆腐、粉条、醋等）加工制作；发展特色民宿、家庭旅馆、休闲农庄、农家乐、小型采摘园等和开办小超市（小卖部）、小餐饮（小吃）、小菜店（摊）、理发店、修理店等生活性服务业进行奖补，达到奖补标准并验收合格后给予补贴。,50,"衔接
资金",脱贫人口和监测对象参与发展庭院经济，内生动力进一步激发，自我发展能力不断增强，通过庭院经济获得的收入持续增加。,,15,46,1,0,1,3,1,3,"农业
农村局",产业股,2024,
⑶,加工业,,,,,280,,,,,,,,,,,,,,,
1,农产品产地加工类项目,新建,2025.3-2025.10,水泉镇,依托农产品产地冷藏保鲜设施，安装清选分级、分割包装机械两套，完成农产品初加工，提高老产品冷藏保鲜设施综合利用率，推动构建农业全产业链，提升农产品附加值。依托农业经营主体建设运营的项目，衔接资金投资额占总投资的30%；衔接资金投入形成能够单独可靠计量的经营性固定资产，固定资产确权至农村集体经济组织，由农村集体经济组织与农业经营主体签订规范的租赁合同，明确资产租赁收益率。,80,"衔接
资金",完成农产品初加工，提高老产品冷藏保鲜设施综合利用率，推动构建农业全产业链，提升农产品附加值。,通过本项目的实施，可间接带动群众参与劳动就业，增加务工收入。同时增加村集体经济收入。,5,14,0,0,0,1,0,1,"农业
农村局",产业股,2024,提升一批
2,复兴乡农产品加工建设项目,新建,2025.3-2025.10,复兴乡,在复兴小区南面新建农产品加工车间一座，用于存放、加工金银花、文冠果、西葫芦等特色产业，厂房为彩钢结构，占地面积为300平方米，并配备中型烘干机两台。资产归村集体所有，村上通过收取承包费用增加村集体收益。（村集体收益分配比例不低于5%）。,50,"衔接
资金",稳步推进农业种植结构转变，夯实示范引领特色产业发展，带动群众扩大种植规模，延长产业链。,项目实施后，可吸纳当地群众和安置区群众务工岗位20余个，预计人均增收1500元。,5,2,0,0,0,0,0,0,发改局,复兴乡,2024,提升一批
3,种田乡北庄村小杂粮加工基地建设项目,新建,2025.3-2025.10,北庄村,"建成面粉加工车间1个，杂粮挂面车间1个，油料加工车间1个。衔接资金投资额占总投资的30%；衔接资金投入形成能够单独可靠计量的经营性固定资产，固定资产确权至农村集体经济组织，由农村集体经济组织与农业经营主体签订规范的租赁合同，明确资产租赁收益率。
。",150,"衔接
资金",解决种田乡小杂粮深加工难题。,项目实施后，可解决群众小杂粮收购问题，同时吸纳当地群众务工18余个，预计人均收入2000元。,1,5,0,0,0,0,0,0,"农业
农村局",种田乡,2024,提升一批
⑶,村集体经济发项目,,,,,1560,,,,,,,,,,,,,,,
1,"宝积镇小川村烘干车间建
设项目",新建,2025,小川村,场地硬化1500㎡，新建储粮仓库1处，配套烘干塔等设施。资产归村集体所有，村上通过收取承包费用增加村集体收益。（村集体收益分配比例不低于5%）。,260,"衔接
资金",解决周边12000亩农作物储存问题。,,1,,0,0,0,0,0,0,"农业
农村局",宝积镇,2024,提升一批
2,水泉镇粮食烘干存储基础设施建设项目,新建,2025.3-2025.10,牙沟水村,建设占地133200平方米的玉米烘干场地，安装160吨/日(30个水以下)混流烘干塔1座、200吨/日(30个水以下)混流烘干塔1座、配套换热式热风炉2台、120吨地中衡1个、清选机1台、脱粒机3台、装载机2台、15米输送机5台及电力设施，建设300吨的粮囤6个。,700,"衔接
资金",带动农户劳动力、增加村集体经济收入,,,1,0,0,0,0,0,0,"农业
农村局",水泉镇,2024,提升一批
3,种田乡五星村肉牛繁殖养殖基地建设项目,新建,2025.3-2025.10,五星村,新建养殖基地6000平方米，饲料加工车间1间，草料库1间，圈舍15座，存栏300头。资产归村集体所有，村上通过收取承包费用增加村集体收益。（村集体收益分配比例不低于5%）。,200,"衔接
资金",该项目建成后、提升牲畜养殖能力、美化村容村貌、增加村民收入,,,1,0,0,0,0,0,0,"农业
农村局",种田乡,2024,巩固一批
4,村集体经济发展项目,新建,2025.1-2025.12,"小水村
牙沟水村
水泉村
井尔川村",在共和镇小水村、水泉镇牙沟水村、水泉镇水泉村、王家山镇井尔川4个村发展文冠果产业，每个村种植文冠果200亩以上。资产归村集体所有，村上通过收取承包费用增加村集体收益。（村集体收益分配比例不低于5%）。,400,"衔接
资金",扶持带动当地经济发展，改善群众生产生活条件。,项目实施后，可增加农户及村集体经济收入。,,4,0,0,0,0,0,0,"农业
农村局",相关乡镇,2024,
㈡,"配套基础
设施",,,,,7348,,,,,,,,,,,,,,,
⑴,小型农田水利设施,,,,,6921,,,,,,,,,,,,,,,
1,水泉镇砂流水村高效节水灌溉项目供水管线建设工程,续建,2025.3-2025.10,"砂流
水村",埋设螺旋焊管DN250引水管线5901米、PE250引水管线300米，配套镇支墩42座、检查井4座、排水井3座，排气井3座；新建取水前池1座，提水泵房1座。,278,"衔接
资金",补充水源工程，确保已经高标准农田能够顺利通水，发挥效益。,,,1,0,0,0,0,0,0,"农业
农村局",水泉镇,2024,
2,水泉镇砂流水村高效节水灌溉项目蓄水池建设工程,续建,2025.3-2025.10,"砂流
水村",新建3万立方米蓄水池1座，泵房1座，埋设PE200供水管道1195.95米，配套镇支墩8座、检查井2座、排水井1座。,327,"衔接
资金",补充水源工程，确保已经高标准农田能够顺利通水，发挥效益。,,,1,0,0,0,0,0,0,"农业
农村局",水泉镇,2024,
3,"水泉镇旱平川村玉米种植高效节水灌溉
项目",新建,2025.3-2025.10,旱平川村,"建设蓄水池10000m³,铺设PE管材DN160（1.0Mpa）共计5200m，PE90（0.25Mpa）共计4000m；闸阀井2座，检查井13座，排水井10座，设备房1座，首部系统1套。",300,"衔接
资金",减少水资源浪费，增加群众产业收入,,,1,0,0,0,0,0,0,"农业
农村局",水泉镇,2024,
4,"水泉镇砂流水村渠道衬砌
项目",新建,2025.3-2025.10,砂流水村,衬砌U50渠道1180米，分水闸68个。,19,,解决灌溉面积500亩。,,,1,0,0,0,0,0,0,"农业
农村局",水泉镇,2024,
5,水泉镇丰源村玉米种植高效节水灌溉项目,新建,2025.3-2025.10,丰源村,"建设蓄水池5000m³,铺设PE管材DN160（1.0Mpa）共计3200m，PE软管φ90（0.25Mpa）共计2500m；闸阀井2座，检查井6座，排水井8座，设备房1座，首部系统1套。",210,"衔接
资金",减少水资源浪费，增加群众产业收入,,,1,0,0,0,0,0,0,"农业
农村局",水泉镇,2024,
6,水泉镇牙沟水村高效节水灌溉项目,新建,2025.3-2025.10,"牙沟
水村",平整土地600亩，蓄水池5000立方米，铺设管网5.7公里,180,,减少水资源浪费，增加群众产业收入,,,1,0,0,0,0,0,0,"农业
农村局",水泉镇,2024,
7,"水泉镇牙沟水村玉米种植灌溉管道建设
项目",新建,2025.3-2025.10,牙沟水村,铺设100级Ф315PE管1881m，100级Ф200PE管420m，检查井2座。,105,"衔接
资金",解决灌溉面积200亩。,,,1,0,0,0,0,0,0,"农业
农村局",水泉镇,2024,
8,水泉镇枣园村玉米产业渠道衬砌项目,新建,2025.3-2025.10,枣园村,"衬砌u50渠道6km,闸板480个，涵管40米。",90,"衔接
资金",减少水资源浪费，增加群众产业收入,,,1,0,0,0,0,0,0,"农业
农村局",水泉镇,2024,
9,"水泉镇大黄湾村玉米制种产业渠道衬砌
项目",新建,2025.3-2025.10,"大黄
湾村","衬砌u50渠道6km,闸板400个。",90,"衔接
资金",减少水资源浪费，增加群众产业收入,,,1,0,0,0,0,0,0,"农业
农村局",水泉镇,2024,
10,水泉镇小黄湾村玉米产业渠道衬砌项目,新建,2025.3-2025.10,"小黄
湾村","衬砌u50渠道5km,闸板400个，涵管40米。",75,"衔接
资金",减少水资源浪费，增加群众产业收入,,,1,0,0,0,0,0,0,"农业
农村局",水泉镇,2024,
11,"水泉镇牙沟水村玉米种植灌溉渠道改造
项目",新建,2025.3-2025.10,"牙沟
水村",新建PE300引水管道480m，新建渠道衬砌（U50）2291m，单向节制地口闸74座，双向节制地口闸72座，涵管4座，出水口防冲池1座，穿墙顶管8m，闸阀井1座。,65,"衔接
资金",解决灌溉渠道状况，保障灌溉,,,1,0,0,0,0,0,0,"农业
农村局",水泉镇,2024,
12,水泉镇陡城村玉米产业渠道衬砌项目,新建,2025.3-2025.10,陡城村,"衬砌u50渠道5km,闸板400个，涵管40米。",90,"衔接
资金",减少水资源浪费，增加群众产业收入,,,1,0,0,0,0,0,0,"农业
农村局",水泉镇,2024,
13,水泉镇水泉村玉米产业渠道衬砌项目,新建,2025.3-2025.10,水泉村,"衬砌u50渠道5km,闸板400个，涵管40米。",90,"衔接
资金",减少水资源浪费，增加群众产业收入,,,1,0,0,0,0,0,0,"农业
农村局",水泉镇,2024,
14,水泉镇杨岭村玉米产业渠道衬砌项目,新建,2025.3-2025.10,杨岭村,"一、二社衬砌u50渠道4km,闸板230个，涵管32米。",52,"衔接
资金",减少水资源浪费，增加群众产业收入,,,1,0,0,0,0,0,0,"农业
农村局",水泉镇,2024,
15,宝积镇石沟滩节水灌溉蓄水池项目,新建,2025.3-2025.10,尖山村,新建4万方调蓄水池1座，配套管道等设施。,275,"衔接
资金",解决石沟滩5000亩土地灌溉问题,,,1,0,0,0,0,0,0,水务局,宝积镇,2024,
16,宝积镇窎沟村节水灌溉蓄水池项目,新建,2025.3-2025.10,窎沟村,PE160管线1000米，新建1万方蓄水池1座。,85,"衔接
资金",解决全村500亩发展村集体经济收入种植.,,,1,0,0,0,0,0,0,水务局,宝积镇,2024,
17,"宝积镇大湾村土地平整及基础设施建设
项目",新建,2025.3-2025.10,大湾村,平整土地250亩，新建灌溉管道5km，采用DN125PE管道铺设，检查井3座、泄水井3座。,75,"衔接
资金",改善有效灌溉面积400亩。,,,1,0,0,0,0,0,0,"农业
农村局",宝积镇,2024,
18,宝积镇窎沟村小麦玉米产业渠道衬砌项目,新建,2025.3-2025.10,窎沟村,衬砌50U型槽渠道5公里,60,"衔接
资金",解决三社480亩土地灌溉问题。,,,1,0,0,0,0,0,0,"农业
农村局",宝积镇,2024,
19,"宝积镇魏家地村小麦玉米灌溉管道更新
项目",新建,2025.3-2025.10,"魏家
地村",铺设100级Ф160PE管3544m。,49,"衔接
资金",改善玉米小麦灌溉面积800亩。,,,1,0,0,0,0,0,0,"农业
农村局",宝积镇,2024,
20,"宝积镇墩墩滩村小麦玉米产业渠道衬砌
项目",续建,2025.3-2025.10,"墩墩
滩村",衬砌U型渠4.5公里。,50,"衔接
资金",改善灌溉面积1000亩。,,,1,0,0,0,0,0,0,"农业
农村局",宝积镇,2024,
21,宝积镇小麦玉米产业机井维修项目,更新,2025.3-2025.10,冯园村,维修机井7眼，其中：冯园村1号机井，更换电机水泵1套、电缆线450米、扬水管150米，2号机井更换电机水泵1套；贺家川村新三号井，更换水泵1套；贺家川村旧三号井，更换水泵1套，5寸扬水管300米；墩墩滩村5号井，更换电机水泵一套，2号井扬水管200米；窎沟村人饮机井维修水泵电机1套，下七分机井更换电机水泵一套，扬水管200米。,42,"衔接
资金",改善灌溉面积2600亩。,,,4,0,0,0,0,0,0,水务局,宝积镇,2024,
22,宝积镇周家地村渠道衬砌及管道铺设项目,新建,2025.3-2025.10,"周家
地村",衬砌50U型槽渠道1.5公里，单向分水口61个，双向分水口4个；铺设PE200管道50米，新建挡水墙900立方米。,33,"衔接
资金",改善玉米小麦灌溉面积200亩。,,,1,0,0,0,0,0,0,"农业
农村局",宝积镇,2024,
23,共和镇西合村高效节水灌溉蓄水池建设项目,新建,2025.3-2025.10,西合村,新建5万m³蓄水池1座。,400,,减少水资源浪费，增加群众产业收入。,,,1,0,0,0,0,0,0,"农业
农村局",共和镇,2024,
