1-4全国分年龄、性别的人口-年龄-年龄,1-4全国分年龄、性别的人口-单位：人、%-人口数-合计,1-4全国分年龄、性别的人口-单位：人、%-人口数-男,1-4全国分年龄、性别的人口-单位：人、%-人口数-女,1-4全国分年龄、性别的人口-单位：人、%-占总人口比重-合计,1-4全国分年龄、性别的人口-单位：人、%-占总人口比重-男,1-4全国分年龄、性别的人口-单位：人、%-占总人口比重-女,1-4全国分年龄、性别的人口-单位：人、%-性别比-(女=100)
69,1200234.0,581445.0,618789.0,1.0,0.0,0.0,94.0
,,,,,,,
70-74岁,4813647.0,2341892.0,2471755.0,3.0,2.0,2.0,95.0
70,1132641.0,552550.0,580091.0,1.0,0.0,0.0,95.0
71,1091505.0,537267.0,554238.0,1.0,0.0,0.0,97.0
72,927034.0,450625.0,476409.0,1.0,0.0,0.0,95.0
73,874817.0,425034.0,449783.0,1.0,0.0,0.0,95.0
74,787650.0,376416.0,411234.0,1.0,0.0,0.0,92.0
,,,,,,,
75-79岁,2980508.0,1409194.0,1571314.0,2.0,1.0,1.0,90.0
75,690748.0,328485.0,362263.0,1.0,0.0,0.0,91.0
76,652501.0,312625.0,339876.0,0.0,0.0,0.0,92.0
77,574487.0,271017.0,303470.0,0.0,0.0,0.0,89.0
78,537691.0,252314.0,285377.0,0.0,0.0,0.0,88.0
79,525081.0,244753.0,280328.0,0.0,0.0,0.0,87.0
,,,,,,,
80-84岁,1897750.0,856619.0,1041131.0,1.0,1.0,1.0,82.0
80,462344.0,214196.0,248148.0,0.0,0.0,0.0,86.0
81,387427.0,175529.0,211898.0,0.0,0.0,0.0,83.0
82,395095.0,179490.0,215605.0,0.0,0.0,0.0,83.0
83,343475.0,153187.0,190288.0,0.0,0.0,0.0,81.0
84,309409.0,134217.0,175192.0,0.0,0.0,0.0,77.0
,,,,,,,
85-89岁,973818.0,398907.0,574911.0,1.0,0.0,0.0,69.0
85,264740.0,111113.0,153627.0,0.0,0.0,0.0,72.0
86,227319.0,93574.0,133745.0,0.0,0.0,0.0,70.0
87,204932.0,84218.0,120714.0,0.0,0.0,0.0,70.0
88,154282.0,61448.0,92834.0,0.0,0.0,0.0,66.0
89,122545.0,48554.0,73991.0,0.0,0.0,0.0,66.0
,,,,,,,
90-94岁,312846.0,115437.0,197409.0,0.0,0.0,0.0,58.0
90,106074.0,41051.0,65023.0,0.0,0.0,0.0,63.0
91,72886.0,27037.0,45849.0,0.0,0.0,0.0,59.0
92,60934.0,21980.0,38954.0,0.0,0.0,0.0,56.0
93,42736.0,15095.0,27641.0,0.0,0.0,0.0,55.0
94,30216.0,10274.0,19942.0,0.0,0.0,0.0,52.0
,,,,,,,
95-99岁,63626.0,19576.0,44050.0,0.0,0.0,0.0,44.0
95,23449.0,7523.0,15926.0,0.0,0.0,0.0,47.0
96,16489.0,5063.0,11426.0,0.0,0.0,0.0,44.0
97,10967.0,3306.0,7661.0,0.0,0.0,0.0,43.0
98,7293.0,2148.0,5145.0,0.0,0.0,0.0,42.0
99,5428.0,1536.0,3892.0,0.0,0.0,0.0,39.0
,,,,,,,
100岁及以上,7562.0,1778.0,5784.0,0.0,0.0,0.0,31.0
