Return,Quota Name,Unit,Quantity of Work,Equipment Unit Price,Main Material Unit Price,Base Price Unit Price,"人工单价 translates to ""Labor Unit Price"".",Material Unit Price,Mechanical Unit Price,Equipment Total,Main Material Total,Base Price Total,Labor Total,Material Total,Mechanical Total
3-436,High Zone Water Supply Equipment (Office) G=816m3/h H=120ZMHO N=7.5*3k,Set,1.0,6767,0.0,1392.4,433.29,613.04,346.07,6767,0.0,1392,433.29,613.04,346.07
3-436,Middle Zone Water Supply Equipment (Office) G=816m3/h H=80ZMHO N=5.5*3kw,Set,1.0,5191,0.0,1392.4,433.29,613.04,346.07,5191,0.0,1392,433.29,613.04,346.07
3-436,Low Zone Water Supply Equipment (Office) G=816m3/h H=50ZMHO N=3.0*3kw,Set,1.0,4108,0.0,1392.4,433.29,613.04,346.07,4108,0.0,1392,433.29,613.04,346.07
3-305,Water Cut-off Tank 4000*4000*2000 (Office),Unit,1.0,73600,0.0,2375.0,790.99,601.65,982.32,73600,0.0,2375,790.99,601.65,982.32
8-313,SKFA Type Water Level Valve DN80 (Office),piece,2.0,0,1253.4,152.71,26.43,105.55,20.73,0,2506.8,305,52.86,211.1,41.46
3-436,High Zone Reclaimed Water Equipment (Office) G=8m³/h H=120ZMHO N=7.5*3kw,Set,1.0,6767,0.0,1392.4,433.29,613.04,346.07,6767,0.0,1392,433.29,613.04,346.07
3-436,Middle Zone Water Supply Equipment (Office) G=8m³/h H=80ZMHO N=5.5*3kw,Set,1.0,5191,0.0,1392.4,433.29,613.04,346.07,5191,0.0,1392,433.29,613.04,346.07
3-436,Low Zone Water Supply Equipment (Office) G=8m3/h H=50ZMHO N=3.0*3kw,Set,1.0,4108,0.0,1392.4,433.29,613.04,346.07,4108,0.0,1392,433.29,613.04,346.07
3-305,Middle Water Tank for Water Cut-off 5000*2000*5000 (Office),Unit,1.0,115000,0.0,2375.0,790.99,601.65,982.32,115000,0.0,2375,790.99,601.65,982.32
8-313,SKFA Type Water Level Valve DN70 (Office),piece,2.0,0,1096.7,152.71,26.43,105.55,20.73,0,2193.4,305,52.86,211.1,41.46
3-436,Water Supply Equipment (Swimming Pool) G=16m3/h H=60MH2O N=4*3kw,Set,1.0,4500,0.0,1392.4,433.29,613.04,346.07,4500,0.0,1392,433.29,613.04,346.07
3-303,Mid-level water tank for water cut-off (swimming pool) 4000*2000*2000,Unit,1.0,36000,0.0,1200.5,424.07,310.59,465.86,36000,0.0,1201,424.07,310.59,465.86
8-313,SKFA Type Water Level Valve DN70 (Swimming Pool),piece,2.0,0,1096.7,152.71,26.43,105.55,20.73,0,2193.4,305,52.86,211.1,41.46
8-28,DN100 steel sleeve (average pipe diameter),m,5.0,0,44.69,7.11,3.69,1.92,1.51,0,223.45,36,18.44,9.58,7.55
6-2475,Pipeline System Water Flushing (Within DN100),m,247.0,0,0.52,1.52,0.85,0.58,0.08,0,128.52,374,210.58,143.56,20.34
6-2844,General Pipe Support Fabrication and Installation,kg,246.0,0,4.23,5.25,2.97,1.22,1.06,0,1040.4,1292,731.75,299.85,260.34
5-2151,Water Tank 10# Channel Steel Foundation,t,0.76,0,4233.2,1447.3,769.17,209.96,468.13,0,3217.2,1100,584.57,159.57,355.78
11-46,Pipeline Oil Coating (First Coat of Silver Paint),m2,60.9,0,0.0,1.68,0.95,0.73,0.0,0,0.0,102,58.06,44.29,0.0
11-47,Pipeline Oil Coating (Second Coat of Silver Paint),m2,60.9,0,0.0,1.59,0.92,0.66,0.0,0,0.0,97,56.17,40.45,0.0
11-7,"Manual Rust Removal (Metal Structure, Light Rust)",kg,1006.0,0,0.0,0.12,0.1,0.02,0.0,0,0.0,123,102.01,20.62,0.0
11-103,Metal Structure Painting (First Coat of Red Lead Anti-Rust Paint),kg,1006.0,0,0.0,0.22,0.08,0.14,0.0,0,0.0,222,80.38,141.34,0.0
11-108,Metal Structure Painting (First Coat of Silver Paint),kg,1006.0,0,0.0,0.13,0.07,0.05,0.0,0,0.0,129,74.24,54.42,0.0
11-109,Metal Structure Painting (Second Coat of Silver Paint),kg,1006.0,0,0.0,0.12,0.07,0.05,0.0,0,0.0,122,74.24,47.38,0.0
,Process Metal Structure Engineering Scaffolding Erection and Dismantling Comprehensive Amortization Cost,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,58,14.5,43.5,0.0
,Painting Works Scaffolding Erection and Dismantling Comprehensive Amortization Cost,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,36,9.0,27.0,0.0
Total,,,0.0,0,0.0,0.0,0.0,0.0,0.0,690511,40641.0,42594,14218.0,15657.0,12722.0
