2-7全国各民族15-64岁妇女平均活产子女数和平均存活子女数-民族,2-7全国各民族15-64岁妇女平均活产子女数和平均存活子女数-15-64岁妇女人数-15-64岁妇女人数-15-64岁妇女人数,2-7全国各民族15-64岁妇女平均活产子女数和平均存活子女数-活产子女总数-小计-小计,2-7全国各民族15-64岁妇女平均活产子女数和平均存活子女数-活产子女总数-男-男,2-7全国各民族15-64岁妇女平均活产子女数和平均存活子女数-活产子女总数-女-女,2-7全国各民族15-64岁妇女平均活产子女数和平均存活子女数-存活子女总数-小计-小计,2-7全国各民族15-64岁妇女平均活产子女数和平均存活子女数-存活子女总数-男-男,2-7全国各民族15-64岁妇女平均活产子女数和平均存活子女数-存活子女总数-女-女,2-7全国各民族15-64岁妇女平均活产子女数和平均存活子女数-存活子女数-占活产子女-数的百分比,2-7全国各民族15-64岁妇女平均活产子女数和平均存活子女数-妇女-平均活产-子女数,2-7全国各民族15-64岁妇女平均活产子女数和平均存活子女数-单位：人、%-妇女-平均存活-子女数
东乡族,21403.0,41292.0,22886.0,18406.0,40223.0,22194.0,18029.0,97.0,2.0,2.0
纳西族,11489.0,14178.0,7343.0,6835.0,13759.0,7077.0,6682.0,97.0,1.0,1.0
景颇族,5269.0,8196.0,4346.0,3850.0,7778.0,4076.0,3702.0,95.0,2.0,1.0
柯尔克孜族,6873.0,12046.0,6296.0,5750.0,11081.0,5731.0,5350.0,92.0,2.0,2.0
土  族,9593.0,13545.0,7122.0,6423.0,13018.0,6793.0,6225.0,96.0,1.0,1.0
达斡尔族,4857.0,5261.0,2748.0,2513.0,5100.0,2651.0,2449.0,97.0,1.0,1.0
仫佬族,8259.0,11154.0,5889.0,5265.0,10883.0,5730.0,5153.0,98.0,1.0,1.0
羌  族,11501.0,14957.0,7757.0,7200.0,14469.0,7443.0,7026.0,97.0,1.0,1.0
布朗族,4298.0,6620.0,3432.0,3188.0,6238.0,3211.0,3027.0,94.0,2.0,1.0
撒拉族,4724.0,8601.0,4646.0,3955.0,8348.0,4504.0,3844.0,97.0,2.0,2.0
毛南族,3575.0,4854.0,2566.0,2288.0,4687.0,2462.0,2225.0,97.0,1.0,1.0
仡佬族,19188.0,27485.0,14986.0,12499.0,26785.0,14546.0,12239.0,97.0,1.0,1.0
锡伯族,6518.0,6320.0,3282.0,3038.0,6159.0,3181.0,2978.0,97.0,1.0,1.0
阿昌族,1360.0,2055.0,1024.0,1031.0,1990.0,985.0,1005.0,97.0,2.0,1.0
普米族,1457.0,2004.0,1073.0,931.0,1942.0,1033.0,909.0,97.0,1.0,1.0
塔吉克族,1718.0,3047.0,1586.0,1461.0,2716.0,1394.0,1322.0,89.0,2.0,2.0
怒  族,1178.0,1863.0,992.0,871.0,1774.0,927.0,847.0,95.0,2.0,2.0
乌孜别克族,427.0,662.0,366.0,296.0,611.0,333.0,278.0,92.0,2.0,1.0
俄罗斯族,615.0,544.0,275.0,269.0,522.0,262.0,260.0,96.0,1.0,1.0
鄂温克族,1269.0,1363.0,685.0,678.0,1323.0,664.0,659.0,97.0,1.0,1.0
德昂族,711.0,1115.0,598.0,517.0,1071.0,573.0,498.0,96.0,2.0,2.0
保安族,667.0,1170.0,641.0,529.0,1144.0,627.0,517.0,98.0,2.0,2.0
裕固族,521.0,549.0,267.0,282.0,535.0,259.0,276.0,97.0,1.0,1.0
京  族,964.0,1354.0,765.0,589.0,1326.0,743.0,583.0,98.0,1.0,1.0
塔塔尔族,120.0,147.0,75.0,72.0,141.0,73.0,68.0,96.0,1.0,1.0
独龙族,243.0,372.0,206.0,166.0,337.0,182.0,155.0,91.0,2.0,1.0
鄂伦春族,334.0,322.0,168.0,154.0,306.0,159.0,147.0,95.0,1.0,1.0
赫哲族,213.0,206.0,105.0,101.0,198.0,100.0,98.0,96.0,1.0,1.0
门巴族,377.0,678.0,365.0,313.0,615.0,320.0,295.0,91.0,2.0,2.0
珞巴族,152.0,248.0,121.0,127.0,242.0,117.0,125.0,98.0,2.0,2.0
基诺族,893.0,1296.0,704.0,592.0,1268.0,684.0,584.0,98.0,1.0,1.0
未定族称人口,21289.0,36818.0,19833.0,16985.0,35678.0,19133.0,16545.0,97.0,2.0,2.0
入  籍,718.0,1000.0,546.0,454.0,988.0,539.0,449.0,99.0,1.0,1.0
