月份,项目店,区域,经营模式,有无预算,科目,本月计划,本月完成,备注
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,公司缴纳五险,1130,1184,2024年1月：1人1183.61元
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,外包五险,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,商业保险费,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,外包管理费,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,福利费,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,员工宿舍费,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,能源费用,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,水费,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,电费,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,燃气费,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,暖气费,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,运营费用,250,1978,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,办公费,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,差旅费,50,1202,任志有报销张海峰回公司参会年会差旅费1202元
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,汽车费用,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,营销费用,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,低值物料,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,目视化费用,200,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,修理费,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,招待费,0,776,侯晓东报销餐费招待776元
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,运输费用,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,其他,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,固定费用,4072,4072,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,租金,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,管理费,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,市场开发费,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,折旧,57,57,2024年1月固定资产折旧56.74元
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,各项摊提,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,上交总部管理费,1135,1135,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,计提税金及附加,2879,2879,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,营业外收支,0,20,考勤违纪20元
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,自营业务利润,14615,12761,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,外包业务利润,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,项目部经营利润,14615,12761,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,区域管理费用,500,500,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,运行费用,500,500,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,两节费用,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,公关费,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,项目店净利润,14115,12261,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,项目合作分红,0,0,
1月,中铁三局黄骅项目部,河北子公司,托管,有预算,项目店可分配利润,14115,12261,
1月,天津神维,河北子公司,托管,有预算,综合收入,87413,120104,
1月,天津神维,河北子公司,托管,有预算,综合成本,52296,75114,
1月,天津神维,河北子公司,托管,有预算,综合毛利,35117,44990,
1月,天津神维,河北子公司,托管,有预算,劳务收入,87413,120104,"调增12月劳务收入727.16元，1月预估收入119,377.07元（项目提供）"
1月,天津神维,河北子公司,托管,有预算,劳务成本,52296,75114,2024年1月：15人
1月,天津神维,河北子公司,托管,有预算,劳务毛利,35117,44990,
1月,天津神维,河北子公司,托管,有预算,餐饮收入,0,0,
1月,天津神维,河北子公司,托管,有预算,餐饮成本,0,0,
1月,天津神维,河北子公司,托管,有预算,餐饮毛利,0,0,
1月,天津神维,河北子公司,托管,有预算,销售收入,0,0,
1月,天津神维,河北子公司,托管,有预算,销售成本,0,0,
1月,天津神维,河北子公司,托管,有预算,销售毛利,0,0,
1月,天津神维,河北子公司,托管,有预算,外包档口收入,0,0,
1月,天津神维,河北子公司,托管,有预算,外包档口成本,0,0,
1月,天津神维,河北子公司,托管,有预算,外包档口毛利,0,0,
1月,天津神维,河北子公司,托管,有预算,其他收入,0,0,
1月,天津神维,河北子公司,托管,有预算,其他成本,0,0,
1月,天津神维,河北子公司,托管,有预算,其他毛利,0,0,
1月,天津神维,河北子公司,托管,有预算,人事费用,19806,23171,
1月,天津神维,河北子公司,托管,有预算,工资,0,0,
1月,天津神维,河北子公司,托管,有预算,监管工资,450,1800,2023年12月：2人，朱红章900元+任志有900元
1月,天津神维,河北子公司,托管,有预算,绩效考核奖,1300,1430,2023年12月：1人，李文强1430元
1月,天津神维,河北子公司,托管,有预算,公司承担外包费,0,0,
1月,天津神维,河北子公司,托管,有预算,公司缴纳五险,7668,7668,2024年1月：6人
1月,天津神维,河北子公司,托管,有预算,外包五险,0,0,
1月,天津神维,河北子公司,托管,有预算,商业保险费,0,275,平安雇主险275.24元
1月,天津神维,河北子公司,托管,有预算,外包管理费,0,0,
1月,天津神维,河北子公司,托管,有预算,福利费,8820,10430,计提1月份员工伙补11人*35元*22天＝8470元+4人司机1960元＝10430元
1月,天津神维,河北子公司,托管,有预算,员工宿舍费,1568,1568,天津神维员工宿舍费18810元，每月分摊1567.50元（2023年6月1日—2023年5月31日）
1月,天津神维,河北子公司,托管,有预算,能源费用,0,0,
1月,天津神维,河北子公司,托管,有预算,水费,0,0,
1月,天津神维,河北子公司,托管,有预算,电费,0,0,
1月,天津神维,河北子公司,托管,有预算,燃气费,0,0,
1月,天津神维,河北子公司,托管,有预算,暖气费,0,0,
1月,天津神维,河北子公司,托管,有预算,运营费用,200,15,
1月,天津神维,河北子公司,托管,有预算,办公费,0,15,杨丽芳报销邮寄费15元
1月,天津神维,河北子公司,托管,有预算,差旅费,0,0,
1月,天津神维,河北子公司,托管,有预算,汽车费用,0,0,
1月,天津神维,河北子公司,托管,有预算,营销费用,0,0,
1月,天津神维,河北子公司,托管,有预算,低值物料,0,0,
1月,天津神维,河北子公司,托管,有预算,目视化费用,200,0,
1月,天津神维,河北子公司,托管,有预算,修理费,0,0,
1月,天津神维,河北子公司,托管,有预算,招待费,0,0,
1月,天津神维,河北子公司,托管,有预算,运输费用,0,0,
1月,天津神维,河北子公司,托管,有预算,其他,0,0,
1月,天津神维,河北子公司,托管,有预算,固定费用,8552,11442,
1月,天津神维,河北子公司,托管,有预算,租金,0,0,
1月,天津神维,河北子公司,托管,有预算,管理费,0,0,
1月,天津神维,河北子公司,托管,有预算,市场开发费,825,825,天津神维中标服务费摊销（2022年10月-2024年5月），每月分摊824.89元
1月,天津神维,河北子公司,托管,有预算,折旧,0,0,
1月,天津神维,河北子公司,托管,有预算,各项摊提,0,0,
1月,天津神维,河北子公司,托管,有预算,上交总部管理费,2185,3003,
1月,天津神维,河北子公司,托管,有预算,计提税金及附加,5542,7615,
1月,天津神维,河北子公司,托管,有预算,营业外收支,0,10,考勤违纪10元
1月,天津神维,河北子公司,托管,有预算,自营业务利润,6559,10372,
1月,天津神维,河北子公司,托管,有预算,外包业务利润,0,0,
1月,天津神维,河北子公司,托管,有预算,项目部经营利润,6559,10372,
1月,天津神维,河北子公司,托管,有预算,区域管理费用,0,0,
1月,天津神维,河北子公司,托管,有预算,运行费用,0,0,
1月,天津神维,河北子公司,托管,有预算,两节费用,0,0,
1月,天津神维,河北子公司,托管,有预算,公关费,0,0,
1月,天津神维,河北子公司,托管,有预算,项目店净利润,6559,10372,
1月,天津神维,河北子公司,托管,有预算,项目合作分红,0,0,
1月,天津神维,河北子公司,托管,有预算,项目店可分配利润,6559,10372,
1月,肃宁西区,河北子公司,托管,有预算,综合收入,437149,437149,
1月,肃宁西区,河北子公司,托管,有预算,综合成本,231247,220701,
1月,肃宁西区,河北子公司,托管,有预算,综合毛利,205902,216448,
1月,肃宁西区,河北子公司,托管,有预算,劳务收入,437149,437149,劳务收入（劳务收入含工资、社保、管理费、劳保、伙补、交通补助、税金）
1月,肃宁西区,河北子公司,托管,有预算,劳务成本,231247,220701,2024年1月：61人216701元，缺勤扣款：23424元。河北子公司曹园园工资由肃宁西区承担4000元
1月,肃宁西区,河北子公司,托管,有预算,劳务毛利,205902,216448,
1月,肃宁西区,河北子公司,托管,有预算,餐饮收入,0,0,
1月,肃宁西区,河北子公司,托管,有预算,餐饮成本,0,0,
1月,肃宁西区,河北子公司,托管,有预算,餐饮毛利,0,0,
1月,肃宁西区,河北子公司,托管,有预算,销售收入,0,0,
1月,肃宁西区,河北子公司,托管,有预算,销售成本,0,0,
1月,肃宁西区,河北子公司,托管,有预算,销售毛利,0,0,
1月,肃宁西区,河北子公司,托管,有预算,外包档口收入,0,0,
1月,肃宁西区,河北子公司,托管,有预算,外包档口成本,0,0,
1月,肃宁西区,河北子公司,托管,有预算,外包档口毛利,0,0,
1月,肃宁西区,河北子公司,托管,有预算,其他收入,0,0,
1月,肃宁西区,河北子公司,托管,有预算,其他成本,0,0,
1月,肃宁西区,河北子公司,托管,有预算,其他毛利,0,0,
1月,肃宁西区,河北子公司,托管,有预算,人事费用,47556,51458,
1月,肃宁西区,河北子公司,托管,有预算,工资,0,0,
1月,肃宁西区,河北子公司,托管,有预算,监管工资,2400,3750,2023年12月：2人，朱红章1875元+张雨1875元
1月,肃宁西区,河北子公司,托管,有预算,绩效考核奖,2100,2855,2023年12月：2人，王海波2039元+王双全816元
1月,肃宁西区,河北子公司,托管,有预算,公司承担外包费,0,0,
1月,肃宁西区,河北子公司,托管,有预算,公司缴纳五险,28526,32233,2024年1月：27人合计31019.12元，河北子公司曹园园社保由肃宁西区承担1213.42元
1月,肃宁西区,河北子公司,托管,有预算,外包五险,670,0,
1月,肃宁西区,河北子公司,托管,有预算,商业保险费,0,0,
1月,肃宁西区,河北子公司,托管,有预算,外包管理费,0,0,
1月,肃宁西区,河北子公司,托管,有预算,福利费,13860,12620,计提肃宁西区1月份员工伙补12620元
1月,肃宁西区,河北子公司,托管,有预算,员工宿舍费,0,0,
1月,肃宁西区,河北子公司,托管,有预算,能源费用,0,0,
1月,肃宁西区,河北子公司,托管,有预算,水费,0,0,
1月,肃宁西区,河北子公司,托管,有预算,电费,0,0,
1月,肃宁西区,河北子公司,托管,有预算,燃气费,0,0,
1月,肃宁西区,河北子公司,托管,有预算,暖气费,0,0,
1月,肃宁西区,河北子公司,托管,有预算,运营费用,2350,7850,
1月,肃宁西区,河北子公司,托管,有预算,办公费,100,0,
1月,肃宁西区,河北子公司,托管,有预算,差旅费,50,1714,"王海波报销回大同总部开年会往返差旅费1021元
杨林春报销从大同到肃宁区域拜访甲方差旅费513元
杨林春报销区域帮扶完从肃宁回大同参加年会过路费180元"
1月,肃宁西区,河北子公司,托管,有预算,汽车费用,0,0,
1月,肃宁西区,河北子公司,托管,有预算,营销费用,0,0,
1月,肃宁西区,河北子公司,托管,有预算,低值物料,0,0,
1月,肃宁西区,河北子公司,托管,有预算,目视化费用,200,0,
1月,肃宁西区,河北子公司,托管,有预算,修理费,0,0,
1月,肃宁西区,河北子公司,托管,有预算,招待费,0,1870,王海波报销餐费招待1870元
1月,肃宁西区,河北子公司,托管,有预算,运输费用,0,0,
1月,肃宁西区,河北子公司,托管,有预算,其他,2000,4266,"12月伯乐奖200元
2023年9月-12月恒逸工伤保险服务费用（河北雅岑科技有限公司）4066.4元"
1月,肃宁西区,河北子公司,托管,有预算,固定费用,43317,43317,
1月,肃宁西区,河北子公司,托管,有预算,租金,0,0,
1月,肃宁西区,河北子公司,托管,有预算,管理费,0,0,
1月,肃宁西区,河北子公司,托管,有预算,市场开发费,4568,4568,肃宁西区中标服务费摊销（2022.10-2024.12），每月分摊4567.69元
1月,肃宁西区,河北子公司,托管,有预算,折旧,106,106,2024年1月固定资产折旧105.56元
1月,肃宁西区,河北子公司,托管,有预算,各项摊提,0,0,
1月,肃宁西区,河北子公司,托管,有预算,上交总部管理费,10929,10929,根据比例计提总部管理费
1月,肃宁西区,河北子公司,托管,有预算,计提税金及附加,27715,27715,根据比例计提总部税金
1月,肃宁西区,河北子公司,托管,有预算,营业外收支,0,110,考勤违纪110元
1月,肃宁西区,河北子公司,托管,有预算,自营业务利润,112679,113933,
1月,肃宁西区,河北子公司,托管,有预算,外包业务利润,0,0,
1月,肃宁西区,河北子公司,托管,有预算,项目部经营利润,112679,113933,
1月,肃宁西区,河北子公司,托管,有预算,区域管理费用,0,0,
1月,肃宁西区,河北子公司,托管,有预算,运行费用,0,0,
1月,肃宁西区,河北子公司,托管,有预算,两节费用,0,0,
1月,肃宁西区,河北子公司,托管,有预算,公关费,0,0,
1月,肃宁西区,河北子公司,托管,有预算,项目店净利润,112679,113933,
1月,肃宁西区,河北子公司,托管,有预算,项目合作分红,0,0,
1月,肃宁西区,河北子公司,托管,有预算,项目店可分配利润,112679,113933,
1月,肃宁货车公司,河北子公司,托管,有预算,综合收入,185765,185765,
1月,肃宁货车公司,河北子公司,托管,有预算,综合成本,120650,119323,
1月,肃宁货车公司,河北子公司,托管,有预算,综合毛利,65115,66442,
1月,肃宁货车公司,河北子公司,托管,有预算,劳务收入,185765,185765,"本月劳务收入为185765元,合同人员配置不低于35人（包含工资及社保），劳务保护用品150/人/月，服务人员餐费为360/人/月，工服按每年夏季两套不低于350/人/套及冬季两套不低于450/人/套，服务人员每年一次300/人/次。"
1月,肃宁货车公司,河北子公司,托管,有预算,劳务成本,120650,119323,2024年1月：29人，缺勤扣款：927元
1月,肃宁货车公司,河北子公司,托管,有预算,劳务毛利,65115,66442,
1月,肃宁货车公司,河北子公司,托管,有预算,餐饮收入,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,餐饮成本,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,餐饮毛利,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,销售收入,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,销售成本,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,销售毛利,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,外包档口收入,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,外包档口成本,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,外包档口毛利,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,其他收入,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,其他成本,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,其他毛利,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,人事费用,18917,20094,
1月,肃宁货车公司,河北子公司,托管,有预算,工资,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,监管工资,1200,750,2023年12月：2人，杨林春375元+朱红章375元
1月,肃宁货车公司,河北子公司,托管,有预算,绩效考核奖,2100,3524,2023年12月：2人，杨林春1840元+袁超1684元
1月,肃宁货车公司,河北子公司,托管,有预算,公司承担外包费,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,公司缴纳五险,4097,4205,2024年1月：4人
1月,肃宁货车公司,河北子公司,托管,有预算,外包五险,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,商业保险费,0,50,平安雇主险50.46元
1月,肃宁货车公司,河北子公司,托管,有预算,外包管理费,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,福利费,11520,11565,"计提24年1月员工伙补11520元
从公司领用长袖厨师服上衣（黄领）45元"
1月,肃宁货车公司,河北子公司,托管,有预算,员工宿舍费,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,能源费用,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,水费,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,电费,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,燃气费,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,暖气费,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,运营费用,300,876,
1月,肃宁货车公司,河北子公司,托管,有预算,办公费,50,13,2024年1月工服邮寄快递费13元
1月,肃宁货车公司,河北子公司,托管,有预算,差旅费,50,787,张周报销回公司开年会燃油费和过路费786.97元
1月,肃宁货车公司,河北子公司,托管,有预算,汽车费用,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,营销费用,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,低值物料,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,目视化费用,200,76,从公司领用值班管理手册76元
1月,肃宁货车公司,河北子公司,托管,有预算,修理费,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,招待费,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,运输费用,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,其他,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,固定费用,18360,18360,
1月,肃宁货车公司,河北子公司,托管,有预算,租金,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,管理费,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,市场开发费,1938,1938,肃宁货车公司中标服务费摊销（2022年10月-2024年8月），每月分摊1938.42元
1月,肃宁货车公司,河北子公司,托管,有预算,折旧,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,各项摊提,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,上交总部管理费,4644,4644,
1月,肃宁货车公司,河北子公司,托管,有预算,计提税金及附加,11778,11778,
1月,肃宁货车公司,河北子公司,托管,有预算,营业外收支,0,30,考勤违纪：30元
1月,肃宁货车公司,河北子公司,托管,有预算,自营业务利润,27538,27142,
1月,肃宁货车公司,河北子公司,托管,有预算,外包业务利润,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,项目部经营利润,27538,27142,
1月,肃宁货车公司,河北子公司,托管,有预算,区域管理费用,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,运行费用,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,两节费用,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,公关费,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,项目店净利润,27538,27142,
1月,肃宁货车公司,河北子公司,托管,有预算,项目合作分红,0,0,
1月,肃宁货车公司,河北子公司,托管,有预算,项目店可分配利润,27538,27142,
1月,黄骅港国华餐饮,河北子公司,托管,有预算,综合收入,373726,373726,
1月,黄骅港国华餐饮,河北子公司,托管,有预算,综合成本,248008,250925,
1月,黄骅港国华餐饮,河北子公司,托管,有预算,综合毛利,125718,122801,
1月,黄骅港国华餐饮,河北子公司,托管,有预算,劳务收入,373726,373726,工资、保险、劳保、福利等
1月,黄骅港国华餐饮,河北子公司,托管,有预算,劳务成本,248008,250925,87人工资274360元（黄骅港国华餐饮250925元、黄骅港国华餐饮（二）23435元、黄骅港国华餐饮（二）工资23435元调入日常往来款、调整1月工资其他扣500元（扣12月多发工资）
1月,黄骅港国华餐饮,河北子公司,托管,有预算,劳务毛利,125718,122801,
1月,黄骅港国华餐饮,河北子公司,托管,有预算,餐饮收入,0,0,
1月,黄骅港国华餐饮,河北子公司,托管,有预算,餐饮成本,0,0,
1月,黄骅港国华餐饮,河北子公司,托管,有预算,餐饮毛利,0,0,
1月,黄骅港国华餐饮,河北子公司,托管,有预算,销售收入,0,0,
1月,黄骅港国华餐饮,河北子公司,托管,有预算,销售成本,0,0,
1月,黄骅港国华餐饮,河北子公司,托管,有预算,销售毛利,0,0,
