东莞645kWh储能电站-日期,东莞645kWh储能电站-日充电量尖,东莞645kWh储能电站-日充电量峰,东莞645kWh储能电站-日充电量平,东莞645kWh储能电站-日充电量谷,东莞645kWh储能电站-日充电量总,东莞645kWh储能电站-日放电量尖,东莞645kWh储能电站-日放电量峰,东莞645kWh储能电站-日放电量平,东莞645kWh储能电站-日放电量谷,东莞645kWh储能电站-日放电量总
2024-02-24,0.0,0.4,438.9,472.2,911.5,0.0,795.9,0.0,0.0,795.9
2024-02-25,0.0,0.3,438.4,472.1,910.8,0.0,796.7,0.0,0.0,796.7
2024-02-26,0.0,0.3,436.8,472.2,909.3,0.0,801.8,0.0,0.0,801.8
2024-02-27,0.0,0.3,652.9,713.1,1366.3,0.0,1187.8,0.0,0.0,1187.8
2024-02-28,0.0,0.0,652.1,704.5,1356.6,0.0,1187.0,0.0,0.0,1187.0
2024-02-29,0.0,0.5,651.7,704.6,1356.8,0.0,1187.7,0.0,0.0,1187.7
2024-03-01,0.0,0.3,652.7,704.5,1357.5,0.0,1188.6,0.0,0.0,1188.6
2024-03-02,0.0,0.4,651.7,704.1,1356.2,0.0,1187.1,0.0,0.0,1187.1
2024-03-03,0.0,0.4,652.7,704.0,1357.1,0.0,1187.9,0.0,0.0,1187.9
2024-03-04,0.0,0.2,651.7,703.8,1355.7,0.0,1184.1,0.0,0.0,1184.1
2024-03-05,0.0,7.8,653.2,703.6,1357.0,0.0,1185.8,0.0,0.0,1185.8
2024-03-06,0.0,0.2,652.5,703.2,1355.9,0.0,1186.1,0.0,0.0,1186.1
2024-03-07,0.0,0.3,652.7,703.6,1356.6,0.0,1187.2,0.0,0.0,1187.2
2024-03-08,0.0,0.2,651.6,703.4,1355.3,0.0,1182.7,0.0,0.0,1182.7
2024-03-09,0.0,0.5,653.1,702.1,1355.6,0.0,1187.8,0.0,0.0,1187.8
2024-03-10,0.0,0.4,653.3,703.1,1356.8,0.0,1188.5,0.0,0.0,1188.5
2024-03-11,0.0,0.4,653.6,702.6,1356.6,0.0,1187.6,0.0,0.0,1187.6
2024-03-12,0.0,2.3,548.8,703.0,1252.4,0.0,1092.8,0.0,0.0,1092.8
2024-03-13,0.0,9.2,655.1,703.2,1358.6,0.0,1186.8,0.0,0.0,1186.8
2024-03-14,0.0,0.3,654.3,702.6,1357.2,0.0,1186.2,0.0,0.0,1186.2
2024-03-15,0.0,0.1,653.2,702.2,1355.5,0.0,1186.2,0.0,0.0,1186.2
2024-03-16,0.0,0.3,654.4,703.0,1357.7,0.0,1187.2,0.0,0.0,1187.2
2024-03-17,0.0,0.5,657.3,703.0,1360.8,0.0,1190.3,0.0,0.0,1190.3
2024-03-18,0.0,0.5,654.9,702.4,1357.8,0.0,1186.8,0.0,0.0,1186.8
2024-03-19,0.0,3.6,663.6,702.9,1370.1,0.0,1198.1,0.0,0.0,1198.09
2024-03-20,0.0,0.4,654.1,702.3,1356.8,0.0,1186.8,0.0,0.0,1186.8
2024-03-21,0.0,14.7,693.5,702.0,1402.8,0.0,1226.0,0.0,0.0,1226.0
2024-03-22,0.0,0.0,686.4,703.7,1390.09,0.0,1240.3,0.0,0.0,1240.3
2024-03-23,0.0,0.2,687.8,710.3,1398.3,0.0,1235.2,6.2,0.0,1241.4
2024-03-24,0.0,21.0,684.5,710.7,1416.2,0.0,1255.8,0.0,0.0,1255.8
2024-03-25,0.0,9.3,693.1,710.9,1407.8,0.0,1083.2,0.0,0.0,1083.2
2024-03-26,0.0,8.8,463.7,474.0,943.1,0.0,869.3,1.7,0.0,869.5
2024-03-27,0.0,7.7,481.8,473.7,963.2,0.0,985.2,1.1,0.0,986.3
2024-03-28,0.0,3.0,678.0,710.6,1392.0,0.0,1236.1,0.0,0.0,1236.1
2024-03-29,0.0,3.0,692.0,712.0,1406.9,0.0,1248.3,0.0,0.0,1248.3
2024-03-30,0.0,5.0,693.0,711.0,1409.0,0.0,1251.5,0.0,0.0,1251.5
2024-03-31,0.0,4.0,696.0,711.0,1411.4,0.0,1253.0,0.0,0.0,1253.0
2024-04-01,0.0,14.0,685.0,712.0,1407.3,0.0,1249.2,0.0,0.0,1249.2
2024-04-02,0.0,9.0,688.0,712.0,1408.6,0.0,1236.8,0.0,0.0,1236.8
2024-04-03,0.0,5.0,692.0,697.0,1394.5,0.0,1250.9,0.0,0.0,1250.9
2024-04-04,0.0,0.0,0.0,712.0,712.5,0.0,148.2,1.9,0.0,150.1
2024-04-05,0.0,0.0,273.0,170.0,442.8,0.0,710.8,4.2,0.0,715.0
2024-04-06,0.0,0.0,339.0,522.0,860.5,0.0,347.3,1.5,0.0,348.8
2024-04-07,0.0,55.0,0.0,0.0,54.9,0.0,359.6,2.2,0.0,361.8
2024-04-08,0.0,8.0,692.0,405.0,1105.1,0.0,1254.9,0.0,0.0,1254.9
2024-04-09,0.0,7.0,689.0,714.0,1409.5,0.0,1251.0,0.1,0.0,1251.1
2024-04-10,0.0,12.0,692.0,715.0,1410.7,0.0,1249.9,0.0,0.0,1250.3
2024-04-11,0.0,5.0,688.0,716.0,1407.9,0.0,1247.0,0.0,0.0,1247.0
2024-04-12,0.0,7.0,689.0,715.0,1411.2,0.0,1249.0,0.0,0.0,1249.3
2024-04-13,0.0,3.0,692.0,716.0,1410.9,0.0,1248.0,0.0,0.0,1248.3
2024-04-14,0.0,0.0,670.0,715.0,1385.2,0.0,1223.0,8.0,0.0,1231.0
2024-04-15,0.0,13.0,686.0,715.0,1408.6,0.0,1246.0,0.0,0.0,1245.8
2024-04-16,0.0,5.0,1401.0,0.0,1400.8,0.0,1237.0,0.0,0.0,1237.0
2024-04-17,0.0,1.0,682.0,714.0,1396.7,0.0,1236.0,0.0,0.0,1235.6
2024-04-18,0.0,13.0,675.0,714.0,1402.0,0.0,1243.0,0.0,0.0,1242.5
2024-04-19,0.0,0.0,1115.0,0.0,1402.3,0.0,615.0,12.0,0.0,1241.5
2024-04-20,0.0,5.0,683.0,715.0,1402.8,0.0,1241.0,0.0,0.0,1241.4
2024-04-21,0.0,1.0,393.0,716.0,1110.0,0.0,985.0,8.0,0.0,993.5
2024-04-22,0.0,2.0,685.0,715.0,1402.5,0.0,1244.0,0.0,0.0,1243.5
2024-04-23,0.0,1.0,682.0,717.0,1400.11,0.0,1238.0,0.0,0.0,1238.0
2024-04-24,0.0,1.0,686.0,714.0,1400.7,0.0,851.0,0.0,0.0,851.3
2024-04-25,0.0,2.0,295.0,0.0,297.0,0.0,264.0,389.0,0.0,652.5
2024-04-26,0.0,0.0,689.0,721.0,1410.5,0.0,1242.0,0.0,0.0,1242.1
2024-04-27,0.0,1.0,689.0,714.0,1403.7,0.0,1243.0,0.0,0.0,1242.8
2024-04-28,0.0,0.0,576.0,714.0,1289.91,0.0,1142.0,7.0,0.0,1149.2
2024-04-29,0.0,1.0,687.0,714.0,1402.11,0.0,1241.0,0.0,0.0,1241.4
2024-04-30,0.0,1.0,686.0,714.0,1401.11,0.0,1242.0,0.0,0.0,1242.0
2024-05-01,0.0,0.0,269.0,714.0,982.8,0.0,814.0,7.0,0.0,820.9
2024-05-02,0.0,0.0,188.0,646.0,834.0,0.0,582.0,6.0,0.0,588.2
2024-05-03,0.0,0.0,161.0,393.0,553.5,0.0,517.0,9.0,0.0,526.4
2024-05-04,0.0,3.0,454.0,426.0,883.11,0.0,828.0,0.0,0.0,827.7
2024-05-05,0.0,2.0,452.0,476.0,929.61,0.0,823.0,0.0,0.0,823.1
2024-05-06,0.0,1.0,579.0,349.0,929.11,0.0,965.0,0.0,0.0,965.0
2024-05-07,0.0,1.0,687.0,712.0,1400.41,0.0,1240.0,0.0,0.0,1239.5
2024-05-08,0.0,2.0,687.0,714.0,1403.11,0.0,1241.0,0.0,0.0,1241.0
2024-05-09,0.0,0.0,690.5,713.0,1403.5,0.0,1241.5,0.0,0.0,1241.5
2024-05-10,0.0,0.0,691.0,714.0,1405.3,0.0,1242.0,0.0,0.0,1242.5
2024-05-11,0.0,1.0,689.0,713.0,1403.11,0.0,1241.0,0.0,0.0,1240.8
2024-05-12,0.0,0.0,0.0,713.0,713.41,0.0,0.0,0.0,0.0,-0.2
2024-05-13,0.0,0.0,693.0,11.0,703.91,0.0,1244.0,0.0,0.0,1244.11
2024-05-14,0.0,1.0,684.0,712.0,1397.3,0.0,1237.0,0.0,0.0,1237.3
2024-05-15,0.0,0.0,686.0,714.0,1400.41,0.0,1238.0,0.0,0.0,1238.5
2024-05-16,0.0,1.0,687.0,714.0,1402.3,0.0,1240.0,0.0,0.0,1239.91
2024-05-17,0.0,0.0,685.0,714.0,1399.3,0.0,1239.0,0.0,0.0,1238.61
2024-05-18,0.0,2.0,686.0,714.0,1401.8,0.0,1241.0,0.0,0.0,1240.91
2024-05-19,0.0,0.0,667.0,713.0,1379.91,0.0,1221.0,5.0,0.0,1226.3
2024-05-20,0.0,2.0,690.0,713.0,1405.0,0.0,1246.0,0.0,0.0,1246.5
2024-05-21,0.0,0.0,690.0,713.0,1402.7,0.0,1244.0,0.0,0.0,1244.0
2024-05-22,0.0,0.0,689.0,713.0,1401.8,0.0,1241.0,0.0,0.0,1241.3
2024-05-23,0.0,0.0,688.0,712.0,1399.7,0.0,1241.0,0.0,0.0,1241.11
2024-05-24,0.0,0.3,688.3,713.0,1401.59,0.0,1242.2,0.0,0.0,1242.2
2024-05-25,0.0,0.5,688.7,713.7,1402.91,0.0,1238.69,2.0,0.0,1240.69
2024-05-26,0.0,0.5,688.09,711.7,1400.3,0.0,1243.2,0.3,0.0,1243.5
2024-05-27,0.0,0.19,676.81,712.2,1389.2,0.0,1231.09,1.11,0.0,1232.2
2024-05-28,0.0,0.2,673.59,696.59,1370.39,0.0,1224.91,1.0,0.0,1225.91
2024-05-29,0.0,1.2,688.0,0.0,689.2,0.0,1239.2,0.91,0.0,1240.11
2024-05-30,0.0,0.0,689.2,712.91,1402.11,0.0,1235.8,0.0,0.0,1235.8
2024-05-31,0.0,1.7,690.3,707.8,1399.8,0.0,1243.0,0.0,0.0,1243.0
2024-06-01,0.0,0.59,689.91,712.5,1403.0,0.0,1241.09,0.5,0.0,1241.59
2024-06-02,0.0,0.48,691.7,712.7,1404.89,0.0,1245.31,0.69,0.0,1246.0
2024-06-03,0.0,0.2,689.09,714.31,1403.61,0.0,1243.8,0.11,0.0,1243.91
2024-06-04,0.0,0.59,689.31,713.89,1403.8,0.0,1242.5,0.7,0.0,1243.2
2024-06-05,0.0,0.39,690.52,713.5,1404.41,0.0,1243.3,0.09,0.0,1243.39
2024-06-06,0.0,0.8,680.8,712.3,1393.89,0.0,1232.59,0.7,0.0,1233.3
2024-06-07,0.0,2.59,687.0,712.2,1401.8,0.0,1242.81,0.0,0.0,1242.81
2024-06-08,0.0,2.3,687.5,711.81,1401.61,0.0,1240.69,0.0,0.0,1240.69
2024-06-09,0.0,0.41,688.19,711.3,1399.89,0.0,1240.31,0.59,0.0,1240.91
2024-06-10,0.0,2.11,665.59,711.61,1379.31,0.0,1222.41,0.0,0.0,1222.41
2024-06-11,0.0,0.3,686.91,710.59,1397.8,0.0,1237.39,0.3,0.0,1237.69
2024-06-12,0.0,1.41,689.5,711.3,1402.2,0.0,1238.91,1.09,0.0,1240.0
2024-06-13,0.0,2.31,685.98,711.0,1399.3,0.0,1239.11,0.0,0.0,1239.11
2024-06-14,0.0,0.8,690.41,711.8,1403.0,0.0,1239.7,1.0,0.0,1240.7
2024-06-15,0.0,0.58,689.13,710.59,1400.3,0.0,1242.09,0.8,0.0,1242.89
2024-06-16,0.0,0.0,8.3,714.5,722.8,0.0,359.89,0.31,0.0,360.2
2024-06-17,0.0,0.81,442.19,398.2,841.2,0.0,928.7,0.0,0.0,928.7
2024-06-18,0.0,0.41,675.3,605.7,1281.41,0.0,1226.7,1.69,0.0,1228.39
2024-06-19,0.0,1.7,684.5,713.19,1399.39,0.0,1235.3,0.11,0.0,1235.41
2024-06-20,0.0,0.89,672.61,711.61,1385.11,0.0,1225.0,0.0,0.0,1225.0
2024-06-21,0.0,0.81,619.48,712.89,1333.19,0.0,1176.0,0.8,0.0,1176.8
2024-06-22,0.0,0.8,661.2,713.41,1375.41,0.0,1213.8,0.0,0.0,1213.8
2024-06-23,0.0,0.59,687.02,711.8,1399.41,0.0,1237.41,0.0,0.0,1237.41
2024-06-24,0.0,1.2,662.19,710.8,1374.19,0.0,1214.3,0.0,0.0,1214.3
2024-06-25,0.0,0.69,684.61,711.91,1397.2,0.0,1235.61,0.0,0.0,1235.61
2024-06-26,0.0,0.41,674.59,711.8,1386.8,0.0,1226.5,0.0,0.0,1226.5
2024-06-27,0.0,0.59,671.61,712.5,1384.7,0.0,1223.0,0.0,0.0,1223.0
2024-06-28,0.0,0.5,672.0,711.0,1383.5,0.0,1222.48,0.11,0.0,1222.59
2024-06-29,0.0,1.11,686.69,710.7,1398.5,0.0,1237.5,0.81,0.0,1238.31
2024-06-30,0.0,0.41,325.69,712.41,1038.5,0.0,924.91,0.5,0.0,925.41
2024-07-01,0.0,333.7,351.61,709.89,1395.2,656.11,284.59,293.8,0.0,1234.5
2024-07-02,0.0,320.5,347.5,709.7,1377.7,658.8,267.61,291.09,0.0,1217.5
2024-07-03,0.0,311.19,340.42,709.59,1361.2,657.59,254.2,293.0,0.0,1204.8
2024-07-04,0.0,320.0,344.8,710.5,1375.3,984.08,139.2,291.91,0.0,1415.19
2024-07-05,0.0,1.31,663.3,700.59,1365.2,879.61,325.09,0.0,0.0,1204.7
2024-07-06,0.0,2.0,673.8,703.0,1378.8,889.0,324.3,0.0,0.0,1213.3
2024-07-07,0.0,0.3,700.3,703.0,1403.59,875.5,364.89,0.0,0.0,1240.39
2024-07-08,0.0,1.91,637.3,702.7,1341.91,855.7,325.5,0.0,0.0,1181.2
2024-07-09,0.0,2.0,641.69,702.2,1345.89,857.0,328.0,0.0,0.0,1185.0
2024-07-10,0.0,0.5,641.11,702.7,1344.31,857.69,325.61,0.0,0.0,1183.3
2024-07-11,0.0,2.09,630.0,702.5,1334.59,850.5,324.31,0.0,0.0,1174.81
2024-07-12,0.0,0.0,0.0,702.2,702.2,0.0,0.0,0.0,0.0,0.0
总计,0.0,2014.17,114309.84,121673.19,238204.55,9021.58,198824.9,1683.72,0.0,210145.27
