Top10SalesRankings-Series,Top10SalesRankings-Category,Top10SalesRankings-StyleNumber\ColorCode,Top10SalesRankings-TagPrice,Top10SalesRankings-CumulativeSales-Quantity,Top10SalesRankings-TagPriceAmount,Top10SalesRankings-SalesAmount,Top10SalesRankings-Discount,Top10SalesRankings-Inventory-Quantity,Top10SalesRankings-TagPriceAmount.1,Top10SalesRankings-Sell-throughrate-Sell-throughrate,Top10SalesRankings-Stock-to-SalesRatio-Stock-to-SalesRatio,Unnamed: 12,SalesRankingBottomTen-Series,SalesRankingBottomTen-Category,SalesRankingBottomTen-StyleNumber\ColorCode,SalesRankingBottomTen-TagPrice,SalesRankingBottomTen-CumulativeSales-Quantity,SalesRankingBottomTen-TagPriceAmount,SalesRankingBottomTen-SalesAmount,SalesRankingBottomTen-Discount,SalesRankingBottomTen-Inventory-Quantity,SalesRankingBottomTen-TagPriceAmount.1,SalesRankingBottomTen-Sell-throughrate-Sell-throughrate,SalesRankingBottomTen-Stock-to-SalesRatio-Stock-to-SalesRatio
Spring and Summer Underwear,Short sleeve,514105\10,168,70,11760,8873,0.75,1220,204960,,,,Spring and Summer Underwear,Short sleeve,114511107\10,599,1,599,419,0.7,46,27554,,
Underwear,Straight-leg pants,114631208\00,99,258,25542,25351,0.99,1196,118404,,,,Underwear,Boxer Briefs,110621204\97,98,1,98,98,1.0,110,10780,,
Underwear,Triangle Shorts,614202\95,68,230,15640,11514,0.74,1452,98736,,,,Underwear,Boxer Briefs,110631301\61,88,1,88,86,0.98,(1),(88),,
Underwear,Triangle Shorts,614202\75,68,217,14756,11029,0.75,932,63376,,,,Underwear,Straight-leg pants,111631209\90,158,1,158,111,0.7,(5),(790),,
Underwear,Triangle Shorts,109611208\64,69,208,14352,10676,0.74,1122,77418,,,,Underwear,Straight-leg pants,112621203\80,69,1,69,69,1.0,7,483,,
Underwear,Triangle Shorts,614202\90,68,202,13736,10573,0.77,673,45764,,,,Underwear,Straight-leg pants,112621204\80,69,1,69,69,1.0,10,690,,
Underwear,Triangle Shorts,109611208\48,69,187,12903,9595,0.74,905,62445,,,,Underwear,Straight-leg pants,112621205\10,69,1,69,69,1.0,6,414,,
Underwear,Triangle Shorts,614202\61,68,181,12308,8678,0.71,1684,114512,,,,Underwear,Straight-leg pants,112631204\95,99,1,99,99,1.0,11,1089,,
Underwear,Straight-leg pants,637214\64,118,161,18998,13545,0.71,1815,214170,,,,Underwear,Straight-leg pants,112631208\16,299,1,299,263,0.88,102,30498,,
Underwear,Straight-leg pants,637214\90,118,161,18998,14663,0.77,1026,121068,,,,Underwear,Straight-leg pants,112631208\74,299,1,299,255,0.85,86,25714,,
Underwear,Straight-leg pants,626248\92,48,150,7200,5032,0.7,1811,86928,,,,Underwear,Straight-leg pants,112631224\80,499,1,499,449,0.9,12,5988,,
Fitness Yoga,Seven-Eighths Pants,111321705\80,278,65,18070,15566,0.86,65,18070,,,,Fitness Yoga,Tank top,110301216\31,218,1,218,153,0.7,93,20274,,
Fitness Yoga,Seven-Eighths Pants,112321701\80,298,55,16390,13646,0.83,65,19370,,,,Fitness Yoga,Tank top,110301216\38,218,1,218,153,0.7,77,16786,,
Fitness Yoga,Straight Fit Trousers,109381111\80,238,38,9044,7275,0.8,55,13090,,,,Fitness Yoga,Tank top,110361202\91,238,1,238,167,0.7,20,4760,,
Fitness Yoga,Bralette,110421207\80,158,33,5214,4491,0.86,59,9322,,,,Fitness Yoga,Tank top,111301201\71,238,1,238,191,0.8,59,14042,,
Fitness Yoga,Tank Top,112421209\97,198,29,5742,4648,0.81,68,13464,,,,Fitness Yoga,Tank top,111301215\93,238,1,238,190,0.8,1,238,,
Fitness Yoga,Straight Fit Trousers,111321101\80,278,29,8062,6552,0.81,58,16124,,,,Fitness Yoga,Tank top,112361203\80,368,1,368,324,0.88,122,44896,,
Fitness Yoga,Tank top,112301205\93,298,23,6854,5821,0.85,93,27714,,,,Fitness Yoga,Tank top,113304202\80,368,1,368,294,0.8,39,14352,,
Fitness Yoga,Nine-Tenths Pant,111321901\80,258,23,5934,4288,0.72,54,13932,,,,Fitness Yoga,Tank top,113304202\97,368,1,368,331,0.9,38,13984,,
Fitness Yoga,Seven-Eighths Pants,112321702\64,298,22,6556,5139,0.78,93,27714,,,,Fitness Yoga,Tank top,114361201\72,368,1,368,331,0.9,24,8832,,
Fitness Yoga,Bra,111421209\80,138,22,3036,2585,0.85,73,10074,,,,Fitness Yoga,Tank top,114361201\92,368,1,368,331,0.9,24,8832,,
Fitness Yoga Life,Seven-Eighths Pants,114394701\67,398,10,3980,3108,0.78,30,11940,,,,Fitness Yoga Life,Tank top,111317202\64,238,1,238,167,0.7,50,11900,,
Fitness Yoga Life,Knit Hooded Jacket,113901301\92,368,7,2576,2170,0.84,66,24288,,,,Fitness Yoga Life,Short-sleeve Knit Cap Sleeve Top,114392301\92,298,1,298,238,0.8,29,8642,,
Fitness Yoga Life,Seven-Eighths Pants,114394701\61,398,6,2388,2129,0.89,38,15124,,,,Fitness Yoga Life,Cardigan,112901202\92,498,1,498,349,0.7,24,11952,,
Fitness Yoga Life,Straight Leg Trousers,113921101\92,298,6,1788,1520,0.85,77,22946,,,,Fitness Yoga Life,Loose Fit Straight Leggings,111394104\83,238,1,238,167,0.7,63,14994,,
Fitness Yoga Life,Knit Cardigan Coat,114392303\41,398,5,1990,1690,0.85,18,7164,,,,Fitness Yoga Life,Hooded Cardigan,112901304\80,398,1,398,378,0.95,77,30646,,
Fitness Yoga Life,Knit Hooded Jacket,113901301\61,368,5,1840,1325,0.72,74,27232,,,,Fitness Yoga Life,Hooded Pullover,111901101\62,498,1,498,398,0.8,141,70218,,
Fitness Yoga Life,Straight Leg Trousers,113921101\61,298,4,1192,835,0.7,77,22946,,,,Fitness Yoga Life,Hooded Pullover,113903101\31,398,1,398,318,0.8,13,5174,,
Fitness Yoga Life,Straight Leg Trousers,114394101\41,298,4,1192,1028,0.86,21,6258,,,,Fitness Yoga Life,Hooded Pullover,113903101\61,398,1,398,318,0.8,12,4776,,
Fitness Yoga Life,Cardigan,111901202\93,368,3,1104,774,0.7,19,6992,,,,Fitness Yoga Life,Vest,111901307\76,428,1,428,385,0.9,93,39804,,
Fitness Yoga Life,Loose Fit Straight Leggings,111394104\80,238,3,714,594,0.83,61,14518,,,,Fitness Yoga Life,Seven-Eighths Pants,113394701\60,298,1,298,268,0.9,32,9536,,
Running Series,Six-Fourth Pants,111322701\80,238,9,2142,1469,0.69,63,14994,,,,Running Series,Tank top,111302205\72,258,1,258,245,0.95,43,11094,,
Running Series,Six-Fourth Pants,111322701\83,238,7,1666,1152,0.69,35,8330,,,,Running Series,Tank top,111302206\93,258,1,258,258,1.0,35,9030,,
Running Series,Woven Cardigan Coat,114905201\40,568,6,3408,2896,0.85,12,6816,,,,Running Series,Shorts,110332203\64,218,1,218,196,0.9,37,8066,,
Running Series,Short-sleeve T-shirt,114302402\37,298,5,1490,1250,0.84,25,7450,,,,Running Series,Shorts,111332502\80,238,1,238,167,0.7,15,3570,,
Running Series,Woven Cardigan Coat,114905201\93,568,5,2840,2385,0.84,17,9656,,,,Running Series,Short sleeve,113302401\94,168,1,168,160,0.95,45,7560,,
Running Series,Tank top,318001\10,168,4,672,472,0.7,86,14448,,,,Running Series,Nine-Tenths Pant,111322901\64,198,1,198,188,0.95,16,3168,,
Running Series,Short-sleeve T-shirt,114302402\10,298,4,1192,1042,0.87,27,8046,,,,Running Series,Nine-Tenths Pant,111322901\80,198,1,198,188,0.95,35,6930,,
Running Series,Seven-Eighths Pants,114322701\95,398,4,1592,1432,0.9,21,8358,,,,Running Series,Seven-Eighths Pants,111322703\77,138,1,138,138,1.0,52,7176,,
Running Series,Short-sleeve T-shirt,114302402\93,298,3,894,714,0.8,27,8046,,,,Running Series,Five-pocket pants,110332204\64,218,1,218,196,0.9,65,14170,,
Running Series,Tank top,318001\90,168,2,336,244,0.73,88,14784,,,,Running Series,Shorts,113322201\42,368,2,736,662,0.9,23,8464,,
Swim Trunks for Kids,Flat mouth,113151602\75,158,27,4266,3422,0.8,639,100962,,,,Swim Trunks for Kids,Flat mouth,112151608\80,128,1,128,96,0.75,325,41600,,
Swim Trunks for Kids,Flat mouth,113151602\68,158,26,4108,3092,0.75,618,97644,,,,Swim Trunks for Kids,Flat mouth,111151601\76,108,2,216,162,0.75,26,2808,,
Swim Trunks for Kids,Flat mouth,111151602\75,108,24,2592,1943,0.75,394,42552,,,,Swim Trunks for Kids,Flat mouth,111151604\75,108,3,324,258,0.8,7,756,,
Swim Trunks for Kids,Flat mouth,112151602\75,138,19,2622,2140,0.82,236,32568,,,,Swim Trunks for Kids,Flat mouth,112151608\75,128,4,512,381,0.74,248,31744,,
Swim Trunks for Kids,Flat mouth,113151606\75,128,17,2176,1866,0.86,473,60544,,,,Swim Trunks for Kids,Flat mouth,112151603\75,138,6,828,611,0.74,581,80178,,
Swim Trunks for Kids,Flat mouth,112151602\90,138,11,1518,1164,0.77,343,47334,,,,Swim Trunks for Kids,Flat mouth,113151605\73,128,10,1280,1018,0.8,164,20992,,
Swimwear for children,One-piece long dress,113121105\90,208,27,5616,4465,0.8,281,58448,,,,Swimwear for children,One-piece long dress,113121102\92,238,1,238,166,0.7,350,83300,,
Swimwear for children,One-piece long dress,113121105\75,208,17,3536,2716,0.77,327,68016,,,,Swimwear for children,Two-piece separated dress,112121204\75,198,2,396,278,0.7,2,396,,
Swimwear for children,One-piece long dress,114121101\92,198,12,2376,1661,0.7,181,35838,,,,Swimwear for children,One-piece Triangle,112121306\75,218,3,654,526,0.8,376,81968,,
Swimwear for children,Two-piece separates pants,114121202\97,198,12,2376,1911,0.8,157,31086,,,,Swimwear for children,One-piece long dress,114121101\32,198,4,792,728,0.92,179,35442,,
Swimwear for children,One-piece Triangle,112121306\97,218,10,2180,1534,0.7,200,43600,,,,Swimwear for children,Two-piece separated dress,111121204\75,129,5,645,501,0.78,248,31992,,
Swimwear for children,One-piece long dress,113121106\92,198,9,1782,1411,0.79,201,39798,,,,Swimwear for children,One-piece long dress,113121104\41,238,6,1428,1138,0.8,295,70210,,
Swim Trunks,Flat mouth,112141618\75,128,114,14592,12107,0.83,790,101120,,,,Swim Trunks,Flat mouth,112141601\80,158,1,158,158,1.0,42,6636,,
Swim Trunks,Flat mouth,112141618\80,128,113,14464,11822,0.82,773,98944,,,,Swim Trunks,Flat mouth,112141608\75,198,1,198,178,0.9,35,6930,,
Swim Trunks,Five Points,113141502\80,198,103,20394,17144,0.84,480,95040,,,,Swim Trunks,Flat mouth,113141604\75,158,1,158,111,0.7,10,1580,,
Swim Trunks,Flat mouth,113141612\74,198,91,18018,14163,0.79,714,141372,,,,Swim Trunks,Flat mouth,113141606\75,398,1,398,358,0.9,478,190244,,
Swim Trunks,Flat mouth,113141611\75,158,77,12166,10061,0.83,644,101752,,,,Swim Trunks,Triangle,113141803\68,298,1,298,253,0.85,83,24734,,
Swim Trunks,Flat mouth,113141609\74,158,76,12008,9526,0.79,677,106966,,,,Swim Trunks,Five Points,112141501\75,298,1,298,209,0.7,14,4172,,
Swim Trunks,Flat mouth,113141611\67,158,43,6794,5676,0.84,475,75050,,,,Swim Trunks,Five Points,112141505\80,398,1,398,358,0.9,55,21890,,
Swim Trunks,Flat mouth,113141609\50,158,40,6320,5099,0.81,551,87058,,,,Swim Trunks,Flat mouth,109141614\71,159,2,318,318,1.0,17,2703,,
Swim Trunks,Flat mouth,113141603\68,198,39,7722,5801,0.75,313,61974,,,,Swim Trunks,Flat mouth,109141615\64,129,2,258,258,1.0,6,774,,
Swim Trunks,Flat mouth,113141612\97,198,35,6930,5626,0.81,310,61380,,,,Swim Trunks,Flat mouth,112141601\75,158,2,316,316,1.0,40,6320,,
Swimwear,One-piece long dress,113111104\80,398,46,18308,14622,0.8,344,136912,,,,Swimwear,One-piece long dress,112111128\80,528,1,528,370,0.7,23,12144,,
Swimwear,One-piece straight waistband,113111602\75,398,37,14726,11059,0.75,298,118604,,,,Swimwear,One-piece long dress,113111119\92,499,1,499,399,0.8,241,120259,,
Swimwear,Two-piece separates pants,113111227\80,398,37,14726,11289,0.77,230,91540,,,,Swimwear,One-piece Triangle,112111308\80,398,1,398,279,0.7,2,796,,
Swimwear,One-piece long dress,113111104\75,398,34,13532,10295,0.76,82,32636,,,,Swimwear,One-piece Triangle,112111311\80,398,1,398,350,0.88,9,3582,,
Swimwear,One-piece long dress,113111113\75,398,30,11940,8451,0.71,180,71640,,,,Swimwear,Two-piece separates pants,112111220\75,398,1,398,358,0.9,10,3980,,
Swimwear,Two-piece separates pants,113111227\97,398,27,10746,7734,0.72,219,87162,,,,Swimwear,Two-piece separates pants,112111233\80,328,1,328,230,0.7,66,21648,,
Swimwear,One-piece long dress,112111102\28,498,25,12450,8590,0.69,64,31872,,,,Swimwear,Two-piece dress set,113111323\95,998,1,998,878,0.88,104,103792,,
Swimwear,One-piece straight waistband,113111602\63,398,21,8358,6499,0.78,304,120992,,,,Swimwear,Three-piece Separate Dress,112111205\97,398,1,398,398,1.0,7,2786,,
Swimwear,One-piece straight waistband,113111602\80,398,21,8358,6593,0.79,296,117808,,,,Swimwear,Three-piece Separate Dress,112111206\75,498,1,498,438,0.88,,,,
Swimwear,Two-piece separates pants,113111226\80,398,21,8358,6239,0.75,178,70844,,,,Swimwear,Three-piece Separate Dress,112111209\75,498,1,498,349,0.7,5,2490,,
Swim Accessories,Children's Swimming Goggles,110161201\71,118,23,2714,2421,0.89,187,22066,,,,Swim Accessories,Children's Swimming Goggles,110161201\80,118,1,118,104,0.88,21,2478,,
Swim Accessories,Children's Swimming Goggles,066201\92,88,21,1848,1579,0.85,217,19096,,,,Swim Accessories,Children's Swimming Goggles,10920003\92,60,2,120,114,0.95,91,5460,,
Swim Accessories,Children's Swimming Goggles,110161201\74,118,20,2360,1977,0.84,220,25960,,,,Swim Accessories,Children's Swimming Goggles,110161202\71,88,2,176,176,1.0,15,1320,,
Swim Accessories,Children's Swimming Goggles,066201\50,88,19,1672,1476,0.88,220,19360,,,,Swim Accessories,Children's Swimming Goggles,111161201\70,88,2,176,167,0.95,19,1672,,
Swim Accessories,Children's Swimming Goggles,066201\35,88,15,1320,1092,0.83,233,20504,,,,Swim Accessories,Children's Swimming Goggles,111161202\64,118,2,236,236,1.0,40,4720,,
Swim Accessories,Children's Swimming Goggles,113161203\74,88,14,1232,1158,0.94,215,18920,,,,Swim Accessories,Children's Swimming Goggles,10920003\93,60,3,180,156,0.87,31,1860,,
Swim Accessories,Children's Swimming Goggles,113161202\93,158,11,1738,1429,0.82,248,39184,,,,Swim Accessories,Children's Swimming Goggles,111161201\30,88,3,264,253,0.96,99,8712,,
Swim Accessories,Children's Swimming Goggles,113161203\97,88,11,968,888,0.92,48,4224,,,,Swim Accessories,Children's Swimming Goggles,111161201\80,88,3,264,264,1.0,50,4400,,
Swim Accessories,Children's Swimming Goggles,066201\72,88,10,880,799,0.91,241,21208,,,,Swim Accessories,Children's Swimming Goggles,110161202\92,88,4,352,322,0.91,38,3344,,
Swim Accessories,Children's Swimming Goggles,111161201\92,88,10,880,788,0.9,68,5984,,,,Swim Accessories,Children's Swimming Goggles,111161203\94,118,4,472,424,0.9,45,5310,,
Swim Accessories,Children's Swim Cap,111171202\92,28,7,196,182,0.93,109,3052,,,,Swim Accessories,Children's Swim Cap,074201\97,20,1,20,18,0.9,19,380,,
Swim Accessories,Children's Swim Cap,074201\52,20,5,100,96,0.96,116,2320,,,,Swim Accessories,Children's Swim Cap,10921002\10,60,1,60,60,1.0,10,600,,
Swim Accessories,Children's Swim Cap,074201\92,20,5,100,98,0.98,60,1200,,,,Swim Accessories,Children's Swim Cap,111171202\72,28,1,28,28,1.0,230,6440,,
Swim Accessories,Children's Swim Cap,113171301\97,88,5,440,396,0.9,41,3608,,,,Swim Accessories,Children's Swim Cap,111171204\75,28,1,28,28,1.0,116,3248,,
Swim Accessories,Children's Swim Cap,074201\90,20,4,80,78,0.98,66,1320,,,,Swim Accessories,Children's Swim Cap,111171499\75,58,1,58,52,0.9,33,1914,,
Swim Accessories,Children's Swim Cap,113171203\72,28,4,112,100,0.89,276,7728,,,,Swim Accessories,Children's Swim Cap,111171499\80,58,1,58,58,1.0,112,6496,,
Swim Accessories,Children's Swim Cap,074201\53,20,3,60,56,0.93,60,1200,,,,Swim Accessories,Children's Swim Cap,113171201\53,28,1,28,28,1.0,146,4088,,
Swim Accessories,Children's Swim Cap,074201\80,20,3,60,60,1.0,152,3040,,,,Swim Accessories,Children's Swim Cap,113171203\75,28,1,28,28,1.0,184,5152,,
Swim Accessories,Children's Swim Cap,10921002\70,60,3,180,150,0.83,48,2880,,,,Swim Accessories,Children's Swim Cap,113171203\90,28,1,28,25,0.9,65,1820,,
Swim Accessories,Children's Swim Cap,074201\71,20,2,40,48,1.2,183,3660,,,,Swim Accessories,Children's Swim Cap,178301\61,58,1,58,55,0.95,34,1972,,
Swim Accessories,Adult Swim Goggles,065107\76,158,50,7900,10394,1.32,310,48980,,,,Swim Accessories,Adult Swim Goggles,064101\80,179,1,179,179,1.0,49,8771,,
Swim Accessories,Adult Swim Goggles,113161113\80,238,28,6664,5979,0.9,177,42126,,,,Swim Accessories,Adult Swim Goggles,064109\72,178,1,178,125,0.7,137,24386,,
Swim Accessories,Adult Swim Goggles,113161113\72,238,27,6426,5552,0.86,177,42126,,,,Swim Accessories,Adult Swim Goggles,066101\74,298,1,298,298,1.0,18,5364,,
Swim Accessories,Adult Swim Goggles,113161107\80,238,25,5950,5218,0.88,152,36176,,,,Swim Accessories,Adult Swim Goggles,066115\26,368,1,368,258,0.7,3,1104,,
Swim Accessories,Adult Swim Goggles,113161113\91,238,25,5950,5106,0.86,228,54264,,,,Swim Accessories,Adult Swim Goggles,10920004\71,218,1,218,196,0.9,94,20492,,
Swim Accessories,Adult Swim Goggles,113161104\67,328,23,7544,6723,0.89,122,40016,,,,Swim Accessories,Adult Swim Goggles,10920004\92,218,1,218,218,1.0,51,11118,,
Swim Accessories,Adult Swim Goggles,113161109\45,328,21,6888,6100,0.89,62,20336,,,,Swim Accessories,Adult Swim Goggles,111161104\80,368,1,368,294,0.8,11,4048,,
Swim Accessories,Adult Swim Goggles,113161109\90,328,19,6232,5595,0.9,173,56744,,,,Swim Accessories,Adult Swim Goggles,111161108\64,158,1,158,214,1.36,15,2370,,
Swim Accessories,Adult Swim Goggles,065107\72,158,14,2212,2885,1.3,131,20698,,,,Swim Accessories,Adult Swim Goggles,111161112\97,128,1,128,89,0.7,95,12160,,
Swim Accessories,Adult Swim Goggles,112161103\80,238,14,3332,2913,0.87,74,17612,,,,Swim Accessories,Adult Swim Goggles,112161107\98,298,1,298,253,0.85,99,29502,,
Swim Accessories,Adult Swim Cap,113171101\75,48,53,2544,2323,0.91,188,9024,,,,Swim Accessories,Adult Swim Cap,074401\10,50,1,50,50,1.0,2,100,,
Swim Accessories,Adult Swim Cap,113171101\80,48,37,1776,1663,0.94,195,9360,,,,Swim Accessories,Adult Swim Cap,110171104\92,38,1,38,34,0.9,10,380,,
Swim Accessories,Adult Swim Cap,077701\75,158,31,4898,4309,0.88,134,21172,,,,Swim Accessories,Adult Swim Cap,111171103\34,38,1,38,38,1.0,125,4750,,
Swim Accessories,Adult Swim Cap,178403\92,158,31,4898,4252,0.87,230,36340,,,,Swim Accessories,Adult Swim Cap,111171104\31,38,1,38,32,0.85,23,874,,
Swim Accessories,Adult Swim Cap,074501\69,60,29,1740,1619,0.93,227,13620,,,,Swim Accessories,Adult Swim Cap,111171127\75,38,1,38,38,1.0,6,228,,
Swim Accessories,Adult Swim Cap,074501\76,60,29,1740,1567,0.9,221,13260,,,,Swim Accessories,Adult Swim Cap,111171130\70,38,1,38,38,1.0,8,304,,
Swim Accessories,Adult Swim Cap,077701\69,158,28,4424,3834,0.87,313,49454,,,,Swim Accessories,Adult Swim Cap,111171401\80,78,1,78,63,0.81,79,6162,,
Swim Accessories,Adult Swim Cap,074101\80,30,24,720,658,0.91,85,2550,,,,Swim Accessories,Adult Swim Cap,111171501\75,98,1,98,88,0.9,45,4410,,
Swim Accessories,Adult Swim Cap,074501\92,60,24,1440,1306,0.91,217,13020,,,,Swim Accessories,Adult Swim Cap,111171501\92,98,1,98,67,0.68,5,490,,
Swim Accessories,Adult Swim Cap,113171101\74,48,24,1152,1050,0.91,179,8592,,,,Swim Accessories,Adult Swim Cap,112171101\92,38,1,38,38,1.0,31,1178,,
Sports Bra,Canshou,110431301\61,108,134,14472,10910,0.75,389,42012,,,,Sports Bra,Tank top,111431204\80,138,1,138,97,0.7,45,6210,,
Sports Bra,Canshou,110431301\10,108,118,12744,9785,0.77,274,29592,,,,Sports Bra,Long sleeve,111421503\70,238,1,238,167,0.7,49,11662,,
Sports Bra,Canshou,110431301\80,108,94,10152,7981,0.79,548,59184,,,,Sports Bra,Long sleeve,111421503\80,238,1,238,167,0.7,17,4046,,
Sports Bra,Tank top,110431201\61,78,86,6708,5232,0.78,605,47190,,,,Sports Bra,Long sleeve,111431501\83,238,1,238,190,0.8,58,13804,,
Sports Bra,Tank top,110431201\10,78,84,6552,5090,0.78,556,43368,,,,Sports Bra,Short sleeve,111431402\95,198,1,198,139,0.7,48,9504,,
Sports Bra,Short sleeve,110421401\61,108,83,8964,7214,0.8,413,44604,,,,Sports Bra,Short sleeve,111431403\80,198,1,198,139,0.7,45,8910,,
Sports Bra,Tank top,110431201\80,78,75,5850,4559,0.78,752,58656,,,,Sports Bra,Nine-Tenths Pant,111402902\80,198,1,198,139,0.7,18,3564,,
Sports Bra,Short sleeve,110421401\10,108,73,7884,6080,0.77,420,45360,,,,Sports Bra,Underwear,111401203\80,59,1,59,52,0.88,333,19647,,
Sports Bra,Short sleeve,110421401\80,108,70,7560,5698,0.75,447,48276,,,,Sports Bra,Bra,110421213\80,138,1,138,97,0.7,16,2208,,
Sports Bra,Canshou,114431301\61,138,43,5934,5177,0.87,203,28014,,,,Sports Bra,Tank top,110421205\61,108,1,108,92,0.85,146,15768,,
