编制单位：河南省郑州市登封市告成镇人民政府-项目-支出功能分类科目编码-支出功能分类科目编码-支出功能分类科目编码,项目-支出功能分类科目编码-支出功能分类科目编码-支出功能分类科目编码,项目-支出功能分类科目编码-支出功能分类科目编码-支出功能分类科目编码.1,项目-科目名称-科目名称-科目名称,支出决算表-2017年度-本年支出合计-本年支出合计-本年支出合计-本年支出合计,基本支出-基本支出-基本支出-基本支出,项目支出-项目支出-项目支出-项目支出,上缴上级支出-上缴上级支出-上缴上级支出-上缴上级支出,经营支出-经营支出-经营支出-经营支出,金额单位：万元-财决04表-对附属单位补助支出-对附属单位补助支出-对附属单位补助支出-对附属单位补助支出
2082502,2082502,2082502,其他农村生活救助,22,0,22,0,0,0
20899,20899,20899,其他社会保障和就业支出,17,0,17,0,0,0
2089901,2089901,2089901,其他社会保障和就业支出,17,0,17,0,0,0
210,210,210,医疗卫生与计划生育支出,90,30,60,0,0,0
21007,21007,21007,计划生育事务,10,0,10,0,0,0
2100799,2100799,2100799,其他计划生育事务支出,10,0,10,0,0,0
21011,21011,21011,行政事业单位医疗★,30,30,0,0,0,0
2101101,2101101,2101101,行政单位医疗★,30,30,0,0,0,0
21012,21012,21012,财政对基本医疗保险基金的补助★,50,0,50,0,0,0
2101203,2101203,2101203,财政对新型农村合作医疗基金的补助★,50,0,50,0,0,0
211,211,211,节能环保支出,347,0,347,0,0,0
21103,21103,21103,污染防治,313,0,313,0,0,0
2110301,2110301,2110301,大气,283,0,283,0,0,0
2110399,2110399,2110399,其他污染防治支出,30,0,30,0,0,0
21110,21110,21110,能源节约利用,35,0,35,0,0,0
2111001,2111001,2111001,能源节约利用,35,0,35,0,0,0
212,212,212,城乡社区支出,4343,0,4343,0,0,0
21203,21203,21203,城乡社区公共设施,2041,0,2041,0,0,0
2120303,2120303,2120303,小城镇基础设施建设,2041,0,2041,0,0,0
21205,21205,21205,城乡社区环境卫生,471,0,471,0,0,0
2120501,2120501,2120501,城乡社区环境卫生,471,0,471,0,0,0
21208,21208,21208,国有土地使用权出让收入及对应专项债务收入安排的支出,1831,0,1831,0,0,0
2120801,2120801,2120801,征地和拆迁补偿支出,14,0,14,0,0,0
2120803,2120803,2120803,城市建设支出,156,0,156,0,0,0
2120804,2120804,2120804,农村基础设施建设支出,28,0,28,0,0,0
2120899,2120899,2120899,其他国有土地使用权出让收入安排的支出,1633,0,1633,0,0,0
213,213,213,农林水支出,2005,0,2005,0,0,0
21301,21301,21301,农业,832,0,832,0,0,0
2130106,2130106,2130106,科技转化与推广服务,4,0,4,0,0,0
2130142,2130142,2130142,农村道路建设,300,0,300,0,0,0
2130199,2130199,2130199,其他农业支出,527,0,527,0,0,0
21302,21302,21302,林业,277,0,277,0,0,0
2130219,2130219,2130219,林业工程与项目管理,191,0,191,0,0,0
2130299,2130299,2130299,其他林业支出,86,0,86,0,0,0
21303,21303,21303,水利,50,0,50,0,0,0
2130399,2130399,2130399,其他水利支出,50,0,50,0,0,0
21305,21305,21305,扶贫,11,0,11,0,0,0
2130599,2130599,2130599,其他扶贫支出,11,0,11,0,0,0
21307,21307,21307,农村综合改革,835,0,835,0,0,0
2130701,2130701,2130701,对村级一事一议的补助,399,0,399,0,0,0
2130705,2130705,2130705,对村民委员会和村党支部的补助,436,0,436,0,0,0
214,214,214,交通运输支出,44,0,44,0,0,0
21401,21401,21401,公路水路运输,44,0,44,0,0,0
2140106,2140106,2140106,公路养护,44,0,44,0,0,0
215,215,215,资源勘探信息等支出,53,0,53,0,0,0
21505,21505,21505,工业和信息产业监管,50,0,50,0,0,0
2150599,2150599,2150599,其他工业和信息产业监管支出,50,0,50,0,0,0
21506,21506,21506,安全生产监管,3,0,3,0,0,0
2150605,2150605,2150605,安全监管监察专项,3,0,3,0,0,0
221,221,221,住房保障支出,60,60,0,0,0,0
22102,22102,22102,住房改革支出,60,60,0,0,0,0
2210201,2210201,2210201,住房公积金,60,60,0,0,0,0
229,229,229,其他支出,31,0,31,0,0,0
22960,22960,22960,彩票公益金及对应专项债务收入安排的支出,18,0,18,0,0,0
2296002,2296002,2296002,用于社会福利的彩票公益金支出,18,0,18,0,0,0
22999,22999,22999,其他支出,13,0,13,0,0,0
2299901,2299901,2299901,其他支出,13,0,13,0,0,0
