3-3  GNI per Capita,3-3  GNI per Capita.1,3-3  GNI per Capita.2,3-3  GNI per Capita.3,3-3  GNI per Capita.4,3-3  GNI per Capita.5,3-3  GNI per Capita.6,3-3  GNI per Capita.7
Botswana,Botswana,2540,3120,5070,6270,6750,7480
Brazil,Brazil,2700,3860,3960,8150,9540,10720
Brunei,Brunei Darussalam,12790,14960,23210,31800,,
Bulgaria,Bulgaria,2260,1620,3640,6080,6320,6550
Burkina Faso,Burkina Faso,310,230,390,520,550,570
Burundi,Burundi,210,130,140,210,230,250
Cambodia,Cambodia,,290,460,700,750,830
Cameroon,Cameroon,910,630,930,1210,1200,1210
Canada,Canada,20150,22130,33110,41890,43250,45560
The Cape Verde Islands,Cape Verde,960,1330,2080,3180,3280,3540
China - Africa,Central African Rep.,470,280,340,450,470,470
Zha De,Chad,260,180,430,650,710,690
Chile,Chile,2250,4840,5970,9970,10750,12280
Colombia,Colombia,1260,2350,2940,5060,5520,6110
Comoros,Comoros,530,380,610,740,750,770
Democratic Republic of the Congo,"Congo, Dem. Rep.",230,90,120,170,180,190
Congo (Brazzaville),"Congo, Rep.",910,560,980,1980,2240,2270
Costa Rica,Costa Rica,2340,3710,4680,6200,6860,7660
Côte d'Ivoire,Cote D'Ivoire,740,650,870,1160,1170,1100
Croatia,Croatia,,5220,9690,13810,13890,13850
Cuba,Cuba,2660,2620,3960,,,
Cyprus,Cyprus,9510,13440,21490,29710,29450,
Czech Republic,Czech Rep.,,5800,11890,17860,18490,18520
Denmark,Denmark,24120,31830,48590,58330,59410,60390
Djibouti,Djibouti,,750,990,1270,,
Dominica,Dominica,2300,3500,5210,6830,6900,7090
Dominica,Dominican Rep.,870,2620,2900,4690,5020,5240
Ecuador,Ecuador,900,1330,2620,3630,3850,4140
Egypt,Egypt,750,1440,1250,2160,2420,2600
El Salvador,El Salvador,890,2110,2820,3310,3370,3480
Equatorial Guinea,Equatorial Guinea,330,1270,5220,16710,13720,14540
Eritrea,Eritrea,,170,250,290,340,430
Estonia,Estonia,3190,4220,9730,14360,14180,15200
Ethiopia,Ethiopia,250,130,160,350,390,400
Fiji,Fiji,1790,2230,3590,3890,3610,3680
Finland,Finland,25220,25440,38550,46620,47460,48420
France,France,20160,24270,34850,42380,42190,42420
Jia Peng,Gabon,4930,3080,5110,7620,7680,7980
Gambia,Gambia,300,630,390,590,610,610
Georgia,Georgia,,750,1360,2540,2680,2860
Germany,Germany,20630,25300,34780,42400,42970,43980
Ghana,Ghana,400,340,460,1190,1250,1410
Greece,Greece,8590,12460,21400,28020,26890,25030
Greenland,Greenland,15690,20290,29690,26020,,
Grenada,Grenada,2250,4150,6570,6910,7010,7220
Guatemala,Guatemala,950,1730,2070,2660,2740,2870
Guinea,Guinea,450,400,420,380,390,440
Guinea-Bissau,Guinea-Bissau,220,180,410,550,580,600
Guyana,Guyana,390,890,1090,2640,2900,
Haiti,Haiti,350,470,400,670,650,700
Honduras,Honduras,700,940,1400,1780,1870,1970
Hungary,Hungary,2880,4580,10220,12980,12860,12730
Iceland,Iceland,24150,30800,49620,39140,33890,35020
India,India,390,450,730,1150,1260,1410
Indonesia,Indonesia,600,560,1220,2160,2500,2940
Iran,Iran,2450,1630,2550,4520,,
Iraq,Iraq,,,,2310,2380,2640
Ireland,Ireland,12200,23480,42380,44870,41720,38580
Israel,Israel,10860,17830,20180,25510,27270,28930
Italy,Italy,17900,21010,30880,35570,35530,35330
Jamaica,Jamaica,1790,3310,3920,4610,4700,4980
Japan,Japan,27090,35040,39140,37580,42050,45180
Jordan,Jordan,1390,1790,2490,3900,4140,4380
Kazakhstan,Kazakhstan,,1260,2950,6780,7500,8220
Kenya,Kenya,380,420,520,780,810,820
Kiribati,Kiribati,730,1380,1780,1840,2010,2110
South Korea,"Korea, Rep.",6000,9910,16900,19650,19720,20870
Kuwait,Kuwait,,18950,34650,48980,48900,
Kyrgyzstan,Kyrgyzstan,,280,450,860,840,920
Lao PDR,Laos,200,280,460,900,1010,1130
Latvia,Latvia,2790,3210,6810,12390,11850,12350
Liberia,Lebanon,1240,4730,5710,7870,8750,9110
Lesotho,Lesotho,540,530,840,1080,1100,1220
Liberia,Liberia,,190,120,210,210,240
Libya,Libya,,,6460,12320,,
Liechtenstein,Liechtenstein,45170,79660,92780,137070,,
Lithuania,Lithuania,,3200,7380,11700,11620,12280
Luxembourg,Luxemburg,29530,43660,69300,71920,76820,78130
Former Yugoslav Republic of Macedonia,"Macedonia, FYR",,1830,2900,4540,4600,4730
Madagascar,Madagascar,250,250,300,420,430,430
Malawi,Malawi,180,160,220,310,330,340
Malaysia,Malaysia,2370,3420,5110,7230,7760,8420
Maldives,Maldives,,2140,3370,5660,6150,6530
Mali,Mali,260,230,390,560,600,610
Malta,Malta,7470,10510,14380,18220,18620,
Marshall Islands,Marshall Islands,,2850,3560,3640,3640,3910
Mauritania,Mauritania,550,530,720,1030,1000,1000
Mauritius,Mauritius,2440,3870,5360,7260,7780,8240
Mexico,Mexico,2790,5010,7820,8670,8930,9240
Micronesia,"Micronesia, Fed.",,2220,2510,2640,2730,2900
Moldova,Moldova,,370,890,1570,1820,1980
Monaco,Monaco,75810,82960,123100,183150,,
Mongolia,Mongolia,1430,460,890,1760,1870,2320
Montenegro,Montenegro,,,3580,6580,6740,7060
Morocco,Morocco,990,1310,1960,2770,2850,2970
Mozambique,Mozambique,170,230,300,430,440,470
Namibia,Namibia,1720,1950,3300,4060,4250,4700
Nepal,Nepal,210,220,290,440,490,540
Netherlands,Netherlands,18810,26580,39880,48530,48920,49730
New Zealand,New Zealand,12970,13760,24990,28740,29350,
Nicaragua,Nicaragua,310,730,890,1050,1100,1170
Niger,Niger,300,180,260,340,360,360
Nigeria,Nigeria,260,270,630,1160,1170,1200
Norway,Norway,26010,35860,62490,85760,86390,88890
Oman,Oman,5540,7130,11190,18170,19260,
Pakistan,Pakistan,410,470,710,990,1050,1120
Palau,Palau,,6250,7770,6230,6560,7250
Panama,Panama,2210,3730,4640,6540,7010,7910
Papua New Guinea,Papua New Guinea,820,620,680,1190,1300,1480
Paraguay,Paraguay,1190,1350,1220,2240,2730,2970
Peru,Peru,780,2060,2710,4280,4900,5500
Philippines,Philippines,730,1050,1210,1870,2060,2210
Poland,Poland,,4600,7270,12190,12450,12480
Portugal,Portugal,7050,12100,18060,21750,21830,21250
Puerto Rico,Puerto Rico,6220,10550,14530,16300,16560,
Qatar,Qatar,,,,69750,73060,80440
Romania,Romania,1710,1690,3920,8320,7850,7910
Russian Federation,Russian Fed.,,1710,4460,9290,9880,10400
Rwanda,Rwanda,360,250,270,480,520,570
Saint Kitts and Nevis,Saint Kitts and Nevis,3610,6880,10130,12990,12360,12480
Saint Lucia,Saint Lucia,2810,4170,5130,5630,6200,6680
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,1740,3130,4980,6220,6030,6100
Samoa,Samoa,1070,1420,2090,2870,3030,3190
São Tomé and Príncipe,Sao Tome and Principe,,,740,1170,1250,1360
Saudi Arabia,Saudi Arabia,7330,8390,12230,16250,16610,17820
Senegal,Senegal,740,530,800,1070,1080,1070
Serbia,Serbia,,1400,3430,5740,5630,5680
Seychelles,Seychelles,5020,7420,9820,10390,10460,11130
Sierra Leone,Sierra Leone,200,150,230,340,340,340
Singapore,Singapore,11450,24500,27240,36030,39410,42930
Slovakia,Slovakia,2060,5440,11040,15820,16030,16070
Slovenia,Slovenia,,11150,18070,23750,23910,23610
Solomon Islands,Solomon Islands,710,1020,890,960,1030,1110
South Africa,South Africa,3390,3050,4850,5730,6090,6960
Spain,Spain,11890,15420,25450,32020,31460,30990
Sri Lanka,Sri Lanka,460,860,1210,1970,2260,2580
Sudan,Sudan,510,320,610,1230,1300,
Suriname,Suriname,1480,1930,3320,7020,7640,
Eswatini,Swaziland,1150,1600,2600,2880,2930,3300
Sweden,Sweden,26360,29490,42920,48820,50580,53230
Switzerland,Switzerland,34240,40270,56870,65040,71590,76380
Syria,Syrian Arab Republic,920,990,1500,2570,2750,
Tajikistan,Tajikistan,,170,340,750,810,870
Tanzania,Tanzania,200,310,380,500,530,540
Thailand,Thailand,1480,1930,2560,3720,4150,4420
East Timor,Timor-Leste,,,740,2250,2730,
Many哥,Togo,410,300,370,520,550,560
Tonga,Tonga,1220,2030,2470,3300,3340,3580
Trinidad and Tobago,Trinidad And Tobago,3720,5200,11160,16370,15840,15040
Tunisia,Tunisia,1430,2300,3200,4100,4140,4070
Turkey,Turkey,2300,4170,6480,9060,9890,10410
Turkmenistan,Turkmenistan,830,650,1650,3460,3790,4110
Tuvalu,Tuvalu,,,3780,5260,4600,5010
Uganda,Uganda,320,260,300,470,500,510
Ukraine,Ukraine,1610,700,1540,2840,2990,3120
United Arab Emirates,United Arab Emirates,20720,20630,42280,41940,39640,40760
United Kingdom,United Kingdom,16600,26010,38850,40970,38140,37780
United States,United States,23260,34890,44670,46080,47350,48450
Uruguay,Uruguay,2840,7100,4740,8640,10290,11860
Uzbekistan,Uzbekistan,,630,530,1130,1300,1510
Vanuatu,Vanuatu,1200,1430,1760,2520,2630,2870
Venezuela,Venezuela,2570,4100,4950,10230,11660,11920
Vietnam,Viet Nam,130,390,630,1030,1160,1260
Yemen,Yemen,,420,690,1070,1160,1070
Zambia,Zambia,440,310,500,990,1070,1160
Zimbabwe,Zimbabwe,860,490,440,400,480,640
