8-11  全国分年龄、性别、居住状况的60岁及以上老年人口,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.1,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.2,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.3,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.4,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.5,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.6,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.7,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.8,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.9,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.10,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.11,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.12,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.13,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.14,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.15,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.16,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.17,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.18,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.19,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.20,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.21,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.22,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.23,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.24
64,1539629,760610,779019,442178,231900,210278,730387,367881,362506,171007,51886,119121,1049,576,473,126492,68184,58308,4404,3453,951,64112,36730,27382
,,,,,,,,,,,,,,,,,,,,,,,,
65-69岁,7261013,3557071,3703942,1890696,1000068,890628,3527342,1794776,1732566,873022,264984,608038,5331,2706,2625,674385,329207,345178,26522,20382,6140,263715,144948,118767
65,1601607,794038,807569,449329,237346,211983,768968,389486,379482,179383,55688,123695,1059,566,493,135688,71357,64331,4906,3879,1027,62274,35716,26558
66,1597292,784337,812955,432217,226607,205610,771708,390991,380717,184992,57018,127974,1148,590,558,142048,71703,70345,5289,4083,1206,59890,33345,26545
67,1436603,701663,734940,373109,196564,176545,698199,354214,343985,173138,52524,120614,1013,503,510,133532,65052,68480,5440,4172,1268,52172,28634,23538
68,1425277,695588,729689,353344,188144,165200,697895,356852,341043,178587,53694,124893,1082,542,540,139164,65481,73683,5758,4394,1364,49447,26481,22966
69,1200234,581445,618789,282697,151407,131290,590572,303233,287339,156922,46060,110862,1029,505,524,123953,55614,68339,5129,3854,1275,39932,20772,19160
,,,,,,,,,,,,,,,,,,,,,,,,
70-74岁,4813647,2341892,2471755,1002348,559411,442937,2268912,1220559,1048353,755438,217810,537628,5357,2501,2856,595258,242216,353042,28999,20276,8723,157335,79119,78216
70,1132641,552550,580091,257139,140550,116589,549832,287910,261922,158246,46579,111667,1064,505,559,123191,53503,69688,5695,4164,1531,37474,19339,18135
71,1091505,537267,554238,236233,131959,104274,522852,280108,242744,162214,48013,114201,1155,558,597,127606,54027,73579,5970,4359,1611,35475,18243,17232
72,927034,450625,476409,190718,106429,84289,437115,235410,201705,146676,42343,104333,1048,487,561,115869,46935,68934,5690,3948,1742,29918,15073,14845
73,874817,425034,449783,171385,97074,74311,404674,221810,182864,147044,42052,104992,1047,456,591,116301,45662,70639,5755,3907,1848,28611,14073,14538
74,787650,376416,411234,146873,83399,63474,354439,195321,159118,141258,38823,102435,1043,495,548,112291,42089,70202,5889,3898,1991,25857,12391,13466
,,,,,,,,,,,,,,,,,,,,,,,,
75-79岁,2980508,1409194,1571314,483932,287154,196778,1204896,699367,505529,655326,178536,476790,6330,2581,3749,497675,176795,320880,30532,18051,12481,101817,46710,55107
75,690748,328485,362263,122502,70754,51748,300720,168241,132479,132675,36135,96540,1088,446,642,105220,38482,66738,5777,3682,2095,22766,10745,12021
76,652501,312625,339876,110656,65675,44981,274019,157701,116318,134558,37039,97519,1171,487,684,104232,37883,66349,6013,3641,2372,21852,10199,11653
77,574487,271017,303470,92400,54829,37571,230695,134115,96580,128185,34895,93290,1203,493,710,96326,34184,62142,5936,3568,2368,19742,8933,10809
78,537691,252314,285377,82425,49435,32990,206894,122662,84232,127159,34604,92555,1304,508,796,94907,33011,61896,6194,3563,2631,18808,8531,10277
79,525081,244753,280328,75949,46461,29488,192568,116648,75920,132749,35863,96886,1564,647,917,96990,33235,63755,6612,3597,3015,18649,8302,10347
,,,,,,,,,,,,,,,,,,,,,,,,
80-84岁,1897750,856619,1041131,233868,148800,85068,576718,369780,206938,586417,158043,428374,9324,3772,5552,382822,129246,253576,34594,16446,18148,74007,30532,43475
80,462344,214196,248148,64180,39699,24481,160175,99477,60698,125187,33631,91556,1562,651,911,87290,29793,57497,6768,3454,3314,17182,7491,9691
81,387427,175529,211898,49683,31287,18396,124350,78400,45950,114069,30475,83594,1724,697,1027,76536,25491,51045,6428,3105,3323,14637,6074,8563
82,395095,179490,215605,48319,31028,17291,118248,76867,41381,123485,33687,89798,2002,806,1196,80650,27427,53223,7237,3450,3787,15154,6225,8929
83,343475,153187,190288,38976,25443,13533,95289,62877,32412,114519,30893,83626,2009,821,1188,71750,24312,47438,7021,3280,3741,13911,5561,8350
84,309409,134217,175192,32710,21343,11367,78656,52159,26497,109157,29357,79800,2027,797,1230,66596,22223,44373,7140,3157,3983,13123,5181,7942
,,,,,,,,,,,,,,,,,,,,,,,,
85-89岁,973818,398907,574911,82013,54730,27283,193957,133246,60711,396191,105742,290449,9290,3888,5402,216410,72485,143925,30069,12038,18031,45888,16778,29110
85,264740,111113,153627,25198,16440,8758,61524,41105,20419,99039,26330,72709,2096,817,1279,58416,19299,39117,7023,2912,4111,11444,4210,7234
86,227319,93574,133745,20033,13210,6823,48037,32626,15411,89827,23772,66055,1906,742,1164,50532,16723,33809,6642,2700,3942,10342,3801,6541
87,204932,84218,120714,16671,11285,5386,39001,27275,11726,84919,22910,62009,2077,894,1183,45791,15610,30181,6516,2612,3904,9957,3632,6325
88,154282,61448,92834,11597,7865,3732,26357,18519,7838,66849,17777,49072,1722,762,960,34613,11581,23032,5423,2107,3316,7721,2837,4884
89,122545,48554,73991,8514,5930,2584,19038,13721,5317,55557,14953,40604,1489,673,816,27058,9272,17786,4465,1707,2758,6424,2298,4126
,,,,,,,,,,,,,,,,,,,,,,,,
90-94岁,312846,115437,197409,17329,12269,5060,35373,26391,8982,157910,41031,116879,4744,2113,2631,65162,22223,42939,13891,5021,8870,18437,6389,12048
90,106074,41051,65023,6735,4745,1990,14715,10785,3930,50263,13375,36888,1471,655,816,22783,7798,14985,4222,1574,2648,5885,2119,3766
91,72886,27037,45849,4201,2932,1269,8480,6261,2219,36359,9490,26869,1106,495,611,15416,5292,10124,3184,1173,2011,4140,1394,2746
92,60934,21980,38954,3130,2237,893,6036,4626,1410,31750,8133,23617,960,432,528,12508,4244,8264,2885,1006,1879,3665,1302,2363
93,42736,15095,27641,2018,1450,568,3794,2914,880,22905,5859,17046,666,287,379,8528,2911,5617,2090,757,1333,2735,917,1818
94,30216,10274,19942,1245,905,340,2348,1805,543,16633,4174,12459,541,244,297,5927,1978,3949,1510,511,999,2012,657,1355
,,,,,,,,,,,,,,,,,,,,,,,,
95-99岁,63626,19576,44050,2158,1518,640,3616,2795,821,37040,8675,28365,1097,443,654,11699,3726,7973,3188,963,2225,4828,1456,3372
95,23449,7523,15926,850,613,237,1542,1183,359,13423,3246,10177,410,170,240,4429,1486,2943,1141,345,796,1654,480,1174
96,16489,5063,11426,573,402,171,959,746,213,9560,2247,7313,274,113,161,3044,928,2116,862,248,614,1217,379,838
97,10967,3306,7661,360,244,116,538,431,107,6520,1506,5014,188,74,114,2008,636,1372,534,174,360,819,241,578
98,7293,2148,5145,218,155,63,318,240,78,4348,1002,3346,129,53,76,1267,385,882,382,122,260,631,191,440
99,5428,1536,3892,157,104,53,259,195,64,3189,674,2515,96,33,63,951,291,660,269,74,195,507,165,342
,,,,,,,,,,,,,,,,,,,,,,,,
100岁及以上,7562,1778,5784,167,94,73,222,163,59,4910,915,3995,173,59,114,1044,284,760,361,100,261,685,163,522
