本周KPI直接ROI2.4，客户素材要参考的话可以找我扒-素材ID,素材标题,素材创建时间,素材时长,素材来源,消耗,展示次数,点击率,平均千次展现费用,点击次数,转化数,转化成本,转化率,直接成交订单数,直接成交金额,直接支付ROI,播放数,有效播放数,平均单次播放时长,分享次数,评论次数,点赞次数,关联计划数,关联创意数
7384688507988099098,授权截止至202407260625图文凡人裕宁蜜粉饼中样产品向闺蜜以为我天生冷白皮,2024-06-26 14:03:28,00:21,巨量纵横共享素材,2609,27599,0,95,1479,71,37,0,71,4859,2,31618,5339,5,0,5,46,4,4
7381675397711839269,6.17-博观图文-素人-眉粉笔1055-可视化效品口播-无-陈奕璠.mp4,2024-06-18 11:11:10,00:21,本地上传,2244,28200,0,80,963,66,34,0,66,4780,2,29305,3024,4,3,2,36,18,18
7377311043171778587,2407010426官号广告超光速乌苏玉养蜜粉饼效果达人混剪花西,2024-06-06 16:55:08,00:20,巨量纵横共享素材,2244,15810,0,142,741,31,72,0,30,5780,3,16667,1688,3,3,0,19,2,4
7260030455624450109,去做紫饼吧！去做#控油 提亮、修黄匀肤的#花西子玉养蜜粉饼  吧！#定妆  #当东方美遇见亚运,2023-07-26 15:46:39,00:19,抖音号主页视频,1822,10017,0,182,457,29,63,0,29,5672,3,10710,1162,4,4,0,24,5,12
7381686245167398923,6.17-博观图文-素人-防晒粉饼1068-可视化效品口播-无-马倩.mp4,2024-06-18 11:53:25,00:26,本地上传,1789,14166,0,126,388,12,149,0,12,2263,1,16219,2541,5,1,1,22,5,13
7382031132793503794,授权截止08140618图文达人测试阿会防晒粉饼小E没下巴,2024-06-19 10:11:57,00:44,巨量纵横共享素材,1332,10424,0,128,240,13,102,0,13,2487,2,10553,1334,6,0,1,8,6,10
7379920739065937959,6.11-博观图文-素人-蜜粉饼中样1035-可视化效品口播-618-陈奕璠.mp4,2024-06-13 17:42:19,00:13,本地上传,1318,22295,0,59,911,51,26,0,52,3578,3,24436,2017,3,12,1,30,14,14
7387310180290150441,7.1-博观图文-素人-眉粉笔1091-可视化效品口播-无-陈奕璠.mp4,2024-07-03 15:37:01,00:22,本地上传,1282,23518,0,55,761,45,28,0,45,2782,2,24353,2222,3,3,0,48,7,7
7341338417412882482,0227图文茄子小黛伞混剪防晒霜这种消耗品,2024-03-01 18:22:58,00:18,巨量纵横共享素材,1252,8665,0,145,329,15,83,0,15,2885,2,8984,762,3,6,0,10,29,83
7379799056056762406,授权截止至20247260604图文凡人阿会玉养蜜粉饼中样产品向不是,2024-06-13 09:50:24,00:20,巨量纵横共享素材,1110,14260,0,78,463,47,24,0,47,3302,3,14512,1391,3,1,0,23,11,11
7381687245961625619,6.17-博观图文-素人-防晒粉饼1070-可视化效品口播-无-马倩.mp4,2024-06-18 11:57:10,00:26,本地上传,1090,7968,0,137,219,18,61,0,20,3797,3,8779,1416,5,1,0,12,8,16
7355745890650996772,4.8-博观图文-素人-小黛伞890-可视化效品口播-无-李大鑫.mp4,2024-04-09 14:11:25,00:24,本地上传,1049,6685,0,157,278,6,175,0,6,1154,1,7331,764,4,0,0,16,24,42
7387737121367179302,授权至202407290704图文茄子凡人防晒粉饼小张阿姨泽哥午郡零吧啦营销产品向不是我说,2024-07-04 19:13:47,00:25,巨量纵横共享素材,1012,8990,0,113,198,11,92,0,10,1890,2,9964,1200,4,0,0,7,6,12
7363541094426787859,428-博观图文-素人-玉养蜜粉931-可视化效品口播-无-陈奕璠.mp4,2024-04-30 14:20:54,00:18,本地上传,1011,8075,0,125,274,9,112,0,9,1471,1,7936,655,3,3,0,11,6,6
7384688503697358898,授权截止至202407080625图文凡人裕宁蜜粉饼中样产品向舍不得你老是买平替,2024-06-26 14:03:28,00:19,巨量纵横共享素材,959,14097,0,68,543,40,24,0,40,2757,3,14216,1706,4,3,1,33,7,7
7363698039670439945,授权至202461430矩阵礼物图图大财卡子混剪达人午郡兔牙小黛伞花西子小黛伞虽好,2024-05-01 00:29:48,00:25,巨量纵横共享素材,952,7848,0,121,156,9,106,0,8,1542,2,8129,665,3,2,0,8,5,18
7382802820922163237,0621图文茄子凡人防晒粉饼宝华产品终于有品牌把能打底,2024-06-21 12:06:11,00:30,巨量纵横共享素材,942,11567,0,81,218,10,94,0,10,1900,2,10974,868,3,1,0,5,11,20
7381677653962719251,6.17-博观图文-素人-蜜粉饼中样1056-可视化效品口播-无-陈奕璠.mp4,2024-06-18 11:19:58,00:20,本地上传,918,13520,0,68,469,33,28,0,32,2196,2,13831,1076,3,6,0,27,5,5
7382769026727526451,0619图文西郊阿会达人混剪无人纯产品防晒有色品效太秀了,2024-06-21 09:55:17,00:18,巨量纵横共享素材,902,6473,0,139,157,13,69,0,14,2659,3,6998,702,3,2,0,9,4,7
7383907995128447026,6.11-博观图文-素人-蜜粉饼中样1035-可视化效品口播-无-陈奕璠.mp4,2024-06-24 11:34:43,00:12,本地上传,849,10680,0,80,436,41,21,0,41,2829,3,11598,1001,3,5,0,16,11,11
7369509464908841011,0516图文茄子超光速玉容纱防晒粉饼效果花西子你是懂升级的,2024-05-16 16:20:52,00:22,巨量纵横共享素材,774,5976,0,130,136,9,86,0,9,1661,2,6156,643,4,0,0,1,9,16
7387368549155749915,授权至2505210703图文茄子裸宝宝玉养蜜粉饼达人,2024-07-03 19:23:21,00:42,巨量纵横共享素材,758,5032,0,151,178,8,95,0,9,1711,2,5162,635,5,2,0,30,4,11
7386863315334250522,授权截止至247260702图文凡人阿会蜜粉饼中样产品向有了这个玲珑蜜粉饼,2024-07-02 10:43:05,00:23,巨量纵横共享素材,618,6943,0,89,350,19,33,0,20,1380,2,7277,1248,5,2,0,9,7,7
7363304895711805478,428-博观图文-素人-防晒粉饼929-可视化效品口播-无-马倩.mp4,2024-04-29 23:04:25,00:26,本地上传,585,4787,0,122,138,11,53,0,12,2275,4,5201,817,5,0,0,3,14,20
7360628860469198857,2404200415图文广告超光速阿会玉容纱防晒粉饼效果混剪原来防,2024-04-22 17:59:37,00:16,巨量纵横共享素材,465,4143,0,112,122,8,58,0,8,1522,3,4502,616,3,4,0,4,7,12
7387368514725117979,0703图文茄子眉粉笔香蕉拍摄jaycce产品向谁懂啊从无眉爆改野生眉,2024-07-03 19:23:21,00:46,巨量纵横共享素材,453,5655,0,80,163,15,30,0,15,1125,2,5658,775,5,0,0,5,5,5
7387318955814305855,7.1-博观图文-素人-防晒粉饼1099-可视化效品口播-无-马倩.mp4,2024-07-03 16:11:15,00:30,本地上传,440,3991,0,110,101,3,147,0,3,577,1,3957,590,5,0,0,5,5,10
7369509442633728010,授权截至24860516图文茄子超光速小黛伞午郡效果快快快姐妹们,2024-05-16 16:20:52,00:20,巨量纵横共享素材,419,2744,0,153,83,5,84,0,5,965,2,2759,211,3,0,0,13,8,20
7382802866278268955,授权至202407260621图文茄子凡人玉养蜜粉饼中样香秀产品是谁的包包里还没有这样一个,2024-06-21 12:06:11,00:20,巨量纵横共享素材,411,5412,0,76,250,35,12,0,36,2484,6,5200,621,4,4,1,5,6,6
7363599834173227018,0430图文茄子凡人小黛伞产品向三合一小黛伞防晒,2024-04-30 18:08:30,00:33,巨量纵横共享素材,402,2882,0,140,82,6,67,0,6,1164,3,2916,227,3,4,0,11,23,74
7373952878979874826,5.27-博观图文-素人-眉粉笔999-可视化效品口播-无-陈奕璠.mp4,2024-05-28 15:43:46,00:19,本地上传,389,6354,0,61,165,19,21,0,20,1299,3,6482,492,3,0,0,3,11,11
7386928539755216934,0612尾巴图文超光速营销产品向混剪气垫防晒有色粉饼主播央央,2024-07-02 14:55:39,00:30,巨量纵横共享素材,379,4384,0,86,94,3,126,0,3,567,2,3436,440,5,3,2,3,9,21
7365914473025503258,5.6-博观图文-素人-眉粉笔943-可视化效品口播-无-陈奕璠.mp4,2024-05-06 23:51:04,00:20,本地上传,332,6903,0,48,173,12,28,0,13,1027,3,7092,691,3,1,0,2,19,19
7387310354937692170,7.1-博观图文-素人-眉粉笔1092-可视化效品口播-无-陈奕璠.mp4,2024-07-03 15:37:32,00:17,本地上传,308,7087,0,44,152,7,44,0,7,561,2,7403,748,3,1,0,9,6,6
7385086146059321395,6.24-博观图文-素人-蜜粉饼中样1075-可视化效品口播-无-陈奕璠.mp4,2024-06-27 15:46:40,00:28,本地上传,298,4102,0,73,151,10,30,0,10,740,2,4285,723,5,1,0,5,7,7
7359454102663036978,415-博观图文-素人-玉养气垫899-可视化效品口播-无-王梦园.mp4,2024-04-19 14:00:55,00:24,本地上传,296,2003,0,148,94,0,0,0,0,0,0,2062,211,4,0,1,1,7,10
7363251377185505331,0426图文茄子凡人玉容纱防晒粉饼产品向女人不一定要穿的高贵,2024-04-29 19:36:30,00:29,巨量纵横共享素材,295,2405,0,123,62,6,49,0,6,1134,4,2349,314,5,0,0,0,8,13
7386982647539236873,0625乌苏图文超光速产品向混剪玉养蜜粉饼04达人小羔不迷糊嘿嘿,2024-07-02 18:25:51,00:27,巨量纵横共享素材,293,2565,0,114,95,3,98,0,3,577,2,2713,201,3,0,0,6,2,6
7382031069686579209,授权截止08140618图文达人测试阿会防晒粉饼郝可,2024-06-19 10:11:57,00:41,巨量纵横共享素材,283,2324,0,122,41,3,94,0,4,756,3,2289,293,5,0,0,2,10,21
7383911634555338763,5.20-博观图文-素人-眉粉笔976-可视化效品口播-无-陈奕璠.mp4,2024-06-24 11:48:56,00:19,本地上传,279,6061,0,46,129,11,25,0,11,766,3,6094,360,2,0,0,8,10,10
7360992628520992778,夏天出游补妆必备|一块能补妆还能补防晒的全能粉饼上新啦！#补妆脱妆 #夏天 #补防晒,2024-04-23 17:32:49,00:55,抖音号主页视频,273,1862,0,146,70,1,273,0,1,209,1,1919,302,7,0,2,4,8,17
7382769094296895526,0619图文西郊阿会达人混剪无人纯产品防晒有色品效夏天这种季节,2024-06-21 09:55:17,00:17,巨量纵横共享素材,262,2914,0,90,65,2,131,0,2,377,1,3287,394,3,0,0,1,5,8
7387240018677825574,7.1-博观图文-素人-蜜粉饼中样1094-可视化效品口播-无-陈奕璠.mp4,2024-07-03 11:04:56,00:17,本地上传,257,3054,0,84,119,6,43,0,6,414,2,3191,289,3,0,0,4,2,2
7136106121399648260,#花西子白玉盘蜜粉饼，自带光感，还你清透好皮肤#定妆 #补妆,2022-08-27 14:45:43,00:28,抖音号主页视频,206,1820,0,113,77,3,69,0,3,567,3,1836,119,3,0,0,2,3,3
7384373689881247771,午郡授权到2024860625图文营销产品向梁九娜娜小黛伞35g素人多人效果混剪你问我小黄车版,2024-06-25 17:41:44,00:31,巨量纵横共享素材,200,1737,0,115,57,2,100,0,2,373,2,1782,193,4,0,0,1,8,30
7381685618403360807,6.17-博观图文-素人&主播-防晒粉饼1069-可视化效品口播-无-马倩.mp4,2024-06-18 11:50:43,00:21,本地上传,192,2389,0,80,43,0,0,0,0,0,0,2417,237,3,1,0,2,4,9
7387368557153648677,授权至2505270703图文茄子盯小葵防晒粉饼达人,2024-07-03 19:23:21,00:52,巨量纵横共享素材,154,1378,0,112,46,0,0,0,0,0,0,1445,387,11,0,0,0,5,10
7386860796444737573,授权截止至247290702图文凡人阿会防晒有色产品向左看右看,2024-07-02 10:33:16,00:18,巨量纵横共享素材,154,1725,0,89,47,2,77,0,2,388,3,1942,348,4,0,0,1,2,5
7317846850711011379,1227图文阿会素人唇膜如果你想xx就xx,2023-12-29 11:03:50,00:17,本地上传,147,2271,0,65,52,3,49,0,3,186,1,2294,166,3,0,0,0,6,6
7366135708737126439,5.6-博观图文-素人-玉养蜜粉942-可视化效品口播-无-陈奕璠.mp4,2024-05-07 14:09:20,00:28,本地上传,134,1415,0,95,48,3,45,0,3,487,4,1139,83,3,0,0,0,4,4
7315244857756909605,12.2-博观图文-素人-玉养蜜粉626-可视化效品口播-无-陈奕璠.mp4,2023-12-22 10:46:46,00:25,本地上传,129,1458,0,88,39,1,129,0,1,159,1,1061,102,3,0,0,0,1,1
7135262301216768007,谁还不知道这个高温天定妆神器我都会伤心的！ #花西子玉养蚕丝蜜粉饼 #定妆 #夏天定妆,2022-08-24 16:45:57,00:30,抖音号主页视频,126,1145,0,110,34,0,0,0,0,0,0,1145,82,3,0,0,0,3,3
7377043115474436108,6.3-博观图文-素人-防晒粉饼1033-可视化效品口播-无-马倩.mp4,2024-06-05 23:35:52,00:26,本地上传,126,1885,0,67,53,0,0,0,0,0,0,1448,431,8,0,0,2,3,7
7385054968232050726,6.25-博观图文-素人-玉养蜜粉1083-可视化效品口播-无-王梦园.mp4,2024-06-27 13:45:53,00:25,本地上传,103,842,0,122,48,0,0,0,0,0,0,837,109,5,0,0,3,3,3
7387287791343878170,7.2-博观图文-素人-小黛伞1104-可视化效品口播-无-李大鑫.mp4,2024-07-03 14:10:20,00:19,本地上传,102,935,0,109,18,1,102,0,1,199,2,986,107,3,1,0,1,9,29
7377045282943844391,6.3-博观图文-素人-蜜粉饼中样1016-可视化效品口播-618-陈奕璠.mp4,2024-06-05 23:44:30,00:16,本地上传,102,1451,0,70,63,2,51,0,2,138,1,1591,185,3,0,0,2,17,17
7385518045484187674,授权至202410100628图文茄子凡人蜜粉饼中样双支裸心心陈七喜营销产品谁还没有这么可爱的蜜粉饼中样呀,2024-06-28 19:42:37,00:24,巨量纵横共享素材,97,1214,0,80,56,2,49,0,2,138,1,1257,130,4,0,0,2,2,2
7296414927500754981,1031-博观图文-素人&主播-玉养蜜粉522-可视化效品口播-无-王依然.mp4,2023-11-01 16:56:53,00:20,本地上传,95,635,0,150,32,1,95,0,1,169,2,656,65,3,0,0,3,4,4
7385086206347919398,6.25-博观图文-素人-防晒粉饼1087-可视化效品口播-无-马倩.mp4,2024-06-27 15:46:40,00:33,本地上传,95,1334,0,71,29,3,32,0,3,567,6,1263,199,5,0,1,4,7,13
7363302360326307850,428-博观图文-素人-眉粉笔932-可视化效品口播-无-陈奕璠.mp4,2024-04-29 22:54:28,00:19,本地上传,92,1030,0,90,30,1,92,0,1,89,1,1031,77,3,0,0,1,4,4
7387322642477350950,7.1-博观图文-素人-玉养气垫1095-可视化效品口播-无-王梦园.mp4,2024-07-03 16:25:23,00:27,本地上传,91,619,0,146,33,0,0,0,0,0,0,579,68,4,0,0,0,3,10
7379920733675814938,6.11-博观图文-素人-蜜粉饼中样1034-可视化效品口播-618-陈奕璠.mp4,2024-06-13 17:42:05,00:17,本地上传,89,990,0,90,51,4,22,0,4,276,3,1070,118,3,0,0,2,5,5
7387302240745947174,0702图文广告两佰WW阿会素人防晒蜜粉饼中样产品真的没人管管吗,2024-07-03 15:06:07,00:18,巨量纵横共享素材,89,993,0,89,56,1,89,0,1,69,1,1051,118,4,0,0,0,3,3
7303075618048114700,行走的#美颜  补光灯 一饼搞定控油，持妆，提亮！#花西子玉养蜜粉饼  你是真的卷~ #秋冬  出门不再卡粉起皮~,2023-11-24 18:59:47,00:20,抖音号主页视频,82,1024,0,80,26,0,0,0,0,0,0,1023,55,3,1,0,1,2,5
7300880008872230921,专为油敏肌定制 #花西子玉养蜜粉饼  解锁#清透  裸肤肌，出门自带美颜 #滤镜,2023-11-14 21:02:40,00:25,抖音号主页视频,82,620,0,132,32,0,0,0,0,0,0,650,65,4,0,0,0,2,7
7359228291345121289,415-博观图文-素人-眉粉笔911-可视化效品口播-无-马倩.mp4,2024-04-18 23:25:00,00:31,本地上传,80,1057,0,76,18,3,27,0,3,257,3,1059,66,3,0,0,1,4,4
7379943422578507826,0613图文茄子凡人防晒粉饼jaycce营销产品花一份钱买到4种妆效,2024-06-13 19:10:10,00:16,巨量纵横共享素材,80,740,0,108,20,1,80,0,1,189,2,787,76,3,0,0,1,5,8
7387288115319865355,7.2-博观图文-素人-小黛伞1105-可视化效品口播-无-李大鑫.mp4,2024-07-03 14:11:34,00:23,本地上传,79,517,0,152,22,0,0,0,0,0,0,553,84,5,0,0,0,5,17
7387368520152154150,授权至2506170703图文茄子郝可防晒粉饼达人,2024-07-03 19:23:21,00:56,巨量纵横共享素材,76,1090,0,70,37,0,0,0,0,0,0,1068,259,10,0,0,2,5,9
7323040939151818789,0108图文阿会素人唇膜混剪你知道敷一晚上唇膜,2024-01-12 10:59:22,00:24,巨量纵横共享素材,58,582,0,99,31,2,29,0,2,161,3,521,57,4,0,0,0,3,3
7383901836964151308,5.27-博观图文-素人-唇膜994-可视化效品口播-无-蔡宇文.mp4,2024-06-24 11:11:03,00:22,本地上传,57,1174,0,49,17,1,57,0,1,62,1,1194,94,3,0,0,1,5,17
7387283431959724068,7.1-博观图文-素人-唇膜1102-可视化效品口播-无-马倩.mp4,2024-07-03 13:53:20,00:16,本地上传,55,1197,0,46,22,2,27,0,2,124,2,1231,99,3,0,0,1,2,9
7387664443432665139,7.1-博观图文-素人-玉养气垫1096-可视化效品口播-无-王梦园.mp4,2024-07-04 14:31:46,00:28,本地上传,50,418,0,119,9,1,50,0,1,249,5,309,49,5,0,0,1,2,8
7353668412923330587,4.3-博观图文-素人-眉粉笔883-可视化效品口播-无-李大鑫.mp4,2024-04-03 23:49:56,00:20,本地上传,48,470,0,103,28,1,48,0,1,89,2,505,84,5,0,0,1,6,6
7385086157702873139,6.24-博观图文-素人-蜜粉饼中样1076-可视化效品口播-无-陈奕璠.mp4,2024-06-27 15:46:40,00:27,本地上传,45,691,0,66,20,0,0,0,0,0,0,732,80,4,1,0,0,3,3
7385086126476820489,6.25-博观图文-素人-防晒粉饼1089-可视化效品口播-无-马倩-小刘戒夜宵+20240728.mp4,2024-06-27 15:46:40,00:35,本地上传,42,524,0,79,17,1,42,0,1,189,5,485,54,5,0,0,0,5,9
7382802824093564954,0621图文茄子凡人玉养蜜粉饼中样jaycce产品没想到有一天,2024-06-21 12:06:11,00:30,巨量纵横共享素材,37,632,0,59,18,1,37,0,1,69,2,555,107,6,1,0,0,3,3
7383911637826682892,6.11-博观图文-素人-眉粉笔1036-可视化效品口播-无-陈奕璠.mp4,2024-06-24 11:48:56,00:19,本地上传,35,385,0,91,7,1,35,0,1,89,3,389,30,3,0,0,0,4,4
7387666852380622911,7.1-博观图文-素人-蜜粉饼中样1093-可视化效品口播-无-陈奕璠.mp4,2024-07-04 14:41:08,00:18,本地上传,34,287,0,119,7,1,34,0,1,69,2,284,15,2,0,0,0,1,1
7380309341600006154,247260614裕宁图文超光速产品向混剪蜜粉饼中样达人我是香秀还没满月,2024-06-14 18:50:24,00:21,巨量纵横共享素材,33,428,0,77,22,0,0,0,0,0,0,461,59,4,1,0,0,7,7
7387665686074867753,7.1-博观图文-素人-玉养蜜粉1098-可视化效品口播-无-王梦园.mp4,2024-07-04 14:36:29,00:17,本地上传,33,281,0,118,15,0,0,0,0,0,0,256,28,3,0,0,0,2,2
7384688076503515147,6.25-博观图文-素人-小黛伞1086-可视化效品口播-无-李大鑫.mp4,2024-06-26 14:01:57,00:24,本地上传,32,273,0,116,16,0,0,0,0,0,0,316,54,5,0,0,0,9,30
7381683876005593127,6.17-博观图文-素人-玉养气垫1064-可视化效品口播-无-王梦园.mp4,2024-06-18 11:44:06,00:30,本地上传,30,375,0,81,10,0,0,0,0,0,0,211,27,4,0,0,1,3,9
7301632643052978226,1113-博观图文-素人-玉养蜜粉556-可视化效品口播-无-陈奕璠.mp4,2023-11-15 18:24:25,00:24,本地上传,25,322,0,77,13,1,25,0,1,159,6,167,18,4,0,0,0,1,1
7385087667737182219,0626图文茄子香蕉拍摄小黛伞宝华产品向不用涂粉底,2024-06-27 15:52:52,00:39,巨量纵横共享素材,24,152,0,161,9,0,0,0,0,0,0,123,20,7,0,0,0,9,21
7382031052406063131,授权截止20255270618图文达人测试阿会防晒粉饼盯小葵,2024-06-19 10:11:57,00:52,巨量纵横共享素材,16,143,0,115,9,0,0,0,0,0,0,160,56,14,0,0,0,5,11
7288639537818566717,1008-博观图文-素人-玉养蜜粉470-可视化效品口播-无-陈奕璠.mp4,2023-10-11 18:04:28,00:16,本地上传,15,119,0,128,12,1,15,0,1,169,11,112,15,4,0,0,0,5,5
7387322251111514148,7.1-博观图文-素人-玉养蜜粉1097-可视化效品口播-无-王梦园.mp4,2024-07-03 16:23:55,00:28,本地上传,11,78,0,139,5,0,0,0,0,0,0,68,10,5,0,0,2,2,2
7382802817751891995,0617图文茄子布卡防晒粉饼产品向把一个,2024-06-21 12:06:11,00:26,巨量纵横共享素材,11,105,0,100,2,0,0,0,0,0,0,105,8,3,0,0,0,3,5
7385054960131293194,6.24-博观图文-素人-眉粉笔1079-可视化效品口播-无-王梦园.mp4,2024-06-27 13:45:53,00:30,本地上传,10,74,0,133,1,1,10,1,1,89,9,54,2,3,0,0,0,2,2
7345360321466941450,3.11-博观图文-素人-玉养蜜粉835-可视化效品口播-无-陈奕璠.mp4,2024-03-12 14:30:03,00:21,本地上传,9,70,0,130,0,0,0,0,0,0,0,63,6,4,0,0,0,1,1
7383907975504035850,6.11-博观图文-素人-蜜粉饼中样1034-可视化效品口播-无-陈奕璠.mp4,2024-06-24 11:34:43,00:16,本地上传,8,154,0,49,5,0,0,0,0,0,0,170,18,3,0,0,1,5,5
7311631409273028646,1208-图文-茄子-旧版唇膜-产品-混剪-用了它嘴巴只有.mp4,2023-12-12 17:04:44,00:19,本地上传,7,209,0,35,7,1,7,0,1,62,9,230,15,2,0,0,1,5,10
7385054975507185673,6.24-博观图文-素人-玉养气垫1082-可视化效品口播-无-王梦园.mp4,2024-06-27 13:45:53,00:24,本地上传,7,85,0,83,2,0,0,0,0,0,0,63,5,3,0,0,0,3,5
7385054997602418715,6.24-博观图文-素人-玉养气垫1081-可视化效品口播-无-王梦园.mp4,2024-06-27 13:45:53,00:30,本地上传,7,79,0,88,2,1,7,1,1,249,36,67,7,4,0,0,0,2,4
7383911596836569124,6.3-博观图文-素人-眉粉笔1015-可视化效品口播-无-陈奕璠.mp4,2024-06-24 11:48:56,00:17,本地上传,7,95,0,69,4,0,0,0,0,0,0,80,11,4,0,0,0,2,2
7384687749473812521,6.25-博观图文-素人-小黛伞1085-可视化效品口播-无-李大鑫.mp4,2024-06-26 14:00:47,00:26,本地上传,6,60,0,107,2,0,0,0,0,0,0,58,12,6,1,0,0,6,17
7360893485379289129,422-博观图文-素人-玉养蜜粉922-可视化效品口播-无-陈奕璠.mp4,2024-04-23 11:06:40,00:21,本地上传,6,196,0,31,4,0,0,0,0,0,0,37,3,3,0,0,0,2,2
7146039986810404868,有了这款#花西子白玉盘蜜粉饼，让你的底妆像开了“美颜补光灯”！#定妆 #粉饼,2022-09-22 13:15:13,00:18,抖音号主页视频,6,58,0,99,1,0,0,0,0,0,0,57,4,3,0,0,0,2,4
7314870099525386291,1215官号图文茄子旧版唇膜产品混剪本来不想买花西子唇膜,2023-12-21 10:32:28,00:20,本地上传,5,66,0,79,3,0,0,0,0,0,0,78,10,4,0,0,0,1,1
