5-3全国分年龄、性别、受教育程度、婚姻状况的人口-受教育程度-年龄,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-15岁及以上人口-合计,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-15岁及以上人口-男,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-15岁及以上人口-女,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-未婚-小计,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-未婚-男,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-未婚-女,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-有配偶-小计,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-有配偶-男,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-有配偶-女,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-离婚-小计,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-离婚-男,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-离婚-女,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-丧偶-小计,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-丧偶-男,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-丧偶-女
20-24岁,7303273.0,3799538.0,3503735.0,6279151.0,3462773.0,2816378.0,1008764.0,331110.0,677654.0,14748.0,5511.0,9237.0,610.0,144.0,466.0
20,1516116.0,786558.0,729558.0,1458880.0,772588.0,686292.0,56542.0,13743.0,42799.0,653.0,216.0,437.0,41.0,11.0,30.0
21,1400831.0,727502.0,673329.0,1300801.0,700986.0,599815.0,98773.0,26104.0,72669.0,1199.0,398.0,801.0,58.0,14.0,44.0
22,1454020.0,759434.0,694586.0,1272189.0,704019.0,568170.0,179309.0,54548.0,124761.0,2406.0,843.0,1563.0,116.0,24.0,92.0
23,1438341.0,749277.0,689064.0,1161179.0,655912.0,505267.0,273086.0,91842.0,181244.0,3914.0,1482.0,2432.0,162.0,41.0,121.0
24,1493965.0,776767.0,717198.0,1086102.0,629268.0,456834.0,401054.0,144873.0,256181.0,6576.0,2572.0,4004.0,233.0,54.0,179.0
,,,,,,,,,,,,,,,
25-29岁,8893917.0,4611843.0,4282074.0,3862163.0,2440886.0,1421277.0,4915681.0,2115187.0,2800494.0,112313.0,54800.0,57513.0,3760.0,970.0,2790.0
25,1628098.0,847096.0,781002.0,1032211.0,617366.0,414845.0,585140.0,225211.0,359929.0,10382.0,4424.0,5958.0,365.0,95.0,270.0
26,1609484.0,835699.0,773785.0,860052.0,530136.0,329916.0,734457.0,298955.0,435502.0,14469.0,6492.0,7977.0,506.0,116.0,390.0
27,1771801.0,916517.0,855284.0,768088.0,490692.0,277396.0,981946.0,415655.0,566291.0,21083.0,9995.0,11088.0,684.0,175.0,509.0
28,1860876.0,964363.0,896513.0,645763.0,426183.0,219580.0,1185749.0,523749.0,662000.0,28423.0,14176.0,14247.0,941.0,255.0,686.0
29,2023658.0,1048168.0,975490.0,556049.0,376509.0,179540.0,1428389.0,651617.0,776772.0,37956.0,19713.0,18243.0,1264.0,329.0,935.0
,,,,,,,,,,,,,,,
30-34岁,12398651.0,6354314.0,6044337.0,1869448.0,1305522.0,563926.0,10164636.0,4854057.0,5310579.0,349727.0,190591.0,159136.0,14840.0,4144.0,10696.0
30,2578886.0,1328077.0,1250809.0,560838.0,386298.0,174540.0,1960278.0,911350.0,1048928.0,55805.0,29837.0,25968.0,1965.0,592.0,1373.0
31,2533423.0,1297530.0,1235893.0,437009.0,305168.0,131841.0,2029612.0,956967.0,1072645.0,64292.0,34680.0,29612.0,2510.0,715.0,1795.0
32,2401837.0,1226859.0,1174978.0,340150.0,238005.0,102145.0,1989853.0,950633.0,1039220.0,68937.0,37388.0,31549.0,2897.0,833.0,2064.0
33,2603920.0,1333362.0,1270558.0,303592.0,214816.0,88776.0,2214016.0,1072055.0,1141961.0,82642.0,45509.0,37133.0,3670.0,982.0,2688.0
34,2280585.0,1168486.0,1112099.0,227859.0,161235.0,66624.0,1970877.0,963052.0,1007825.0,78051.0,43177.0,34874.0,3798.0,1022.0,2776.0
,,,,,,,,,,,,,,,
35-39岁,9915280.0,5108028.0,4807252.0,675807.0,477957.0,197850.0,8828521.0,4409649.0,4418872.0,383940.0,213764.0,170176.0,27012.0,6658.0,20354.0
35,1961972.0,1010265.0,951707.0,170946.0,121137.0,49809.0,1716657.0,848834.0,867823.0,70368.0,39266.0,31102.0,4001.0,1028.0,2973.0
36,1952202.0,1005107.0,947095.0,147117.0,103953.0,43164.0,1728315.0,859775.0,868540.0,72289.0,40271.0,32018.0,4481.0,1108.0,3373.0
37,1909241.0,984638.0,924603.0,128236.0,90227.0,38009.0,1701769.0,851994.0,849775.0,74112.0,41147.0,32965.0,5124.0,1270.0,3854.0
38,2185664.0,1127037.0,1058627.0,129039.0,90956.0,38083.0,1960754.0,984703.0,976051.0,89210.0,49742.0,39468.0,6661.0,1636.0,5025.0
39,1906201.0,980981.0,925220.0,100469.0,71684.0,28785.0,1721026.0,864343.0,856683.0,77961.0,43338.0,34623.0,6745.0,1616.0,5129.0
,,,,,,,,,,,,,,,
40-44岁,9246332.0,4758438.0,4487894.0,368780.0,273283.0,95497.0,8429214.0,4257016.0,4172198.0,392316.0,214448.0,177868.0,56022.0,13691.0,42331.0
40,1750921.0,900952.0,849969.0,83707.0,60272.0,23435.0,1587194.0,798786.0,788408.0,72412.0,40074.0,32338.0,7608.0,1820.0,5788.0
41,1928531.0,994632.0,933899.0,81597.0,60206.0,21391.0,1754587.0,886403.0,868184.0,82540.0,45610.0,36930.0,9807.0,2413.0,7394.0
42,1843648.0,946899.0,896749.0,72233.0,53402.0,18831.0,1681689.0,848104.0,833585.0,78755.0,42810.0,35945.0,10971.0,2583.0,8388.0
43,1764312.0,908133.0,856179.0,64862.0,48739.0,16123.0,1611032.0,814976.0,796056.0,76281.0,41368.0,34913.0,12137.0,3050.0,9087.0
44,1958920.0,1007822.0,951098.0,66381.0,50664.0,15717.0,1794712.0,908747.0,885965.0,82328.0,44586.0,37742.0,15499.0,3825.0,11674.0
,,,,,,,,,,,,,,,
45-49岁,11286279.0,5774455.0,5511824.0,325879.0,256579.0,69300.0,10378747.0,5246786.0,5131961.0,444017.0,236922.0,207095.0,137636.0,34168.0,103468.0
45,2006712.0,1029558.0,977154.0,65437.0,50714.0,14723.0,1839359.0,929386.0,909973.0,83539.0,44972.0,38567.0,18377.0,4486.0,13891.0
46,2197494.0,1123949.0,1073545.0,67553.0,52876.0,14677.0,2018702.0,1017868.0,1000834.0,88334.0,47541.0,40793.0,22905.0,5664.0,17241.0
47,2298050.0,1176498.0,1121552.0,66780.0,52252.0,14528.0,2113125.0,1069195.0,1043930.0,90893.0,48282.0,42611.0,27252.0,6769.0,20483.0
48,2354836.0,1202544.0,1152292.0,63766.0,50710.0,13056.0,2168703.0,1095793.0,1072910.0,90481.0,48015.0,42466.0,31886.0,8026.0,23860.0
49,2429187.0,1241906.0,1187281.0,62343.0,50027.0,12316.0,2238858.0,1134544.0,1104314.0,90770.0,48112.0,42658.0,37216.0,9223.0,27993.0
,,,,,,,,,,,,,,,
50-54岁,11926180.0,6019802.0,5906378.0,247172.0,206146.0,41026.0,10986539.0,5528979.0,5457560.0,392056.0,208600.0,183456.0,300413.0,76077.0,224336.0
50,2564829.0,1298030.0,1266799.0,60326.0,48963.0,11363.0,2364896.0,1188439.0,1176457.0,92844.0,49029.0,43815.0,46763.0,11599.0,35164.0
51,2404959.0,1216599.0,1188360.0,52112.0,43248.0,8864.0,2216198.0,1115599.0,1100599.0,84092.0,44333.0,39759.0,52557.0,13419.0,39138.0
52,2575521.0,1298846.0,1276675.0,51890.0,43237.0,8653.0,2374042.0,1194062.0,1179980.0,85111.0,45225.0,39886.0,64478.0,16322.0,48156.0
53,2059446.0,1034436.0,1025010.0,39989.0,33931.0,6058.0,1897100.0,951928.0,945172.0,62079.0,33403.0,28676.0,60278.0,15174.0,45104.0
54,2321425.0,1171891.0,1149534.0,42855.0,36767.0,6088.0,2134303.0,1078951.0,1055352.0,67930.0,36610.0,31320.0,76337.0,19563.0,56774.0
,,,,,,,,,,,,,,,
55-59岁,9980162.0,4986030.0,4994132.0,161371.0,138254.0,23117.0,9075857.0,4583641.0,4492216.0,289665.0,152279.0,137386.0,453269.0,111856.0,341413.0
55,2276177.0,1144496.0,1131681.0,39470.0,33816.0,5654.0,2084293.0,1053268.0,1031025.0,67463.0,35931.0,31532.0,84951.0,21481.0,63470.0
56,2223387.0,1111081.0,1112306.0,37307.0,32007.0,5300.0,2026135.0,1021190.0,1004945.0,67044.0,35120.0,31924.0,92901.0,22764.0,70137.0
57,2567550.0,1290317.0,1277233.0,40909.0,35161.0,5748.0,2333455.0,1186450.0,1147005.0,75625.0,39441.0,36184.0,117561.0,29265.0,88296.0
58,1879095.0,935259.0,943836.0,28204.0,24163.0,4041.0,1703014.0,860670.0,842344.0,50268.0,26404.0,23864.0,97609.0,24022.0,73587.0
59,1033953.0,504877.0,529076.0,15481.0,13107.0,2374.0,928960.0,462063.0,466897.0,29265.0,15383.0,13882.0,60247.0,14324.0,45923.0
,,,,,,,,,,,,,,,
60-64岁,7212331.0,3611534.0,3600797.0,120131.0,107706.0,12425.0,6332854.0,3254736.0,3078118.0,163170.0,89339.0,73831.0,596176.0,159753.0,436423.0
60,1265735.0,630443.0,635292.0,19231.0,16617.0,2614.0,1127869.0,573911.0,553958.0,35600.0,18880.0,16720.0,83035.0,21035.0,62000.0
61,1191490.0,601597.0,589893.0,19210.0,16994.0,2216.0,1054041.0,544594.0,509447.0,29963.0,16525.0,13438.0,88276.0,23484.0,64792.0
62,1519108.0,765643.0,753465.0,26356.0,23724.0,2632.0,1334616.0,689598.0,645018.0,34760.0,19252.0,15508.0,123376.0,33069.0,90307.0
63,1696369.0,853241.0,843128.0,29079.0,26487.0,2592.0,1483061.0,766634.0,716427.0,34121.0,18876.0,15245.0,150108.0,41244.0,108864.0
64,1539629.0,760610.0,779019.0,26255.0,23884.0,2371.0,1333267.0,679999.0,653268.0,28726.0,15806.0,12920.0,151381.0,40921.0,110460.0
,,,,,,,,,,,,,,,
65岁及以上,18310770.0,8700474.0,9610296.0,301850.0,272796.0,29054.0,12864023.0,6993042.0,5870981.0,174292.0,98028.0,76264.0,4970605.0,1336608.0,3633997.0
,,,,,,,,,,,,,,,
未上过学,3768081.0,896882.0,2871199.0,251078.0,204461.0,46617.0,2169184.0,515873.0,1653311.0,31514.0,14487.0,17027.0,1316305.0,162061.0,1154244.0
,,,,,,,,,,,,,,,
15-19岁,12927.0,7488.0,5439.0,12565.0,7448.0,5117.0,351.0,39.0,312.0,10.0,1.0,9.0,1.0,0.0,1.0
15,2245.0,1348.0,897.0,2235.0,1347.0,888.0,10.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2388.0,1431.0,957.0,2370.0,1428.0,942.0,18.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2398.0,1355.0,1043.0,2358.0,1350.0,1008.0,40.0,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2803.0,1625.0,1178.0,2692.0,1613.0,1079.0,109.0,12.0,97.0,2.0,0.0,2.0,0.0,0.0,0.0
19,3093.0,1729.0,1364.0,2910.0,1710.0,1200.0,174.0,18.0,156.0,8.0,1.0,7.0,1.0,0.0,1.0
,,,,,,,,,,,,,,,
20-24岁,19668.0,10379.0,9289.0,15638.0,9697.0,5941.0,3919.0,666.0,3253.0,98.0,12.0,86.0,13.0,4.0,9.0
20,3612.0,1964.0,1648.0,3248.0,1923.0,1325.0,357.0,40.0,317.0,6.0,0.0,6.0,1.0,1.0,0.0
21,3602.0,1961.0,1641.0,3034.0,1870.0,1164.0,552.0,89.0,463.0,14.0,1.0,13.0,2.0,1.0,1.0
22,3948.0,2127.0,1821.0,3169.0,2003.0,1166.0,755.0,118.0,637.0,22.0,5.0,17.0,2.0,1.0,1.0
23,4119.0,2123.0,1996.0,3101.0,1932.0,1169.0,994.0,189.0,805.0,21.0,2.0,19.0,3.0,0.0,3.0
24,4387.0,2204.0,2183.0,3086.0,1969.0,1117.0,1261.0,230.0,1031.0,35.0,4.0,31.0,5.0,1.0,4.0
,,,,,,,,,,,,,,,
25-29岁,28194.0,13683.0,14511.0,15666.0,10552.0,5114.0,12048.0,3004.0,9044.0,406.0,114.0,292.0,74.0,13.0,61.0
25,4970.0,2477.0,2493.0,3264.0,2087.0,1177.0,1654.0,377.0,1277.0,46.0,9.0,37.0,6.0,4.0,2.0
26,5063.0,2476.0,2587.0,3045.0,2026.0,1019.0,1955.0,439.0,1516.0,49.0,11.0,38.0,14.0,0.0,14.0
27,5465.0,2711.0,2754.0,3082.0,2096.0,986.0,2291.0,590.0,1701.0,76.0,23.0,53.0,16.0,2.0,14.0
28,6058.0,2900.0,3158.0,3099.0,2140.0,959.0,2838.0,721.0,2117.0,110.0,39.0,71.0,11.0,0.0,11.0
29,6638.0,3119.0,3519.0,3176.0,2203.0,973.0,3310.0,877.0,2433.0,125.0,32.0,93.0,27.0,7.0,20.0
,,,,,,,,,,,,,,,
30-34岁,48578.0,21540.0,27038.0,18428.0,13171.0,5257.0,28755.0,7897.0,20858.0,1096.0,422.0,674.0,299.0,50.0,249.0
30,8651.0,3962.0,4689.0,3849.0,2670.0,1179.0,4610.0,1228.0,3382.0,166.0,57.0,109.0,26.0,7.0,19.0
31,9493.0,4289.0,5204.0,3806.0,2707.0,1099.0,5447.0,1501.0,3946.0,194.0,73.0,121.0,46.0,8.0,38.0
32,9382.0,4082.0,5300.0,3493.0,2462.0,1031.0,5611.0,1533.0,4078.0,215.0,79.0,136.0,63.0,8.0,55.0
33,10592.0,4682.0,5910.0,3790.0,2744.0,1046.0,6468.0,1805.0,4663.0,253.0,117.0,136.0,81.0,16.0,65.0
34,10460.0,4525.0,5935.0,3490.0,2588.0,902.0,6619.0,1830.0,4789.0,268.0,96.0,172.0,83.0,11.0,72.0
,,,,,,,,,,,,,,,
35-39岁,58555.0,23146.0,35409.0,15418.0,11480.0,3938.0,40847.0,10925.0,29922.0,1587.0,634.0,953.0,703.0,107.0,596.0
35,10306.0,4226.0,6080.0,2980.0,2176.0,804.0,6962.0,1944.0,5018.0,279.0,92.0,187.0,85.0,14.0,71.0
36,10874.0,4274.0,6600.0,2977.0,2180.0,797.0,7493.0,1946.0,5547.0,300.0,129.0,171.0,104.0,19.0,85.0
37,11247.0,4519.0,6728.0,3030.0,2254.0,776.0,7788.0,2122.0,5666.0,297.0,125.0,172.0,132.0,18.0,114.0
38,13053.0,5119.0,7934.0,3306.0,2486.0,820.0,9238.0,2477.0,6761.0,332.0,134.0,198.0,177.0,22.0,155.0
39,13075.0,5008.0,8067.0,3125.0,2384.0,741.0,9366.0,2436.0,6930.0,379.0,154.0,225.0,205.0,34.0,171.0
,,,,,,,,,,,,,,,
40-44岁,84999.0,29299.0,55700.0,16142.0,12653.0,3489.0,64704.0,15373.0,49331.0,2241.0,951.0,1290.0,1912.0,322.0,1590.0
40,13903.0,4974.0,8929.0,2903.0,2207.0,696.0,10384.0,2577.0,7807.0,382.0,155.0,227.0,234.0,35.0,199.0
41,15685.0,5658.0,10027.0,3350.0,2612.0,738.0,11610.0,2813.0,8797.0,401.0,170.0,231.0,324.0,63.0,261.0
42,16784.0,5732.0,11052.0,3200.0,2508.0,692.0,12817.0,2991.0,9826.0,436.0,189.0,247.0,331.0,44.0,287.0
43,17655.0,6152.0,11503.0,3236.0,2578.0,658.0,13489.0,3277.0,10212.0,504.0,213.0,291.0,426.0,84.0,342.0
44,20972.0,6783.0,14189.0,3453.0,2748.0,705.0,16404.0,3715.0,12689.0,518.0,224.0,294.0,597.0,96.0,501.0
,,,,,,,,,,,,,,,
45-49岁,153937.0,45590.0,108347.0,21039.0,17363.0,3676.0,123964.0,25871.0,98093.0,3524.0,1664.0,1860.0,5410.0,692.0,4718.0
45,23140.0,7086.0,16054.0,3578.0,2862.0,716.0,18366.0,3889.0,14477.0,557.0,234.0,323.0,639.0,101.0,538.0
46,27432.0,8413.0,19019.0,4087.0,3330.0,757.0,21780.0,4654.0,17126.0,680.0,326.0,354.0,885.0,103.0,782.0
47,31405.0,9345.0,22060.0,4308.0,3564.0,744.0,25344.0,5335.0,20009.0,684.0,309.0,375.0,1069.0,137.0,932.0
48,34581.0,9982.0,24599.0,4389.0,3674.0,715.0,28137.0,5772.0,22365.0,759.0,371.0,388.0,1296.0,165.0,1131.0
49,37379.0,10764.0,26615.0,4677.0,3933.0,744.0,30337.0,6221.0,24116.0,844.0,424.0,420.0,1521.0,186.0,1335.0
,,,,,,,,,,,,,,,
50-54岁,235831.0,60417.0,175414.0,22649.0,19527.0,3122.0,194683.0,37213.0,157470.0,4308.0,2043.0,2265.0,14191.0,1634.0,12557.0
50,43608.0,11817.0,31791.0,4894.0,4147.0,747.0,35900.0,7021.0,28879.0,870.0,421.0,449.0,1944.0,228.0,1716.0
51,44513.0,11843.0,32670.0,4634.0,3941.0,693.0,36697.0,7224.0,29473.0,867.0,391.0,476.0,2315.0,287.0,2028.0
52,50863.0,12995.0,37868.0,4724.0,4097.0,627.0,42185.0,8116.0,34069.0,919.0,428.0,491.0,3035.0,354.0,2681.0
53,44918.0,11334.0,33584.0,3929.0,3423.0,506.0,37200.0,7178.0,30022.0,798.0,381.0,417.0,2991.0,352.0,2639.0
54,51929.0,12428.0,39501.0,4468.0,3919.0,549.0,42701.0,7674.0,35027.0,854.0,422.0,432.0,3906.0,413.0,3493.0
,,,,,,,,,,,,,,,
55-59岁,260988.0,54950.0,206038.0,18422.0,16190.0,2232.0,213038.0,34780.0,178258.0,3535.0,1645.0,1890.0,25993.0,2335.0,23658.0
55,52252.0,12338.0,39914.0,4496.0,3959.0,537.0,42590.0,7547.0,35043.0,820.0,373.0,447.0,4346.0,459.0,3887.0
56,53909.0,12057.0,41852.0,4236.0,3748.0,488.0,43917.0,7450.0,36467.0,775.0,358.0,417.0,4981.0,501.0,4480.0
57,62075.0,13033.0,49042.0,4508.0,3991.0,517.0,50559.0,8106.0,42453.0,832.0,400.0,432.0,6176.0,536.0,5640.0
58,56438.0,10620.0,45818.0,3287.0,2851.0,436.0,46346.0,7014.0,39332.0,652.0,288.0,364.0,6153.0,467.0,5686.0
59,36314.0,6902.0,29412.0,1895.0,1641.0,254.0,29626.0,4663.0,24963.0,456.0,226.0,230.0,4337.0,372.0,3965.0
,,,,,,,,,,,,,,,
60-64岁,368683.0,79216.0,289467.0,19440.0,17817.0,1623.0,287311.0,53775.0,233536.0,3807.0,1887.0,1920.0,58125.0,5737.0,52388.0
60,47186.0,9768.0,37418.0,2587.0,2268.0,319.0,37758.0,6636.0,31122.0,582.0,281.0,301.0,6259.0,583.0,5676.0
61,52284.0,11359.0,40925.0,2756.0,2462.0,294.0,41351.0,7870.0,33481.0,620.0,287.0,333.0,7557.0,740.0,6817.0
62,77581.0,17153.0,60428.0,4351.0,3994.0,357.0,60493.0,11574.0,48919.0,858.0,427.0,431.0,11879.0,1158.0,10721.0
63,95707.0,20645.0,75062.0,5045.0,4725.0,320.0,74127.0,13925.0,60202.0,889.0,459.0,430.0,15646.0,1536.0,14110.0
64,95925.0,20291.0,75634.0,4701.0,4368.0,333.0,73582.0,13770.0,59812.0,858.0,433.0,425.0,16784.0,1720.0,15064.0
,,,,,,,,,,,,,,,
65岁及以上,2495721.0,551174.0,1944547.0,75671.0,68563.0,7108.0,1199564.0,326330.0,873234.0,10902.0,5114.0,5788.0,1209584.0,151167.0,1058417.0
,,,,,,,,,,,,,,,
学前教育,127976.0,41245.0,86731.0,13065.0,8902.0,4163.0,77068.0,25427.0,51641.0,1200.0,660.0,540.0,36643.0,6256.0,30387.0
,,,,,,,,,,,,,,,
15-19岁,4415.0,2294.0,2121.0,4393.0,2286.0,2107.0,22.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1742.0,921.0,821.0,1741.0,921.0,820.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1127.0,564.0,563.0,1122.0,562.0,560.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
17,570.0,300.0,270.0,565.0,300.0,265.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
18,557.0,294.0,263.0,551.0,290.0,261.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
19,419.0,215.0,204.0,414.0,213.0,201.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,
20-24岁,2013.0,1039.0,974.0,1748.0,978.0,770.0,257.0,58.0,199.0,7.0,3.0,4.0,1.0,0.0,1.0
20,495.0,272.0,223.0,473.0,268.0,205.0,21.0,3.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0
21,358.0,189.0,169.0,331.0,184.0,147.0,25.0,5.0,20.0,2.0,0.0,2.0,0.0,0.0,0.0
22,361.0,187.0,174.0,312.0,175.0,137.0,48.0,12.0,36.0,1.0,0.0,1.0,0.0,0.0,0.0
23,402.0,199.0,203.0,332.0,182.0,150.0,68.0,16.0,52.0,1.0,1.0,0.0,1.0,0.0,1.0
24,397.0,192.0,205.0,300.0,169.0,131.0,95.0,22.0,73.0,2.0,1.0,1.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,
25-29岁,1961.0,930.0,1031.0,996.0,619.0,377.0,940.0,298.0,642.0,25.0,13.0,12.0,0.0,0.0,0.0
25,420.0,211.0,209.0,273.0,162.0,111.0,144.0,47.0,97.0,3.0,2.0,1.0,0.0,0.0,0.0
26,367.0,183.0,184.0,212.0,138.0,74.0,152.0,43.0,109.0,3.0,2.0,1.0,0.0,0.0,0.0
27,370.0,183.0,187.0,195.0,121.0,74.0,170.0,58.0,112.0,5.0,4.0,1.0,0.0,0.0,0.0
28,403.0,178.0,225.0,164.0,111.0,53.0,233.0,65.0,168.0,6.0,2.0,4.0,0.0,0.0,0.0
29,401.0,175.0,226.0,152.0,87.0,65.0,241.0,85.0,156.0,8.0,3.0,5.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,
30-34岁,2481.0,1178.0,1303.0,724.0,502.0,222.0,1695.0,643.0,1052.0,52.0,31.0,21.0,10.0,2.0,8.0
30,500.0,248.0,252.0,176.0,126.0,50.0,311.0,113.0,198.0,12.0,8.0,4.0,1.0,1.0,0.0
31,535.0,265.0,270.0,157.0,113.0,44.0,367.0,145.0,222.0,11.0,7.0,4.0,0.0,0.0,0.0
32,459.0,202.0,257.0,128.0,80.0,48.0,325.0,117.0,208.0,4.0,4.0,0.0,2.0,1.0,1.0
33,498.0,217.0,281.0,137.0,98.0,39.0,342.0,113.0,229.0,15.0,6.0,9.0,4.0,0.0,4.0
34,489.0,246.0,243.0,126.0,85.0,41.0,350.0,155.0,195.0,10.0,6.0,4.0,3.0,0.0,3.0
,,,,,,,,,,,,,,,
35-39岁,2061.0,952.0,1109.0,446.0,315.0,131.0,1542.0,602.0,940.0,59.0,34.0,25.0,14.0,1.0,13.0
35,393.0,177.0,216.0,88.0,55.0,33.0,290.0,113.0,177.0,12.0,9.0,3.0,3.0,0.0,3.0
36,415.0,195.0,220.0,105.0,64.0,41.0,299.0,124.0,175.0,8.0,6.0,2.0,3.0,1.0,2.0
37,409.0,200.0,209.0,87.0,69.0,18.0,313.0,125.0,188.0,9.0,6.0,3.0,0.0,0.0,0.0
38,463.0,213.0,250.0,84.0,64.0,20.0,360.0,143.0,217.0,15.0,6.0,9.0,4.0,0.0,4.0
39,381.0,167.0,214.0,82.0,63.0,19.0,280.0,97.0,183.0,15.0,7.0,8.0,4.0,0.0,4.0
,,,,,,,,,,,,,,,
40-44岁,2550.0,1037.0,1513.0,381.0,299.0,82.0,2051.0,694.0,1357.0,78.0,36.0,42.0,40.0,8.0,32.0
40,405.0,178.0,227.0,71.0,56.0,15.0,313.0,113.0,200.0,15.0,8.0,7.0,6.0,1.0,5.0
41,470.0,207.0,263.0,79.0,65.0,14.0,366.0,132.0,234.0,18.0,7.0,11.0,7.0,3.0,4.0
42,519.0,191.0,328.0,80.0,59.0,21.0,417.0,125.0,292.0,14.0,6.0,8.0,8.0,1.0,7.0
43,521.0,224.0,297.0,76.0,61.0,15.0,426.0,154.0,272.0,13.0,9.0,4.0,6.0,0.0,6.0
44,635.0,237.0,398.0,75.0,58.0,17.0,529.0,170.0,359.0,18.0,6.0,12.0,13.0,3.0,10.0
,,,,,,,,,,,,,,,
45-49岁,4561.0,1680.0,2881.0,482.0,386.0,96.0,3829.0,1199.0,2630.0,139.0,76.0,63.0,111.0,19.0,92.0
45,705.0,277.0,428.0,102.0,82.0,20.0,561.0,179.0,382.0,28.0,16.0,12.0,14.0,0.0,14.0
46,836.0,310.0,526.0,99.0,76.0,23.0,703.0,216.0,487.0,21.0,12.0,9.0,13.0,6.0,7.0
47,872.0,320.0,552.0,94.0,75.0,19.0,736.0,225.0,511.0,28.0,15.0,13.0,14.0,5.0,9.0
48,983.0,352.0,631.0,75.0,62.0,13.0,852.0,272.0,580.0,28.0,14.0,14.0,28.0,4.0,24.0
