表5-9各地区按性别、调查前一周工作时间分的正在工作人口-年龄-年龄-年龄,表5-9各地区按性别、调查前一周工作时间分的正在工作人口-正在工作人口-正在工作人口-（1）,表5-9各地区按性别、调查前一周工作时间分的正在工作人口-一周内工作时间-1—9-（2）,表5-9各地区按性别、调查前一周工作时间分的正在工作人口-一周内工作时间-10—19-（3）,表5-9各地区按性别、调查前一周工作时间分的正在工作人口-一周内工作时间-20-39-（4）,表5-9各地区按性别、调查前一周工作时间分的正在工作人口-一周内工作时间-40-（5）,表5-9各地区按性别、调查前一周工作时间分的正在工作人口-一周内工作时间-41-47-（6）,表5-9各地区按性别、调查前一周工作时间分的正在工作人口-一周内工作时间-48-（7）,表5-9各地区按性别、调查前一周工作时间分的正在工作人口-单位：人-一周内工作时间-48+-（8）,表5-9各地区按性别、调查前一周工作时间分的正在工作人口-周平均工作时间(小时)-周平均工作时间(小时)-（9）
42,7381,11,97,1137,2641,367,409,2719,45
43,5239,34,69,811,1875,285,292,1873,44
44,1881,5,16,299,673,94,97,697,45
45-49,19207,76,313,3183,6453,1042,1082,7058,44
45,3076,12,37,485,1046,175,170,1151,45
46,2741,12,33,467,910,147,162,1010,44
47,4040,17,71,638,1386,213,225,1490,44
48,4974,22,87,799,1635,269,288,1874,44
49,4376,13,85,794,1476,238,237,1533,44
50-54,21487,87,480,4358,7088,1048,1044,7382,43
50,4531,7,83,864,1577,197,215,1588,44
51,4601,29,96,865,1550,229,221,1611,43
52,4285,16,101,878,1417,213,215,1445,43
53,4473,20,97,950,1427,232,214,1533,43
54,3597,15,103,801,1117,177,179,1205,43
55-59,15149,117,494,3749,4473,784,637,4895,42
55,3487,21,90,786,1056,184,174,1176,43
56,3694,15,128,902,1079,190,156,1224,42
57,2987,11,66,764,927,143,118,958,42
58,2755,24,90,716,800,141,107,877,41
59,2226,46,120,581,611,126,82,660,40
60-64,8196,56,461,2758,2072,437,298,2114,39
60,1816,13,101,533,492,89,69,519,40
61,1830,14,90,616,431,102,65,512,39
62,1612,10,84,517,438,78,67,418,39
63,1435,8,70,517,359,86,46,349,38
64,1503,11,116,575,352,82,51,316,37
65-69,5684,63,438,2371,1262,252,156,1142,36
65,1324,17,76,518,308,61,36,308,37
66,1102,12,69,461,248,50,28,234,36
67,1316,11,140,551,289,58,34,233,34
68,1094,15,78,470,231,51,32,217,35
69,848,8,75,371,186,32,26,150,35
70岁及以上,3138,61,397,1489,519,116,65,491,32
女合计,149248,873,6404,45109,44030,6796,6863,39173,40
16-19,6222,20,209,1613,1754,277,426,1923,42
16,915,2,47,282,236,23,51,274,40
17,1449,8,52,379,391,71,98,450,41
18,1966,6,59,504,564,95,128,610,42
19,1892,4,51,448,563,88,149,589,42
20-24,13028,48,486,3333,4212,591,837,3521,41
20,2202,8,68,571,689,96,132,638,41
21,2351,4,120,594,710,109,149,665,41
22,2618,13,98,657,839,106,178,727,41
23,3261,16,118,844,1080,157,206,840,40
24,2596,7,82,667,894,123,172,651,41
25-29,13611,54,436,3367,4679,578,798,3699,41
25,2545,6,82,648,883,109,150,667,41
26,2742,8,108,697,915,111,160,743,41
27,2646,18,82,616,953,104,168,705,41
28,2596,8,77,633,891,128,144,715,41
29,3082,14,87,773,1037,126,176,869,42
30-34,20094,79,694,5353,6499,875,1078,5516,41
30,3586,10,137,931,1189,173,189,957,41
31,4059,17,127,1106,1323,168,206,1112,41
32,3975,22,125,1062,1293,169,213,1091,41
33,4224,17,161,1117,1333,196,221,1179,41
34,4250,13,144,1137,1361,169,249,1177,41
35-39,26107,113,910,7382,7912,1251,1200,7339,41
35,5128,31,147,1447,1590,233,248,1432,41
36,5137,17,212,1444,1592,244,224,1404,41
37,6174,20,229,1734,1856,298,281,1756,41
38,4474,23,141,1267,1332,234,207,1270,41
39,5194,22,181,1490,1542,242,240,1477,41
40-44,22918,114,794,6488,7009,1134,996,6383,41
40,5505,25,177,1537,1727,270,219,1550,41
41,5229,37,178,1485,1532,266,244,1487,41
42,6183,21,203,1750,1901,304,281,1723,41
43,4441,23,180,1249,1383,220,182,1204,40
44,1560,8,56,467,466,74,70,419,40
45-49,15103,101,607,4659,4547,737,584,3868,40
45,2470,15,98,731,781,129,102,614,40
46,2217,12,85,654,680,114,90,582,40
47,3165,26,125,966,928,156,124,840,40
48,3854,19,152,1183,1159,202,159,980,40
49,3397,29,147,1125,999,136,109,852,39
50-54,15028,82,756,5467,3950,675,511,3587,38
50,3303,21,170,1099,919,156,113,825,39
51,3252,24,147,1167,876,147,120,771,38
52,3057,12,150,1117,800,135,112,731,38
53,3066,19,164,1116,797,134,103,733,38
54,2350,6,125,968,558,103,63,527,37
55-59,9166,97,630,3760,1985,399,260,2035,36
55,2239,17,138,869,504,102,79,530,37
56,2183,20,147,883,505,104,52,472,36
57,1803,24,125,735,385,68,54,412,36
58,1628,27,131,721,311,68,43,327,35
59,1313,9,89,552,280,57,32,294,36
60-64,4323,72,394,1965,866,157,91,778,34
60,1032,14,94,428,217,36,24,219,35
61,1009,19,74,458,208,49,17,184,34
62,846,18,80,413,153,31,14,137,33
63,722,8,66,335,153,24,19,117,34
64,714,13,80,331,135,17,17,121,33
65-69,2423,45,280,1154,437,103,56,348,32
65,643,11,66,288,123,34,13,108,33
66,518,13,67,249,87,19,13,70,31
67,502,3,65,254,83,22,9,66,32
68,418,11,41,193,87,16,14,56,32
69,342,7,41,170,57,12,7,48,32
70岁及以上,1225,48,208,568,180,19,26,176,29
