成员,IBI,情感,忠诚,贡献,专业尊敬
109,63,26,35,26,10
110,77,32,41,30,14
111,82,32,47,36,14
112,81,40,59,42,18
113,83,32,47,34,14
114,63,24,35,26,10
115,81,40,53,42,18
116,67,10,17,18,2
117,74,40,44,38,14
118,85,26,35,30,14
119,74,30,35,22,10
120,73,32,44,30,14
121,103,40,59,42,18
122,83,32,44,30,14
123,51,32,38,30,14
124,63,32,47,30,18
125,77,22,35,34,10
126,102,40,59,42,18
127,74,40,38,42,16
128,78,40,50,34,14
129,74,32,47,28,14
130,63,22,35,30,14
131,74,28,38,32,13
132,83,40,47,42,18
133,81,40,59,42,18
134,72,32,35,28,14
135,62,32,47,34,14
136,68,30,38,34,14
137,83,32,47,34,14
138,88,40,41,34,14
139,77,24,35,28,13
140,68,26,47,32,9
141,75,24,38,28,6
142,74,32,47,34,14
143,74,32,47,34,14
144,83,32,47,34,14
145,83,40,47,34,14
146,85,40,59,42,18
147,94,40,59,42,18
148,74,32,35,34,12
149,73,32,23,26,14
150,82,8,11,10,2
151,63,24,35,26,7
152,77,32,35,30,10
153,63,24,35,26,10
154,72,24,23,24,10
155,75,36,38,26,10
156,82,32,47,34,14
157,79,32,41,28,18
158,83,32,47,34,14
159,45,20,35,18,12
160,71,32,47,34,14
161,83,32,47,34,14
162,99,40,59,42,18
163,83,32,47,34,14
164,77,32,47,34,14
165,83,32,47,34,14
166,63,32,41,34,14
167,48,24,35,16,10
168,62,18,35,26,10
169,77,40,59,42,18
170,94,40,59,42,18
171,83,32,47,34,14
172,68,16,23,20,6
173,82,32,47,34,14
174,82,32,47,30,10
175,83,32,38,32,18
176,74,32,47,28,13
177,88,32,47,34,15
178,66,22,35,26,10
179,81,40,47,34,18
180,72,32,59,26,18
181,80,24,47,32,14
182,71,40,59,42,18
183,80,32,35,30,14
184,79,32,47,34,14
185,82,40,59,42,18
186,65,32,26,36,10
187,71,36,53,34,18
188,83,32,41,34,18
189,80,24,35,26,10
190,63,32,47,34,14
191,98,38,47,42,18
192,80,32,35,34,14
193,65,24,35,26,10
194,79,24,32,30,17
195,102,40,59,42,18
196,77,40,59,42,18
197,73,32,47,32,12
198,83,32,47,34,14
199,63,32,47,34,14
200,81,32,44,38,18
201,73,32,47,28,14
202,83,28,38,38,18
203,83,40,59,42,18
204,103,40,59,42,18
205,76,24,35,26,10
206,85,40,53,40,18
207,83,32,47,34,14
208,74,32,38,20,14
209,74,32,38,22,14
210,79,32,47,34,14
211,66,32,47,34,14
212,77,32,35,28,14
213,72,32,47,34,14
214,67,8,32,10,2
215,78,28,44,34,14
216,81,20,35,32,9
217,93,40,59,42,18
218,85,40,59,42,18
219,68,32,47,34,14
220,72,28,35,26,10
221,70,24,38,26,10
222,79,34,47,34,14
223,63,24,35,26,10
224,74,32,44,34,14
225,84,40,59,42,18
226,68,34,47,42,18
227,83,38,47,34,17
228,54,16,20,26,10
229,103,32,47,42,15
230,67,24,35,22,7
231,86,40,47,42,18
232,68,28,38,34,18
233,103,32,47,34,14
234,71,32,47,34,14
235,67,32,35,22,13
236,81,32,47,34,14
237,76,24,35,26,10
238,63,8,11,10,2
239,94,40,59,42,18
240,77,32,47,34,14
241,91,40,41,28,14
242,80,40,47,42,18
243,83,34,47,34,14
244,85,32,47,38,14
245,69,32,38,34,14
246,83,32,47,34,14
247,84,38,41,34,14
248,79,32,47,34,14
249,83,32,47,34,14
250,82,32,47,34,14
251,82,30,47,38,14
252,80,36,38,32,14
253,83,24,41,28,11
254,65,20,26,26,12
255,63,24,35,26,10
256,60,18,20,22,9
257,77,32,38,28,14
258,82,30,35,34,12
259,101,40,59,42,18
260,83,36,56,42,18
261,81,32,38,36,18
262,83,32,44,34,14
263,83,32,47,34,14
264,101,40,50,38,18
265,91,40,59,42,18
266,83,32,47,34,14
267,83,32,47,34,14
268,68,32,47,34,14
269,83,32,47,34,14
270,78,32,47,34,14
271,81,32,47,34,14
272,66,32,47,30,13
273,83,40,44,38,18
274,92,40,44,30,18
275,102,40,59,42,18
276,72,24,35,26,10
277,85,40,35,30,18
278,83,40,59,42,18
279,63,32,47,34,14
280,74,28,41,22,13
281,75,30,26,20,14
282,82,40,50,42,18
283,69,28,26,34,17
284,83,40,56,42,18
285,74,32,38,42,18
286,83,32,47,34,14
287,74,32,47,30,14
288,103,32,47,34,14
289,76,32,35,30,14
290,83,32,47,34,14
291,74,32,26,30,14
292,77,24,35,26,10
293,64,40,41,42,18
294,66,32,47,34,14
295,69,32,47,34,14
296,83,32,47,34,14
297,71,26,32,28,13
298,79,40,47,42,18
299,80,32,47,34,14
300,83,32,44,34,14
301,88,32,41,42,15
302,84,32,47,34,14
303,96,40,44,42,18
304,59,32,44,34,11
305,79,32,47,34,14
306,83,32,47,34,14
307,74,36,44,32,13
308,55,32,47,34,11
309,65,24,23,28,17
310,63,32,47,32,13
311,82,40,41,34,14
312,81,32,35,34,14
313,83,40,59,42,18
314,83,40,59,42,18
315,68,34,47,34,14
316,82,32,44,34,14
317,66,28,38,28,11
318,73,32,41,26,14
319,81,40,44,34,18
320,86,40,41,42,17
321,83,32,47,34,14
322,64,32,47,34,14
323,83,32,47,34,14
324,64,24,35,26,10
325,103,40,59,42,18
326,83,32,47,34,14
327,75,32,47,34,14
328,68,32,47,30,14
329,83,32,47,34,14
330,63,24,35,26,10
331,78,40,47,42,18
332,67,26,35,28,14
333,83,32,35,28,14
334,43,16,23,18,6
335,83,32,47,34,14
336,63,24,35,26,10
337,63,24,35,26,10
338,63,32,47,34,14
339,77,32,47,34,14
340,79,32,41,34,14
341,53,28,41,30,14
342,84,32,47,34,14
343,64,32,47,34,14
344,83,32,47,34,14
345,76,20,23,26,6
346,83,32,47,34,14
347,77,32,47,34,14
348,83,32,47,34,14
349,63,16,17,10,2
350,72,32,35,34,18
351,79,40,50,34,14
352,72,32,47,34,14
353,75,26,35,34,11
354,67,40,50,36,16
355,85,40,59,40,18
356,63,32,47,34,14
357,95,38,56,42,18
358,63,30,35,30,14
359,87,40,59,42,18
360,63,24,35,26,10
361,82,36,59,42,18
362,76,8,11,34,2
363,80,40,59,34,14
364,70,32,47,26,18
365,94,40,59,42,18
366,82,32,47,34,14
367,75,40,53,32,16
368,78,32,47,34,14
369,76,32,47,32,14
370,64,32,38,26,13
371,80,32,47,34,14
372,92,40,53,40,17
373,67,40,41,42,18
374,91,32,47,34,14
375,91,40,59,42,18
376,83,32,47,34,14
377,83,32,47,34,14
378,82,40,53,42,17
379,82,32,47,34,14
380,74,24,32,38,15
381,102,40,59,42,18
382,72,36,35,24,15
383,81,24,35,26,10
384,88,32,47,34,14
385,89,32,47,36,14
386,77,32,35,26,10
387,76,40,53,34,14
388,84,32,47,34,14
389,63,40,59,42,18
390,76,32,38,26,13
391,97,40,56,42,18
392,80,32,47,34,14
393,77,32,44,34,14
394,83,24,35,28,11
395,79,32,47,34,17
396,79,32,56,42,15
397,73,32,35,30,18
398,67,32,47,34,14
399,81,32,47,34,14
400,76,32,47,34,14
401,84,32,50,34,18
402,54,20,47,28,14
403,83,34,53,42,17
404,67,24,35,26,10
405,59,32,38,26,13
406,80,40,59,38,15
407,80,40,56,34,14
408,69,30,47,34,14
409,75,28,23,28,7
410,83,24,38,34,14
411,83,24,38,34,14
412,65,24,35,26,10
413,73,32,41,34,14
414,83,28,35,34,10
415,63,32,47,34,14
416,59,24,35,26,10
417,80,32,47,34,14
418,63,32,47,34,14
419,61,32,47,34,14
420,94,32,47,34,14
421,86,24,35,26,10
422,101,40,59,42,18
423,79,40,59,42,18
424,83,40,59,42,15
425,58,26,47,28,14
426,80,18,17,14,2
427,66,16,11,10,9
428,63,32,47,32,14
429,63,24,35,26,10
430,83,32,47,34,14
431,92,32,44,34,14
432,94,40,59,42,18
433,67,32,47,34,14
434,78,32,38,34,10
435,83,32,47,34,14
436,66,32,35,30,14
437,76,30,41,34,14
438,82,40,53,42,18
439,84,32,35,36,18
440,95,40,59,42,18
441,74,32,47,34,14
442,83,34,47,34,14
443,81,32,47,28,11
444,77,24,35,26,10
445,77,32,44,32,14
446,76,32,38,34,18
447,78,24,29,34,12
448,49,24,41,28,15
449,77,24,35,18,10
450,69,32,32,38,17
451,83,40,59,42,18
452,69,38,41,30,18
453,64,24,35,26,10
454,66,18,35,18,10
455,75,28,38,30,14
456,77,32,44,30,14
457,85,34,47,34,14
458,77,40,59,36,18
459,87,40,59,42,18
460,86,40,59,42,18
461,81,40,59,42,18
462,91,40,59,42,18
463,60,18,32,22,10
464,79,32,38,34,14
465,88,40,59,42,18
466,71,24,44,20,10
467,65,40,20,22,14
468,80,30,35,34,18
469,87,32,35,30,14
470,83,40,26,42,18
471,69,32,47,32,17
472,82,32,35,34,14
473,74,32,38,26,10
474,98,40,59,42,18
475,69,22,38,28,13
476,74,26,44,28,13
477,100,40,59,42,18
478,69,32,35,30,14
479,83,32,47,34,14
480,74,18,35,26,10
481,70,24,29,24,14
482,83,32,47,34,14
483,71,32,47,34,14
484,83,32,47,34,14
485,74,28,29,28,13
486,86,24,35,34,11
487,81,32,35,32,14
488,94,40,59,38,18
489,67,40,35,26,18
490,73,24,29,26,14
491,70,26,26,26,14
492,92,40,59,34,14
493,75,32,47,34,14
494,73,28,41,26,18
495,60,32,44,34,18
496,75,32,47,34,14
497,74,40,59,42,18
498,83,24,35,26,13
499,74,40,50,42,18
500,75,40,41,26,18
501,81,32,47,34,14
502,81,32,47,34,14
503,77,32,47,34,13
504,76,24,35,26,10
505,83,32,47,34,14
506,85,40,47,32,14
507,83,32,47,34,14
508,74,24,35,26,10
509,63,24,35,30,10
510,65,24,35,26,10
511,79,32,47,34,14
512,82,32,47,34,14
513,82,40,59,42,18
514,65,24,35,26,10
515,82,40,53,34,14
516,83,32,41,34,14
517,69,32,38,34,14
518,83,32,47,34,14
519,67,30,38,34,14
520,81,24,47,26,14
521,60,26,41,30,11
522,95,36,47,34,14
523,80,30,35,34,14
524,63,26,11,10,2
525,71,34,59,32,18
526,75,30,44,34,14
527,83,24,32,26,10
528,75,40,35,34,18
529,73,24,38,26,10
530,68,24,23,26,10
531,49,16,23,18,6
532,64,24,23,26,10
533,72,32,47,32,14
534,81,32,47,34,14
535,83,20,11,32,18
536,81,32,41,28,18
537,63,32,35,26,10
538,76,40,47,42,18
539,75,24,35,34,11
540,77,32,47,34,14
541,84,26,41,34,11
542,63,24,35,26,10
543,83,24,35,34,10
544,86,24,23,26,10
545,70,40,47,34,14
546,75,26,23,26,6
547,77,32,41,28,14
548,85,40,59,42,18
549,81,32,47,34,14
550,61,30,29,26,10
551,81,32,41,20,14
552,81,40,59,34,14
553,62,24,35,26,10
554,84,32,35,34,13
555,77,32,41,34,18
556,85,32,47,34,14
557,83,32,47,34,14
558,73,32,38,34,14
559,90,40,59,42,18
560,63,24,35,26,10
561,77,32,47,30,14
562,83,32,47,34,14
563,96,36,53,34,14
564,81,32,38,34,12
565,83,32,47,34,14
566,85,40,47,32,18
567,62,24,35,24,10
568,83,32,47,34,14
569,43,16,23,18,6
570,65,32,35,30,14
571,83,32,20,28,10
572,75,28,38,28,10
573,79,32,38,34,14
574,63,28,35,28,14
575,60,24,17,30,7
576,75,28,29,34,15
577,76,28,32,28,14
578,83,40,50,42,18
579,81,40,47,32,18
580,75,16,23,18,6
581,63,16,23,18,12
582,63,24,35,26,10
583,102,36,53,32,14
584,64,30,47,30,10
585,80,24,35,26,10
586,82,32,47,34,14
587,69,24,35,26,10
588,63,24,35,26,10
589,82,32,53,30,18
590,80,8,11,10,2
591,72,32,41,42,14
592,98,40,59,42,14
593,76,22,44,36,10
594,83,40,59,40,14
595,82,40,44,42,18
596,82,40,47,38,18
597,64,18,23,22,9
598,96,40,41,40,18
599,70,32,47,34,18
600,85,34,44,32,14
601,74,32,47,34,14
602,67,36,47,34,14
603,83,24,35,26,10
604,72,24,35,26,10
605,72,40,59,42,18
606,83,32,47,34,14
607,83,32,47,34,14
608,83,32,47,34,14
609,84,32,35,26,10
610,82,24,35,26,12
611,83,32,47,26,14
612,70,32,35,18,18
613,63,24,35,26,10
614,81,40,59,38,18
615,63,24,35,26,10
616,83,32,50,34,14
617,63,32,50,34,14
618,84,40,59,42,18
619,71,32,47,30,14
620,63,24,44,32,14
621,77,32,35,34,13
622,56,30,41,20,14
623,83,24,35,26,10
624,83,32,47,34,14
625,81,40,41,32,18
626,83,40,47,38,18
627,83,40,59,42,18
628,102,40,50,42,18
629,77,30,41,32,13
630,63,24,35,26,10
631,103,28,41,28,18
632,83,32,47,34,14
633,76,32,47,34,14
634,80,32,47,34,14
635,81,38,47,34,18
636,80,24,35,26,10
637,63,32,47,34,14
638,82,32,35,34,14
639,75,40,47,34,14
640,80,16,29,18,6
641,74,22,41,26,10
642,74,32,47,34,14
643,80,32,41,28,18
644,78,30,47,30,14
645,83,32,41,34,14
646,73,32,47,34,14
647,81,40,59,42,18
648,78,32,47,30,14
649,85,32,47,42,14
650,93,40,59,42,18
651,83,20,26,22,10
652,53,24,35,26,10
653,65,32,41,32,14
654,63,24,35,26,10
655,76,40,47,30,14
656,75,32,47,28,10
657,60,26,41,38,17
658,88,40,59,42,18
659,101,40,59,42,18
660,83,24,35,26,10
661,56,24,35,38,14
662,74,32,56,34,14
663,63,32,47,34,14
664,82,30,41,34,14
665,80,32,47,34,14
666,73,32,47,34,16
667,83,32,47,34,14
668,82,32,47,30,14
669,63,40,32,36,18
670,81,32,41,20,14
671,79,40,47,34,14
672,82,32,47,34,14
673,77,28,47,34,14
674,78,32,47,34,14
675,81,32,47,34,14
676,79,32,47,34,14
677,63,24,35,26,10
678,96,40,59,42,18
679,74,32,23,22,14
680,80,32,44,30,14
681,81,32,47,34,14
682,59,40,35,26,10
683,61,24,35,26,10
684,76,32,35,26,10
685,70,24,47,34,13
686,83,32,47,34,14
687,75,40,56,42,18
688,77,38,47,28,18
689,86,32,47,34,14
690,76,24,35,34,11
691,85,32,26,32,14
692,63,24,35,26,10
693,75,34,59,42,18
694,63,24,35,26,10
695,81,32,47,34,14
696,63,24,35,26,10
697,70,32,38,30,14
698,65,32,47,32,17
699,81,40,53,34,14
700,75,28,38,32,10
701,83,32,47,34,14
702,79,40,29,26,10
703,83,18,35,20,8
704,84,40,32,26,16
705,66,22,23,22,10
706,73,28,44,32,18
707,89,40,53,34,18
708,63,22,47,20,8
709,83,16,47,30,7
710,77,32,44,32,12
711,71,32,47,34,14
712,83,32,47,32,14
713,73,32,47,30,14
714,83,34,29,34,17
715,63,24,35,26,10
716,83,16,23,18,10
717,83,40,41,42,18
718,65,32,47,30,10
719,75,24,41,34,14
720,80,32,35,28,13
721,63,40,47,26,18
722,78,26,47,34,11
723,71,40,59,42,18
724,82,32,29,26,13
725,72,32,47,34,14
726,63,24,35,26,10
727,83,32,47,34,14
728,62,32,47,30,14
729,59,32,47,34,16
730,79,32,47,34,14
731,68,32,47,32,17
732,64,16,14,22,6
733,81,32,47,34,14
734,83,40,59,42,18
735,80,32,47,26,14
736,73,32,50,36,18
737,81,40,59,42,18
738,83,32,47,34,14
739,83,40,59,42,18
740,68,24,44,32,14
741,80,28,38,26,12
742,75,32,41,42,14
743,74,40,59,42,18
744,70,32,41,34,17
745,56,24,35,26,10
746,77,32,35,26,14
747,63,32,35,28,15
748,83,32,47,34,15
749,85,32,47,34,14
750,63,24,35,26,10
751,63,32,47,34,14
752,80,32,47,34,14
753,63,24,35,26,10
754,63,18,23,18,6
755,78,30,35,34,14
756,81,40,59,42,18
757,43,18,35,26,14
758,79,30,41,34,14
759,83,26,41,26,13
760,59,24,35,26,10
761,83,32,47,34,14
762,79,24,35,30,9
763,83,32,47,34,14
764,62,24,47,26,10
765,61,32,35,26,18
766,83,32,47,34,14
767,71,30,50,32,15
768,84,40,47,34,17
769,81,32,47,34,18
770,78,32,47,34,14
771,75,40,59,42,18
772,71,32,47,34,14
773,103,40,59,42,18
774,77,32,38,34,18
775,85,32,59,42,18
776,100,40,59,42,18
777,76,32,41,32,14
778,70,40,59,42,18
779,66,24,35,26,10
780,56,30,44,30,18
781,87,40,35,42,18
782,80,30,35,34,11
783,83,40,59,42,18
784,83,40,59,42,18
785,64,24,35,26,10
786,71,32,41,28,14
787,72,32,44,34,14
788,68,32,47,34,14
789,79,32,35,28,13
790,83,32,47,34,14
791,81,32,47,26,14
792,79,32,47,30,14
793,64,24,32,24,9
794,80,40,59,42,18
795,76,36,47,34,17
796,71,32,47,34,14
797,59,26,35,26,12
798,65,40,47,34,11
799,86,32,59,34,18
800,84,40,41,34,14
801,55,30,47,28,14
802,70,32,47,34,14
803,70,30,44,34,14
804,82,32,47,34,11
805,68,24,35,28,10
806,83,32,47,34,14
807,83,40,59,36,16
808,80,40,59,42,18
809,67,28,41,38,18
810,78,34,35,28,11
811,83,32,47,34,14
812,100,40,59,38,14
813,80,40,59,42,18
814,81,24,26,30,10
815,77,18,41,18,5
816,79,32,47,34,14
817,83,32,41,34,14
818,80,40,59,42,18
819,82,32,47,34,14
820,82,32,47,34,14
821,71,28,35,26,10
822,71,32,47,34,14
823,63,32,47,34,14
824,86,32,47,34,14
825,72,16,35,26,7
826,63,24,35,26,10
827,80,24,35,26,10
828,72,28,35,30,11
829,83,32,47,34,14
830,67,34,38,32,18
831,63,34,47,34,14
832,74,32,47,34,18
833,71,26,41,32,10
834,83,24,35,26,10
835,69,30,35,26,14
836,75,28,41,30,14
837,63,32,47,34,14
838,75,32,53,34,14
839,63,24,26,26,6
840,74,28,47,26,14
841,80,32,47,34,14
842,54,24,35,26,10
843,74,16,35,26,10
844,72,32,47,34,14
845,64,32,47,34,14
846,74,32,38,28,14
847,63,24,35,26,10
848,79,32,53,34,18
849,80,32,47,34,14
850,68,22,26,20,7
851,63,24,35,26,10
852,64,32,47,34,14
853,82,32,47,34,14
854,89,40,59,42,18
855,83,40,56,38,18
856,81,32,35,36,14
857,84,32,59,42,12
858,69,32,47,34,14
859,75,32,44,28,14
860,76,32,47,34,14
861,69,34,38,24,13
862,83,32,47,34,14
863,82,24,38,26,10
864,75,40,35,30,14
865,83,32,47,34,14
866,76,8,11,10,2
867,72,26,35,34,14
