Building Name,City Location,Completion Time,Number of floors,Height of the building,"Land Area  
(10,000 square meters)","Building Area (10,000 square meters)",Total Investment (in 100 million yuan),Per unit investment (yuan),"Total Cost
（100 million yuan）","Unit Construction Cost
(Yuan)",Notes
Dapeng International Plaza,Guangzhou,2010,59,269.2,0.7429,12.3,13.88,11285,—,—,"The building height is 213 meters, and with the top antenna it reaches 269.4 meters;"
Zifeng Tower,Nanjing,2009,89,450.0,1.8721,26.1057,—,—,40,15322,Equipped with more than 50 vertical elevators and over 30 escalators;
Nanjing International Plaza,Nanjing,2008,82,357.0,3.2477,48.0,About 50,10417,—,—,Construction was suspended in 2006 due to a lack of funds and later resumed after receiving funding from Morgan Stanley;
Jinao Mansion,Nanjing,2007,54,232.0,2.551,22.1536,15,6771,—,—,Includes a 50-story main building and a 4-story podium;
China Merchants Nanjing International Financial Center Office Building,Nanjing,2007,51,232.0,11,18.7,15,8021,—,—,Composed of a 6-story podium and main and secondary tower buildings with 51 and 27 floors respectively;
Shenzhen Fortune Tower,Shenzhen,2006,57,241.0,0.8,11.0,—,—,—,—,"Underground 3 floors, office building floor height 3.65M;"
Shenzhen King Tower Building (Sun Hung Kai Plaza),Shenzhen,1996,69,384.0,1.87,27.0,4 billion Hong Kong dollars,"HKD 14,815",—,—,"Steel usage is 24,500 tons; composed of three parts: commercial building, business apartment, and shopping center;"
"Shangri-La Hotel, Futian, Shenzhen",Shenzhen,2008,42,200.0,1.1457,11.1514,14,12554,Approximately 1 billion yuan,8967,"Three floors underground,"
Shenzhen SEG Plaza,Shenzhen,2000,75,355.0,0.9653,17.5,—,—,—,—,"Steel tube concrete structure, 4 underground floors, floors 1-8 are commercial podium, floors above 9 are office building and hotel; 3.6-meter floor height, 2.7-meter clear height; double-glazed insulated glass curtain wall and 25mm thick honeycomb aluminum panel curtain wall;"
Shenzhen World Financial Center,Shenzhen,2009,54,227.0,1.0204,15.0,10,6667,—,—,A 54-story main tower and two 33-story annex buildings;
Shenzhen Information Hub Building,Shenzhen,2007,48,243.0,9.22,18.0,—,—,15,8333,"Main Tower 48 floors, Sub Tower 22 floors, Podium 8 floors, Underground 3 floors;"
Shenzhen China Merchants Bank Tower,Shenzhen,2001,53,237.2,1.0366,11.9,—,—,—,—,"The structural design is a steel-reinforced concrete frame-tube structure, with nearly ten thousand tons of steel structure used;"
Shenzhen AVIC Plaza,Shenzhen,2010,58,280.0,1.71,17.96,23,12806,—,—,"Underground 4 floors, commercial podium 7 floors, the main body is a cast steel frame reinforced concrete shear wall core tube structure;"
Chongqing Langgao Exhibition and Convention International Plaza,Chongqing,2006,54,268.0,2,5.4427,5.6,10289,—,—,
Binhai Zhejiang Mansion,Tianjin,2001,51,260.0,1.99,12.95,5,3861,—,—,Rotational body structure;
Riverside Marriott Hotel,Tianjin,2002,48,203.0,6.5,12.3,6,4878,—,—,268 guest rooms in total;
Tianjin Tower,Tianjin,2010,75,337.0,2,34.64,40,11547,28.64,8267,"Four underground floors, full steel tube-in-tube structure;"
Tianjin Xinda Plaza,Tianjin,2005,51,238.0,2,15.394,10,6496,—,—,"The structural system is a framed tube, and the podium is a frame-shear wall structure;"
Zhonggang International Plaza,Tianjin,2012,88,358.0,2.6666,25.0,18,7200,—,—,
Sky360,Wuxi,2004,50,209.0,0.5677,8.0,5.72,7150,—,—,
Wuxi Hongdou International Plaza,Wuxi,2008,48,248.0,1.2,13.68,8,5847,—,—,
Wuxi Maoye City,Wuxi,Phase I completed in 2008,60 floors,250.0,5,45.0,20,4444,—,—,"Among them, shopping mall 200,000 ㎡, Grade A office building 70,000 ㎡, super five-star hotel 40,000 ㎡, international apartment 140,000 ㎡;"
Wuxi Runhua International Building,Wuxi,2009,58,278.0,1.53,15.0,12,8000,—,—,"Composed of two buildings, one building has 58 floors and the other has 48 floors."
Wuxi World Trade Center,Wuxi,2008,57 floors,250.0,5.56,32.0,15,4688,—,—,"Including a five-star business hotel, apartment building, office building, one conference center, and one World Trade Center."
Nanning Diwang International Convention and Trade Center,Nanning,2006,59,218.0,1.01,13.21,5,3785,—,—,
Shenyang International Financial Center,Shenyang,2010,89,427.0,4,53.0,1 billion U.S. dollars,1887 US dollars,—,—,
Northeast World Trade Plaza,Shenyang,2010,66,260.0,3,34.0,30,8824,—,—,The 62-story main building houses a Grade A 5A intelligent office building and a super five-star hotel;
Wuhan World Trade Tower,Wuhan,1998,58,248.0,0.52,11.0,—,—,4.5,4090,"Underground two floors, the main building is a tube-in-tube structure, and the annex building is a frame structure;"
Humen Yellow River Central Building,Dongguan,2009,62,247.0,—,9.0,6,6667,—,—,
Wenzhou World Trade Tower,Wenzhou,2008,68,300.0,3.1,25.0,20,8000,—,—,"68 floors above ground, 4 floors underground;"
