3-1分行业城镇单位就业人员和工资总额(2016年)-URBANUNITSEMPLOYMENTANDTOTALWAGESBYSECTOR(2016)-项目-项目-项目-项目-项目-项目,3-1分行业城镇单位就业人员和工资总额(2016年)-URBANUNITSEMPLOYMENTANDTOTALWAGESBYSECTOR(2016)-Item-Item-Item-Item-Item-Item,3-1分行业城镇单位就业人员和工资总额(2016年)-URBANUNITSEMPLOYMENTANDTOTALWAGESBYSECTOR(2016)-年末人数-(千人)-Year-end-Figures-(1000-persons),3-1分行业城镇单位就业人员和工资总额(2016年)-URBANUNITSEMPLOYMENTANDTOTALWAGESBYSECTOR(2016)-#女性-Female,3-1分行业城镇单位就业人员和工资总额(2016年)-URBANUNITSEMPLOYMENTANDTOTALWAGESBYSECTOR(2016)-工资总额-(亿元)-Total-Wages-(100million-yuan),3-1分行业城镇单位就业人员和工资总额(2016年)-URBANUNITSEMPLOYMENTANDTOTALWAGESBYSECTOR(2016)-平均工资-(元)-Average-Wage-(yuan)
医药制造业,Manufacture of Medicines,1623.0,761.0,1021.0,63351.0
化学纤维制造业,Manufacture of Chemical Fibres,254.0,96.0,143.0,56433.0
橡胶和塑料制品业,Manufacture of Rubber and Plastics Products,1806.0,746.0,963.0,53442.0
非金属矿物制品业,Manufacture of Non-metallic Mineral Products,2392.0,697.0,1175.0,49047.0
黑色金属冶炼和压延加工业,Smelting and Pressing of Ferrous Metals,1994.0,377.0,1195.0,58357.0
有色金属冶炼和压延加工业,Smelting and Pressing of Non-ferrous Metals,1217.0,269.0,682.0,55685.0
金属制品业,Manufacture of Metal Products,1731.0,543.0,950.0,54882.0
通用设备制造业,Manufacture of General Purpose Machinery,2574.0,724.0,1632.0,63342.0
专用设备制造业,Manufacture of Special Purpose Machinery,1993.0,555.0,1280.0,64133.0
汽车制造业,Manufacture of Automobiles,3411.0,900.0,2540.0,75807.0
铁路、船舶、航空航天和其他,"Manufacture of Railway, Ship, Aerospace and Other Transport",1127.0,297.0,814.0,71549.0
运输设备制造业,Equipments,,,,
电气机械和器材制造业,Manufacture of Electrical Machinery and Apparatus,3803.0,1568.0,2350.0,61729.0
计算机、通信和其他电子,"Manufacture of Computers, Communication and",7064.0,3238.0,4748.0,67763.0
设备制造业,Other Electronic Equipment,,,,
仪器仪表制造业,Manufacture of Measuring Instruments and Machinery,711.0,305.0,483.0,67818.0
其他制造业,Other Manufacture,216.0,107.0,119.0,55220.0
废弃资源综合利用业,Utilization of Waste Resources,78.0,22.0,40.0,51060.0
金属制品、机械和设备修理业,"Repair Service of Metal Products, Machinery and Equipment",129.0,24.0,116.0,91073.0
电力、热力、燃气及水,"Production and Supply of Electricity, Heat,",3876.0,1059.0,3236.0,83863.0
生产和供应业,Gas and Water,,,,
电力、热力生产和供应业,Production and Supply of Electric Power and Heat Power,3022.0,758.0,2696.0,89576.0
燃气生产和供应业,Production and Supply of Gas,273.0,88.0,195.0,72095.0
水的生产和供应业,Production and Supply of Water,581.0,213.0,344.0,59595.0
建筑业,Construction,27247.0,2980.0,13969.0,52082.0
房屋建筑业,Construction of Buildings,18987.0,1898.0,9433.0,50419.0
土木工程建筑业,Civil Engineering,5255.0,700.0,2952.0,56884.0
建筑安装业,Building Installation,1467.0,200.0,830.0,58113.0
建筑装饰和其他建筑业,Building Decoration and Other Constructions,1538.0,182.0,754.0,50464.0
批发和零售业,Wholesale and Retail Trades,8750.0,4414.0,5681.0,65061.0
批发业,Wholesale Trade,3846.0,1617.0,3358.0,86884.0
零售业,Retail Trade,4904.0,2797.0,2323.0,47735.0
交通运输、仓储和邮政业,"Transport, Storage and Post",8495.0,2218.0,6239.0,73650.0
铁路运输业,Railway Transport,1874.0,305.0,1678.0,89532.0
道路运输业,Road Transport,3856.0,986.0,2126.0,55298.0
水上运输业,Water Transport,460.0,81.0,426.0,90229.0
航空运输业,Air Transport,595.0,226.0,789.0,137108.0
管道运输业,Transport Via Pipelines,36.0,9.0,37.0,100996.0
装卸搬运和运输代理业,"Loading, Unloading and Forwarding Agency",432.0,141.0,328.0,76327.0
仓储业,Storage,310.0,87.0,189.0,60364.0
邮政业,Post,931.0,383.0,665.0,71943.0
住宿和餐饮业,Hotels and Catering Services,2697.0,1483.0,1168.0,43382.0
住宿业,Hotels,1402.0,764.0,648.0,46002.0
餐饮业,Catering Services,1295.0,719.0,520.0,40509.0
信息传输、软件和信息技术,"Information Transmission, Software and",3641.0,1422.0,4432.0,122478.0
服务业,Information Technology,,,,
电信、广播电视和卫星传输服务,"Telecommunication, Radio and Television and",1718.0,721.0,1581.0,91724.0
,Satellite Transmission Service,,,,
互联网和相关服务,Internet and Related Service,304.0,119.0,487.0,157982.0
软件和信息技术服务业,Software and Information Technology,1619.0,582.0,2364.0,149001.0
金融业,Financial Intermediation,6652.0,3474.0,7557.0,117418.0
货币金融服务,Monetary and Financial Service,3605.0,1791.0,5051.0,140901.0
资本市场服务,Capital Market Service,244.0,104.0,637.0,264524.0
保险业,Insurance,2672.0,1525.0,1645.0,65957.0
其他金融业,Other Financial Activities,130.0,54.0,224.0,192432.0
房地产业,Real Estate,4317.0,1611.0,2802.0,65497.0
#房地产开发经营,Development and Management of Real Estate,1815.0,642.0,1513.0,83755.0
物业管理,Property Management,2048.0,793.0,925.0,45829.0
房地产中介服务,Agency Services of Real Estate,246.0,97.0,209.0,85552.0
租赁和商务服务业,Leasing and Business Services,4884.0,1599.0,3704.0,76782.0
租赁业,Leasing,122.0,28.0,95.0,78755.0
商务服务业,Business Services,4762.0,1571.0,3610.0,76732.0
科学研究和技术服务业,Scientific Research and Technical Services,4196.0,1320.0,4037.0,96638.0
研究和试验发展,Research and Experimental Development,837.0,298.0,942.0,112602.0
专业技术服务业,Professional Technical Services,2677.0,775.0,2528.0,94702.0
科技推广和应用服务业,Science and Technology Popularization and,682.0,247.0,567.0,84436.0
,Application Services,,,,
水利、环境和公共设施管理业,"Management of Water Conservancy,",2696.0,1103.0,1278.0,47750.0
,Environment and Public Facilities,,,,
水利管理业,Management of Water Conservancy,467.0,132.0,283.0,60880.0
生态保护和环境治理业,Ecological Protection and Environmental Treatment,133.0,42.0,85.0,64299.0
公共设施管理业,Management of Public Facilities,2097.0,928.0,910.0,43763.0
居民服务、修理和其他服务业,"Service to Households, Repair and Other Services",754.0,329.0,358.0,47577.0
居民服务业,Service to Households,309.0,147.0,154.0,49888.0
机动车、电子产品和日用产品,"Repair of Motor Vehicle, Electronics and Household",122.0,32.0,68.0,56052.0
修理业,Products,,,,
其他服务业,Other Services,323.0,150.0,136.0,42145.0
教育,Education,17292.0,9520.0,12787.0,74498.0
#初等教育,Primary Education,5927.0,3535.0,4062.0,69031.0
中等教育,Secondary Education,7446.0,3815.0,5457.0,73763.0
高等教育,Senior Education,2220.0,1045.0,2186.0,98950.0
卫生和社会工作,Health and Social Service,8670.0,5569.0,6826.0,80026.0
卫生,Health,8468.0,5454.0,6710.0,80569.0
社会工作,Social Service,202.0,116.0,116.0,57524.0
文化、体育和娱乐业,"Culture, Sports and Entertainment",1508.0,681.0,1204.0,79875.0
新闻和出版业,Journalism and Publishing Activities,325.0,148.0,318.0,96996.0
广播、电视、电影和影视录音,"Radio, Television, Motion Picture and Videotape Programme",466.0,194.0,393.0,84605.0
制作业,Production Services,,,,
文化艺术业,Cultural and Art Activities,468.0,228.0,311.0,66761.0
体育,Sports Activities,131.0,56.0,117.0,87461.0
娱乐业,Entertainment,117.0,54.0,66.0,56543.0
公共管理、社会保障和社会组织,"Public Management, Social Security and Social Organization",16726.0,5277.0,11787.0,70959.0
#中国共产党机关,Organs of Communist Party of China,593.0,165.0,458.0,77711.0
国家机构,Government Agencies,15383.0,4800.0,10828.0,70879.0
人民政协、民主党派,People's Political Consultative Conference and Democratic Parties,106.0,29.0,89.0,84736.0
社会保障,Social Security,185.0,88.0,114.0,61614.0
群众团体、社会团体和其他,"Non-Governmental Organizations, Social Organizations and",394.0,167.0,273.0,69856.0
成员组织,Membership Organizations,,,,
