"7-1PopulationofPeoplewithHouseholdRegistrationinOtherTownshipsandStreetsClassifiedbyCurrentPlaceofResidence,PlaceofHouseholdRegistration,andGenderNationwide-CurrentPlaceofResidence-CurrentPlaceofResidence-CurrentPlaceofResidence-CurrentPlaceofResidence",householdregistrationlocation-Total-Total-Total,householdregistrationlocation-Total-Total-Male,householdregistrationlocation-Total-Total-Female,householdregistrationlocation-Province-Province-Subtotal,householdregistrationlocation-Province-Province-Male,householdregistrationlocation-Province-Province-Female,householdregistrationlocation-Householdregistrationseparationwithinthemunicipaldistrict-Subtotal,householdregistrationlocation-Householdregistrationseparationwithinthemunicipaldistrict-Male,householdregistrationlocation-Householdregistrationseparationwithinthemunicipaldistrict-Female,householdregistrationlocation-In-provincemigrantpopulation-Subtotal,householdregistrationlocation-In-provincemigrantpopulation-Male,householdregistrationlocation-In-provincemigrantpopulation-Female,householdregistrationlocation-Out-of-province-Out-of-province-Subtotal,householdregistrationlocation-Out-of-province-Out-of-province-Male,Unit:Person-householdregistrationlocation-Out-of-province-Out-of-province-Female
Hunan,17575847.0,8865460.0,8710387.0,15998284.0,8020026.0,7978258.0,3403819.0,1674350.0,1729469.0,12594465.0,6345676.0,6248789.0,1577563.0,845434.0,732129.0
Guangdong,60635086.0,33711847.0,26923239.0,31012976.0,16200166.0,14812810.0,8568936.0,4203808.0,4365128.0,22444040.0,11996358.0,10447682.0,29622110.0,17511681.0,12110429.0
Guangxi,13238781.0,6678931.0,6559850.0,11879397.0,5897312.0,5982085.0,3716255.0,1835365.0,1880890.0,8163142.0,4061947.0,4101195.0,1359384.0,781619.0,577765.0
Hainan,3498161.0,1849608.0,1648553.0,2410018.0,1205256.0,1204762.0,835883.0,418604.0,417279.0,1574135.0,786652.0,787483.0,1088143.0,644352.0,443791.0
,,,,,,,,,,,,,,,
Chongqing,13096435.0,6549022.0,6547413.0,10902860.0,5378142.0,5524718.0,8285047.0,4079111.0,4205936.0,2617813.0,1299031.0,1318782.0,2193575.0,1170880.0,1022695.0
Sichuan,27823204.0,13828619.0,13994585.0,25233163.0,12415382.0,12817781.0,7134650.0,3463931.0,3670719.0,18098513.0,8951451.0,9147062.0,2590041.0,1413237.0,1176804.0
Guizhou,11694763.0,5828497.0,5866266.0,10548217.0,5172043.0,5376174.0,2104710.0,1012462.0,1092248.0,8443507.0,4159581.0,4283926.0,1146546.0,656454.0,490092.0
Yunnan,12209314.0,6342780.0,5866534.0,9978920.0,4986941.0,4991979.0,1610264.0,785468.0,824796.0,8368656.0,4201473.0,4167183.0,2230394.0,1355839.0,874555.0
Tibet,1031132.0,591209.0,439923.0,624011.0,309668.0,314343.0,138902.0,69497.0,69405.0,485109.0,240171.0,244938.0,407121.0,281541.0,125580.0
,,,,,,,,,,,,,,,
Shaanxi,13267095.0,6913899.0,6353196.0,11333383.0,5782547.0,5550836.0,3993217.0,1975737.0,2017480.0,7340166.0,3806810.0,3533356.0,1933712.0,1131352.0,802360.0
Gansu,7352465.0,3779111.0,3573354.0,6586817.0,3318735.0,3268082.0,2010870.0,987531.0,1023339.0,4575947.0,2331204.0,2244743.0,765648.0,460376.0,305272.0
Qinghai,2070660.0,1092431.0,978229.0,1653356.0,830175.0,823181.0,464625.0,224456.0,240169.0,1188731.0,605719.0,583012.0,417304.0,262256.0,155048.0
Ningxia,3362670.0,1739397.0,1623273.0,2687551.0,1344638.0,1342913.0,855675.0,417793.0,437882.0,1831876.0,926845.0,905031.0,675119.0,394759.0,280360.0
Xinjiang,8867046.0,4746994.0,4120052.0,5476334.0,2706350.0,2769984.0,815642.0,394430.0,421212.0,4660692.0,2311920.0,2348772.0,3390712.0,2040644.0,1350068.0
