8-7全国分年龄、性别、主要生活来源的人口-年龄-年龄,8-7全国分年龄、性别、主要生活来源的人口-单位：人-15岁及以上人口-合计,8-7全国分年龄、性别、主要生活来源的人口-单位：人-15岁及以上人口-男,8-7全国分年龄、性别、主要生活来源的人口-单位：人-15岁及以上人口-女,8-7全国分年龄、性别、主要生活来源的人口-单位：人-劳动收入-小计,8-7全国分年龄、性别、主要生活来源的人口-单位：人-劳动收入-男,8-7全国分年龄、性别、主要生活来源的人口-单位：人-劳动收入-女,8-7全国分年龄、性别、主要生活来源的人口-单位：人-离退休金/养老金-小计,8-7全国分年龄、性别、主要生活来源的人口-单位：人-离退休金/养老金-男,8-7全国分年龄、性别、主要生活来源的人口-单位：人-离退休金/养老金-女,8-7全国分年龄、性别、主要生活来源的人口-单位：人-最低生活保障金-小计,8-7全国分年龄、性别、主要生活来源的人口-单位：人-最低生活保障金-男,8-7全国分年龄、性别、主要生活来源的人口-单位：人-最低生活保障金-女,8-7全国分年龄、性别、主要生活来源的人口-单位：人-失业保险金-小计,8-7全国分年龄、性别、主要生活来源的人口-单位：人-失业保险金-男,8-7全国分年龄、性别、主要生活来源的人口-单位：人-失业保险金-女,8-7全国分年龄、性别、主要生活来源的人口-单位：人-财产性收入-小计,8-7全国分年龄、性别、主要生活来源的人口-单位：人-财产性收入-男,8-7全国分年龄、性别、主要生活来源的人口-单位：人-财产性收入-女,8-7全国分年龄、性别、主要生活来源的人口-单位：人-家庭其他成员供养-小计,8-7全国分年龄、性别、主要生活来源的人口-单位：人-家庭其他成员供养-男,8-7全国分年龄、性别、主要生活来源的人口-单位：人-家庭其他成员供养-女,8-7全国分年龄、性别、主要生活来源的人口-单位：人-其他-小计,8-7全国分年龄、性别、主要生活来源的人口-单位：人-其他-男,8-7全国分年龄、性别、主要生活来源的人口-单位：人-其他-女
49,2429187.0,1241906.0,1187281.0,1897844.0,1106873.0,790971.0,32119.0,1311.0,30808.0,26643.0,16167.0,10476.0,2629.0,1106.0,1523.0,24674.0,12665.0,12009.0,317650.0,44248.0,273402.0,127628.0,59536.0,68092.0
,,,,,,,,,,,,,,,,,,,,,,,,
50-54岁,11926180.0,6019802.0,5906378.0,8256812.0,5139904.0,3116908.0,919490.0,96859.0,822631.0,141551.0,87755.0,53796.0,6231.0,5390.0,841.0,121413.0,66490.0,54923.0,1842592.0,318487.0,1524105.0,638091.0,304917.0,333174.0
50,2564829.0,1298030.0,1266799.0,1887971.0,1142744.0,745227.0,145715.0,9207.0,136508.0,27856.0,17203.0,10653.0,1673.0,1101.0,572.0,25400.0,13624.0,11776.0,342971.0,51109.0,291862.0,133243.0,63042.0,70201.0
51,2404959.0,1216599.0,1188360.0,1701632.0,1052369.0,649263.0,179002.0,15077.0,163925.0,27546.0,17262.0,10284.0,1178.0,1101.0,77.0,24095.0,13209.0,10886.0,345152.0,56916.0,288236.0,126354.0,60665.0,65689.0
52,2575521.0,1298846.0,1276675.0,1776587.0,1108834.0,667753.0,205367.0,20652.0,184715.0,30209.0,18854.0,11355.0,1275.0,1208.0,67.0,26234.0,14405.0,11829.0,397597.0,68638.0,328959.0,138252.0,66255.0,71997.0
53,2059446.0,1034436.0,1025010.0,1383137.0,869962.0,513175.0,168945.0,20162.0,148783.0,25707.0,15784.0,9923.0,979.0,926.0,53.0,21296.0,11744.0,9552.0,346576.0,62142.0,284434.0,112806.0,53716.0,59090.0
54,2321425.0,1171891.0,1149534.0,1507485.0,965995.0,541490.0,220461.0,31761.0,188700.0,30233.0,18652.0,11581.0,1126.0,1054.0,72.0,24388.0,13508.0,10880.0,410296.0,79682.0,330614.0,127436.0,61239.0,66197.0
,,,,,,,,,,,,,,,,,,,,,,,,
55-59岁,9980162.0,4986030.0,4994132.0,5568497.0,3714747.0,1853750.0,1680640.0,383063.0,1297577.0,146983.0,88028.0,58955.0,3355.0,3190.0,165.0,107247.0,61606.0,45641.0,1920407.0,459600.0,1460807.0,553033.0,275796.0,277237.0
55,2276177.0,1144496.0,1131681.0,1379621.0,906162.0,473459.0,306223.0,55978.0,250245.0,30776.0,18914.0,11862.0,1163.0,1132.0,31.0,23900.0,13684.0,10216.0,410142.0,87781.0,322361.0,124352.0,60845.0,63507.0
56,2223387.0,1111081.0,1112306.0,1277065.0,849069.0,427996.0,354110.0,73740.0,280370.0,31530.0,19061.0,12469.0,482.0,446.0,36.0,23432.0,13373.0,10059.0,414247.0,94381.0,319866.0,122521.0,61011.0,61510.0
57,2567550.0,1290317.0,1277233.0,1410836.0,954315.0,456521.0,455917.0,102707.0,353210.0,37373.0,22912.0,14461.0,696.0,643.0,53.0,27283.0,15877.0,11406.0,493993.0,122108.0,371885.0,141452.0,71755.0,69697.0
58,1879095.0,935259.0,943836.0,999737.0,672021.0,327716.0,333770.0,81886.0,251884.0,29424.0,17027.0,12397.0,592.0,563.0,29.0,20909.0,12170.0,8739.0,388032.0,98368.0,289664.0,106631.0,53224.0,53407.0
59,1033953.0,504877.0,529076.0,501238.0,333180.0,168058.0,230620.0,68752.0,161868.0,17880.0,10114.0,7766.0,422.0,406.0,16.0,11723.0,6502.0,5221.0,213993.0,56962.0,157031.0,58077.0,28961.0,29116.0
,,,,,,,,,,,,,,,,,,,,,,,,
60-64岁,7212331.0,3611534.0,3600797.0,2481664.0,1579435.0,902229.0,2469105.0,1226566.0,1242539.0,188251.0,108954.0,79297.0,324.0,159.0,165.0,69933.0,36746.0,33187.0,1625479.0,477157.0,1148322.0,377575.0,182517.0,195058.0
60,1265735.0,630443.0,635292.0,484632.0,307806.0,176826.0,429212.0,206017.0,223195.0,25790.0,14551.0,11239.0,55.0,29.0,26.0,12854.0,6778.0,6076.0,248904.0,64808.0,184096.0,64288.0,30454.0,33834.0
61,1191490.0,601597.0,589893.0,423165.0,271939.0,151226.0,415555.0,206488.0,209067.0,28067.0,16102.0,11965.0,55.0,24.0,31.0,11654.0,6086.0,5568.0,251785.0,71213.0,180572.0,61209.0,29745.0,31464.0
62,1519108.0,765643.0,753465.0,519067.0,331517.0,187550.0,527990.0,264568.0,263422.0,39639.0,23435.0,16204.0,65.0,27.0,38.0,14019.0,7389.0,6630.0,339680.0,100459.0,239221.0,78648.0,38248.0,40400.0
63,1696369.0,853241.0,843128.0,567013.0,362706.0,204307.0,573142.0,287165.0,285977.0,48021.0,28226.0,19795.0,75.0,43.0,32.0,16222.0,8603.0,7619.0,402300.0,122697.0,279603.0,89596.0,43801.0,45795.0
64,1539629.0,760610.0,779019.0,487787.0,305467.0,182320.0,523206.0,262328.0,260878.0,46734.0,26640.0,20094.0,74.0,36.0,38.0,15184.0,7890.0,7294.0,382810.0,117980.0,264830.0,83834.0,40269.0,43565.0
,,,,,,,,,,,,,,,,,,,,,,,,
65-69岁,7261013.0,3557071.0,3703942.0,1949125.0,1217850.0,731275.0,2454456.0,1247666.0,1206790.0,278247.0,155246.0,123001.0,442.0,205.0,237.0,74532.0,38914.0,35618.0,2092187.0,698216.0,1393971.0,412024.0,198974.0,213050.0
65,1601607.0,794038.0,807569.0,482631.0,302943.0,179688.0,541443.0,274340.0,267103.0,53424.0,30345.0,23079.0,96.0,51.0,45.0,16337.0,8475.0,7862.0,419473.0,134936.0,284537.0,88203.0,42948.0,45255.0
66,1597292.0,784337.0,812955.0,449471.0,281151.0,168320.0,549944.0,278079.0,271865.0,56901.0,32047.0,24854.0,92.0,44.0,48.0,16190.0,8412.0,7778.0,435970.0,141942.0,294028.0,88724.0,42662.0,46062.0
67,1436603.0,701663.0,734940.0,384691.0,239456.0,145235.0,480539.0,243519.0,237020.0,56353.0,31550.0,24803.0,82.0,39.0,43.0,14928.0,7806.0,7122.0,417687.0,139538.0,278149.0,82323.0,39755.0,42568.0
68,1425277.0,695588.0,729689.0,358757.0,223966.0,134791.0,474434.0,242441.0,231993.0,59293.0,32709.0,26584.0,101.0,37.0,64.0,14751.0,7688.0,7063.0,435430.0,148772.0,286658.0,82511.0,39975.0,42536.0
69,1200234.0,581445.0,618789.0,273575.0,170334.0,103241.0,408096.0,209287.0,198809.0,52276.0,28595.0,23681.0,71.0,34.0,37.0,12326.0,6533.0,5793.0,383627.0,133028.0,250599.0,70263.0,33634.0,36629.0
70-74岁,4813647.0,2341892.0,2471755.0,803789.0,511131.0,292658.0,1670789.0,879821.0,790968.0,249995.0,136416.0,113579.0,326.0,162.0,164.0,45218.0,24362.0,20856.0,1761014.0,652705.0,1108309.0,282516.0,137295.0,145221.0
70,1132641.0,552550.0,580091.0,227195.0,142394.0,84801.0,394458.0,206607.0,187851.0,53185.0,28895.0,24290.0,76.0,40.0,36.0,11488.0,6099.0,5389.0,380271.0,136544.0,243727.0,65968.0,31971.0,33997.0
71,1091505.0,537267.0,554238.0,195257.0,124934.0,70323.0,375735.0,197991.0,177744.0,54931.0,30358.0,24573.0,76.0,49.0,27.0,10594.0,5730.0,4864.0,390635.0,146444.0,244191.0,64277.0,31761.0,32516.0
72,927034.0,450625.0,476409.0,150732.0,95970.0,54762.0,319182.0,167387.0,151795.0,48881.0,26719.0,22162.0,65.0,25.0,40.0,8620.0,4580.0,4040.0,344808.0,129206.0,215602.0,54746.0,26738.0,28008.0
73,874817.0,425034.0,449783.0,127663.0,82127.0,45536.0,305265.0,161799.0,143466.0,48299.0,26346.0,21953.0,63.0,28.0,35.0,7852.0,4295.0,3557.0,334344.0,125519.0,208825.0,51331.0,24920.0,26411.0
74,787650.0,376416.0,411234.0,102942.0,65706.0,37236.0,276149.0,146037.0,130112.0,44699.0,24098.0,20601.0,46.0,20.0,26.0,6664.0,3658.0,3006.0,310956.0,114992.0,195964.0,46194.0,21905.0,24289.0
,,,,,,,,,,,,,,,,,,,,,,,,
75-79岁,2980508.0,1409194.0,1571314.0,275360.0,177297.0,98063.0,1057567.0,553163.0,504404.0,179745.0,96356.0,83389.0,174.0,90.0,84.0,21642.0,12063.0,9579.0,1275942.0,488375.0,787567.0,170078.0,81850.0,88228.0
75,690748.0,328485.0,362263.0,81112.0,52193.0,28919.0,238405.0,125596.0,112809.0,40679.0,21701.0,18978.0,47.0,25.0,22.0,5536.0,3077.0,2459.0,284254.0,106217.0,178037.0,40715.0,19676.0,21039.0
76,652501.0,312625.0,339876.0,67414.0,43762.0,23652.0,227500.0,119719.0,107781.0,39279.0,21500.0,17779.0,37.0,20.0,17.0,4973.0,2782.0,2191.0,275508.0,106375.0,169133.0,37790.0,18467.0,19323.0
77,574487.0,271017.0,303470.0,51445.0,33086.0,18359.0,202949.0,105721.0,97228.0,34945.0,18676.0,16269.0,33.0,19.0,14.0,4177.0,2309.0,1868.0,248375.0,95563.0,152812.0,32563.0,15643.0,16920.0
78,537691.0,252314.0,285377.0,41318.0,26562.0,14756.0,196580.0,102089.0,94491.0,32489.0,17277.0,15212.0,28.0,13.0,15.0,3561.0,1991.0,1570.0,233524.0,89996.0,143528.0,30191.0,14386.0,15805.0
79,525081.0,244753.0,280328.0,34071.0,21694.0,12377.0,192133.0,100038.0,92095.0,32353.0,17202.0,15151.0,29.0,13.0,16.0,3395.0,1904.0,1491.0,234281.0,90224.0,144057.0,28819.0,13678.0,15141.0
,,,,,,,,,,,,,,,,,,,,,,,,
80-84岁,1897750.0,856619.0,1041131.0,72605.0,45071.0,27534.0,716565.0,369848.0,346717.0,116390.0,58840.0,57550.0,96.0,49.0,47.0,9613.0,5128.0,4485.0,884166.0,333205.0,550961.0,98315.0,44478.0,53837.0
80,462344.0,214196.0,248148.0,24125.0,15190.0,8935.0,175206.0,91862.0,83344.0,28597.0,14891.0,13706.0,23.0,13.0,10.0,2694.0,1478.0,1216.0,206863.0,79208.0,127655.0,24836.0,11554.0,13282.0
81,387427.0,175529.0,211898.0,15544.0,9742.0,5802.0,148177.0,75541.0,72636.0,23956.0,12372.0,11584.0,19.0,11.0,8.0,2038.0,1107.0,931.0,177487.0,67524.0,109963.0,20206.0,9232.0,10974.0
82,395095.0,179490.0,215605.0,13943.0,8741.0,5202.0,149124.0,76774.0,72350.0,24328.0,12425.0,11903.0,17.0,7.0,10.0,1993.0,1065.0,928.0,185465.0,71224.0,114241.0,20225.0,9254.0,10971.0
83,343475.0,153187.0,190288.0,10572.0,6411.0,4161.0,128270.0,66738.0,61532.0,20932.0,10267.0,10665.0,22.0,13.0,9.0,1579.0,805.0,774.0,164686.0,61240.0,103446.0,17414.0,7713.0,9701.0
84,309409.0,134217.0,175192.0,8421.0,4987.0,3434.0,115788.0,58933.0,56855.0,18577.0,8885.0,9692.0,15.0,5.0,10.0,1309.0,673.0,636.0,149665.0,54009.0,95656.0,15634.0,6725.0,8909.0
,,,,,,,,,,,,,,,,,,,,,,,,
85-89岁,973818.0,398907.0,574911.0,20346.0,11202.0,9144.0,352954.0,178881.0,174073.0,58782.0,25626.0,33156.0,41.0,17.0,24.0,3621.0,1778.0,1843.0,489292.0,161962.0,327330.0,48782.0,19441.0,29341.0
85,264740.0,111113.0,153627.0,6600.0,3828.0,2772.0,97824.0,48831.0,48993.0,16024.0,7502.0,8522.0,10.0,3.0,7.0,1092.0,549.0,543.0,129713.0,44795.0,84918.0,13477.0,5605.0,7872.0
86,227319.0,93574.0,133745.0,5029.0,2794.0,2235.0,82863.0,41481.0,41382.0,13751.0,6055.0,7696.0,9.0,5.0,4.0,939.0,488.0,451.0,113390.0,38218.0,75172.0,11338.0,4533.0,6805.0
87,204932.0,84218.0,120714.0,4018.0,2175.0,1843.0,74123.0,37938.0,36185.0,12411.0,5295.0,7116.0,8.0,3.0,5.0,713.0,355.0,358.0,103512.0,34371.0,69141.0,10147.0,4081.0,6066.0
88,154282.0,61448.0,92834.0,2719.0,1404.0,1315.0,55016.0,27960.0,27056.0,9226.0,3857.0,5369.0,8.0,3.0,5.0,491.0,217.0,274.0,79141.0,25109.0,54032.0,7681.0,2898.0,4783.0
89,122545.0,48554.0,73991.0,1980.0,1001.0,979.0,43128.0,22671.0,20457.0,7370.0,2917.0,4453.0,6.0,3.0,3.0,386.0,169.0,217.0,63536.0,19469.0,44067.0,6139.0,2324.0,3815.0
,,,,,,,,,,,,,,,,,,,,,,,,
90-94岁,312846.0,115437.0,197409.0,3738.0,1737.0,2001.0,106755.0,53956.0,52799.0,19087.0,6773.0,12314.0,13.0,2.0,11.0,950.0,414.0,536.0,166654.0,47061.0,119593.0,15649.0,5494.0,10155.0
90,106074.0,41051.0,65023.0,1482.0,707.0,775.0,37266.0,19484.0,17782.0,6405.0,2458.0,3947.0,4.0,1.0,3.0,329.0,154.0,175.0,55271.0,16321.0,38950.0,5317.0,1926.0,3391.0
91,72886.0,27037.0,45849.0,839.0,390.0,449.0,25364.0,12666.0,12698.0,4445.0,1606.0,2839.0,5.0,1.0,4.0,213.0,97.0,116.0,38446.0,11026.0,27420.0,3574.0,1251.0,2323.0
92,60934.0,21980.0,38954.0,653.0,289.0,364.0,20336.0,10122.0,10214.0,3689.0,1285.0,2404.0,3.0,0.0,3.0,196.0,78.0,118.0,33031.0,9132.0,23899.0,3026.0,1074.0,1952.0
93,42736.0,15095.0,27641.0,436.0,202.0,234.0,13921.0,6880.0,7041.0,2628.0,842.0,1786.0,0.0,0.0,0.0,138.0,55.0,83.0,23421.0,6379.0,17042.0,2192.0,737.0,1455.0
94,30216.0,10274.0,19942.0,328.0,149.0,179.0,9868.0,4804.0,5064.0,1920.0,582.0,1338.0,1.0,0.0,1.0,74.0,30.0,44.0,16485.0,4203.0,12282.0,1540.0,506.0,1034.0
,,,,,,,,,,,,,,,,,,,,,,,,
95-99岁,63626.0,19576.0,44050.0,657.0,263.0,394.0,18891.0,8638.0,10253.0,4287.0,1210.0,3077.0,4.0,2.0,2.0,169.0,57.0,112.0,36063.0,8364.0,27699.0,3555.0,1042.0,2513.0
95,23449.0,7523.0,15926.0,249.0,95.0,154.0,7268.0,3374.0,3894.0,1549.0,483.0,1066.0,1.0,0.0,1.0,67.0,25.0,42.0,13086.0,3173.0,9913.0,1229.0,373.0,856.0
96,16489.0,5063.0,11426.0,156.0,72.0,84.0,4949.0,2242.0,2707.0,1079.0,277.0,802.0,2.0,2.0,0.0,42.0,12.0,30.0,9312.0,2182.0,7130.0,949.0,276.0,673.0
97,10967.0,3306.0,7661.0,98.0,33.0,65.0,3205.0,1466.0,1739.0,788.0,225.0,563.0,0.0,0.0,0.0,26.0,8.0,18.0,6250.0,1390.0,4860.0,600.0,184.0,416.0
98,7293.0,2148.0,5145.0,80.0,37.0,43.0,2010.0,906.0,1104.0,512.0,135.0,377.0,0.0,0.0,0.0,23.0,8.0,15.0,4228.0,949.0,3279.0,440.0,113.0,327.0
99,5428.0,1536.0,3892.0,74.0,26.0,48.0,1459.0,650.0,809.0,359.0,90.0,269.0,1.0,0.0,1.0,11.0,4.0,7.0,3187.0,670.0,2517.0,337.0,96.0,241.0
,,,,,,,,,,,,,,,,,,,,,,,,
100岁及以上,7562.0,1778.0,5784.0,71.0,20.0,51.0,1801.0,705.0,1096.0,691.0,136.0,555.0,0.0,0.0,0.0,20.0,6.0,14.0,4515.0,799.0,3716.0,464.0,112.0,352.0
