日期-日期,自产煤炭产量（万吨）-当日完成,自产煤炭产量（万吨）-去年当日完成,自产煤炭产量（万吨）-截至当日年累计,自产煤炭产量（万吨）-去年同期年累计数,不含进口的外购煤量（万吨）-当日完成,不含进口的外购煤量（万吨）-去年当日完成,不含进口的外购煤量（万吨）-截至当日年累计,不含进口的外购煤量（万吨）-去年同期年累计数,煤炭销量（万吨）-当日完成,煤炭销量（万吨）-去年当日完成,煤炭销量（万吨）-截至当日年累计,煤炭销量（万吨）-去年同期年累计数
44631,61,66,4682,4527,37,22,2473,1937,113,73,6771,5508
44632,65,63,4747,4590,12,9,2485,1946,48,60,6818,5568
44633,65,62,4812,4652,27,26,2513,1972,123,80,6942,5649
44634,65,67,4877,4719,20,46,2533,2018,104,95,7045,5744
44635,62,65,4938,4784,19,57,2552,2075,95,112,7141,5856
44636,65,61,5003,4845,30,16,2582,2091,160,55,7301,5910
44637,66,59,5069,4904,19,45,2601,2135,108,82,7408,5992
44638,67,63,5136,4967,29,15,2630,2151,61,45,7469,6037
44639,67,61,5203,5028,20,32,2650,2183,94,72,7563,6108
44640,65,60,5268,5087,38,42,2688,2224,91,75,7654,6184
44641,67,60,5334,5147,30,50,2718,2274,88,140,7741,6324
44642,64,59,5399,5206,20,12,2738,2286,95,47,7836,6371
44643,72,55,5471,5261,41,19,2778,2305,115,80,7951,6451
44644,71,56,5542,5317,51,33,2829,2339,140,76,8090,6528
44645,71,60,5614,5378,34,17,2862,2355,128,50,8218,6578
44646,68,64,5682,5442,40,28,2902,2383,105,88,8323,6665
44647,73,68,5755,5509,69,70,2972,2453,159,118,8481,6783
44648,68,62,5823,5571,105,58,3077,2511,187,97,8669,6881
44649,62,61,5884,5633,115,65,3192,2576,206,125,8874,7006
44650,67,53,5952,5685,61,35,3252,2611,125,81,8999,7087
44651,57,55,6009,5740,16,60,3268,2671,73,83,9072,7420
44652,52,52,6061,5792,27,18,3295,2689,65,52,9137,7472
44653,64,59,6125,5852,33,54,3328,2743,54,104,9190,7575
44654,61,65,6186,5917,23,10,3351,2753,88,44,9278,7620
44655,55,66,6240,5982,11,22,3362,2775,69,69,9347,7689
44656,57,64,6298,6046,15,32,3377,2807,109,78,9456,7767
44657,63,63,6361,6109,38,44,3415,2851,123,75,9579,7842
44658,62,59,6423,6168,26,28,3442,2879,96,71,9675,7913
44659,60,58,6483,6226,45,11,3486,2889,116,46,9791,7959
44660,61,60,6544,6286,19,9,3505,2898,42,49,9833,8008
44661,61,62,6605,6348,41,44,3545,2942,139,96,9972,8104
44662,64,59,6669,6407,19,14,3564,2956,97,59,10068,8163
44663,61,61,6731,6468,64,51,3629,3006,142,89,10211,8252
44664,64,57,6794,6525,38,6,3667,3012,90,48,10300,8300
44665,62,66,6856,6591,20,26,3687,3038,41,66,10341,8366
44666,59,58,6916,6649,38,114,3725,3152,77,166,10418,8532
44667,69,54,6984,6703,34,8,3758,3159,109,42,10527,8574
44668,68,55,7053,6758,30,24,3788,3183,99,75,10626,8649
44669,65,57,7117,6814,58,11,3846,3194,116,51,10742,8700
44670,64,52,7181,6866,47,86,3894,3280,78,138,10820,8838
44671,63,59,7245,6925,21,29,3914,3309,44,79,10864,8918
44672,67,54,7311,6978,60,64,3974,3373,137,109,11001,9027
44673,66,58,7377,7036,45,3,4019,3377,109,30,11110,9057
44674,64,60,7441,7096,42,34,4061,3407,99,65,11209,9122
44675,71,56,7513,7152,84,35,4145,3443,169,62,11378,9184
44676,72,62,7584,7214,100,69,4245,3512,184,103,11562,9287
44677,69,62,7654,7276,54,19,4299,3531,128,66,11690,9353
44678,65,55,7719,7331,79,47,4378,3578,107,73,11797,9426
44679,63,58,7782,7388,88,47,4466,3625,94,76,11891,9502
44680,67,57,7849,7445,79,32,4545,3657,150,67,12041,9569
44681,62,56,7911,7501,69,25,4614,3986,150,81,12191,10676
44682,58,62,7969,7563,27,23,4642,4009,55,43,12246,10719
44683,64,62,8033,7625,2,18,4644,4027,34,49,12280,10768
44684,64,60,8097,7685,40,15,4683,4042,109,32,12389,10800
44685,64,67,8162,7752,70,18,4754,4060,120,80,12510,10880
44686,65,61,8226,7812,19,87,4773,4147,86,177,12595,11057
44687,62,60,8288,7872,56,53,4829,4200,70,157,12665,11214
44688,66,62,8354,7934,33,20,4862,4220,109,58,12774,11272
44689,66,59,8420,7994,40,19,4901,4239,175,68,12949,11340
44690,66,66,8486,8059,48,74,4949,4313,89,155,13038,11495
44691,66,60,8552,8119,75,41,5024,4354,138,110,13176,11605
44692,68,63,8619,8182,20,31,5044,4385,59,78,13235,11683
44693,71,62,8690,8244,26,23,5070,4408,37,75,13272,11758
44694,68,62,8758,8306,10,41,5080,4449,67,64,13339,11823
44695,72,60,8830,8366,6,16,5086,4465,79,54,13418,11877
44696,67,67,8897,8433,25,25,5111,4490,95,105,13514,11982
44697,69,66,8966,8499,39,40,5150,4530,109,99,13623,12081
44698,69,63,9035,8563,12,7,5162,4537,58,45,13681,12125
44699,68,62,9103,8624,27,52,5189,4588,100,140,13781,12265
44700,65,62,9168,8686,6,8,5195,4596,39,46,13820,12311
44701,66,60,9234,8745,11,33,5206,4629,75,72,13894,12383
44702,69,65,9302,8810,14,11,5219,4640,100,54,13994,12437
44703,70,64,9373,8874,13,61,5232,4701,48,103,14042,12540
44704,68,62,9441,8936,18,69,5250,4770,65,97,14108,12637
44705,65,58,9506,8993,4,17,5254,4787,85,47,14192,12684
44706,62,58,9568,9051,0,19,5254,4806,98,68,14291,12752
44707,67,55,9635,9106,14,21,5268,4827,78,46,14369,12797
44708,63,64,9698,9170,29,11,5297,4838,45,44,14413,12841
44709,66,60,9764,9230,11,8,5308,4846,75,67,14488,12908
44710,66,56,9830,9286,17,17,5326,4862,70,73,14558,12981
44711,61,55,9890,9341,4,40,5330,4902,50,117,14608,13098
44712,55,55,9945,9396,10,91,5339,4993,84,172,14992,13271
44713,64,55,10009,9451,11,5,5350,4998,98,54,15090,13324
44714,65,58,10074,9509,13,13,5363,5011,37,52,15127,13377
44715,63,60,10136,9570,5,10,5368,5021,101,63,15228,13440
44716,63,58,10200,9627,15,4,5383,5024,49,26,15277,13466
44717,64,65,10264,9693,24,34,5408,5058,118,142,15394,13608
44718,64,60,10328,9753,2,18,5410,5076,89,74,15483,13682
44719,60,62,10388,9815,5,18,5415,5094,74,69,15558,13751
44720,62,63,10450,9878,7,21,5422,5115,16,85,15574,13836
44721,58,61,10508,9939,11,13,5433,5128,60,62,15634,13898
44722,63,66,10571,10005,1,7,5434,5135,94,74,15728,13972
44723,65,60,10636,10065,15,4,5449,5139,112,48,15840,14079
44724,70,59,10706,10124,25,22,5474,5161,86,99,15926,14179
44725,67,67,10774,10190,12,19,5485,5180,90,66,16016,14245
44726,61,65,10835,10256,29,12,5514,5192,156,85,16172,14330
44727,65,65,10900,10321,12,10,5526,5203,94,62,16267,14393
44728,63,67,10963,10388,7,4,5533,5206,85,40,16352,14433
44729,65,65,11027,10453,21,3,5554,5209,29,56,16381,14489
44730,64,64,11091,10517,37,5,5591,5214,69,36,16450,14524
44731,67,67,11158,10584,47,33,5638,5248,55,76,16506,14601
44732,64,69,11222,10653,30,13,5668,5260,89,70,16595,14670
44733,63,66,11285,10720,13,14,5681,5275,28,59,16623,14964
44734,68,60,11352,10780,60,15,5741,5290,118,63,16741,15026
44735,71,71,11423,10851,26,12,5767,5302,153,58,16894,15084
44736,72,69,11495,10920,55,10,5823,5312,93,29,16987,15112
44737,67,70,11563,10989,50,6,5873,5318,90,19,17077,15131
44738,70,71,11633,11061,80,8,5953,5326,197,52,17275,15183
44739,78,72,11711,11132,29,11,5982,5336,50,43,17325,15227
44740,79,66,11789,11198,32,34,6014,5370,117,88,17442,15315
44741,76,69,11866,11267,49,19,6062,5389,103,68,17545,15383
44742,77,67,11943,11334,16,34,6078,5423,89,85,17985,15468
44743,67,61,12009,11395,25,6,6103,5429,40,43,18025,15510
44744,68,63,12077,11457,52,0,6155,5429,128,39,18153,15550
44745,66,58,12143,11515,38,15,6193,5444,144,78,18297,15628
44746,67,64,12210,11579,29,70,6222,5514,86,119,18383,15747
44747,70,64,12280,11643,59,17,6282,5531,99,80,18481,15827
44748,64,64,12344,11707,30,18,6312,5549,100,87,18582,15964
44749,61,66,12404,11773,57,21,6369,5569,133,70,18715,16034
44750,62,65,12467,11838,12,31,6381,5601,30,100,18745,16134
44751,59,72,12525,11909,66,6,6447,5607,134,145,18878,16279
44752,63,66,12588,11976,85,37,6532,5644,188,107,19066,16386
44753,63,71,12651,12047,28,42,6560,5686,90,126,19156,16512
44754,63,63,12714,12110,59,28,6619,5714,119,62,19276,16574
44755,65,62,12778,12172,34,16,6654,5730,84,75,19360,16649
44756,65,67,12844,12239,21,33,6675,5763,99,69,19458,16718
44757,62,64,12906,12303,5,19,6680,5782,42,54,19500,16772
44758,70,67,12976,12370,19,15,6699,5797,50,59,19551,16831
44759,72,71,13048,12441,26,20,6724,5817,85,48,19636,16879
44760,71,69,13119,12510,27,28,6751,5845,90,103,19726,16982
44761,67,61,13186,12571,36,21,6787,5866,119,68,19845,17049
44762,72,60,13258,12631,47,25,6834,5891,158,71,20003,17120
44763,70,65,13328,12696,30,4,6865,5895,100,134,20103,17254
44764,67,67,13394,12763,26,46,6891,5941,87,143,20190,17397
44765,68,68,13462,12832,43,32,6933,5973,142,97,20332,17494
44766,68,65,13531,12897,56,58,6989,6031,139,153,20471,17648
44767,70,67,13601,12965,36,32,7025,6062,90,84,20561,17731
44768,70,66,13671,13031,31,16,7056,6078,77,67,20638,17798
44769,63,68,13734,13098,29,28,7085,6106,73,69,20712,17868
44770,61,67,13796,13165,21,34,7106,6140,52,81,20764,17949
44771,60,60,13856,13226,48,35,7153,6175,119,113,20883,18061
44772,58,63,13914,13289,34,36,7187,6211,84,123,20967,18185
44773,60,60,13974,13349,59,21,7246,6232,99,89,21066,18274
44774,51,64,14025,13413,41,20,7287,6253,85,56,21150,18329
44775,53,69,14079,13482,10,29,7297,6282,67,73,21218,18402
44776,65,68,14144,13550,35,34,7333,6316,110,82,21327,18484
44777,66,68,14210,13618,59,45,7392,6361,153,117,21480,18601
44778,67,64,14277,13682,34,14,7425,6375,74,159,21555,18760
44779,70,62,14347,13744,13,49,7439,6424,54,95,21609,18856
44780,66,64,14413,13807,28,64,7466,6488,81,132,21690,18988
44781,67,64,14480,13871,15,56,7481,6544,55,118,21745,19106
44782,62,65,14542,13936,14,24,7495,6568,39,69,21784,19175
44783,65,59,14607,13995,35,41,7530,6609,137,103,21921,19278
44784,62,65,14669,14060,30,29,7560,6638,75,84,21996,19362
44785,66,63,14735,14123,26,41,7586,6680,69,78,22065,19439
44786,68,64,14804,14186,19,6,7605,6685,50,126,22114,19566
44787,72,66,14875,14252,23,29,7628,6715,78,80,22192,19645
44788,70,65,14945,14317,30,34,7658,6748,99,108,22291,19754
44789,69,67,15014,14384,35,28,7692,6777,154,65,22445,19818
44790,68,68,15082,14452,21,91,7713,6868,69,164,22514,19983
44791,67,65,15149,14516,25,22,7738,6890,83,53,22597,20036
44792,68,58,15218,14575,18,10,7756,6900,61,44,22658,20080
44793,68,63,15286,14638,22,8,7778,6908,76,33,22734,20112
44794,69,60,15355,14698,31,52,7809,6959,102,96,22837,20208
44795,69,63,15424,14761,22,22,7831,6982,91,52,22927,20261
44796,73,66,15498,14827,22,17,7853,6999,89,85,23016,20345
44797,67,67,15565,14894,28,26,7881,7024,128,89,23144,20435
44798,66,69,15631,14962,31,19,7913,7044,105,56,23249,20491
44799,71,71,15702,15033,22,78,7935,7122,75,162,23324,20653
44800,70,62,15772,15094,11,8,7947,7130,64,29,23388,20681
44801,68,69,15839,15164,35,36,7981,7166,149,84,23536,20765
44802,71,71,15910,15235,38,21,8019,7186,127,57,23663,20822
44803,68,75,15978,15310,27,54,8046,7241,90,99,23753,20921
44804,63,68,16042,15378,27,62,8073,7303,91,104,23844,21024
44805,63,62,16105,15439,15,24,8088,7328,49,40,23893,21065
44806,64,67,16169,15506,21,7,8109,7334,39,43,23932,21108
44807,67,68,16236,15574,52,1,8161,7336,83,20,24015,21128
44808,66,68,16302,15642,18,14,8179,7350,59,89,24074,21216
44809,65,68,16367,15711,26,49,8205,7399,87,164,24160,21380
44810,68,71,16434,15782,19,24,8224,7423,98,73,24259,21453
44811,66,65,16500,15847,25,25,8250,7448,95,106,24354,21559
44812,65,69,16565,15916,24,37,8273,7485,88,79,24442,21638
44813,65,67,16630,15983,32,19,8305,7504,106,58,24548,21697
44814,56,67,16687,16050,5,6,8310,7510,25,27,24573,21723
44815,60,64,16747,16114,35,24,8345,7534,117,77,24690,21800
44816,64,72,16811,16186,36,39,8381,7572,154,114,24843,21914
44817,63,68,16874,16254,17,37,8398,7610,90,81,24933,21995
44818,67,68,16940,16322,26,25,8425,7635,88,73,25021,22068
44819,67,67,17007,16389,24,51,8448,7686,79,173,25100,22241
44820,67,66,17074,16454,21,36,8469,7722,103,112,25203,22353
44821,68,61,17142,16515,17,24,8487,7745,118,169,25321,22522
44822,70,71,17212,16586,32,17,8519,7762,109,88,25430,22610
44823,67,67,17280,16653,26,26,8544,7788,90,137,25520,22747
44824,70,70,17349,16723,35,45,8579,7833,149,165,25669,22913
44825,68,65,17417,16788,17,21,8597,7854,58,88,25727,23001
44826,70,67,17487,16855,18,12,8615,7866,60,55,25787,23056
44827,72,70,17560,16926,28,66,8642,7932,92,129,25879,23185
44828,63,68,17622,16994,10,53,8652,7985,29,163,25908,23348
44829,60,76,17682,17070,31,13,8683,7998,138,32,26045,23380
44830,66,76,17748,17146,64,36,8747,8034,108,155,26154,23535
44831,72,74,17820,17220,14,34,8761,8068,164,119,26318,23654
44832,77,66,17897,17285,28,12,8789,8080,90,71,26408,23725
44833,73,62,17969,17347,19,23,8808,8103,88,119,26496,23844
44834,65,62,18034,17409,35,119,8843,8222,94,675,26590,24519
44835,64,58,18098,17467,20,34,8863,8256,75,89,26665,24608
44836,59,58,18157,17525,11,18,8874,8274,61,67,26726,24676
44837,62,59,18219,17585,27,12,8902,8286,108,69,26834,24745
44838,61,64,18280,17649,10,4,8912,8290,90,54,26925,24799
44839,61,60,18340,17709,30,7,8942,8296,145,79,27069,24878
44840,64,62,18404,17771,25,15,8967,8312,137,88,27206,24966
44841,65,64,18468,17835,11,39,8978,8381,95,82,27301,25048
44842,69,65,18537,17900,10,18,8988,8412,63,77,27364,25125
44843,69,64,18606,17964,7,42,8995,8454,105,86,27469,25289
44844,64,61,18670,18025,7,37,9002,8491,91,182,27560,25471
44845,69,61,18739,18086,16,21,9018,8512,87,76,27647,25547
44846,67,64,18805,18150,15,47,9034,8559,118,115,27765,25662
44847,69,60,18874,18210,7,34,9041,8593,58,179,27823,25842
44848,69,64,18944,18274,14,54,9055,8647,79,97,27903,25939
44849,61,62,19005,18336,7,61,9061,8708,93,113,27996,26052
44850,64,58,19069,18394,23,49,9085,8757,111,126,28106,26178
44851,64,50,19133,18443,14,41,9099,8798,81,135,28187,26313
44852,68,49,19201,18493,32,35,9131,8833,140,105,28327,26418
44853,68,51,19269,18544,23,40,9154,8873,76,98,28403,26516
44854,65,57,19334,18600,5,21,9159,8894,50,88,28453,26605
44855,74,55,19408,18655,13,11,9172,8905,100,24,28553,26629
44856,69,55,19477,18710,19,0,9190,8905,96,8,28650,26637
44857,70,55,19547,18765,12,14,9203,8919,141,58,28791,26695
44858,71,55,19619,18821,24,21,9227,8940,116,78,28907,26773
44859,69,55,19687,18876,17,11,9244,8951,91,42,28998,26815
44860,70,53,19758,18929,6,8,9250,8959,54,32,29051,26847
44861,69,47,19827,18976,15,12,9265,8971,50,44,29101,26891
44862,74,40,19901,19016,3,8,9268,8979,78,58,29178,26949
44863,71,42,19972,19058,9,3,9277,8982,63,13,29241,26962
44864,66,42,20038,19099,10,1,9287,8983,134,10,29375,26971
44865,64,48,20102,19147,9,3,9296,8986,95,402,29471,27374
44866,61,49,20163,19196,6,5,9301,8990,86,36,29556,27409
44867,66,50,20229,19247,12,15,9313,9005,72,48,29628,27458
44868,70,55,20299,19302,7,11,9320,9017,90,36,29718,27493
44869,66,59,20364,19361,17,44,9337,9060,88,154,29807,27648
44870,71,57,20435,19418,12,39,9349,9099,74,112,29880,27760
44871,73,57,20508,19475,14,31,9363,9130,81,103,29961,27863
44872,70,59,20578,19534,29,15,9391,9145,95,83,30056,27946
44873,67,62,20645,19596,27,28,9418,9173,89,79,30145,28025
44874,70,60,20716,19656,15,35,9432,9208,49,156,30194,28181
44875,67,61,20782,19717,7,55,9440,9263,58,116,30251,28297
44876,66,62,20848,19779,8,11,9448,9274,69,32,30321,28328
44877,68,52,20916,19830,13,16,9461,9290,44,75,30365,28404
44878,71,61,20987,19891,40,38,9501,9328,98,105,30462,28508
44879,69,61,21056,19952,23,27,9524,9355,108,86,30570,28595
44880,75,62,21131,20015,57,10,9581,9365,143,34,30713,28629
44881,73,58,21204,20073,35,16,9617,9381,88,51,30802,28680
44882,71,68,21274,20141,42,39,9659,9420,105,75,30907,28755
44883,72,64,21346,20206,32,19,9690,9439,79,49,30986,28804
44884,75,64,21421,20270,30,20,9721,9460,101,51,31087,28855
44885,69,63,21490,20333,42,32,9763,9492,110,92,31197,28947
44886,70,61,21560,20394,29,37,9792,9529,97,68,31293,29015
44887,71,62,21631,20456,28,47,9820,9576,95,117,31388,29132
44888,70,61,21701,20517,27,24,9846,9600,89,52,31477,29184
44889,70,57,21771,20574,27,51,9873,9651,96,136,31573,29320
44890,71,51,21842,20625,33,24,9907,9675,111,83,31683,29403
44891,69,60,21911,20685,25,56,9932,9730,84,111,31767,29514
44892,72,57,21983,20742,40,19,9972,9750,138,42,31905,29556
44893,76,58,22058,20800,35,26,10007,9776,115,44,32021,29599
44894,65,62,22123,20862,9,19,10016,9794,97,34,32117,29633
44895,72,57,22195,20919,26,10,10042,9805,88,453,32205,30528
44896,71,52,22267,20971,16,2,10059,9806,58,22,32264,30550
44897,64,54,22330,21025,38,25,10096,9831,109,48,32373,30598
44898,69,55,22399,21081,21,12,10118,9843,83,35,32456,30634
44899,65,56,22465,21137,42,23,10160,9866,117,59,32573,30693
44900,60,60,22524,21197,18,11,10178,9877,124,36,32697,30729
44901,66,60,22591,21257,33,11,10211,9888,153,56,32850,30784
44902,64,57,22655,21315,18,55,10229,9943,86,90,32936,30874
44903,60,54,22715,21369,20,14,10249,9958,77,33,33013,30907
44904,64,64,22779,21433,22,29,10271,9987,93,58,33106,30965
44905,66,65,22845,21498,5,63,10276,10050,69,109,33175,31074
44906,64,65,22909,21563,60,16,10336,10066,150,88,33325,31162
44907,59,61,22968,21624,37,19,10373,10085,98,69,33424,31231
44908,63,60,23031,21684,55,12,10428,10096,134,54,33557,31285
44909,57,65,23088,21749,12,28,10440,10124,81,85,33638,31370
44910,59,62,23147,21811,36,19,10476,10143,116,60,33754,31430
44911,54,56,23201,21866,53,35,10529,10178,158,92,33912,31522
44912,61,57,23262,21923,13,28,10543,10206,58,89,33970,31611
44913,61,59,23323,21982,41,3,10584,10209,156,15,34126,31626
44914,65,61,23388,22043,26,28,10610,10237,123,85,34249,31711
44915,67,53,23455,22096,25,19,10635,10256,76,74,34324,31785
44916,71,47,23526,22144,9,25,10644,10281,40,69,34364,31854
44917,68,54,23595,22198,34,37,10678,10318,119,87,34483,31941
44918,71,55,23666,22253,31,6,10709,10324,104,16,34588,31957
44919,63,55,23729,22308,36,36,10745,10360,135,55,34722,32012
44920,62,59,23790,22367,42,51,10787,10411,106,92,34828,32104
44921,63,55,23854,22422,12,17,10798,10428,29,50,34857,32154
44922,65,48,23919,22470,25,69,10823,10497,86,137,34943,32291
44923,63,51,23982,22521,25,37,10848,10534,75,93,35018,32384
44924,62,48,24044,22569,41,42,10889,10576,77,45,35095,32429
44925,60,42,24104,22611,15,70,10903,10646,37,137,35132,32566
44926,50,36,24154,22647,36,57,10939,10703,97,65,35229,32631
