1-16按行业(大类)、专业技术职称分组的法人单位从业人员数-行业大类,代码,法人单位数(个),从业人员数(人),Unnamed: 4,Unnamed: 5,Unnamed: 6
电力、燃气及水的生产和供应业,D,57923.0,4045931.0,95264,304122,572151
电力、热力的生产和供应业,4400,38016.0,3143214.0,83138,253288,491636
燃气生产和供应业,4500,3128.0,226700.0,3970,14468,20301
水的生产和供应业,4600,16779.0,676017.0,8156,36366,60214
建筑业,E,226768.0,39070264.0,427157,2069480,3724582
房屋和土木工程建筑业,4700,93054.0,32429089.0,320429,1638533,3129286
建筑安装业,4800,43759.0,3226536.0,55458,222312,314175
建筑装饰业,4900,66286.0,1866382.0,28494,122069,156260
其他建筑业,5000,23669.0,1548257.0,22776,86566,124861
交通运输、仓储和邮政业,F,157589.0,8976298.0,61096,269624,445618
铁路运输业,5100,440.0,55648.0,386,2002,2934
道路运输业,5200,73202.0,3757924.0,25321,101705,182371
城市公共交通业,5300,7689.0,1602044.0,6545,28802,44305
水上运输业,5400,8009.0,812911.0,9966,50665,71797
航空运输业,5500,808.0,320362.0,2235,18145,24863
管道运输业,5600,85.0,25054.0,752,2453,2801
装卸搬运和其他运输服务业,5700,44661.0,1074379.0,4926,24130,40096
仓储业,5800,18207.0,534918.0,4777,20047,33396
邮政业,5900,4488.0,793058.0,6188,21675,43055
信息传输、计算机服务和软件业,G,153290.0,3206954.0,81002,257852,343100
电信和其他信息传输服务业,6000,22590.0,1540412.0,34109,132665,210875
计算机服务业,6100,90843.0,769355.0,15344,39519,42027
软件业,6200,39857.0,897187.0,31549,85668,90198
批发和零售业,H,1403141.0,18919762.0,171358,625897,926772
批发业,6300,854007.0,10549388.0,108799,396793,541833
零售业,6500,549134.0,8370374.0,62559,229104,384939
住宿和餐饮业,I,145297.0,5857510.0,35713,117621,209286
住宿业,6600,54316.0,2673057.0,17281,60615,107795
餐饮业,6700,90981.0,3184453.0,18432,57006,101491
金融业,J,28668.0,5095109.0,57330,623203,931432
银行业,6800,7706.0,2820740.0,36130,523112,815860
证券业,6900,1116.0,148254.0,2511,17354,13044
保险业,7000,9146.0,1904912.0,12438,62011,83755
其他金融活动,7100,10700.0,221203.0,6251,20726,18773
房地产业,K,214391.0,5521938.0,126352,501876,471386
房地产业,7200,214391.0,5521938.0,126352,501876,471386
租赁和商务服务业,L,427001.0,7706947.0,142924,402327,434034
租赁业,7300,18330.0,218866.0,2480,7364,10036
商务服务业,7400,408671.0,7488081.0,140444,394963,423998
科学研究、技术服务和地质勘查业,M,201689.0,4475880.0,444053,768608,694707
研究与试验发展,7500,21317.0,786385.0,118960,138593,106788
专业技术服务业,7600,99966.0,2264156.0,240977,445509,381658
科技交流和推广服务业,7700,76591.0,1032937.0,54445,127671,139873
地质勘查业,7800,3815.0,392402.0,29671,56835,66388
水利、环境和公共设施管理业,N,57553.0,2214135.0,36727,117740,161103
水利管理业,7900,20827.0,475648.0,14564,47428,68054
环境管理业,8000,12801.0,861627.0,7976,20660,29094
公共设施管理业,8100,23925.0,876860.0,14187,49652,63955
居民服务和其他服务业,O,120467.0,1990364.0,23092,63189,78732
居民服务业,8200,61339.0,965828.0,9307,25321,33458
其他服务业,8300,59128.0,1024536.0,13785,37868,45274
教育,P,335065.0,17236288.0,1668019,5506729,4641646
教育,8400,335065.0,17236288.0,1668019,5506729,4641646
卫生、社会保障和社会福利业,Q,206480.0,6803553.0,415273,1350696,2350686
卫生,8500,171449.0,6358529.0,410511,1326522,2319255
社会保障业,8600,11428.0,195742.0,2623,15997,17707
社会福利业,8700,23603.0,249282.0,2139,8177,13724
文化、体育和娱乐业,R,81878.0,1940677.0,93651,213046,232999
新闻出版业,8800,6278.0,356272.0,30965,51683,45857
广播、电视、电影和音像业,8900,13481.0,477789.0,21679,62633,83882
文化艺术业,9000,33830.0,519512.0,33679,81407,83270
体育,9100,7405.0,125852.0,5010,10264,8932
娱乐业,9200,20884.0,461252.0,2318,7059,11058
公共管理和社会组织,S,1363857.0,22284730.0,314681,1158476,1287467
中国共产党机关,9300,39846.0,611164.0,5394,13248,10902
国家机构,9400,396222.0,14725490.0,239255,990588,1110181
人民政协和民主党派,9500,6209.0,100652.0,1723,2899,1226
群众团体、社会团体和宗教组织,9600,234644.0,2542034.0,60834,119257,98221
基层群众自治组织,9700,686936.0,4305390.0,7475,32484,66937
