Serial Number,Project Name,"Land Area (10,000 ㎡)","Building Area (10,000 ㎡)",Construction Purpose,Structure Form,Structure Height,Building Height,Number of floors,"Cost
（Billion Yuan）",Investor,Design Unit,General Contractor,Supervision,Curtain Wall Unit,Completion Time,Unnamed: 16
11,"Land King Mansion  
(Sun Hung Plaza)",1.8,26.7,,,324.8,383.95,68/-3,,"Qifu Real Estate Development (Shenzhen) Co., Ltd.  
Hong Kong Construction (Holdings) Co., Ltd.","US Architectural Design Co., Ltd., K.Y. Cheung Design Associates (Architecture)  
Nippon Steel Corporation, Prosperity Engineering Consultants Co., Ltd. (Structural Design)","Nikken Sekkei (Hong Kong)  
(China Construction Third Engineering Bureau Co., Ltd. S)  
(China Construction Second Engineering Bureau Southern Company C)",——,——,1996,
12,Seg Plaza (Shenzhen),1.6347,17.5,,,291.6,355.8,72/-4,,Shenzhen SEG Group,"Huayi Design Consultant Co., Ltd.",China Construction Second Engineering Bureau (Southern Company),——,——,2000,
13,Lucheng Plaza (Wenzhou),,45.8,,,,350.0,74,,"Wenzhou Greenland Real Estate Development Co., Ltd. (Hong Kong Wholly-owned)","Master Plan Design: SOM  
Shopping Mall Design: RTKL  
Landscape Planning Design: SWA  
Construction Drawings: Zhejiang Green City Architectural Design Co., Ltd. (Department One)","China Construction Fifth Engineering Division Co., Ltd. Third Company","Hangzhou Xinda Investment Consulting Appraisal and Supervision Co., Ltd.",——,——,
14,Bailian Simon International Plaza (Shanghai),1.3,17.0,,,246.0,333.0,63,,Shimao Group,"Ingenhoven-Ottenheimer Partnership Architectural Design Firm, Shanghai Anlute Structural Design Firm, Shanghai Modern Architectural Design (Group) Co., Ltd.",Shanghai Construction No.1,"Shanghai Tongji Construction Consulting & Supervision Co., Ltd.",Construction: Far East Curtain Wall,2007-01-01 00:00:00,
15,Jiangyin Sky Hua Xi Village Project (Jiangyin Hua Xi Village),,21.3,,,,328.0,72/-2,,Jiangyin Huaxi Village,"China Electronics Engineering Design Institute Shenzhen Electronic Institute Design Co., Ltd.",China Construction Second Engineering Bureau,Jiangsu Jianke,Construction: Far East Curtain Wall,——,
16,Guomao Phase III Tower (Beijing),,30.0,,,,330.0,74/-4,,The International Trade Center and Shangri-La Group under Kwok Tak Seng jointly invested,"SOM from the United States  
Chairman Wang's WITL International from Hong Kong  
The structural consultant is Arup OAP",China Construction First Building Group,——,Jianghe Curtain Wall,2009,
17,"Tianjin Tower  
(Tianjin)",,58.0,,,,336.9,75/-4,,"Financial Street Jinta (Tianjin) Property Co., Ltd.","East China Architectural Design & Research Institute Co., Ltd.",China Construction First Building Development (Beijing),"Beijing Shuangyuan Engineering Consulting and Supervision Co., Ltd.",——,——,
18,Bailian Simon International Plaza (Shanghai),1.3,17.0,,,,333.0,63,,Shimao Group,"Ingenhoven-Ottenheimer Architects  
Shanghai Anle Structural Design Firm  
Shanghai Modern Architectural Design (Group) Co., Ltd.","Shanghai First Construction Co., Ltd.","Shanghai Tongji Construction Consulting & Supervision Co., Ltd.",Far East Curtain Wall,——,
19,Guomao Phase III Tower (Beijing),,54.0,,,,330.0,,,The International Trade Center and Shangri-La Group under Kwok Tak Seng jointly invested,"SOM from the United States  
Chairman Wang's WITL International from Hong Kong  
The structural consultant is Arup OAP",China Construction First Building Group,——,——,——,
21,Dawang International Financial Center (Liuzhou),,50.0,,,,303.0,60,,"Hong Kong Diwang International Enterprise Group Co., Ltd.",,——,——,——,——,
23,"World Trade Tower  
(Wenzhou)",3.1,25.0,,,,323.0,68,,"Panda International Trading Co., Ltd., USA  
Wenzhou Tefulong Real Estate Development Co., Ltd.","RTKL (Architecture), Shanghai Modern Architectural Design Group (Construction Drawings)",——,——,——,——,
25,"Henglong Plaza  
(Shanghai)",3.07,,,,,288.2,66,,"Hong Kong Henglong Group Investment  
Shanghai Hengbang Real Estate Development Co., Ltd.","KPF (Architecture), United States Soo Ten - Thomashad Structural Consulting Co., Ltd. (Structure), H. N. Cheng & Partners (HK) Ltd. (Construction Drawing)",Shanghai Construction No.1,——,"Shanghai Fuyi Curtain Wall Engineering Co., Ltd.",1997,
26,Hua Min Dihao Mansion (Shanghai),,18.0,,,,278.0,60/-4,,"Shanghai Huayu Real Estate Development Co., Ltd.","East China Architectural Design & Research Institute Co., Ltd.",Nantong Fourth Construction,——,Construction: Far East Curtain Wall,——,
27,"Beijing Yintai Center
(Beijing)",3.1,35.0,,,249.9,249.9,64,,"China Yintai Investment Co., Ltd.  
Hyatt Group  
Merrill Lynch Group","John Portman Architects  
Bovis Lend Lease Construction Co., Ltd.  
Wing On Cheung Limited (Estimating Consultant)  
The interior design of Park Hyatt is led by Chief Designer Peter Remedios of Remedios Siembieda Inc.",Beijing Construction Engineering Group Corporation,"Bovis Lend Lease Engineering Consultancy (Shanghai) Co., Ltd.","Consultant: March Exterior Engineering Consultant  
Construction: Yuanda Curtain Wall",2006,
28,"Tomorrow Square  
(Shanghai)",10.0,12.0,,,238.0,284.6,60/-3,,"Shanghai Mingtian Plaza Co., Ltd.","Parkman America  
Shanghai Institute of Architectural Design",Shanghai Construction No.2,"Shanghai Jianke Construction Supervision & Consulting Co., Ltd.",——,1998,
29,"Shanghai Bank of Communications Financial Tower  
(Shanghai)",,,,,238.0,265.0,55/-4,,"Jiaoyin Financial Tower Co., Ltd.",Huadong Architectural Design Institute,Shanghai No.3 Construction / Shanghai No.4 Construction,——,——,1998,
30,"Pudong International Financial Center  
(Shanghai)",0.41,12.0,,,230.0,226.0,53/-3,,"Bank of China Shanghai Trust and Investment Corporation, Bank of China Group Investment Co., Ltd. etc.","Shanghai Institute of Architectural Design & Research Co., Ltd. (Nikken Sekkei Ltd.)  
Shanghai Huadong Architectural Design & Research Institute","China Construction First Building Group Co., Ltd.","Shanghai Jianhao Engineering Consultant Co., Ltd.",——,1998,
31,"Ping An Financial Center
(Shanghai Bank of China Tower)",,16.8,,,211.0,210.0,42/-3,,"China Ping An Insurance Group Co., Ltd.","Nikken Sekkei Co., Ltd.  
Shanghai Huadong Architectural Design & Research Institute",Shanghai Wujian,"Overseas Construction Consulting Supervision Co., Ltd.",Construction: Far East Curtain Wall,——,
32,"Yue Xing Global Exhibition Center  
(Shanghai Putuo District)",,43.0,,,,,49/-3,,Moonstar Group,"British Taloy (Architecture)  
CSSC Design Institute (Construction Drawings)",Shanghai Construction No.2,Shanghai Tongji Supervision,——,——,
