序号,一级类,二级类,名字,地区,最高价,平均价,最低价,发布日期
59,蔬菜,,线椒,鲁冀,3.5,2.75,2.0,2024-06-27 00:00:00
60,蔬菜,,杭椒,鲁冀辽,2.5,2.0,1.5,2024-06-27 00:00:00
61,蔬菜,,小米椒,云,6.5,5.75,5.0,2024-06-27 00:00:00
62,蔬菜,,彩椒,鲁,4.5,4.25,4.0,2024-06-27 00:00:00
63,蔬菜,,白萝卜,冀,0.7,0.6,0.5,2024-06-27 00:00:00
64,蔬菜,,心里美,冀,1.3,1.25,1.2,2024-06-27 00:00:00
65,蔬菜,,卞萝卜,冀,0.7,0.65,0.6,2024-06-27 00:00:00
66,蔬菜,,青萝卜,冀鲁,1.0,0.8,0.6,2024-06-27 00:00:00
67,蔬菜,,胡萝卜,鲁,1.7,1.6,1.5,2024-06-27 00:00:00
68,蔬菜,,胡萝卜,鲁,1.6,1.5,1.4,2024-06-27 00:00:00
69,蔬菜,,土豆,鲁冀,0.95,0.8,0.65,2024-06-27 00:00:00
70,蔬菜,,葱头,冀京,0.8,0.73,0.65,2024-06-27 00:00:00
71,蔬菜,,葱头,冀京,1.0,0.9,0.8,2024-06-27 00:00:00
72,蔬菜,,山药,豫鲁,3.5,3.25,3.0,2024-06-27 00:00:00
73,蔬菜,,山药,冀,5.0,4.5,4.0,2024-06-27 00:00:00
74,蔬菜,,山药,豫冀,8.0,6.5,5.0,2024-06-27 00:00:00
75,蔬菜,,莲藕,桂川,6.5,6.25,6.0,2024-06-27 00:00:00
76,蔬菜,,红薯,冀,1.0,0.9,0.8,2024-06-27 00:00:00
77,蔬菜,,红薯,琼粤,3.6,3.3,3.0,2024-06-27 00:00:00
78,蔬菜,,红薯,冀粤琼,1.6,1.2,0.8,2024-06-27 00:00:00
79,蔬菜,,紫薯,冀粤,4.6,3.6,2.6,2024-06-27 00:00:00
80,蔬菜,,荸荠,皖,3.5,3.25,3.0,2024-06-27 00:00:00
81,蔬菜,,芋头,鲁,4.0,3.5,3.0,2024-06-27 00:00:00
82,蔬菜,,姜,鲁,5.0,4.75,4.5,2024-06-27 00:00:00
83,蔬菜,,姜,鲁,7.0,6.5,6.0,2024-06-27 00:00:00
84,蔬菜,,大蒜,豫鲁,3.2,2.7,2.2,2024-06-27 00:00:00
85,蔬菜,,大蒜,豫苏鲁,5.4,4.6,3.8,2024-06-27 00:00:00
86,蔬菜,,蒜米,鲁,4.2,3.9,3.6,2024-06-27 00:00:00
87,蔬菜,,大葱,鲁,1.4,1.35,1.3,2024-06-27 00:00:00
88,蔬菜,,小葱,冀辽,2.3,2.15,2.0,2024-06-27 00:00:00
89,蔬菜,,蒜苗,鲁,5.5,4.0,2.5,2024-06-27 00:00:00
90,蔬菜,,蒜黄,冀,8.0,7.9,7.8,2024-06-27 00:00:00
91,蔬菜,,青蒜,甘,2.8,2.55,2.3,2024-06-27 00:00:00
92,蔬菜,,平菇,京蒙,4.0,3.25,2.5,2024-06-27 00:00:00
93,蔬菜,,香菇,冀,7.0,5.25,3.5,2024-06-27 00:00:00
94,蔬菜,,白玉菇,冀豫京,4.0,3.5,3.0,2024-06-27 00:00:00
95,蔬菜,,口蘑,冀闽,8.5,8.0,7.5,2024-06-27 00:00:00
96,蔬菜,,杏鲍菇,苏豫津,4.0,3.25,2.5,2024-06-27 00:00:00
97,蔬菜,,金针菇,辽鲁京,2.6,2.3,2.0,2024-06-27 00:00:00
98,蔬菜,水菜,油菜,,1.5,1.15,0.8,2024-06-27 00:00:00
99,蔬菜,水菜,小白菜,,3.5,3.25,3.0,2024-06-27 00:00:00
100,蔬菜,水菜,油麦菜,,2.0,1.75,1.5,2024-06-27 00:00:00
101,蔬菜,水菜,奶白菜,,2.5,2.25,2.0,2024-06-27 00:00:00
102,蔬菜,水菜,散生菜,,2.2,1.85,1.5,2024-06-27 00:00:00
103,蔬菜,水菜,香葱,,4.0,3.75,3.5,2024-06-27 00:00:00
104,蔬菜,水菜,茼蒿,,8.0,7.5,7.0,2024-06-27 00:00:00
105,蔬菜,水菜,蒿子秆,,3.0,2.5,2.0,2024-06-27 00:00:00
106,蔬菜,水菜,水萝卜,,2.5,2.25,2.0,2024-06-27 00:00:00
107,蔬菜,水菜,樱桃萝卜,,2.2,1.85,1.5,2024-06-27 00:00:00
108,蔬菜,水菜,香芹,,2.5,2.0,1.5,2024-06-27 00:00:00
109,蔬菜,水菜,菠菜,,4.0,3.5,3.0,2024-06-27 00:00:00
110,蔬菜,水菜,苋菜,,3.8,3.4,3.0,2024-06-27 00:00:00
111,蔬菜,水菜,菊花菜,,3.0,2.5,2.0,2024-06-27 00:00:00
112,蔬菜,水菜,黄心菜,,5.0,4.5,4.0,2024-06-27 00:00:00
113,蔬菜,水菜,青蒜,,2.0,1.75,1.5,2024-06-27 00:00:00
114,蔬菜,水菜,盖菜,,4.0,3.75,3.5,2024-06-27 00:00:00
115,蔬菜,水菜,芥兰,,2.0,1.75,1.5,2024-06-27 00:00:00
116,蔬菜,水菜,菜心,,2.5,2.0,1.5,2024-06-27 00:00:00
117,蔬菜,水菜,空心菜,,3.5,3.0,2.5,2024-06-27 00:00:00
118,蔬菜,水菜,荠菜,,9.0,8.5,8.0,2024-06-27 00:00:00
119,蔬菜,水菜,鸡毛菜,,3.5,3.25,3.0,2024-06-27 00:00:00
120,蔬菜,水菜,荆芥,,3.0,2.5,2.0,2024-06-27 00:00:00
121,蔬菜,水菜,紫苏叶,,4.5,4.25,4.0,2024-06-27 00:00:00
122,蔬菜,水菜,豌豆苗,,5.5,5.25,5.0,2024-06-27 00:00:00
123,蔬菜,水菜,快菜,,2.0,1.75,1.5,2024-06-27 00:00:00
124,蔬菜,水菜,苦菊,,3.0,2.5,2.0,2024-06-27 00:00:00
125,蔬菜,水菜,穿心莲,,2.8,2.65,2.5,2024-06-27 00:00:00
126,蔬菜,水菜,木耳菜,,2.5,2.25,2.0,2024-06-27 00:00:00
127,水果,其他类,菠萝,,3.0,2.5,2.0,2024-06-27 00:00:00
128,水果,其他类,凤梨,国产,5.0,3.9,2.8,2024-06-27 00:00:00
129,水果,其他类,圣女果,,5.5,4.6,3.7,2024-06-27 00:00:00
130,水果,其他类,百香果,,12.0,11.0,10.0,2024-06-27 00:00:00
131,水果,其他类,人参果,,6.5,5.75,5.0,2024-06-27 00:00:00
132,水果,其他类,杨梅,,20.0,14.5,9.0,2024-06-27 00:00:00
133,水果,其他类,蓝莓,,45.0,32.5,20.0,2024-06-27 00:00:00
134,水果,其他类,火龙果,,11.0,9.0,7.0,2024-06-27 00:00:00
135,水果,其他类,火龙果,,7.3,6.3,5.3,2024-06-27 00:00:00
136,水果,其他类,木瓜,,5.0,4.6,4.2,2024-06-27 00:00:00
137,水果,其他类,桑葚,,8.0,7.0,6.0,2024-06-27 00:00:00
138,水果,其他类,桑葚,,9.0,7.5,6.0,2024-06-27 00:00:00
139,水果,其他类,柠檬,,4.0,3.5,3.0,2024-06-27 00:00:00
140,水果,其他类,姑娘果（灯笼果）,,20.0,15.0,10.0,2024-06-27 00:00:00
141,水果,梨类,鸭梨,,2.0,1.9,1.8,2024-06-27 00:00:00
142,水果,梨类,雪花梨,,2.0,1.9,1.8,2024-06-27 00:00:00
143,水果,梨类,皇冠梨,,2.8,2.7,2.6,2024-06-27 00:00:00
144,水果,梨类,丰水梨,,3.1,2.95,2.8,2024-06-27 00:00:00
145,水果,梨类,酥梨,,2.1,2.0,1.9,2024-06-27 00:00:00
146,水果,梨类,库尔勒香梨,,5.9,4.7,3.5,2024-06-27 00:00:00
147,水果,梨类,红香酥梨,,2.6,2.55,2.5,2024-06-27 00:00:00
148,水果,柑橘类,沃柑,,5.5,5.25,5.0,2024-06-27 00:00:00
149,水果,柑橘类,伦晚脐橙,,3.2,2.85,2.5,2024-06-27 00:00:00
150,水果,柑橘类,夏橙,,3.2,2.85,2.5,2024-06-27 00:00:00
151,水果,桃李杏类,油桃,,6.0,3.9,1.8,2024-06-27 00:00:00
152,水果,桃李杏类,蟠桃,,6.0,4.75,3.5,2024-06-27 00:00:00
153,水果,桃李杏类,水蜜桃,,12.0,9.0,6.0,2024-06-27 00:00:00
154,水果,桃李杏类,春雪,,12.0,9.5,7.0,2024-06-27 00:00:00
155,水果,桃李杏类,黄油桃,,8.0,6.0,4.0,2024-06-27 00:00:00
156,水果,桃李杏类,黄毛桃,,10.0,9.0,8.0,2024-06-27 00:00:00
157,水果,桃李杏类,突围,,4.5,3.5,2.5,2024-06-27 00:00:00
158,水果,桃李杏类,黄油蟠,,10.0,8.5,7.0,2024-06-27 00:00:00
159,水果,桃李杏类,猕猴桃,,7.0,6.75,6.5,2024-06-27 00:00:00
160,水果,桃李杏类,李子,,6.0,3.75,1.5,2024-06-27 00:00:00
161,水果,桃李杏类,小白杏,,3.0,2.25,1.5,2024-06-27 00:00:00
162,水果,桃李杏类,串红杏,,2.5,2.15,1.8,2024-06-27 00:00:00
163,水果,桃李杏类,杏梅,,4.0,3.25,2.5,2024-06-27 00:00:00
164,水果,西瓜类,无籽小号-大号,,1.0,0.9,0.8,2024-06-27 00:00:00
165,水果,西瓜类,麒麟,,2.0,1.75,1.5,2024-06-27 00:00:00
166,水果,西瓜类,特小凤,,2.3,2.15,2.0,2024-06-27 00:00:00
167,水果,西瓜类,L600吊秧瓜,,1.8,1.65,1.5,2024-06-27 00:00:00
168,水果,西瓜类,甜王,,0.9,0.78,0.65,2024-06-27 00:00:00
169,水果,西瓜类,金城5号,,1.0,0.9,0.8,2024-06-27 00:00:00
170,水果,西瓜类,蜜童,,1.8,1.55,1.3,2024-06-27 00:00:00
171,水果,西瓜类,8424西瓜,,1.5,1.35,1.2,2024-06-27 00:00:00
172,水果,香蕉类,国产香蕉,,3.8,3.4,3.0,2024-06-27 00:00:00
173,水果,香蕉类,进口香蕉,,4.6,4.2,3.8,2024-06-27 00:00:00
174,水果,香蕉类,泰国香蕉,,11.0,10.5,10.0,2024-06-27 00:00:00
175,水果,香蕉类,苹果蕉,,5.0,4.5,4.0,2024-06-27 00:00:00
176,水果,甜瓜类,晓蜜25号,,2.3,2.05,1.8,2024-06-27 00:00:00
177,水果,甜瓜类,玉菇,,2.1,2.0,1.9,2024-06-27 00:00:00
178,水果,甜瓜类,网纹,,6.0,5.5,5.0,2024-06-27 00:00:00
179,水果,甜瓜类,景甜甜瓜,,2.4,1.95,1.5,2024-06-27 00:00:00
180,水果,甜瓜类,白糖罐,,2.5,2.15,1.8,2024-06-27 00:00:00
181,水果,甜瓜类,羊角蜜,,3.0,2.2,1.4,2024-06-27 00:00:00
182,水果,甜瓜类,花蕾甜瓜,,3.0,2.75,2.5,2024-06-27 00:00:00
183,水果,甜瓜类,脆梨,,1.8,1.75,1.7,2024-06-27 00:00:00
184,水果,甜瓜类,绿宝甜瓜,,3.0,2.7,2.4,2024-06-27 00:00:00
185,水果,甜瓜类,博阳,,3.0,2.15,1.3,2024-06-27 00:00:00
186,水果,甜瓜类,红金蜜,,1.8,1.65,1.5,2024-06-27 00:00:00
187,水果,甜瓜类,东北甜瓜,,3.5,3.25,3.0,2024-06-27 00:00:00
188,水果,甜瓜类,久红瑞,,2.0,1.9,1.8,2024-06-27 00:00:00
189,水果,苹果类,富士,,4.3,3.15,2.0,2024-06-27 00:00:00
190,水果,苹果类,富士,,2.6,2.2,1.8,2024-06-27 00:00:00
191,水果,苹果类,富士,,5.5,5.0,4.5,2024-06-27 00:00:00
192,水果,苹果类,黄元帅,,3.6,3.05,2.5,2024-06-27 00:00:00
193,水果,苹果类,花牛,,5.0,3.5,2.0,2024-06-27 00:00:00
194,水果,苹果类,阿克苏,新疆,4.6,4.15,3.7,2024-06-27 00:00:00
195,水果,苹果类,国光,,3.5,3.0,2.5,2024-06-27 00:00:00
196,水果,葡萄类,阳光玫瑰,,28.0,20.0,12.0,2024-06-27 00:00:00
197,水果,葡萄类,红提葡萄,,13.0,12.0,11.0,2024-06-27 00:00:00
198,水果,葡萄类,玫瑰香,,13.0,11.0,9.0,2024-06-27 00:00:00
199,水果,葡萄类,克伦生,,16.0,12.0,8.0,2024-06-27 00:00:00
200,水果,葡萄类,夏黑葡萄,,13.0,11.5,10.0,2024-06-27 00:00:00
201,水果,葡萄类,郁金香,,13.0,9.5,6.0,2024-06-27 00:00:00
202,水果,葡萄类,美人指,,11.0,10.25,9.5,2024-06-27 00:00:00
203,水果,葡萄类,巨峰葡萄,,9.0,7.5,6.0,2024-06-27 00:00:00
204,水果,葡萄类,青提（维多利亚）,,8.0,6.5,5.0,2024-06-27 00:00:00
205,水果,葡萄类,乒乓球葡萄,,12.0,10.5,9.0,2024-06-27 00:00:00
206,水果,芒果类,台农,,6.0,5.5,5.0,2024-06-27 00:00:00
207,水果,芒果类,台农,,6.0,5.5,5.0,2024-06-27 00:00:00
208,水果,芒果类,青皮,,5.5,5.0,4.5,2024-06-27 00:00:00
209,水果,芒果类,象牙芒,,6.5,6.0,5.5,2024-06-27 00:00:00
210,水果,芒果类,贵妃芒,,7.5,7.0,6.5,2024-06-27 00:00:00
211,水果,芒果类,澳芒,,9.0,8.0,7.0,2024-06-27 00:00:00
212,水果,芒果类,水仙芒果,,8.5,8.0,7.5,2024-06-27 00:00:00
213,水果,荔枝类,妃子笑,,17.0,15.5,14.0,2024-06-27 00:00:00
214,水果,樱桃类,美早,,52.0,30.0,8.0,2024-06-27 00:00:00
215,水果,樱桃类,南阳,,28.0,23.0,18.0,2024-06-27 00:00:00
216,水果,樱桃类,巴托,,15.0,12.0,9.0,2024-06-27 00:00:00
217,水果,樱桃类,金顶红,,18.0,14.0,10.0,2024-06-27 00:00:00
218,水果,樱桃类,沙蜜托,,20.0,15.0,10.0,2024-06-27 00:00:00
219,肉禽蛋,猪肉类,白条猪,,11.5,11.5,11.5,2024-06-27 00:00:00
220,肉禽蛋,猪肉类,白条猪,,10.0,10.0,10.0,2024-06-27 00:00:00
221,肉禽蛋,猪肉类,前臀尖,,11.0,10.75,10.5,2024-06-27 00:00:00
222,肉禽蛋,猪肉类,前臀尖,,10.5,10.25,10.0,2024-06-27 00:00:00
223,肉禽蛋,猪肉类,后臀尖,,11.0,10.75,10.5,2024-06-27 00:00:00
224,肉禽蛋,猪肉类,后臀尖,,10.5,10.25,10.0,2024-06-27 00:00:00
225,肉禽蛋,猪肉类,五花肉,,13.5,13.25,13.0,2024-06-27 00:00:00
226,肉禽蛋,猪肉类,五花肉,,13.0,12.75,12.5,2024-06-27 00:00:00
227,肉禽蛋,猪肉类,五花头,,11.5,11.25,11.0,2024-06-27 00:00:00
228,肉禽蛋,猪肉类,纯通脊,,14.0,13.5,13.0,2024-06-27 00:00:00
229,肉禽蛋,猪肉类,通脊,,11.5,11.0,10.5,2024-06-27 00:00:00
230,肉禽蛋,猪肉类,小里脊,,16.0,15.5,15.0,2024-06-27 00:00:00
231,肉禽蛋,猪肉类,梅花肉,,14.0,13.5,13.0,2024-06-27 00:00:00
232,肉禽蛋,猪肉类,纯瘦肉,,12.5,12.25,12.0,2024-06-27 00:00:00
233,肉禽蛋,猪肉类,护心肉,,23.0,20.0,17.0,2024-06-27 00:00:00
234,肉禽蛋,猪肉类,前肘,,10.0,9.75,9.5,2024-06-27 00:00:00
235,肉禽蛋,猪肉类,后肘,,8.5,8.0,7.5,2024-06-27 00:00:00
236,肉禽蛋,猪肉类,月牙骨,,23.0,21.5,20.0,2024-06-27 00:00:00
237,肉禽蛋,猪肉类,猪尾巴,,45.0,42.5,40.0,2024-06-27 00:00:00
238,肉禽蛋,猪肉类,猪蹄,,19.0,18.0,17.0,2024-06-27 00:00:00
239,肉禽蛋,猪肉类,纯排骨,,22.0,21.0,20.0,2024-06-27 00:00:00
240,肉禽蛋,猪肉类,纯腔骨,,8.0,7.5,7.0,2024-06-27 00:00:00
241,肉禽蛋,猪肉类,腔排骨,,15.0,14.5,14.0,2024-06-27 00:00:00
242,肉禽蛋,猪肉类,梅花骨,,10.0,9.5,9.0,2024-06-27 00:00:00
243,肉禽蛋,猪肉类,棒骨,,9.5,9.0,8.5,2024-06-27 00:00:00
244,肉禽蛋,猪肉类,猪头,,10.0,9.75,9.5,2024-06-27 00:00:00
245,肉禽蛋,猪肉类,猪口条,,14.0,13.75,13.5,2024-06-27 00:00:00
246,肉禽蛋,猪肉类,猪耳,,25.0,24.0,23.0,2024-06-27 00:00:00
247,肉禽蛋,猪肉类,猪脑,,22.0,21.0,20.0,2024-06-27 00:00:00
248,肉禽蛋,猪肉类,猪肚,,22.0,20.0,18.0,2024-06-27 00:00:00
249,肉禽蛋,猪肉类,猪板油,,6.0,5.75,5.5,2024-06-27 00:00:00
250,肉禽蛋,猪肉类,肥膘肉,,6.0,5.25,4.5,2024-06-27 00:00:00
251,肉禽蛋,猪肉类,猪腰子,,32.0,31.5,31.0,2024-06-27 00:00:00
252,肉禽蛋,猪肉类,猪心,,8.5,8.25,8.0,2024-06-27 00:00:00
253,肉禽蛋,猪肉类,猪肝,,6.5,6.25,6.0,2024-06-27 00:00:00
254,肉禽蛋,猪肉类,猪肺,,4.0,3.75,3.5,2024-06-27 00:00:00
255,肉禽蛋,猪肉类,猪皮,,6.0,5.25,4.5,2024-06-27 00:00:00
256,肉禽蛋,猪肉类,猪肠头,,20.0,19.5,19.0,2024-06-27 00:00:00
257,肉禽蛋,猪肉类,猪肠,,18.0,17.5,17.0,2024-06-27 00:00:00
258,肉禽蛋,牛肉类,整牛,,24.0,23.25,22.5,2024-06-27 00:00:00
259,肉禽蛋,牛肉类,牛前腱,,28.0,28.0,28.0,2024-06-27 00:00:00
260,肉禽蛋,牛肉类,牛后腱,,28.0,28.0,28.0,2024-06-27 00:00:00
261,肉禽蛋,牛肉类,牛前腿,,24.0,24.0,24.0,2024-06-27 00:00:00
262,肉禽蛋,牛肉类,牛后腿,,24.0,24.0,24.0,2024-06-27 00:00:00
263,肉禽蛋,牛肉类,牛腰窝,,27.0,26.0,25.0,2024-06-27 00:00:00
264,肉禽蛋,牛肉类,肥牛,,33.0,29.5,26.0,2024-06-27 00:00:00
265,肉禽蛋,牛肉类,牛柳,,30.0,30.0,30.0,2024-06-27 00:00:00
266,肉禽蛋,牛肉类,精牛柳,,32.0,32.0,32.0,2024-06-27 00:00:00
267,肉禽蛋,牛肉类,牛腩,,24.0,24.0,24.0,2024-06-27 00:00:00
268,肉禽蛋,牛肉类,牛林,,24.0,24.0,24.0,2024-06-27 00:00:00
269,肉禽蛋,牛肉类,牛金钱腱,,45.0,45.0,45.0,2024-06-27 00:00:00
270,肉禽蛋,牛肉类,牛筋头巴脑,,22.0,21.5,21.0,2024-06-27 00:00:00
271,肉禽蛋,牛肉类,牛宝,,18.0,17.5,17.0,2024-06-27 00:00:00
272,肉禽蛋,牛肉类,牛鞭,,60.0,59.0,58.0,2024-06-27 00:00:00
273,肉禽蛋,牛肉类,牛油,,5.0,5.0,5.0,2024-06-27 00:00:00
274,肉禽蛋,牛肉类,牛心,,7.0,6.75,6.5,2024-06-27 00:00:00
275,肉禽蛋,牛肉类,牛舌,,25.0,24.5,24.0,2024-06-27 00:00:00
276,肉禽蛋,牛肉类,牛骨,,4.5,4.25,4.0,2024-06-27 00:00:00
277,肉禽蛋,牛肉类,牛排骨,,25.0,25.0,25.0,2024-06-27 00:00:00
278,肉禽蛋,牛肉类,牛蹄筋,,24.0,23.5,23.0,2024-06-27 00:00:00
279,肉禽蛋,牛肉类,牛板筋,,28.0,27.5,27.0,2024-06-27 00:00:00
280,肉禽蛋,牛肉类,牛心管,,35.0,32.5,30.0,2024-06-27 00:00:00
281,肉禽蛋,牛肉类,牛肚,,20.0,18.5,17.0,2024-06-27 00:00:00
282,肉禽蛋,牛肉类,牛腰子,,12.0,11.0,10.0,2024-06-27 00:00:00
283,肉禽蛋,牛肉类,牛尾,,32.0,28.5,25.0,2024-06-27 00:00:00
284,肉禽蛋,牛肉类,牛百叶,,33.0,31.5,30.0,2024-06-27 00:00:00
285,肉禽蛋,牛肉类,牛上脑,,24.0,24.0,24.0,2024-06-27 00:00:00
286,肉禽蛋,羊肉类,整羊,,20.0,20.0,20.0,2024-06-27 00:00:00
287,肉禽蛋,羊肉类,去骨羊前腿,,28.0,28.0,28.0,2024-06-27 00:00:00
288,肉禽蛋,羊肉类,去骨羊后腿,,30.0,30.0,30.0,2024-06-27 00:00:00
289,肉禽蛋,羊肉类,羊腰窝,,27.0,26.5,26.0,2024-06-27 00:00:00
290,肉禽蛋,羊肉类,羊肉片,,32.0,28.5,25.0,2024-06-27 00:00:00
291,肉禽蛋,羊肉类,羊腰子,,12.0,11.5,11.0,2024-06-27 00:00:00
292,肉禽蛋,羊肉类,羊蝎子,,10.0,10.0,10.0,2024-06-27 00:00:00
293,肉禽蛋,羊肉类,羊蝎子,,20.0,19.5,19.0,2024-06-27 00:00:00
294,肉禽蛋,羊肉类,羊排骨,,21.0,20.5,20.0,2024-06-27 00:00:00
295,肉禽蛋,羊肉类,羊尾巴油,,10.0,9.25,8.5,2024-06-27 00:00:00
296,肉禽蛋,羊肉类,羊小腿,,18.0,18.0,18.0,2024-06-27 00:00:00
297,肉禽蛋,羊肉类,羊腱子肉,,32.0,31.5,31.0,2024-06-27 00:00:00
298,肉禽蛋,羊肉类,羊蹄,,15.0,14.5,14.0,2024-06-27 00:00:00
299,肉禽蛋,羊肉类,羊头,,12.0,12.0,12.0,2024-06-27 00:00:00
300,肉禽蛋,羊肉类,羊肝,,6.0,6.0,6.0,2024-06-27 00:00:00
301,肉禽蛋,羊肉类,羊心,,15.0,15.0,15.0,2024-06-27 00:00:00
302,肉禽蛋,羊肉类,羊肠,,14.0,14.0,14.0,2024-06-27 00:00:00
303,肉禽蛋,羊肉类,羊肚,,18.0,17.5,17.0,2024-06-27 00:00:00
304,肉禽蛋,羊肉类,羊鞭,,75.0,72.5,70.0,2024-06-27 00:00:00
305,肉禽蛋,羊肉类,羊宝,,35.0,35.0,35.0,2024-06-27 00:00:00
306,肉禽蛋,羊肉类,羊骨头,,10.0,9.0,8.0,2024-06-27 00:00:00
307,肉禽蛋,羊肉类,羊上脑,,31.0,30.5,30.0,2024-06-27 00:00:00
308,肉禽蛋,羊肉类,羊腩,,24.0,23.0,22.0,2024-06-27 00:00:00
309,肉禽蛋,羊肉类,羊里脊,,29.0,28.5,28.0,2024-06-27 00:00:00
310,肉禽蛋,禽蛋类,淘汰鸡,,11.0,10.75,10.5,2024-06-27 00:00:00
311,肉禽蛋,禽蛋类,淘汰鸡,,9.5,9.5,9.5,2024-06-27 00:00:00
312,肉禽蛋,禽蛋类,仔鸡,,7.0,6.75,6.5,2024-06-27 00:00:00
