Date,Total Investment,Available Cash,Market Value of Stocks,Position P/L,Total Assets,Total P&L,Total Profit Rate,Daily P/L,Daily Return Rate,Shanghai Composite Index,Unnamed: 11,Unnamed: 12,Unnamed: 13
2015/5/13,32000.0,,35520.0,-1374.0,43724.0,,,,,-1.0,"Today I mistakenly sold Risunxing, sold Dayilong at -3, bought it back at +7, and finally it was happy to hit the limit up.",,
2015/5/14,32000.0,,35520.0,-1374.0,43891.0,,,,,-1.0,"Today, I bought Risunxing at +5 and +10, and Dayilong at +3. It fell back to -3.",,
2015/5/15,32000.0,,35520.0,-1374.0,43724.0,,,,,-1.0,,,
2015/5/18,32000.0,,35520.0,-1374.0,45524.0,,,,,-1.0,You have 600 shares of Shengxing.,,
2015/5/19,32000.0,,35520.0,-1374.0,47724.0,,,,,-1.0,,,
2015/5/20,42000.0,,35520.0,-1374.0,63600.0,,,,,-1.0,Bought 400 shares of Shengxing,,
2015/5/21,42000.0,,35520.0,-1374.0,68637.0,,,,,-1.0,,,
2015/5/22,31000.0,,61230.0,-1374.0,63260.0,,,,,-1.0,,,
2015/5/25,31000.0,,61230.0,-1374.0,70000.0,,,,,-1.0,,,
2015/5/26,31000.0,,61230.0,-1374.0,77000.0,,,,,-1.0,,,
2015/5/27,31000.0,,61230.0,-1374.0,74000.0,,,,,-1.0,Today from limit-up to limit-down,,
2015/5/28,31000.0,,61230.0,-1374.0,75000.0,,,,,-1.0,"Morning limit down, highest rise of 5% in the morning, sold at 1.5%, bought again at 10%",,
2015/5/29,31000.0,,61230.0,-1374.0,70000.0,,,,,-1.0,"Today's limit down, bought half at limit down.",,
2015/6/1,31000.0,,61230.0,-1374.0,64000.0,,,,,-1.0,"Another fall, all sold.",,
2015/6/2,31000.0,,61230.0,-1374.0,64000.0,,,,,-1.0,"All new stock purchases, all not hit",,
2015/6/3,31000.0,,61230.0,-1374.0,64000.0,,,,,,Open GF Securities account,,
2015/6/4,31000.0,,61230.0,-1374.0,64000.0,,,,,,A newly recommended stock dropped to its daily limit.,,
2015/6/8,31000.0,,61230.0,-1374.0,66566.0,,,,,,,,
2015/6/9,31001.0,,61230.0,-1374.0,60194.0,,,,,,,,
2015/6/10,29000.0,,63090.0,-1374.0,65927.0,,,,,,,,
2015/6/11,29000.0,,63090.0,-1374.0,69121.0,,,,,,,,
2015/6/12,21000.0,,39712.0,-1374.0,61000.0,,,,,,,,
2015/6/15,21000.0,,39712.0,-1374.0,58133.0,,,,,,,,
2015/6/16,21000.0,,39712.0,-1374.0,58027.0,,,,,,,,
2015/6/17,,,39712.0,-1374.0,55862.0,,,,,,"The newly listed stock I bought went up to the daily limit one day and down to the daily limit the next day. After selling, it dropped sharply for three more days. If I had bought that pharmaceutical stock instead, it would have been perfect, but I didn't have enough money. I've sold everything now.",,
2015/6/24,,,39712.0,-1374.0,37000.0,,,,,,Didn't win any new stock subscription.,,
2015/6/25,,,39712.0,-1374.0,36700.0,,,,,,,,
2015/6/26,,,39712.0,-1374.0,36700.0,,,,,,,,
