2-3全国各民族分性别、主要生活来源的15岁及以上人口-民族-民族,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-15岁及以上人口-合计,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-15岁及以上人口-男,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-15岁及以上人口-女,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-劳动收入-小计,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-劳动收入-男,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-劳动收入-女,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-离退休金/养老金-小计,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-离退休金/养老金-男,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-离退休金/养老金-女,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-最低生活保障金-小计,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-最低生活保障金-男,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-最低生活保障金-女,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-失业保险金-小计,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-失业保险金-男,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-失业保险金-女,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-财产性收入-小计,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-财产性收入-男,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-财产性收入-女,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-家庭其他成员供养-小计,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-家庭其他成员供养-男,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-家庭其他成员供养-女,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-其他-小计,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-其他-男,2-3全国各民族分性别、主要生活来源的15岁及以上人口-单位：人-其他-女
布依族,244730.0,122061.0,122669.0,149151.0,84214.0,64937.0,5845.0,3035.0,2810.0,5663.0,3098.0,2565.0,47.0,33.0,14.0,1356.0,724.0,632.0,69909.0,24865.0,45044.0,12759.0,6092.0,6667.0
朝鲜族,90102.0,43629.0,46473.0,37458.0,21738.0,15720.0,21805.0,8913.0,12892.0,2084.0,1076.0,1008.0,45.0,18.0,27.0,2789.0,1570.0,1219.0,21910.0,8200.0,13710.0,4011.0,2114.0,1897.0
满  族,830441.0,426627.0,403814.0,472770.0,288933.0,183837.0,79938.0,34942.0,44996.0,18172.0,10312.0,7860.0,330.0,199.0,131.0,8522.0,4649.0,3873.0,205338.0,65537.0,139801.0,45371.0,22055.0,23316.0
侗  族,257068.0,133218.0,123850.0,152398.0,91085.0,61313.0,7625.0,3947.0,3678.0,4897.0,2884.0,2013.0,25.0,14.0,11.0,1164.0,649.0,515.0,75144.0,26902.0,48242.0,15815.0,7737.0,8078.0
瑶  族,229771.0,117997.0,111774.0,143947.0,83505.0,60442.0,6768.0,3239.0,3529.0,4915.0,2759.0,2156.0,45.0,27.0,18.0,851.0,454.0,397.0,59618.0,21333.0,38285.0,13627.0,6680.0,6947.0
白  族,170556.0,84958.0,85598.0,109744.0,60415.0,49329.0,6262.0,3439.0,2823.0,1960.0,1019.0,941.0,36.0,24.0,12.0,1221.0,624.0,597.0,44294.0,16002.0,28292.0,7039.0,3435.0,3604.0
土家族,738897.0,376988.0,361909.0,436821.0,256057.0,180764.0,28942.0,14457.0,14485.0,16179.0,9251.0,6928.0,115.0,64.0,51.0,4122.0,2135.0,1987.0,210018.0,74575.0,135443.0,42700.0,20449.0,22251.0
哈尼族,139210.0,71781.0,67429.0,98798.0,55410.0,43388.0,2986.0,1439.0,1547.0,1464.0,786.0,678.0,14.0,9.0,5.0,779.0,378.0,401.0,28731.0,10577.0,18154.0,6438.0,3182.0,3256.0
哈萨克族,105349.0,51704.0,53645.0,53387.0,32462.0,20925.0,6943.0,2953.0,3990.0,1863.0,781.0,1082.0,41.0,21.0,20.0,3288.0,1766.0,1522.0,27859.0,8138.0,19721.0,11968.0,5583.0,6385.0
傣  族,105686.0,51535.0,54151.0,74697.0,39509.0,35188.0,2422.0,1115.0,1307.0,609.0,308.0,301.0,9.0,4.0,5.0,1406.0,650.0,756.0,21683.0,7765.0,13918.0,4860.0,2184.0,2676.0
黎  族,115448.0,59780.0,55668.0,71803.0,41066.0,30737.0,5256.0,2006.0,3250.0,1736.0,980.0,756.0,20.0,13.0,7.0,1980.0,1135.0,845.0,21945.0,8041.0,13904.0,12708.0,6539.0,6169.0
傈僳族,57318.0,28463.0,28855.0,40162.0,21508.0,18654.0,731.0,450.0,281.0,1768.0,857.0,911.0,4.0,2.0,2.0,271.0,135.0,136.0,10778.0,3816.0,6962.0,3604.0,1695.0,1909.0
佤  族,33041.0,16466.0,16575.0,25450.0,13554.0,11896.0,772.0,382.0,390.0,384.0,169.0,215.0,5.0,2.0,3.0,96.0,45.0,51.0,5100.0,1793.0,3307.0,1234.0,521.0,713.0
畲  族,54821.0,29895.0,24926.0,34889.0,21941.0,12948.0,1748.0,943.0,805.0,922.0,621.0,301.0,4.0,3.0,1.0,219.0,120.0,99.0,14968.0,5265.0,9703.0,2071.0,1002.0,1069.0
高山族,249.0,119.0,130.0,149.0,87.0,62.0,38.0,8.0,30.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,48.0,17.0,31.0,9.0,5.0,4.0
拉祜族,36230.0,18034.0,18196.0,28125.0,14944.0,13181.0,619.0,264.0,355.0,528.0,287.0,241.0,2.0,1.0,1.0,145.0,74.0,71.0,5466.0,1846.0,3620.0,1345.0,618.0,727.0
水  族,33059.0,16833.0,16226.0,20585.0,11701.0,8884.0,580.0,304.0,276.0,1011.0,555.0,456.0,6.0,4.0,2.0,136.0,75.0,61.0,8968.0,3337.0,5631.0,1773.0,857.0,916.0
东乡族,46815.0,22987.0,23828.0,24778.0,15109.0,9669.0,820.0,444.0,376.0,1290.0,598.0,692.0,4.0,2.0,2.0,407.0,236.0,171.0,14700.0,4401.0,10299.0,4816.0,2197.0,2619.0
纳西族,26765.0,13064.0,13701.0,16880.0,8963.0,7917.0,1609.0,766.0,843.0,266.0,132.0,134.0,10.0,5.0,5.0,313.0,168.0,145.0,5931.0,2216.0,3715.0,1756.0,814.0,942.0
景颇族,11040.0,5196.0,5844.0,7427.0,3821.0,3606.0,238.0,103.0,135.0,136.0,71.0,65.0,1.0,1.0,0.0,102.0,56.0,46.0,2509.0,862.0,1647.0,627.0,282.0,345.0
柯尔克孜族,14884.0,7417.0,7467.0,8002.0,4574.0,3428.0,825.0,450.0,375.0,341.0,139.0,202.0,3.0,1.0,2.0,264.0,137.0,127.0,3767.0,1295.0,2472.0,1682.0,821.0,861.0
土  族,21382.0,10756.0,10626.0,12234.0,7102.0,5132.0,781.0,375.0,406.0,281.0,141.0,140.0,23.0,13.0,10.0,130.0,71.0,59.0,6121.0,2159.0,3962.0,1812.0,895.0,917.0
达斡尔族,10385.0,4942.0,5443.0,5370.0,3097.0,2273.0,1438.0,514.0,924.0,342.0,166.0,176.0,0.0,0.0,0.0,301.0,155.0,146.0,2323.0,727.0,1596.0,611.0,283.0,328.0
仫佬族,19201.0,9639.0,9562.0,11755.0,6672.0,5083.0,999.0,441.0,558.0,259.0,149.0,110.0,8.0,3.0,5.0,84.0,47.0,37.0,5014.0,1810.0,3204.0,1082.0,517.0,565.0
羌  族,26321.0,12985.0,13336.0,16943.0,9284.0,7659.0,1531.0,643.0,888.0,306.0,175.0,131.0,4.0,2.0,2.0,162.0,91.0,71.0,6177.0,2178.0,3999.0,1198.0,612.0,586.0
布朗族,9420.0,4666.0,4754.0,7218.0,3825.0,3393.0,164.0,80.0,84.0,62.0,36.0,26.0,1.0,0.0,1.0,22.0,12.0,10.0,1670.0,587.0,1083.0,283.0,126.0,157.0
撒拉族,10614.0,5385.0,5229.0,4782.0,3069.0,1713.0,279.0,167.0,112.0,134.0,50.0,84.0,1.0,1.0,0.0,137.0,92.0,45.0,3914.0,1369.0,2545.0,1367.0,637.0,730.0
毛南族,8456.0,4255.0,4201.0,5313.0,3018.0,2295.0,357.0,169.0,188.0,147.0,91.0,56.0,4.0,2.0,2.0,39.0,20.0,19.0,2237.0,786.0,1451.0,359.0,169.0,190.0
仡佬族,45566.0,23467.0,22099.0,25103.0,15049.0,10054.0,1154.0,629.0,525.0,912.0,506.0,406.0,15.0,9.0,6.0,306.0,161.0,145.0,15438.0,5797.0,9641.0,2638.0,1316.0,1322.0
锡伯族,15546.0,8105.0,7441.0,8729.0,5274.0,3455.0,1878.0,865.0,1013.0,200.0,112.0,88.0,9.0,8.0,1.0,247.0,132.0,115.0,3417.0,1168.0,2249.0,1066.0,546.0,520.0
阿昌族,3000.0,1488.0,1512.0,2102.0,1135.0,967.0,49.0,36.0,13.0,33.0,19.0,14.0,0.0,0.0,0.0,17.0,9.0,8.0,686.0,232.0,454.0,113.0,57.0,56.0
普米族,3310.0,1667.0,1643.0,2084.0,1139.0,945.0,72.0,44.0,28.0,54.0,33.0,21.0,0.0,0.0,0.0,28.0,16.0,12.0,770.0,273.0,497.0,302.0,162.0,140.0
塔吉克族,3762.0,1894.0,1868.0,2219.0,1246.0,973.0,132.0,96.0,36.0,100.0,40.0,60.0,1.0,1.0,0.0,25.0,16.0,9.0,1043.0,368.0,675.0,242.0,127.0,115.0
怒  族,2617.0,1308.0,1309.0,1701.0,952.0,749.0,70.0,35.0,35.0,91.0,48.0,43.0,0.0,0.0,0.0,9.0,6.0,3.0,484.0,153.0,331.0,262.0,114.0,148.0
乌孜别克族,959.0,493.0,466.0,479.0,294.0,185.0,120.0,59.0,61.0,29.0,11.0,18.0,0.0,0.0,0.0,22.0,13.0,9.0,227.0,76.0,151.0,82.0,40.0,42.0
俄罗斯族,1316.0,603.0,713.0,652.0,351.0,301.0,348.0,127.0,221.0,9.0,2.0,7.0,0.0,0.0,0.0,22.0,14.0,8.0,224.0,76.0,148.0,61.0,33.0,28.0
鄂温克族,2584.0,1211.0,1373.0,1399.0,760.0,639.0,222.0,74.0,148.0,101.0,46.0,55.0,2.0,1.0,1.0,107.0,65.0,42.0,556.0,177.0,379.0,197.0,88.0,109.0
德昂族,1549.0,763.0,786.0,1098.0,606.0,492.0,23.0,10.0,13.0,15.0,3.0,12.0,0.0,0.0,0.0,12.0,6.0,6.0,313.0,100.0,213.0,88.0,38.0,50.0
保安族,1476.0,727.0,749.0,584.0,394.0,190.0,67.0,28.0,39.0,33.0,11.0,22.0,0.0,0.0,0.0,12.0,5.0,7.0,517.0,173.0,344.0,263.0,116.0,147.0
裕固族,1167.0,583.0,584.0,699.0,402.0,297.0,67.0,29.0,38.0,21.0,11.0,10.0,0.0,0.0,0.0,40.0,18.0,22.0,235.0,80.0,155.0,105.0,43.0,62.0
京  族,2322.0,1196.0,1126.0,1270.0,750.0,520.0,166.0,59.0,107.0,38.0,19.0,19.0,0.0,0.0,0.0,18.0,10.0,8.0,590.0,242.0,348.0,240.0,116.0,124.0
塔塔尔族,281.0,144.0,137.0,155.0,92.0,63.0,48.0,22.0,26.0,4.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,53.0,17.0,36.0,18.0,7.0,11.0
独龙族,526.0,256.0,270.0,307.0,167.0,140.0,15.0,3.0,12.0,6.0,2.0,4.0,0.0,0.0,0.0,4.0,3.0,1.0,86.0,30.0,56.0,108.0,51.0,57.0
鄂伦春族,684.0,328.0,356.0,358.0,201.0,157.0,75.0,33.0,42.0,51.0,29.0,22.0,0.0,0.0,0.0,19.0,7.0,12.0,151.0,43.0,108.0,30.0,15.0,15.0
赫哲族,418.0,180.0,238.0,237.0,121.0,116.0,67.0,23.0,44.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,5.0,96.0,33.0,63.0,11.0,2.0,9.0
门巴族,784.0,381.0,403.0,430.0,239.0,191.0,19.0,8.0,11.0,5.0,2.0,3.0,0.0,0.0,0.0,8.0,5.0,3.0,227.0,93.0,134.0,95.0,34.0,61.0
珞巴族,294.0,132.0,162.0,138.0,69.0,69.0,8.0,3.0,5.0,11.0,6.0,5.0,0.0,0.0,0.0,2.0,1.0,1.0,70.0,20.0,50.0,65.0,33.0,32.0
基诺族,2000.0,998.0,1002.0,1469.0,769.0,700.0,81.0,35.0,46.0,23.0,15.0,8.0,1.0,0.0,1.0,5.0,3.0,2.0,359.0,149.0,210.0,62.0,27.0,35.0
未定族称人口,50803.0,26356.0,24447.0,28101.0,16895.0,11206.0,807.0,475.0,332.0,1939.0,1011.0,928.0,8.0,4.0,4.0,268.0,163.0,105.0,15856.0,5850.0,10006.0,3824.0,1958.0,1866.0
入  籍,1194.0,429.0,765.0,669.0,324.0,345.0,17.0,6.0,11.0,9.0,4.0,5.0,0.0,0.0,0.0,6.0,2.0,4.0,401.0,75.0,326.0,92.0,18.0,74.0
