4-1c全国分年龄、性别、受教育程度的6岁及以上人口(乡村)-年龄,单位：人-6岁及以上人口-合计,男,女,未上过学-小计,男.1,女.1,小学-小计,男.2,女.2,初中-小计,男.3,女.3,高中-小计,男.4,女.4,大学专科-小计,男.5,女.5,大学本科-小计,男.6,女.6,研究生-小计,男.7,女.7
21,11495531,5704418,5791113,99625,42646,56979,1225224,542446,682778,7004326,3445416,3558910,1985950.0,1078028.0,907922.0,851449.0,425564.0,425885.0,326270.0,169048.0,157222.0,2687.0,1270.0,1417.0
22,10800034,5316818,5483216,101009,41911,59098,1219087,530782,688305,6817668,3317501,3500167,1667295.0,914657.0,752638.0,724622.0,369504.0,355118.0,264296.0,139601.0,124695.0,6057.0,2862.0,3195.0
23,11560558,5707882,5852676,110745,45634,65111,1333076,577502,755574,7501264,3662674,3838590,1641801.0,912565.0,729236.0,717537.0,372285.0,345252.0,245039.0,132012.0,113027.0,11096.0,5210.0,5886.0
24,10160889,5002513,5158376,108732,43626,65106,1253468,535183,718285,6719628,3276820,3442808,1299501.0,730509.0,568992.0,572227.0,303493.0,268734.0,196154.0,107394.0,88760.0,11179.0,5488.0,5691.0
25-29岁,43333896,21863522,21470374,590975,228275,362700,6299348,2677953,3621395,29478911,14933814,14545097,4642285.0,2706236.0,1936049.0,1706659.0,960298.0,746361.0,578397.0,336809.0,241588.0,37321.0,20137.0,17184.0
25,8898294,4414937,4483357,109882,43063,66819,1178863,502013,676850,5978287,2951713,3026574,1031553.0,588457.0,443096.0,438352.0,239261.0,199091.0,152349.0,85796.0,66553.0,9008.0,4634.0,4374.0
26,8645629,4325959,4319670,110480,42795,67685,1188775,501853,686922,5883258,2942659,2940599,941485.0,544357.0,397128.0,379630.0,212611.0,167019.0,133617.0,77214.0,56403.0,8384.0,4470.0,3914.0
27,8245725,4166297,4079428,113739,44197,69542,1184682,503710,680972,5640696,2862005,2778691,868682.0,506163.0,362519.0,320618.0,181809.0,138809.0,110016.0,64504.0,45512.0,7292.0,3909.0,3383.0
28,9289599,4737346,4552253,130181,49892,80289,1396825,595102,801723,6361409,3271735,3089674,966944.0,569429.0,397515.0,320706.0,183741.0,136965.0,106134.0,63354.0,42780.0,7400.0,4093.0,3307.0
29,8254649,4218983,4035666,126693,48328,78365,1350203,575275,774928,5615261,2905702,2709559,833621.0,497830.0,335791.0,247353.0,142876.0,104477.0,76281.0,45941.0,30340.0,5237.0,3031.0,2206.0
30-34岁,41127246,21089749,20037497,796861,289963,506898,8763393,3697891,5065502,27040360,14288148,12752212,3403359.0,2117347.0,1286012.0,862011.0,532363.0,329648.0,247039.0,155407.0,91632.0,14223.0,8630.0,5593.0
30,8066114,4106881,3959233,142626,52432,90194,1465905,615718,850187,5397332,2800244,2597088,778478.0,470773.0,307705.0,215491.0,127365.0,88126.0,62017.0,37795.0,24222.0,4265.0,2554.0,1711.0
31,8285002,4267436,4017566,147409,55305,92104,1618701,692080,926621,5506257,2898491,2607766,758039.0,466575.0,291464.0,195487.0,118745.0,76742.0,55696.0,34173.0,21523.0,3413.0,2067.0,1346.0
32,8182704,4187732,3994972,160938,58565,102373,1746825,732276,1014549,5369681,2832415,2537266,681837.0,425216.0,256621.0,172466.0,107114.0,65352.0,48365.0,30598.0,17767.0,2592.0,1548.0,1044.0
33,7681139,3957092,3724047,156900,56984,99916,1764570,749043,1015527,5006779,2674479,2332300,574156.0,362972.0,211184.0,137156.0,87104.0,50052.0,39562.0,25277.0,14285.0,2016.0,1233.0,783.0
34,8912287,4570608,4341679,188988,66677,122311,2167392,908774,1258618,5760311,3082519,2677792,610849.0,391811.0,219038.0,141411.0,92035.0,49376.0,41399.0,27564.0,13835.0,1937.0,1228.0,709.0
35-39岁,53000594,27041824,25958770,1255353,424833,830520,14725848,6059690,8666158,33266864,18062263,15204601,3042755.0,2010255.0,1032500.0,549448.0,372802.0,176646.0,152321.0,106885.0,45436.0,8005.0,5096.0,2909.0
35,9244306,4730739,4513567,205865,71752,134113,2380809,994993,1385816,5914157,3178863,2735294,579717.0,376134.0,203583.0,125905.0,83462.0,42443.0,36096.0,24424.0,11672.0,1757.0,1111.0,646.0
36,10224997,5215135,5009862,232103,80070,152033,2748037,1139225,1608812,6486770,3495785,2990985,602731.0,394407.0,208324.0,119750.0,81032.0,38718.0,33937.0,23528.0,10409.0,1669.0,1088.0,581.0
37,10717608,5473112,5244496,254601,86485,168116,2962456,1222564,1739892,6749414,3664897,3084517,610709.0,402927.0,207782.0,109094.0,74125.0,34969.0,29752.0,21108.0,8644.0,1582.0,1006.0,576.0
38,11224784,5708976,5515808,275806,91569,184237,3206586,1305157,1901429,6990636,3808156,3182480,620228.0,412996.0,207232.0,102341.0,70307.0,32034.0,27628.0,19835.0,7793.0,1559.0,956.0,603.0
39,11588899,5913862,5675037,286978,94957,192021,3427960,1397751,2030209,7125887,3914562,3211325,629370.0,423791.0,205579.0,92358.0,63876.0,28482.0,24908.0,17990.0,6918.0,1438.0,935.0,503.0
40-44岁,60967468,30762909,30204559,1812214,543468,1268746,20326772,8186823,12139949,35229903,19558085,15671818,3091964.0,2112924.0,979040.0,399882.0,282779.0,117103.0,100603.0,75024.0,25579.0,6130.0,3806.0,2324.0
40,12821218,6482323,6338895,346307,108852,237455,3960365,1593834,2366531,7705758,4230051,3475707,685811.0,463040.0,222771.0,96500.0,67392.0,29108.0,25043.0,18272.0,6771.0,1434.0,882.0,552.0
41,11874828,6000945,5873883,341741,106057,235684,3924005,1601978,2322027,6899488,3807815,3091673,606838.0,412155.0,194683.0,80162.0,56412.0,23750.0,21305.0,15721.0,5584.0,1289.0,807.0,482.0
42,13151318,6629223,6522095,390169,116553,273616,4448192,1795829,2652363,7544269,4187494,3356775,659570.0,450943.0,208627.0,86049.0,61223.0,24826.0,21781.0,16360.0,5421.0,1288.0,821.0,467.0
43,10877956,5462387,5415569,342961,99806,243155,3768025,1507596,2260429,6167060,3439553,2727507,519546.0,357662.0,161884.0,63825.0,45432.0,18393.0,15552.0,11760.0,3792.0,987.0,578.0,409.0
44,12242148,6188031,6054117,391036,112200,278836,4226185,1687586,2538599,6913328,3893172,3020156,620199.0,429124.0,191075.0,73346.0,52320.0,21026.0,16922.0,12911.0,4011.0,1132.0,718.0,414.0
45-49岁,51965012,26053286,25911726,1946135,495080,1451055,17805075,6691869,11113206,27349908,15452503,11897405,4453651.0,3109949.0,1343702.0,344349.0,252720.0,91629.0,61173.0,48150.0,13023.0,4721.0,3015.0,1706.0
45,11952902,6031951,5920951,401257,112334,288923,4088491,1607129,2481362,6655323,3745931,2909392,713179.0,497632.0,215547.0,77685.0,55868.0,21817.0,15836.0,12313.0,3523.0,1131.0,744.0,387.0
46,11420748,5704121,5716627,408088,108800,299288,3892947,1486840,2406107,6197767,3464379,2733388,829800.0,576513.0,253287.0,76645.0,55600.0,21045.0,14381.0,11281.0,3100.0,1120.0,708.0,412.0
47,13001092,6565805,6435287,459152,116387,342765,4307845,1617307,2690538,6918708,3911872,3006836,1209951.0,841977.0,367974.0,88874.0,65354.0,23520.0,15389.0,12129.0,3260.0,1173.0,779.0,394.0
48,10091893,5051331,5040562,413462,96540,316922,3483757,1257357,2226400,5035578,2878019,2157559,1080786.0,760178.0,320608.0,66961.0,50273.0,16688.0,10477.0,8440.0,2037.0,872.0,524.0,348.0
49,5498377,2700078,2798299,264176,61019,203157,2032035,723236,1308799,2542532,1452302,1090230,619935.0,433649.0,186286.0,34184.0,25625.0,8559.0,5090.0,3987.0,1103.0,425.0,260.0,165.0
50-54岁,39566783,20232839,19333944,2670748,675291,1995457,17914149,7278729,10635420,15096083,9398957,5697126,3634283.0,2683113.0,951170.0,223654.0,174975.0,48679.0,25328.0,20331.0,4997.0,2538.0,1443.0,1095.0
50,6772748,3421871,3350877,349681,87209,262472,2643481,1012638,1630843,2950773,1734017,1216756,781399.0,552054.0,229345.0,41508.0,31438.0,10070.0,5449.0,4262.0,1187.0,457.0,253.0,204.0
51,6277517,3226459,3051058,372322,95335,276987,2645904,1057429,1588475,2530030,1543837,986193,689221.0,499342.0,189879.0,35432.0,26936.0,8496.0,4190.0,3341.0,849.0,418.0,239.0,179.0
52,8293337,4263768,4029569,558396,146412,411984,3753229,1535761,2217468,3155717,1969812,1185905,774302.0,571604.0,202698.0,46077.0,35797.0,10280.0,5110.0,4100.0,1010.0,506.0,282.0,224.0
53,9449980,4865267,4584713,688314,173253,515061,4487909,1854950,2632959,3445180,2207193,1237987,769941.0,583133.0,186808.0,52419.0,41838.0,10581.0,5580.0,4529.0,1051.0,637.0,371.0,266.0
54,8773201,4455474,4317727,702035,173082,528953,4383626,1817951,2565675,3014383,1944098,1070285,619420.0,476980.0,142440.0,48218.0,38966.0,9252.0,4999.0,4099.0,900.0,520.0,298.0,222.0
55-59岁,43874939,22320051,21554888,4506732,1136803,3369929,24933317,11135480,13797837,12271704,8294905,3976799,1965498.0,1587797.0,377701.0,177194.0,148788.0,28406.0,18163.0,15027.0,3136.0,2331.0,1251.0,1080.0
55,9313781,4774246,4539535,800629,199180,601449,4888391,2095922,2792469,2991312,1975156,1016156,580879.0,460616.0,120263.0,47176.0,39086.0,8090.0,4846.0,3970.0,876.0,548.0,316.0,232.0
56,9417420,4794803,4622617,892143,220733,671410,5205456,2281594,2923862,2779573,1855741,923832,492928.0,397307.0,95621.0,42404.0,35477.0,6927.0,4409.0,3677.0,732.0,507.0,274.0,233.0
57,8737472,4431043,4306429,912266,228075,684191,5028334,2251437,2776897,2391953,1620711,771242,368020.0,299952.0,68068.0,33091.0,27863.0,5228.0,3364.0,2769.0,595.0,444.0,236.0,208.0
58,8891021,4521349,4369672,1003902,257288,746614,5271096,2413885,2857211,2279379,1573035,706344,302459.0,248265.0,54194.0,30651.0,26068.0,4583.0,3103.0,2585.0,518.0,431.0,223.0,208.0
59,7515245,3798610,3716635,897792,231527,666265,4540040,2092642,2447398,1829487,1270262,559225,221212.0,181657.0,39555.0,23872.0,20294.0,3578.0,2441.0,2026.0,415.0,401.0,202.0,199.0
60-64岁,32630365,16767381,15862984,4877788,1314414,3563374,20320416,10045451,10274965,6522039,4647732,1874307,791465.0,657355.0,134110.0,105260.0,91561.0,13699.0,11847.0,10077.0,1770.0,1550.0,791.0,759.0
60,7450476,3810093,3640383,966008,262560,703448,4561139,2165821,2395318,1683474,1182256,501218,211269.0,175039.0,36230.0,25540.0,21982.0,3558.0,2668.0,2249.0,419.0,378.0,186.0,192.0
61,7240193,3772173,3468020,1023411,285530,737881,4533754,2256621,2277133,1473095,1053603,419492,183683.0,153772.0,29911.0,23486.0,20417.0,3069.0,2454.0,2067.0,387.0,310.0,163.0,147.0
62,6322463,3250976,3071487,967011,261494,705517,3985572,1989558,1996014,1198979,856388,342591,147851.0,123521.0,24330.0,20508.0,17922.0,2586.0,2248.0,1939.0,309.0,294.0,154.0,140.0
63,6040486,3106080,2934406,968406,259050,709356,3799134,1916539,1882595,1120924,803739,317185,130557.0,108031.0,22526.0,18912.0,16618.0,2294.0,2256.0,1951.0,305.0,297.0,152.0,145.0
64,5576747,2828059,2748688,952952,245780,707172,3440817,1716912,1723905,1045567,751746,293821,118105.0,96992.0,21113.0,16814.0,14622.0,2192.0,2221.0,1871.0,350.0,271.0,136.0,135.0
65-69岁,23202953,11881877,11321076,5053649,1379183,3674466,13716048,7156517,6559531,3818497,2833080,985417,532031.0,441511.0,90520.0,71613.0,62479.0,9134.0,9934.0,8483.0,1451.0,1181.0,624.0,557.0
65,5133347,2608360,2524987,950544,248060,702484,3092506,1554522,1537984,961211,699240,261971,111530.0,91412.0,20118.0,15123.0,13136.0,1987.0,2168.0,1840.0,328.0,265.0,150.0,115.0
66,4923910,2541992,2381918,988347,265706,722641,2938574,1525838,1412736,873790,648604,225186,107200.0,88088.0,19112.0,13800.0,11931.0,1869.0,1958.0,1706.0,252.0,241.0,119.0,122.0
67,4511978,2307614,2204364,996091,270399,725692,2652829,1385238,1267591,741663,551026,190637,105745.0,87470.0,18275.0,13567.0,11783.0,1784.0,1871.0,1591.0,280.0,212.0,107.0,105.0
68,4316685,2215692,2100993,1019315,284681,734634,2515545,1334505,1181040,658681,492949,165732,106323.0,88907.0,17416.0,14704.0,12933.0,1771.0,1900.0,1597.0,303.0,217.0,120.0,97.0
69,4317033,2208219,2108814,1099352,310337,789015,2516594,1356414,1160180,583152,441261,141891,101233.0,85634.0,15599.0,14419.0,12696.0,1723.0,2037.0,1749.0,288.0,246.0,128.0,118.0
70-74岁,18195137,9161562,9033575,5892434,1729479,4162955,10195743,5744293,4451450,1735956,1362973,372983,304077.0,264686.0,39391.0,56153.0,50909.0,5244.0,9771.0,8672.0,1099.0,1003.0,550.0,453.0
70,4073624,2083040,1990584,1138862,331728,807134,2333031,1279069,1053962,493402,379035,114367,91022.0,77872.0,13150.0,14869.0,13297.0,1572.0,2212.0,1914.0,298.0,226.0,125.0,101.0
71,3431600,1736811,1694789,1055468,309176,746292,1951000,1089767,861233,349660,272378,77282,62647.0,54068.0,8579.0,10729.0,9639.0,1090.0,1908.0,1683.0,225.0,188.0,100.0,88.0
72,3811754,1936186,1875568,1248413,371883,876530,2134815,1217246,917569,351781,279321,72460,62570.0,54957.0,7613.0,11849.0,10782.0,1067.0,2114.0,1882.0,232.0,212.0,115.0,97.0
73,3512310,1756513,1755797,1218269,360260,858009,1944633,1112455,832178,289563,230619,58944,47868.0,42247.0,5621.0,9911.0,9129.0,782.0,1880.0,1696.0,184.0,186.0,107.0,79.0
74,3365849,1649012,1716837,1231422,356432,874990,1832264,1045756,786508,251550,201620,49930,39970.0,35542.0,4428.0,8795.0,8062.0,733.0,1657.0,1497.0,160.0,191.0,103.0,88.0
75-79岁,13320630,6230388,7090242,5677561,1630749,4046812,6698155,3826516,2871639,793478,637567,155911,121573.0,108550.0,13023.0,24658.0,22762.0,1896.0,4438.0,3907.0,531.0,767.0,337.0,430.0
75,3114498,1491627,1622871,1215001,349439,865562,1644458,934291,710167,213067,170405,42662,33221.0,29517.0,3704.0,7310.0,6764.0,546.0,1255.0,1128.0,127.0,186.0,83.0,103.0
76,2877252,1360007,1517245,1183054,340124,842930,1481269,845914,635355,179060,143670,35390,26975.0,24019.0,2956.0,5727.0,5315.0,412.0,1017.0,898.0,119.0,150.0,67.0,83.0
77,2837681,1334707,1502974,1223604,354742,868862,1418549,819401,599148,164927,133192,31735,24706.0,22051.0,2655.0,4856.0,4472.0,384.0,880.0,780.0,100.0,159.0,69.0,90.0
78,2398128,1098081,1300047,1082326,309842,772484,1163851,663613,500238,127672,102876,24796,19685.0,17649.0,2036.0,3761.0,3451.0,310.0,697.0,588.0,109.0,136.0,62.0,74.0
79,2093071,945966,1147105,973576,276602,696974,990028,563297,426731,108752,87424,21328,16986.0,15314.0,1672.0,3004.0,2760.0,244.0,589.0,513.0,76.0,136.0,56.0,80.0
80-84岁,7610370,3252284,4358086,3946959,1090885,2856074,3260567,1834465,1426102,333039,264812,68227,57653.0,51424.0,6229.0,9653.0,8726.0,927.0,2107.0,1801.0,306.0,392.0,171.0,221.0
80,2113032,937353,1175679,1031908,293027,738881,956549,542339,414210,103368,83009,20359,17375.0,15583.0,1792.0,3108.0,2818.0,290.0,609.0,527.0,82.0,115.0,50.0,65.0
81,1591793,687411,904382,820147,228932,591215,689091,391059,298032,68824,55169,13655,11334.0,10146.0,1188.0,1891.0,1704.0,187.0,444.0,373.0,71.0,62.0,28.0,34.0
82,1582770,673889,908881,834318,231276,603042,667506,376829,290677,66716,53109,13607,11788.0,10528.0,1260.0,1954.0,1769.0,185.0,397.0,337.0,60.0,91.0,41.0,50.0
83,1279203,531724,747479,685548,185283,500265,529198,294699,234499,52924,41504,11420,9567.0,8509.0,1058.0,1534.0,1390.0,144.0,361.0,310.0,51.0,71.0,29.0,42.0
84,1043572,421907,621665,575038,152367,422671,418223,229539,188684,41207,32021,9186,7589.0,6658.0,931.0,1166.0,1045.0,121.0,296.0,254.0,42.0,53.0,23.0,30.0
85岁及以上,4343842,1563728,2780114,2595671,616312,1979359,1548484,799815,748669,162804,116797,46007,29785.0,25006.0,4779.0,5202.0,4358.0,844.0,1612.0,1327.0,285.0,284.0,113.0,171.0
