BinzhouCityTeachingInstrumentRenewalProjectRuralPrimarySchoolInstrumentProcurementPlan-SerialNumber,BinzhouCityTeachingInstrumentRenewalProjectRuralPrimarySchoolInstrumentProcurementPlan-School(Seal):-Number,BinzhouCityTeachingInstrumentRenewalProjectRuralPrimarySchoolInstrumentProcurementPlan-School(Seal):-Name,"BinzhouCityTeachingInstrumentRenewalProjectRuralPrimarySchoolInstrumentProcurementPlan-Specifications,Model,andFunctionalFeatures",BinzhouCityTeachingInstrumentRenewalProjectRuralPrimarySchoolInstrumentProcurementPlan-Unit,BinzhouCityTeachingInstrumentRenewalProjectRuralPrimarySchoolInstrumentProcurementPlan-ReferenceUnitPrice(RMB),BinzhouCityTeachingInstrumentRenewalProjectRuralPrimarySchoolInstrumentProcurementPlan-TenderUnitPrice(RMB),BinzhouCityTeachingInstrumentRenewalProjectRuralPrimarySchoolInstrumentProcurementPlan-ResponsiblePerson(Signature):-Quantity
56,13001,Thermometer,"Red liquid, 0℃~100℃",piece,1.0,1.76,23～45
57,13002,Thermometer,"Mercury, 0℃~100℃",piece,3.0,2.15,1
58,13010,Thermometer,"Mercury, 35°C~42°C",piece,2.0,3.29,12～23
59,13020,Thermometer,,Only,5.0,3.49,1
60,13021,Maximum Temperature Thermometer,–16℃~＋81℃,piece,12.0,51.77,1
61,13022,Minimum Temperature Thermometer,–52℃~＋41℃,piece,12.0,51.77,1
62,14,Force,,,,,
63,14002,Spring Balance in a Long Box,5N,piece,5.0,2.66,12～23
64,14003,Spring Balance in a Long Box,2.5N,piece,5.0,2.66,12～23
65,14004,Spring Balance in a Long Box,1N,piece,5.0,2.66,12～23
66,15,Electricity,,,,,
67,15011,Multimeter,No less than Grade 2.5,piece,86.0,72.13,1
68,16,Other,,,,,
69,16004,Hygrometer,Analog (with pointer),piece,360.0,,1
70,16007,Compass,,piece,3.0,2.74,12～23
71,16016,Spirometer,Disposable mouthpiece,Unit,300.0,276.33,1～8
72,16022,Rain Gauge,,Set,150.0,214.91,1
73,16025,Cup-type Anemometer,With direct-reading device,Set,960.0,290.13,1～8
74,2,Specialized Instruments,,,,,
75,29,Elementary School Science,,,,,
76,29001,Inclined Plane,,piece,25.0,11.45,12～23
77,29002,Spring Press,,Set,3.0,0.9,12～23
78,29003,Tension Spring,,Set,3.0,0.9,12～23
79,29004,Floating and Sinking Block,"Objects of the same volume but different masses, the same mass but different shapes, and variable masses, etc.",Set,12.0,4.58,12～23
80,29005,Lever Scale and Bracket,,piece,12.0,6.3,12～23
81,29006,Pulley System and Bracket,,Set,20.0,4.83,12～23
82,29007,Axle and Bracket,,Set,20.0,5.48,12～23
83,29008,Gear set and bracket,,Set,20.0,4.83,12～23
84,29009,spring blade,,Set,3.0,1.06,12～23
85,29010,Cart,,piece,18.0,6.63,23～45
86,28007,Globe Instrument,,Unit,130.0,80.96,1
87,29011,Sun Elevation Angle Measuring Instrument,,piece,8.0,5.97,12～23
88,29012,Materials for the Formation of Wind Experiment,,Set,40.0,11.45,12～23
89,29013,Kit for Assembling a Windmill,,Set,35.0,3.68,12～23
90,29014,Assembly Water Wheel Materials,,Set,35.0,4.01,12～23
91,29015,Application Materials for Solar Energy,,Set,180.0,14.4,12～23
92,22001,Tuning fork,256Hz,piece,46.0,22.78,12～23
93,29016,Snare Drum,,piece,35.0,13.74,12～23
94,29017,Assembled Earth Telephone Materials,,Set,15.0,1.15,12～23
95,29018,Thermal Conduction Experiment Materials,"Materials such as wood, metal, plastic, glass, ceramics, cotton, asbestos, etc.",Set,9.0,2.86,12～23
96,29019,Materials for the Experiment on Thermal Expansion and Contraction of Objects,"Metal balls, plastic balls, experimental racks, etc.",Set,25.0,5.48,8～23
97,29020,Socket and Light Bulb,,piece,3.0,2.13,23～45
98,29021,Switch,,piece,2.0,2.04,23～45
99,29022,Experimental materials for the conductivity of objects,,Set,4.0,5.24,12～23
100,24001,Bar Magnet,D-CG-LT-180,Set,16.0,13.28,1
101,29025,Bar Magnet,For Students,Set,9.0,8.06,12～23
102,24002,Horseshoe Magnet,D-CG-LU-80,Set,12.0,6.64,1
103,29028,Horseshoe Magnet,For Students,Set,6.0,5.41,12～23
104,29029,Magnet Needle,,Set,6.0,3.13,12～23
105,29030,Ring Magnet,,Set,6.0,2.09,12～23
106,29031,Electromagnet Assembly Materials,,Set,20.0,3.44,12～23
107,29032,Electromagnet,For Demonstration Use,Set,26.0,16.03,1
108,29033,Hand-Crank Generator,,Set,60.0,16.03,8～23
109,25012,Laser Pointer,,piece,8.0,2.99,12～23
110,29035,Pinhole Imaging Apparatus,Assembled type,Set,18.0,3.59,12～23
111,29036,Plane Mirror and Bracket,,Set,20.0,3.59,12～23
112,29037,Curved Mirror and Bracket,"Convex mirror, concave mirror, etc.",Set,30.0,4.96,12～23
113,29038,"Lenses, prisms, and stands","Convex lens, prism, etc.",Set,40.0,10.94,12～23
114,29039,Imaging Screen and Stand,,Set,15.0,3.42,12～23
115,29040,Insect Observation Box,A magnifying glass with at least 3 times magnification,piece,6.0,3.85,23～45
116,29041,Animal Rearing Cage,,piece,60.0,29.78,1～8
117,29042,Plastic Syringe,30ML,piece,8.0,1.38,23~45
118,22004,Simple Pendulum,a pendulum bob,Set,12.0,4.01,12~23
119,3,Model,,,,,
120,39,Elementary School Science,,,,,
121,39001,Camera Model,Optics,Set,120.0,4.96,1～12
122,39051,Child Skeleton Model,,Unit,100.0,81.0,1~8
123,39052,Child's Dental Model,Toothbrush accessory,Unit,70.0,25.02,1～8
124,39053,Half-body Human Model for Adolescents,,Unit,120.0,54.0,1
125,39054,Eye Structure Model,,Unit,60.0,31.32,1
126,39101,Woodpecker Simulation Model,"Nature is large, made with feathers",piece,42.0,19.8,1
127,39102,Owl Life-size Model,"Nature is large, made with feathers",piece,68.0,27.0,1
128,34001,World Political Atlas Globe,"1：40,000,000",piece,46.0,33.79,1
129,34002,Flat Topographic Globe,"1：40,000,000",piece,46.0,33.79,1～6
130,39151,Seismograph Model,,Unit,500.0,197.12,1
131,39152,Earth Structure Model,,piece,180.0,84.48,1～6
132,39154,South-pointing Chariot Model,,Unit,300.0,47.87,1
133,39156,Lunar Phase Change Model,,piece,200.0,84.48,1
134,4,Specimen,,,,,
135,49,Elementary School Science,,,,,
136,43050,Preserved Bufo Toad Specimen,,bottle,30.0,19.65,8~12
137,43051,Preserved River Mussel Specimen,,bottle,30.0,19.65,8~12
138,43052,Preserved Specimens of Reptiles,Snake or Lizard,bottle,30.0,19.65,8~12
139,43053,Frog Development Sequence Specimen,,bottle,35.0,19.65,8~12
140,43150,Insect Specimen,6 to 7 common beneficial insects and pests each,Set,35.0,19.65,8~12
141,43151,Silkworm Life Cycle Specimen,,Set,35.0,19.65,8~12
142,43152,Rabbit-shaped Specimen,,piece,46.0,26.2,8~12
143,43153,Plant Seed Dispersal Method Specimen,"animal dissemination, elastic force dissemination, wind force dissemination, water force dissemination",Box,32.0,19.65,8~12
144,49001,Natural Material Specimen,"wood, cotton, petroleum, coal, ore, etc.",Set,30.0,14.5,1～8
145,49002,Artificial Material Specimen,"Metal, plastic, glass, ceramic, paper, cloth, density board, cement, etc.",Set,30.0,15.0,1～8
146,49003,Text Sample,,Set,20.0,15.0,1～8
147,49004,Various paper sample specimens,,Set,20.0,15.0,1～8
148,49005,Mineral Specimen,,Set,25.0,13.0,8~12
149,49006,Rock specimen,,Set,25.0,13.0,8~12
150,49007,Metal Mineral Specimen,"Copper, iron, aluminum, tungsten, tin, etc.",Set,25.0,12.0,8~12
151,49008,Soil specimen,,Set,25.0,15.5,8~12
152,49009,Mineral Extraction Specimen,"Petroleum, metal, etc.",Set,20.0,17.4,8~12
,,Slide Specimen,,,,,
154,43201,Longitudinal section of plant root tip,,Piece,2.0,1.31,9～13
155,43206,Cross-section of woody dicot stem,,Piece,2.0,1.31,9～13
156,43250,Herb Stem Cross-Section,,Piece,2.0,1.31,9～13
157,43251,Onion Epidermis Slide,,Piece,2.0,1.31,9～13
158,43252,Transverse section of leaf blade,,Piece,2.0,1.31,9～13
159,43253,Permanent mount of leaf stomata,,Piece,2.0,1.31,9～13
160,43450,Animal Epidermal Cell Slide,,Piece,2.0,1.31,9～13
161,43451,Frog egg cell section,,Piece,2.0,1.31,9～13
162,43550,Osteocyte Section,,Piece,2.0,1.31,9～13
163,43551,Oral Mucosa Cell Slide,,Piece,2.0,1.31,9～13
164,43552,Human Blood Cell Slide,,Piece,2.0,1.31,9～13
165,5,"Charts, Software, and Materials",,,,,
166,59,Elementary School Science,,,,,
167,590,Teaching Charts,,,,,
168,59001,China Administrative Division Map,,Zhang,10.0,6.81,1
169,59002,China Topographic Map,,Zhang,10.0,6.81,1
170,59003,Elementary Science Safety Operation Posters,,Set,110.0,98.56,1
171,59004,Elementary Science Life World Teaching Charts,,Set,120.0,130.1,1
172,59005,Elementary Science Teaching Charts - Material World,,Set,120.0,86.73,1
173,59006,Elementary School Science Earth and Universe Teaching Charts,,Set,120.0,94.62,1
174,59007,History of Science Chart,,Set,120.0,78.85,1
175,59008,Plant Classification Chart,,Set,50.0,15.98,1～12
176,59009,Animal Classification Chart,,Set,50.0,15.98,1～12
177,591,"Teaching slides, slide projector slides",,,,,
178,59101,Elementary Science Life World Teaching Slide Projection Film,,Set,300.0,,1
179,59102,Elementary Science Teaching Slide on the Material World,,Set,300.0,,1
180,59103,Primary School Science Earth and Universe Teaching Slide Projection Film,,Set,300.0,,1
181,593,Multimedia Teaching Software,,,,,
182,59301,Primary School Science Teaching Resource Library,,Set,200.0,175.22,1
183,594,"Books, manuals",,,,,
184,59401,Primary School Science Experiment Instruction Manual,,Set,20.0,42.05,1
185,59402,Elementary School Science Experiment Manual,,Set,20.0,32.12,1
186,6,Glassware,Set of glass instruments,Set,,,
187,60,Measurement,,,,,
188,60004,Graduated cylinder,500mL,piece,13.0,10.87,12～23
189,60012,Graduated cylinder,250mL,piece,12.0,7.37,12～23
190,60061,Glycerin Syringe,30mL,piece,10.0,8.26,12～23
191,61002,test tube,φ15mm×150mm,piece,1.0,0.38,23～92
192,61003,test tube,φ20mm×200mm,piece,1.0,0.66,23～45
193,61021,beaker,50mL,piece,2.0,2.17,23～45
194,61022,beaker,100mL,piece,3.0,2.46,8~12
195,61023,beaker,250mL,piece,4.0,3.12,8~12
196,61024,beaker,500mL,piece,6.0,4.82,8~12
197,61037,Erlenmeyer Flask,"Flat, Long, 250mL",piece,4.0,4.07,23～45
198,61041,Erlenmeyer Flask,"Conical, 100mL",piece,3.0,2.55,8~12
199,62001,Alcohol lamp,150mL,piece,3.0,2.26,12～23
200,62031,Funnel,60mm,piece,2.0,1.69,23～45
201,62072,Y-tube,,piece,1.0,0.94,23～45
202,62073,Pipette,,piece,1.0,0.66,23～45
203,63002,Gas collection bottle,125mL,piece,2.0,2.35,23～45
204,64005,Forceps,,piece,2.0,1.84,12～45
205,64006,Test tube holder,,piece,1.0,1.16,12～23
206,64032,Asbestos Net,,piece,1.0,1.38,12～23
207,64041,Combustion Spoon,,piece,1.0,1.38,12～23
208,64042,spatula,,piece,2.0,0.64,12～23
209,64051,glass tube,φ5～φ6mm,kilogram,16.0,7.99,Appropriate amount
210,64054,Glass rod,φ5～φ6mm,piece,0.5,0.66,23～45
211,64062,Rubber tube,,kilogram,25.0,22.95,Appropriate amount
212,64065,Rubber stopper,,kilogram,20.0,21.12,Appropriate amount
213,64071,Test tube brush,,piece,1.0,0.73,12～23
214,64072,Bottle brush,,piece,2.0,1.38,12～23
215,64085,Petri dish,100mm,piece,4.0,3.29,23～45
216,64088,Evaporating Dish,"Porcelain, 60mm",piece,2.0,2.02,12～23
217,64097,Plastic Measuring Cup,500ML,piece,8.0,4.63,8～23
218,7,Medicine,,,,,
219,70088,Potassium Aluminum Sulfate (Alum),500g/bottle,bottle,0.02,7.92,1
220,72025,alcohol,Industry 5000ml,Bucket,6.6,40.0,1
221,72061,pH Wide Range Test Paper,1~14,This,2.0,1.32,10
222,75003,Potassium Permanganate,500g/bottle,bottle,32.0,17.82,1
223,77011,hydrochloric acid,Reagent 500ml,bottle,10.0,3.96,1
224,8,Other experimental materials and tools,,,,,
225,80,Experimental materials,,,,,
226,80901,General Experimental Materials for Primary School Science,,,140.0,18.32,Appropriate amount
227,80302,Slide Glass,,Box,10.0,4.59,5～10
228,80303,coverslip,,Package,4.0,2.57,18～50
229,81,Tools,,,,,
230,81001,Voltage tester,,piece,4.0,1.89,12~23
231,81002,Flathead screwdriver,,piece,3.0,3.36,12~23
232,81003,Screwdriver with cross head,,piece,3.0,3.36,12~23
233,81004,Needle-nose pliers,,piece,15.0,9.24,8~12
234,81008,Woodworking saw,,piece,35.0,7.7,12~23
235,81012,Steel Hand Saw,,piece,8.0,15.75,1
236,81014,Wire Pliers,,piece,8.0,15.05,12~23
237,81015,Hammer,,piece,8.0,8.96,1
238,81020,Adjustable Wrench,10 inches,piece,12.0,16.1,12~23
239,81024,Soldering Iron,60W，20W,piece,8.0,11.55,2
240,81027,Hand Drill,Ф1mm~13mm,Unit,200.0,312.2,1
241,81032,Scissors,,piece,8.0,8.17,12～23
242,81109,flowerpot,,piece,5.0,3.5,12~23
243,81201,razor blade,,piece,8.0,2.66,12~23
244,81202,plastic bucket,,piece,3.0,7.14,12~23
245,81203,Hand-crank Bell,,piece,10.0,26.6,1~8
246,81204,Handheld Sieve,,piece,45.0,9.1,12~23
247,81205,Watering Can,,piece,12.0,10.5,1~8
248,81206,Hair dryer,,piece,80.0,26.6,1~8
249,81207,Fishing and collection tools,"Specimen clamp, insect net, water net, small iron spade, branch shears, etc.",Set,40.0,24.05,12~23
250,81208,Juicer,,piece,35.0,14.35,12~23
251,Elementary School Mathematics,Elementary School Mathematics,,,,,
251,0,General-purpose,,,,,
252,1,Computer,,,,,
253,1012,Calculator,Simple type,Unit,40.0,14.54,12～35
254,2,General,,,,,
255,1,Measurement,,,,,
256,10,Length,,,,,
257,10007,Tape Measure,2000mm,piece,2.0,0.95,8～23
258,10008,Tape Measure,20m,piece,25.0,22.4,8～23
259,11,Quality,,,,,
260,11006,Balance with Pan,"For demonstration use, 500g, 1g",Unit,85.0,84.09,2
261,11007,Simple Balance,"200g,1g",Unit,46.0,20.53,8～23
262,11018,Platform Scale,,Unit,25.0,93.87,
262,11019,Spring scale platform,"Needle type, 1kg",Unit,75.0,17.97,2
263,11023,spring scale,"Quality unit, 2.5kg",piece,6.0,4.4,2
264,12,Time,,,,,
265,12003,Electronic Stop Watch,0.1s,block,28.0,73.95,4～12
266,2,Specialized Instruments,,,,,
267,20,Mathematics,,,,,
268,20001,Triangle Board,"For demonstration use, 1 each of 60° and 45°",Set,13.0,16.77,12
269,20002,Compass,"For demonstration use, with rubber feet attached",Set,9.0,5.7,4
270,20004,Protractor,"For demonstration use, 0·~180°",piece,10.0,13.44,2
271,20501,Straight Ruler (Specialized),"1m, with four units of meter, decimeter, centimeter, and millimeter respectively.",piece,4.0,5.56,8～23
272,20505,Benchmark,1.6m,piece,12.0,5.39,12~24
273,20506,Measuring Rope,50m,item,16.0,6.83,4~8
274,20507,Plastic Ball,"Three colors, outer diameter no less than 15mm, with opaque bag",Set,13.0,2.16,8～23
275,20508,plastic small ball,"Five colors, outer diameter no less than 5mm",Set,8.0,1.8,8～23
276,20509,Counting Chip,"The circle should be no less than φ15mm, the square no less than 15mm×15mm, the equilateral triangle with side length no less than 15mm, and the thickness of each piece no less than 1mm.",Set,8.0,1.44,45～90
277,20510,Vertical Counter,"For demonstration use, three gears",piece,13.0,10.78,2
278,20511,Vertical Counter,"For demonstration, five gears",piece,24.0,16.17,2
279,20512,Vertical Counter,"For student use, five gears",piece,6.0,2.73,45~90
280,20513,Abacus Demonstration,,piece,30.0,26.96,1
281,20514,Counting Rods,"For demonstration use, 10 pieces per bundle, 10 bundles",Set,3.0,3.59,4
282,20515,Counting Rods,"For student use, length no less than 100mm, outer diameter no less than 1.2mm",Set,8.0,1.8,45~90
283,20516,Geoboard Nail Board,390mm×590mm,Set,28.0,14.38,4
284,20517,Geoboard Nail Board,"Transparent, 200 mm × 200 mm",Set,25.0,5.03,4
285,20518,Geoboard Nail Board,"For student use, no less than 140mm × 140mm",Set,4.0,1.8,45~90
286,20519,Large Building Blocks,,Set,200.0,149.15,2
287,20520,Plastic Plug Block,,Set,8.0,8.99,8～23
288,20521,Plastic Connecting Chain,,Set,8.0,3.95,8～23
289,20522,Digital Dice,"No less than 12mm×12mm×12mm, with different characters on each side face, no less than 3 pieces",Set,1.0,0.58,8～23
290,20523,Blank Dice,"No less than 12mm×12mm×12mm, no less than 2 pieces",Set,1.0,0.58,8～23
291,20524,Number Spindle,"Divide the disc into sections with the center of the circle as the center, each section has different numbers.",Set,25.0,3.95,8～23
292,20525,Color Block Spindle,Divide the disc into different colored sections with the center of the circle as the center.,Set,25.0,3.95,8～23
293,20526,Blank Spindle,,Set,25.0,3.95,8～23
294,20527,Geometric Shape Pieces,"Including square, rectangle, right-angled triangle, equilateral triangle, parallelogram, trapezoid, circle",Set,15.0,0.9,23～45
295,20528,Collection Circle,Folding type,Set,5.0,0.93,45~90
296,20529,Counting Multi-Layer Blocks,"Composed of building blocks in three specifications: 10mm×10mm×10mm, 100mm×10mm×10mm, and 100mm×100mm×10mm",Set,60.0,28.75,8～23
297,20530,Tangram Puzzle,"Seven colors, the composed square is no less than 80mm × 80mm, thickness no less than 1mm",Set,6.0,5.39,45~90
298,20531,Angle Operation Materials,,Set,4.0,0.54,45~90
299,20532,Graphical Transformation Manipulation Materials,,Set,8.0,1.08,45~90
300,20533,Area Measuring Instrument,"Transparent, no less than 100mm × 100mm",piece,2.0,0.9,45~90
301,20534,Materials for Exploring Geometric Shape Area Calculation Formulas,"Square, rectangle, triangle, parallelogram, trapezoid, circle, etc.",Set,14.0,0.9,45~90
302,20535,Materials for Exploring Volume Calculation Formulas of Geometric Solids,"Rectangular prism, cube, cylinder, cone, etc.",Set,26.0,4.13,45~90
303,20536,Electronic Math Practice Device,Rotatable or flipable digits,Set,13.0,5.39,2
304,20537,Fraction Pieces,1~12 Equal Divisions,Set,8.0,1.44,45~90
305,20538,Color Strips for Counting,,Set,4.0,2.16,45~90
306,20539,Plastic Measuring Cup,"Transparent, cylindrical, 2L",piece,8.0,6.76,8～23
307,20540,Plastic Measuring Cup,"Transparent, prism-shaped, 1.5L",piece,8.0,6.49,8～23
308,20541,Plastic Measuring Cup,"Transparent, cup-shaped, 1L",piece,8.0,5.56,8～23
309,20542,Primary School Lower Grades Mathematics Magnetic Teaching Aids,,Set,260.0,152.75,1
310,20543,Magnetic Teaching Aids for Mathematics in Lower Grades of Primary School,,Set,260.0,152.75,1
311,20544,Magnetic Teaching Aids for Higher Grades Mathematics in Primary School,,Set,260.0,152.75,1
312,3,Model,,,,,
313,30,Mathematics,,,,,
314,30501,Clock Model,"For demonstration use, two needles, non-interlocked, 12 o'clock position",Set,17.0,7.04,2
315,30502,Clock Model,"For demonstration, three needles, interlocking, 12-hour display",Set,17.0,8.63,2
316,30503,Clock Model,"For demonstration, three needles, interlocking, 24-hour display",Set,20.0,9.34,2
317,30504,Clock Model,"For student use, two needles, non-interlocking",Set,8.0,2.7,45~90
318,30505,Clock Model,"For student use, three needles, interlocked",Set,8.0,3.59,45~90
319,30506,Geometric Solid Model,"Rectangular prism (general and special), cube, solid cylinder, hollow cylinder, cone (same base and height, same base different height, same height different base), sphere, etc.",Set,50.0,5.93,8～23
320,30507,cubic centimeter block,"Each is monochrome, with no less than 2 color types, 10mm×10mm×10mm, 30 pieces",Set,5.0,3.71,8～23
321,30508,Geometric Solid Surface Area Development Model,"Rectangular prism, cube, cylinder",Set,18.0,1.8,8～23
322,30509,Circular Area and Circumference Formula Derivation Demonstration Model,φ200mm,Set,30.0,14.38,2
323,5,"Charts, Software, and Materials",,,,,
324,50,Mathematics,,,,,
325,500,Teaching Charts (Images),,,,,
326,50051,Item Card,For shopping game use,Set,10.0,6.81,8~23
327,50052,Elementary Mathematics and Algebra Teaching Charts,,Set,245.0,114.38,1
328,50053,Elementary Mathematics Space and Shape Section Teaching Charts,,Set,120.0,86.73,1
329,50054,Elementary Mathematics Statistics and Probability Teaching Charts,,Set,120.0,43.31,1
330,50055,Primary School Mathematics Resource Images,,Set,50.0,31.54,1
331,501,"Teaching slides, slide projector slides",,,,,
332,50151,Elementary Mathematics and Algebra Teaching Transparencies,,Set,300.0,,2
333,50152,Primary School Mathematics Space and Shape Teaching Transparency Sheets,,Set,300.0,,2
334,50153,Primary School Mathematics Statistics and Probability Teaching Transparency Sheets,,Set,300.0,,2
335,50154,Primary School Mathematics Teaching Film Slides,,Set,300.0,,2
336,503,Multimedia Teaching Software,,,,,
337,50351,Primary School Mathematics Teaching Resource Library,For computers,Set,200.0,194.69,1
338,8,Other experimental materials and tools,,,,,
339,81,Tools,,,,,
340,81032,Scissors,,Put,8.0,8.17,8~23
341,81251,Cylindrical Plastic Cup,,Set,8.0,3.71,8~23
342,81252,Square Plastic Cup,,Set,8.0,3.71,8~23
343,81253,Craft knife,,Put,5.0,4.2,8~23
344,81254,Square ruler,,Put,8.0,6.3,8~23
345,83,Self-prepared materials,,,,,
346,83051,"White card paper (with four-way grid), double-sided tape, thread, fine sand, etc.",,,15.0,5.39,Appropriate amount
