客户,商品名称,单位,数量,入库金额（元）,出库金额（元）,毛利（元）
山东威高集团医用高分子制品股份有限公司,复合大豆亲肤被,件,632.0,125030,126400,1370
山东威高集团医用高分子制品股份有限公司,复合大豆亲肤被,件,323.0,63900,64600,700
山东威高集团医用高分子制品股份有限公司,复合大豆亲肤被,件,70.0,13848,14000,152
山东威高集团医用高分子制品股份有限公司,复合大豆亲肤被,件,90.0,17805,18000,195
山东威高集团医用高分子制品股份有限公司,复合大豆亲肤被,件,136.0,26905,27200,295
山东威高集团医用高分子制品股份有限公司,复合大豆亲肤被,件,22.0,4352,4400,48
山东威高集团医用高分子制品股份有限公司,复合大豆亲肤被,件,60.0,11870,12000,130
山东威高集团医用高分子制品股份有限公司,复合大豆亲肤被,件,19.0,3759,3800,41
山东威高健康营养有限公司,复合大豆亲肤被,件,5.0,989,1000,11
山东威高介入医疗科技股份有限公司,复合大豆亲肤被,件,13.0,2572,2600,28
山东威高利彤生物制品有限公司,复合大豆亲肤被,件,62.0,12266,12400,134
山东威高诺润医学检验实验室有限公司,复合大豆亲肤被,件,33.0,6528,6600,72
山东威高诺真生物科技有限公司,复合大豆亲肤被,件,5.0,989,1000,11
山东威高普瑞医药包装有限公司,复合大豆亲肤被,件,3.0,593,600,7
山东威高普瑞医药包装有限公司,复合大豆亲肤被,件,18.0,3561,3600,39
山东威高普瑞医药包装有限公司,复合大豆亲肤被,件,440.0,87046,88000,954
山东威高普瑞医药包装有限公司,复合大豆亲肤被,件,145.0,28686,29000,314
山东威高融资租赁有限公司,复合大豆亲肤被,件,4.0,791,800,9
山东威高瑞科医疗技术有限公司,复合大豆亲肤被,件,30.0,5935,6000,65
山东威高瑞生医疗器械有限公司,复合大豆亲肤被,件,22.0,4352,4400,48
山东威高瑞新医疗技术有限公司,复合大豆亲肤被,件,175.0,34621,35000,379
山东威高肾科医疗器械有限公司,复合大豆亲肤被,件,150.0,29675,30000,325
山东威高手术机器人有限公司,复合大豆亲肤被,件,60.0,11870,12000,130
山东威高四海酿造有限公司,飞天茅台53°,瓶,12.0,19188,35760,16572
山东威高四海酿造有限公司,复合大豆亲肤被,件,45.0,8902,9000,98
山东威高文旅产业发展有限公司,复合大豆亲肤被,件,12.0,2374,2400,26
山东威高物业服务有限公司,富士苹果（75-80#）,斤,93.0,419,419,0
山东威高物业服务有限公司,富士苹果（75-80#）,斤,131.0,590,590,0
山东威高物业服务有限公司,富士苹果（75-80#）,斤,67.0,302,302,0
山东威高物业服务有限公司,富士苹果（80-85#）,箱,10.0,700,700,0
山东威高物业服务有限公司,猕猴桃（箱装）,箱,114.0,3420,3990,570
山东威高物业服务有限公司,维纳斯苹果（85#）,箱,5.0,1300,1500,200
山东威高物业服务有限公司,鳗鱼干,斤,20.0,1700,1814,114
山东威高物业服务有限公司,河豚鱼干,斤,10.0,580,694,114
山东威高物业服务有限公司,猕猴桃（箱装）,箱,67.0,2010,2010,0
山东威高物业服务有限公司,维纳斯苹果（85#）,箱,2.0,320,340,20
山东威高物业服务有限公司,苹果（箱装）,箱,2.0,160,180,20
山东威高物业服务有限公司,富士苹果（80-85#）,箱,10.0,700,700,0
山东威高物业服务有限公司,鳗鱼干,斤,100.0,8500,8600,100
山东威高物业服务有限公司,虫子（箱装）,箱,10.0,23000,23000,0
山东威高物业服务有限公司,胶东饽饽礼盒（盒）,盒,2.0,156,156,0
山东威高物业服务有限公司,风干肠礼盒（箱）,箱,2.0,536,536,0
山东威高物业服务有限公司,威高卤味礼盒（盒）,盒,2.0,516,516,0
山东威高物业服务有限公司,四海新康礼盒,盒,2.0,136,136,0
山东威高物业服务有限公司,草莓柿子（箱装）,箱,129.0,4515,5160,645
山东威高物业服务有限公司,生态嘿猪,盒,5.0,1090,1490,400
山东威高物业服务有限公司,生态嘿猪,盒,8.0,1744,2064,320
山东威高物业服务有限公司,生态嘿猪排骨,箱,8.0,1920,2384,464
山东威高物业服务有限公司,鸡蛋（箱装）,箱,8.0,560,704,144
山东威高物业服务有限公司,鸡蛋（箱装）,箱,7.0,490,546,56
山东威高物业服务有限公司,会飞的鸡,盒,19.0,1964,4902,2938
山东威高物业服务有限公司,生态嘿猪,盒,19.0,8360,9310,950
山东威高物业服务有限公司,鸡蛋（箱装）,箱,19.0,1330,1672,342
山东威高物业服务有限公司,有机蔬菜礼盒,盒,19.0,2052,2812,760
山东威高物业服务有限公司,有机蔬菜礼盒,盒,5.0,540,740,200
山东威高物业服务有限公司,生态嘿猪,盒,5.0,2090,2450,360
山东威高物业服务有限公司,生态嘿猪排骨,箱,5.0,2340,2450,110
山东威高物业服务有限公司,鸡蛋（箱装）,箱,5.0,350,440,90
山东威高物业服务有限公司,海鲜礼盒,箱,205.0,18989,28290,9301
山东威高物业服务有限公司,有机蔬菜礼盒,盒,205.0,18989,22550,3561
山东威高物业服务有限公司,生态嘿猪,盒,20.0,4360,5960,1600
山东威高物业服务有限公司,草莓柿子（箱装）,箱,85.0,2975,3400,425
山东威高物业服务有限公司,故宫御酒500ml,瓶,6.0,2442,2442,0
山东威高物业服务有限公司,威高卤味礼盒（盒）,盒,1.0,300,318,18
山东威高物业服务有限公司,胶东饽饽礼盒（盒）,盒,1.0,78,99,21
山东威高物业服务有限公司,五香猪蹄礼盒B,盒,1.0,258,318,60
山东威高物业服务有限公司,风干肠礼盒（箱）,箱,1.0,268,298,30
山东威高物业服务有限公司,草莓柿子（箱装）,箱,75.0,2625,3000,375
山东威高物业服务有限公司,草莓柿子（箱装）,箱,139.0,4865,5560,695
山东威高物业服务有限公司,故宫御酒500ml,瓶,6.0,2442,2442,0
山东威高物业服务有限公司,威高五香烧鸡礼盒（2只),盒,13.0,2990,3354,364
山东威高物业服务有限公司,胶东饽饽礼盒（盒）,盒,13.0,1014,1287,273
山东威高物业服务有限公司,五香猪蹄礼盒B,盒,13.0,3354,4134,780
山东威高物业服务有限公司,风干肠礼盒（箱）,箱,13.0,3484,3874,390
山东威高物业服务有限公司,福运满堂礼盒,盒,1.0,195,195,0
山东威高物业服务有限公司,高压参,斤,5.0,1600,1972,372
山东威高物业服务有限公司,运费,个,1.0,72,0,(72)
山东威高物业服务有限公司,鸡蛋（箱装）,箱,174.0,10788,11310,522
山东威高物业服务有限公司,鸡蛋（箱装）,箱,19.0,1178,1235,57
山东威高物业服务有限公司,富士苹果（保温箱装）,箱,3.0,135,135,0
山东威高物业服务有限公司,富士苹果85#（袋装）,袋,5.0,200,200,0
山东威高物业服务有限公司,国光苹果75#（保温箱装）,箱,5.0,225,225,0
山东威高物业服务有限公司,国光苹果75#（袋装）,袋,32.0,1280,1280,0
山东威高物业服务有限公司,鸭蛋（10斤）,箱,9.0,702,792,90
山东威高物业服务有限公司,复合大豆亲肤被,件,264.0,52228,52800,572
山东威高物业服务有限公司,复合大豆亲肤被,件,138.0,27301,27600,299
山东威高物业服务有限公司,复合大豆亲肤被,件,3.0,593,600,7
山东威高物业服务有限公司,复合大豆亲肤被,件,4.0,791,800,9
山东威高物业服务有限公司,复合大豆亲肤被,件,2.0,396,400,4
山东威高物业服务有限公司,复合大豆亲肤被,件,1.0,198,200,2
山东威高物业服务有限公司,复合大豆亲肤被,件,3.0,593,600,7
山东威高物业服务有限公司,复合大豆亲肤被,件,1.0,198,200,2
山东威高物业服务有限公司,复合大豆亲肤被,件,1.0,198,200,2
山东威高物业服务有限公司,复合大豆亲肤被,件,1.0,198,200,2
山东威高物业服务有限公司,鸭蛋（10斤）,箱,2.0,160,176,16
山东威高物业服务有限公司,鸭蛋（5斤）,箱,86.0,3182,3870,688
山东威高物业服务有限公司,阿兰颂酒庄干红,瓶,6.0,1788,1950,162
山东威高物业服务有限公司,马茜葡萄酒,瓶,2.0,336,396,60
山东威高物业服务有限公司,鳗鱼干,斤,10.0,850,948,98
山东威高物业服务有限公司,运费,个,1.0,98,0,(98)
山东威高物业服务有限公司,阿兰颂酒庄干红,瓶,6.0,1788,1950,162
山东威高物业服务有限公司,故宫御酒500ml,瓶,2.0,814,814,0
山东威高物业服务有限公司,鸡蛋（10斤）,箱,291.0,18915,18915,0
山东威高物业服务有限公司,鹅蛋（20枚）,箱,207.0,20700,20700,0
山东威高物业服务有限公司,生态嘿猪（5斤）,盒,16.0,2880,3120,240
山东威高物业服务有限公司,鸡蛋（30枚）,箱,25.0,1200,1200,0
山东威高物业服务有限公司,鸡蛋（30枚）,箱,10.0,480,480,0
山东威高物业服务有限公司,有机蔬菜礼盒,盒,50.0,2000,2000,0
山东威高物业服务有限公司,鹅蛋（10斤）,箱,20.0,3300,3800,500
山东威高物业服务有限公司,四海味极鲜（1.27L）,瓶,1300.0,18200,18200,0
山东威高物业服务有限公司,5kg原麦粉（袋）,袋,90.0,2250,2250,0
山东威高物业服务有限公司,2.5kg原麦粉（袋）,袋,500.0,7500,7500,0
山东威高物业服务有限公司,榴莲肉（袋装）,包,306.0,19278,22032,2754
山东威高物业服务有限公司,带字富士苹果（95#）,箱,1.0,120,120,0
山东威高物业服务有限公司,美枣樱桃（大）,斤,4.0,160,160,0
山东威高物业服务有限公司,富士苹果80-85#（斤）,斤,23.0,138,138,0
山东威高物业服务有限公司,美枣樱桃箱装（大）,箱,2.0,400,400,0
山东威高物业服务有限公司,带字富士苹果（95#）,箱,6.0,720,720,0
山东威高物业服务有限公司,美枣樱桃箱装（特大）,箱,6.0,3000,3000,0
山东威高物业服务有限公司,美枣樱桃箱装（中大）,箱,2.0,500,600,100
山东威高物业服务有限公司,美枣樱桃箱装（中大）,箱,4.0,1000,1200,200
山东威高物业服务有限公司,故宫御酒500ml,瓶,6.0,2442,2442,0
山东威高物业服务有限公司,生态嘿猪（5斤）,盒,31.0,5425,6045,620
山东威高物业服务有限公司,鹅蛋（10斤）,箱,27.0,4860,5130,270
山东威高物业服务有限公司,美枣樱桃箱装（中大）,箱,3.0,900,1200,300
山东威高物业服务有限公司,美枣樱桃箱装（特大）,箱,2.0,1103,1103,0
山东威高物业服务有限公司,蜂蜜（1斤）,瓶,4.0,360,392,32
山东威高物业服务有限公司,美枣樱桃箱装（特大）,箱,1.0,500,500,0
山东威高物业服务有限公司,水晶樱桃（1斤）,盒,24.0,960,1320,360
山东威高物业服务有限公司,美枣樱桃箱装（中大）,箱,4.0,1000,1400,400
山东威高物业服务有限公司,蜂蜜（1斤）,瓶,8.0,640,720,80
山东威高物业服务有限公司,蜂蜜（2斤）,瓶,7.0,1120,1190,70
山东威高物业服务有限公司,美枣樱桃（小）,斤,107.0,3210,3424,214
山东威高物业服务有限公司,美枣樱桃箱装（特大）,箱,1.0,500,500,0
山东威高物业服务有限公司,美枣樱桃箱装（特大）,箱,1.0,500,500,0
山东威高物业服务有限公司,美枣樱桃箱装（中大）,箱,1.0,250,380,130
山东威高物业服务有限公司,故宫御酒500ml,瓶,6.0,2442,2442,0
山东威高物业服务有限公司,阿兰颂酒庄干红,瓶,6.0,1788,1950,162
山东威高物业服务有限公司,水晶樱桃（1斤）,盒,33.0,1320,1815,495
山东威高物业服务有限公司,水晶樱桃（箱装）,箱,4.0,840,1100,260
山东威高物业服务有限公司,鸡蛋（10斤）,箱,1.0,65,65,0
山东威高物业服务有限公司,美枣樱桃（大）,斤,5.0,325,325,0
山东威高新生医疗器械有限公司,复合大豆亲肤被,件,1.0,198,200,2
山东威高血液净化制品股份有限公司,复合大豆亲肤被,件,722.0,142835,144400,1565
山东威高血液净化制品股份有限公司,复合大豆亲肤被,件,412.0,81507,82400,893
山东威高血液净化制品股份有限公司,复合大豆亲肤被,件,1.0,198,200,2
山东威高讯通信息科技有限公司,复合大豆亲肤被,件,12.0,2374,2400,26
山东威高药业股份有限公司,复合大豆亲肤被,件,246.0,48667,49200,533
山东威高药业股份有限公司临港区分公司,复合大豆亲肤被,件,73.0,14442,14600,158
山东威高医疗科技有限公司,复合大豆亲肤被,件,4.0,791,800,9
山东威高医疗控股有限公司,复合大豆亲肤被,件,18.0,3561,3600,39
山东威高医学检验技术有限公司,复合大豆亲肤被,件,24.0,4748,4800,52
山东威高医学检验技术有限公司,复合大豆亲肤被,件,70.0,13848,14000,152
山东威高医药包装制品有限公司,复合大豆亲肤被,件,10.0,1978,2000,22
山东威高医药有限公司,复合大豆亲肤被,件,54.0,10683,10800,117
山东威高医药有限公司,复合大豆亲肤被,件,44.0,8705,8800,95
山东威高医药有限公司,复合大豆亲肤被,件,15.0,2967,3000,33
山东威高医药有限公司,复合大豆亲肤被,件,20.0,3957,4000,43
山东威高医用工程有限公司,复合大豆亲肤被,件,89.0,17607,17800,193
山东威高医用工程有限公司,复合大豆亲肤被,件,3.0,593,600,7
山东威高医用工程有限公司,复合大豆亲肤被,件,11.0,2176,2200,24
山东威高医用工程有限公司,复合大豆亲肤被,件,3.0,593,600,7
山东威高医用工程有限公司,复合大豆亲肤被,件,5.0,989,1000,11
山东威锐数据科技有限公司,复合大豆亲肤被,件,3.0,593,600,7
山东威藤医用制品有限公司,复合大豆亲肤被,件,95.0,18794,19000,206
山东维心医疗器械有限公司,复合大豆亲肤被,件,93.0,18398,18600,202
山东兴顺餐饮管理有限公司,非转基因大豆油10L,桶,40.0,5000,5000,0
山东宜惠家贸易有限公司,生态嘿猪,盒,3.0,654,774,120
山东宜惠家贸易有限公司,生态嘿猪排骨,箱,3.0,720,894,174
山东宜惠家贸易有限公司,猕猴桃（箱装）,箱,3.0,205,264,59
山东宜惠家贸易有限公司,鸡蛋（箱装）,箱,3.0,210,264,54
山东宜惠家贸易有限公司,复合大豆亲肤被,件,25.0,4946,5000,54
山东致一堂健康管理服务有限公司,复合大豆亲肤被,件,5.0,989,1000,11
上海宝树医疗科技有限公司,复合大豆亲肤被,件,2.0,396,400,4
上海电镜医疗科技有限公司,复合大豆亲肤被,件,9.0,1780,1800,20
上海固诚医院管理有限公司,复合大豆亲肤被,件,11.0,2176,2200,24
上海济诚医疗器械有限公司,复合大豆亲肤被,件,3.0,593,600,7
上海威高宝龄药业有限公司,复合大豆亲肤被,件,1.0,198,200,2
上海威高医疗技术发展有限公司,复合大豆亲肤被,件,1.0,198,200,2
深圳市金瑞凯利生物科技有限公司,复合大豆亲肤被,件,90.0,17805,18000,195
四川威高甘露医疗管理有限公司,复合大豆亲肤被,件,28.0,5539,5600,61
天津威高分子诊断科技有限公司,复合大豆亲肤被,件,1.0,198,200,2
天津威高军盛科技有限公司,复合大豆亲肤被,件,1.0,198,200,2
天津威高药业有限公司,复合大豆亲肤被,件,90.0,17805,18000,195
威高（荣成）医养服务有限公司,复合大豆亲肤被,件,4.0,791,800,9
威高（山东）信息科技股份有限公司,复合大豆亲肤被,件,21.0,4154,4200,46
威高（苏州）医疗器械研究院有限公司,复合大豆亲肤被,件,8.0,1583,1600,17
威高大禾威瑞外科手术能量系统（威海）有限公司,复合大豆亲肤被,件,69.0,13650,13800,150
威高大禾威瑞外科手术能量系统（威海）有限公司,复合大豆亲肤被,件,1.0,198,200,2
威高大禾威瑞外科手术能量系统（威海）有限公司,复合大豆亲肤被,件,252.0,49854,50400,546
威高大禾威瑞外科手术能量系统（威海）有限公司,复合大豆亲肤被,件,36.0,7122,7200,78
威高大禾威瑞外科手术能量系统（威海）有限公司,复合大豆亲肤被,件,63.0,12463,12600,137
威高大禾威瑞外科手术能量系统（威海）有限公司,复合大豆亲肤被,件,1.0,198,200,2
威高大禾威瑞外科手术能量系统（威海）有限公司,复合大豆亲肤被,件,1.0,198,200,2
威高国科质谱医疗科技（天津）有限公司,复合大豆亲肤被,件,1.0,198,200,2
威高汇诚医疗器械（上海）有限公司,复合大豆亲肤被,件,2.0,396,400,4
威高集团（威海）医用制品材料供应有限公司,复合大豆亲肤被,件,22.0,4352,4400,48
威高集团有限公司,有机蔬菜礼盒,盒,1.0,96,200,104
威高集团有限公司,海鲜礼盒,箱,1.0,765,1100,335
威高集团有限公司,水果礼盒,盒,1.0,700,850,150
威高集团有限公司,鸡蛋（箱装）,箱,1.0,67,88,21
威高集团有限公司,维纳斯苹果（85#）,箱,5.0,800,936,136
威高集团有限公司,防疫家庭健康礼盒,套,12.0,1536,1536,0
威高集团有限公司,维纳斯苹果（85#）,箱,6.0,960,1085,125
威高集团有限公司,维纳斯苹果（85#）,箱,6.0,960,1150,190
威高集团有限公司,维纳斯苹果（85#）,箱,10.0,1600,1904,304
威高集团有限公司,海鲜礼盒,箱,50.0,40000,50000,10000
