学校,学校排名,专业,最低分,最低分位次,录取人数,选科要求
南京大学,,理科试验班类(匡亚明学院大理科班)(鼓楼校区.含化学类，数学类，物理学类，生物科学类，计算机类，天文学类专业),685分,1275名,5人,物+化
南京大学,,理科试验班(数理科学类)(鼓楼校区.含数学与应用数学，信息与计算科学，统计学，物理学，应用物理学，声学，天文学，空间科学与技术，大气科学，应用气象学专业),683分,1564名,5人,物
南京大学,,技术科学试验班(智能软件方向第三，四年学费为16000元年.在南京，苏州两地学习.含数字经济，智能科学与技术(智能化软件，集成电路)专业),682分,1798名,9人,物+化
南京大学,,汉语言文学(鼓楼校区),682分,1826名,9人,史
南京大学,,理科试验班类(化学与生命科学类)(鼓楼校区.含生物科学，生物技术，生态学，化学，应用化学专业),681分,1847名,2人,物+化
南京大学,,社会科学试验班(鼓楼校区含法学，编辑出版学，社会学，社会工作，应用心理学，行政管理，劳动与社会保障，图书馆学，档案学专业),679分,2379名,8人,不限
南京大学,,经济管理试验班(鼓楼校区.含经济学，金融学，金融工程，保险学，经济学(产业经济学方向)，工商管理，市场营销，会计学，财务管理，电子商务，工商管理(人力资源方向)，国际经济与贸易专业),678分,2446名,13人,不限
南京大学,,外国语言文学类(鼓楼校区.含英语，德语，法语，西班牙语专业),677分,2787名,2人,不限
浙江大学,,工科试验班(竺可桢学院图灵班)(含计算机科学与技术，信息安全，人工智能专业),699分,220名,3人,物
浙江大学,,社会科学试验班(智能财务荣誉项目班)(含会计学专业),694分,442名,4人,不限
浙江大学,,社会科学试验班(竺可桢学院人文社科实验班)(含经济学，财政学，金融学，国际经济与贸易，教育学，会计学，工商管理，社会学，农林经济管理，行政管理，劳动与社会保障，土地资源管理，法学专业),694分,450名,5人,不限
浙江大学,,社会科学试验班(数字法治卓越班)(含法学专业),691分,676名,4人,不限
浙江大学,,医学试验班(竺可桢学院巴德年医学班)(含临床医学专业),691分,671名,24人,物+化
浙江大学,,工科试验班(信息)(含计算机科学与技术，信息安全，软件工程，工业设计，光电信息科学与工程，电子科学与技术，微电子科学与工程，信息工程，自动化，生物医学工程专业),686分,1184名,247人,物
浙江大学,,理科试验班类(含商务大数据分析双学士学位项目)(含数学与应用数学，信息与计算科学，统计学，物理学，心理学，信息管理与信息系统专业),683分,1600名,105人,物
浙江大学,,工科试验班(含过程装备与控制工程，车辆工程，能源与环境系统工程，机械工程，电气工程及其自动化，电子信息工程，工程力学，飞行器设计与工程专业),677分,2757名,394人,物
浙江大学,,社会科学试验班(含数字金融双学士学位项目)(含经济学，财政学，金融学，国际经济与贸易，教育学，会计学，工商管理，社会学，农林经济管理，行政管理，劳动与社会保障，土地资源管理，法学专业),676分,2901名,174人,不限
浙江大学,,理科试验班(生命，环境，化学与地学)(含生物科学，生态学，环境工程，环境科学，化学，大气科学，地理信息科学，地质学专业),673分,3858名,130人,物
浙江大学,,人文科学试验班(含古典文献学，汉语言文学，哲学，历史学文物与博物馆学，考古学专业),672分,4122名,80人,史/地
浙江大学,,外国语言文学类(含英语，翻译专业),671分,4422名,28人,不限
浙江大学,,新闻传播学类(含新闻学，传播学专业),670分,4596名,55人,不限
浙江大学,,工科试验班(材料，化工与高分子)(含材料科学与工程，化学工程与工艺，生物工程，高分子材料与工程专业),669分,4999名,166人,物
浙江大学,,工科试验班(建筑与土木)(其中土木，水利与交通工程专业.含建筑学，城乡规划，土木，水利与交通工程专业),668分,5244名,169人,物
浙江大学,,应用生物科学(生工食品)(含农业工程，食品科学与工程专业),668分,5080名,23人,物/化
浙江大学,,应用生物科学(农学)(含农业资源与环境，茶学，农学，植物保护，园林，园艺，动物科学，动物医学专业.其中动物医学专业),664分,6679名,166人,物/化
浙江大学,,工科试验班(海洋)(前两年在紫金港校区，后两年在舟山校区.含海洋工程与技术，海洋科学专业),663分,6937名,104人,物
北京航空航天大学,,工科试验班类(中外合作办学，中法航空试验班)(与法国国立民航大学联合培养.浙江杭州.含电子信息工程，测控技术与仪器，飞行器适航技术，交通运输专业),657分,9139名,60人,物
北京航空航天大学,,工科试验班类(计算机拔尖计划)(学院路校区.含计算机科学与技术专业),686分,1102名,1人,物
北京航空航天大学,,工科试验班类(未来空天领军计划)(学院路校区.含智能飞行器技术，智能感知工程，智能制造工程，飞行器设计与工程，飞行器动力工程，材料科学与工程，交通运输，人工智能，网络空间安全，空天智能电推进技术专业),684分,1387名,4人,物
北京航空航天大学,,理科试验班类(华罗庚数学拔尖计划)(含数学与应用数学计算机科学与技术双学士学位项目.沙河校区.含数学与应用数学专业),684分,1517名,1人,物
北京航空航天大学,,工科试验班类(医工交叉试验班)(学院路校区.含生物医学工程，智能医学工程专业),677分,2831名,3人,物
北京航空航天大学,,工科试验班类(信息类)(沙河校区.含计算机科学与技术，人工智能，虚拟现实技术，智能感知工程，网络空间安全，电子信息工程，通信工程，电子科学与技术，集成电路设计与集成系统，光电信息科学与工程，电磁场与无线技术，交通运输，软件工程，自动化，电气工程及其自动化，机器人工程，信息对抗技术，信息安全，微电子科学与工程，测控技术与仪器，探测制导与控制技术，遥感科学与技术专业),676分,3046名,45人,物
北京航空航天大学,,理科试验班类(国际卓越工程师试验班)(学院路校区.含数学与应用数学，信息与计算科学，工程力学，应用物理学专业),675分,3241名,5人,物
北京航空航天大学,,工科试验班类(航空H航天类)(沙河校区.含智能飞行器技术，飞行器控制与信息工程，智能制造工程，飞行器设计与工程，飞行器动力工程，材料科学与工程，纳米材料与技术，能源与动力工程，工程力学，飞行器环境与生命保障工程，机械工程，飞行器制造工程，微机电系统工程，工业设计，机器人工程，生物医学工程，车辆工程，交通运输，飞行器适航技术，土木工程，飞行器质量与可靠性，安全工程，探测制导与控制技术，无人驾驶航空器系统工程，空天智能电推进技术专业),671分,4394名,25人,物
北京航空航天大学,,理科试验班类(沙河校区.含数学与应用数学，信息与计算科学，统计学，信息安全，应用物理学，核物理，物理学，环境工程，空间科学与技术，化学，应用化学，化学生物学专业),671分,4162名,6人,物
北京航空航天大学,,社会科学试验班(沙河校区.含经济学，行政管理，法学，英语，翻译，德语，法语专业),665分,6252名,6人,不限
复旦大学上海医学院,,临床医学(本博连读，卓越医生计划),696分,324名,4人,物+化
浙江大学医学院,,临床医学(5+3一体化),688分,907名,18人,化+生
浙江大学医学院,,口腔医学(5+3一体化),684分,1436名,16人,化+生
浙江大学医学院,,医学试验班类(含临床医学，口腔医学专业),681分,1913名,25人,化+生
浙江大学医学院,,临床医学(5+3一体化培养，儿科方向),681分,1842名,8人,化+生
浙江大学医学院,,药学类(含药学专业),668分,5275名,48人,物/化/生
浙江大学医学院,,预防医学,668分,5044名,35人,物/化/生
北京师范大学,,数学类(北京校区.含数学与应用数学，统计学，数学与应用数学(励耘实验班)专业),680分,2145名,4人,物
北京师范大学,,人文科学试验班(北京校区含哲学，汉语言文学，英语，传播学，PPE(政治学，经济学与哲学)，汉语言文学(励耘实验班)，哲学(励耘实验班)专业),675分,3168名,9人,不限
北京师范大学,,历史学类(北京校区.含历史学，历史学(励耘实验班)，考古学专业),672分,3939名,3人,史/地
北京师范大学,,教育学类(北京校区.含教育学，教育技术学，学前教育，特殊教育专业),671分,4426名,3人,不限
北京师范大学,,社会科学试验班(北京校区含经济学(励耘实验班)，工商管理(数字企业管理实验班)金融学，金融科技，会计学，国际经济与贸易，法学(卓越实验班)，社会学，人力资源管理，公共事业管理专业),670分,4603名,9人,不限
北京师范大学,,理科试验班(北京校区.含化学，生物科学类，环境科学与工程类，心理学，地理科学类，资源环境科学，化学(励耘实验班)，生物科学(励耘实验班)，地理科学(励耘实验班)专业),668分,5268名,9人,物/化
北京师范大学,,物理学类(北京校区.含物理学，计算机科学与技术，人工智能，信息管理与信息系统，天文学，物理学(励耘实验班)专业),667分,5362名,5人,物
北京师范大学,,戏剧影视文学(要求高考成绩不低于特殊类型招生控制线.北京校区),664分,6698名,3人,不限
南开大学,,理科试验班(数学与大数据)(八里台校区.含数学与应用数学，信息与计算科学，数据科学与大数据技术，统计学专业),672分,4123名,6人,物
南开大学,,金融学类(津南校区.含金融学，保险学，金融工程，精算学，金融科技专业),671分,4257名,5人,不限
南开大学,,法学(津南校区),669分,4944名,7人,不限
南开大学,,经济学类(八里台校区.含经济学，国际经济与贸易，财政学，商务经济学，数字经济专业),668分,5234名,8人,不限
南开大学,,中国语言文学类(八里台校区津南校区.含汉语言文学，新闻学，网络与新媒体，汉语国际教育专业),667分,5647名,7人,不限
南开大学,,口腔医学(津南校区),667分,5314名,3人,物/化/生
南开大学,,临床医学(5十3一体化)(津南校区),667分,5325名,6人,化+生
南开大学,,工科试验班(信息科学与技术)(含人工智能，计算机，新一代智能软件特色培养项目班，信息安全-法学双学位试点班.津南校区.含计算机科学与技术，信息安全，物联网工程，密码科学与技术，自动化，智能科学与技术，软件工程专业),666分,5792名,8人,物
南开大学,,历史学类(津南校区.含历史学世界史，文物与博物馆学专业),666分,5886名,7人,史/地
南开大学,,公共管理类(城市管理专业与英国格拉斯哥大学合作培养津南校区.含政治学与行政学，行政管理，国际政治，社会学，社会工作，城市管理专业),665分,6262名,3人,不限
南开大学,,工商管理类(会计学(国际会计)与加拿大特许专业会计师协会合作培养，主要专业课双语授课;工商管理专业核心课程则采用全英文授课.八里台校区，津南校区.含工商管理，人力资源管理，财务管理，会计学，会计学(国际会计)，市场营销，物流管理，图书馆学，档案学，旅游管理，会展经济与管理专业),665分,6300名,6人,不限
南开大学,,理科试验班(物理与光电信息技术工程)(八里台校区，津南校区.含物理学，应用物理学，光电信息科学与工程，电子信息科学与技术，微电子科学与工程，电子科学与技术，通信工程专业),665分,6051名,8人,物
南开大学,,理科试验班类(物质科学与可持续发展)(八里台校区，津南校区.含生物科学，生物技术，环境科学，环境工程，资源循环科学与工程，药学，药物化学专业),664分,6467名,7人,物/化/生
南开大学,,哲学类(津南校区.含哲学，逻辑学专业),663分,6761名,5人,不限
中山大学,,临床医学(广州校区北校园),688分,918名,2人,物+化
中山大学,,口腔医学(5十3一体化)(广州校区北校园),679分,2357名,2人,物+化
中山大学,,法学(广州校区东校园),674分,3591名,4人,不限
中山大学,,临床医学(深圳)(深圳校区),670分,4620名,15人,物+化
中山大学,,汉语言文学(广州校区南校园),669分,4969名,4人,不限
中山大学,,经济学类(广州校区南校园含经济学，金融学专业),669分,4842名,3人,不限
中山大学,,数学类(珠海)(珠海校区.含数学与应用数学，信息与计算科学专业),667分,5522名,4人,物
中山大学,,人工智能(珠海校区),667分,5592名,6人,物
中山大学,,工商管理类(广州校区东校园.含工商管理，会计学专业),666分,5781名,8人,不限
中山大学,,电子信息类(深圳)(深圳校区含电子信息科学与技术，通信工程专业),666分,5831名,8人,物
中山大学,,历史学(广州校区南校园),666分,5889名,4人,史
中山大学,,智能科学与技术(深圳校区),665分,6056名,10人,物
中山大学,,公共管理类(广州校区东校园含行政管理，政治学与行政学专业),664分,6637名,4人,不限
中山大学,,国际政治(珠海校区),664分,6490名,5人,不限
中山大学,,网络空间安全(深圳校区),664分,6416名,10人,物
中山大学,,物理学(深圳)(深圳校区),664分,6479名,5人,物
中山大学,,哲学(珠海)(珠海校区),663分,6776名,5人,不限
上海财经大学,,会计学,681分,1895名,3人,不限
上海财经大学,,经济学(双学士学位，经济学院和数学学院培养),680分,2056名,1人,不限
上海财经大学,,金融学,679分,2393名,5人,不限
上海财经大学,,经济学,678分,2448名,2人,不限
上海财经大学,,财务管理(智能化方向),676分,3109名,6人,不限
上海财经大学,,数学与应用数学(双学士学位，数学学院和经济学院培养),676分,3063名,2人,物
上海财经大学,,投资学(双学士学位，公管学院和数学学院培养),674分,3378名,3人,不限
上海财经大学,,财政学类(含财政学，税收学专业),673分,3725名,3人,不限
上海财经大学,,金融学(中外合作办学)(银行与国际金融),672分,4060名,5人,不限
上海财经大学,,投资学,671分,4271名,4人,不限
上海财经大学,,法学(双学士学位，法学和金融学),670分,4593名,3人,不限
上海财经大学,,统计学(双学士学位，统计与管理学院和商学院培养),670分,4600名,5人,物
上海财经大学,,数学类(含信息与计算科学，数学与应用数学专业),669分,4933名,3人,物
上海财经大学,,国际经济与贸易,668分,5311名,4人,不限
上海财经大学,,工商管理(中外合作办学)(会计学ACCA),668分,5235名,6人,不限
上海财经大学,,工商管理类(含工商管理(商务分析)，工商管理(战略与创新创业)，人力资源管理，市场营销专业),667分,5628名,4人,不限
上海财经大学,,信息管理与信息系统,667分,5534名,2人,物
上海财经大学,,保险学(保险精算),665分,6001名,3人,物
上海财经大学,,数据科学与大数据技术(工学),665分,6075名,7人,物
上海财经大学,,公共管理类(含行政管理，劳动与社会保障专业),664分,6547名,3人,不限
上海财经大学,,经济学(中外合作办学)(数量经济),664分,6651名,5人,物
上海财经大学,,电子商务,664分,6347名,2人,物
上海财经大学,,新闻学,663分,7008名,2人,不限
西安交通大学,,自动化(钱学森班本研一体)(兴庆校区),680分,2131名,2人,物
西安交通大学,,能源与动力工程(钱学森班本研一体)(兴庆校区),679分,2403名,2人,物
西安交通大学,,人工智能(新工科卓越计划)(兴庆校区),677分,2839名,2人,物
西安交通大学,,计算机科学与技术(国家拔尖计划)(兴庆校区),676分,2939名,2人,物
西安交通大学,,数学与应用数学(国家拔尖计划)(兴庆校区),676分,3015名,3人,物
西安交通大学,,工科试验班(智能电气与信息类专业预选)(兴庆校区.含电气工程及其自动化，能源互联网工程，信息工程，电子科学与技术，微电子科学与工程，物联网工程，计算机科学与技术，自动化，软件工程，网络空间安全，生物医学工程专业),675分,3153名,5人,物
西安交通大学,,临床医学(侯宗濂班本研一体)(兴庆校区),674分,3402名,2人,化+生
西安交通大学,,理科试验班(兴庆校区.含数学与应用数学，信息与计算科学，统计学，材料物理，光电信息科学与工程，应用物理学，化学，应用化学，生物技术，化学(基础学科卓越计划)，生物技术(基础学科卓越计划)专业),669分,4935名,7人,物
西安交通大学,,工科试验班(智能电气与信息类)(兴庆校区.含电气工程及其自动化，能源互联网工程，信息工程，电子科学与技术，微电子科学与工程，物联网工程，计算机科学与技术，自动化，软件工程，网络空间安全，生物医学工程专业),667分,5409名,63人,物
西安交通大学,,工科试验班(智慧能源与智能制造类专业预选)(兴庆校区.含材料科学与工程，飞行器设计与工程，飞行器动力工程，工程力学，化学工程与工艺，过程装备与控制工程，机械工程，智能制造工程，工业设计，车辆工程，测控技术与仪器，能源与动力工程，新能源科学与工程，核工程与核技术，环境工程，人居环境科学与技术专业),666分,5786名,13人,物
西安交通大学,,工科试验班(智慧能源与智能制造类)(兴庆校区.含能源与动力工程，能源与动力工程(热流国际班)，新能源科学与工程，核工程与核技术，环境工程，人居环境科学与技术，化学工程与工艺，过程装备与控制工程，机械工程，智能制造工程，工业设计，车辆工程，飞行器设计与工程，材料科学与工程，工程力学，飞行器动力工程，测控技术与仪器专业),664分,6613名,40人,物
西安交通大学,,工科试验班(经管类)(兴庆校区.含大数据管理与应用，工商管理，工业工程，经济学，财政学，金融学，国际经济与贸易，贸易经济，金融工程，经济统计学，电子商务专业),664分,6724名,9人,物
西安交通大学,,会计学(ACCA)(人学还需一次性缴纳3.9万元的培训费，资料费等费用.兴庆校区),663分,6889名,2人,物
西安交通大学,,工业设计(中外合作办学)(创新港校区),652分,11805名,12人,物
西安交通大学,,建筑学(中外合作办学)(创新港校区),648分,13928名,10人,物
哈尔滨工业大学(深圳),,工科试验班(计算机与电子通信)(哈尔滨工业大学深圳校区.含计算机科学与技术，数据科学与大数据技术，通信工程，光电信息科学与工程专业),677分,2786名,24人,物
哈尔滨工业大学(深圳),,工科试验班(自动化与电气工程)(哈尔滨工业大学深圳校区.含自动化，电气工程及其自动化专业),674分,3441名,14人,物
哈尔滨工业大学(深圳),,工科试验班(机器人与智能装备)(哈尔滨工业大学深圳校区.含机器人工程，机械设计制造及其自动化，电子封装技术，能源与动力工程专业),673分,3815名,10人,物
武汉大学,,口腔医学(本博融通),685分,1279名,2人,物+化
武汉大学,,口腔医学(5+3一体化),682分,1813名,2人,物+化
武汉大学,,法学(含法学，国际法专业),682分,1834名,6人,史
武汉大学,,临床医学(本博融通),681分,1891名,4人,物+化
武汉大学,,计算机科学与技术(弘毅班),680分,2079名,2人,物
武汉大学,,理科试验班(弘毅学堂)(含数学与应用数学，物理学，化学生物科学，地理科学专业),677分,2657名,2人,物+化
武汉大学,,工科试验班(碳中和本硕博试验班)(含水文与水资源工程专业),676分,3016名,2人,物
武汉大学,,临床医学(5+3一体化),676分,2982名,8人,物+化
武汉大学,,金融学类(弘毅学堂数理经济与数理金融试验班)(含经济学，金融学专业),675分,3147名,2人,物/史
武汉大学,,人文科学试验班(弘毅学堂)(含汉语言文学，历史学，哲学类(含哲学，国学)专业),675分,3370名,2人,史
武汉大学,,计算机类(计算机学院)(含计算机科学与技术，人工智能，软件工程专业),674分,3529名,18人,物
武汉大学,,工科试验班(智能电气试验班)(含电气工程及其自动化，自动化，储能科学与工程专业),674分,3416名,3人,物
武汉大学,,计算机类(国家网络安全学院)(含信息安全，网络空间安全，密码科学与技术专业),673分,3705名,12人,物
武汉大学,,数学类(含数学与应用数学，信息与计算科学，统计学，数据科学与大数据技术专业),673分,3635名,4人,物+化
武汉大学,,国际经济与贸易(弘毅学堂数字贸易与金融试验班),672分,3904名,2人,物/史
武汉大学,,经济学类(含经济学，金融工程，国际经济与贸易，财政学，金融学(含国际金融试验班)保险学(含精算试验班)专业),672分,4096名,6人,物/史
武汉大学,,中国语言文学类(含汉语言文学，汉语国际教育专业),671分,4340名,2人,史
武汉大学,,历史学类(含历史学，世界史，考古学专业),671分,4431名,2人,史
武汉大学,,工科试验班(动力与机械类)(含机械设计制造及其自动化智能制造工程，能源与动力工程，核工程与核技术，能源化学工程专业),670分,4480名,4人,物
武汉大学,,工科试验班(电气类)(含电气工程及其自动化，自动化，储能科学与工程专业),670分,4450名,8人,物
武汉大学,,遥感科学与技术(含遥感科学与技术，地理国情监测，空间信息与数字技术专业),669分,4851名,2人,物
武汉大学,,新闻传播学类(含新闻学，广播电视学，广告学，传播学专业),669分,4957名,4人,物/史
武汉大学,,哲学类(含哲学，宗教学专业),669分,5013名,2人,史
武汉大学,,信息管理与信息系统(含大数据管理与应用，信息管理与信息系统，电子商务，图书馆学，档案学，编辑出版学),668分,5174名,2人,物
武汉大学,,测绘类(含测绘工程，导航工程专业),668分,5128名,2人,物
武汉大学,,公共管理类(含行政管理，劳动与社会保障，公共事业管理专业),668分,5251名,4人,物/史
武汉大学,,理科试验班(空间信息与国土资源类)(含地理信息科学，地理科学，土地资源管理专业),668分,5131名,2人,物+化
武汉大学,,电子信息类(含通信工程，电波传播与天线，电子信息工程(含电子信息方向，光电子方向，机器人方向)专业),667分,5384名,20人,物
武汉大学,,外国语言文学类(含英语，法语，德语，日语，西班牙语，俄语，翻译专业),667分,5404名,3人,物/史
武汉大学,,临床医学类(含临床医学专业),667分,5436名,5人,物+化
武汉大学,,物理学类(含物理学，微电子科学与工程专业),667分,5367名,6人,物+化
武汉大学,,生物科学类(含生物科学，生物技术，生态学专业),664分,6362名,3人,物+化
武汉大学,,化学类(含化学，应用化学专业),664分,6536名,4人,物+化
武汉大学,,工商管理类(含工程管理，市场营销，会计学，财务管理，人力资源管理，管理科学，工商管理(含战略与投资试验班)，物流管理(供应链运营方向试验班)专业),663分,7070名,4人,物
武汉大学,,建筑学(中外合作办学),659分,8304名,2人,物
同济大学,,工科试验班(国豪精英班)(工科拔尖人才培养计划.所有工科专业任选，本博贯通培养专业确认后按专业标准收费),685分,1293名,6人,物
同济大学,,计算机科学与技术(计算机科学拔尖学生培养),682分,1786名,4人,物
同济大学,,临床医学(5+3一体化)(本硕衔接培养),679分,2326名,4人,化+生
同济大学,,医学试验班(生物技术和生物信息学为四年制，二年级起学费7700元/年.含临床医学(本博贯通培养)，临床医学，口腔医学，生物技术，生物信息学专业),675分,3211名,3人,化+生
同济大学,,工科试验班(信息类)(含光电信息科学与工程-应用物理学，测绘工程-应用物理学，视觉传达设计-人工智能双学位项目软件工程专业三年级起学费16000元/年，测绘工程专业二年级起学费7700元/年.含计算机科学与技术，信息安全，数据科学与大数据技术，电气工程及其自动化，自动化，通信工程，人工智能，微电子科学与工程，软件工程，测绘工程，光电信息科学与工程专业),674分,3544名,38人,物
同济大学,,工科试验班(建筑规划景观与设计类)(建筑学和城乡规划为五年制.含建筑学，历史建筑保护工程，城乡规划，风景园林，城市设计，工业设计专业),671分,4230名,14人,物
同济大学,,工科试验班(智能化制造与先进材料类)(含能源与动力工程一应用化学双学位项目.建筑环境与能源应用工程专业二年级起学费7700元/年.含新能源材料与器件，材料科学与工程，机械设计制造及其自动化能源与动力工程，智能制造工程，飞行器制造工程，建筑环境与能源应用工程专业),671分,4229名,7人,物
同济大学,,工科试验班(智能交通与车辆类)(含交通工程-数学与应用数学双学位培养项目.车辆工程(汽车)为五年制.含交通工程，交通运输，车辆工程(汽车)，车辆工程专业),670分,4654名,8人,物
同济大学,,人文科学试验班(含德语-政治学与行政学，法学-英语双学位项目.含广播电视学，德语，英语，日语，哲学，文化产业管理，汉语言文学专业),668分,5095名,10人,不限
同济大学,,经济管理试验班(含金融学-数学与应用数学，环境科学-会计学双学位项目.含工程管理，信息管理与信息系统，物流管理，会计学，金融学专业),667分,5525名,11人,物
同济大学,,工科试验班(智慧建造与低碳环境类)(含土木工程-法学，环境科学-会计学，土木工程-数学与应用数学，环境工程-数学与应用数学双学位.含土木工程，智能建造，环境工程，给排水科学与工程，环境科学专业),666分,5666名,16人,物
对外经济贸易大学,,国际经济与贸易(国际组织人才基地班，与法学双学士学位项目),666分,5890名,2人,不限
对外经济贸易大学,,法学类(含法学，法学(与大数据专业双学士学位项目)，法学(涉外型卓越经贸法律人才实验班)专业),664分,6408名,6人,不限
对外经济贸易大学,,经济学类(大类分流时完全按照志愿进行分流.含国际经济与贸易，财政学，税收学专业),664分,6453名,4人,不限
对外经济贸易大学,,供应链管理(与金融学专业双学士学位项目),663分,7058名,2人,不限
对外经济贸易大学,,金融学类(含金融学，金融学(国际金融与市场)，经济与金融，投资学，保险学(含与大数据专业双学士学位项目)专业),662分,7338名,13人,不限
对外经济贸易大学,,工商管理类(大类分流时完全按照志愿进行分流.含会计学，财务管理，人力资源管理，市场营销，工商管理(全球管理实验班)专业),662分,7201名,8人,不限
对外经济贸易大学,,经济统计学,661分,7617名,3人,不限
对外经济贸易大学,,金融工程(量化金融实验班),660分,8168名,4人,物
对外经济贸易大学,,金融工程,660分,8064名,2人,物
对外经济贸易大学,,数字经济,659分,8355名,2人,物
对外经济贸易大学,,精算学,659分,8536名,4人,物
对外经济贸易大学,,金融数学,659分,8273名,3人,物
