2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-民族-民族,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-合计-合计,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-生男孩的-妇女人数,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-生女孩的-妇女人数,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-一孩-小计,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-一孩-男,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-一孩-女,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-二孩-小计,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-二孩-男,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-二孩-女,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-三孩-小计,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-三孩-男,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-三孩-女,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-四孩-小计,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-四孩-男,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-四孩-女,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-五孩及以上-小计,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-五孩及以上-男,2-6全国按民族、生育孩次分的育龄妇女人数(2019.11.1-2020.10.31)-单位：人-五孩及以上-女
哈萨克族,1337.0,693.0,644.0,642.0,326.0,316.0,544.0,290.0,254.0,137.0,71.0,66.0,11.0,5.0,6.0,3.0,1.0,2.0
傣  族,1413.0,716.0,697.0,609.0,317.0,292.0,714.0,353.0,361.0,79.0,42.0,37.0,11.0,4.0,7.0,0.0,0.0,0.0
黎  族,1893.0,994.0,899.0,801.0,404.0,397.0,768.0,416.0,352.0,256.0,135.0,121.0,51.0,28.0,23.0,17.0,11.0,6.0
傈僳族,1052.0,562.0,490.0,442.0,233.0,209.0,432.0,227.0,205.0,128.0,74.0,54.0,27.0,13.0,14.0,23.0,15.0,8.0
佤  族,631.0,343.0,288.0,247.0,133.0,114.0,307.0,170.0,137.0,69.0,38.0,31.0,6.0,1.0,5.0,2.0,1.0,1.0
畲  族,624.0,322.0,302.0,262.0,123.0,139.0,301.0,163.0,138.0,55.0,33.0,22.0,5.0,3.0,2.0,1.0,0.0,1.0
高山族,4.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
拉祜族,662.0,342.0,320.0,259.0,146.0,113.0,304.0,149.0,155.0,84.0,41.0,43.0,12.0,5.0,7.0,3.0,1.0,2.0
水  族,615.0,332.0,283.0,262.0,137.0,125.0,241.0,130.0,111.0,73.0,40.0,33.0,28.0,16.0,12.0,11.0,9.0,2.0
东乡族,1437.0,762.0,675.0,459.0,246.0,213.0,485.0,262.0,223.0,307.0,152.0,155.0,120.0,68.0,52.0,66.0,34.0,32.0
纳西族,350.0,170.0,180.0,194.0,90.0,104.0,143.0,73.0,70.0,12.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0
景颇族,189.0,101.0,88.0,71.0,38.0,33.0,81.0,46.0,35.0,25.0,10.0,15.0,10.0,7.0,3.0,2.0,0.0,2.0
柯尔克孜族,176.0,78.0,98.0,95.0,42.0,53.0,61.0,28.0,33.0,16.0,8.0,8.0,4.0,0.0,4.0,0.0,0.0,0.0
土  族,295.0,146.0,149.0,152.0,70.0,82.0,124.0,67.0,57.0,16.0,7.0,9.0,3.0,2.0,1.0,0.0,0.0,0.0
达斡尔族,127.0,68.0,59.0,70.0,36.0,34.0,51.0,30.0,21.0,4.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0
仫佬族,306.0,176.0,130.0,135.0,77.0,58.0,137.0,74.0,63.0,32.0,24.0,8.0,1.0,0.0,1.0,1.0,1.0,0.0
羌  族,323.0,169.0,154.0,184.0,96.0,88.0,130.0,70.0,60.0,6.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0
布朗族,170.0,90.0,80.0,77.0,42.0,35.0,71.0,41.0,30.0,19.0,6.0,13.0,3.0,1.0,2.0,0.0,0.0,0.0
撒拉族,256.0,150.0,106.0,85.0,56.0,29.0,87.0,48.0,39.0,60.0,34.0,26.0,20.0,10.0,10.0,4.0,2.0,2.0
毛南族,101.0,41.0,60.0,44.0,19.0,25.0,47.0,19.0,28.0,9.0,3.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0
仡佬族,733.0,408.0,325.0,314.0,178.0,136.0,333.0,179.0,154.0,65.0,39.0,26.0,16.0,9.0,7.0,5.0,3.0,2.0
锡伯族,111.0,60.0,51.0,73.0,40.0,33.0,37.0,19.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
阿昌族,58.0,30.0,28.0,20.0,13.0,7.0,31.0,14.0,17.0,6.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
普米族,55.0,29.0,26.0,20.0,10.0,10.0,24.0,11.0,13.0,11.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
塔吉克族,60.0,28.0,32.0,36.0,18.0,18.0,16.0,6.0,10.0,7.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
怒  族,67.0,38.0,29.0,26.0,14.0,12.0,22.0,14.0,8.0,10.0,6.0,4.0,5.0,2.0,3.0,4.0,2.0,2.0
乌孜别克族,13.0,4.0,9.0,7.0,4.0,3.0,4.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
俄罗斯族,16.0,9.0,7.0,10.0,7.0,3.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鄂温克族,43.0,23.0,20.0,31.0,18.0,13.0,11.0,5.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
德昂族,31.0,19.0,12.0,12.0,6.0,6.0,15.0,10.0,5.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
保安族,55.0,31.0,24.0,20.0,11.0,9.0,23.0,15.0,8.0,7.0,2.0,5.0,3.0,2.0,1.0,2.0,1.0,1.0
裕固族,5.0,2.0,3.0,4.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
京  族,62.0,38.0,24.0,26.0,16.0,10.0,21.0,15.0,6.0,11.0,5.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0
塔塔尔族,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
独龙族,13.0,5.0,8.0,3.0,1.0,2.0,8.0,2.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鄂伦春族,9.0,7.0,2.0,7.0,6.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
赫哲族,4.0,3.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
门巴族,18.0,10.0,8.0,9.0,7.0,2.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0
珞巴族,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
基诺族,21.0,10.0,11.0,9.0,2.0,7.0,10.0,7.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
未定族称人口,911.0,511.0,400.0,347.0,183.0,164.0,361.0,214.0,147.0,141.0,85.0,56.0,46.0,23.0,23.0,16.0,6.0,10.0
入  籍,53.0,28.0,25.0,34.0,18.0,16.0,14.0,7.0,7.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
