Style,Series,OrderSummary-OrderSKU,OrderSummary-OrderQuantity,OrderSummary-PickedSKU,OrderSummary-Picked-upQuantity,OrderSummary-UnpickedSKU,OrderSummary-UnclaimedQuantity,OrderSummary-WarehouseQuantity,OrderSummary-StoreQuantity,OrderSummary-ShippingQuantity,OrderSummary-SalesQuantity,NewStyle-OrderSKU,NewStyle-OrderQuantity,NewStyle-PickedSKU,NewStyle-Picked-upQuantity,NewStyle-UnpickedSKU,NewStyle-UnclaimedQuantity,NewStyle-WarehouseQuantity,NewStyle-StoreQuantity,NewStyle-ShippingQuantity,NewStyle-SalesQuantity,ReservedItems-CountItem:ProductNumber\ColorCode,SumItem:OrderQuantity,SumItem:PickedSKU,SumItem:QuantityPickedUp,SumItem:UnpulledSKU,SumItem:UnpulledQuantity,SumItem:WarehouseQuantity,SumItem:StoreQuantity,SumItem:DeliveryQuantity,SumItem:SalesQuantity,Sell-throughrate,Stock-to-salesratio
,Bra,3,360,,,3.0,360,10.0,110.0,13.0,44.0,,,,,,,,,,,3.0,360.0,,,3.0,360.0,10.0,110.0,13.0,44.0,12%,12.0
,Casual,26,808,21.0,616.0,5.0,192,222.0,380.0,456.0,36.0,26.0,808.0,21.0,616.0,5.0,192.0,222,380.0,456.0,36.0,,,,,,,,,,,4%,57.0
,Slim-fit,14,755,14.0,739.0,,16,250.0,457.0,544.0,96.0,14.0,755.0,14.0,739.0,,16.0,250,457.0,544.0,96.0,,,,,,,,,,,13%,27.0
,Professional,16,2425,7.0,1584.0,9.0,841,431.0,983.0,1216.0,182.0,16.0,2425.0,7.0,1584.0,9.0,841.0,431,983.0,1216.0,182.0,,,,,,,,,,,8%,28.0
,Fitness Yoga,40,3123,35.0,1569.0,5.0,1554,986.0,1750.0,1388.0,579.0,7.0,120.0,3.0,36.0,4.0,84.0,36,,,,33.0,3003.0,32.0,1533.0,1.0,1470.0,950.0,1750.0,1388.0,579.0,19%,19.0
,Fitness Accessories,42,905,36.0,688.0,6.0,217,965.0,674.0,493.0,239.0,,,,,,,,,,,42.0,905.0,36.0,688.0,6.0,217.0,965.0,674.0,493.0,239.0,26%,25.0
Indoor Sports Summary,,176,9836,136.0,5995.0,40.0,3841,3106.0,4890.0,4780.0,1392.0,92.0,4968.0,65.0,3578.0,27.0,1390.0,1087,2196.0,2701.0,423.0,84.0,4868.0,71.0,2417.0,13.0,2451.0,2019.0,2694.0,2079.0,969.0,14%,22.0
Water Sports,Free Flower Language,3,600,2.0,258.0,1.0,342,174.0,,,,3.0,600.0,2.0,258.0,1.0,342.0,174,,,,,,,,,,,,,,0%,
,Blue Sea Holiday,3,800,3.0,750.0,,50,83.0,592.0,663.0,30.0,3.0,800.0,3.0,750.0,,50.0,83,592.0,663.0,30.0,,,,,,,,,,,4%,19.0
,Fruit Color Youth,4,1260,2.0,429.0,2.0,831,308.0,,3.0,,4.0,1260.0,2.0,429.0,2.0,831.0,308,,3.0,,,,,,,,,,,,0%,
,Euro-continental Style Series,4,920,,,4.0,920,,,,,4.0,920.0,,,4.0,920.0,,,,,,,,,,,,,,,0%,
,Countryside Style Series,4,1450,4.0,1092.0,,358,226.0,837.0,870.0,16.0,4.0,1450.0,4.0,1092.0,,358.0,226,837.0,870.0,16.0,,,,,,,,,,,1%,54.0
,Separate Briefs,2,560,2.0,511.0,,49,16.0,449.0,499.0,27.0,2.0,560.0,2.0,511.0,,49.0,16,449.0,499.0,27.0,,,,,,,,,,,5%,15.0
,Mature Series,2,440,2.0,382.0,,58,180.0,131.0,156.0,11.0,2.0,440.0,2.0,382.0,,58.0,180,131.0,156.0,11.0,,,,,,,,,,,3%,23.0
,Fashion Sports,6,605,3.0,274.0,3.0,331,166.0,,,,6.0,605.0,3.0,274.0,3.0,331.0,166,,,,,,,,,,,,,,0%,
,Children's swim trunks,5,1640,2.0,481.0,3.0,1159,229.0,973.0,787.0,75.0,3.0,940.0,,,3.0,940.0,(16),16.0,16.0,,2.0,700.0,2.0,481.0,,219.0,245.0,957.0,771.0,75.0,5%,14.0
,Children's swimsuit,5,1365,5.0,850.0,,515,236.0,842.0,882.0,88.0,3.0,685.0,3.0,565.0,,120.0,68,430.0,498.0,28.0,2.0,680.0,2.0,285.0,,395.0,168.0,412.0,384.0,60.0,6%,11.0
,Swim Trunks,12,7750,12.0,4734.0,,3016,1118.0,4752.0,4850.0,796.0,6.0,3650.0,6.0,2000.0,,1650.0,388,1484.0,1659.0,68.0,6.0,4100.0,6.0,2734.0,,1366.0,730.0,3268.0,3191.0,728.0,10%,7.0
,Swim Accessories,93,24650,60.0,7523.0,33.0,17127,3844.0,7690.0,6616.0,1445.0,18.0,3940.0,,,18.0,3940.0,,,,,75.0,20710.0,60.0,7523.0,15.0,13187.0,3844.0,7690.0,6616.0,1445.0,6%,7.0
,Beach,4,600,2.0,158.0,2.0,442,92.0,,,,4.0,600.0,2.0,158.0,2.0,442.0,92,,,,,,,,,,,,,,0%,
,Beach Accessories,8,720,2.0,60.0,6.0,660,48.0,,,,6.0,620.0,2.0,60.0,4.0,560.0,48,,,,2.0,100.0,,,2.0,100.0,,,,,0%,
Water Sports Summary,,155,43360,101.0,17502.0,54.0,25858,6720.0,16266.0,15326.0,2488.0,68.0,17070.0,31.0,6479.0,37.0,10591.0,1733,3939.0,4364.0,180.0,87.0,26290.0,70.0,11023.0,17.0,15267.0,4987.0,12327.0,10962.0,2308.0,6%,8.0
Total,,379,64501,278.0,32041.0,101.0,32460,12594.0,27272.0,27053.0,5287.0,182.0,31582.0,113.0,17599.0,69.0,13983.0,4239,10930.0,13349.0,1879.0,197.0,32919.0,165.0,14442.0,32.0,18477.0,8355.0,16342.0,13704.0,3408.0,8%,28.0
