10000-Region,StoreAbbreviation,JanuarytoDate-LastYearSales-Quantity,JanuarytoDate-LastYearSales-TagPriceAmount,JanuarytoDate-LastYearSales-SalesValue,JanuarytoDate-LastYearSales-Discount,JanuarytoDate-ThisYear'sSales-Quantity,JanuarytoDate-ThisYear'sSales-TagPriceAmount,JanuarytoDate-ThisYear'sSales-SalesValue,JanuarytoDate-ThisYear'sSales-Discount,JanuarytoDate-DiscountComparison-DiscountComparison,JanuarytoDate-SalesComparison-SalesComparison,JanuarySales-LastYearSales-Quantity,JanuarySales-LastYearSales-TagPriceAmount,JanuarySales-LastYearSales-SalesValue,JanuarySales-LastYearSales-Discount,JanuarySales-ThisYear'sSales-Quantity,JanuarySales-ThisYear'sSales-TagPriceAmount,JanuarySales-ThisYear'sSales-SalesValue,JanuarySales-ThisYear'sSales-Discount,JanuarySales-DiscountComparison-DiscountComparison,JanuarySales-SalesComparison-SalesComparison,FebruarySales-LastYearSales-Quantity,FebruarySales-LastYearSales-TagPriceAmount,FebruarySales-LastYearSales-SalesValue,FebruarySales-LastYearSales-Discount,FebruarySales-ThisYear'sSales-Quantity,FebruarySales-ThisYear'sSales-TagPriceAmount,FebruarySales-ThisYear'sSales-SalesValue,FebruarySales-ThisYear'sSales-Discount,FebruarySales-DiscountComparison-DiscountComparison,FebruarySales-SalesComparison-SalesComparison,MarchSales-LastYearSales-Quantity,MarchSales-LastYearSales-TagPriceAmount,MarchSales-LastYearSales-SalesValue,MarchSales-LastYearSales-Discount,MarchSales-ThisYear'sSales-Quantity,MarchSales-ThisYear'sSales-TagPriceAmount,MarchSales-ThisYear'sSales-SalesValue,MarchSales-ThisYear'sSales-Discount,MarchSales-DiscountComparison-DiscountComparison,MarchSales-SalesComparison-SalesComparison,AprilSales-LastYearSales-Quantity,AprilSales-LastYearSales-TagPriceAmount,AprilSales-LastYearSales-SalesValue,AprilSales-LastYearSales-Discount,AprilSales-ThisYear'sSales-Quantity,AprilSales-ThisYear'sSales-TagPriceAmount,AprilSales-ThisYear'sSales-SalesValue,AprilSales-ThisYear'sSales-Discount,AprilSales-DiscountComparison-DiscountComparison,AprilSales-SalesComparison-SalesComparison,MaySales-LastYearSales-Quantity,MaySales-LastYearSales-TagPriceAmount,MaySales-LastYearSales-SalesValue,MaySales-LastYearSales-Discount,MaySales-ThisYear'sSales-Quantity,MaySales-ThisYear'sSales-TagPriceAmount,MaySales-ThisYear'sSales-SalesValue,MaySales-ThisYear'sSales-Discount,MaySales-ThisYear'sSales-Stock-to-salesratio,MaySales-ProjectedSales-ProjectedSales,MaySales-ProjectedAmount-ProjectedAmount,MaySales-DiscountComparison-DiscountComparison,MaySales-SalesComparison-SalesComparison,MaySales-Inventory-Inventory
,(Guang) Shantou Parkson Department Store Sports Lingerie Shop,730.0,17,13,,662.0,16.52,13.35,,,,221.0,6.37,4.36,,245.0,6.5,5.5,,,,137.0,3.62,2.54,,125.0,4.07,2.96,,,,175.0,3.39,3.13,,145.0,3.05,2.32,,,,141.0,2.6,2.29,,101.0,1.95,1.62,,,,205.0,3.55,3.16,,46.0,0.95,0.94,,,,,,,39.87
,(Nanhai) Guangchang Lingerie Store,665.0,15,13,,690.0,17.44,13.21,,,,309.0,7.66,6.98,,302.0,8.82,7.54,,,,117.0,2.73,2.05,,98.0,3.42,2.2,,,,165.0,3.41,2.67,,174.0,3.47,1.99,,,,59.0,1.26,1.09,,105.0,1.56,1.36,,,,156.0,2.84,2.49,,11.0,0.17,0.12,,,,,,,68.07
,Guangdong Panyu Yifa Department Store Lingerie Shop,1806.0,43,30,,958.0,22.99,14.97,,,,566.0,18.52,13.65,,387.0,10.55,7.04,,,,411.0,8.77,6.48,,124.0,3.57,2.33,,,,574.0,11.42,6.57,,234.0,5.14,2.99,,,,238.0,3.93,3.14,,153.0,2.66,1.93,,,,519.0,9.16,5.84,,60.0,1.08,0.68,,,,,,,48.93
,Guangdong Foshan Jusco Water Sports Store,,0,0,,31.0,0.6,0.22,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,31.0,0.6,0.22,,,,9.0,0.18,0.09,,,0.0,0.0,,,,,,,15.66
,Guangdong Foshan Shunde Daliang Jizhidian Water Sports Store,,0,0,,4.0,0.05,0.03,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,4.0,0.05,0.03,,,,,0.0,0.0,,,0.0,0.0,,,,,,,17.36
,Guangzhou Beijing Road Xin Daxin Lingerie Store,862.0,22,13,,890.0,24.74,12.27,,,,446.0,13.27,7.69,,448.0,13.17,6.02,,,,189.0,4.34,2.5,,198.0,6.08,3.04,,,,149.0,2.71,1.63,,167.0,4.29,2.43,,,,62.0,1.21,0.82,,77.0,1.19,0.78,,,,113.0,1.77,1.01,,,0.0,0.0,,,,,,,37.07
,Guangzhou Dongfang Baotai Jizhi Island Water Sports Store,,0,0,,154.0,2.86,1.33,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,154.0,2.86,1.33,,,,5.0,0.09,0.04,,,0.0,0.0,,,,,,,17.1
,Guangzhou Dongshan Department Store Lingerie Shop,2750.0,70,34,,3461.0,93.41,44.53,,,,1043.0,29.53,14.92,,1782.0,47.49,21.59,,,,627.0,13.95,6.29,,752.0,22.58,10.49,,,,558.0,15.6,6.79,,589.0,16.82,8.15,,,,421.0,9.31,4.8,,338.0,6.52,4.3,,,,748.0,14.89,7.61,,,0.0,0.0,,,,,,,112.01
,Guangzhou Dongshan Plaza Xin Daxin Lingerie Store,919.0,18,10,,778.0,17.0,9.23,,,,460.0,10.13,5.68,,343.0,8.02,4.15,,,,176.0,3.13,1.99,,201.0,4.59,2.44,,,,166.0,2.79,1.55,,133.0,2.76,1.57,,,,102.0,1.4,0.98,,87.0,1.41,0.91,,,,231.0,3.29,2.02,,14.0,0.22,0.15,,,,,,,47.12
,Guangzhou Panyu Friendship Mansion Lingerie Store,868.0,20,14,,1680.0,48.65,29.13,,,,251.0,7.97,6.03,,787.0,23.87,13.93,,,,199.0,4.22,3.1,,245.0,8.56,5.36,,,,273.0,5.17,3.1,,348.0,9.84,5.48,,,,129.0,2.32,1.83,,211.0,4.36,3.04,,,,261.0,5.34,3.77,,89.0,2.02,1.32,,,,,,,91.9
,Guangzhou Guangbai Department Store Lingerie Shop,1218.0,25,16,,1395.0,33.28,18.76,,,,456.0,12.11,7.5,,451.0,10.19,6.08,,,,340.0,6.42,4.11,,747.0,19.36,10.41,,,,222.0,3.99,2.34,,92.0,1.82,1.12,,,,158.0,2.07,1.42,,72.0,1.42,0.84,,,,210.0,2.93,1.76,,33.0,0.5,0.31,,,,,,,30.35
,Guangzhou Huadiwan Dongshan Department Store Lingerie Shop,1077.0,20,11,,1121.0,24.2,12.21,,,,378.0,9.01,4.69,,497.0,11.01,5.29,,,,364.0,5.47,2.74,,262.0,6.75,3.14,,,,135.0,2.16,1.22,,176.0,3.52,1.87,,,,145.0,2.52,1.44,,186.0,2.93,1.91,,,,209.0,3.81,2.02,,,0.0,0.0,,,,,,,36.15
,Guangzhou Huadu Guangbai Sports Lingerie Store,,0,0,,402.0,9.13,6.26,,,,,0.0,0.0,,163.0,4.08,2.72,,,,,0.0,0.0,,102.0,2.56,1.89,,,,,0.0,0.0,,63.0,1.35,0.82,,,,,0.0,0.0,,63.0,1.02,0.73,,,,,0.0,0.0,,11.0,0.12,0.1,,,,,,,30.8
,Guangzhou Taojin Friendship Water Sports Season Store,,0,0,,2.0,0.02,0.02,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,2.0,0.02,0.02,,,,,0.0,0.0,,,0.0,0.0,,,,,,,31.86
,Guangzhou Tianhe Park Wanjia Sports Lingerie Store,897.0,19,17,,1010.0,25.51,18.97,,,,286.0,8.33,8.18,,435.0,12.03,11.04,,,,228.0,4.8,4.64,,178.0,4.75,3.11,,,,144.0,2.0,1.3,,218.0,6.49,2.75,,,,225.0,3.42,2.28,,146.0,1.86,1.71,,,,172.0,2.64,2.14,,33.0,0.38,0.36,,,,,,,30.38
,Guangzhou Tianhe Jusco Water Sports Store,,0,0,,60.0,0.92,0.54,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,60.0,0.92,0.54,,,,,0.0,0.0,,,0.0,0.0,,,,,,,17.89
,Guangzhou Xintang Wanjia Sports Lingerie Store,576.0,12,12,,616.0,10.65,10.17,,,,260.0,6.55,6.36,,344.0,6.15,6.61,,,,153.0,3.1,3.13,,52.0,1.28,0.91,,,,76.0,1.25,0.95,,68.0,1.13,0.73,,,,81.0,1.15,1.01,,100.0,1.37,1.2,,,,112.0,1.57,1.25,,52.0,0.72,0.72,,,,,,,25.65
,Guangzhou Zhonghuan Jizhidao Sports Apparel Store,,0,0,,387.0,7.52,4.6,,,,,0.0,0.0,,151.0,2.99,1.82,,,,,0.0,0.0,,109.0,2.58,1.55,,,,,0.0,0.0,,63.0,1.12,0.62,,,,,0.0,0.0,,64.0,0.84,0.61,,,,,0.0,0.0,,,0.0,0.0,,,,,,,28.94
Guangzhou Zone 1 Summary,,18610.0,420,276,,23417.0,577.03,353.4,,,,6829.0,193.33,130.78,,10088.0,268.58,172.38,,,,4327.0,88.37,59.42,,4782.0,135.91,77.59,,,,3956.0,77.99,44.39,,4225.0,101.37,54.99,,,,2774.0,48.49,33.57,,3747.0,60.83,40.27,,,,4675.0,81.23,55.11,,575.0,10.34,8.17,,,,,,,
Guangzhou District 2,(Guang) Dongguan Wancheng Tianhe Department Store Sports Lingerie Store,441.0,12,11,,445.0,9.52,6.54,,,,273.0,8.26,7.89,,204.0,5.27,4.16,,,,66.0,1.59,1.39,,63.0,1.59,0.8,,,,31.0,0.68,0.58,,106.0,1.63,1.01,,,,63.0,0.9,0.8,,72.0,1.04,0.58,,,,49.0,0.76,0.66,,,0.0,0.0,,,,,,,9.08
,(Guang) Dongguan Chang'an Tianhong Lingerie Store,329.0,7,4,,318.0,7.76,3.64,,,,162.0,4.15,2.47,,133.0,4.59,2.16,,,,49.0,0.91,0.49,,40.0,1.1,0.49,,,,20.0,0.34,0.22,,79.0,1.17,0.58,,,,41.0,0.65,0.36,,66.0,0.9,0.42,,,,57.0,0.77,0.54,,,0.0,0.0,,,,,,,26.84
,(Guang) Guangdong Dongguan Houjie Mingfeng Plaza Lingerie Store,550.0,12,12,,415.0,10.33,8.81,,,,201.0,6.08,6.05,,191.0,5.79,5.31,,,,43.0,0.74,0.47,,34.0,1.24,0.78,,,,94.0,1.62,1.78,,85.0,1.68,1.35,,,,172.0,2.89,2.85,,105.0,1.62,1.36,,,,158.0,2.58,1.99,,,0.0,0.0,,,,,,,50.58
,(Guang) Dongguan Houjie Tianhong Lingerie Store,171.0,4,3,,105.0,2.04,1.33,,,,97.0,2.79,2.45,,17.0,0.49,0.44,,,,22.0,0.36,0.18,,23.0,0.54,0.5,,,,29.0,0.42,0.16,,25.0,0.41,0.17,,,,16.0,0.24,0.19,,40.0,0.59,0.22,,,,31.0,0.63,0.54,,,0.0,0.0,,,,,,,37.49
,(Guang) Dongguan Humen Tianhong Sport Lingerie Store,282.0,6,4,,248.0,5.85,4.08,,,,159.0,4.22,2.42,,105.0,3.09,2.14,,,,59.0,1.16,0.72,,44.0,1.37,0.76,,,,26.0,0.45,0.39,,30.0,0.54,0.35,,,,38.0,0.57,0.41,,45.0,0.59,0.57,,,,115.0,2.14,1.95,,24.0,0.26,0.26,,,,,,,52.25
,(Guang) Dongguan Huiyang Tianhong Sport Lingerie Store,256.0,6,4,,378.0,9.02,5.21,,,,108.0,2.72,1.71,,178.0,5.1,2.67,,,,62.0,1.68,1.08,,63.0,1.74,1.05,,,,42.0,0.74,0.43,,82.0,1.55,0.99,,,,43.0,0.74,0.41,,55.0,0.63,0.5,,,,58.0,0.81,0.47,,,0.0,0.0,,,,,,,50.82
,(Guang) Guangdong Dongguan Shilong Tianhe Lingerie Department Store,322.0,8,6,,248.0,6.94,3.99,,,,180.0,4.98,3.87,,116.0,3.61,2.06,,,,60.0,1.28,0.95,,71.0,2.25,1.24,,,,44.0,0.89,0.7,,41.0,0.74,0.45,,,,33.0,0.63,0.5,,20.0,0.34,0.23,,,,53.0,0.88,0.7,,,0.0,0.0,,,,,,,49.52
,(Guang) Guangdong Huizhou Guangbai Lingerie Store,393.0,7,4,,257.0,4.91,2.15,,,,116.0,2.78,1.4,,123.0,2.65,1.2,,,,129.0,2.34,1.2,,56.0,1.09,0.46,,,,59.0,0.88,0.47,,48.0,0.76,0.31,,,,75.0,0.95,0.47,,30.0,0.41,0.17,,,,78.0,1.01,0.48,,,0.0,0.0,,,,,,,35.15
,(Guang) Guangdong Zhongshan Yangchun Yihua Sport Lingerie Store,67.0,1,1,,254.0,4.82,2.81,,,,17.0,0.27,0.22,,116.0,2.1,1.17,,,,28.0,0.63,0.47,,39.0,1.06,0.6,,,,7.0,0.07,0.06,,80.0,1.41,0.83,,,,10.0,0.15,0.09,,19.0,0.25,0.21,,,,32.0,0.5,0.42,,,0.0,0.0,,,,,,,35.99
,(Guangzhou) Dongguan Junshang Sports Lingerie Store,148.0,3,3,,697.0,20.13,10.92,,,,35.0,0.8,0.77,,383.0,11.87,5.45,,,,68.0,1.48,1.28,,65.0,2.56,1.61,,,,,0.0,0.0,,74.0,2.43,1.67,,,,12.0,0.21,0.18,,108.0,1.88,1.37,,,,33.0,0.65,0.55,,67.0,1.39,0.82,,,,,,,105.91
,(Guangzhou) Jiangmen Yihua Lingerie Store,1060.0,23,14,,971.0,25.32,14.78,,,,300.0,8.33,5.09,,262.0,7.75,5.38,,,,152.0,3.41,2.24,,112.0,3.79,2.55,,,,233.0,4.81,3.2,,417.0,10.63,4.72,,,,303.0,5.13,2.85,,155.0,2.77,1.86,,,,241.0,4.46,2.96,,25.0,0.38,0.27,,,,,,,75.48
,(Guang) Zhongshan Yihua Department Store Lingerie Shop,1023.0,22,14,,1102.0,27.57,16.83,,,,364.0,9.14,5.92,,561.0,15.13,9.04,,,,240.0,5.06,3.61,,162.0,5.08,3.37,,,,228.0,4.15,2.32,,247.0,5.06,2.78,,,,172.0,3.21,2.15,,76.0,1.27,1.07,,,,138.0,2.45,2.13,,56.0,1.03,0.57,,,,,,,111.12
,Guangbai Department Store Online Store,426.0,9,4,,,0.0,0.0,,,,132.0,3.55,1.54,,,0.0,0.0,,,,86.0,2.09,0.85,,,0.0,0.0,,,,208.0,3.48,1.3,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0.06
,Guangzhou Guangbai Department Store Sports Water Store,1200.0,28,24,,1225.0,32.08,25.23,,,,197.0,4.97,4.17,,309.0,7.61,6.02,,,,309.0,7.58,6.42,,329.0,9.01,7.2,,,,289.0,6.64,5.93,,215.0,5.88,4.46,,,,325.0,6.77,5.55,,294.0,7.63,6.07,,,,876.0,18.76,13.61,,78.0,1.95,1.48,,,,,,,72.29
,Guangzhou Guangbai Zhongyi Water Sports Store,855.0,23,19,,676.0,17.19,14.07,,,,117.0,3.4,3.06,,135.0,3.8,3.3,,,,231.0,6.12,5.4,,94.0,2.75,2.34,,,,284.0,7.72,6.43,,234.0,5.87,4.49,,,,190.0,4.55,3.67,,167.0,3.62,3.06,,,,174.0,4.51,4.05,,46.0,1.15,0.89,,,,,,,53.53
,Guangzhou Haiyin Youyicheng Yoga Fitness Store,1055.0,24,15,,1206.0,28.0,16.24,,,,210.0,5.87,3.58,,180.0,4.75,2.69,,,,151.0,3.98,2.73,,235.0,5.51,3.17,,,,356.0,7.05,4.14,,290.0,6.62,3.9,,,,314.0,6.37,3.8,,404.0,8.97,5.21,,,,251.0,4.94,3.02,,97.0,2.15,1.26,,,,,,,64.05
,Guangzhou Shidai Friendship Sports Apparel Store,80.0,4,2,,937.0,22.25,10.4,,,,,0.0,0.0,,189.0,5.06,2.37,,,,,0.0,0.0,,195.0,5.22,2.34,,,,,0.0,0.0,,221.0,4.81,2.2,,,,,0.0,0.0,,285.0,6.19,3.04,,,,80.0,4.35,1.96,,47.0,0.97,0.44,,,,,,,67.14
,Guangzhou Tianhe City G5 Sport Lingerie Store,673.0,15,7,,941.0,20.87,8.64,,,,226.0,6.67,3.56,,385.0,8.99,3.94,,,,113.0,2.19,1.32,,285.0,6.99,2.49,,,,85.0,1.61,0.81,,123.0,2.68,1.17,,,,173.0,2.84,1.23,,148.0,2.21,1.04,,,,210.0,3.47,1.57,,,0.0,0.0,,,,,,,37.13
,Guangzhou Tianhe City Department Store Sports Store,2065.0,56,45,,1871.0,46.45,37.97,,,,363.0,10.7,8.52,,427.0,10.93,8.72,,,,437.0,12.32,10.7,,450.0,11.27,8.68,,,,549.0,15.74,13.34,,423.0,10.67,9.23,,,,605.0,15.02,10.71,,470.0,10.97,9.37,,,,809.0,20.77,16.63,,101.0,2.61,1.97,,,,,,,71.98
,Guangzhou Tianhe Mingsheng Lingerie Store,987.0,20,12,,1465.0,30.65,14.98,,,,423.0,10.48,5.7,,480.0,12.6,6.58,,,,296.0,5.59,4.12,,219.0,5.35,3.09,,,,143.0,2.21,1.44,,561.0,9.34,3.37,,,,109.0,1.49,1.01,,183.0,3.06,1.72,,,,247.0,3.28,1.83,,22.0,0.29,0.21,,,,,,,77.1
,"Tianyin Lingerie Store, Tianhe City, Guangzhou",547.0,14,10,,851.0,18.87,9.75,,,,327.0,9.54,6.99,,287.0,8.54,4.59,,,,58.0,1.76,1.07,,126.0,2.56,1.37,,,,87.0,1.27,0.8,,188.0,3.93,1.63,,,,68.0,1.22,0.87,,181.0,2.85,1.68,,,,79.0,1.42,0.98,,69.0,1.0,0.48,,,,,,,46.2
,Guangzhou Wangfujing Lingerie Store,2186.0,43,31,,2022.0,47.28,29.26,,,,787.0,18.98,15.81,,1082.0,25.16,15.29,,,,679.0,13.03,8.0,,304.0,8.72,5.2,,,,390.0,6.02,3.64,,285.0,6.62,4.04,,,,272.0,4.41,2.86,,351.0,6.79,4.73,,,,393.0,6.13,3.81,,,0.0,0.0,,,,,,,78.44
,Guangzhou Wangfujing Shui Sports Store,532.0,13,10,,305.0,9.02,6.44,,,,70.0,1.92,1.5,,75.0,2.18,1.68,,,,164.0,4.33,3.17,,91.0,3.06,1.81,,,,140.0,3.58,2.96,,62.0,1.83,1.4,,,,144.0,3.3,2.55,,77.0,1.95,1.54,,,,153.0,3.08,2.43,,,0.0,0.0,,,,,,,43.1
,Guangzhou Friendship Store Zhengjia Water Sports Store,1020.0,23,19,,833.0,18.71,15.32,,,,146.0,3.66,3.02,,205.0,4.52,3.62,,,,238.0,5.69,4.7,,191.0,4.48,3.59,,,,301.0,6.93,5.99,,171.0,3.68,2.97,,,,306.0,6.07,4.73,,226.0,4.95,4.27,,,,343.0,6.68,5.81,,40.0,1.08,0.87,,,,,,,50.06
,Guangzhou Friendship Taogin Headquarter Yoga Fitness Store,521.0,13,11,,1060.0,29.71,19.4,,,,105.0,2.31,2.03,,259.0,6.94,4.18,,,,87.0,2.16,2.03,,102.0,3.08,2.83,,,,143.0,3.48,3.09,,425.0,12.54,6.52,,,,184.0,4.54,4.08,,248.0,6.62,5.42,,,,301.0,7.09,5.42,,26.0,0.53,0.46,,,,,,,81.79
,GZ China Plaza Jusco Sports Swimwear Store,,0,0,,206.0,8.13,3.01,,,,,0.0,0.0,,173.0,6.83,2.41,,,,,0.0,0.0,,19.0,0.9,0.34,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,14.0,0.4,0.26,,,,,0.0,0.0,,,0.0,0.0,,,,,,,19.06
,"Haosa Indoor Sports Comprehensive Store, Zhujiang New Town, Guangzhou",,0,0,,496.0,11.35,10.33,,,,,0.0,0.0,,104.0,2.48,2.24,,,,,0.0,0.0,,91.0,2.11,1.85,,,,,0.0,0.0,,134.0,3.25,2.94,,,,,0.0,0.0,,151.0,3.2,3.02,,,,,0.0,0.0,,16.0,0.31,0.27,,,,,,,87.47
,Tianhe City Department Store Online Store,,0,0,,21.0,0.83,0.29,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,21.0,0.83,0.29,,,,,0.0,0.0,,,0.0,0.0,,,,,,,18.58
Guangzhou District 2 Summary,,17189.0,396,288,,19553.0,475.59,302.4,,,,5115.0,136.57,99.73,,6679.0,177.83,108.82,,,,3827.0,87.49,64.58,,3503.0,94.4,60.52,,,,3788.0,80.78,60.17,,4646.0,105.72,63.55,,,,3668.0,72.83,52.32,,4011.0,82.54,59.26,,,,4959.0,102.11,74.54,,714.0,15.1,10.26,,,,,,,
