最终用户,商机项目名称,合同编号生成日期,物料描述,大型号,数量,销售单价
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44645,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频起动网线1M常闭",PMC-550A,152,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44677,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,2,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44677,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频起动网线1M常闭",PMC-550A,2,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44694,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,475,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44694,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线1m常闭",PMC-550A,207,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44694,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线2m常闭",PMC-550A,28,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44711,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,32,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44711,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线1m常闭",PMC-550A,10,1509
万华化学（烟台）氯碱热电有限公司,万华化学烟台氯碱热电公司增补项目-2022-01-117,44732,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,42,1209
万华化学（烟台）氯碱热电有限公司,万华化学烟台氯碱热电公司增补项目-2022-01-117,44732,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,78,1309
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44747,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,21,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44747,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线1m常闭",PMC-550A,7,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44747,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,16,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44747,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频起动网线1M常闭",PMC-550A,5,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44747,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线2m常闭",PMC-550A,1,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44760,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频起动网线1M常闭",PMC-550A,16,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44764,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,162,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44764,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线1m常闭",PMC-550A,211,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44764,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,19,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44764,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频起动网线1M常闭",PMC-550A,65,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44764,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线2m常闭",PMC-550A,7,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44770,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,70,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44770,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线1m常闭",PMC-550A,39,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44770,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,6,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44770,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线2m常闭",PMC-550A,2,1509
万华化学（四川）有限公司,万华化学四川有限公司增补扩建项目-2021-11-843,44788,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,6,1509
万华化学（四川）有限公司,万华化学四川有限公司增补扩建项目-2021-11-843,44802,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,6,1509
万华化学（四川）有限公司,万华化学四川有限公司增补扩建项目-2021-11-843,44802,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,24,1509
万华化学（四川）有限公司,万华化学四川有限公司增补扩建项目-2021-11-843,44802,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线2m常闭",PMC-550A,2,1509
万华化学（四川）有限公司,万华化学四川有限公司增补扩建项目-2021-11-843,44802,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线2m常闭",PMC-550A,24,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44802,"定制成品,PMC-550A-CXW6B5FCA-F,V4万华直接起动网线1m常闭",PMC-550A,6,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44802,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线1m常闭",PMC-550A,1,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44802,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线2m常闭",PMC-550A,2,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44862,"定制成品,PMC-550A-CXW3B5FCA,V5,烟台万华,变频起动网线1m",PMC-550A,6,1109
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44889,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,4,1509
万华化学（四川）有限公司,万华化学四川有限公司增补扩建项目-2021-11-843,44896,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,44,1509
万华化学（四川）有限公司,万华化学四川有限公司增补扩建项目-2021-11-843,44896,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频起动网线1M常闭",PMC-550A,5,1509
万华化学（四川）有限公司,万华化学四川有限公司增补扩建项目-2021-11-843,44900,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,235,1509
万华化学（四川）有限公司,万华化学四川有限公司增补扩建项目-2021-11-843,44900,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线1m常闭",PMC-550A,206,1509
广西华谊新材料有限公司,广西华谊新材料有限公司75万吨/年丙烯及下游深加工一体化项目-2021-09-499,44572,"成品,PMC-550A-CXW6B5EBA,V5",PMC-550A,64,900
广西华谊新材料有限公司,广西华谊新材料75万吨/年丙烯及下游深加工项目原料和产品罐区-2021-08-181,44575,"成品,PMC-550A-CXW6B5EBA,V5",PMC-550A,554,900
广西华谊新材料有限公司,广西华谊新材料有限公司75万吨/年丙烯及下游深加工一体化项目-2021-09-499,44579,"成品,PMC-550A-CXW6B5EBA,V5",PMC-550A,184,900
广西华谊新材料有限公司,广西华谊新材料有限公司75万吨/年丙烯及下游深加工一体化项目-2021-09-499,44585,"成品,PMC-550A-CXW6B5EBA,V5",PMC-550A,12,900
广西华谊氯碱化工有限公司,广西华谊氯碱化工有限公司华谊钦州化工新材料一体化基地30万吨年烧碱、40万吨年聚氯乙烯项目-2021-09-500,44602,"成品,PMC-550A-CXW6B5EBA,V5",PMC-550A,10,900
广西华谊新材料有限公司,广西华谊新材料75万吨/年丙烯及下游深加工项目原料和产品罐区-2021-08-181,44602,"成品,PMC-550A-CXW6B5EBA,V5",PMC-550A,148,900
广西华谊新材料有限公司,广西华谊新材料有限公司75万吨/年丙烯及下游深加工一体化项目-2021-09-499,44607,"成品,PMC-550A-CXW6B5EBA,V5",PMC-550A,144,900
广西华谊新材料有限公司,广西华谊新材料75万吨/年丙烯及下游深加工项目原料和产品罐区-2021-08-181,44610,"成品,PMC-550A-CXW6B5EBA,V5",PMC-550A,224,900
广西华谊新材料有限公司,广西华谊新材料75万吨/年丙烯及下游深加工项目原料和产品罐区-2021-08-181,44628,"成品,PMC-550A-CXW6B5EBA,V5",PMC-550A,248,900
广西华谊氯碱化工有限公司,广西华谊氯碱化工有限公司华谊钦州化工新材料一体化基地30万吨年烧碱、40万吨年聚氯乙烯项目-2021-09-500,44666,"成品,PMC-550A-CXW6B5EBA,V5",PMC-550A,2,900
广西华谊氯碱化工有限公司,广西华谊氯碱化工有限公司华谊钦州化工新材料一体化基地30万吨年烧碱、40万吨年聚氯乙烯项目-2021-09-500,44755,"成品,PMC-550A-CXW6B5EBA,V5",PMC-550A,1,900
广西华谊新材料有限公司,广西华谊新材料75万吨/年丙烯及下游深加工项目原料和产品罐区-2021-08-181,44872,"成品,PMC-550A-CXW6B5EBA,V5",PMC-550A,50,900
大丰英茂糖业有限公司,大丰英茂糖业有限公司增容项目-2022-03-195,44636,"成品,PMC-550A-CXW6B5EBA,V5",PMC-550A,4,1200
中国石油化工股份有限公司茂名分公司,中国石化茂名分公司化工五循循环水余压发电项目-2022-04-261,44729,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,3,1950
云南三环中化化肥有限公司,云南三环中化化肥有限公司-2021-09-493,44740,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,9,1200
云南天安化工有限公司,云南天安化工有限公司--30万吨/年电池新材料前驱体及配套项目-2022-01-123,44630,"成品,PMC-550A-CXW6B5EBA,V5",PMC-550A,64,1140
云南三环中化化肥有限公司,云南三环中化化肥有限公司-2021-09-493,44783,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,13,1200
青海格尔木鲁能新能源有限公司,青海格尔木鲁能新能源有限公司多能互补光热电站紧急备品备件-2022-05-294,44714,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,4,2400
国电长源汉川第一发电有限公司,国电长源汉川第一发电有限公司改造项目-2021-08-223,44783,"成品,PMC-550A-CXW6B5FCA,V5",PMC-550A,40,1500
中国人民解放军陆军工程大学,陆军工程大学标营校区配电房改造-2021-12-967,44607,"成品,PMC-550A-CXW6B5FDB,V5",PMC-550A,4,1520
南京钢铁集团有限公司,南京三普造粒机控制柜（南钢项目）-2022-03-212,44643,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,6,1250
中节能（大城）环保能源有限公司,中节能（大城）环保能源有限公司大城县生活垃圾焚烧发电一期项目-2022-01-116,44624,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,11,1218
江苏环耀工业科技有限公司,江苏环耀工业科技有限公司低压配电柜项目-2022-11-399,44888,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,5,2800
卫星化学股份有限公司,卫星化学股份有限公司浙江卫星石化平湖基地项目-2022-03-217,44643,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,5,1600
海南逸盛石化有限公司,海南逸盛石化年产250万吨精对苯二甲酸（PTA）工程制浆车间改扩建项目振动给料机-2022-02-134,44638,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,8,1200
江铜国兴（烟台）铜业有限公司,江铜国兴(烟台)铜业有限公司搬迁新建18万吨阴极铜节能减排项目-2022-03-234,44855,"成品,PMC-550A-CXW6B5FCA,V5",PMC-550A,293,1150
江铜国兴（烟台）铜业有限公司,江铜国兴(烟台)铜业有限公司搬迁新建18万吨阴极铜节能减排项目-2022-03-234,44902,"成品,PMC-550A-CXW6B5FCA,V5",PMC-550A,138,1150
唐山市丰南区经安钢铁有限公司,唐山市丰南区经安钢铁有限公司炼铁厂改造-2022-08-344,44790,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,1,1100
河南金玉锋生物科技有限公司,河南金玉锋生物科技有限公司热电联产项目-2022-02-133,44736,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,3,1180
四川天华股份有限公司,四川天华股份有限公司备件采购-2022-09-367,44830,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,6,1250
国能四川能源有限公司江油发电厂,国能四川能源有限公司江油发电厂低压电动机采购项目-2022-07-331,44761,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,10,1350
五矿盐湖有限公司,五矿盐湖有限公司一里坪1万吨碳酸锂电项目增补-2022-03-246,44652,"成品,PMC-550A-CXW6B5FCA,V5",PMC-550A,5,1750
中冶瑞木新能源科技有限公司,中冶瑞木新能源科技有限公司废旧动力电池循环利用示范生产线工程-2021-08-325,44608,低压电动机保护控制器,PMC-550A,1,3200
中冶瑞木新能源科技有限公司,中冶瑞木新能源科技有限公司废旧动力电池循环利用示范生产线工程-2021-08-325,44781,"成品,PMC-550A-CXW3B5FCA-F,V4,无DC220V控制,F",PMC-550A,1,2800
无棣鑫岳化工有限公司（无棣鑫岳化工集团有限公司）,无棣鑫岳化工提水泵站项目-2021-08-346,44749,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,79,980
临清德能金玉米生物有限公司,临清德能金玉米生物有限公司玉米烘干及仓储项目-2022-02-138,44659,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,3,1100
海南逸盛石化有限公司,海南逸盛石化有限公司低压配电柜增补-2022-06-318,44740,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,46,1300
海南逸盛石化有限公司,海南逸盛石化有限公司加棒机马达保护器增补-2022-08-349,44796,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,10,1200
安徽六国化工股份有限公司,安徽六国化工股份有限公司磷肥生产线节能降碳技术升级改造项目-2022-06-318,44764,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,4,2300
山东华鲁恒升化工股份有限公司,华鲁恒升低压电动机保护-2022,44764,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,8,1100
山东华鲁恒升化工股份有限公司,华鲁恒升低压电动机保护-2022,44791,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,6,1030
山西骏捷新材料科技有限公司,山西骏捷新材料科技有限公司焦炉煤气综合利用项目-2022-01-120,44643,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,11,1100
凯赛（太原）生物技术有限公司,山西凯赛生物科技有限公司低压柜招标项目-2022,44650,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,21,1100
山西梗阳新能源有限公司,山西梗阳新能源有限公司变电站改造项目-2022-09-364,44823,"成品,PMC-550A-CXW6B5FBA,V5",PMC-550A,7,1100
万华化学（宁波）容威聚氨酯有限公司,万华化学宁波容威聚氨酯二期项目-2021-11-842,44565,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,16,1509
万华化学（宁波）容威聚氨酯有限公司,万华化学宁波容威聚氨酯二期项目-2021-11-842,44565,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频起动网线1M常闭",PMC-550A,3,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44614,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,3,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44614,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线1m常闭",PMC-550A,2,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44631,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,101,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44631,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线1m常闭",PMC-550A,66,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44637,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,53,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44637,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线1m常闭",PMC-550A,18,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44641,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线1m常闭",PMC-550A,11,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44641,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,18,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44641,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线1m常闭",PMC-550A,29,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44650,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,45,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44650,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线1m常闭",PMC-550A,25,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44652,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,7,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44653,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,7,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44658,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,21,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44659,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,283,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44659,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线1m常闭",PMC-550A,48,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44664,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,12,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44664,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线1m常闭",PMC-550A,123,1509
万华化学（宁波）有限公司,万华化学（宁波）有限公司增补项目-2022,44665,"成品,PMC-550A-CXW3B5FAA,V4,无DC220V控制",PMC-550A,4,1109
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44676,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,146,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44676,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线1m常闭",PMC-550A,38,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44676,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,25,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44676,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频起动网线1M常闭",PMC-550A,6,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44677,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,12,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44677,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频起动网线1M常闭",PMC-550A,2,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44677,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,10,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44687,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,1,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44691,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,34,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44691,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频起动网线1M常闭",PMC-550A,9,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44701,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,19,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44701,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频起动网线1M常闭",PMC-550A,12,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44711,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,7,1509
万华化学（宁波）有限公司,万华化学（宁波）有限公司增补项目-2022,44711,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,2,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44712,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,2,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44719,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,12,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44719,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频起动网线1M常闭",PMC-550A,6,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44770,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线1m常闭",PMC-550A,10,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44777,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频起动网线1M常闭",PMC-550A,2,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44777,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,36,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44777,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频起动网线1M常闭",PMC-550A,100,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44777,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,1,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44777,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频起动网线1M常闭",PMC-550A,53,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44788,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,60,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44788,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频起动网线1M常闭",PMC-550A,20,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44803,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,1,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44803,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线1m常闭",PMC-550A,3,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44812,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,2,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44842,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频起动网线1M常闭",PMC-550A,2,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44844,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,9,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44844,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线1m常闭",PMC-550A,15,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44851,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,4,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44852,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,2,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44868,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接起动网线1m常闭",PMC-550A,55,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44868,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频起动网线1m常闭",PMC-550A,16,1509
万华化学集团物资有限公司,万华化学集团物资有限公司增补项目-2021-11-842,44868,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频起动网线1M常闭",PMC-550A,8,1509
万华化学（福建）有限公司,万华化学（福建）有限公司增补项目-2022,44868,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接起动网线1M常闭",PMC-550A,3,1509
