time,液流速率,风速,气温,相对湿度,太阳辐射,土壤热通量,饱和水汽压
2014/06/03 20,46,3,20,64,0,2,2
2014/06/03 21,24,2,19,66,0,(3),2
2014/06/03 22,6,1,17,89,0,(7),2
2014/06/03 23,0,0,16,94,0,(11),2
2014/06/04 00,1,0,16,94,0,(12),2
2014/06/04 01,1,0,16,94,0,(14),2
2014/06/04 02,1,0,16,95,0,(16),2
2014/06/04 03,0,1,15,94,0,(16),2
2014/06/04 04,4,2,15,94,0,(16),2
2014/06/04 05,3,2,15,95,3,(17),2
2014/06/04 06,42,1,15,95,15,(16),2
2014/06/04 07,19,3,15,91,73,(13),2
2014/06/04 08,26,3,16,87,117,(5),2
2014/06/04 09,73,3,17,81,251,2,2
2014/06/04 10,119,3,18,73,249,13,2
2014/06/04 11,265,4,19,67,246,15,2
2014/06/04 12,301,4,20,60,399,19,2
2014/06/04 13,312,4,21,55,258,17,3
2014/06/04 14,216,4,21,55,270,13,2
2014/06/04 15,153,4,22,52,291,19,3
2014/06/04 16,194,4,23,50,529,31,3
2014/06/04 17,124,2,22,49,356,33,3
2014/06/04 18,90,2,22,52,153,11,3
2014/06/04 19,57,1,20,60,39,(3),2
2014/06/04 20,30,1,18,74,1,(16),2
2014/06/04 21,17,0,15,84,0,(21),2
2014/06/04 22,11,0,13,91,0,(24),2
2014/06/04 23,8,0,13,94,0,(26),1
2014/06/05 00,5,0,13,95,0,(26),1
2014/06/05 01,2,0,12,94,0,(26),1
2014/06/05 02,2,0,11,95,0,(26),1
2014/06/05 03,1,0,11,95,0,(26),1
2014/06/05 04,4,0,12,96,0,(25),1
2014/06/05 05,12,0,11,95,10,(23),1
2014/06/05 06,8,0,13,96,66,(15),1
2014/06/05 07,9,0,17,90,152,(2),2
2014/06/05 08,23,0,19,69,272,7,2
2014/06/05 09,225,1,21,63,608,47,2
2014/06/05 10,331,1,22,58,493,65,3
2014/06/05 11,431,1,23,50,621,63,3
2014/06/05 12,464,1,24,40,582,78,3
2014/06/05 13,351,1,24,42,383,49,3
2014/06/05 14,373,1,24,40,388,37,3
2014/06/05 15,427,1,25,40,579,46,3
2014/06/05 16,425,1,25,38,541,52,3
2014/06/05 17,323,2,25,37,300,41,3
2014/06/05 18,199,2,24,40,127,13,3
2014/06/05 19,139,1,22,45,26,(3),3
2014/06/05 20,78,1,19,56,1,(16),2
2014/06/05 21,56,1,19,59,0,(17),2
2014/06/05 22,43,5,16,69,0,(19),2
2014/06/05 23,39,2,15,71,0,(23),2
2014/06/06 00,13,1,15,74,0,(22),2
2014/06/06 01,11,3,15,81,0,(20),2
2014/06/06 02,6,2,13,94,0,(23),2
2014/06/06 03,1,5,13,94,0,(25),1
2014/06/06 04,2,4,12,93,0,(28),1
2014/06/06 05,1,4,11,91,1,(28),1
2014/06/06 06,4,2,11,93,16,(25),1
2014/06/06 07,3,2,11,90,33,(22),1
2014/06/06 08,7,1,11,90,90,(20),1
2014/06/06 09,24,0,13,80,450,0,2
2014/06/06 10,207,1,16,59,763,54,2
2014/06/06 11,531,3,18,54,390,46,2
2014/06/06 12,291,3,18,58,444,24,2
2014/06/06 13,544,5,21,35,295,2,2
2014/06/06 14,506,5,22,28,610,17,3
2014/06/06 15,327,5,21,32,708,41,3
2014/06/06 16,282,4,20,38,447,55,2
2014/06/06 17,259,3,20,37,393,33,2
2014/06/06 18,243,3,19,36,209,13,2
2014/06/06 19,143,1,17,43,47,(10),2
2014/06/06 20,48,0,13,66,1,(29),1
2014/06/06 21,24,0,9,84,0,(38),1
2014/06/06 22,13,0,8,87,0,(40),1
2014/06/06 23,9,0,8,86,0,(41),1
2014/06/07 00,1,0,7,88,0,(42),1
2014/06/07 01,0,1,7,82,0,(41),1
2014/06/07 02,0,0,6,89,0,(41),1
2014/06/07 03,1,0,5,89,0,(41),1
2014/06/07 04,1,0,6,88,0,(41),1
2014/06/07 05,6,0,7,85,10,(39),1
2014/06/07 06,30,0,10,69,45,(32),1
2014/06/07 07,172,1,15,50,108,(22),2
2014/06/07 08,368,1,17,45,198,(10),2
2014/06/07 09,363,2,19,36,752,51,2
2014/06/07 10,358,2,21,32,898,100,2
2014/06/07 11,445,2,22,27,991,123,3
2014/06/07 12,473,2,23,25,1015,121,3
2014/06/07 13,447,2,24,22,973,42,3
2014/06/07 14,408,2,25,20,910,39,3
2014/06/07 15,442,2,25,20,821,91,3
2014/06/07 16,357,2,25,19,608,72,3
2014/06/07 17,310,2,25,18,316,49,3
2014/06/07 18,151,2,23,19,97,9,3
2014/06/07 19,98,2,22,23,43,(8),3
2014/06/07 20,48,1,19,30,1,(22),2
2014/06/07 21,25,1,17,35,0,(28),2
2014/06/07 22,19,2,17,43,0,(30),2
2014/06/07 23,13,1,16,44,0,(31),2
2014/06/08 00,11,1,14,49,0,(30),2
2014/06/08 01,9,1,14,49,0,(31),2
2014/06/08 02,7,1,12,54,0,(32),1
2014/06/08 03,1,0,12,58,0,(34),1
2014/06/08 04,1,1,9,61,0,(36),1
2014/06/08 05,7,1,10,44,11,(38),1
2014/06/08 06,65,3,13,29,61,(34),2
2014/06/08 07,214,3,16,33,130,(23),2
2014/06/08 08,228,4,19,38,192,(8),2
2014/06/08 09,327,4,20,36,728,46,2
2014/06/08 10,358,4,22,31,891,92,3
2014/06/08 11,395,4,23,25,995,113,3
2014/06/08 12,368,4,24,14,1024,121,3
2014/06/08 13,338,4,24,14,732,54,3
2014/06/08 14,342,4,24,15,931,37,3
2014/06/08 15,320,4,25,13,763,85,3
2014/06/08 16,269,4,24,12,610,76,3
2014/06/08 17,227,4,24,12,374,49,3
2014/06/08 18,150,3,22,12,142,15,3
2014/06/08 19,66,3,20,12,32,(7),2
2014/06/08 20,25,2,18,16,1,(23),2
2014/06/08 21,16,2,17,22,0,(28),2
2014/06/08 22,9,1,14,29,0,(32),2
2014/06/08 23,5,1,12,34,0,(37),1
2014/06/09 00,6,0,9,42,0,(40),1
2014/06/09 01,3,0,7,43,0,(42),1
2014/06/09 02,2,0,7,44,0,(43),1
2014/06/09 03,1,0,6,46,0,(43),1
2014/06/09 04,2,0,5,55,0,(43),1
2014/06/09 05,4,0,5,55,10,(43),1
2014/06/09 06,37,0,10,46,45,(39),1
2014/06/09 07,90,2,16,23,125,(28),2
2014/06/09 08,412,3,18,17,121,(17),2
2014/06/09 09,328,3,20,15,780,39,2
2014/06/09 10,339,3,21,13,933,86,2
2014/06/09 11,363,2,22,14,1025,109,3
2014/06/09 12,383,3,23,13,1040,117,3
2014/06/09 13,371,3,24,13,977,52,3
2014/06/09 14,403,3,24,13,947,34,3
2014/06/09 15,371,3,25,12,836,84,3
2014/06/09 16,338,3,25,13,664,82,3
2014/06/09 17,277,3,24,13,405,54,3
2014/06/09 18,253,3,23,16,212,25,3
2014/06/09 19,152,2,21,21,49,3,2
2014/06/09 20,56,0,16,31,1,(18),2
2014/06/09 21,28,0,12,45,0,(29),1
2014/06/09 22,18,0,10,50,0,(34),1
2014/06/09 23,12,0,10,49,0,(36),1
2014/06/10 00,5,1,9,56,0,(37),1
2014/06/10 01,3,1,10,55,0,(37),1
2014/06/10 02,1,1,9,60,0,(37),1
2014/06/10 03,1,1,9,62,0,(37),1
2014/06/10 04,1,0,6,76,0,(37),1
2014/06/10 05,4,0,6,81,10,(38),1
2014/06/10 06,32,0,12,63,46,(34),1
2014/06/10 07,101,0,18,42,127,(24),2
2014/06/10 08,297,2,21,26,128,(12),2
2014/06/10 09,410,3,22,22,753,35,3
2014/06/10 10,421,3,23,19,900,78,3
2014/06/10 11,440,3,25,17,997,101,3
2014/06/10 12,426,3,26,15,1014,110,3
2014/06/10 13,405,4,26,14,944,63,3
2014/06/10 14,412,3,26,14,846,33,3
2014/06/10 15,369,3,26,14,786,72,3
2014/06/10 16,347,3,26,16,607,75,3
2014/06/10 17,280,3,26,17,347,52,3
2014/06/10 18,253,2,25,18,180,25,3
2014/06/10 19,150,1,23,21,44,6,3
2014/06/10 20,58,0,19,31,1,(12),2
2014/06/10 21,21,0,15,41,0,(23),2
2014/06/10 22,10,0,13,48,0,(29),1
2014/06/10 23,6,1,11,53,0,(32),1
2014/06/11 00,0,1,12,53,0,(33),1
2014/06/11 01,1,1,12,53,0,(33),1
2014/06/11 02,2,1,11,61,0,(32),1
2014/06/11 03,2,1,9,66,0,(33),1
2014/06/11 04,1,1,8,72,0,(34),1
2014/06/11 05,5,1,8,75,10,(34),1
2014/06/11 06,35,2,12,60,46,(31),1
2014/06/11 07,124,2,17,45,126,(22),2
2014/06/11 08,426,2,21,36,119,(12),2
2014/06/11 09,384,3,22,32,729,29,3
2014/06/11 10,380,2,23,29,880,70,3
2014/06/11 11,379,3,24,25,975,93,3
2014/06/11 12,430,2,26,23,980,102,3
2014/06/11 13,408,3,26,22,962,61,3
2014/06/11 14,378,2,26,21,894,30,3
2014/06/11 15,376,3,27,21,737,61,3
2014/06/11 16,319,2,26,21,432,63,3
2014/06/11 17,193,3,24,21,191,32,3
2014/06/11 18,147,1,24,22,94,11,3
2014/06/11 19,87,1,22,24,30,(2),3
2014/06/11 20,42,0,18,33,1,(12),2
2014/06/11 21,19,0,15,43,0,(21),2
2014/06/11 22,7,1,13,47,0,(26),2
2014/06/11 23,4,0,12,50,0,(29),1
2014/06/12 00,5,0,11,53,0,(30),1
2014/06/12 01,3,0,10,56,0,(32),1
2014/06/12 02,4,0,9,63,0,(33),1
2014/06/12 03,2,0,9,65,0,(33),1
2014/06/12 04,1,1,10,61,0,(33),1
2014/06/12 05,3,0,10,60,11,(32),1
2014/06/12 06,30,0,13,59,52,(29),1
2014/06/12 07,157,1,18,41,135,(21),2
2014/06/12 08,234,1,22,34,176,(9),3
2014/06/12 09,409,2,23,30,515,20,3
2014/06/12 10,408,1,24,26,611,44,3
2014/06/12 11,465,2,25,23,825,71,3
2014/06/12 12,437,2,26,21,728,76,3
2014/06/12 13,394,2,26,21,997,57,3
2014/06/12 14,363,2,26,20,875,41,3
2014/06/12 15,298,2,26,21,755,36,3
2014/06/12 16,435,2,27,19,480,45,4
2014/06/12 17,249,2,26,21,191,37,3
2014/06/12 18,188,2,25,21,112,19,3
2014/06/12 19,110,1,24,23,27,5,3
2014/06/12 20,54,0,20,30,1,(7),2
2014/06/12 21,32,0,17,38,0,(14),2
2014/06/12 22,18,1,15,45,0,(19),2
2014/06/12 23,10,0,14,47,0,(23),2
2014/06/13 00,4,0,13,49,0,(25),2
2014/06/13 01,0,1,13,52,0,(25),1
2014/06/13 02,2,0,12,53,0,(25),1
2014/06/13 03,2,1,12,54,0,(25),1
2014/06/13 04,1,1,13,55,0,(24),1
2014/06/13 05,2,1,12,58,9,(23),1
2014/06/13 06,15,1,15,56,63,(20),2
2014/06/13 07,78,1,18,46,138,(12),2
2014/06/13 08,302,1,21,39,191,(0),2
2014/06/13 09,321,1,22,39,209,8,3
2014/06/13 10,397,1,23,34,302,16,3
2014/06/13 11,452,2,25,30,377,26,3
2014/06/13 12,510,2,26,25,535,39,3
2014/06/13 13,540,3,28,21,381,46,4
2014/06/13 14,399,2,28,20,412,40,4
2014/06/13 15,351,2,27,19,417,39,4
2014/06/13 16,353,2,27,20,318,41,4
2014/06/13 17,243,1,27,20,161,29,3
2014/06/13 18,224,2,26,23,125,18,3
2014/06/13 19,131,3,23,35,31,9,3
2014/06/13 20,55,2,21,44,1,(2),2
2014/06/13 21,31,1,20,46,0,(8),2
2014/06/13 22,20,1,19,46,0,(10),2
2014/06/13 23,15,2,18,53,0,(12),2
2014/06/14 00,15,2,17,61,0,(14),2
2014/06/14 01,10,2,16,64,0,(17),2
2014/06/14 02,8,2,15,66,0,(19),2
2014/06/14 03,2,1,15,70,0,(20),2
2014/06/14 04,1,0,14,74,0,(21),2
2014/06/14 05,5,1,15,70,8,(18),2
2014/06/14 06,15,2,16,70,45,(15),2
2014/06/14 07,55,2,17,66,145,(9),2
2014/06/14 08,179,2,20,57,221,1,2
2014/06/14 09,435,2,22,48,552,18,3
2014/06/14 10,526,2,24,38,795,47,3
2014/06/14 11,561,2,25,33,860,70,3
2014/06/14 12,478,2,26,30,751,79,3
2014/06/14 13,380,2,26,30,331,58,3
2014/06/14 14,381,3,27,28,599,42,4
2014/06/14 15,492,3,27,29,646,54,4
2014/06/14 16,396,2,27,28,369,51,3
2014/06/14 17,239,2,25,30,178,34,3
2014/06/14 18,166,2,25,32,98,18,3
2014/06/14 19,91,1,23,35,25,6,3
2014/06/14 20,49,0,22,40,1,(3),3
2014/06/14 21,32,1,20,47,0,(9),2
2014/06/14 22,20,0,18,56,0,(12),2
2014/06/14 23,11,0,16,59,0,(15),2
2014/06/15 00,9,0,17,52,0,(17),2
2014/06/15 01,7,0,17,56,0,(17),2
2014/06/15 02,2,0,16,60,0,(18),2
2014/06/15 03,1,1,15,62,0,(19),2
2014/06/15 04,3,1,15,63,0,(20),2
2014/06/15 05,8,1,16,61,6,(17),2
2014/06/15 06,21,1,17,62,64,(14),2
2014/06/15 07,113,1,19,57,145,(7),2
2014/06/15 08,222,1,21,50,245,3,2
2014/06/15 09,448,2,22,47,399,18,3
2014/06/15 10,500,1,23,41,595,36,3
2014/06/15 11,528,2,25,37,835,54,3
2014/06/15 12,595,2,26,33,739,73,3
2014/06/15 13,483,3,27,30,214,55,4
2014/06/15 14,481,2,28,27,646,37,4
2014/06/15 15,363,3,26,31,306,54,3
2014/06/15 16,47,6,16,70,17,26,2
2014/06/15 17,24,2,18,62,71,(4),2
2014/06/15 18,37,1,21,48,154,(9),2
2014/06/15 19,18,0,21,51,50,(7),2
2014/06/15 20,16,0,18,70,1,(11),2
2014/06/15 21,5,0,15,78,0,(16),2
2014/06/15 22,6,1,16,71,0,(19),2
2014/06/15 23,3,1,16,67,0,(20),2
2014/06/16 00,9,0,13,79,0,(21),2
2014/06/16 01,4,1,14,72,0,(23),2
2014/06/16 02,3,1,15,65,0,(22),2
2014/06/16 03,2,0,13,75,0,(20),2
2014/06/16 04,0,1,14,70,0,(21),2
2014/06/16 05,3,0,12,79,14,(21),1
2014/06/16 06,24,0,14,72,56,(20),2
2014/06/16 07,90,0,19,55,109,(15),2
2014/06/16 08,428,3,21,46,132,(8),3
2014/06/16 09,383,3,23,42,737,23,3
2014/06/16 10,472,3,26,30,886,60,3
2014/06/16 11,468,3,26,27,994,85,3
2014/06/16 12,443,3,27,25,941,99,4
2014/06/16 13,380,3,27,22,692,76,4
2014/06/16 14,448,3,28,21,752,42,4
2014/06/16 15,346,3,27,21,531,55,4
2014/06/16 16,375,4,27,17,646,59,4
2014/06/16 17,291,4,27,15,384,56,4
2014/06/16 18,257,3,26,12,177,35,3
2014/06/16 19,161,2,23,16,52,19,3
2014/06/16 20,57,0,17,29,1,(1),2
2014/06/16 21,28,0,13,39,0,(14),2
2014/06/16 22,19,0,13,47,0,(21),1
2014/06/16 23,10,0,12,53,0,(25),1
2014/06/17 00,0,0,12,53,0,(26),1
2014/06/17 01,0,0,13,50,0,(25),2
2014/06/17 02,0,0,14,45,0,(22),2
2014/06/17 03,0,1,14,46,0,(20),2
2014/06/17 04,4,1,16,38,0,(19),2
2014/06/17 05,9,1,16,42,5,(16),2
2014/06/17 06,18,0,16,48,43,(14),2
2014/06/17 07,164,1,19,40,132,(9),2
2014/06/17 08,260,2,21,34,225,(1),3
2014/06/17 09,444,1,23,30,579,18,3
2014/06/17 10,492,3,25,26,668,49,3
2014/06/17 11,490,4,26,23,905,69,3
2014/06/17 12,434,3,27,19,674,85,4
2014/06/17 13,408,4,27,18,192,65,4
2014/06/17 14,402,4,28,17,695,38,4
2014/06/17 15,362,3,28,15,801,67,4
2014/06/17 16,345,3,28,16,528,74,4
2014/06/17 17,242,3,27,18,278,56,4
2014/06/17 18,186,3,25,20,134,33,3
2014/06/17 19,128,2,24,23,40,17,3
2014/06/17 20,46,1,21,29,1,2,2
2014/06/17 21,15,1,18,37,0,(9),2
2014/06/17 22,1,1,17,39,0,(14),2
2014/06/17 23,2,1,18,40,0,(15),2
2014/06/18 00,5,1,18,40,0,(16),2
2014/06/18 01,5,2,18,41,0,(16),2
2014/06/18 02,6,1,16,46,0,(16),2
2014/06/18 03,3,2,16,49,0,(15),2
2014/06/18 04,1,1,16,52,0,(14),2
2014/06/18 05,1,2,16,51,4,(14),2
2014/06/18 06,5,1,16,50,34,(13),2
2014/06/18 07,21,2,16,50,64,(10),2
2014/06/18 08,45,2,17,50,62,(7),2
2014/06/18 09,114,3,18,45,316,(5),2
2014/06/18 10,339,3,22,32,790,20,3
2014/06/18 11,342,2,24,28,941,57,3
2014/06/18 12,512,2,26,24,937,80,3
2014/06/18 13,442,2,26,22,887,63,3
2014/06/18 14,457,2,27,22,665,41,4
2014/06/18 15,340,1,26,22,367,52,3
2014/06/18 16,192,1,25,29,120,36,3
2014/06/18 17,146,2,23,39,112,20,3
2014/06/18 18,99,1,23,40,64,12,3
2014/06/18 19,53,1,22,43,15,5,3
2014/06/18 20,27,0,20,47,1,(2),2
2014/06/18 21,13,0,19,50,0,(6),2
2014/06/18 22,6,1,20,32,0,(8),2
2014/06/18 23,11,1,20,27,0,(10),2
2014/06/19 00,7,0,19,32,0,(10),2
2014/06/19 01,4,0,17,38,0,(11),2
2014/06/19 02,3,0,17,40,0,(12),2
2014/06/19 03,1,0,17,43,0,(12),2
2014/06/19 04,1,1,17,44,0,(12),2
2014/06/19 05,1,0,17,50,4,(12),2
2014/06/19 06,12,0,17,54,29,(11),2
2014/06/19 07,52,1,17,56,30,(9),2
2014/06/19 08,87,1,17,57,80,(7),2
2014/06/19 09,158,1,17,54,141,(2),2
2014/06/19 10,309,0,18,52,226,4,2
2014/06/19 11,358,0,19,49,277,12,2
2014/06/19 12,515,1,22,35,705,30,3
2014/06/19 13,279,2,21,36,81,42,2
2014/06/19 14,212,2,21,37,214,20,2
2014/06/19 15,186,2,20,41,77,15,2
2014/06/19 16,123,1,20,43,100,7,2
2014/06/19 17,184,1,20,42,176,6,2
2014/06/19 18,350,1,20,41,97,7,2
2014/06/19 19,144,0,19,45,35,5,2
2014/06/19 20,29,0,15,58,1,(5),2
2014/06/19 21,3,0,13,61,0,(12),2
2014/06/19 22,0,1,14,55,0,(17),2
2014/06/19 23,0,1,13,58,0,(19),1
2014/06/20 00,2,0,10,71,0,(21),1
2014/06/20 01,0,0,10,71,0,(23),1
2014/06/20 02,1,0,10,72,0,(24),1
2014/06/20 03,0,0,8,77,0,(24),1
2014/06/20 04,3,0,7,82,0,(24),1
2014/06/20 05,2,0,8,76,9,(25),1
2014/06/20 06,46,0,12,62,43,(23),1
2014/06/20 07,233,1,18,44,90,(17),2
2014/06/20 08,333,2,19,39,119,(9),2
2014/06/20 09,405,2,21,37,675,18,3
2014/06/20 10,429,2,24,32,856,52,3
2014/06/20 11,414,2,24,29,743,74,3
2014/06/20 12,320,2,25,29,392,63,3
2014/06/20 13,266,4,21,43,104,47,3
2014/06/20 14,36,2,13,84,21,14,2
2014/06/20 15,18,3,14,86,104,(9),2
2014/06/20 16,31,3,16,71,194,(10),2
2014/06/20 17,66,2,17,64,155,(7),2
2014/06/20 18,85,1,18,63,81,(8),2
2014/06/20 19,73,0,17,69,26,(10),2
2014/06/20 20,49,1,16,73,2,(14),2
2014/06/20 21,29,1,15,80,0,(18),2
2014/06/20 22,23,0,14,86,0,(18),2
2014/06/20 23,20,0,13,85,0,(18),2
2014/06/21 00,14,0,12,90,0,(20),1
2014/06/21 01,9,0,10,92,0,(23),1
2014/06/21 02,5,0,10,94,0,(26),1
2014/06/21 03,2,0,10,93,0,(26),1
2014/06/21 04,2,0,10,92,0,(26),1
2014/06/21 05,6,0,9,93,8,(26),1
2014/06/21 06,24,0,12,84,41,(24),1
2014/06/21 07,135,1,17,62,85,(18),2
2014/06/21 08,395,3,19,48,135,(9),2
2014/06/21 09,380,3,21,39,745,26,3
2014/06/21 10,424,3,23,31,859,66,3
2014/06/21 11,388,3,24,29,853,89,3
2014/06/21 12,438,3,24,28,991,92,3
2014/06/21 13,389,4,25,26,983,56,3
2014/06/21 14,423,3,26,22,971,36,3
2014/06/21 15,398,3,27,20,811,77,3
2014/06/21 16,362,3,26,20,472,81,3
2014/06/21 17,281,3,26,20,390,54,3
2014/06/21 18,244,3,25,22,168,32,3
2014/06/21 19,153,3,23,25,59,15,3
2014/06/21 20,72,2,20,33,2,(6),2
2014/06/21 21,37,0,16,45,0,(17),2
2014/06/21 22,24,0,13,55,0,(24),1
2014/06/21 23,14,0,11,60,0,(27),1
2014/06/22 00,3,0,11,61,0,(29),1
2014/06/22 01,4,0,11,63,0,(30),1
2014/06/22 02,1,0,10,64,0,(30),1
2014/06/22 03,0,0,10,65,0,(30),1
2014/06/22 04,3,1,10,66,0,(30),1
2014/06/22 05,10,1,10,66,8,(29),1
2014/06/22 06,67,1,15,53,38,(27),2
2014/06/22 07,227,1,20,38,84,(20),2
2014/06/22 08,464,2,22,30,126,(12),3
2014/06/22 09,330,3,24,26,748,23,3
2014/06/22 10,385,3,25,24,911,62,3
2014/06/22 11,407,4,26,22,941,86,3
2014/06/22 12,409,3,27,21,1067,95,4
2014/06/22 13,406,4,27,20,1012,65,4
2014/06/22 14,408,3,28,19,913,35,4
2014/06/22 15,379,3,28,18,718,68,4
2014/06/22 16,326,3,28,19,673,73,4
2014/06/22 17,279,3,27,19,442,56,4
2014/06/22 18,246,2,26,20,165,32,3
2014/06/22 19,161,2,25,24,60,17,3
2014/06/22 20,67,1,21,34,2,(2),2
2014/06/22 21,29,1,17,44,0,(15),2
2014/06/22 22,11,1,15,51,0,(21),2
2014/06/22 23,4,1,14,52,0,(25),2
2014/06/23 00,3,0,13,54,0,(26),2
2014/06/23 01,3,1,11,63,0,(28),1
2014/06/23 02,1,0,11,66,0,(29),1
2014/06/23 03,1,0,9,74,0,(29),1
2014/06/23 04,1,0,9,78,0,(30),1
2014/06/23 05,2,1,10,72,12,(30),1
2014/06/23 06,8,1,14,60,52,(26),2
2014/06/23 07,46,1,17,52,94,(20),2
2014/06/23 08,151,2,22,36,119,(13),3
2014/06/23 09,334,3,24,28,726,17,3
2014/06/23 10,386,2,26,25,873,52,3
2014/06/23 11,420,1,27,23,929,75,4
2014/06/23 12,492,2,28,20,754,84,4
2014/06/23 13,394,1,28,20,343,64,4
2014/06/23 14,398,2,29,19,630,45,4
2014/06/23 15,359,1,29,18,619,58,4
2014/06/23 16,307,1,29,18,393,53,4
2014/06/23 17,273,1,28,19,217,39,4
2014/06/23 18,202,1,28,21,105,23,4
2014/06/23 19,154,0,27,23,61,12,4
2014/06/23 20,62,1,23,30,1,1,3
2014/06/23 21,40,2,23,32,0,(6),3
2014/06/23 22,32,3,22,40,0,(7),3
2014/06/23 23,9,3,15,88,0,(11),2
2014/06/24 00,1,1,15,90,0,(19),2
2014/06/24 01,3,2,16,73,0,(21),2
2014/06/24 02,6,3,16,70,0,(21),2
2014/06/24 03,0,3,13,89,0,(23),2
2014/06/24 04,5,2,13,90,0,(23),2
2014/06/24 05,4,2,13,93,2,(26),2
2014/06/24 06,11,1,14,93,15,(23),2
2014/06/24 07,13,1,15,93,32,(18),2
2014/06/24 08,13,0,15,93,19,(17),2
2014/06/24 09,12,2,16,87,110,(17),2
2014/06/24 10,37,3,18,77,228,(3),2
2014/06/24 11,131,3,21,69,433,24,2
2014/06/24 12,507,2,22,64,380,44,3
2014/06/24 13,399,2,23,61,339,28,3
2014/06/24 14,443,2,24,56,281,24,3
2014/06/24 15,367,2,24,55,281,19,3
2014/06/24 16,286,2,23,55,141,9,3
2014/06/24 17,170,0,23,55,90,(2),3
2014/06/24 18,116,0,22,63,33,(6),3
2014/06/24 19,75,2,20,62,11,(16),2
2014/06/24 20,48,2,16,83,0,(27),2
2014/06/24 21,37,2,16,89,0,(28),2
2014/06/24 22,30,2,15,90,0,(27),2
2014/06/24 23,20,1,15,91,0,(26),2
2014/06/25 00,47,0,15,92,0,(25),2
2014/06/25 01,48,1,15,88,0,(24),2
2014/06/25 02,45,1,15,86,0,(22),2
2014/06/25 03,6,1,16,85,0,(21),2
2014/06/25 04,1,0,15,91,0,(19),2
2014/06/25 05,0,0,15,93,4,(18),2
2014/06/25 06,0,0,15,92,29,(15),2
2014/06/25 07,3,0,16,89,58,(9),2
2014/06/25 08,10,1,17,87,127,(2),2
2014/06/25 09,24,1,18,78,348,19,2
2014/06/25 10,130,2,20,67,610,56,2
2014/06/25 11,164,2,22,62,760,79,3
2014/06/25 12,165,1,22,56,808,77,3
2014/06/25 13,167,1,24,53,716,36,3
