附件2-清远市新建商品住房销售价格备案表-房地产开发企业名称或中介服务机构名称：清远市清新区盈丰房地产开发有限公司-序号-序号,附件2-清远市新建商品住房销售价格备案表-幢（栋）号-幢（栋）号,清远市新建商品住房销售价格备案表-房号-房号,清远市新建商品住房销售价格备案表-楼层(F)-楼层(F),清远市新建商品住房销售价格备案表-户型-户型,清远市新建商品住房销售价格备案表-层高（m)-层高（m),清远市新建商品住房销售价格备案表-建筑面积（㎡）-建筑面积（㎡）,清远市新建商品住房销售价格备案表-分摊的共有建筑面积（㎡）-分摊的共有建筑面积（㎡）,清远市新建商品住房销售价格备案表-项目(楼盘)名称：-套内建筑面积（㎡）-套内建筑面积（㎡）,清远市新建商品住房销售价格备案表-建筑面积单价（元/㎡）-建筑面积单价（元/㎡）,清远市新建商品住房销售价格备案表-清新凯旋门8号楼-套内建筑面积销售单价（元/㎡）-套内建筑面积销售单价（元/㎡）,清远市新建商品住房销售价格备案表-总售价(元)-总售价(元),清远市新建商品住房销售价格备案表-销售状态-销售状态,清远市新建商品住房销售价格备案表-备注-备注
18,8号楼,2103,21,三房两厅两卫,3,116,20,96,8488,10273,988512,可售,带装修
19,8号楼,2203,22,三房两厅两卫,3,116,20,96,8488,10273,988512,可售,带装修
20,8号楼,2303,23,三房两厅两卫,3,116,20,96,8488,10273,988512,可售,带装修
21,8号楼,2403,24,三房两厅两卫,3,116,20,96,8488,10273,988512,可售,带装修
22,8号楼,2503,25,三房两厅两卫,3,116,20,96,8488,10273,988512,可售,带装修
23,8号楼,2603,26,三房两厅两卫,3,116,20,96,8488,10273,988512,可售,带装修
24,8号楼,304,3,三房两厅三卫,3,119,21,98,8488,10273,1007186,可售,带装修
25,8号楼,404,4,三房两厅三卫,3,119,21,98,8488,10273,1007186,可售,带装修
26,8号楼,504,5,三房两厅三卫,3,119,21,98,8488,10273,1007186,可售,带装修
27,8号楼,604,6,三房两厅三卫,3,119,21,98,8488,10273,1007186,可售,带装修
28,8号楼,704,7,三房两厅三卫,3,119,21,98,8488,10273,1007186,可售,带装修
29,8号楼,804,8,三房两厅三卫,3,119,21,98,8488,10273,1007186,可售,带装修
30,8号楼,904,9,三房两厅三卫,3,119,21,98,8488,10273,1007186,可售,带装修
31,8号楼,1004,10,三房两厅三卫,3,119,21,98,8488,10273,1007186,可售,带装修
32,8号楼,1104,11,三房两厅三卫,3,119,21,98,8488,10273,1007186,可售,带装修
33,8号楼,1204,12,三房两厅三卫,3,119,21,98,8488,10273,1007186,可售,带装修
34,8号楼,1304,13,三房两厅三卫,3,119,21,98,8488,10273,1007186,可售,带装修
35,8号楼,1404,14,三房两厅三卫,3,119,21,98,8488,10273,1007186,可售,带装修
36,8号楼,1504,15,三房两厅三卫,3,119,21,98,8488,10273,1007186,可售,带装修
37,8号楼,1604,16,三房两厅三卫,3,119,21,98,8488,10273,1007186,可售,带装修
38,8号楼,1704,17,三房两厅三卫,3,119,21,98,8488,10273,1007186,可售,带装修
39,8号楼,1804,18,三房两厅三卫,3,119,21,98,8488,10273,1007186,可售,带装修
40,8号楼,1904,19,三房两厅三卫,3,119,21,98,8488,10273,1007186,可售,带装修
41,8号楼,2004,20,三房两厅三卫,3,119,21,98,8488,10273,1007186,可售,带装修
42,8号楼,2104,21,三房两厅三卫,3,119,21,98,8488,10273,1007186,可售,带装修
43,8号楼,2204,22,三房两厅三卫,3,119,21,98,8488,10273,1007186,可售,带装修
44,8号楼,2304,23,三房两厅三卫,3,119,21,98,8488,10273,1007186,可售,带装修
45,8号楼,2404,24,三房两厅三卫,3,119,21,98,8488,10273,1007186,可售,带装修
46,8号楼,2504,25,三房两厅三卫,3,119,21,98,8488,10273,1007186,可售,带装修
47,8号楼,2604,26,三房两厅三卫,3,119,21,98,8488,10273,1007186,可售,带装修
48,8号楼,405,4,三房两厅两卫,3,113,20,93,8488,10274,956258,可售,带装修
49,8号楼,505,5,三房两厅两卫,3,113,20,93,8488,10274,956258,可售,带装修
50,8号楼,705,7,三房两厅两卫,3,113,20,93,8488,10274,956258,可售,带装修
51,8号楼,805,8,三房两厅两卫,3,113,20,93,8488,10274,956258,可售,带装修
52,8号楼,1305,13,三房两厅两卫,3,113,20,93,8488,10274,956258,可售,带装修
53,8号楼,1405,14,三房两厅两卫,3,113,20,93,8488,10274,956258,可售,带装修
54,8号楼,1805,18,三房两厅两卫,3,113,20,93,8488,10274,956258,可售,带装修
55,8号楼,2205,22,三房两厅两卫,3,113,20,93,8488,10274,956258,可售,带装修
56,8号楼,2305,23,三房两厅两卫,3,113,20,93,8488,10274,956258,可售,带装修
57,8号楼,2405,24,三房两厅两卫,3,113,20,93,8488,10274,956258,可售,带装修
58,8号楼,2505,25,三房两厅两卫,3,113,20,93,8488,10274,956258,可售,带装修
59,8号楼,2605,26,三房两厅两卫,3,113,20,93,8488,10274,956258,可售,带装修
本楼栋总面积/均价,本楼栋总面积/均价,本楼栋总面积/均价,本楼栋总面积/均价,本楼栋总面积/均价,本楼栋总面积/均价,6857,1192,5665,8488,10273,58199415,,
本栋销售住宅共59套，销售住宅总建筑面积：6856.67㎡，套内面积：5665.08㎡，分摊面积：1191.59㎡，销售均价：8488元/㎡（建筑面积）、10273元/㎡（套内建筑面积）。,   本栋销售住宅共59套，销售住宅总建筑面积：6856.67㎡，套内面积：5665.08㎡，分摊面积：1191.59㎡，销售均价：8488元/㎡（建筑面积）、10273元/㎡（套内建筑面积）。,   本栋销售住宅共59套，销售住宅总建筑面积：6856.67㎡，套内面积：5665.08㎡，分摊面积：1191.59㎡，销售均价：8488元/㎡（建筑面积）、10273元/㎡（套内建筑面积）。,   本栋销售住宅共59套，销售住宅总建筑面积：6856.67㎡，套内面积：5665.08㎡，分摊面积：1191.59㎡，销售均价：8488元/㎡（建筑面积）、10273元/㎡（套内建筑面积）。,   本栋销售住宅共59套，销售住宅总建筑面积：6856.67㎡，套内面积：5665.08㎡，分摊面积：1191.59㎡，销售均价：8488元/㎡（建筑面积）、10273元/㎡（套内建筑面积）。,   本栋销售住宅共59套，销售住宅总建筑面积：6856.67㎡，套内面积：5665.08㎡，分摊面积：1191.59㎡，销售均价：8488元/㎡（建筑面积）、10273元/㎡（套内建筑面积）。,   本栋销售住宅共59套，销售住宅总建筑面积：6856.67㎡，套内面积：5665.08㎡，分摊面积：1191.59㎡，销售均价：8488元/㎡（建筑面积）、10273元/㎡（套内建筑面积）。,   本栋销售住宅共59套，销售住宅总建筑面积：6856.67㎡，套内面积：5665.08㎡，分摊面积：1191.59㎡，销售均价：8488元/㎡（建筑面积）、10273元/㎡（套内建筑面积）。,   本栋销售住宅共59套，销售住宅总建筑面积：6856.67㎡，套内面积：5665.08㎡，分摊面积：1191.59㎡，销售均价：8488元/㎡（建筑面积）、10273元/㎡（套内建筑面积）。,   本栋销售住宅共59套，销售住宅总建筑面积：6856.67㎡，套内面积：5665.08㎡，分摊面积：1191.59㎡，销售均价：8488元/㎡（建筑面积）、10273元/㎡（套内建筑面积）。,   本栋销售住宅共59套，销售住宅总建筑面积：6856.67㎡，套内面积：5665.08㎡，分摊面积：1191.59㎡，销售均价：8488元/㎡（建筑面积）、10273元/㎡（套内建筑面积）。,   本栋销售住宅共59套，销售住宅总建筑面积：6856.67㎡，套内面积：5665.08㎡，分摊面积：1191.59㎡，销售均价：8488元/㎡（建筑面积）、10273元/㎡（套内建筑面积）。,   本栋销售住宅共59套，销售住宅总建筑面积：6856.67㎡，套内面积：5665.08㎡，分摊面积：1191.59㎡，销售均价：8488元/㎡（建筑面积）、10273元/㎡（套内建筑面积）。,   本栋销售住宅共59套，销售住宅总建筑面积：6856.67㎡，套内面积：5665.08㎡，分摊面积：1191.59㎡，销售均价：8488元/㎡（建筑面积）、10273元/㎡（套内建筑面积）。
"注：
1.销售价格构成包括合理的开发建设成本、费用、税金和利润等；与商品房配套建设的各项基础设施，包括供水、供电、供气、通讯、有线电视、安全监控系统、信报箱等建设费用，一律计入开发建设成本，不得在房价外另行收取。
2.上述“价格”指带装修房价格。
3.建筑面积=套内建筑面积+分摊的共有建筑面积。","注：
1.销售价格构成包括合理的开发建设成本、费用、税金和利润等；与商品房配套建设的各项基础设施，包括供水、供电、供气、通讯、有线电视、安全监控系统、信报箱等建设费用，一律计入开发建设成本，不得在房价外另行收取。
2.上述“价格”指带装修房价格。
3.建筑面积=套内建筑面积+分摊的共有建筑面积。","注：
1.销售价格构成包括合理的开发建设成本、费用、税金和利润等；与商品房配套建设的各项基础设施，包括供水、供电、供气、通讯、有线电视、安全监控系统、信报箱等建设费用，一律计入开发建设成本，不得在房价外另行收取。
2.上述“价格”指带装修房价格。
3.建筑面积=套内建筑面积+分摊的共有建筑面积。","注：
1.销售价格构成包括合理的开发建设成本、费用、税金和利润等；与商品房配套建设的各项基础设施，包括供水、供电、供气、通讯、有线电视、安全监控系统、信报箱等建设费用，一律计入开发建设成本，不得在房价外另行收取。
2.上述“价格”指带装修房价格。
3.建筑面积=套内建筑面积+分摊的共有建筑面积。","注：
1.销售价格构成包括合理的开发建设成本、费用、税金和利润等；与商品房配套建设的各项基础设施，包括供水、供电、供气、通讯、有线电视、安全监控系统、信报箱等建设费用，一律计入开发建设成本，不得在房价外另行收取。
2.上述“价格”指带装修房价格。
3.建筑面积=套内建筑面积+分摊的共有建筑面积。","注：
1.销售价格构成包括合理的开发建设成本、费用、税金和利润等；与商品房配套建设的各项基础设施，包括供水、供电、供气、通讯、有线电视、安全监控系统、信报箱等建设费用，一律计入开发建设成本，不得在房价外另行收取。
2.上述“价格”指带装修房价格。
3.建筑面积=套内建筑面积+分摊的共有建筑面积。","注：
1.销售价格构成包括合理的开发建设成本、费用、税金和利润等；与商品房配套建设的各项基础设施，包括供水、供电、供气、通讯、有线电视、安全监控系统、信报箱等建设费用，一律计入开发建设成本，不得在房价外另行收取。
2.上述“价格”指带装修房价格。
3.建筑面积=套内建筑面积+分摊的共有建筑面积。","注：
1.销售价格构成包括合理的开发建设成本、费用、税金和利润等；与商品房配套建设的各项基础设施，包括供水、供电、供气、通讯、有线电视、安全监控系统、信报箱等建设费用，一律计入开发建设成本，不得在房价外另行收取。
2.上述“价格”指带装修房价格。
3.建筑面积=套内建筑面积+分摊的共有建筑面积。","注：
1.销售价格构成包括合理的开发建设成本、费用、税金和利润等；与商品房配套建设的各项基础设施，包括供水、供电、供气、通讯、有线电视、安全监控系统、信报箱等建设费用，一律计入开发建设成本，不得在房价外另行收取。
2.上述“价格”指带装修房价格。
3.建筑面积=套内建筑面积+分摊的共有建筑面积。","注：
1.销售价格构成包括合理的开发建设成本、费用、税金和利润等；与商品房配套建设的各项基础设施，包括供水、供电、供气、通讯、有线电视、安全监控系统、信报箱等建设费用，一律计入开发建设成本，不得在房价外另行收取。
2.上述“价格”指带装修房价格。
3.建筑面积=套内建筑面积+分摊的共有建筑面积。","注：
1.销售价格构成包括合理的开发建设成本、费用、税金和利润等；与商品房配套建设的各项基础设施，包括供水、供电、供气、通讯、有线电视、安全监控系统、信报箱等建设费用，一律计入开发建设成本，不得在房价外另行收取。
2.上述“价格”指带装修房价格。
3.建筑面积=套内建筑面积+分摊的共有建筑面积。","注：
1.销售价格构成包括合理的开发建设成本、费用、税金和利润等；与商品房配套建设的各项基础设施，包括供水、供电、供气、通讯、有线电视、安全监控系统、信报箱等建设费用，一律计入开发建设成本，不得在房价外另行收取。
2.上述“价格”指带装修房价格。
3.建筑面积=套内建筑面积+分摊的共有建筑面积。","注：
1.销售价格构成包括合理的开发建设成本、费用、税金和利润等；与商品房配套建设的各项基础设施，包括供水、供电、供气、通讯、有线电视、安全监控系统、信报箱等建设费用，一律计入开发建设成本，不得在房价外另行收取。
2.上述“价格”指带装修房价格。
3.建筑面积=套内建筑面积+分摊的共有建筑面积。","注：
1.销售价格构成包括合理的开发建设成本、费用、税金和利润等；与商品房配套建设的各项基础设施，包括供水、供电、供气、通讯、有线电视、安全监控系统、信报箱等建设费用，一律计入开发建设成本，不得在房价外另行收取。
2.上述“价格”指带装修房价格。
3.建筑面积=套内建筑面积+分摊的共有建筑面积。"
备案机关：,备案机关：,备案机关：,备案机关：,备案机关：,,,,,,企业物价员：吴嘉铖,企业物价员：吴嘉铖,,
价格举报投诉电话：12345,价格举报投诉电话：12345,价格举报投诉电话：12345,价格举报投诉电话：12345,价格举报投诉电话：12345,,,,,,企业投诉电话：5201788,企业投诉电话：5201788,,
本表一式两份,本表一式两份,本表一式两份,本表一式两份,本表一式两份,,,,,,,,,
