1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-行业中类,1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-代码,1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-法人单位-单位数(个)-单位数(个),1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-法人单位-单产业法人,1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-法人单位-多产业法人,1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-法人单位-从业人员数(人)-从业人员数(人),1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-法人单位-#女性,1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-产业活动单位-单位数(个)-单位数(个),1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-产业活动单位-#多产业法人所属的产业活动单位数,1-04按行业(中类)分组的法人单位数、产业活动单位数及从业人员数-产业活动单位-从业人员数(人)-从业人员数(人)
稀有稀土金属矿采选,930,1156.0,1131.0,25.0,114102.0,18984.0,1245.0,114.0,126169.0
非金属矿采选业,1000,45161.0,44747.0,414.0,1307197.0,175817.0,46669.0,1922.0,1329857.0
土砂石开采,1010,38507.0,38239.0,268.0,966139.0,114001.0,39670.0,1431.0,987634.0
化学矿采选,1020,1552.0,1486.0,66.0,87777.0,13787.0,1665.0,179.0,86950.0
采盐,1030,850.0,819.0,31.0,121024.0,26709.0,966.0,147.0,121507.0
石棉及其他非金属矿采选,1090,4252.0,4203.0,49.0,132257.0,21320.0,4368.0,165.0,133766.0
其他采矿业,1100,705.0,699.0,6.0,15965.0,2368.0,724.0,25.0,16600.0
制造业,C,1818370.0,1792475.0,25895.0,104330564.0,42423297.0,1859197.0,66722.0,105596796.0
农副食品加工业,1300,102309.0,100535.0,1774.0,4547146.0,1751652.0,106656.0,6121.0,4575857.0
谷物磨制,1310,28585.0,28346.0,239.0,758942.0,184008.0,29185.0,839.0,766846.0
饲料加工,1320,11888.0,11712.0,176.0,475380.0,120899.0,12156.0,444.0,476789.0
植物油加工,1330,9820.0,9635.0,185.0,381971.0,104687.0,10091.0,456.0,389493.0
制糖,1340,627.0,571.0,56.0,182691.0,65991.0,682.0,111.0,173646.0
屠宰及肉类加工,1350,16060.0,15413.0,647.0,1003121.0,434633.0,18591.0,3178.0,1007476.0
水产品加工,1360,8509.0,8371.0,138.0,566873.0,279135.0,8647.0,276.0,566614.0
蔬菜、水果和坚果加工,1370,13743.0,13560.0,183.0,636620.0,343008.0,13954.0,394.0,643806.0
其他农副食品加工,1390,13077.0,12927.0,150.0,541548.0,219291.0,13350.0,423.0,551187.0
食品制造业,1400,41714.0,40550.0,1164.0,2187868.0,1047858.0,43070.0,2520.0,2194840.0
焙烤食品制造,1410,10140.0,9652.0,488.0,402978.0,215457.0,10703.0,1051.0,403247.0
糖果、巧克力及蜜饯制造,1420,4638.0,4583.0,55.0,219988.0,112702.0,4682.0,99.0,215592.0
方便食品制造,1430,6491.0,6400.0,91.0,388392.0,193965.0,6647.0,247.0,380763.0
液体乳及乳制品制造,1440,1912.0,1817.0,95.0,234532.0,99231.0,2067.0,250.0,237653.0
罐头制造,1450,2986.0,2935.0,51.0,238019.0,141332.0,3056.0,121.0,240456.0
调味品、发酵制品制造,1460,6683.0,6538.0,145.0,298131.0,120600.0,6817.0,279.0,309401.0
其他食品制造,1490,8864.0,8625.0,239.0,405828.0,164571.0,9098.0,473.0,407728.0
饮料制造业,1500,34980.0,33982.0,998.0,1660363.0,645251.0,36367.0,2385.0,1676289.0
酒精制造,1510,438.0,428.0,10.0,56328.0,15736.0,454.0,26.0,54598.0
酒的制造,1520,13436.0,13083.0,353.0,890651.0,346632.0,13712.0,629.0,897335.0
软饮料制造,1530,12085.0,11717.0,368.0,489928.0,185262.0,12526.0,809.0,493138.0
精制茶加工,1540,9021.0,8754.0,267.0,223456.0,97621.0,9675.0,921.0,231218.0
烟草制品业,1600,251.0,228.0,23.0,208318.0,77221.0,317.0,89.0,232534.0
烟叶复烤,1610,87.0,84.0,3.0,30109.0,14677.0,100.0,16.0,30600.0
卷烟制造,1620,82.0,66.0,16.0,167939.0,58360.0,132.0,66.0,191446.0
其他烟草制品加工,1690,82.0,78.0,4.0,10270.0,4184.0,85.0,7.0,10488.0
纺织业,1700,108024.0,106334.0,1690.0,8138660.0,5096295.0,109953.0,3619.0,8197209.0
棉、化纤纺织及印染精加工,1710,42300.0,41632.0,668.0,3970937.0,2438771.0,42865.0,1233.0,3995516.0
毛纺织和染整精加工,1720,5162.0,5105.0,57.0,430594.0,264211.0,5237.0,132.0,433227.0
麻纺织,1730,977.0,962.0,15.0,123549.0,76032.0,998.0,36.0,126127.0
丝绢纺织及精加工,1740,6766.0,6577.0,189.0,455522.0,291283.0,7145.0,568.0,451550.0
纺织制成品制造,1750,23984.0,23654.0,330.0,1220947.0,733443.0,24336.0,682.0,1235248.0
针织品、编织品及其制品制造,1760,28835.0,28404.0,431.0,1937111.0,1292555.0,29372.0,968.0,1955541.0
纺织服装、鞋、帽制造业,1800,79494.0,78283.0,1211.0,6448028.0,4386278.0,80875.0,2592.0,6576773.0
纺织服装制造,1810,74422.0,73243.0,1179.0,6044645.0,4121101.0,75756.0,2513.0,6164708.0
纺织面料鞋的制造,1820,3569.0,3545.0,24.0,280630.0,174109.0,3604.0,59.0,283647.0
制帽,1830,1503.0,1495.0,8.0,122753.0,91068.0,1515.0,20.0,128418.0
皮革、毛皮、羽毛(绒)及其制品业,1900,31232.0,30816.0,416.0,3386625.0,1970922.0,31891.0,1075.0,3436943.0
皮革鞣制加工,1910,2572.0,2544.0,28.0,219661.0,96130.0,2718.0,174.0,221166.0
皮革制品制造,1920,24545.0,24203.0,342.0,2956690.0,1756907.0,25004.0,801.0,3003536.0
毛皮鞣制及制品加工,1930,2442.0,2423.0,19.0,101088.0,50652.0,2480.0,57.0,102228.0
羽毛(绒)加工及制品制造,1940,1673.0,1646.0,27.0,109186.0,67233.0,1689.0,43.0,110013.0
木材加工及木、竹、藤、棕、草制品业,2000,62693.0,62236.0,457.0,2390195.0,890154.0,63827.0,1591.0,2411959.0
锯材、木片加工,2010,23643.0,23533.0,110.0,575457.0,175361.0,24189.0,656.0,583755.0
人造板制造,2020,17459.0,17327.0,132.0,1055862.0,404052.0,17677.0,350.0,1049928.0
木制品制造,2030,14502.0,14341.0,161.0,488684.0,175359.0,14754.0,413.0,501463.0
竹、藤、棕、草制品制造,2040,7089.0,7035.0,54.0,270192.0,135382.0,7207.0,172.0,276813.0
家具制造业,2100,36117.0,35420.0,697.0,1583494.0,485383.0,36760.0,1340.0,1609876.0
木质家具制造,2110,26598.0,26092.0,506.0,1046916.0,297879.0,27040.0,948.0,1066993.0
竹、藤家具制造,2120,673.0,665.0,8.0,30556.0,12702.0,678.0,13.0,30324.0
金属家具制造,2130,4014.0,3950.0,64.0,282816.0,95775.0,4087.0,137.0,284851.0
塑料家具制造,2140,531.0,525.0,6.0,22533.0,8793.0,547.0,22.0,23140.0
其他家具制造,2190,4301.0,4188.0,113.0,200673.0,70234.0,4408.0,220.0,204568.0
造纸及纸制品业,2200,48625.0,48181.0,444.0,2190967.0,835758.0,49340.0,1159.0,2229119.0
纸浆制造,2210,871.0,859.0,12.0,61677.0,18135.0,889.0,30.0,68350.0
造纸,2220,12087.0,11929.0,158.0,925723.0,315313.0,12250.0,321.0,931023.0
纸制品制造,2230,35667.0,35393.0,274.0,1203567.0,502310.0,36201.0,808.0,1229746.0
印刷业和记录媒介的复制,2300,52693.0,51959.0,734.0,1544478.0,660662.0,54048.0,2089.0,1591369.0
印刷,2310,47810.0,47160.0,650.0,1419382.0,606647.0,49008.0,1848.0,1462871.0
装订及其他印刷服务活动,2320,4643.0,4569.0,74.0,107095.0,47012.0,4790.0,221.0,110637.0
记录媒介的复制,2330,240.0,230.0,10.0,18001.0,7003.0,250.0,20.0,17861.0
文教体育用品制造业,2400,20118.0,19819.0,299.0,1680598.0,965044.0,20775.0,956.0,1792387.0
文化用品制造,2410,5400.0,5294.0,106.0,247525.0,131194.0,5532.0,238.0,257304.0
体育用品制造,2420,4725.0,4667.0,58.0,393209.0,190504.0,4836.0,169.0,404397.0
乐器制造,2430,1335.0,1310.0,25.0,99489.0,46059.0,1360.0,50.0,100799.0
玩具制造,2440,7942.0,7875.0,67.0,901747.0,580396.0,8279.0,404.0,988097.0
游艺器材及娱乐用品制造,2450,716.0,673.0,43.0,38628.0,16891.0,768.0,95.0,41790.0
石油加工及炼焦,2500,6424.0,6231.0,193.0,921134.0,235485.0,6641.0,410.0,894227.0
精炼石油产品的制造,2510,4671.0,4552.0,119.0,473993.0,136817.0,4802.0,250.0,449874.0
炼焦,2520,1731.0,1659.0,72.0,436552.0,94879.0,1815.0,156.0,433876.0
化学原料及化学制品制造业,2600,96172.0,94665.0,1507.0,5625078.0,1817457.0,98017.0,3352.0,5665341.0
基础化学原料制造,2610,16815.0,16540.0,275.0,1304728.0,338954.0,17260.0,720.0,1310321.0
肥料制造,2620,8989.0,8823.0,166.0,855313.0,230009.0,9248.0,425.0,873157.0
农药制造,2630,2500.0,2426.0,74.0,214552.0,70247.0,2544.0,118.0,209282.0
涂料、油墨、颜料及类似产品制造,2640,18423.0,18156.0,267.0,589992.0,157037.0,18664.0,508.0,596880.0
合成材料制造,2650,6065.0,5948.0,117.0,467145.0,147521.0,6177.0,229.0,449099.0
专用化学产品制造,2660,34186.0,33761.0,425.0,1784804.0,686466.0,34763.0,1002.0,1814120.0
日用化学产品制造,2670,9194.0,9011.0,183.0,408544.0,187223.0,9361.0,350.0,412482.0
医药制造业,2700,15286.0,14918.0,368.0,1682985.0,774084.0,15685.0,767.0,1711696.0
化学药品原药制造,2710,2235.0,2187.0,48.0,339153.0,123953.0,2310.0,123.0,343182.0
化学药品制剂制造,2720,2267.0,2199.0,68.0,449521.0,218279.0,2336.0,137.0,463011.0
中药饮片加工,2730,2027.0,1978.0,49.0,102679.0,48160.0,2079.0,101.0,105040.0
中成药制造,2740,2731.0,2631.0,100.0,412607.0,202642.0,2839.0,208.0,418599.0
兽用药品制造,2750,1345.0,1313.0,32.0,87144.0,36680.0,1372.0,59.0,87503.0
生物、生化制品的制造,2760,2404.0,2360.0,44.0,145730.0,55472.0,2446.0,86.0,147612.0
卫生材料及医药用品制造,2770,2277.0,2250.0,27.0,146151.0,88898.0,2303.0,53.0,146749.0
化学纤维制造业,2800,4521.0,4470.0,51.0,475685.0,219316.0,4578.0,108.0,451967.0
纤维素纤维原料及纤维制造,2810,790.0,776.0,14.0,116344.0,44983.0,812.0,36.0,107001.0
合成纤维制造,2820,3731.0,3694.0,37.0,359341.0,174333.0,3766.0,72.0,344966.0
橡胶制品业,2900,20744.0,20491.0,253.0,1282569.0,507454.0,21144.0,653.0,1304051.0
轮胎制造,2910,1880.0,1830.0,50.0,336581.0,89635.0,1921.0,91.0,340036.0
橡胶板、管、带的制造,2920,3995.0,3950.0,45.0,178327.0,61455.0,4073.0,123.0,187643.0
橡胶零件制造,2930,6041.0,5969.0,72.0,220319.0,93340.0,6188.0,219.0,223770.0
再生橡胶制造,2940,1104.0,1096.0,8.0,38244.0,11380.0,1108.0,12.0,38385.0
日用及医用橡胶制品制造,2950,1010.0,997.0,13.0,71719.0,41290.0,1026.0,29.0,72693.0
橡胶靴鞋制造,2960,1865.0,1836.0,29.0,265825.0,141687.0,1891.0,55.0,265468.0
其他橡胶制品制造,2990,4849.0,4813.0,36.0,171554.0,68667.0,4937.0,124.0,176056.0
塑料制品业,3000,98293.0,97377.0,916.0,3899242.0,1746737.0,100210.0,2833.0,4035220.0
塑料薄膜制造,3010,8904.0,8806.0,98.0,339712.0,130892.0,9053.0,247.0,341009.0
塑料板、管、型材的制造,3020,14099.0,13959.0,140.0,527024.0,179465.0,14336.0,377.0,545101.0
塑料丝、绳及编织品的制造,3030,10401.0,10276.0,125.0,472547.0,259723.0,10646.0,370.0,482798.0
泡沫塑料制造,3040,5030.0,4985.0,45.0,158215.0,57677.0,5108.0,123.0,161176.0
塑料人造革、合成革制造,3050,1153.0,1140.0,13.0,107707.0,35599.0,1170.0,30.0,108825.0
塑料包装箱及容器制造,3060,10962.0,10871.0,91.0,366370.0,171071.0,11154.0,283.0,375599.0
塑料零件制造,3070,13315.0,13176.0,139.0,526272.0,259706.0,13572.0,396.0,551010.0
日用塑料制造,3080,12832.0,12713.0,119.0,633006.0,316305.0,13042.0,329.0,650451.0
其他塑料制品制造,3090,21597.0,21451.0,146.0,768389.0,336299.0,22129.0,678.0,819251.0
非金属矿物制品业,3100,211193.0,209421.0,1772.0,9390564.0,2520463.0,214836.0,5415.0,9540004.0
水泥、石灰和石膏的制造,3110,14651.0,14356.0,295.0,1415523.0,322830.0,15014.0,658.0,1438840.0
水泥及石膏制品制造,3120,48940.0,48625.0,315.0,1274283.0,221371.0,50165.0,1540.0,1299336.0
砖瓦、石材及其他建筑材料制造,3130,99510.0,98943.0,567.0,3828144.0,957394.0,100781.0,1838.0,3864701.0
玻璃及玻璃制品制造,3140,15922.0,15654.0,268.0,1169588.0,443872.0,16165.0,511.0,1182907.0
陶瓷制品制造,3150,8938.0,8828.0,110.0,748240.0,342233.0,9078.0,250.0,749886.0
耐火材料制品制造,3160,11601.0,11522.0,79.0,488481.0,114369.0,11744.0,222.0,500546.0
石墨及其他非金属矿物制品制造,3190,11631.0,11493.0,138.0,466305.0,118394.0,11889.0,396.0,503788.0
黑色金属冶炼及压延加工业,3200,18939.0,18544.0,395.0,3372463.0,687720.0,19441.0,897.0,2946472.0
炼铁,3210,2687.0,2642.0,45.0,332479.0,70267.0,2756.0,114.0,368096.0
炼钢,3220,788.0,763.0,25.0,552482.0,100818.0,842.0,79.0,494508.0
钢压延加工,3230,12400.0,12141.0,259.0,2172485.0,449667.0,12660.0,519.0,1767138.0
铁合金冶炼,3240,3064.0,2998.0,66.0,315017.0,66968.0,3183.0,185.0,316730.0
有色金属冶炼及压延加工业,3300,21498.0,21191.0,307.0,2036208.0,507343.0,22013.0,822.0,1955808.0
常用有色金属冶炼,3310,5907.0,5788.0,119.0,938724.0,219734.0,6136.0,348.0,889032.0
贵金属冶炼,3320,591.0,576.0,15.0,70835.0,14475.0,615.0,39.0,65422.0
稀有稀土金属冶炼,3330,1402.0,1375.0,27.0,129179.0,30917.0,1443.0,68.0,116873.0
有色金属合金制造,3340,2156.0,2138.0,18.0,118164.0,32222.0,2189.0,51.0,119642.0
有色金属压延加工,3350,11442.0,11314.0,128.0,779306.0,209995.0,11630.0,316.0,764839.0
金属制品业,3400,132747.0,131238.0,1509.0,5023298.0,1538291.0,135321.0,4083.0,5162767.0
结构性金属制品制造,3410,47440.0,46885.0,555.0,1559857.0,371107.0,48439.0,1554.0,1619825.0
金属工具制造,3420,17669.0,17526.0,143.0,603979.0,215781.0,17880.0,354.0,617892.0
集装箱及金属包装容器制造,3430,5619.0,5545.0,74.0,336958.0,97491.0,5729.0,184.0,340606.0
金属丝绳及其制品的制造,3440,7026.0,6933.0,93.0,286902.0,84044.0,7120.0,187.0,292055.0
建筑、安全用金属制品制造,3450,15167.0,14952.0,215.0,628003.0,213263.0,15481.0,529.0,644325.0
金属表面处理及热处理加工,3460,10935.0,10824.0,111.0,412835.0,134367.0,11247.0,423.0,432263.0
搪瓷制品制造,3470,989.0,978.0,11.0,65121.0,24397.0,1008.0,30.0,55369.0
不锈钢及类似日用金属制品制造,3480,12439.0,12274.0,165.0,616859.0,228429.0,12647.0,373.0,628209.0
其他金属制品制造,3490,15463.0,15321.0,142.0,512784.0,169412.0,15770.0,449.0,532223.0
通用设备制造业,3500,181969.0,179742.0,2227.0,7243788.0,1905604.0,184861.0,5119.0,7408985.0
锅炉及原动机制造,3510,7091.0,6965.0,126.0,482778.0,122514.0,7240.0,275.0,487234.0
金属加工机械制造,3520,22490.0,22229.0,261.0,836591.0,197065.0,22840.0,611.0,850062.0
起重运输设备制造,3530,5620.0,5445.0,175.0,455674.0,95682.0,5793.0,348.0,457339.0
泵、阀门、压缩机及类似机械的制造,3540,23853.0,23459.0,394.0,1093110.0,297329.0,24207.0,748.0,1114775.0
轴承、齿轮、传动和驱动部件的制造,3550,12586.0,12444.0,142.0,712547.0,223339.0,12709.0,265.0,715359.0
烘炉、熔炉及电炉制造,3560,1749.0,1735.0,14.0,50442.0,11879.0,1773.0,38.0,53112.0
风机、衡器、包装设备等通用设备制造,3570,21411.0,21103.0,308.0,912404.0,261685.0,21756.0,653.0,943053.0
通用零部件制造及机械修理,3580,55742.0,55194.0,548.0,1398165.0,411587.0,56812.0,1618.0,1464480.0
金属铸、锻加工,3590,31427.0,31168.0,259.0,1302077.0,284524.0,31731.0,563.0,1323571.0
专用设备制造业,3600,92806.0,91517.0,1289.0,4343877.0,1207651.0,94726.0,3209.0,4450536.0
矿山、冶金、建筑专用设备制造,3610,15987.0,15737.0,250.0,1068196.0,230742.0,16494.0,757.0,1116021.0
化工、木材、非金属加工专用设备制造,3620,26268.0,25981.0,287.0,957512.0,262959.0,26751.0,770.0,1009061.0
食品、饮料、烟草及饲料生产专用设备制造,3630,3557.0,3516.0,41.0,157680.0,36604.0,3602.0,86.0,162183.0
印刷、制药、日化生产专用设备制造,3640,5747.0,5661.0,86.0,225548.0,58524.0,5863.0,202.0,228299.0
纺织、服装和皮革工业专用设备制造,3650,8808.0,8655.0,153.0,353582.0,109363.0,8942.0,287.0,358497.0
农、林、牧、渔专用机械制造,3670,7464.0,7368.0,96.0,386247.0,88272.0,7616.0,248.0,392248.0
医疗仪器设备及器械制造,3680,5473.0,5378.0,95.0,298257.0,149060.0,5590.0,212.0,299846.0
环保、社会公共安全及其他专用设备制造,3690,13380.0,13194.0,186.0,437181.0,110684.0,13595.0,401.0,442880.0
交通运输设备制造业,3700,79692.0,78284.0,1408.0,5812002.0,1628070.0,82498.0,4214.0,5910260.0
铁路运输设备制造,3710,2761.0,2695.0,66.0,361239.0,87040.0,2904.0,209.0,371009.0
汽车制造,3720,54588.0,53719.0,869.0,3566533.0,1036381.0,56609.0,2890.0,3632735.0
摩托车制造,3730,6807.0,6684.0,123.0,533596.0,179783.0,6962.0,278.0,544286.0
自行车制造,3740,5662.0,5533.0,129.0,276040.0,92077.0,5736.0,203.0,285824.0
船舶及浮动装置制造,3750,8034.0,7881.0,153.0,702227.0,118091.0,8378.0,497.0,718513.0
航空航天器制造,3760,383.0,335.0,48.0,317121.0,98804.0,427.0,92.0,298126.0
交通器材及其他交通运输设备制造,3790,1457.0,1437.0,20.0,55246.0,15894.0,1482.0,45.0,59767.0
电气机械及器材制造业,3900,93754.0,91975.0,1779.0,6294621.0,2700405.0,95747.0,3772.0,6429497.0
电机制造,3910,10001.0,9830.0,171.0,740415.0,297689.0,10171.0,341.0,766204.0
输配电及控制设备制造,3920,31390.0,30743.0,647.0,1736574.0,749033.0,32151.0,1408.0,1799923.0
电线、电缆、光缆及电工器材制造,3930,16688.0,16357.0,331.0,987837.0,391838.0,17019.0,662.0,1031038.0
电池制造,3940,3827.0,3757.0,70.0,508992.0,240338.0,3886.0,129.0,511693.0
家用电力器具制造,3950,11395.0,11163.0,232.0,1193472.0,480466.0,11695.0,532.0,1163280.0
非电力家用器具制造,3960,3360.0,3287.0,73.0,136703.0,48966.0,3418.0,131.0,137643.0
照明器具制造,3970,12816.0,12611.0,205.0,829914.0,427640.0,13024.0,413.0,847964.0
其他电气机械及器材制造,3990,4277.0,4227.0,50.0,160714.0,64435.0,4383.0,156.0,171752.0
通信设备、计算机及其他电子设备制造业,4000,45455.0,44683.0,772.0,7004903.0,3678848.0,46816.0,2133.0,7140207.0
通信设备制造,4010,4737.0,4606.0,131.0,895613.0,410035.0,5005.0,399.0,912331.0
雷达及配套设备制造,4020,121.0,111.0,10.0,44436.0,16032.0,133.0,22.0,51433.0
广播电视设备制造,4030,1497.0,1468.0,29.0,121843.0,62352.0,1532.0,64.0,125377.0
电子计算机制造,4040,3845.0,3752.0,93.0,1465569.0,722225.0,4030.0,278.0,1496082.0
电子器件制造,4050,6377.0,6266.0,111.0,1068604.0,562643.0,6521.0,255.0,1054145.0
电子元件制造,4060,20432.0,20165.0,267.0,2454168.0,1380458.0,20913.0,748.0,2507469.0
家用视听设备制造,4070,3331.0,3266.0,65.0,593859.0,333798.0,3437.0,171.0,615544.0
其他电子设备制造,4090,5115.0,5049.0,66.0,360811.0,191305.0,5245.0,196.0,377826.0
仪器仪表及文化、办公用机械制造业,4100,23731.0,23263.0,468.0,1496156.0,682306.0,24569.0,1306.0,1542441.0
通用仪器仪表制造,4110,11650.0,11413.0,237.0,504642.0,183165.0,11930.0,517.0,498317.0
专用仪器仪表制造,4120,3993.0,3913.0,80.0,202729.0,76503.0,4090.0,177.0,204877.0
钟表与计时仪器制造,4130,1755.0,1737.0,18.0,169757.0,92603.0,1981.0,244.0,204367.0
光学仪器及眼镜制造,4140,3481.0,3406.0,75.0,323967.0,170258.0,3579.0,173.0,329924.0
文化、办公用机械制造,4150,1632.0,1584.0,48.0,262760.0,148516.0,1713.0,129.0,268724.0
其他仪器仪表的制造及修理,4190,1220.0,1210.0,10.0,32301.0,11261.0,1276.0,66.0,36232.0
工艺品及其他制造业,4200,48693.0,47990.0,703.0,2255917.0,1192121.0,49753.0,1763.0,2311486.0
工艺美术品制造,4210,31067.0,30551.0,516.0,1555098.0,853885.0,31779.0,1228.0,1589023.0
日用杂品制造,4220,7861.0,7752.0,109.0,445566.0,255127.0,8018.0,266.0,457368.0
煤制品制造,4230,4502.0,4480.0,22.0,69868.0,14141.0,4578.0,98.0,72790.0
其他未列明的制造业,4290,5232.0,5176.0,56.0,184433.0,68777.0,5344.0,168.0,191233.0
废弃资源和废旧材料回收加工业,4300,8203.0,8132.0,71.0,203334.0,61464.0,8462.0,330.0,210676.0
金属废料和碎屑的加工处理,4310,3957.0,3916.0,41.0,120797.0,34817.0,4111.0,195.0,127532.0
非金属废料和碎屑的加工处理,4320,4246.0,4216.0,30.0,82537.0,26647.0,4351.0,135.0,83144.0
电力、燃气及水的生产和供应业,D,57923.0,54651.0,3272.0,4045931.0,1126802.0,84862.0,30211.0,4361012.0
电力、热力的生产和供应业,4400,38016.0,35684.0,2332.0,3143214.0,814597.0,60102.0,24418.0,3371724.0
电力生产,4410,31804.0,30767.0,1037.0,1400946.0,367280.0,36212.0,5445.0,1437894.0
电力供应,4420,3052.0,1893.0,1159.0,1479160.0,382772.0,20031.0,18138.0,1617921.0
热力生产和供应,4430,3160.0,3024.0,136.0,263108.0,64545.0,3859.0,835.0,315909.0
燃气生产和供应业,4500,3128.0,2876.0,252.0,226700.0,71154.0,3888.0,1012.0,256306.0
水的生产和供应业,4600,16779.0,16091.0,688.0,676017.0,241051.0,20872.0,4781.0,732982.0
自来水的生产和供应,4610,14480.0,13821.0,659.0,617200.0,223512.0,18356.0,4535.0,667874.0
污水处理及其再生利用,4620,1783.0,1758.0,25.0,51462.0,15854.0,1944.0,186.0,56084.0
其他水的处理、利用与分配,4690,516.0,512.0,4.0,7355.0,1685.0,572.0,60.0,9024.0
