SerialNumber-SerialNumber,Model-Model,Ratedliftingmoment-（kN·m）,Reach-（m）,MaximumLiftingCapacity-（t）,Amplitudeatmaximumliftingcapacity-（m）,Liftingcapacityatmaximumoutreach-（t）,Liftingheight(m)-Attached(condition),Liftingheight(m)-Innerclimbing,Liftingheight(m)-Travel,Liftingheight(m)-Fixed,"Speed(m/min,r/min)-Lifting","Speed(m/min,r/min)-Luffing/RadiusChange","Speed(m/min,r/min)-Travel","Speed(m/min,r/min)-Rotation",Notes-Notes,Manufacturer'splaceoforigin-Manufacturer'splaceoforigin
17,C7022,,70,16,,2.0,,,56.0,,,,,,,Sichuan
18,H3/36B,,60,12,,4.0,205,,,,,,,,,Sichuan
19,C5530,,55,12,,3.0,,230.0,,,,,,,,Sichuan
20,FO/23B,,50,10,,2.0,203,,,,,,,,,Sichuan
21,C4513,,45,6,,1.0,100,,,,,,,,,Sichuan
22,C5015,,50,8,,2.0,120,,,,,,,,,Sichuan
23,C4010,,40,4,,1.0,82,,,,,,,,,Sichuan
24,C3208,,32,3,,1.0,60,,,,,,,,,Sichuan
25,QTZ63,630.0,50,6,,1.0,140,,,41,80，40，8.5,43，21.5,,1,,Changzhou
26,QTZ30,300.0,36,3,,1.0,80,,,28,50，25，85,25,,1,,Changzhou
27,QTZ20,200.0,25,2,,1.0,60,,,26,10.5，35,22,,1,,Changzhou
28,QTZ25,250.0,1.7~27.3,3,,,60,,26.0,25,,25,,1,,Wuxi
29,QTZ40C,400.0,1.7~42,4,,,100,,31.0,32,,25,,1,,Wuxi
30,QTZ60C,600.0,2~48,6,,,100,,41.0,40,,20，40.5,,1,,Wuxi
31,QTZ80,800.0,2.5~48,8,,,140,,40.0,40,,31,,1,,Wuxi
32,QTZ630,,2~50,6,,,120,,,40,54，36，8,20，40.5,,1,,Anhui
32,QTZ630,,2~50,6 ,,,120 ,,,40 ,27，18，4,20，40.5,,1 ,,Anhui
33,QTZ400E,,2~40,3,,,,,,,55，35，8,20，40,,1,,Anhui
33,QTZ400E,,2~40,3 ,,,,,,,27.5，17.5，4,20，40,,1 ,,Anhui
34,QTZ1000,,2.5~60,8,,1.0,150,,,50,100，72，48，6,20，40,,1,,Anhui
34,QTZ1000,,2.5~60,8 ,,1.0,150 ,,,50 ,50，36，24，3,20，40,,1 ,,Anhui
35,ZSC-5815,870.0,58,8,,2.0,,,,,0~90,60,,1,Gantry-type,Nanjing
35,ZSC-5815,870.0,58 ,8 ,,2.0,,,,,0~45,60 ,,1 ,Inner/Outer Climbing,Nanjing
36,ZSC-5024,1200.0,50,10,,2.0,,,,,0~90,60,,1,,Nanjing
36,ZSC-5024,1200.0,50 ,10 ,,2.0,,,,,0~45,60 ,,1 ,,Nanjing
37,ZSC-5040,2000.0,50,15,,4.0,,,,,0~90,60,,1,,Nanjing
37,ZSC-5040,2000.0,50 ,15 ,,4.0,,,,,0~45,60 ,,1 ,,Nanjing
38,ZSC-7030,2100.0,70,15,,3.0,,,,,0~90,60,,1,,Nanjing
38,ZSC-7030,2100.0,70 ,15 ,,3.0,,,,,0~45,60 ,,1 ,,Nanjing
39,ZSC-3080,2400.0,30,15,,8.0,,,,,0~90,60,,1,,Nanjing
39,ZSC-3080,2400.0,30 ,15 ,,8.0,,,,,0~45,60 ,,1 ,,Nanjing
40,ZSL-5522,1210.0,55,8,,2.0,,,,,0~90,,,1,Boom wiping,Nanjing
41,ZSL-3535,1220.0,35,8,,4.0,,,,,0~90,,,1,Inner/Outer Climbing,Nanjing
42,ZSL-5025,1250.0,50,8,,3.0,,,,,0~90,,,1,,Nanjing
43,QTZ125,1250.0,2~60,6,,,100/163,,50.0,50,,,,,,Sichuan Jincheng
44,FO/23B,,50,10,,2.0,204,204.0,62.0,59.8 44.8,,,,,Tower body 2m,Shenyang
44,FO/23B,,50 ,10 ,,2.0,141,204.0,49.0,59.8 44.8,,,,,Section 1.6,Shenyang
45,H3/36B,,60,12,,4.0,195,266.0,57.0,52,,,,,,Shenyang
46,K40/21,,70,16,,2.0,154,,51.0,46,,,,,,Shenyang
47,K50/50,,70,12，16，20,,5.0,120,270.0,80.0,79,,,,,,Shenyang
48,FL25/30,,50,6,,3.0,,46.0,45.0,52,,,,,,Shenyang
49,K40/26,,70,16,,3.0,155,265.0,51.0,53,,,,,,Shenyang
50,QTZ80,,50,10,,2.0,,,47.0,42,,,,,,Shenyang
51,QTZHG63,,Lifting 45 Distribution 35,6,,,129,190.0,,42,,,,,Crane and Concreting Boom Dual-purpose,Dalian
52,QTZHG25,,"Lifting, Feeding 25",3,,,206,,,26,,,,,Crane and Concreting Boom Dual-purpose,Dalian
